name,url,telephone,tax_num,street,locality,region,postcode,country
Pawsitively Cats,http://pawsitivelycats.org,(520) 289-2747,EIN 30-0609374,1145 N Woodland Ave,Tucson,AZ,85712,USA
Singleton Moms,http://www.singletonmoms.org,(480) 818-5285,EIN 35-2280372,"7579 E Main St, #700",Scottsdale,AZ,85251,USA
Enough Inc,http://,,EIN 20-2288665,4050 E Anderson Dr,Phoenix,AZ,85032,USA
Forever Wild Animal Rehabilitation Center,http://,,EIN 86-0892828,8605 Scraycroft Rd,Tucson,AZ,85756,USA
Sojourner Center,http://www.sojournercenter.org,(602) 244-0997,EIN 94-2465081,Po Box 20156,Phoenix,AZ,85036,USA
Benevilla,http://www.benevilla.org,(623) 584-4999,EIN 86-0404687,16752 N Greasewood St,Surprise,AZ,85378,USA
Az Prussian Snailhound Dog Rescue,http://,,EIN 27-3209637,10611 N 37th Way,Phoenix,AZ,85028,USA
Medicine Tree Natural Health Resource,http://www.themedicinetree.org,,EIN 56-2518697,7209 E McDonald Dr #40,Scottsdale,AZ,85250,USA
Valley of the Sun United Way,http://www.vsuw.org,(602) 631-4800,EIN 86-0104419,1515 E Osborn Rd,Phoenix,AZ,85014,USA
UNITED STATES WAR VETERANS PTSD FOUNDATION,http://www.azptsd.org,,EIN 26-2064449,5791 West Kesler Street,Chandler,AZ,85226,USA
Friends For Life Animal Sanctuary,http://azfriends.org,(480) 497-8296,EIN 86-0726443,143 W Vaughn Ave,Gilbert,AZ,85233,USA
Moms Club,http://,,EIN 55-0879125,140 N 15th Dr,Show Low,AZ,85901,USA
Arizona Myeloma Network,http://www.azmyelomanetwork.org,623-466-6246,EIN 32-0169742,"20280 N 59TH Ave Ste 115 448 Attn:  Barbara B Kavanagh, MSW, President & CEO",Glendale,AZ,85308,USA
Arizona Lions Camp Tatiyee Inc,http://www.arizonalionscamp.org,480-380-4254,EIN 86-6052371,PO BOX 6910,Mesa,AZ,85216,USA
Boat Angel Donation Center,http://www.boatangel.com/works.htm,602-903-1844,EIN 42-1619552,1641 E University Drive Suite 104 Director,Mesa,AZ,85203,USA
Critical Path Institute,http://www.c-path.org,520-547-3440,EIN 20-1991334,1730 E River Rd #200,Tucson,AZ,85718,USA
Frank Lloyd Wright Foundation,http://www.franklloydwright.org,(480) 860-2700,EIN 86-0197576,12621 N Frank Lloyd Wright Blvd,Scottsdale,AZ,85259,USA
Resolution Horse Company,http://www.resolutionhorsecompany.org,,EIN 27-2886644,164 W. Liana Drive,Chino Valley,AZ,86323,USA
Rim Country Rotary Club Foundation,http://,(928) 474-8276,EIN 86-1026985,Po Box 703,Payson,AZ,85547,USA
Uplifting Kids Inc,http://,,EIN 27-2082240,12725 W Indian School Rd Ste E101,Avondale,AZ,85392,USA
United Cerebral   Palsy of Central Arizona,http://www.ucpofaz.org,602.943.5472,EIN 86-0110967,1802 W Parkside Ln,Phoenix,AZ,85027,USA
CO+ Foundation,http://www.cohootsfdn.com,6023091247,EIN ,1027 E. Washington  Suite 107,Phoenix,AZ,85034,USA
Furever Friends Rescue,http://www.fureverfriendsrescue.org,602-750-2283,EIN 45-4419733,1015 East Baseline Road,Gilbert,AZ,85233,USA
Ajs Best Friends Persian & Himalayan Rescue,http://www.ajsbestfriends.org,,EIN 76-0709551,"835 W Warner Rd, Ste 101-401 .",Gilbert,AZ,85233,USA
Diocesan Council for the Society of St. Vincent De Paul Diocese Phoenix,http://www.stvincentdepaul.net,(602) 261-6802,EIN 86-0096789,PO Box 13600 420 W Watkins,Phoenix,AZ,85002,USA
Hoof Prints of the Heart,http://hoofprints.wix.com/main,520-780-6900,EIN 90-0639324,12207 w. Swanson st,Marana,AZ,85653,USA
Tucson Cares Inc,http://,,EIN 27-3403785,PO Box 41702,Tucson,AZ,85717,USA
The Symphony Womens Association,http://,,EIN 86-6051375,Po Box 42654,Tucson,AZ,85733,USA
"World Hunger Ecumenical Arizona Task Force, Inc.",http://www.HungerHurts.org,602-955-5076,EIN 74-2386488,"4000 North 7th Street, Suite 118",Phoenix,AZ,85014,USA
Tonto Recreation Alliance Inc,http://,,EIN 26-4342310,8110 S College Ave,Tempe,AZ,85284,USA
Big Brothers Big Sisters Of Central Arizona,http://www.helparizonayouth.org,(602) 393-4124,EIN 86-0205254,4745 N 7th St Ste 210,Phoenix,AZ,85014,USA
Arizona Autism United,http://www.AZAunited.org,(602) 773-5773,EIN 16-1738730,5025 E Washington St Suite 212,Phoenix,AZ,85034,USA
Spina Bifida Association Of South Ern Arizona,http://www.sbaa.org/,,EIN 86-0537030,Po Box 16217,Tucson,AZ,85732,USA
Flc Inc,http://,,EIN 20-8705837,12421 W Monroe St,Avondale,AZ,85323,USA
Wild at Heart Inc,http://www.wildatheartowls.org,480-595-5047,EIN 86-0770883,31840 N 45TH St,Cave Creek,AZ,85331,USA
Pet Allies Inc,http://petalliesaz.org,(928) 532-1602,EIN 86-0829565,4050 S White Mountain Rd,Show Low,AZ,85901,USA
Integrative Touch for Kids,http://www.integrativetouch.org,(520) 303-4992,EIN 74-3145036,8340 N. Thorneydale Road 110-153 Shay Beider,Tucson,AZ,85741,USA
"Sedona Arts Center, Inc.",http://www.sedonaartscenter.com,928-282-3809,EIN 86-6052626,P O Box 569,Sedona,AZ,86339,USA
Page Regional Domestic Violence Services,http://,(928) 645-5300,EIN 86-0838347,Po Box 3686,Page,AZ,86040,USA
Vertical World Solutions,http://verticalworldsolutions.com/,6024484208,EIN 27-1203284,24654 N.Lake Pleasant Pkwy. Ste 103-207,Peoria,AZ,85373,USA
Epilepsy Foundation of Arizona,http://www.epilepsyaz.org,6024063581,EIN 86-6080639,240 W. Thomas Road  Second Floor,Phoenix,AZ,85013,USA
National Advocacy & Training Nework (NATN),http://www.natn-az.com,602-369-7792,EIN ,PO Box 51357,Phoenix,AZ,85076,USA
Foundation for Homeless Cats,http://www.TheFoundationforHomelessCats.org,,EIN 26-3239896,2110 W Tonopah Dr,Phoenix,AZ,85027,USA
Citizens Water Advocacy Group,http://www.cwagAZ.org,928-445-4218,EIN 76-0766410,PO Box 13145,Prescott,AZ,86304,USA
Chrysalis Shelter For Victims of Domestic Violence Inc,http://www.noabuse.org,(602) 955-9059,EIN 86-0447620,2055 W. Northern Avenue,Phoenix,AZ,85021,USA
TEEN OUTREACH PREGNANCY SERVICES,http://Teenoutreachaz.org,877.882.2881,EIN 86-1005133,3024 E Fort Lowell Rd.,Tucson,AZ,85716,USA
"AAH HAA, LTD  formerly CHI",http://www.leaflady.org,480-289-9395,EIN 94-3091079,5830 W Thunderbird Road B8-187,Glendale,AZ,85306,USA
Brown Dog Foundation,http://www.BrownDogFoundation.org,,EIN 20-5387062,Corporate Office 3079 South Danielson Place,Chandler,AZ,85286,USA
Animal Defense League of Arizona,http://www.adlaz.org,(602) 257-9739,EIN 74-2493030,PO Box 33093,Phoenix,AZ,85067,USA
Grand Canyon Association,http://www.grandcanyon.org,928-863-2481,EIN 86-0179548,PO Box 399,Grand Canyon,AZ,86023,USA
"T.S.G. Publishing Foundation, Inc.",http://www.tsgfoundation.org,480-502-1909,EIN ,p.o. box 7068,Cave Creek,AZ,85327,USA
Peoria Education Foundation,http://www.peoriaedfoundation.org,623-486-6100,EIN 86-0607829,PO Box 5544,Peoria,AZ,85385,USA
Santa Cruz Valley Art Association Inc,https://www.tubacarts.org,,EIN 23-7034028,Po Box 1911,Tubac,AZ,85646,USA
Gabriel's Angels,https://www.gabrielsangels.org/,602-266-0875,EIN 86-0991198,727 East Bethany Home Road Suite C100,Phoenix,AZ,85014,USA
Power Paws Assistance Dogs Inc,http://azpowerpaws.org,(480) 945-0754,EIN 86-1035607,1201 N 85th Place,Scottsdale,AZ,85257,USA
Joy Christian School,http://www.joyschool.org,(623) 561-2000,EIN 20-4405949,21000 N 75th Ave,Glendale,AZ,85308,USA
St. Mary's Food Bank Alliance,http://firstfoodbank.org,602-242-3663,EIN 23-7353532,2831 N 31st Ave,Phoenix,AZ,85009,USA
"Parent Aid - Child Abuse Prevention Center, Inc.",http://www.parentaid.org,520-798-3304,EIN 74-2591577,2580 East 22nd St,Tucson,AZ,85713,USA
Arizona Womens Education and Employment Inc,http://www.awee.org,(602) 223-4333,EIN 86-0412509,640 North First Avenue,Phoenix,AZ,85003,USA
Fallen Feathers Rescue Rehabilitation & Education Corp,http://,(623) 533-2348,EIN 01-0749446,9532 W Cielo Grande,Peoria,AZ,85383,USA
Fusion Foundation,http://thefusionfoundation.org,623-688-1278,EIN 26-3429018,PO Box 26002,Phoenix,AZ,85068,USA
HopeKids,http://www.HopeKids.org,(612) 345-0933,EIN 86-1042378,P.O. Box 28471,Scottsdale,AZ,85255,USA
Tempe Community Action Agency,http://www.tempeaction.org,480-350-5882,EIN 86-0254820,2150 E Orange St,Tempe,AZ,85281,USA
ALTERED TAILS,http://www.alteredtails.org,(602)943-7729,EIN 02-0710228,950 W Hatcher Rd,Phoenix,AZ,85021,USA
1st Rate 2nd Hand Thrift Inc,http://www.1strate2ndhand.org,,EIN 27-0884542,5851 E Speedway Blvd Ste 121,Tucson,AZ,85712,USA
Vets4Vets,http://www.Vets4Vets.US,520-383-8302,EIN 26-4637473,"7030 E. Broadway Blvd, Suite 230",Tucson,AZ,85710,USA
"Handi-Dogs, Inc.",http://www.handi-dogs.org,520-326-3412,EIN 95-3247091,75 S. Montego Dr,Tucson,AZ,85710,USA
Purple Mountain Institute Inc,http://,,EIN 31-1733820,8809 E Dexter Dr,Tucson,AZ,85715,USA
Desert Hockey Development,http://deserthockey.org,623-738-6523,EIN 46-3712305,29043 N 59th St,Cave Creek,AZ,85331,USA
Visionquest 20/20,http://www.visionquest2020.org,800-698-7202,EIN 04-3747651,4113 E. Pinchot Ave.,Phoenix,AZ,85018,USA
"One Small Step, Inc.",http://www.clothescabin.org,480-285-4111,EIN 26-2024218,"1100 N. Alma School Rd., Suite 9",Chandler,AZ,85224,USA
Excel Youth Sports Foundation Inc,http://www.excelyouthsports.com,(623) 565-9529,EIN 26-2912777,21373 Brittle Bush Lane,Buckeye,AZ,85338,USA
K2 Adventures Foundation,http://k2adventures.org/,(602) 432-0229,EIN 27-1302780,20707 N Pima Road Suite L130,Scottsdale,AZ,85255,USA
Muscular Dystrophy Association,http://www.mdausa.org,(312) 260-5900,EIN 13-1665552,3300 East Sunrise Drive Suite 1500,Tucson,AZ,85718,USA
Amvets,http://,(520) 459-7981,EIN 86-0468703,Po Box 91191,Phoenix,AZ,85066,USA
Cakes for Causes,http://www.cakesforcauses.org,5203037893,EIN 80-0696071,PO Box 16342,Tucson,AZ,85732,USA
Arouet Foundation,http://www.arouetfoundation.org,4803137104,EIN 45-3456191,"4636 East University Drive, Suite 150",Phoenix,AZ,85034,USA
Actors Youth Theatre,http://,,EIN 33-1146332,861 N Higley Rd,Gilbert,AZ,85234,USA
Streets of Joy Christian Discipleship Ministry,http://,,EIN 86-0820405,Unknown,Phoenix,AZ,85014,USA
Lend A Hand Senior Assistance Incorporated,http://,,EIN 20-3851170,Po Box 41323,Tucson,AZ,85717,USA
Sun Cities 4 Paws Rescue,https://4pawsrescue.org,623-876-8778,EIN 86-0822208,11129 W Michigan Ave,Youngtown,AZ,85363,USA
Old Pueblo Community Services,http://www.helptucson.org,(520) 546-0122,EIN 86-0836556,4501 E 5th Street,Tucson,AZ,85711,USA
Estrella Youth Sports,http://www.eyskids.com,(623) 810-7612,EIN 71-1016029,18443 W Verdin Rd,Goodyear,AZ,85338,USA
Arizona Council On Economic Education,http://,,EIN 86-0896574,3260 N Hayden Rd Ste 200,Scottsdale,AZ,85251,USA
For The Luv Of Paws Ii Inc,http://,,EIN 05-0627674,8115 W Oatman Rd,Golden Valley,AZ,86413,USA
LCGA Inc,http://,,EIN 26-4644698,5101 S Mill Ave,Tempe,AZ,85282,USA
Icm Food & Clothing Bank,http://www.icmaz.org,(602) 254-7450,EIN 86-0401223,Po Box 2225,Phoenix,AZ,85002,USA
Phoenix Rescue Mission,http://www.phoenixrescuemission.org,602-233-3000,EIN 86-6057771,1801 S 35th Ave,Phoenix,AZ,85009,USA
Southwest Shakespeare Company Inc,http://www.swshakespeare.org,(602) 535-1202,EIN 86-0764708,Po Box 30595,Mesa,AZ,85275,USA
Room for Joy,http://www.roomforjoy.org,602-619-0209,EIN 65-1277902,P.O. Box 51133,Mesa,AZ,85208,USA
Church On The Street Inc,http://,,EIN 94-2954528,510 W Coolidge St,Phoenix,AZ,85013,USA
Grand Canyon River Runners Association Inc,http://,,EIN 71-0972946,Po Box 20013,Sedona,AZ,86341,USA
Candlelighters Childhood Cancer Foundation Of Southern Arizona,http://www.candlelightersaz.org,(520) 777-4911,EIN 43-2080690,Po Box 42436,Tucson,AZ,85733,USA
Phoenix Parks Foundation,http://www.phxparksfoundation.org,(602) 262-4541,EIN 95-3413342,216 W Portland St,Phoenix,AZ,85003,USA
Gospel Rescue Mission Inc,http://www.grmtucson.com,,EIN 86-6054088,707 W Miracle Mile,Tucson,AZ,85705,USA
Boys Hope Girls Hope,http://,,EIN 86-0630295,3443 N Central Ave Ste 713,Phoenix,AZ,85012,USA
Arizona American Saddlebred Foundation,http://www.Azamericansaddlebredfoundation.org,480-652-4844,EIN 47-4559335,44807 north 20 street,New River,AZ,85087,USA
Hope 4 Kids International,http://www.hope4kidsinternational.org,(602) 979-5516,EIN 91-1045199,Po Box 74010,Phoenix,AZ,85087,USA
Elfrida Citizen Alliance Inc,http://,,EIN 86-0988722,Po Box 172,Elfrida,AZ,85610,USA
Defenders Of Children,http://defendersofchildren.org,,EIN 41-2259676,Po Box 10128,Phoenix,AZ,85064,USA
Exotic Heritage Cat Association of America,http://www.exoticheritagecats.org,,EIN 26-3119903,860 Quail Crest Rd,Kingman,AZ,86401,USA
Native American Advancement Foundation Inc.,http://nativeamericanadvancement.org/,(903) 244-0166,EIN 45-2725155,P.O. Box 64877,Tucson,AZ,85728,USA
Happy Tails Dachshund Rescue Inc.,http://happytailsdr.org,,EIN 45-2967840,PO box# 116,Queen Creek,AZ,85142,USA
Jerry Ambrose Veterans Council Of Mohave County Inc,http://,,EIN 46-1967830,Po Box 4463,Kingman,AZ,86402,USA
Jewish Voice Ministries International,http://www.jewishvoice.org,(602) 971-8501,EIN 86-0217838,PO Box 81439,Phoenix,AZ,85069,USA
HodgePodge - the teen cafe,http://www.HdgPdg.com,623-748-8818,EIN ,22833 N. 71st Ave,Glendale,AZ,85310,USA
Cancer Support Community-Arizona,http://www.cscaz.org,(602) 712-1006,EIN 86-0897810,360 E Palm Ln,Phoenix,AZ,85004,USA
Reach Up Magazine,http://reachupmag.org,866-596-0470,EIN 26-4732608,"5001 E Main Street, Box 68",Mesa,AZ,85205,USA
The Living Church Of The White Mountains Inc,http://,,EIN 92-0120176,Po Box 1855,Lakeside,AZ,85929,USA
Hope for Hypothalamic Hamartomas,http://,,EIN 27-1433464,P. O. Box 721,Waddell,AZ,85355,USA
Mary C Schanz Foundation,http://,,EIN 86-0999483,301 W Spring Valley Pl,Tucson,AZ,85704,USA
Daring Adventures,http://www.daring-adventures.org,602-290-0214,EIN 86-0749240,5031 E Washington,Phoenix,AZ,85023,USA
Tucson International Alliance Of Refugee Communities,http://www.aztiarc.org,,EIN 86-0856725,3800 E Placita De Piacho,Tucson,AZ,85718,USA
New Community Project,http://www.newcommunityproject.org,(888) 800-2985,EIN 20-0092504,9036 W Quail Track Dr,Peoria,AZ,85383,USA
Audreys Angels,http://www.audreysangels.org,(602) 795-2122,EIN 86-1044280,Po Box 22029,Phoenix,AZ,85028,USA
"Cancer Fund of America, Inc.",http://www.cfoa.org,(865) 938-5281,EIN 58-1766061,2223 N. 56th Street,Mesa,AZ,85215,USA
Grand Canyon Trust Inc,http://www.grandcanyontrust.org,(928) 774-7488,EIN 86-0512633,2601 N Fort Valley Rd,Flagstaff,AZ,86001,USA
Tucson Community Church East Inc,http://,,EIN 57-1142440,8355 E Tanque Verde Rd,Tucson,AZ,85749,USA
Mini Miracles Inc,http://,,EIN 26-1901870,7320 N La Cholla Ste 154-204,Tucson,AZ,85741,USA
Friends Of The Pima County Public Library Inc,http://www.pimafriends.com,(520) 795-3763,EIN 23-7201040,2230 N Country Club Rd,Tucson,AZ,85716,USA
Rainbow Acres,http://www.rainbowacres.com,(928) 567-5231,EIN 86-0286420,2120 W Reservation Loop Rd,Camp Verde,AZ,86322,USA
Ecosa Institute,http://www.ecosainstitute.org,928 541-1002,EIN 86-0844175,201B North Alarcon St Suite B,Prescott,AZ,86301,USA
Planned Lifetime Assistance Network Of Arizona Inc,http://www.planofarizona.org,(602) 759-8180,EIN 86-0773049,5025 E Washington St Ste 112,Phoenix,AZ,85034,USA
"Shoebox Ministry, Inc.",http://www.shoeboxministry.org,480-905-1610,EIN 86-0690847,7902 E Wood Dr,Scottsdale,AZ,85260,USA
Pathfinder Critters Inc,http://,,EIN 86-0882173,6260 N Desert Foothills Dr,Tucson,AZ,85743,USA
Pop Warner Little Scholars Inc,http://www.grandpopwarner.com,(623) 810-0922,EIN 86-0317008,9132 W Cactus Rd,Peoria,AZ,85381,USA
"Volunteer Center Of Tucson, Inc.",http://www.volunteersoaz.org,(520) 881-3300,EIN 86-0219048,3130 N Dodge Blvd,Tucson,AZ,85716,USA
C BAR J HORSEHAVEN RESCUE,http://cbarjhorsehavenrescue.com,928-249-4283,EIN 27-1003330,18032 Silver Lode Dr.,Dolan Springs,,86441,USA
FREEDOM K CHARITABLE ORGANIZATION,http://,,EIN 26-2739239,1334 E Chander Blvd 5D-02,Phoenix,AZ,85048,USA
David Meece Ministries,http://,,EIN 20-1338873,Po Box 65899,Tucson,AZ,85728,USA
Tucson Wildlife Center,http://www.tucsonwildlife.com,(520) 290-9453,EIN 86-1001344,13275 E Speedway Blvd,Tucson,AZ,85748,USA
Family Promise-Greater Phoenix,http://www.familypromiseaz.org,(480) 659-5227,EIN 86-0914408,7221 E Belleview St,Scottsdale,AZ,85257,USA
Mystical Spiritualist Church,http://,,EIN 26-0048962,7162 E Barefoot Ln,Prescott Vly,AZ,86314,USA
North American Pet Pig Association Inc,http://www.petpigs.com,,EIN 59-3280799,15525 East Via Del Palo,Gilbert,AZ,85298,USA
Alzheimers Research and Prevention Foundation,http://www.AlzheimersPrevention.org,(520) 749-8374,EIN 86-0735832,6300 E. El Dorado Plaza Suite 400,Tucson,AZ,85715,USA
Maggies Place Inc,http://www.maggiesplace.org,602-262-5555,EIN 86-0972675,P.O. Box 1102,Phoenix,AZ,85001,USA
Desert Botanical Garden,http://www.dbg.org,(480) 481-8155,EIN 86-0136925,1201 N Galvin Pkwy,Phoenix,AZ,85008,USA
BIG MOUTH PRESENTATIONS INC,http://www.bigmouthpresentations.com,(480) 221-5171,EIN 20-2823879,PO Box 11934,Glendale,AZ,85318,USA
Robinson Ranch,http://,(602) 268-4972,EIN 26-3216499,1231 E Ardmore Rd,Phoenix,AZ,85042,USA
Woofs Wiggles N Wags Rescue,http://,,EIN 45-5352384,4848 E Cactus Rd Ste 505-160,Scottsdale,AZ,85254,USA
Hospice Of The Valley,http://www.hospiceofthevalley.org,(602) 530-6900,EIN 86-0338886,1510 E Flower Street,Phoenix,AZ,85014,USA
Child Crisis Arizona,http://childcrisisaz.org/,480-834-9424,EIN 86-0324144,817 N. Country Club Dr.,Mesa,AZ,85201,USA
Save The Scenic Santa Ritas,http://www.scenicsantaritas.org,,EIN 86-0844725,8987 E Tanque Verde Road,Tucson,AZ,85749,USA
U Saved Me Guidance & Development,http://,,EIN 26-4743108,6522 E Melrose St,Mesa,AZ,85215,USA
YUME JAPANESE GARDENS OF TUCSON,http://Yumegardens.org,520-332-2928,EIN 45-3178901,2130 N Alvernon Way,Tucson,AZ,85712,USA
USA Clydesdale Preservation Foundation,http://,,EIN 45-5480044,17208 E Saragosa St,Gilbert,AZ,85295,USA
Teen Lifeline Inc,http://www.TeenLifeline.org,(602) 248-8337,EIN 86-0966427,PO Box 10745,Phoenix,AZ,85064,USA
Higher Octave Healing Inc.,http://,,EIN 27-1896282,Po Box 7608,Tempe,AZ,85281,USA
Southern Arizona Arts And Cultural Alliance,http://www.saaca.org,,EIN 86-0841015,7225 N Oracle Road,Tucson,AZ,85704,USA
Dreamchaser PMU Rescue & Rehabilitation,http://www.dreamchaserpmu.org,(623) 910-6530,EIN 20-5168546,48019 N 7th Avene Dunrovin Ranch,New River,AZ,85087,USA
Phoenix Women's Chorus,http://www.phoenixwomenschorus.org,602 487 1940,EIN 86-0935279,PO Box 34464,Phoenix,AZ,85067,USA
The G T Outreach Program,http://www.thegivingtreeoutreach.org,,EIN 86-1033135,4888 E Broadway Bl,Tucson,AZ,85711,USA
Friends Of Marty Robbins,http://,,EIN 86-0740844,156 N Railroad Ave,Willcox,AZ,85643,USA
Pima County-Tucson Womens Commission Inc,http://pimatucsonwomen.org,(520) 624-8318,EIN 86-0708408,240 N Court Ave,Tucson,AZ,85701,USA
Pinnacle Presbyterian Church,http://,,EIN 86-0708287,25150 N Pima Rd,Scottsdale,AZ,85255,USA
Valley Of The Son Christian Ministries Inc,http://,,EIN 26-4584081,3394 E Hawk Pl,Chandler,AZ,85286,USA
Mutt Matchers & Friends,http://www.muttmatchers.org,928-718-4364,EIN 57-1161427,PO Box 766 1001 Buchanan St,Kingman,AZ,86402,USA
"Assistance League of Tucson, Inc",http://www.assistanceleaguetucson.org,520-326-8452,EIN 86-6057789,1307 N. Alvernon Way,Tucson,AZ,85712,USA
MASK (Mothers Awareness on School-age Kids),http://www.MASKmatters.org,4805025337,EIN 26-0791069,8937 E Bell Rd suite 202,Scottsdale,AZ,85260,USA
American Cancer Society Inc,http://,,EIN 86-0113940,2929 E Thomas Rd,Phoenix,AZ,85016,USA
NEW LIFE CLINICS CHARITABLE TRUST,http://www.freehypnosisclinic.com,928-692-9594,EIN 94-3188165,5536 N Copper Canyon Way,Kingman,AZ,86401,USA
Kit Kat Rescue,http://,,EIN 26-2738822,Po Box 2006,Chandler,AZ,85244,USA
Friends of Africa International,http://www.friendsofafricaaz.org,310-396-4000,EIN 74-2488671,"8711 E. Pinnacle Peak Rd., #352",Scottsdale,AZ,85255,USA
McDowell Sonoran Land Conservancy,http://www.mcdowellsonoran.org,480-998-7971,EIN 86-0674350,16435 N Scottsdale Rd Ste #110,Scottsdale,AZ,85254,USA
HOMEWARD BOUND,http://www.homewardboundaz.org,(602) 263-7654,EIN 86-0660875,2302 W Colter St,Phoenix,AZ,85015,USA
Kingman Old Timers Chat-N-Chow,http://,,EIN 86-0899409,1776 1/2 Airway,Kingman,AZ,86401,USA
Hearts That Purr Feline Guardians,http://www.heartsthatpurr.org,520-297-3780,EIN 46-2122623,PO Box 36418,Tucson,AZ,85740,USA
Journeys End Ranch Animal Sanctuary,http://www.jersanctuary.org/,928-757-7182,EIN 80-0456596,3085 East Prairie Hill Road,Kingman,AZ,86409,USA
"Animals in Disaster (AID),Empty Bowl Pet Food Pantry, Disaster Service Inc",http://emptybowlpetfoodpantry.org,602-909-7153,EIN 01-0975325,Mail: 610 E. Bell Rd  Suite 2-271,Phoenix,AZ,85022,USA
ENVISION THERAPEUTIC HORSEMANSHIP,http://www.envisiontherapy.org,480-262-3434,EIN 46-2852508,Po Box 30921,Phoenix,AZ,85046,USA
Rim Country Literacy Program Inc,http://,,EIN 86-0616641,103 E Aero Dr Ste D,Payson,AZ,85541,USA
Scott Foundation,http://www.Scott-Foundation.org,480.688.9800,EIN 47-0980880,P.O. Box 4927,Cave Creek,AZ,85327,USA
Seniors Personal Assistance Corporation,http://,(480) 855-3349,EIN 45-4551483,921 S Val Vista Drive,Mesa,AZ,85204,USA
Kansas Humane Society,http://www.kshumane.org,316-524-9196,EIN 48-0554339,3313 N Hillside,Wichita,KS,67219,USA
Allegro Choirs Of Kansas City Inc,http://www.allegrokc.org,(913) 422-0469,EIN 46-0494358,110 W 3rd St,Bonner Spgs,KS,66012,USA
Heartland Therapeutic Riding Inc,http://heartlandtherapeuticriding.org,(913) 897-3939,EIN 43-1115070,Po Box 391,Stilwell,KS,66085,USA
Forever Friends Animal League,http://,,EIN 48-1250695,PO Box 9361,Shawnee Msn,KS,66201,USA
"Franklin Community Council, Inc.",http://www.franklinkansas.com,,EIN 48-0790296,P. O. Box 43,Franklin,KS,66735,USA
St John The Baptist Catholic Church,http://,,EIN 48-0707388,401 N Ridge Ter,Hanover,KS,66945,USA
National Society Of Daughters Of The American Revolution,http://www.dar.org,,EIN 48-6117443,9924 Edith Ave,Kansas City,KS,66109,USA
Doorstep Inc,http://www.doorsteptopeka.org,(785) 357-5341,EIN 48-0734624,1119 Sw 10th Ave,Topeka,KS,66604,USA
"Rainbows United, Inc.",http://www.rainbowsunited.org,(316) 267-5437,EIN 48-0793004,3223 North Oliver Avenue,Wichita,KS,67220,USA
JUNCTION CITY CARING PLACE,http://JCCARINGPLACE.ORG,785-238-4428,EIN 74-3138544,1013-B 8th Street,Junction City,KS,66441,USA
Kingdom Promotions,http://www.kingdompromotions.org,(785) 632-3357,EIN 64-0910430,407 Lane St,Clay Center,KS,67432,USA
Concordia Foursquare Church,http://,,EIN 91-2089266,129 W 6th St,Concordia,KS,66901,USA
Chanute Ministerial Alliance,http://,,EIN 23-7440318,916 S Evergreen Ave,Chanute,KS,66720,USA
Plumb Place,http://,(620) 342-1613,EIN 48-0559092,224 E 6th Ave,Emporia,KS,66801,USA
Sawyer Memorial Housing Inc,http://,(316) 321-4300,EIN 48-1071672,Po Box 230,El Dorado,KS,67042,USA
Mennonite Brethren Foundation,http://,,EIN 48-1092804,315 S Lincoln Box 220,Hillsboro,KS,67063,USA
Saint John Hospital Inc,http://www.providence-health.org/sjh,(913) 680-6000,EIN 48-0543768,3500 South Fourth Street,Kansas City,KS,66048,USA
Grace Lutheran Church,http://,,EIN 52-1314971,1200 W 11TH St,Liberal,KS,67901,USA
Birthright Of Dodge City Inc,http://,,EIN 51-0195803,Po Box 815,Dodge City,KS,67801,USA
Tiyospaye Inc,http://www.higherg.org,(316) 262-2060,EIN 48-1125182,247 N Market St,Wichita,KS,67202,USA
Oskaloosa Rural Housing Development Incorporated,http://,,EIN 48-0948744,Po Box 306,Oskaloosa,KS,66066,USA
Guidance Center Inc,http://www.theguidance-ctr.org,(913) 682-5118,EIN 48-1139846,500 Limit St,Leavenworth,KS,66048,USA
Veronicas Voice Inc,http://www.veronicasvoice.org,(816) 483-7101,EIN 20-3902846,Po Box 172472,Kansas City,KS,66117,USA
Oakview Christian Church,http://,,EIN 48-0692292,4403 Greenhaven,Wichita,KS,67216,USA
Keep America Beautiful-Topeka- Shawnee County Inc,http://www.kabtopsh.org,,EIN 48-0887925,Po Box 750775,Topeka,KS,66675,USA
Downs Senior Citizens Inc,http://,,EIN 48-0978000,514 Morgan Ave,Downs,KS,67437,USA
Riverview Health Services Inc,http://www.riverviewhealthservices.org,(913) 371-7070,EIN 48-1072716,722 Reynolds Ave,Kansas City,KS,66101,USA
CARS 4 CHRISTMAS INC,http://www.Cars4Christmas.org,913-643-1491,EIN 11-3663200,PO BOX 25364,OVERLAND PARK,KS,66225,USA
Kansas Coalition Against The Death Penalty Inc,http://www.ksabolition.org,,EIN 48-1070796,Po Box 2065,Topeka,KS,66601,USA
Adventist Health Mid-America Inc,http://,(913) 676-2184,EIN 52-1347407,9100 W 74th St,Shawnee Msn,KS,66204,USA
Women's Aglow Fellowship,http://www.aglow.org/,,EIN 51-0237671,3800 Se 32nd Pl,Topeka,KS,66605,USA
SUNSHINE CONNECTION OF TOPEKA INC,http://,(785) 232-0315,EIN 48-1167462,2915 Sw 8TH Ave,Topeka,KS,66606,USA
Theatre Lawrence,http://,(785) 843-7469,EIN 48-1014727,1501 New Hampshire St,Lawrence,KS,66044,USA
