name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	The China Care Program		Half the Skys Nurture and Education Programs	The Youth Empowerment Program
Noroton Heights Depot Inc	http://dariendepot.org	(203) 655-0812	EIN 06-1269671	Po Box 2381	Darien	CT	06820	USA	Children & Youth, Youth Centers & Clubs	The noroton heights depot is a teen center which provides a safe, supervised, drug-free and alcohol-free environment in which high school age youth can gather and socialize. Through its own student governance and recreational inter- face with other youth organizations and the high school. The depot offers opportunities for leadership experiences and positive youth development.					The noroton heights depot is a teen center which provides a safe, supervised, drug-free and alcohol-free environment in which high school age youth can gather and socialize. Through its own student goverment and recreational interface with other youth organizations and the high school. The depot offers opportunities for leadership experiences and positve youth development  the noroton heights depot is a teen center which provides a safe, supervised, drug-free and alcohol-free environment in which high school age youth can gather and socialize. Through its own student governance and recreational interface with other youth organizations and the high school. The depot offers opportunities for leadership experiences and positive youth development.				
Boys And Girls Village Inc	http://www.bgvillage.org	(203) 877-0300	EIN 22-2562827	528 Wheelers Farms Rd	Milford	CT	06461	USA	Group Homes, Human Services	Boys and girls village serves children and families in at-risk situations by strengthening their ability to succeed in life					Therapeutic foster care - see attached  special education - see attached  safe haven- psb- see attached				
Iwo Jima Memorial Historical Foundation Inc	http://www.SOSIwoJima.com	(860) 291-9666	EIN 06-1456683	P. O. Box 310516	Newington	CT	06131	USA	Arts & Culture, Historical Organizations	The Iwo Jima Memorial Historical Foundation, Inc.  is a non-profit 501(c)(3) organization which supports the mission started by the Iwo Jima Survivors Association.  It works to maintain the National Iwo Jima Memorial located on the New Britain-Newington town line in Connecticut.  It also serves to educate the public about the battle of Iwo Jima and to pay tribute to the men who fought and died there.	We have posted 100 flag units around the park on the new fence.  Each flag flies in memory of one of the 100 Servicemen from Connecticut that was killed during the Battle of Iwo Jima.	maintain the National Iwo Jima Memorial		Connecticut	Annual patriotic ceremonies to remember and honor our veterans.  Annual events that promote education and honor.  Iwo Jima Survivors Victory Ride, Flag Day Open House, VJ Day Candlelight Ceremony of Remembrance.				
Solar Youth Inc	http://www.solaryouth.org	203-387-4189	EIN 06-1600471	53 Wayfarer St	New Haven	CT	06515	USA	Education, Educational Services	Solar Youth provides opportunities for young people to develop a positive sense of self and connection and commitment to others through programs that incorporate environmental exploration, leadership and community service.	Solar Youth has worked with over 2,500 youth since our founding in 2000.	Our target audience is youth who reside in New Havens low income communities.  These youth are faced with incredible challenges such as poverty, crime and violence in their communities, and are in great need of positive supports and opportunities to succeed.	450	New Haven	After-school program hosted by a school or neighborhood that follows our program model, Kids Explore! Kids Do! Kids Teach!Youth learn about their local environment then develop a Community Service Action Project to address an issue they define, and a Public Education Project to teach what they learned and accomplished to others.				
The Cetacean Society International Incorporated	http://csiwhalesalive.org	(717) 763-9507	EIN 06-6183660	Po Box 953	Georgetown	CT	06829	USA	Animal Protection & Welfare, Animals, Environment, Marine Science & Oceanography, Natural Resources Conservation & Protection, Technology	To protect the viable habitat and the cessation of all killing and captive display of whales, dolphins, and porpoises. Also to promote benign activities such as regulated whale watching, nonlethal and humane reserve, and widespread educational, environmental and observation programs relating to free roaming cetaceans internationally.					Grants and allocations - support of scientific research and projects of individuals and organizations involving marine mammals and cetaceans.   communications - mailings of educational materials and newsletters to members and other interested individuals and organizations.   meetings - attendance and participation of cetacean society international representatives at national and international whale conservation meetings.				
Groton Animal Foundation Inc	http://		EIN 20-8292543	Po Box 7023	Groton	CT	06340	USA	Animal-Related, Animals										
Molly's Babies Inc	http://www.mollysbabies.org		EIN 27-0727060		Norwich	CT	06360	USA	Children & Youth, Youth Development	Our inspiration for Molly's Babies was my own beautiful granddaughter Molly, who passed away at 6 weeks old and will never get a chance to care for own baby doll.  We wanted to honor her short but beautiful life by doing something meaningful for little girls in her name.  So Mollys Babies was born.  Molly's Babies are special baby dolls -- some new, some gently used -- all lovingly cleaned and redressed by our volunteers to be given to little girls  -- little Mommies -- all over the country who don't have a baby doll to hold and care for.    Molly's Babies all come with a Birth Certificate and a gift card to the new "Grandparents" explaining Mollys Babies and our Mission.  And depending on availability, the dolls will come with accessories which may include things such as bottles, blankets, toys, and/or hats.	We have given out baby dolls so far. we have spent most of our time getting Molly's Babies up and running.	Low-income, children 0 to 12							
Catales Incorporated	http://	(860) 344-9043	EIN 06-1538839	Po Box 901	Middletown	CT	06457	USA	Animal Protection & Welfare, Animals	Animal welfare									
Laurel House Inc	http://www.laurelhouse.net	(203) 324-1816	EIN 22-2511467	1616 Washington Blvd	Stamford	CT	06902	USA		Psychosocial rehabilitation, supportive housing and occupational placement programs for those with severe mental illness.					Psychosocial rehabilitation, supportive housing and occupational placement programs.				
Robotics And Beyond Inc	http://roboticsandbeyond.com	(860) 799-5200	EIN 20-8821398	30 Bridge St Ste 204	New Milford	CT	06776	USA	Science & Technology, Technology	Education services in science and technology					Off site consulting and instruction provided curriculum plans, equipment recommendations and instruction to educational institutions and public and private groups in topics of science, technology, engineering, matematics (stem) and design.   mulit session classes - 14 various classes provided introductory, intermediate and advanced courses, involving 3-6 days, in topics of science, technology, engineering, mathematics (stem) and design for k-12 grades.   one day workshops provided single-event classes of 1-3 hours, from beginner to advanced stem and design topics for k-12 grades.   summer camp provide week long full and half-day camps for k-12 grades in stem and design, benefitting approximately 125 children.				
Carousel Child Care Center And Nursery School Inc	http://		EIN 06-1330872	PO Box 124	Cobalt	CT	06414	USA	Education, Preschools										
Healthy Eyes Alliance	http://www.healthyeyesalliance.org	(312) 363-6001	EIN 36-3667121	129 Church Street Suite 820	New Haven	CT	06510	USA	Eye Diseases, Blindness & Vision Impairments, Health	To prevent vision loss and promote healthy eyes.				New York, Connecticut and New Jersey	Public education/awareness - public awareness is a core activity of prevent blindness. We accomplish this task through various mediums - our website, social media, newsletters, public service announcements, media outreach, publications, and fact sheets. Simultaneously, we strive to stay in touch with ever-advancing new technologies to reach the public. Served over 1. 2 million people nationwide.   health education & training- with our various health education initiatives, prevent blindness educates specific populations about vision and eye health and safety. These programs can be delivered to eye care professionals, nurses, teachers, social workers, and others in the field of blindness prevention through a variety of venues and rely on both existing and customized prevent blindness resources for their content. Current programs include the diabetic eye disease educator program, the glaucoma educator program, and the healthy eyes adult education program. Served nearly 7 thousand professionals nationwide.   community service/patient support- in support of our early detection efforts, prevent blindness offers a number of patient support initiatives to assist individuals in accessing care and dealing with their various vision and eye health problems. Working with a number of partners, including vision care insurance companies, optical industry members, pharmaceutical companies, and eye care professionals, we coordinate access to donated eye exams, eye glasses, and other services for financially qualified, uninsured individuals. Through our website, we also provide a wealth of financial assistance resources. In addition, our affiliate system screened over 1. 7 million patients nationwide for early detection of eye trouble among children and adults.   research- prevent blindness is committed to promoting laboratory, clinical and epidemiological vision and eye health research. To support important advancements in the understanding of vision and eye health, we mobilize grassroots support for protecting and increasing funding for vision and eye health research through the national eye institute and the centers for disease control and prevention. We also participate in research directly through the prevent blindness investigator awards, as well as our own internal public health research-related efforts.				
Brainerd Memorial Library Association Inc	http://www.brainerdlibrary.lioninc.org	(860) 345-1066	EIN 06-6026006	920 Saybrook Rd	Haddam	CT	06438	USA	Education	The organization's primary exempt purpose of the organization is to manage the operation of brainerd memorial library, the public library of the town of haddam, ct.					The organization's sole activity is to provide free library services to the residents of the town of haddam, connecticut.   the organization's sole activity is to provide free library services to the				
COLCHESTER LAND TRUST INC	http://www.colchesterlandtrust.org	(860) 537-5596	EIN 81-0622538	PO Box 93	Colchester	CT	06415	USA	Environment, Natural Resources Conservation & Protection	The purpose of the colchester land trust is to protect the beauty and natural diversity of our area by preserving significant land and scenic areas for present and future generations.					Land acquisition: the colchester land trust acquires and conserves land for present and future generations. The organization assists landowners in protecting important conservation lands by accepting land or conservation easement donations, or by directly purchasing land or conservation easements.   community outreach: the colchester land trust engages in community outreach activities by providing public education on the benefits of land conservation and strategies for protecting the rural quality of our community. The organization participates in a number of community events and works with the town's education system to provide immersive conservation experiences for bacon academy students.				
T-75, Inc.	http://		EIN 22-2900387	23 Bunny Rd	Preston	CT	06365	USA											
ADOPT A BOXER RESCUE	http://www.adoptaboxerrescue.com	1-877 570 0360	EIN 20-1921004	PO BOX 270551	West Hartford	CT	06127	USA	Animal Protection & Welfare, Animals	Adopt A Boxer Rescue is an all-volunteer 501 (c) (3) charitable organization formed to rescue, rehabilitate, and re-home unwanted and abandoned boxer dogs within the northeast United States. We work within Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Washington DC & Northern Virginia.				North Eastern United States	Rescue and care of abandoned boxers - providing care, temporary shelter and vetinary services.				
Clare Nsenga Foundation	http://		EIN 06-1590386	106 Bulkeley Hill Rd	Colchester	CT	06415	USA	AIDS, Health										
Norfolk Land Trust Inc	http://www.norfolklandtrust.org	(860) 542-3977	EIN 06-1072464	Po Box 363	Norfolk	CT	06058	USA	Environment, Land Resources Conservation	To encourage the preservation of open space in norfolk, ct and neighboring towns for the public benefit and to serve as a vehicle for public land that has been set aside for open space purposes					The organization incurred costs to acquire land for preservation, stewardship costs for existing land held for conservation purposes and various ancillary activities such as trail management.				
Friendship Service Center Of New Britain Inc	http://www.friendshipservicecenter.org	(860) 225-0211	EIN 06-0871295	Po Box 1896	New Britain	CT	06050	USA	Homeless & Housing, Homeless Shelters	The organization provides direct services to the poor and needy in the form of housing assistance, community kitchen and emergency needs assistance for individuals and families in the greater new britain area.					Shelter & kitchen program - a homeless shelter & food kitchen for the benefit of homeless men, women, and children & other needy persons. 14,000 bed nights & 65,000 meals were provided.   permanent supportive housing - housing for those who are homeless with built in social service supports to prevent evictions and a return to homelessness, both scattered site and project based.   transitional living program - a program designed to assist homeless men and women into self supporting situations by providing training & counseling services along with providing food and shelter.   rapid re-housing				
Hometown Foundation Inc	http://		EIN 20-0847683	C/o Bert Condren 275 Schoolhouse Rd	Cheshire	CT	06410	USA	Named Trusts, Philanthropy										
Arts for Healing Inc	http://www.artsforhealing.org/	203-972-2982	EIN 06-1595505	24 Grove St	New Canaan	CT	06840	USA	Arts & Culture, Arts Education, Autism, Disabilities, Education, Health, Special Education	Arts for Healing (AFH) is a not-for-profit corporation that is dedicated to providing creative arts therapy services and programs for people with special needs in Fairfield County, Connecticut and its surrounding communities. Through the practice of therapy in music and art, complementary arts programs and outreach programs, we aim to reach the area''s most isolated individuals and their families.					Arts for Healing offers individual Music and Art Therapy for people with special needs, including those with Autism, Alzheimers, developmental delays, ADHD and other learning disabilities, Down syndrome,seizure disorder, Cerebral Palsy. In additions, we offer a Saturday TheatreWorks program for special needs children ages 6 to 21 and music therapy outreach programs to senior centers, group homes and schools.				
Evangelical Christian Church Of Waterbury Inc	http://		EIN 22-2533103	1325 Watertown Ave	Waterbury	CT	06708	USA											
Pawcatuck Neighborhood Center Inc	http://www.the-pnc.org	(860) 599-3285	EIN 06-1121511	Po Box 1697	Pawcatuck	CT	06379	USA	Human Services, Neighborhood Centers	To provide human service, transportation, and recreational services to the residents of stonington, ct, north stonington, ct, and westerly, rhode island.					Free food distribution and counseling referral to families in stonington, north stonington, and westerly. An estimated total of 592,882 of food was given to local area residents.   senior lunches and activities.   transportation for residents in local communities.   recreational and social events for the area's youth and families.				
Passion 4 Paws Inc	http://		EIN 22-2549219	1206 Hartford Pike	Dayville	CT	06241	USA											
Community Centers Inc	http://www.ccigreenwich.org	(203) 869-1276	EIN 06-0703570	61 E Putnam Ave	Greenwich	CT	06830	USA		Community centers, inc. Is a greenwich-based social service agency dedicated to building skills that empower clients to overcome educational, social, and economic barriers.					Homework clubs we provide homework clubs for over 290 students at four greenwich elementary schools. The children have a quiet place to work and assistance with their homework. We also facilitate a breakfast club at the julian curtiss school. Youth program cci works with children and youth, grades 1-12, providing counseling, tutoring, educational activities, recreation, trips, and advocacy. Summer program we provide a summer program for children and youth in greenwich public housing. It involves swimming, tennis, recreational activities, a reading program for grade school children, and a career exploration for youth. We also provide the opportunity for family trips and a barbeque to kick off the summer program. Transportation is provided. Cost is minimal. Over 150 young people and families are served. Senior services cci works with the seniors living in the greenwich housing authority subsidized housing complexes. The goal of our program is to help the elderly live independently and lead satisfying lives. Our services include:on-site support, intervention and advocacy as necessary. Opportunities for weekly shopping trips to promote independence and social interaction therapeutic recreation, such as museum trips, restaurants, discussions, games, films, etc. Arts & crafts programs drop-in counselingspecial needs groups every monday, tuesday, wednesday and thursday, cci holds special needs groups for adults and young adults with developmental disabilities. The groups are designed to allow individuals with special needs the opportunity to participate in the community, fostering resiliency and inclusion. Citizenship classes cci provides free weekly citizenship training classes for people seeking to pass the us citizenship exam. Over 150 people have successfully passed this exam within the past several years. For people seeking to learn english, free esl classes are taught twice per month.				
Hillhouse Opera Company	http://		EIN 26-3218851	151 Bradley St 2	New Haven	CT	06511	USA	Arts & Culture, Opera										
Newtown Foundation Inc	http://newtownaction.org/newtown-foundation/		EIN 46-2483740	Po Box 3325	Newtown	CT	06470	USA	Philanthropy, Public Foundations	The Newtown Foundation is a Newtown-based, all volunteer organization formed after the Sandy Hook Elementary School shooting to help families of victims, survivors and community members impacted by gun violence to transform their tragedies into positive cultural change to end gun violence. The Newtown Foundation is a 501(c)(3) organization. Your contribution is tax deductible to the fullest extent of the law.	Since December 14, 2012, we held the National Vigil for All Victims of Gun Violence during the anniversary of the Sandy Hook tragedy in Washington D.C. for the last three years--giving voice to advocates, families of victims, survivors impacted by gun violence nationwide and raising awareness of the toll of gun violence; coordinated 50-State nationwide local vigils and events with faith and gun violence prevention organizations across the nation to raise awareness; held educational forums on gun violence including a #HonorWithAction Connecticut Youth Forum on Gun Violence Prevention; and sponsored youth to attend PeaceJam and Generation Progress #Fight4AFuture educational summits.								
Newtown Volunteer Ambulance Association Inc	http://		EIN 06-0885873	77 Main St	Newtown	CT	06470	USA	Emergency Medical Services & Transport, Health										
Montage Initiative	http://www.MontageInitiative.org	203-983-8873	EIN 27-0610833	955 Connecticut Avenue Suite 1208	Bridgeport	CT	06607	USA	Nonprofit Management	Montage Initiative connects trusted hearts, minds and hands across world markets and invests in the willingness to give, create, innovate and act. Through a combination of mentoring, microfinance and a Montage of support, we enable women at the heart of our programs to improve their living conditions while transforming the lives of their families, their communities and themselves.	Montage Initiative has partnered with Fairfield University to enhance the universitys International Studies Program through engaging students in service learning related to non-governmental organizations. This project began in the 2011-2012 school year and will continue through the 2012-2013 year and beyond. Montage Initiative involves the students in its practical work and projects by granting them the opportunity to combine their studies with the real world experience in an NGO. Montage Initiative offers internships of varying durations and volunteer opportunities to the students. The goal of this project is to prepare students for work in the non-profit sector and follow their passions for helping others.	Women and girls of all ages in CT (USA), India and Africa.	300	India, USA, United Kingdom	Montage Initiatives current projects include:  Women of India - enabling women from five villages in Vrindavan to extend their capabilities, finalizing ideas initially explored in better serving their needs;   Toilets, Anyone? - supporting the basic human right for access to potable water and sanitation;   Film Production - creating Mission-Driven Media, highlighting issues surrounding poverty and tradition while raising awareness to new audiences around the world;    Traveling Art Gallery  (TAG) - offering the use of space for the less fortunate around the globe to create and exhibit art in many different forms of mediums.				
Dream Come True of Western Connecticut Inc	http://		EIN 06-1318497	PO Box 2415	Danbury	CT	06813	USA	Health, Patient & Family Support										
Bethel Center For Humane Services Inc	http://		EIN 22-2488523	1154 Blue Hills Ave	Bloomfield	CT	06002	USA											
Bloomfield Back To School Fun Fair	http://		EIN 46-5757739	330 Park Avenue	Bloomfield	CT	06002	USA	Education, Educational Services										
Connecticut Challenge Inc.	http://www.ctchallenge.org	203-292-8722	EIN 20-2777748	250 Pequot Avenue	Southport	CT	06890	USA	Health	See above		cancer survivors everywhere live healthier, happier, longer lives	54,000 cancer survivors live healthier, happier lives.	the arena of cancer survivorship	The CT Challenge (CTC) is a nonprofit dedicated to improving and prolonging the lives of the 14 million cancer survivors living in the US.  CTCs mission is to empower cancer survivors to take control of their health by offering credible educational materials, comprehensive resources and a roadmap for all those impacted by the disease to live healthier, happier and longer lives.  The CTC opened the Center for Survivorship in 2013 to lead the field of cancer survivorship care in the areas of nutrition, exercise and psycho-social support.				
Public Library Of New London	http://lioninc.org/newlondon		EIN 06-0662170	63 Huntington St	New London	CT	06320	USA	Arts & Culture, Education, Historical Organizations, Libraries	The Public Library of New London was founded in 1892 on the bequest of whaling merchant Henry Philemon Haven.  The Library serves the needs of the New London community by providing free access to a diversity of ideas and information through a variety of library materials, services, and experiences.  The Library features current, high-demand and high-interest materials in a variety of formats.  At the same time, the Library assists those in educational programs and serves as a gateway to learning for children.									
Neighborhood Music School	http://www.NeighborhoodMusicSchool.ORG	(203) 624-5189	EIN 06-0662152	100 Audubon St	New Haven	CT	06510	USA	Arts & Culture, Performing Arts Schools	Neighborhood Music School strives to provide the highest quality instruction in music, dance and drama and to make education and performance accessible to people of all ages, backgrounds, economic means, and levels of ability.					NMS offers individual and group class instruction in over 30 instruments and 7 genres of dance. Its 130 faculty are both professional educators and active performing artists. More than 3000 students participate each year. These students range in age from 6 months to over 80 years and include beginners to advanced and professional level artists, and many adult students who are returning to instrumental instruction after a long hiatus. NMS has one of the largest ensemble programs in the country with over 100 ensembles performing together weekly including the renowned Greater New Haven Youth Orchestra, Concert Band and Symphonic Wind Ensemble. Instruction is on an academic cycle with two regular semesters running 18 weeks each, though rolling admissions are accepted.				
The Bridge To Independence And Career Opportunities Co	http://		EIN 06-1377246	22 Eagle Rd	Danbury	CT	06810	USA	Health, Rehabilitative Care										
Women of Power Network, Inc	http://womenofpowernetwork.wix.com/womenofpowernetwork	203-907-1873	EIN 26-4218125		West Haven	CT	06516	USA	Big Brothers & Big Sisters, Children & Youth	To Inform and empower women and girls to address issues affecting their health, education, financial and social wellbeing.	Over the past 5 years our mentorship/fellowship program has had great results, graduating 100% of our  Developing Leaders Mentoring Program  and Teen SMART students (class of 2013 and 2015). Through our college readiness and SAT workshops, students increased their GPA and SAT scores and successfully graduated from high school. 100% of our students went on to 4 year colleges to major in subjects in line with their passion, talent, and unique abilities In addition, their mentors also graduated from college and many went on to pursue Masters and PhDs. Overall 35 students are better off as a result of their participation in our mentorship program.  Our Women's Network consist of professional  women from a host of careers in healthcare, business, education, finance, social work, and more. They are dedicated servant leader striving to uplift and inspire our fellows be reach their full potential.	To help enrich the lives of women and girls from all socioeconomic backgrounds with a special interest in serving those from low income communities.	20 students and 150 women and girls throughout Connecticut at our Wellness Expo!	Greater New Haven	1. Provides leadership and social development, college exploration and mentoring to  high school girls through our Teen SMART ( Sisters Mastering Academics and Realizing their Talent) Fellowship Program.  2. Professional Women's Network ( WOPN)~ business capacity building, networking, professional and leadership development, advocate special causes, support group, and fundraising to support our mentorship program.   3. Peer mentoring within the women's network				
Community Partners In Action	http://		EIN 06-0646592	110 Bartholomew Ave Ste 3010	Hartford	CT	06106	USA		Our mission is to restore dignity and respect to those affected by the criminal justice system.									
Tri-County Arc Inc	http://tri-countyarc.org	(860) 228-2070	EIN 22-2542391	40 Hale St	Vernon	CT	06066	USA	Human Service Organizations, Human Services, Job Training	Tri-county arc's mission is to enhance the lives of people with disabilities by providing individualized support that promotes self- reliance at home, at work and in the community.					Group homes and supported living arrangements for the developmentally disabled--currently 49 clients are being served.   day programs provide vocational and social training skills for approximately 144 developmentally disabled persons.				
Norwalk Sister City Project, Inc.	http://www.sistercityproject.org		EIN 22-2989386	PO Box 382 32 Allen Rd	Norwalk	CT	06852	USA	Children & Youth, Economic Development, Environment, International, International Cultural Exchange, International Economic Development, International Exchange, Microfinance, Natural Resources Conservation & Protection, Youth Development Programs	The Norwalk/Nagarote Sister City Project (NNSCP) is a partnership for sustainable community development between the people of Nagarote, Nicaragua and the Greater Norwalk area of Connecticut.									
Hartford Gay & Lesbian Health Collective Inc	http://		EIN 06-1172441	Po Box 2094	Hartford	CT	06145	USA											
Good Neighbor Presbyterian Church	http://		EIN 06-1325556	2011 Post Rd	Darien	CT	06820	USA											
Good News Christian Center Inc	http://		EIN 06-1392981	46 John St	Wallingford	CT	06492	USA	Religion, Religion-Related										
Connecticut Heritage Foundation Incorporated	http://		EIN 06-1315704	231 Capitol Avenue	Hartford	CT	06106	USA											
Sexual Assault Crisis Center of Eastern Connecticut Inc	http://www.saccec.oeg	860-456-3595	EIN 06-1033609	PO Box 24	Willimantic	CT	06226	USA	Mental Health, Sexual Assault Services	To ensure that victims of sexual violence, and their families, receive the support they need to heal	This year we helped the community establish a child advocacy center in New London County.	victims of sexual violence	792	eastern Connecticut	Provided comprehensive services to 709 victims of sexual violence. Services included: crisis intervention & trauma counseling, medical & court accompaniment and advocacy; 78% of clients were female, 22% were male, 31% of our clients were children, 14% were college students, 54% were adults, and 1% were senior citizens. Provided educational support and materials to parents regarding child assault prevention, healing, and recovery. Provided services to 903 callers through our 24-hour hotline. Provided primary prevention training to approximately 1,200 men in eastern ct in an effort to reduce the incidence of sexual assualt.				
Sea-Legs Inc	http://www.sea-legs.org	(860) 442-2704	EIN 04-3420792	19 Guthrie Pl	New London	CT	06320	USA	Arts & Culture, Education, Environment, Primary & Elementary Schools, Secondary & High Schools, Water, Water Resources, Wetlands Conservation & Management	Enhance recreational, vocational, and educational options for underprivileged children using the sea and maritime experience as a means for personal, social and future economic potential.					Enhance recreational, vocational, and educational options for underprivileged children using the sea and maritime experience as a means for personal, social and future economic potential.				
Oasis Christian Church Of Connecticut Inc	http://		EIN 74-2766900	500 Bloomfield Ave	Windsor	CT	06095	USA											
Christ Church Of Connecticut Inc	http://		EIN 06-1341984	36-a Padanaram Rd	Danbury	CT	06811	USA											
Gesell Institute of Child Development Inc	http://www.gesellinstitute.org		EIN 06-0665169	310 Prospect St	New Haven	CT	06511	USA	Education, Elementary & Secondary Schools, Literacy										
Healing With Horses At Wildrose Horse Farm Inc	http://		EIN 45-4094792	536 Raymond Hill Rd	Uncasville	CT	06382	USA	Centers to Support the Independence of Specific Populations										
Haitian Health Foundation, Inc.	http://www.HaitianHealthFoundation.org	860-886-4357	EIN 06-1135999	97 Sherman Street	Norwich	CT	06360	USA	Community Clinics, Health, International, International Development, Public Health	The mission of the Haitian Health Foundation (HHF) is to improve the health and well-being of women, children, families and communities living in the greater Jrmie region through healthcare, education and community development.		health and well-being of women, children, families, and communities living in the greater Jrmie region	Over 250,000	Rural southwestern Haiti	healthcare, education, and community development.				
Area Congregations Together Inc	http://www.act-spooner.org	(203) 225-0453	EIN 22-2653859	30 Todd Rd	Shelton	CT	06484	USA	Homeless & Housing, Homeless Shelters	To provide food, shelter and support services to people in need in the lower naugatuck valley and to foster and influence long term solutions to those in need.					Shelter: to provide temporary shelter for homeless persons in new haven county.   food bank: to provide meals for low income persons in new haven county.				
buildOn	http://buildOn.org	204-585-5390	EIN 22-3128648	PO Box 16741	Stamford	CT	06905	USA	Children & Youth, International, International Development, Youth Development - Citizenship	At home or abroad, buildOns is working to break the cycle of poverty, illiteracy and low expectations through service and education.	Our students have contributed over 1 million hours of service in the U.S., and have helped build more than 500 schools around the world.				In the U.S., buildOn empowers urban youth to transform their neighborhoods through intensive community service and to change the world by building schools in some of the economically poorest countries in the world. Internationally, buildOn is breaking ground on a new school every five days in Haiti, Nicaragua, Nepal, Senegal, Malawi, and Mali.				
People First Inc	http://		EIN 06-1313664	43 Woodland St Ste 260	Hartford	CT	06105	USA											
Pagan Community Church	http://		EIN 06-1463620	PO Box 5622	Bridgeport	CT	06610	USA											
North Star Foundation	http://www.NorthStarDogs.com		EIN 06-1589586	20 Deerfield Ln	Storrs	CT	06268	USA	Animal Services, Animals, Autism, Birth Defects & Genetic Diseases, Disabilities, Health, Human Services	North Star Foundation was formed to help children who have developmental differences such as autism, or who must face challenges such as the loss of a parent, through the use of a specially bred and trained Assistance Dog.  Our mission is to help children reach their social, emotional, and educational goals through the use of Animal-Assisted Therapy.  We work with the children's existing therapists to help them incorporate their North Star dog into a child's therapeutic program.  We travel to childrens' schools to present a program to their peers that promotes tolerance and understanding, as we believe there is no better way to teach tolerance than through the avenue of an Assistance Dog that is trained to help.  We also work with children's families, teaching them how to use their North Star Dog to help smooth transitions and soothe anxiety for everybody on the homefront.									
Sharon Land Trust Inc	http://		EIN 06-1069118	Po Box 1027	Sharon	CT	06069	USA	Environment, Land Resources Conservation	The purpose of the trust is to protect and conserve land in the town of sharon ct					Land conservation, maintenance of open space land preserves and acquisition of development rights to preserve open space				
Notre Dame Loyalty & Endowment Fund Inc	http://		EIN 22-2566751	24 Ricardo St	West Haven	CT	06516	USA											
Judy Dworin Performance Project Inc	http://www.judydworin.org	(860) 527-9800	EIN 22-3064328	75 Charter Oak Avenue Suite 206	Hartford	CT	06106	USA	Arts & Culture, Arts & Humanities Councils & Agencies	Judy dworin performance project (jdpp) is a nonprofit organization of professional artists who on stage, in schools, in prisons and in the community innovate, inspire, educate and collaborate. Jdpp harnesses the arts as a powerful catalyst for creative expression through performance, community building and positive change.					The ensemble inspires change through innovative, movement-based, multi-arts performance on stage that examines social and personal issues of our time. The ensemble has performed locally, regionally and internationally and is a uniquely qualified group of performers who are also committed and experienced teachers.   bridging boundaries arts intervention program couples arts intervention with social work, to bridge the forced separations of populations affected by incarceration. The program includes outreach to women at york correctional institution; outreach to women coming back into the community from prison; in-school and after school innovative arts enrichment programs for children and high school students with incarcerated parents including a new mentoring program; a special moms and kids arts weekend retreat at york ci with women residents and their children; and assistantship opportunities for trinity college students to work and do research in these programs.   moving matters residency program brings dance/theater into schools through collaborative projects and arts education programs that explore movement and the creative arts as tools for learning and personal growth.				
Outrun 38 Inc	http://www.outrun38.org	(203) 208-1133	EIN 47-1106304	1094 Main St	Branford	CT	06405	USA	Health	To raise awareness about cystic fibrosis a life threatening genetic disease affecting the lungs and digestive systems of more than 70,000 people worldwide.					To raise awareness and educate the community about cystic fibrosis a life threatening genetic disease affecting the lungs and digestive systems through health based community initiatives that promote fitness and healthy living.   outrun 38 will support adults living with cystic fibrosis by providing funding to ensure high quality medical treatment is available, as well as support the research and development of new treatments to fight this disease.				
Ferret Association Of Connecticut Inc	http://		EIN 06-1386567	14 Sherbrooke Ave	Hartford	CT	06106	USA	Animal Protection & Welfare, Animals										
Agency On Aging Of South Central Connecticut Inc	http://aoascc.org	(203) 785-8533	EIN 06-0915531	1 Long Wharf Dr Ste 1l	New Haven	CT	06511	USA		The organization's mission is to empower adults to remain as independent and engaged as possible within their communities through advocacy, information and services.					Provided assessment and care management and contracted for home care services for more than 3,800 frail persons ages 60 and older living in the community.   provided and/or funded social and nutritional services to 7,500 people living in the community.   provided 239,000 hours of community service through senior volunteers, subsidized employment and socialization for developmentally disabled older adults.				
Southbury Land Trust Inc	http://southburylandtrust.org	(203) 264-4441	EIN 06-0977326	Po Box 600	Southbury	CT	06488	USA	Environment, Land Resources Conservation	The primary exempt purpose is the preservation of natural resources in southbury, connecticut including associated water, woodlands, open spaces, and animal and plant life therein.					Evaluation of property for acquistion and maintenance and monitoring of the organization's property  scholarships for southbury residents entering an educational program relating to the preservation and study of the environment and natural resources.				
N M Animal Welfare Society Inc	http://	(860) 354-1350	EIN 06-6084293	8 Dodd Rd	New Milford	CT	06776	USA	Animal Protection & Welfare, Animals	To place dogs and cats throughout litchfield county. The society runs a large shelter for this area.					The society places numerous dogs and cats throughout litchfield county. The society runs a large shelter for this area and returns all funds for the good of society.				
Journey Found	http://www.journeyfound.org	8606439844	EIN 46-2753734	60 Hilliard St	Manchester	CT	06042	USA	Disabilities, Homeless & Housing, Independent Housing for People with Disabilities	The mission of Journey Found, Inc. is to enable each individual to become all they are capable of being.		adults with disabilties	over 80 people	Throughout Connecticut	residential, behavioral, in-home supports, and other support services.				
