name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year	
Jewish Community Action	http://www.jewishcommunityaction.org	(651) 632-2184	EIN 41-1830619	2375 University Avenue West	St Paul	MN	55114	USA	Civil Rights	Jewish community action is a nonprofit organization made up of jews from diverse backgrounds. It is unified in its commitment to building a more just society. It works with congregations and individuals to provide training, education and opportunities for action to address social and economic justice issues in minnesota.		Community reinvestment and foreclosure work in coalition with other diverse organizations and synagogues to conduct research, recruit volunteers, and provide information and advocacy to lessen the impact of the ongoing foreclosure crisis in specific minneapolis, st. Paul, and suburban neighborhoods.   immigrant rights work in multiple coalitions to respond to local, state and national immigration issues and to organize members of the jewish comminity in coalition with other communities to pass national immigration reform, including extension of the legal status for the liberian community and other immigrant communities.   congregational organizing works with synagogue social justice committees, lay leaders and clergy to identify and build leadership, convene educational programs, involve congregational members in jewish community action issue campaigns and make social justice an integral part of congregational life.				
Species360	http://www.isis.org	(651) 209-9240	EIN 41-1637575	7900 International Dr	Bloomington	MN	55425	USA	Animals, Disaster Aid, International, Promotion of International Understanding, Public Safety, Disaster Preparedness & Relief, Wildlife Preservation & Protection	To facilitate international collaboration in the collection and sharing of information on animals and their environment for zoos, aquariums, and related organizations.		International species information system (isis) is an international information service organization which provides animal inventory, veterinary medical records, and collection planning information services. Isis pooled data contains information from over 800-member zoological institutions worldwide. In addition to data on hundreds of thousands of specimens of over 8,000 vertebrate species, isis develops specimen and population management software for use by member facilities. In addition, isis is building the zoological information management system (zims), a web-based software application, with the participation of almost 500 animal care experts from zoos, aquariums and related organizations worldwide. When complete, zims will be a global animal management system which will allow authorized users access to accurate and comprehensive information on two million animals in more than seventy countries.				
Prevent Child Abuse Minnesota	http://www.pcamn.org	651-523-0099	EIN 41-1354842	709 University Ave W Ste 234	Saint Paul	MN	55104	USA	Child Abuse Prevention, Counseling, Crime & Law, Domestic Violence, Family Services, Human Services, Mental Health	Prevent Child Abuse Minnesota was originally established in 1979 for the Prevention of Child Abuse and later became Family Support Network. Our mission is to prevent child abuse and neglect by promoting positive parenting, healthy families and supportive communities where children are valued and respected.  In 2003, the name was changed to Prevent Child Abuse Minnesota (PCAMN) to more clearly reflect our focus and our work as the Minnesota chapter of Prevent Child Abuse America. PCAMN works statewide with nearly 50 chapter affiliates to provide weekly parenting support groups to 2002.  PCAMN provides tens of thousands of Minnesotans with prevention outreach materials, education, and training annually through regional gatherings and videoconferences. We partner with a variety of organizations to build awareness and advocate for systems and policy change that supports families.		Prevent Child Abuse Minnesota's programs include: Circle of Parents, a statewide network of chapters that sponsor weekly mutual self-help support groups for parents and their children. Parents attend groups to increase their parenting skills, strengthen their relationships with their children and break inter-generational cycles of abuse and neglect. A companion children's program is also offered. The creation and distribution of prevention resources starts early in the year to promote April's Child Abuse Prevention Month. Hundreds of thousands of pieces of literature are distributed statewide to parents, practitioners, schools, daycare centers, and other professionals. We also sponsor the statewide blue ribbon campaign that distributes blue ribbon peaceful parenting tip cards across the state. In addition, PCAMN serves as a clearinghouse for prevention education, services, outreach, advocacy, and training across Minnesota. PCAMN devotes significant resources to training network volunteers, partners, and other community leaders. Almost all PCAMN programs are offered at no charge to parents, volunteers, and our partners.				
Alpha Kappa Psi Scholarship Fund	http://		EIN 41-1925673	Po Box 390604	Minneapolis	MN	55439	USA	Education, Scholarships, Scholarships & Student Financial Aid							
Jade Foundation	http://		EIN 39-1966956	220 South Sixth Street Room 1800	Minneapolis	MN	55402	USA	Birth Defects & Genetic Diseases, Health							
FERGUS FALLS 544 EDUCATION FOUNDATION	http://www.544foundation.org	(218)998-0544 x2	EIN 41-1978590	518 Friberg Ave	Fergus Falls	MN	56537	USA	Education	To raise, invest, and grant money through a charitable foundation to support educational programs.	Fergus Falls, MN	grant funding, summer camp scholarships, and college scholarships.		students in the Fergus Falls Public Schools	four visually impaired students, the entire high school science department, all first, second and third graders, students in the Welding and Machining Program, and many more	
Envision Minnesota	http://www.envisionmn.org	612-757-0500	EIN 41-1909338	2801 21st Avenue South Suite 100	Minneapolis	MN	55407	USA	Environment	Our mission is to promote development that creates healthy communities while conserving natural areas, family farms, woodlands and water.	State of Minnesota	Growing by design:envision minnesota encourages sustainable development patterns that conserve farmland, forests, and natural resources and promote healthy, livable communities. The growing by design program area assists communities that are experiencing development and economic pressures to plan for a successful future in a way that balances growth needs, conservation values and economic sustainability. We believe that citizens should have choices in how their community grows and that integrates citizen input at all levels of the planning process. We promote planning for a diversity of land uses, housing, people, and transportation choices. We believe that neighborhood designs should build a sense of community and encourage communities to plan for sustainable development and not just let development happen to them. Growing by design projects assist communities and counties with needed tools and resources ensuring that citizens and elected officials make informed decisions about the future of their community.   education and policy programs:envision minnesota provides local, regional, and statewide initiatives aimed to raise the level of discussion around minnesota on issues of growth and development while advocating for policies that promote coordinated land use, transportation, and housing options and conservation of natural resources. Our goal is to engage citizens and policymakers to chart a bright future for minnesota with quality communities, sustainable economic vitality, and a healthy environment. We use communication tools, civic engagement opportunities, and large messaging strategies to assert a vision for long-term prosperity in which minnesota and its communities develop in ways that retain our character and sustain the health of our citizens.				
Childrens Shelter Of Cebu	http://www.cscshelter.org	(651) 493-1551	EIN 41-1330241	3600 Lexington Ave	Shoreview	MN	55126	USA	Children & Youth, Children & Youth Services, Education, International, International Relief, Primary & Elementary Schools	We exist to glorify god by demonstrating his love to the philippines as we provide a loving, christ-centered home with comprehensive medical, educational and placement services for homeless filipino children.		General residential expenses: money for childcare, counseling, and security. Children's shelter of cebu provided a loving, christian home to 115 children during the year ended december 31, 2014.   children of hope school: teacher's salaries, supplies, and support. The children of hope school served an average of 65 children with 13 full-time teachers, three part time teachers, three teaching assistants, two interns, and two therapists over the year, a 4:1 student-teacher ratio.   medical: medicines, hospitalizations, lab tests.				
Global Citizens Network	http://www.globalcitizens.org	(612) 436-8299	EIN 41-1731275	129 N 2nd Street	Minneapolis	MN	55401	USA	Arts & Culture, Cultural & Ethnic Awareness, International, Promotion of International Understanding	Global Citizens Network seeks to create a network of people who are committed to the shared values of peace, justice, tolerance, cross-cultural understanding and global cooperation, to the preservation of indigenous cultures, traditions and ecologies, and to the enhancement of the quality of life around the world.		Global Citizens Network sends short-term teams of volunteers to communities in other cultures where participants immerse themselves in the culture and daily life of the community.Each volunteer team is partnered with a local grassroots organization active in meeting local needs.				
Animal Humane Society	http://www.animalhumanesociety.org	(651) 788-4668	EIN 41-0693842	845 Meadow Ln N	Minneapolis	MN	55422	USA	Animal Protection & Welfare, Animals	To engage the hearts, hands and minds of the community to help animals.		Adoption and surrenderanimal humane society helps thousands of dogs, cats, and critters in need find loving homes each year - and no animal is ever turned away. Ahs takes in every animal surrendered regardless of its health, age, breed, or behavior. This commitment to open admission guarantees shelter and care to thousands of animals that would otherwise have no safe refuge. Although many animals can be placed in our adoption programs as soon as they are vaccinated and sterilized, others require specialized care to overcome health and behavior issues. Ahs provides extensive medical treatment, surgery, behavior modification, and foster care to those with special challenges, ensuring that even the most difficult-to-place animals have a chance at adoption. In the year ended june 30, 2015:23,072 companion animals came into ahs facilities; 20,847 of those animals - more than 91% - were placed in homes, reunited with owners, or released to other organizations. 12,078 animals received spay/neuter surgeries prior to adoption and an additional 13,340 animals were sterilized for other rescue groups by ahs and through ahs's partnership with kindest cut. Ahs behavior modification and rehabilitation programs readied 1,573 shy or fearful cats and dogs for placement.   community engagementanimal humane society works with individuals and organizations across minnesota to create a more humane world for animals. In the year ended june 30, 2015, those efforts included:outreach to under-engaged communities, including education programs and free or low-cost services that empower low-income pet owners and improve the lives of pets. These programs served more than 2,729 families in frogtown and east st. Paul. As a result, 1,481 animals received free spay/neuter surgeries and 1,015 pets were served at free wellness clinics. Education programs that foster humane values and compassion for animals, including day camps, a youth club, and other activities for kids and families. Ahs educational programs served 12,160 people, including 2,253 students through educational programs in schools and 1,110 in summer camps. A new community cats program focused on reducing euthanasia and providing alternative solutions for feral and free-roaming cats through return-to-field and trap-neuter-return programs. This program served 592 cats. A partnership with the wildlife rehabilitation center of minnesota that provided emergency care for 1,474 injured and orphaned wild animals. A robust volunteer program that enlists more than 2,400 active volunteers in providing animal enrichment, foster care, shelter support, and other assistance. Volunteers contributed 163,515 hours to ahs and provided foster care for 2,685 animals prior to adoption.   pet servicesahs offers programs to serve all stages of an animal's life, including:more than 80 family-friendly pet training classes each week, along with one-on-one training and socialization sessions, therapy animal courses, play groups, and rabbit agility classes. 1,261 pets attended classes through ahs's training school. A free pet helpline (952-help-pet) that handled 34,188 incoming calls, providing caring, compassionate advice and resources to help with everything from solving behavior problems to finding pet-friendly housing. Peace of mind pet boarding at animal house in golden valley, which served 2,971 pets. Compassionate end-of-life services and a weekly pet loss support group. Online resources for pet owners, including a lost pet bulletin board and behavior resource library at animalhumanesociety. Org.   rescueaiding animals in critical situations is core to ahs's work. Ahs's humane agents respond to reports of possible animal cruelty or neglect throughout minnesota. They receive reports about animals that are lacking proper food, water and shelter. They also participate in larger, more complex cases involving cruelty, with on-site investigations and seizures aiding law enforcement agencies that seek ahs assistance. During the year ended june 30, 2015, our humane investigations unit received 1,534 requests for assistance and opened 529 formal cases. Follow-up investigation of these cases took ahs agents into 64 counties across the state of minnesota. Those investigations impacted the lives of 4,666 animals. Ahs regularly worked with 114 animal welfare organizations throughout minnesota, north dakota, iowa, wisconsin and other states who need assistance when their facilities are overcrowded. Ahs also assists in cases of natural disasters.				
Se Luz Ministries Incorporated	http://		EIN 26-3670516	4325 Zachary Ln N	Plymouth	MN	55442	USA	Christianity, Religion							
Bethlehem Music Series	http://bethlehemmusicseries.org	(612) 926-1150	EIN 41-2022587	4100 Lyndale Ave S	Minneapolis	MN	55409	USA	Arts & Culture, Music	To provide free music and fine arts concerts to the public.		The organization presents six music and/or fine arts performance concerts each year, free to the public with annual attendence of approximately 1,500 to 1,800 people.				
Aeon	http://www.aeonmn.org	612-341-3148	EIN 41-1558711	901 North 3rd Street Suite 150	Minneapolis	MN	55401	USA	Community & Neighborhood Development, Economic Development, Homeless & Housing, Homeless Centers, Housing Development, Construction & Management, Housing Rehabilitation	Aeon's mission is to create and sustain quality affordable homes that strengthen lives and communities. Aeon's vision is that every person has a home and is interconnected within community.  An award-winning nonprofit owner, developer and manager of quality affordable housing, Aeon's properties offer affordability to individuals working minimum wage jobs who struggle to pay for housing, food, transportation and health care.  Aeon 1) revitalizes neighborhoods by transforming unstable urban sites into thriving, affordable place to live; 2) strengthens residents' housing stability and creates home through its Resident Connections services; and 3) partners to create community assets that provide long-term sustainable solutions to the shortage of quality, affordable housing.	Aeon offers affordable housing options in the Twin Cities metro, including Minneapolis, St. Paul, Brooklyn Center, Chaska and Roseville.	Rental operations - aeon owns and operates rental properties which provide housing to very low, low and moderate income persons in the minneapolis/saint paul metropolitan area.   housing development - aeon is an award winning non-profit provider of high quality affordable housing to very low, low and moderate income persons in the minneapolis/saint paul metropolitan area. Aeon creates opportunities for individuals and families to have a safe, decent place to call home. As of december 31, 2014, aeon owns and operates 2,160 units of affordable housing provided to very low, low and moderate income families.   property management - aeon management, llc provides property management services to 2,207 apartment homes as of december 31, 2014.   housing services - asset management services provide for the long-term financial viability, physical quality and affordability of aeon's properties. Resident services and engagement support successful residency and build thriving communities. Aeon partners with social service providers to offer supportive housing services to formerly homeless residents in 500+ homes.	Each year, more than 3,500 individuals and families find home at Aeon 35 properties. Aeon currently offers more than 2,100 apartment and town homes and aims to add 200 affordable apartment homes each year.	Aeon provides high-quality affordable homes to individuals and families, particularly household earning low and moderate incomes and formerly homeless adults and youth.	In 2011, more than 600 formerly homeless adults and youth found home and were linked to life changing services. Annually, more than 3,500 benefit from living at an Aeon property.	
Habitat for Humanity of South Central Minnesota	http://hfhsouthcentral.net/		EIN 41-1654111-001	1751 Bassett Drive	Mankato	MN	56001	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for Humanity is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate, affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership, building houses with families in need.	south central Minnesota	simple, affordable housing		low income famies	over 400 people stay in affordable housing	
Pets Loyal 2 Vets	http://www.petsloyal2vets.org	612-396-3369	EIN 46-2001674	17991 Natchez Ave	Prior Lake	MN	55372	USA	Centers to Support the Independence of Specific Populations	To connect US Military Veterans diagnosed with PTSD or TBI with companion, therapy and Psychiatric service dogs by partnering with supporting animal shelters, breeders and rescue organizations at no cost to the Veteran.	Throughout Minnesota and Pierce and St. Croix Counties in Wisconson.	Project Companion Sponsor a service dog and veteran team Donate a dog for a vet	Pets Loyal 2 vets does not get involved in lobbying efforts of political parties from any party nor does any of its donations go towards any political efforts of any kind as suggested by misguided jealous individuals spreading false information on Great non-profits. Our 990 EZ would clearly show this but more importantly, WE DO NOT GET INVOLVED IN LOBBYING OR ENDORSING POLITICAL PARTIES OR CANDIDATES OF ANY KIND AND WE DO NOT HAVE A HISTORY OF THIS.  PL2V is not a political lobbying organization and does not participate in lobbying efforts of any kind.   The most recent posting by Gunny79 is the same person who for several years has tried to tarnish our name and reputation and now with hacking our Twitter account and posting false tweets.  The six 1 star reviews are from the same group of individuals over and over claiming to be donors who have never donated to PL2V. They have with willful intent mislead anyone who reads their phony reviews in an attempt to sway people away from donating.   We do however post re-tweets from many individuals and veteran groups on Twitter supporting disabled veterans from all across America. This is neither an endorsement of a candidate, group, individual or party as suggested nor a recommendation for any political party or candidate.  In a country where veterans fight for all American's rights including freedom of speech, we will support anyone no matter who they are that supports disabled veterans with PTSD, TBI and MST and their efforts to help these disabled American veterans.    This has included but is not limited to:  The DAV, The VFW and The American Legion of which many of PL2V veterans belong to. This does not mean PL2V endorses any of their positions in the political arena or if they are a political member of any party that it is an endorsement of that person's or groups political party or their political ideologies or agendas.  We are serving many veterans and help save many homeless dogs by adopting them to train with veterans from both sides of the political spectrum each week.  Our programs are recognized by many legitimate organizations and respectful individuals throughout Minnesota and we do not discriminate against any veteran because they belong to one political party or the other.  WE SIMPLY DO NOT GET INVOLVED IN POLITICS.  PERIOD.   These hackers and individuals have one purpose and one purpose only and that is to bring down Pets Loyal 2 Vets by continually smearing its name and reputation so they can advance their own for profit agenda's and doggy day care kennel business operations.  We know who they are and so do all those who matter.  They always attempt to attack potential donors which truthfully has not had an impact on us because our donor base knows where we come from and where our hearts are from working closely with us.  We thank all those who have volunteered over the years and for the huge outpouring of donors who know us and continue to support our mission and goals.		Our goal is to support 40 + veterans per year	
Arts Midwest	http://www.artsmidwest.org	(612) 341-0755	EIN 41-1000424	2908 Hennepin Ave S Ste 200	Minneapolis	MN	55408	USA	Arts & Culture, Arts Education, Cultural & Ethnic Awareness, Fund Raising & Fund Distribution	Arts Midwest promotes creativity, nurtures cultural leadership, and engages people in meaningful arts experiences, bringing vitality to Midwest communities and enriching peoples lives.		Arts Midwest World Fest,  is a global education and outreach performing arts initiative.	Over the past 26 years, Arts Midwest has been committed to serving the nations thriving arts communities. Through our performing, visual, literary, and theater arts programs, we have supported arts initiatives in urban and rural communities throughout the U.S.   During the second year of the 20072009 Arts Midwest World Fest cycle, ensembles from Quebec, Israel, Mexico, and the Inner Mongolia Region of China reached 40,965 individuals, including 31,280 students in Midwestern communities.  Additionally, in 20082009, Arts Midwest granted $540,318 to presenting organizations, and artists earned more than $3.5 million touring throughout the region through the Performing Arts Fund. These funds helped dance, music, and theater ensembles engage over 296,000 individuals, including over 138,000 youths through a variety of enriching public performances and educational activities.   Arts Midwest also supported the arts community at the 2009 Midwest Arts Conference, with more than 900 attendees representing artists, presenting organizations, and service organizations. Attendees used this opportunity to gain knowledge about the performing arts industry, network with colleagues, and experience a variety of dynamic performances.	Our cultural programs reach more than one million people annually, serving communities across our nine member states, which include Illinois, Indiana, Iowa, Michigan, Minnesota, North Dakota, Ohio, South Dakota, and Wisconsin. Many of our programs extend beyond these borders to communities across the 50 states, and international to places like China, Egypt, and Chile- enhancing the quality of life in hundreds of cities, towns, and rural areas across the the world.		
Minnesota Farm Bureau Foundation	http://	(651) 768-2101	EIN 41-1574656	Po Box 64370	Saint Paul	MN	55164	USA		The foundations primary mission is all its charitable and educational activities is to promote the improvement of agriculture through the support of education, encourage and fund research, scholarships for persons studying in agriculture or related field, and other agricultural activity. To make contributions to organizations which qualify as exempt charitable, educational, or scientific organizations under section 501(c)(3) of the internal revenue code.		For the support and funding of education for the improvement of agriculture.   for the support and funding of education for the improvement of agriculture.   for the support and funding of education and research for the improvement of agriculture.   miscellaneous				
Northwoods Humane Society	http://www.northwoodshs.org		EIN 41-1487872	Po Box 264	Wyoming	MN	55092	USA	Animal Protection & Welfare, Animals	The adoption and care of companion animals.		Adoption and care of companion animals.				
Heritage And Traditions	http://www.heritageandtraditions.org/		EIN 41-1726979	1661 Englewood Ave	Saint Paul	MN	55104	USA	Arts & Culture, Arts Education, Performing Arts	HERITAGE AND TRADITIONS is a non-profit organization with tax-exempt 501-c3 status. Its mission is to preserve and perpetuate traditional performing arts and crafts through performances, classes, workshops, archiving and other public outreach. By bringing traditional art forms of a particular culture to a wider public, Heritage And Traditions intends to foster greater cultural interaction and understanding.						
Gift Of Adoption Fund Inc	http://www.giftofadoption.org	(877) 905-2367	EIN 73-1727073	Po Box 2940	Minneapolis	MN	55402	USA	Adoption, Children & Youth	To provide financial assistance to adoptive parents to help subsidize the costs of adopting a child.		To provide financial assistance to adoptive parents to help subsidize the costs of adopting a child.				
OPTIMIST INTERNATIONAL	http://		EIN 23-7305573	14913 Valley View Rd	Eden Prairie	MN	55344	USA								
Mayo Foundation	http://www.mayo.edu		EIN 41-1937751	200 First St Sw	Rochester	MN	55905	USA	Community Health Systems, Health	Mayo will provide the best care to every patient every day through integrated clinical practice, education and research.		The Mayo Clinic provides coordination of system-wide activities, overall strategic planning, fundraising and management of investments. Mayo Clinic specialists are developing new ways to diagnose, treat -- and even prevent -- major diseases such as cancer, stroke, Alzheimer's and Parkinson's disease, childhood illnesses and more. Mayo affiliates are located in: Rochester, Minnesota; Jacksonville, Florida; Scottsdale, Arizona; and, Phoenix, Arizona.				
Luckys Place Inc	http://		EIN 20-1010564	1550 95th Ave Ne	Sauk Rapids	MN	56379	USA	Animal Protection & Welfare, Animals							
Minnesota Environmental Fund	http://www.mnenvirofund.org	(651) 917-1876	EIN 41-1693030	450 Syndicate St N Ste 320	Saint Paul	MN	55104	USA	Environment	Minnesota environmental fund provides employees with volunteer and giving options to protect, conserve, and restore minnesota's environment and support 23 organizations protecting clean water, natural lands, clean air, and healthy food.		Grants to agencies - grants to 23 nonprofit organizations to protect, conserve and restore minnesota's environment, serving over 644,000 people directly and 5. 4 million statewide, and improving minnesota's quality of life now and for future generations through clean water, clean energy, healthy food, protected natural lands, and trails and parks for everyone.   volunteer team - planning for and supporting outreach to over 200,000 employees at 100 workplaces, resulting in over 3,800 people choosing to give.   outreach and education - providing millions of minnesotans with the opportunity to learn about environmental issues that shape our future, and volunteer to improve our quality of life through projects and programs in outdoor, rural, suburban and urban settings; distributing and providing online access to information about environmental issues and concerns, and promoting volunteer activities and education programs offered by organizations				
North Country R I D E	http://		EIN 41-1423936	PO Box 312	Esko	MN	55733	USA	Equestrian, Sports							
Ave Maria Academy	http://www.avemariaacademy.org	763-494-5387	EIN 41-1871572	7000 Jewel Lane North	Maple Grove	MN	55311	USA	Education, Elementary & Secondary Schools, Literacy	Rooted in the Catholic intellectual tradition, Ave Maria Academy forms young minds, hearts, and souls through a commitment to clear thinking, academic achievement, character formation, prayer, and service.   In an encouraging and safe environment transformed by faith, reason, and virtue, each childs unique and God-given talents are nurtured through mastery of a rigorous curriculum and active participation in the Catholic faith.		Ave maria academy is a catholic school of academic excellence for boys and girls from pre-kindergarten through eighth grade. The school must meet all state educational requirements and testing standards.				
RESOURCE, Inc.	http://www.resource-mn.org	612-752-8000	EIN 41-0828779	1900 Chicago Ave S	Minneapolis	MN	55404	USA	Community Mental Health Centers, Employment Preparation & Procurement, Job Training, Mental Health, Substance Abuse Dependency, Prevention & Treatment	RESOURCE empowers people to achieve greater personal, social and economic success.	Twin Cities Metropolitcal Area and St. Cloud, Minnesota	Our four operating divisions are: Employment Action Center (employment services), Minnesota Resource Center (training and employment services for people with disabilities or other barriers), Recovery Resource Center (chemical health services), and Spectrum Community Mental Health (mental health services).		Last year, RESOURCE helped 19,188 individuals who were working hard to improve their lives: 	4,713 laid-off workers and other unemployed or underemployed adults seeking employment 	9,091 parents on welfare working toward self-sufficiency  	909 "at-risk" youth struggling to survive and thrive  	862 adults with disabilities or other barriers to employment seeking jobs and training 	1,096 individuals grappling with substance-abuse problems--most with a history of relapse and many with prison records 	2,517 adults with a mental illness living and participating actively in the community.  The 23,899 children of those served also benefited indirectly from their parents success in discovering their potential and achieving their dreams.	19,188	
River Road Fellowship	http://		EIN 41-1730446	1934 Dixon Line	Finlayson	MN	55735	USA	Religion, Religion-Related							
International Fire Relief Mission	http://www.IFRM2007.com	612-669-8500	EIN 30-0478928	30345 Elm St	Lindstrom	MN	55045	USA	Disaster Aid, International, International Relief	International Fire Relief Mission is a charitable organization that's mission is to provide life-saving assistance to active-duty firefighters and rescue personnel in countries lacking adequate education or equipment; provide specialized demonstrations on using donated fire and rescue equipment in accordance with internationally recognized standards; and ensure successful, long-term assistance by developing international partnerships and collaborations for continued support, preparation and accountability at the receiving country.	International	The IRFM iscurrently looking for financial assistance to support Team Volunteers in a visit to the Chiliean Fire Departments	we have assisted many communities on 5 of 7 continents.	We exist to help fellow firefighters around the world that need equipment and training to do the job safely.		
BASIC NEEDS INC OF SOUTH WASHINGTON COUNTY	http://stonesoupthriftshop.org		EIN 41-1878604	950 3rd St. Suite 101	St. Paul Park	MN	55071	USA	Environment, Human Services, Recycling, Thrift Shops	Our Mission: "To engage the community in supporting families and individuals by providing access to quality used clothing, household items and furniture in a convenient, dignified manner."		Stone Soup serves the community; by provide low cost, high quality used merchandise for sales to the general public. Donations of gently used goods keeps our store full of furniture, clothing, household goods, dishes, kitchen ware, books and much more.The store gives goods at no charge to families and individuals who are referred with a voucher by various community agencies, and un-saleable merchandise is recycledto help conserve our environment. The store offers a place for youth and court ordered offender to perform community service and receive mentoring. Each Tuesday and Saturday morning bagels and bread from Panara's are offered free to the public.				
SOUTHSIDE FAMILY CHARTER SCHOOL	http://www.southsidefamilyschool.org	612-872-8322	EIN 20-3798769	4500 Clinton Avenue S	Minneapolis	MN	55419	USA	Charter Schools, Education	Southside family charter school (sfcs) is an urban k-8 public charter school alternative dedicated to academic excellence, innovation in curriculum, family involvement and community participation. Sfcs meets the needs of a culturally and ethnically diverse population by engaging children in critical thinking and problem solving, involving children in political and social activism, encouraging creative expression, offering a wide range of electives and advocating for children and families		Civil rights curriculum and study tour: the triennial voyage continues to be a hallmark of the schools program and a cornerstone of the schools reputation in the community. The most recent study tour was conducted in spring 2014. Sixth through eighth graders with staff traveled through five states, to learn from dozens of social justice activists who made profound changes during the civil rights movement and who continue to be active in their communities today. Through indirect study and direct contact with historical players, students deepen their understanding of the vital role young people have in creating change. In addition to the study tour, guest speakers and community tours are conducted throughout the school year. These activities emphasize the schools social justice philosophy and mission. The minnesota department of education recognized southside family charter school as a rewards school which is the highest performing 15% of title i schools in the state. Social justice: the social justice results provide a forum for discussion both among staff and among the students. Noteworthy, is the number of artistic, curricular, and extracurricular activities that are tied to the schools social justice mission. Sfcs integrates the mission into every aspect of the schools curriculum and approach. Artistic and creative expression: sfcs continues to provide numerous opportunities for artistic and creative expression. These opportunities are central to the schools educational delivery model and, as noted above, are integrated with the schools mission. Satisfaction: the results from the spring school climate surveys indicate that the three major stakeholder groups are experiencing a positive school climate and educational experience. High staff and student retention: sfcs has a staff that remains committed to the school with little staff or student turnover. Family and community involvement: the number and depth of family involvement is remarkable and one of the schools success areas. Likewise, sfcs has developed long-term community partners that align with the schools mission and provide considerable enrichment opportunities for all students.				
Boy Scouts Of America	http://www.gamehavenbsa.org	(507) 287-1410	EIN 41-0698309	1124 11 1/2 St Se	Rochester	MN	55904	USA		Our mission is to help youth mature into wholesome, capable, contributing, and personally fit adults by instilling the values expressed in the scout oath and law. The scouting program facilitates meaningful contact and communications between youth, parents,and other community organizations (partners) to help young people adopt strong values and life skills. The program presents activities which are fun, interesting, and provide valuable experience directed at the maturity and interest of the young people at their appropriate age and ability levels. The purpose of gamehaven council is to manage and control the quality of the program, assemble and train volunteers, gather resourced to implement, and to promote the program to parents, youth and the general community in the seven counties of southeastern minnesota.		Cub scouting - a family and home-centered program for boys in the 2nd through 5th grade ( or 8 through 10 year olds). 4th & 5th grade boys are webelos scouts (we'll be loyal scouts) and participate in more advanced activities that begin to prepare them to become boy scouts. Cub scouting's emphasis is on quality program at the local level, where most boys and families are involved. All scouting programs promote the development of citizenship, training, character building, and mental and physical fitness of young people through camping and activities. Approximately 1,783 young people are served.   boy scouting is a program for boys ages 11 through 17 designed to achieve the aims of scouting through a vigorous outdoor program and peer group leadership with the counsel of an adult scoutmaster. Approximately 1,071 youth participants.   learning for life/exploring - designed for young men and women ages 14 through 20 to gain insight into a variety of programs that offer leadership training, fitness, outdoors, service, and career hands-on experiences. Exploring promotes the conditions necessary for the growth and development of adolescent youth. The mission of learning for life is to serve others by helping to instill values of good character, participating citizenship, and personal fitness in young people, and in others ways to prepare them to make ethical choices throughout their lives so that they can achieve their full potential. It's designed to build confidence, motivation, and self-esteem. It can help students learn positive values and make ethical decisions. Character building is a lifelong process, with roots firmly planted in childhood. Learning for life has curricula designed to fulfill its mission. Approximately 139 youth particpants.   other scouting programs include tiger cubs for 7 year old children and varsity scouting for young men ages 14 through 17.				
Midwest Animal Rescue & Services	http://www.midwestanimalrescue.org/	763-503-4990	EIN 20-8496665	4080 83rd Ave N	Brooklyn Park	MN	55443	USA	Animal Protection & Welfare, Animals	Our mission: Dedicated to providing unsurpassed standards for quality care, client education and training of companion animals, to promote responsible pet ownership while uniting fellow rescuers in the pursuit of ending animal homelessness.	the midwest and beyond	rescue, rehabilitation, veterinary care, training & other assistance	We have saved and adopted out over 10,000 companion animals since our inception.	at risk companion animals	2500 dogs & cats	
WOMENS PRISON BOOK PROJECT	http://www.wpbp.org		EIN 41-1977201	c/o Boneshaker Books 2002 23rd Ave. S.	Minneapolis	MN	55404	USA	Crime & Law, Crime & Legal-Related	WPBP''s mission is two-fold: it seeks to form connections with andprovide support for those who are incarcerated, and it seeks to educatethose on the outside about the realities of being a woman or a transperson in prison.		Volunteers conduct weekly mailings of donated books and magazines in response to letters and order forms received from women inmates across the country.				
