name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Emerging Leaders Program	Training Wheels -	After School Program -	Summer Program
Bridge of Hope Inc	http://www.bridgeofhopeinc.org	(610) 280-0280	EIN 81-0555073	311 National Rd	Exton	PA	19341	USA	Homeless & Housing, Housing Support, Human Service Organizations, Nonprofit Management	Our mission is to call and equip compassionate people from many Christian faith traditions to exemplify Christ''s love to homeless women and children by creating and sustaining thriving Bridge of Hope affiliates and programand churchsites. Local Bridge of Hope affiliates and sitesbring together professional staff and trained church-based mentoring groups to empower homeless and at-risk single mothers to attain: * permanent housing * financial stability through employment *life-changing friendships *increased self-esteem and growth in areas of holistic living	From recruiting churches to training mentors and serving homeless families, Bridge of Hope National offers a variety of resources to help Christians end and prevent homelessness among single women and children in their communities. These resources assist affiliates in launching and operating a life-changing ministry of friendship that connects one church with one homeless family. Resources include a complete mentor training program, start-up workbooks, operational manuals, training, newsletters, conferences and unlimited phone consultation.								
Housing Transitions Inc	http://www.housingtransitions.com	(814) 237-4863	EIN 25-1472779	Po Box 1391	State College	PA	16804	USA	Homeless & Housing, Homeless Shelters	Housing transitions, inc. ("hti") provides temporary and emergency shelter and various support services to homeless individuals in centre county, pennsylvania.	Assists families and individuals who are homeless or near-homeless to achieve a more independent lifestyle by providing an array of effective services and housing alternatives.								
Main Line Animal Rescue	http://www.MLAR.org	610-933-0606	EIN 23-3017210	1149 Pike Springs Road	Phoenixville	PA	19460	USA	Animal Protection & Welfare, Animals	Main Line Animal Rescue specializes in the rescue and placement of abused, unwanted and abandoned companion animals. We never discriminate on the basis of health, age or breed. By involving and educating the community, Main Line Animal Rescue works to raise the public's awareness of the plight of homeless animals as well as realizing the benefits of adopting an animal in need. Our animals are examined, vaccinated, spayed or neutered and receive any and all medical treatment before they are placed in carefully screened homes.	On-Site veterinary clinic, innovative training and educational programs, and almost sixty acres of fenced pastures and walking trails.		Rescue and placement of abused, unwanted and abandoned companion animals.	1,200+ animals find loving new homes, hundred of students through our Education Programming, and hundred of local residents through our Outreach Programming	Pennsylvania and Surrounding States				
Adult Congenital Heart Association Inc	http://www.achaheart.org	888-921-ACHA	EIN 04-3447959	3300 Henry Ave Suite 112	Philadelphia	PA	19129	USA	Birth Defects & Genetic Diseases, Health, Heart & Circulatory System Diseases & Disorders	The Adult Congenital Heart Association (ACHA) is a nonprofit organization that seeks to improve the quality of life and extend the lives of adults with congenital heart defects. Through education, outreach, advocacy, and promotion of research, ACHA serves and supports the more than one million adults with congenital heart defects, their families and the medical community.	Heart to Heart Ambassador Program, Regional Events and National Conferences, Webinars, Discussion Forum, Adult Congenital Heart Disease Program Directory, Online and Printed Material, Congenital Heart Walks, Advocacy and Professional Programs; CHD Fellowships and ACHD Accreditation	Below are ACHAs 2015 programming outcomes.  	More than 800 ACHA members attended 17 different webinars in 2015. In addition, archived webinars are available on demand on the ACHA website and have had over 5000 views in 2015. 	More than 115 advocates from 19 states gathered in Washington, D.C., on February 25-26, 2015 to talk to their lawmakers about CHD. 	17 new Ambassadors were trained, bringing the total to 73 Ambassador volunteers. These volunteers offered over 1,200 ACHA patient and family members personalized information and support.  	More than 186,000 website sessions in 2015. This included more than 141,000 users, accounting for over 382,000 page views.  	ACHA Facebook membership increased steadily through the year, from 5,735 people to 7,323 by years end  an increase of nearly 28%.  	Congenital Heart Walks sixth year, over 15,000 walkers raised more than $1.9 million in 30 locations across the United States 	ACHA published 93 posts from more than 20 bloggers, which were viewed approximately 58,000 times. 	In 2015 ACHA Ambassadors and staff presented on the importance of lifelong cardiac care at over 20 events. Hundreds of CHD patients and families received this carefully crafted message.  	There were more than 9700 topics and 92,000 posts on ACHA Discussion Forum.	Adults living with congenital heart disease, their families, and medical providers who serve congenital heart disease patients	over 15,000 people	United States				
Baabun Nasr Inc	http://www.baabunnasr.org		EIN 51-0653677	2736 Germantown Avenue	Philadelphia	PA	19133	USA	Human Service Organizations, Human Services	Baabun Nasr mission is to strive and provide basic necessities, offer general assistance and social services to those in need in the city of Philadelphia and surrounding counties and areas.		Our Community Resource & Distribution Center belongs to the community and as such it is thriving and in constant motion of people coming and going. We are working hard to finish the second floor so that we can provide a room for youth activities and long awaited computer lab.  We are hopeful that our Soup Kitchen will be renovated and repaired so that we can offer a warm meal to those in need.	All low-income and homeless individuals & families in need.		Metro Philadelphia & surrounding counties and states.				
L'Arche Erie, Inc	http://www.larcheerie.org	(814) 452-2065	EIN 23-7322321	3745 W 12TH St	Erie	PA	16505	USA	Education, Group Homes, Libraries	The Mission of L'Arche is to make known the gifts of people with intellectual disabilities (MR/DD), revealed through mutually transforming relationships.  We foster community that is inspired by the core values of our founding story and responds to the changing needs of our members.  We also engage in our diverse cultures, working together toward a more human society.	worship, formation, retreats, assistance food/entertainment as accompanier.	We have used gifts to send adults with intellectual disabilities on spiritual retreat along with assistant (direct care giver).  The bond formed between the two people is precious and awe-inspiring.							
Pittsburgh Urban Christian School (PUCS)	http://www.pucs.org	(412) 244-1779	EIN 25-1405301	809 Center St	Pittsburgh	PA	15221	USA	Education, Elementary & Secondary Schools, Literacy	EDUCATION FOR KINDERGARTEN THRU 8TH GRADEThe mission of PUCS is to provide an excellent education in an urban setting for a racially and economically diverse group of children. We are committed to educating from a broad Christian perspective with a curriculum characterized by integrated thematic units, close student-teacherinteraction and substantive parental involvement. Our staff of state-certified teachers is dedicated to facilitating each student''s spiritual, personal, social, academic and physical growth.	Education for Kindergarten thru 8th grade								
Shady Lane	http://www.shadylane.org/	412-243-4040	EIN 25-1181494	100 N Braddock Ave	Pittsburgh	PA	15208	USA	Education, Primary & Elementary Schools	Shady Lane is a diverse and inclusive learning community committed to facilitating children's social, emotional, physical and intellectual growth by creating a supportive yet challenging environment  where children learn through play and experience to become confident, creative and collaborative learners.	Shady lane school provides the highest quality of early education to more than 100 children, ages two through six. Shady lane also provides professional development and consulting services to other early childhood programs in southwestern pennsylvania.								
Cozee Valee Rescue & Sanctuary	http://	814-599-3023	EIN 26-0482396	9649 Sipes Rd c/o Beth Hearn	Huntingdon	PA	16652	USA	Animal Protection & Welfare, Animals										
Home At Last Dog Rescue Inc	http://		EIN 27-0153653	605 Caroline Dr	Norristown	PA	19401	USA	Animal Protection & Welfare, Animals	Dog rescue.	This organization rescues dogs and spays them preventing more dogs from needing to be rescued.								
Pocono Wildlife Rehabilitation and Education Center	http://www.poconowildlife.org	570-402-0223	EIN 23-2524389	1161 Cherry Dr	Stroudsburg	PA	18360	USA	Animal-Related, Animals, Wildlife Preservation & Protection, Wildlife Sanctuaries	To provide care for injured, orphaned and displaced wildlife for the purpose of return to the wild. To provide education, information and assistance to the general public to resolve or prevent conflicts with wildlife, reduce the incidence of injury and disease in people, and to increase knowledge of and appreciation for our wild natural resources.	a. humane, professional wildlife care at no charge to the public b. education to the public to reduce wildlife-human conflict and enhance knowledge of and appreciation for our wild natural resources c. preventing injury and illness in people by preventing and reducing improper/dangerous contact with wildlife d.providing information, advice and assistance to people that is not duplicated by any other agency in northeastern or eastern PA at no cost		wildlife, the general public, communities and governmental agencies	1500 wild animals and more than 25,000 people	eastern and northeastern Pennsylvania				
Take A Breather Foundation	http://www.takeabreather.net	(484) 678-3341	EIN 45-4985443	107 Forrest Ave., Suite 105	Narberth	PA	19072	USA	Birth Defects & Genetic Diseases, Health, Specifically Named Diseases	To provide a respite in the form of a wish for children who have been touched by Cystic Fibrosis. Our goal is to give these children, along with their families, the opportunity to "take a breather" from CF and focus on creating lasting memories that will stay with them for a lifetime. Memories that will strengthen their hearts and minds as they battle the psychological, emotional and economic turmoil that accompanies life with Cystic Fibrosis.	our Wish Program gives children battling cystic fibrosis(CF) the opportunity to "take a breather" from the everyday struggles of their disease.		Cystic Fibrosis	20 wishes					
Pennsylvania Women Work	http://pawomenwork.org	412-742-4362	EIN 25-1705976	650 Smithfield Street Suite 520	Pittsburgh	PA	15222	USA	Employment Preparation & Procurement, Job Training, Single Parent Agencies, Vocational Counseling	The mission of Pennsylvania Women Work is to deliver personalized career development programs that result in family-sustaining wages for displaced homemakers and individuals in career transition across the state of Pennsylvania.	New Choices, 3 Cups of Coffee, Leadership Day, Career Conference	Each year, Pennsylvania Women Work provides services to more than 5,000 women, assisting them in achieving economic self-sufficiency for themselves and their families. The New Choices Career Development program serves more than 3,000 women annually, placing more than 2,000 in jobs or training and generating government savings of over $3 million through a decrease in welfare, food stamps, unemployment, and medical assistance.							
Valley Prevention Services	http://valleypreventionservices.org	(570) 546-7812	EIN 22-2724768	520 W Fourth St Ste 2B	Williamsport	PA	17701	USA	Mental Health, Substance Abuse Prevention	Through a comprehensive community approach, Valley Prevention Services promotes creative solutions which foster healthy lifestyles for healthy tomorrows. Realizing that substance abuse is a major health issue, Valley Prevention Services places special emphasis on providing services that prevent the use and abuse of alcohol and other drugs.	the ten session alcohol and other drug prevention program "Too Good For Drugs" and the six session "Get Real About Tobacco" program. We not only provide youth, especially elementary school age youth, the information they need to know about alcohol and other drugs but also the skills they need to resist the use of alcohol and other drugs.	Formed in July of 1991, VPS has just celebrated its 23 year of providing substance abuse prevention services.	youth						
Philadoptables	http://www.philadoptables.org	2159905753	EIN 27-1738440	P.O. Box 6074	Philadelphia	PA	19114	USA	Animal Protection & Welfare, Animals	Philadoptables is an independent 501(c)3 non-profit corporation that provides support for adoption, welfare, and outreach programs that benefit the 30,000+ animals received each year by the Philadelphia Animal Control Shelter, the Delaware Valley Regions largest open-door municipal animal shelter.  By working with volunteers, animal welfare groups, organizations outside the animal network, and communities throughout the Delaware Valley Region, our goal is to save lives and to build a better community  for people and animals alike  by:      Increasing the number of animals saved through adoptions, foster homes, and rescue partners at   Philadelphias animal control shelter;     Improving conditions at the shelter by supporting essential services not funded by the Citys animal control budget;     Educating the public and generating community involvement about the shelter and the animals in its care.	Increasing the number of animals saved through adoptions, foster homes, and rescue partners at   Philadelphias animal control shelter; Improving conditions at the shelter by supporting essential services not funded by the Citys animal control budget and the rescues that pull animals from there. Educating the public and generating community involvement about the shelter, it's rescues, and the animals in their care.	Check out our many accomplishments that we have given to the Animal Care and Control Team in Philadelphia. To highlight, we built 5 new play yard for the dogs, added a roof to one of the larger ones. We were a major sponsor in the laundry and kitchen sink initiative.  We have given various medical equipment and supported the events team and volunteers.  We have held several kitten adoption programs and have provided food and much needed supplies to many of the rescues who pull from the shelter.  Through our partnerships and grant programs we have provided tons of food for the shelter pantry project which helps needy families keep their families together.  We do Camp Out for Hunger every year with a local radio station 93.3 WMMR who graciously allows us to collect pet food for our rescues and the shelters needy family pantry.  We continue to look for ways to increase education and awareness in the City and surrounding areas.	homeless animals in Philadelphia		Philadelphia, Pa.				
Jazz Bridge Project Inc	http://www.jazzbridge.org	215-517-8337	EIN 76-0820953	Jazz Bridge 3008 Limekiln Pike	Glenside	PA	19038	USA		The Jazz Bridge Project is a nonprofit organization that was established by a group of caring  jazz musicians and fans dedicated to assisting professional Greater Philadelphia Metro area jazz and blues musicians and vocalists in times of crisis by providing confidential and caring support in keeping with their personal dignity. Through donations, grants, and our neighborhood concerts,  Jazz Bridge assists those coping with emergencies involving health, legal, financial, personal and professional needs, while building an awareness of the local jazz sound.	Five Neighborhood Concerts Series from Oct-May Client Crisis Needs		All professional jazz and blues musicians in crisis in the Greater Philadelphia Metro area	About 60 crisis needs and over 130 musicians are employed in our neighborhood jazz/blues concerts	Philadelphia, Southern NJ, Wilmington, DE, and Trenton, NJ				
Tioga United Inc	http://		EIN 23-3101958	1926 W Venango St	Philadelphia	PA	19140	USA	Community & Neighborhood Development, Economic Development										
Regional Center For Women In The Arts Inc	http://		EIN 30-0095131	127 W Lafayette St	West Chester	PA	19380	USA	Arts & Culture, Visual Arts										
Pennsylvanians for Modern Courts	http://pmconline.org	(215) 569-1150	EIN 23-2434262	1601 Cherry Street Three Parkway - Suite 1320	Philadelphia	PA	19102	USA	Administration of Justice, Crime & Law, Government & Public Administration	Our mission is to ensure that Pennsylvania has fair and impartial courts that serve all Pennsylvanians.		Most recently, we released our Report and Recommendations on Improving Pennsylvania's Judicial Discipline Process.	All Pennsylvanians	Court users	Pennsylvania				
Junior League of Pittsburgh, Inc.	http://www.jlpgh.org	(412) 488-9270	EIN 25-0967478	333 E Carson St Ste 531	Pittsburgh	PA	15219	USA	Women, Womens Service Clubs	The Junior League of Pittsburgh is an organization of women committed to promoting voluntarism, developing the potential of women, and improving communities through the effective action and leadership of trained volunteers. Its purpose is exclusively educational and charitable.	Strong Women Strong Girls (SWSG) is an emerging non-profit organization that supports the leadership and self-esteem development of women and girls. The program has an innovative after school model. It uses college undergraduate women as role models for at risk girls in grades 3-5. The mentors teach the girls to build self-esteem, leadership and other skills for life-long success. As the Junior League of Pittsburgh's (JLP) Signature Project for the next three years, members will work closely with SWSG staff and volunteers to mentor both the college women as well as the young girls, and help provide infrastructure as the organization grows, both in number and service offerings.For more than 85 years, the Junior League of Pittsburgh has been the driving force behind the kinds of initiatives and institutions that make our community a healthier, more vital place to live. By partnering, the JLP hopes to advance its mission, as well as that of SWSG in building upon the lessons learned from strong women throughout history in the hope of helping girls and young women become stronger themselves. By buidling commmunities of women committeed to supporting posititve social change, SWSG and the JLP will work to create cycles of mutal empowerment for women and girls.								
ACH Clear Pathways	http://achclearpathways.org	412-281-9773 x13	EIN 30-0609317	710 Fifth Avenue Suite#1000 2217 Bedford Avenue	Pittsburgh	PA	15219	USA		The mission of ACH Clear Pathways is to provide visual and performing arts programs to urban community at-risk children to nurture their social, emotional and long-term development skills.	Martial Arts Digital Photography Dance Visual Arts Creative Camp	ACH Clear Pathways has been approved by:   Pittsburgh Foundation Day of Giving Date: 10/23/12  City of Pittsburgh Proclamation 7/21/11 United Way of Allegheny County (ID#10532885) 11/11/2011   ACH Clear Pathways as a Contribution Agency. Since joining the United Way, Clear Pathways has partnered with various local organizations, including the Hill House Association, the Housing Authority of the City of Pittsburgh, Pittsburgh Public Schools, City of Pittsburgh Citiparks, the NHL Pittsburgh Penguins Street Pals Program, Art Expression, Ozanam Inc., Wesley AME Church, Josh Gibson Foundation, Bloomfield Garfield Corporation, YouthWorks, Pittsburgh Ice, Community Intensive Supervision Program, Carnegie Mellon, Duquesne & Pitt University.   Artist in Support of the Annual Jazz Benefit Concert at the Cosol Energy Center Lexus Club...Tony Campbell; Kenny Blake; Teresa Hawthrone; Tubby Daniels; Shawnee Lake; Roger Humphries;  Etta Cox; Sandra Dowe & the Al Dowe Band.    All proceeds benefit children enrolled in ACH Clear Pathways programming	nurture the hearts of the arts	150 children with art programming	the Hill District Community				
Embracing Hope Ethiopia Inc	http://WWW.EMBRACINGHOPEETHIOPIA.COM	717-902-9803	EIN 27-3553078	PO Box 14	Willow Street	PA	17584	USA	Children & Youth, Christianity, International, International Development, International Relief, Religion, Youth Development Programs	Partnering with the Poor, the Child, the Orphan and the Family to see Hope Embraced in all of life.	We currently have a Holistic Intervention Program for 66 Children and their mothers.  These children are from the poorest of the poor homes and their father is not in the picture. A Free Day Care provides the central piece of the program as well as Nutrition, Free Health Care, Empowering, Micro-Enterprise, Education, Hygiene, Special Needs / HIV, Community Development and Psycho Social Development.  We are a Christian Based Project, believing that fullness of hope, life and wholeness is found in a life of following Jesus.  We also have a Literacy Room / Childrens Library that is due to open soon.	The project has grown in one year from 20 children to 66 children and their mothers.  The children are thriving - becoming physically healthy, growing cognitively and developing socially.  Mothers are also growing in dignity and sustainability. The next aim is to replicate this project in another slum area of Addis Ababa as well as to add an after school / tutoring program.	The poorest of the poor families with children 0 - 5 years old living in the slum areas of Addis Ababa, Ethiopia. The following is true of these families: - They are making less than $1 per day. - They are not supported by any other organization. - It is a single parent household. - Mom is willing to give up begging and start working. - Without intervention they may face needing to give the child up for adoption.	126 (2012)	Addis Ababa, Ethiopia				
Greater Pittsburgh Literacy Council	http://www.gplc.org	412-393-7600	EIN 25-1392652	411 Seventh Ave., Ste. 550	Pittsburgh	PA	15219	USA	Adult Education, Education, Ethnic &  Immigrant Centers, Human Services, Immigration, Job Training, Literacy, Remedial Reading & Encouragement, Vocational Counseling	The mission of Greater Pittsburgh Literacy Council is better lives through learning.	More than 135,000 adults in our area lack the reading, writing or math skills needed to read a utility bill, complete a job application, read a note from a childs teacher or understand the instructions on a prescription bottle. Through GPLCs Adult Basic Education programs, men and women receive free instruction in reading, writing, math, GED preparation, health literacy, computers and workforce skills. Some students work one-on-one with volunteer tutors and others are enrolled in classroom instruction. They come to gain the skills they need to move off welfare, obtain jobs that allow them to support their families, make more informed health decisions, encourage their own children in school, and vote for the first time among many other accomplishments.			GPLC provided services to approximately 4,300 students in 2015.	Allegheny  County				
Rebuilding Together Pittsburgh	http://www.rebuildingtogether-pgh.org	(412) 922-0953	EIN 25-1696634	631 Iron City Drive	Pittsburgh	PA	15205	USA	Home Improvement & Repairs, Homeless & Housing	Rebuilding Together Pittsburgh''s mission is to assist low-income elderly homeowners to remain independent through using volunteers to assist us in: Repairing Homes, Improving Lives.		We have repaired 840 homes which have a total market value of 5.1 million, using the skills of 18,000 volunteers.	low income elderly homeowners over 60 years of age	100 elderly households	Allegheny County				
Sudanese - American Cultural Society Of Greater Philadelphia Ar	http://		EIN 37-1576538	1317 Cottman Ave	Philadelphia	PA	19111	USA	Arts & Culture, Cultural & Ethnic Awareness										
Vagabond Acting Troupe	http://		EIN 23-2942360	PO Box 355	Morgantown	PA	19543	USA	Arts & Culture, Theater	The Barrymore-honored Vagabond Acting Troupe (V.A.T.) is a physical-based experimental theater company which presents works for children, families and adults throughout Pennsylvania and surrounding states. The troupe operates out of offices in Morgantown, PA, and runs workshops and a production series dedicated to their home community at Rt. 82 and Fairview Road, Honey Brook, PA - serving the tri-county tip of Lancaster, Berks and Chester Counties. In addition to a main stage series, V.A.T offers an extensive touring schedule and community residency program. We are an educational theatrical ensemble whose mission is to create exciting physical productions to rouse the imagination, to inspire the next generation of theater artists, and to share access to theatrical training to our region's children and adults.	Production workshop, pre professional acting program, touring shows for schools, professional ensemble, playwright development project, Jackie Kay Knox Memorial Scholarship project, and more!	Two years ago we moved into our own space. We have spent the last year putting in new seats (removed old church pews), putting a lighting grid in the air, bringing in a portable stage, while also presenting 12 different productions for our community, touring to local senior homes and schools and sharing performing arts training with over 300 K-12 students.							
Mid-Atlantic English Springer Spaniel Rescue Inc	http://		EIN 04-3696894	741 Fallen Timber Rd	Elizabeth	PA	15037	USA	Animal Protection & Welfare, Animals	PREVENTION OF CRUELTY TO ANIMALS									
Community Services For Children Inc	http://www.cscinc.org	(610) 437-6000	EIN 23-2204725	1520 Hanover Ave	Allentown	PA	18109	USA		Community services for children (csc) prepares young children and their families to succeed in learning and in life. Founded in 1981, csc is committed to ensuring that children enter school ready to learn and that families are equipped to help support their children. Csc provides:* early education for the most vulnerable children and their families through head start, early head start, and pre-k counts programs;* child care quality improvement services and grants in 13 counties through the pa northeast regional key; and* subsidies to child care providers that provide access to servcies to low income families through child care information services of lehigh county. Collectively, csc serves more than 40,000 children and families in the lehigh valley and 11 other counties of northeastern pennsylvania. Csc is the sole provider of head start (since 1965) and early head start (since 1996) in northampton and lehigh counties.	Head start/pre-k and early head start of the lehigh valley is our nation's premier provider of developmental and educational services to pregnant women, babies, toddlers, preschoolers and their families who live in poverty and struggle to meet the basic needs of life. We seek out the neediest of families, those at or below 100% of poverty, who without our intervention may not succeed in learning and in life. We provide high quality early education and comprehensive family development services. Specifically, our mission is to ensure that each child can reach their full potential, is ready for school and that each family is successful. Though children enter the program well behind their peers, over 95% of head start/pre-k children exit the program having achieved all of their learning indicators; positioning them for a successful academic future. Ninety-six (96%) are achieving at or above their age level in math, science and literacy skills. Ninety-seven (97%) of pregnant enrollees in early head start delivered a healthy, full term baby! On a daily basis we provide developmental experiences to at least 181 infants and toddlers (early head start) and 979 (head start/pre-k) preschoolers in conjunction with comprehensive health, nutrition, disability services and family services to them as well. This year over 1,400 children and families received vital early education services on a variety of schedules. Families participating in the program had monthly group activity opportunities as well as either weekly (early head start) or monthly home visits. We ensure that each child had all early and preventive health screenings and immunizations, and receives at least 2/3 of their daily nutritional requirements. Ninety-nine percent (99%) of all children achieved positive health status by obtaining all of their needed screenings, and 100% of children this year were up to date on all age appropriate immunizations. Oral health is equally significant with 100% of all children receiving preventive dental care. Seventeen percent (17%) of head start children, and 27% of early head start children had disabilities, yet 100% of these children with special learning needs received therapeutic intervention. Those children with health conditions, such as anemia, asthma, vision or failure to thrive were able to receive all needed treatment. We provide transportation services to over 350 children daily to and from their classrooms. Parents are an integral part of the program, as we work in full partnership. We assist parents to identify their goals for themselves and for their children, and to reach those goals. This year 90% of parents achieved at least one goal, and 45% of available fathers became actively involved in their child's learning. We provide parent training, parent involvement opportunities, and vital community linkages to other social service agencies that can benefit the family. Over 1,200 referrals were made to community providers for emergency assistance, food, housing, domestic violence, and child care assistance. The head start and early head start program has maintained its accreditation status by naeyc and was reaccredited by the middle state association commission for grades infant through four.   subsidized child care services for low income families who are working or are in training programs help make child care more affordable and provide a safe early childhood or school age experience. Families whose income is less than 235% of the federal poverty guidelines are eligible for the subsidy. Each family is required to pay a portion of the cost of the child care based on their family income. Requirements for the program include: working or in training at least 20 hours per week, must be citizens of the u. S. , and must provide verification of need for child care for employment or training. Parent services to families include family counseling (approximately 1,500 calls) on the quality child care programs available based on a parent choice model. All families may select a provider that best meets their child's needs. Other services include the processing of over 2,000 applications annually, determining eligibility for over 2,100 families enrolled, providing affordable child care to over 9,000 children each year. Provider services include subsidy payments to over 1,800 providers totaling approximately $16. 5 million annually.   early learning and school age quality initiatives (northeast regional key) - the northeast regional key is responsible for coordinating and administering a variety of professional development activities, quality improvement activities and financial awards and grants for more than 1,800 programs in northeastern pennsylvania. The northeast regional key provides services to regulated programs in berks, bradford, bucks, carbon, columbia, lackawanna, lehigh, luzerne, lycoming, monroe, northampton, pike, schuylkill, sullivan, susquehanna, tioga, wayne, and wyoming counties. Accomplishments in the last program year include:- developed and implemented a northeast region quality improvement plan for professional development and technical assistance in partnership with colleges and professional development organizations. -developed and implemented a stars mentoring program which supports star programs to move from a star 1 to star 2 with the assistance of a star 3 or star 4 director/owner. 41 programs participated in the stars mentoring program. - 90 children received ecmh consultation services- 21,783 teachers and directors attended professional development activities sponsored by the northeast key- 56 programs participated in on site health and safety consultation activities- 19 programs received infant/toddler consultation support- 80 programs participated in on-site stars technical assistance- implemented the keystone stars quality initiative for more than 898 programs- offered individual, group and telephone consultation to assist programs in meeting the stars standards. - the keystone stars program promotes quality in early learning and school age programs that participant in keystone stars earn a star 1 to star 4 based on meeting quality standards. There were 898 programs in keystone stars serve more than 38,771 children daily. - early learning and school age programs were awarded $7,486,361 to provide quality early learning environments. - inform the early learning community about the status of early learning/school age- convened conference calls with practitioners, distributed the northeast key connection, simply sac (school age newsletter) quarterly and an ecmh newsletter to distribute information and seek input into program design. - convened meeting with higher education leaders, professional development organization, leadership council, directory advisory committee and learn teams to share outcomes, new information and seek input into program activities and design.								
Peer Support And Advocacy Network	http://www.peer-support.org	(412) 227-0402	EIN 75-3065438	938 Penn Ave Ste 703	Pittsburgh	PA	15222	USA	Centers to Support the Independence of Specific Populations, Human Services	TO BUILD A COMMUNITY, FREE OF STIGMA, WHERE INDIVIDUALS WITH MENTAL ILLNESS WORK TOGETHER TOWARD RECOVERY OF MIND, BODY & SPIRIT									
Itty Bitty Kitty Inc	http://www.ittybittykitty.org		EIN 20-8472032	Po Box 90628	Allentown	PA	18109	USA	Animal Protection & Welfare, Animals	We are dedicated to saving the lives of homeless, stray and unwanted cats or kittens.  We are a small but dedicated group of volunteers with over 10 years combined experience, looking to put an end to the stray cat population.  We provide safe and secure foster homes for abused, homeless and sometimes unwanted cats and kittens until they find their forever home.  We are dedicated to finding that "Purrfect Match" everytime.  In addition to helping find homes for the stray cats and kittens, we are also dedicated to helping our community by educating the public about the importance of spaying and neutering.  We not only educate the community, but also help many individuals by assisting with the spaying or neutering of feral cat colonies throughout the Lehigh Valley and beyond.  Our goal is to eliminate the feral cat colonies through the region by offering low cost spay-neuter clinics.  Our philosophy is being kind to animals helps build a better world for everyone.  Through the generous support and donations from individuals within the community, we can ensure that any cat or kitten that comes into our care will receive the best of care and never have to worry about being alone, hungry, sick or in danger again.									
Genesis of Pittsburgh Inc.	http://genesispgh.org		EIN 25-1306977	185 Dakota Avenue	Pittsburgh	PA	15202	USA	Human Services, Residential Care & Adult Day Programs		Parenting classes are held weekly at both the Genesis Centers (Bellevue and Washington). They are free of charge and are available to anyone who is pregnant or has a child under three years of age. Both mothers and fathers are encouraged to attend Upon completion of class, parents will be rewarded with furniture items for their child.								
Pennsylvania Chapter of the American Chestnut Foundation	http://www.patacf.org	814-863-7192	EIN 25-1654234	206 Forest Resources Laboratory	University Park	PA	16802	USA	Botanical, Horticultural & Landscape Services, Environment	To restore the American chestnut to the forests and woodlands of PA and the mid-Atlantic states.	Scientific: american chestnut tree recovery program. To develop a blight- resistant american chestnut tree via the back-cross breeding method. Planting research orchards across pennsylvania and the mid-atlantic region and over 20,000 trees seeded.   environmental education: region-wide presentations, demonstrations, events, website information regarding the history of the american chestnut tree, tree loss, and the recovery process.				PA and NJ				
Bike Pittsburgh Inc	http://www.bikepgh.org	(412) 325-4334	EIN 36-4491002	188 43rd Street 1	Pittsburgh	PA	15201	USA	Public Transportation Systems	Bike pittsburgh is transforming our streets and communities into vibrant, healthy places by making them safe and accessible for everyone to bike and walk.	Advocacy and education programming to make pittsburgh and surrounding communities streets safer for biking and walking.   bikefest is a multi-week long event comprised of over 100 smaller biker-themed community events including our fundraiser party for bike pittsburgh and pedal pittsburgh, a bike ride to raise funds and awareness for safe streets, and open streets, an event that closes contiguous multiple miles of city streets to automobile traffic to encourage healthy, alternative uses of those streets.   pittsburgh bike share is a program to incubate pittsburgh's own city-wide flexible bike rental system.								
Nicholson Heritage Association	http://www.nicholsonheritage.org		EIN 23-2600825	PO Box 496	Nicholson	PA	18446	USA	Arts & Culture, Historical Organizations	The Nicholson Heritage Association is dedicated to the historical preservation of Nicholson, PA and the surrounding region.	Preservation of railroad station and historical information regarding nicholson borough  advertisement and brochures	We've purchased the historic railroad station in Nicholson, PA by using funds that were won in the Pepsi Refresh project in August 2011 and from donations from individuals and businesses.							
Deater Foundation Inc	http://www.deaterfoundation.org		EIN 23-2612906	Po Box 255	White Deer	PA	17887	USA	Philanthropy, Private Operating Foundations	DFI helps provide funding for research on the hereditary sensory neuropathy, HSAN1, with the hopes of finding a potential treatment and/or cure for this disease.									
Bike & Build, Inc.	http://www.bikeandbuild.org	267-331-8488	EIN 36-4524531	6153 Ridge Ave	Philadadelphia	PA	19128	USA	Environment, Homeless & Housing, Sports	Through service-oriented cycling trips, Bike & Build benefits affordable housing and empowers young adults for a lifetime of service and civic engagement.	8 cross country rides and 2 regional rides throughout the United States.	2016 will be our 14th summer of cycling trips that benefit affordable housing. We have engaged 3,000 riders in these trips. They have pedaled 9.5 million miles and we have donated over $5.8 million of the money they have raised to affordable housing nonprofits. Our riders have also volunteered 200,000 hours on build sites.	18-28 year old young adults	Build and fund approximately 1,100 homes	United States				
Animal Rescue League Shelter & Wildlife Center	http://www.animalrescue.org	412-345-7300	EIN 25-0325750	6620 Hamilton Avenue	Pittsburgh	PA	15206	USA	Animal Protection & Welfare, Veterinary Services	To provide temporary shelter, food, medical attention and comfort to neglected and injured animals; to restore lost animals to their owners or seek new homes for them and to educate the public about the humane care of animals.	Animal Adoption, Low-Cost Veterinary Care, Spay/Neuter Services, Wildlife Rehabiltation and Release,		rescue all animals, domestic and wild.		Pennsylvania, Ohio, West Virginia, & others				
