name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
Hope Reformed Church Parkerburg Iowa	http://		EIN 42-1160340	611 4th St	Parkersburg	IA	50665	USA							
Iowa City Area Science Center, Inc.	http://		EIN 42-1395060	504 E Bloomington St	Iowa City	IA	52245	USA	Arts & Culture, Science & Technology Museums						
Iowa City Public Library Friends Foundation	http://www.icpl.org/friends-foundation	(319) 356-5249	EIN 42-1181774	123 S Linn St	Iowa City	IA	52240	USA	Education, Libraries	The iowa city public library friends foundation will generate private resources to support the iowa city public library.	An unrestricted and undesignated gift to the iowa city public library for its use to purchase books and other materials for the library's collections.   pass-through gifts for the iowa city public library were received by the friends foundation and subsequently passed on to the library.   additional funds were given to the iowa city public library for its use in renovating certain areas of the library.				
Little League Baseball, Inc.	http://www.littleleague.org/		EIN 42-1331292	PO Box 25	Jefferson	IA	50129	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports	To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.					
Delaware County Senior Citizens Center Inc	http://	(563) 588-3970	EIN 42-1132140	2728 Asbury Road Suite 4	Dubuque	IA	52001	USA	Human Services, Senior Centers, Seniors	Provide services for the elderly including home delivered meals, congregate meals, adult day, social and educational programs.	Home-delivered and congregate meals  adult day				
Tri-State Agricultural Education Foundation Inc	http://		EIN 42-1384428	PO Box 670	Mediapolis	IA	52637	USA							
Art Life Society Inc	http://		EIN 75-3070206	2151 185th St Unit 9	Fairfield	IA	52556	USA	Arts & Culture, Professional Societies & Associations						
Go Light Our World	http://Www.GoLightOurWorld.org		EIN 46-1400760		Newton	IA	50208	USA		Helping people discover God's best for them	literacy, vocational training, health and nutrition, growing healthy families, and discipleship training, and caring community through the love of Jesus Christ.	global communities		bring real hope to disadvantaged people	over 100 children and adults.
Waypoint Services for Women Children and Families	http://www.waypointservices.org	319-365-1458	EIN 42-0680307	318 5th St Se	Cedar Rapids	IA	52401	USA	Child Day Care, Children & Youth, Domestic Violence, Family Violence Shelters, Homeless & Housing, Homeless Shelters	Waypoint strengthens and empowers women and families in their life's journey by providing advocacy, crisis intervention, supportive services, shelter, quality child care, and community leadership	Child care services: provides licensed, quality care with age appropriate curriculum and healthy meals for children ages six weeks to 12 years. Full-time care is provided for children age six weeks to five years with preschool at three locations, before and after school care at eleven locations and full-time summer care at five locations in cedar rapids, iowa. In the fiscal year 2015, an average of 515 children were served daily with 30% receiving financial assistance to attend.   domestic violence victim services program: provides support services to help victims/survivors and their families deal with the trauma of domestic violence. Services include 24-hour domestic violence crisis and support line; one-on-one peer counseling; medical, legal, and criminal justice advocacy; weekly support groups; safety and basic needs; and community prevention education. In fiscal year 2015, waypoint served 2,433 new victims of violence and answered the 24/7 resource and support line 5,196 times.   madge phillips center shelter: provides emergency shelter, basic living supplies, case management, and outreach support for homeless women and their children. In fiscal year 2015, the program provided shelter to 289 homeless women and children. Daytime resource program: a weekday drop-in resource program for individuals who are homeless, nearly homeless, or living in poverty. In fiscal year 2015, the program served 4,171 individuals. Coordinated intake (ci): offers support and services to homeless households or those at risk of becoming homeless. Ci assesses the needs and then connects individuals to a community program that best meets their needs. Currently all emergency shelter community providers participate in this effort. In fiscal year 2015, ci supported 2,817 individuals with services.				
Eagles Loft Inc	http://		EIN 42-1440120	2715 Dayton Ave	Ames	IA	50010	USA	Child Day Care, Children & Youth						
Catholic Health Initiatives-Iowa Corp	http://www.mercydesmoines.org	(515) 643-7218	EIN 42-0680448	1111 6th Avenue	Des Moines	IA	50314	USA	General Hospitals, Health		See schedule h				
FOR GODS CHILDREN INTERNATIONAL A NON PROFIT CORPORATION	http://www.fgci.org	(712)328-3776	EIN 42-1448176	P.O. Box 434	Council Bluffs	IA	51502	USA	International, International Relief	For Gods Children Internationals motto is:  Providing hope, dignity and love in Jesus name.  It is FGCIs mission to replace despair with the hope of Christ, humiliation with the dignity of Christ, and indifference with the love of Jesus Christ.  We proclaim him, admonishing and teaching everyone with all wisdom, so that we may present everyone perfect in Christ.  To this end (we) labor, struggling with all his energy, which so powerfully works in (us) (Colossians 1: 28, 29 NIV).  For Gods Children International exists to serve abandoned, suffering, poor and marginalized children, by caring for their physical and spiritual needs.  For I was hungry and you gave me something to eat, I was thirsty and you gave me something to drink, I was a stranger and you invited me in, I needed clothes and you clothed me, I was sick and you looked after me, I was in prison and you came to visit me . . . I tell you the truth, whatever you did for one of the least of these brothers of mine, you did for me  (Matthew 25:35, 36 & 40b NIV).  Above all, we desire to serve and glorify God and to share the Good News of His Son Jesus Christ with a hurting world in need of a Savior.	camps, bible studies. We work with abandon children and orphans as well as marginalized people groups to provide hope, dignity, and love in Jesus' name. FGCI also owns and runs bible camps for children at Camp of the Good Shepherd in Louisville, Nebraska.	Romania, Muldova, and the Lakota Reservation in South Dakota		children	700 children hear the Good news of Jesus as well providing free clothing and benevolent care
Lyme Disease United Coalition	http://	(515) 432-3628	EIN 26-1499050	Po Box 465	Boone	IA	50036	USA	Health, Patient & Family Support	The lyme disease united coalition is an all volunteer 501( c)3 corporation- tax exempt. The mission of the lyme disease united coalition (lduc) is to advocate for patients who have tick-borne illness resulting in lyme disease (ld), babesia, bartonella, rocky mountain spotted fever, or ehrlichia. The care of the ld patient is our number one priority throughout the united states and the remainder of the world.	The lyme disease united coalition is an all volunteer 501( c)3 corporation- tax exempt. The mission of the lyme disease united coalition (lduc) is to advocate for patients who have tick-borne illness resulting in lyme disease (ld), babesia, bartonella, rocky mountain spotted fever, or ehrlichia. The care of the ld patient is our number one priority throughout the united states and the remainder of the world. The lduc's purpose, secondarily, is to educate the public and physicians regarding the emergence of tick-borne illness throughout the world.				
Corridor Therapy Dogs	http://corridortherapydogs.com		EIN 90-0611492	P.O Box 10643	Cedar Rapids	IA	52410-0643	USA	Animal-Related, Animals, Education, Health, Literacy, Remedial Reading & Encouragement	The Mission of Corridor Therapy Dogs is to enrich the lives of others by providing compassion and comfort for those who may benefit from our registered therapy animals and their qualified handlers.	We provide the reading education assistance dogs program to schools (R.E.A.D. Program) Special events are held at Libraries requesting therapy dog teams to read with the children. We make group team visits to schools and facilities per request via our website. Schools and colleges benefit from stress relief events from therapy dogs during finals each semester.	Our organization consists of therapy dog teams in Cedar Rapids, IA and surrounding areas. The owners/handlers have trained and registered/certified their dogs with national organizations.		Our clients are patients in hospitals and hospice.  We visit assisted living, rehab and care centers, mental health facilities,  youth and emergency shelters, detention centers, facilities for special needs children/adults, also schools and libraires.  Our dogs bring joy and comfort to anyone needing our services.	We impacted the lives of 1200 students,  500 adults and many facilities.
Ottumwa Heights College	http://		EIN 42-0841788	Grandview Av	Ottumwa	IA	52501	USA							
Mission Of Hope	http://		EIN 42-1514642	1700 B Ave Ne	Cedar Rapids	IA	52402	USA	Crime & Law, Inmate Support	ASSISTANCE TO FORMER OFFENDERS AND OTHERS					
Keokuk Area Hospital	http://www.keokukhealthsystems.org	(319) 524-7150	EIN 42-0710268	1600 Morgan St	Keokuk	IA	52632	USA	General Hospitals, Health	Improving community health and ensuring access to quality healthcare services regardless of ability to pay.	Keokuk area hospital is a private 501 c 3 tax exempt acute care hospital with a mission of ensuring quality healthcare services are available to all residents of the community regardless of ability to pay. The hospital provides emergency care, inpatient and outpatient services to the tri-state region. Approximately 65% of gross patient service revenue is derived under federal and state third-party reimbursement programs and another 5% is private pay. The hospital is undergoing a turnaround journey to create a financially stable organization that meets the needs of the community. This journey includes expense reduction initiatives as well as revenue growth opportunities. Surgery and primary care have been identified as centers of excellence. The hospital has increased its afterhours access to primary care through keokuk prompt care.				
Pella Opera House	http://pellaoperahouse.org	(641) 628-8628	EIN 42-1320801	611 Franklin Street	Pella	IA	50219	USA	Arts & Culture, Performing Arts Centers	Provide cultural events to pella area for public entertainment and educational activities that entertain, uplift, educate, and inspire audiences, students, and artists.	House theatrical productions and use as a meeting facility for the general public				
Soul of Healing Inc	http://soulofhealing.org	1-858-952-1077	EIN 26-2232427	1111 3RD St Sw	Cedar Rapids	IA	52404	USA	Centers to Support the Independence of Specific Populations	To provide access to subsidized and affordable medicine and medical care in the US and in India.	Hepatitis C treatment to patients that have been denied by insurance, medicare and medicaid.   Also, other that do not fall under this criteria.	helping patients suffering from hepatitis C access affordable medicine and medical care in the US and in India	Over the past 7 years as Soul of Healing Inc, we have helped several 100 women in Cedar Rapids, Iowa find shelter, clothing and food during crisis events in their lives.  We have helped and fund campaigns on awareness to stop female genital mutilation in Addis Ababa, Ethiopia.  We have sent over 1000 hepatitis C test kits to our partner non governmental organizations in the Horn of Africa, mostly Ethiopia.    Our clinics has helped 1000's of poor in India and South East Asia have access to food, shelter, medicine and medical care for over 25 years.    Special thanks to Dr. Warren B McCray.  We have recently partnered with Sunny Pharma to have direct access to Indian manufactured medicine for the developing world	Hepatitis C sufferers and chronicically ill patients find affordable medicine and medical care in the US and in India	Over 900 hepatitis C sufferers get generic hepatitis C treatment from India.  We will triple that by this year's end.  We look forward to eradicating this disease as swifly as possible.
Heartland Humane Society Ltd	http://www.heartlandhumanesociety.org	(641) 682-1228	EIN 42-1440792	Po Box 1149	Ottumwa	IA	52501	USA	Animal Protection & Welfare, Animals	Heartland humane society is a no-kill shelter for dogs and cats. The mission is to provide temporary shelter and care to homeless/lost animals, to educate the public on proper care of animals, and to promote neuter and spay programs.	Provide temporary shelter and care to homeless/lost animals. To educate the public on proper care of anmimals including neuter and spay programs.				
First Assembly Of God	http://		EIN 51-0149088	1913 E 22nd St	Atlantic	IA	50022	USA							
Habitat For Humanity International Inc	http://www.heartlandhfh.org		EIN 42-1350378	803 W 5th St	Waterloo	IA	50702	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Iowa heartland habitat for humanity is an ecumenical christian housing ministry working to eliminate poverty housing. Habitat for humanity works in partnership with people in need of adequate shelter by providing safe, simple, affordable housing so that all god's children can live and grow into all that god intended.	The organization obtains donations of money, materials, and labor to build or rehabilitate homes with the assistance of the future home owners. Eligible families purchase these homes from the organization.				
Womens International Bowling Congress Inc	http://		EIN 42-1219296	209 1ST St Nw	Tripoli	IA	50676	USA							
Bayard Volunteer Fire Department	http://		EIN 42-1441608	225 E 7th	Carroll	IA	51401	USA	Disaster Aid, Fire Prevention						
Meals From The Heartland	http://www.mealsfromtheheartland.org	(877) 457-6384	EIN 26-3443290	357 Lincoln St	Wdm	IA	50265	USA	Food, Food Programs	Develop and carry out a comrehensive plan to provide meals to people who cannot support themselves in the united states and around the world. Bring together people from all sectors of society to prepare packaged food for distribution to the hungry.	Meals from the heartland is committed to its mission of empowering people to save the starving. One half of this mission involves the food that is packaged year around in volunteer events. The other half of this mission is to encourage volunteer service to people of all ages and backgrounds by providing a positive team and community building experience through participation in these events. These events were held at various locations throughout central iowa as well as at our own location. During 2014 47,000 volunteers participated in these events and prepared over 10. 7 million meals. These meals were shipped throughout the u. S. And to several foreign countries to feed undernourished and food-insecure populations.				
Dogs Forever	http://dogsforever.org	319-481-0977	EIN 90-0712193	809 Rockford Road SW	Cedar Rapids	IA	52404	USA	Animals	To save the lives of dogs in Eastern Iowa that are at risk of being euthanized in shelters or are at risk in other ways, such as neglect or abuse or lack of medical care, at the hands of their owners.	Dogs Forever Safe Place is an adoption guarantee shelter; we care for each dog until he/she finds a forever home. We often take dogs that are at risk of euthanasia at shelters, including seniors and dogs with medical or behavior issues. We provide the attention, veterinary care and training needed to help each dog secure a loving, forever home. We are an all-volunteer organization so every dollar goes towards helping our homeless dogs. We also have state-licensed foster homes for dogs who need extra attention.	Eastern Iowa	Much of our fundraising is to provide veterinary care to the dogs we take in. This is an ongoing endeavor, as we do not want to deny a dog the treatment he/she needs in order to be healthy and happy and therefore, adoptable.	homeless dogs	
Bailing Out Benji	http://www.bailingoutbenji.com	515-329-0563	EIN 47-1652323	Po Box 203	Ames	IA	50010	USA	Alliances & Advocacy, Animal Protection & Welfare, Animals, Arts & Culture	Bailing Out Benji is a non-profit organization based out of Ames, Iowa with volunteer teams in Texas, Nebraska and Pennsylvania!   Bailing Out Benji is dedicated to working towards a kind and compassionate future for companion animals by giving the individual person the power and knowledge to change the world for animals around them. We provide free lectures and presentations about various humane education topics in schools, libraries, and other public venues, as well as, utilizing social media channels and the organizations website to provide facts, statistics, and solutions to helping animals in harmful or less than ideal situations.  Our programs include sending out ambassadors to raise social consciousness about these animal welfare issues on a local and national level and to hold fundraising events in order to raise awareness about said issues or to provide immediate relief to animals in need.  At times, per the discretion of the board of directors, we may provide volunteer opportunities or internships, which shall provide opportunities for involvement in said outreach events, activities and programs, in order to have a greater impact for change.  Bailing Out Benji will endeavor to maximize the percentage of its operating budget, which directly benefits the outreach events that the organization is able to do. Fundraising to support this will be achieved through solicitation and acceptance of contributions from individuals and other methods or events as the Board of Directors of the Organization desire to utilize.	Free programs to raise public awareness about animal issues, such as puppy mills.	All over the United States to combat the puppy mill issue from the heart of the problem.	-Featured in the world-wide documentary "Dog by Dog"  - Featured in the January 2017 Edition of the Rolling Stone magazine and their expose on the puppy mill industry.  - Named one of the top 5 organizations in the nation fighting puppy mills by "One Green Planet" in 2016.  - Our founder was named the 2016 "Advocate we love" by the Humane Society of the United States-Puppy Mill Campaign.	the dogs trapped in puppy mills and the unsuspecting public who buys sick puppies.	hundreds of thousands of people learn about puppy mills.
Iowa Farm Bureau Foundation	http://		EIN 42-1370988	5400 University Ave	Wdm	IA	50266	USA	Homeless & Housing, Housing Support	Building Iowa's values by recognizing and responding to significant changes in Iowa - those that fundamentally affect families and communities.					
Mt Pleasant Athletic Booster Club Inc	http://	(319) 385-4057	EIN 42-1319796	Po Box 795	Mt Pleasant	IA	52641	USA	Recreational Clubs, Sports	To provide funds and educational support for mt pleasant public schools. The mt pleasant athletic booster club's exempt purpose is to provide equipment, supplies, facilities, and travel including food costs for all girls and boys athletic teams.	Purchase of equipment and facility improvements for student athletes  funding of weight room supervision for student athletes  partial reimbursement to student athletes for team camp fees  grants and other expenses related to support of student athletes				
TIGERACAT RESCUES	http://www.TigeraCat.org	319-427-4101	EIN 26-3483601	P.O. Box 91	Waterloo	IA	50704	USA	Animal Protection & Welfare, Animals	To promote and encourage the humane treatment, health, and welfare of animals and to educate the public concerning the care, treatment, and welfare of animals with emphasis in felines.	Adoption Low-Cost spay/neuter & vaccination Educational training & support Trap-Neuter-Return	Waterloo/Cedar Falls, Iowa and surrounding areas.  Adoptions in Iowa and surrounding states.	We spent a lot of time this year fine-tuning our low-cost veterinary program and our adoption programs!	Cat-Lovers throughout Iowa searching for No-Kill alternatives.	
Pta Iowa Congress Riverview School	http://		EIN 42-6120588	2205 Bryan St	Sioux City	IA	51109	USA							
Lake Mills Foundation For Community Improvements Inc	http://		EIN 39-1884216	105 W Main St	Lake Mills	IA	50450	USA	Community Foundations, Philanthropy	Community Fountation					
All Care Health Center	http://www.allcarehealthcenter.org	(712) 325-1990	EIN 42-1466508	902 S 6th St	Council Blfs	IA	51501	USA	Ambulatory & Primary Health Care, Health		During the year all care was able to complete and move into its new facility. The facility is 80% larger than the previous one, and has allowed all care to increase the capacity for mediacl and dental services and to extend the clinic hours for these services. Additionally, all care was able to secure funding for the onsite pharmacy which will go live in 2013. These imporvements are helping all care meet the growing need to provide health services to the individuals and families in the community with limited resources for health care.				
Raptor Resource Project	http://www.raptorresource.org	276-325-2662	EIN 41-1693761	119 Winnebago Street PO Box 16	Decorah	IA	52101	USA	Animals, Protection of Endangered Species, Wildlife Preservation & Protection, Wildlife Sanctuaries	Established in 1988, the non-profit raptor resource project specializes in the preservation of falcons, eagles, ospreys, hawks, and owls. We create, improve, and directly maintain over 40 nests and nest sites, provide training in nest site creation and management, and develop innovations in nest site management and viewing that bring people closer to the natural world. Our mission is to preserve and strengthen raptor populations, expand participation in raptor preservation, and help foster the next generation of preservationists.	We create, improve, and directly maintain over 40 nests and nest sites, provide training in nest site creation and management, and develop innovations in nest site management and viewing that bring people closer to the natural world.	Iowa, Wisconsin, and Minnesota		preserve falcons, eagles, ospreys, hawks, and owls.	
Agape Christian Family Church	http://		EIN 42-1149484	2810 Hwy 18 West	Clear Lake	IA	50428	USA							
Animal Lifeline of Iowa, Inc.	http://www.animal-lifeline.com	515-285-7387	EIN 42-1341320	PO Box 12	Carlisle	IA	50047	USA	Animal Protection & Welfare, Animals	Animal Lifeline started in 1987. We are a special needs no kill shelter that accepts cats & dogs that are injuried, handicapped, have a serious medical condition, abused, abandoned, pregnant, nursing or orphan babies.  We rely soley on donations and the proceeds from our thrift shop to operate and receive no government funding or payments. We are a 501(c)(3) organization.	Accepting cats and dogs that are injured, handicapped, have a serious medical condition and pregnant and nursing mom, and orphan babies that need to be bottle fed. We provide whatever vet care they need, get them healthy and place them up for adoption.	Animal Welfare/Rescue		Special needs cats and dogs	155 animals
Integrity Fellowship	http://		EIN 91-1911852	4023 Urbandale Ave Unit 13199	Des Moines	IA	50310	USA							
One Iowa Education Fund	http://www.oneiowa.org	515-288-4019	EIN 72-1613927	3839 Merle Hay Road #274	Des Moines	IA	50310	USA		One Iowa is the state's largest lesbian, gay, bisexual and transgender (LGBT) advocacy organization. Our mission is to support full equality for LGBT individuals living in Iowa through grassroots efforts and education.	Iowa Pride Network (youth), Gay & Gray in the Midwest, Health & Wellness, Iowa Fair Courts Coalition, Fly-Over Radio, Law Enforcement trainings, Cultural Competency, etc	Working towards full equality	In 2009, the Iowa State Supreme Court ruled in favor of the freedom to marry for gay and lesbian couples. Since then, we have been working to protect all families and in all aspects of their lives - from cradle to grave.	for all LGBTQ individuals and communities in Iowa	
Allamakee New Beginnings Inc	http://www.iowafoodhub.com		EIN 26-2480557	124 E Elm St	West Union	IA	52175	USA	Personal Social Services	Allamakee new beginnings exists to seek and manage resources as a charitable organization to lessen the effects of poverty by investing in families and individuals through education and collaboration.	Distribution of locally grown foods in an effort to sustain and promote the regional farm system and increase access of local healthy foods to underserved communities.				
Algona Bulldog Boooster Club Inc	http://		EIN 42-1440480	111 N Dodge St	Algona	IA	50511	USA	Children & Youth, Crime & Law, Youth Violence Prevention	Booster club to provide recognition and financial support for various teams of algona high school.	This organization funded repairs to school athletic facilities, sponsored recognition banquests for teams, paid for equipment purchases and sponsored travel to events for teams and supporters.				
Embroiderers Guild Of America Inc	http://		EIN 42-1354343	1608 S Lemon St	Sioux City	IA	51106	USA							
Questers Inc	http://		EIN 52-1236936	Rt 1 Box 175	Clear Lake	IA	50428	USA							
Christian Opportunity Center Foundation	http://	(641) 628-1162	EIN 42-1175160	1553 Broadway	Pella	IA	50219	USA	Human Services	To provide funding to the nonprofit organization, christian opportunity center, which provides services to handicapped individuals.	To provide funding to nonprofit organization providing services to handicapped individuals				
Self-Help International	http://www.selfhelpinternational.org	319-352-4040	EIN 42-0844679	703 2nd Ave NW	Waverly	IA	50677	USA	Economic Development, International, International Agricultural Development, International Development, International Economic Development, Microfinance	We offer long-term solutions to global problems... not a quick fix. We commit to a country, a group of people and a set of projects until the recipients can stand by themselves. We are not a relief agency, which tends to meet temporary needs. Self-Help believes in teaching people to fish for their long-term benefit. Based in Waverly, Iowa, Self Help has offices in Nicaragua and Ghana.	Feeding program, Quality Protein Maize, Micro-Credit, Silos, Water-Chlorination	Nicaragua and Ghana	We are creating and expanding training facilities in both Ghana and Nicaragua that teach young farming such as animal husbandry, and provide them with micro credit loans to start or grow their businesses. With knowledge and resources, farmers can stay in their rural areas instead of migrating to the large urban areas to find jobs that will support their families.	alleviate hunger by helping those in need help themselves	3,718 people
Davenport Lend A Hand Club	http://	(563) 324-2011	EIN 42-0208260	401 West Third	Davenport	IA	52801	USA	Philanthropy	Assistance for the elderly through support of davenport lend-a-hand housing corporation, a 501(c)(3) organization.	Assistance for elderly by providing entertainment and social activities to the tenants of davenport lend-a-hand housing corporation, serving 100 tenants.				
Project Vote Smart	http://www.votesmart.org	515-989-6363	EIN 85-0364261	1153 24th Street	Des Moines	IA	50311	USA	Civil Rights, Education, Voter Education & Registration, Voting Rights	Project Vote Smart is dedicated to providing voters with the essential information to self-govern effectively. Because a knowledgeable electorate is the strongest component of a functioning democracy, our organization strives to provide free, non-biased, in-depth, and accurate information about current officials, candidates, issues, legislation, and voting.	VoteEasy: Check out the award-winning interactive tool found at www.voteeasy.org. The Political Courage Test: See how we challenge the candidates to tell voters where they stand on the issues.	United States - Nationally			
The Sunshine Club	http://		EIN 42-1226640	512 Se 5th	Des Moines	IA	50309	USA							
Grape Hospital Foundation	http://		EIN 42-1335348	Po Box 71	Hamburg	IA	51640	USA		Provide support for local community hospital-scholarship, equipment, and reemodeling	Scholarship and remodeling				
Promise 4 Paws Dog Rescue Inc.	http://www.promise4pawsdogrescue.com		EIN 45-2562098	3094 Cedar Street	Missouri Valley	IA	51555	USA		Our mission is simple.  We want to save as many senior dogs as we can from passing in shelters and provide those seniors with the best life we can.  All of us at Promise 4 Paws have a love for dogs of all ages, but found our greatest passion to be senior dogs.  Our community is very lucky to have several local dog rescues and multiple humane societies, however, we feel there has always been a shortcoming when it comes to older dogs.  Our goal has always been, and continues to be, to bridge that gap.		The Omaha Metropolitan Area		senior dogs	
Mercy Hospital	http://		EIN 42-0698172	PO Box 1	Council Blfs	IA	51502	USA	General Hospitals, Health						
Living Water Family Church Inc	http://		EIN 39-1901880	Po Box 788	Bettendorf	IA	52722	USA	Christianity, Religion						
Childserve Foundation Inc	http://www.childserve.org	(515) 727-8750	EIN 42-1157665	Po Box 707	Johnston	IA	50131	USA	Health, Human Services, Nursing Facilities, Rehabilitative Care, Residential Care & Adult Day Programs, Seniors	Operating as a foundation to develop, receive and grant financial assistance to the childserve organizations.	Granted $2,007,890 to other childserve organizations and individuals to help meet the needs of children with special health care needs.				
St Charles Community Services	http://		EIN 42-1127664	202 N Cherry St	Saint Charles	IA	50240	USA	Human Service Organizations, Human Services						
Iowa Bicycle Coalition	http://www.iowabicyclecoalition.org	(515) 309-2867	EIN 20-1224562	Po Box 5562	Coralville	IA	52241	USA	Amateur Sports, Sports	The iowa bicycle coalition builds partnerships, educates iowans, and helps to establish safe and enjoyable bicycle transportation and recreation networks throughout iowa.	Bicycle training/rides-establish safe ways for bicycles to utilize the road with autombiles. To create a safer environment for riders while sharing the road. Reduce bicycle accidents with autombiles. To train new and old riders safe riding in all conditions  iowa bicycle summit-create a educational program for engineers and planners to better integrate bicycle facility design.   safe routes to schools-establish task force to create safe routes for children to walk or bicycle to school.				
Village Creek Bible Camp & Retreat Center	http://		EIN 42-1023010	1588 Drake Rd	Lansing	IA	52151	USA							
Friends Of The Decorah Fish Hatchery	http://		EIN 26-4753364	Po Box 46	Decorah	IA	52101	USA	Environment						
Bur Oak Land Trust	http://www.buroaklandtrust.org	(319) 338-7030	EIN 42-1104058	Po Box 2523	Iowa City	IA	52244	USA		To protect and conserve the natural areas of johnson and surrounding counties for future generations.	Property stewardship, land conservation and management. Invasive species removal, prairie restoration and timber stand improvements at various property locations.   public awareness & education. Various events held throughout the year to educate the community regarding land preservation and conservation. Educational materials distributed free of charge, including heritage, an environmental journal.				
BLANK PARK ZOO FOUNDATION INC	http://		EIN 42-1171821	7401 Sw 9TH St	Des Moines	IA	50315	USA	Animals						
4-H Clubs And Affiliated 4-H Organizations Sioux Braves 4-H Clu	http://		EIN 42-1226436	Rt 2 Box 114B	Sioux Rapids	IA	50585	USA							
Clear Lake Church Of Christ	http://		EIN 42-1216704	1115 Main Ave	Clear Lake	IA	50428	USA							
Faith Christian Fellowship Of Cedar Rapids	http://		EIN 42-1186716	3336 Prairie Dr Ne	Cedar Rapids	IA	52402	USA							
Cedar Christian Church	http://		EIN 42-6005988	526 3RD Ave Sw	Cedar Rapids	IA	52404	USA							
English River Outfitters Resort	http://www.englishriveroutfitters.org	563-357-4923	EIN 26-2810719	P.O. Box 605 2564 305th St.	Washington	IA	52353	USA	Military & Veterans Organizations, Veterans	Mission Statement: We strive to restore our veterans strength and independence by providing a safe outdoor experience that promotes healing and closure, as well as family reintegration.	English River Outfitters Life Skills Program is comprised of three Modules: 	Module One - Personal Development: developing self-concept, personal goal setting, problem solving, decision making, dealing with anger, personal safety, time management, grooming and hygiene, alone or lonely, assertiveness, self-esteem, trust, risk taking, values, stress management, and even learning to laugh again.  	Module Two - Relating to others, communication skills, self-disclosure and feedback, accepting others, friendships, conflict resolution, hosting and attending social events, and healthy relationships.  	Module Three - Life Management Skills: budget coaching, shopping, paying bills, cooking and nutrition, maintaining comfortable living space, landlord/tenant relations, navigating the healthcare system, connecting with community resources, accessing programs, and basic computer skills.   English River Outfitters Life Skills program is a relaxed setting designed to reach the veteran who has had a bad experience with the Veterans Administration and has anxieties about returning for the help he or she needs.	Washington, Iowa	We have had a direct impact on preventing 9 suicides, 2 divorces and serve annually over 300 veterans and their families.	We strive to restore our veterans strength and independence by providing a safe outdoor experience that promotes healing and closure, as well as family reintegration.Our priority is to help foster a healthy readjustment back to civilian life through a positive outdoor experience. English River Outfitters is part of the healing process for veterans.	Over 300 Veterans and their families
Brooklyn-Bear Creek Community Fund Inc	http://		EIN 42-1212528	Po Box 212	Brooklyn	IA	52211	USA	Amateur Sports, Sports						
Embrace	http://		EIN 42-1385904	Po Box 10077	Cedar Rapids	IA	52410	USA	Christianity, Religion						
Winnebago County Cousins Inc	http://		EIN 42-1240740	141 E K St	Forest City	IA	50436	USA							
St John Lutheran Church Endowment Foundation Inc	http://		EIN 42-1207524	801 E 18th St	Carroll	IA	51401	USA							
Critter Crusaders of Cedar Rapids	http://www.crittercrusaderscr.org/	319-350-8295	EIN 26-2821920	PO Box 10111	Cedar Rapids	IA	52410	USA	Animal Protection & Welfare, Animals	Critter Crusaders of Cedar Rapids exists to provide and guide lifesaving advanced medical care for homeless or stray animals. We offer this service to shelters and rescues in the area to reduce euthanasia numbers and restore broken lives.  * * * * * * * * * Much of our society considers homeless pets as disposable. Many are brought to us in serious condition from being neglected or abused. These animals would normally drain resources from a budget-conscious shelter and would be the first to be euthanized due to financial restrictions. This is where Critter Crusaders steps in to help. Through the life and limb-saving medical and surgical interventions we provide, our goal is to restore health and adoptability to the homeless animal population. Through the process of diagnosis and treatment, we work side by side with our veterinary partners to deliver the most comprehensive medical and surgical options available. These are the pets that have suffered the most and deserve a chance to be healthy and loved.   * * * * * * * * *  We are committed to meeting the medical and surgical needs of our homeless and stray animals. Life is not always kind. Critter Crusaders of Cedar Rapids was founded to help give animals a second chance to live a happy and healthy life. This is our passion.	Medical and surgical treatment that will lead to the restoration of health and adoption for homeless animals.  We also provide advanced medical care and facilitate placement of animals that do not adopt through the CRACC shelter into foster-based rescues as an alternative to euthanasia.	Cedar Rapids, Iowa and surrounding communities		homeless animals	142 animals with medical care
Gospel Of Christ Pentecostal Assemblies Of Ottumwa Iowa	http://		EIN 42-1175292	508 S Sheridan Ave	Ottumwa	IA	52501	USA							
Davenport Schools Foundation	http://		EIN 42-1304688	1606 Brady No 106	Davenport	IA	52803	USA							
Soil And Water Conservation Society	http://		EIN 42-0716340	945 Sw Ankeny Rd	Ankeny	IA	50023	USA	Environment	TO FOSTER THE SCIENCE AND ART OF NATURAL RESOURCE CONSERVATION. OUR WORK TARGETS CONSERVATION OF SOIL, WATER AND RELATED NATURAL RESOURCES ON WORKING LAND-THE LAND USED TO PRODUCE FOOD, FIBER, AND OTHER SERVICES THAT IMPROVE THE QUALITY OF LIFE PEOPLE EXPERIENCE IN RURAL AND URBAN COMMUNITIES. WE WORK TO DISCOVER, DEVELOP, IMPLEMENT, AND CONSTANTLY IMPROVE WAYS TO USE LAND THAT SUSTAINS ITS PRODUCTIVE CAPACITY AND ENHANCES THE ENVIRONMENT AT THE SAME TIME.					
