name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Crisis Shelter	Childrens Crisis Shelter 	Crisis Hotline
Lincoln Heights Christian Church	http://		EIN 86-0100881	2121 E Lincoln Dr	Phoenix	AZ	85016	USA										
Keyrock Ministries Inc	http://		EIN 74-3215265	PO Box 1142	Cottonwood	AZ	86326	USA	Christianity,Religion									
BEN'S BELLS	http://www.bensbells.org	(520)-622-1379	EIN 76-0779755	40 W Broadway Boulevard	Tucson	AZ	85701	USA	Counseling,Mental Health	To inspire, educate and motivate each other to realize the impact of intentional kindness and to empower individuals to act according to that awareness, thereby strengthening our selves, our relationships and our communities.					Kindness Education Programs: Innovative outreach programs for schools, work places and organizations which serve to educate and inspire students, faculty, staff, and employees to recognize the importance of kindness and empower them to create a culture of kindness in their communities and beyond.- Kind Kids: K-8 Schools- Kind Campus : High Schools- Kind Colleagues: Workplaces/Organizations			
Museum Of Contemporary Art	http://www.moca-tucson.org	(520) 624-6873	EIN 86-0850880	265 S Church Ave	Tucson	AZ	85701	USA	Art Museums,Arts & Culture	Art museum providing exhibition, research, public education programs and an artist in residence program inspiring new ways of thinking through contemporary art.					Artist in residency/studio program space and support for artists involved in our exhibitions.  exhibitions & curatorial work to provide the public with scholarly exhibitions about the art of our time.  educational events provide the public with workshops, lectures, symposia, etc. About contemporary art.  other program services			
Womens Foundation Of Southern Arizona	http://www.womengiving.org	(520) 622-8886	EIN 31-1660702	1661 N Swan Rd Ste 150	Tucson	AZ	85712	USA	Nonprofit Management,Philanthropy,Public Foundations,Women,Womens Service Clubs,Womens Studies	The mission of the women's foundation of southern arizona is to foster equity and opportunity for women and girls. The foundation fulfills this mission by using a community-based process to grant funds to an array of programs in southern arizona that benefit women and girls, and by providing innovative programs to increase young women's philanthropy.					The foundation fulfills its mission by granting funds to an array of programs in southern arizona (pima, cochise & santa cruz counties) that promote economic self-sufficiency for women and girls; by providing innovative programs to increase young women's philanthropy and leadership; by advocating publicly for issues affecting women and girls; and by conducting research on issues affecting women and girls in southern arizona. In the spring of 2014, we awarded 205,000 through our general, annual grant round to 13 organizations that promote women's economic selfsufficiency using a variety of strategies: education, skills development, high school completion, job training, family planning, asset development and child support enforcement. Additionally, we awarded two multi-year equity & opportunity grants. Assuming adequate yearly progress toward goals, each organization receives a 25,000 grant, renewal for two more years. Again, these grants focus on economic self-sufficiency. One trains women to achieve certified caregiver status; the other provides business training and loans to women entrepreneurs. Selected by the association of fundraising professionals as their 2012 youth philanthropists of the year, our unidas program trained thirty-one young tucson women on social justice issues, philanthropy, leadership and grant-making. Through unidas, high school girls designed and implemented a grants process, allocating 10,000 to three organizations that educate young women about healthy relationships and body image. In the fall of 2013, we awarded 40,000 to the grand canyon institute to conduct research examining how women and girls were affected by legislative actions in the state of arizona from 2007 through 2012.			
CELEBRITY FIGHT NIGHT FOUNDATION INC	http://www.celebrityfightnight.org	(602) 956-1121	EIN 86-0903119	2111 E Highland Ave No 135	Phoenix	AZ	85016	USA	Federated Giving Programs,Philanthropy	The foundation supports the muhammad ali parkinson center at barrow neurological institute - providing treatment and medicine for those in need. They also contribute to research aimed at finding a cure for catastrophic diseases and provide funding to charities for youth and families in the community.					The celebrity fight night foundation contributes to research aimed at finding a cure for catastrophic disease and funding to non-profit organizations that create opportunities for youth/families living in threatening/vulnerable areas.			
The BREAST CANCER SOCIETY INC	http://www.breastcancersociety.org	888.490.4707	EIN 26-0237089	6859 E. Rembrandt Ave. Ste 128	Mesa	AZ	85212	USA		The guiding mission of The Breast Cancer Society, Inc. (The BCS) is to provide relief to those who suffer from the effects of breast cancer now, as well as to work cooperatively with and give support to other personnel, individuals and organizations that share in the goal of helping cancer patients, the critically ill, and the impoverished.  This is done through such means as education, direct assistance, financial aid, and the providing of supplies and care-giving products, and referral services.  Additionally, The BCS assist in the eradication of breast cancer through education and the support of breast cancer research.	TBCS consistently increases its awareness efforts, as we believe that early detection can literally save a life. Recently, we have implemented a prominent online blog, targeting the challenges that research has identified that breast cancer patients are battling.  We have also incorporated video testimonials of survivors, in effort to reach the newly diagnosed.In 2012, the organization launched three new vital programs.  Our non-medical In-Home Care, the Hope Scholarship Fund and the Empower Scholarship Fund.  Each program is answering problematic issues surrounding a breast cancer diagnosis.	Women and Men battling breast cancer		National and International Organization	 To work closely with breast cancer patients and their families on a case-by-case basis in an effort to identify critical needs and to give meaningful support through such methods as financial aid, education, material supplies and commodities, and any other means deemed suitable to aid in alleviating the special needs brought on by breast cancer.  Services are provided to recipients nation-wide, based on need, demand, and qualification. To procure products and commodities (gifts-in-kind) for distribution in accordance to the organizations mission. To educate the public and cancer patients about breast cancer and various issues surrounding it and to fund special grants for research projects whose primary aim is to improve the prevention , detection, treatment of, or recovery from breast cancer. To inform the general public about the existence of The Breast Cancer Society (TBCS) and the services which the organization provides. To participate in efforts both domestically and internationally to alleviate human suffering through such means the procurement and distribution of donated commodities - primarily to breast cancer victims, and in some cases other critically ill individuals in the case of surplus supplies and urgent need.			
West Valley Child Crisis Center Inc	http://www.wvccc.org	623.848.8863	EIN 86-0589516	14050 N 83rd Ave Suite 120	Peoria	AZ	85381	USA	Child Abuse Prevention,Children & Youth,Children & Youth Services,Crime & Law,Domestic Violence,Homeless & Housing	The West Valley Child Crisis Center's (WVCCC) mission is to be proactive in ending the cycle of abuse and family violence through education, prevention programs, and safe placement services to promote healthy family environments for the future of Arizona's children.	Approximately 300 individuals contact WVCCC each year seeking help in becoming a licensed foster or certified adoptive home for a child in need; An average of 55 families are certified to adopt each year through WVCCC;On average, 32 children are legally adopted each year through WVCCC; andApproximately 70 families are licensed to provide foster care each year through WVCCC.	WVCCC is here to help save children's lives. WVCCC helps find caring homes for children, ages 0-18, who have been removed from their homes by Child Protective Services because of domestic violence, abuse or abandonment.	Children ages 0-18 in Arizona's state child welfare system. WVCCC serves over 165 children by providing access to a safe, secure and supportive placement services	Maricopa County, Arizona	Foster care Kinship ServicesState and private adoption services			
Arizona Housing Inc	http://	(602) 256-6945	EIN 86-0811431	230 S 12th Ave	Phoenix	AZ	85007	USA	Homeless & Housing,Low-Income & Subsidized Rental Housing	To assist individuals and families to attain self-sufficiency through the provision of dignified housing and services.					Permanent, affordable, supportive housing - collins court is a permanent affordable supportive housing community, providing desirable amenities and conveniently located close to the i-17 freeway and major bus line routes that connect residents to nearby employment, shopping, supportive services and recreational activities. Collins court consists of 67 studios and 13 one-bedroom furnished units. A front office is staffed 24 hours/7 days a week and includes a community kitchen, resident computer with internet access and a large community room. On-site supportive services are available to assist residents with maintaining self-sufficiency and a healthy living environment. (continued on sch. O)north 17 is a permanent affordable supportive housing community providing desirable amenities and conveniently located close to the i-17 freeway with a free circular shuttle that connects residents to nearby employment, shopping, supportive services and recreational activities. North 17 consists of 36 one-bedroom and 36 two-bedroom furnished units. The front office is staffed 24 hours/7 days a week and includes an employment center, community kitchen, library with a computer lab and two large community rooms. On-site supportive services are available to assist residents with maintaining self-sufficiency and a healthy living environment. Horace steele commons is a permanent affordable supportive housing community, providing desirable amenities and conveniently located close to the i-10 and i-17 freeways and major bus line routes that connect residents to nearby employment, shopping, supportive services and recreational activities. Horace steele commons consists of 84 fully furnished studio apartments. The front office is staffed 24 hours/7 days a week and includes a business center, community kitchen, library, and tv room. On-site supportive services are available to assist residents with maintaining self-sufficiency and a healthy living environment. 209 west jackson is a permanent affordable supportive housing community, providing desirable amenities and conveniently located in downtown phoenix, close to the i-10 freeway, light rail and major bus line routes that connect residents to nearby employment, shopping, supportive services and recreational activities. 209 west jackson consists of 297 studio, recently renovated, units. The front office is staffed 24 hours/7 days a week and includes a tv room, workout room, community room, resident computers with internet access and underground parking. On-site supportive services are available to assist residents with maintaining self-sufficiency and a healthy living environment.  emergency shelter -ahi owns and rents a facility to a non-profit for use as an emergency shelter with supportive services for homeless families including access to beds, showers, food, clothing and hygiene items. Recipients receive services at no cost. This facility provided 45,862 nights of lodging to 674 family members (170 families). During the year, this facility was also used to provide child development services (served 166 pre-school children) and after school services (served 232 school aged children).			
Empowerment Through Sports	http://www.emtsports.com	602-690-5360	EIN 36-4657171	PO BOX 1027	Higley	AZ	85236	USA	Children & Youth,Youth Development Programs	Mission StatementOur mission is to "EMPOWER" the lives of our participants and their families. Empowerment Through Sports (ETS) desires to be a cornerstone of support in helping shape the lives of our young participants and their families through the medium of sports. We want to make sure that as we strive to "change the face of sports, one kid at a time", that we are as well building health, confidence, and character into all of the lives we encounter. The focal point is on Faith, Family, and Community (FFC), our behaviors need to cause positive experiences for kids and parents! Winning to us is about much more than the outcome of a sporting event, because we care that your family "wins" in their relationship with God through Christ. ETS strives to create lifelong partnerships with our members, hence It is very important to concretely solidify relationships with churches, school districts, and other potential community partners. We pledge to ensure that we provide a safe sports environment for our community and truly show our community that the benefit of recreation is endless! We infuse the Gospel of Jesus Christ into our interaction with the children and their families!		Our programs help children learn the importance of discipline, integrity, respect, and honor through sports interaction.	163 Student-Athletes and their families	the beautiful State of Arizona in helping to create a bridge to Christ Centered Sports!	- Education/Tutoring- Mentorship- Sports Training- Recreation- Counseling- Community Service			
Big Brothers-Big Sisters of Tucson, Inc.	http://www.tucsonbigs.org	(520) 624-2447	EIN 86-0188050	160 E. Alameda St.	Tucson	AZ	85701	USA	Big Brothers & Big Sisters,Children & Youth,Crime & Law,Youth Violence Prevention	Big Brothers Big Sisters of Tucson is committed to developing one-to-one, adult-to-child mentoring relationships guiding youth from a position of risk to one of achieving their highest potential.		children ages 6-17.			one-to-one, adult-to-child mentoring relationships designed to add healthy, positive role models to the life of a child. Adult mentors, age 18+, experience volunteerism & community involvement, while helping to strengthen personal assets in a child.Volunteer Big Brothers & Big Sisters spend 2+ hours, 2-3 times per month with their Little, enjoying everyday activities together. A minimum of a 1-year commitment to the match is required. All mentors undergo a thorough screening process including an application, in-depth interview, a criminal background check & reference check. All volunteers go through an orientation & continue to receive match support from BBBST.We currently have 110 Little Brothers on a waiting list ready to be matched with a Big Brother, so we are especially in need of male volunteers. Bilingual volunteers are also needed. If you have a heart for children, volunteer to be a Big Brother or Big Sister today at www.tucsonbigs.org/volunteer.			
Assistance League of Phoenix Arizona, Inc.	http://www.phoenix.assistanceleague.org	(602) 944-7636	EIN 86-0193883	9224 N. 5th St	Phoenix	AZ	85020	USA	Community Service Clubs,Human Service Organizations,Human Services,Thrift Shops	We are a nonprofit, nonpolitical, nonsectarian organization serving the emotional and physical needs of children and adults of all ages regardless of race or creed.					Our programs are directed at providing educational opportunities and enrichment and basic human services to those in need in the community.			
Superstition Area Land Tr	http://		EIN 86-0732573	Po Box 582	Apache Jct	AZ	85117	USA	Environment,Land Resources Conservation									
RISE INC	http://www.riseinc.net	(480) 497-1889	EIN 87-0454287	4554 E Inverness Ave	Mesa	AZ	85206	USA	Developmentally Disabled Centers,Disabilities,Human Services	Provides services to individuals that have developmental disabilities in the states of utah, arizona, and oregon. The organization maintains the following programs: 1) residential, 2) professional parent, 3) in home support, 4) day training, 5) maricopa managed care, 6) vocational services and 7) employment services.		create opportunities for and with people		human services	Various programs providing services to the elderly, the mentally impaired and individuals with developmental disabilities, disabled children and adults and abused and neglected children mental therapies early intervention services			
CHI SOCIETY OF CT INC	http://www.thechisociety.org		EIN 26-3475085	6251 N. Bllue Blvd.	Tucson	AZ	85743	USA	Animal Protection & Welfare,Animals									
The Tinnitus Foundation	http://www.thetinnitusfoundation.org		EIN 46-1308772	2034 E. Southern Ave. Suite I	Tempe	AZ	85282	USA										
Horses Help Foundation	http://www.horseshelp.org	(602) 569-6056	EIN 74-2477097	Po Box 71005	Phoenix	AZ	85050	USA		Horses help is a premier accredited therapeutic and recreational agency that serves the special needs population by providing activities to empower them to break through physical, cognitive and emotional barriers using a unique collaboration of horses and people within arizonas valley of the sun.					Provide therapeutic equine programs for people with special needs as well as returning military . 6 riding sessions per year are offered and in fy14 the program served 314 adaptive riding clients, 54 horsemanship students, 48 hippotherapy clients, 47 equine facilitated learning clients, 16 equine facilitated psychotherapy clients, and 37 military clients. Horses help also hosted certification workshops through path intl for instructors and equine practioners - 80 equine professionals participated in these educational events. The program also partnered with scottsdale community college and other area therapeutic riding programs to offer low cost continuing education for equine professionals. Horses help was also one of the two registered programs for the az special olympics equestrian program and held two events for special olympics competitors.			
Kitchen on the Street Inc	http://www.KitchenOnTheStreet.org	(480) 200-4968	EIN 20-5723799	2650 E Mohawk Lane, Suite 168	Phoenix	AZ	85050	USA	Food,Food Banks & Pantries	Turning hunger into hope...one child at a time.			Roughly 1,500 children each weekend via Bags of Hope!	Arizona and San Antonio, TX	Bags of Hope are backpacks of food that provide a hungry child with meals and snacks on weekends. This program works in conjunction with school food programs  to ensure that impoverished children have access to food 7 days a week.			
Arizona Womens Partnership Inc	http://		EIN 86-0497305	13058 N Surrey Cir	Phoenix	AZ	85029	USA	Human Service Organizations									
New Way Academy	http://www.newwayacademy.org	(480) 946-9112	EIN 86-0215781	1300 N 77TH St	Scottsdale	AZ	85257	USA	Education,Special Education	The mission of New Way Academy is to educate children with learning differences to fulfill their potential.				The Greater Phoenix Area				
Raising Special Kids	http://www.raisingspecialkids.org	800-237-3007	EIN 86-0517082	5025 E. Washington St. #204	Phoenix	AZ	85034	USA	Centers to Support the Independence of Specific Populations,Developmentally Disabled Centers,Disabilities,Family Services,Public & Societal Benefit	As a comprehensive Parent Center, Raising Special Kids provides information to families of children with disabilities or special health needs. We offer free workshops and individual consultations for families as well as training for professionals in family service fields such as health care, education and social services. Parent to Parent support and guidance is offered by experienced, trained, volunteers for families facing a new situation. A skilled, caring staff of parents is available to answer questions regarding special education, health care, accessing state services and finding appropriate resources for children and families. Services for families are offered free of charge in English and Spanish.		Families of children with disabilities and special health care needs in Arizona--and the professionals who serve them.	7,701 families	Arizona	Parent to parent support, parent training, and information on services and resources.			
Valley United Presbyterian Foundation	http://		EIN 94-2378204	6947 E Mcdonald Dr	Scottsdale	AZ	85253	USA	Protestant,Religion									
Assistance League of East Valley Arizona	http://www.assitanceleagueeastvalley.org	480-792-1600	EIN 86-0659387	1950 N. Arizona Avenue Ste 3	Chandler	AZ	85225	USA	Community Service Clubs,Human Service Organizations,Human Services,Thrift Shops	Assistance League of East Valley is a local Chapter of a national nonprofit organization that puts caring and commitment into action through community based philanthropic programs		children and adults in need.	over 10,000 children and adults in the East Valley	the East Valley of Maricopa County, Arizona	Operation School Bell, Assault Survivor Kits, Adult Day Care Social, Adopt A School, Scholarships and Share Our Spare.			
Casa Council Helping Children of Mohave County	http://www.casasupport.org		EIN 26-3573171	PO Box 6605	Kingman	AZ	86402	USA	Children & Youth	To enhance the lives and self-esteem of Mohave County foster children through advocacy and fulfillment of their unmet needs.		foster children		Mohave County	funding to provide Sports Equipment, Computers, Tutoring, Summer Camp, Music Lessons & Instruments, Martial Arts Classes, Dance Lessons, Art Classes to name a few.			
The Hermitage Cat Shelter	http://www.hermitagecatshelter.org	520-571-7839	EIN 86-0213263	5278 E 21st Street	Tucson	AZ	85711	USA	Animal Protection & Welfare,Animals	Founded in 1965, The Hermitage Cat Shelter is a not-for-profit 501(c) (3) organization supported entirely by donations. We are dedicated to the shelter, protection, and care of homeless cats, especially those that are often not considered adoptable by other organizations. We are both an adoption facility and long-term sanctuary for those felines who are adoption-challenged, including felines who are FIV or FeLV-positive, and other types of chronic health issues. We were awarded sanctuary designation in mid-2013, by the American Sanctuary Society. All of our kitties roam free within 9,000 sq. ft. of outdoor/indoor living space.	2013 was a banner year for The Hermitage; we rescued 800 kittens and cats, and found homes for over 600 of them! We also instituted our Lease for Life program, helping us find loving homes for over 75 special needs kitties since then. In 2014, while we only rescued 615 kittens and cats, we found homes for over 400! We're looking forward to celebrating out 50th birthday in 2015, and finding homes for many more kitties!	abandoned cats find their forever homes, as well as help families keep their pets during financial difficulties	find homes for almost 650 kitties, and provided food for over 60 families each month	Southern Arizona	Adoptions: our full service adoption facility rescues cats and kittens and gives them a second chance at a forever home! All our cats are altered, micro-chipped and vaccinated before they're ready for adoption.Lease for Life: a program created to find homes for our FIV and FeLV kitties! The adopter is responsible for core vaccinations, food and annual vet visits; The Hermitage covers medical costs resulting from their chronic health issues.Food For Peoples Pets- The Hermitage collects cat & dog food that is then distributed to food banks in Tucson to help people having trouble feeding their pets so that they can keep them and not turn them into shelters.			
Arizona Deaf Senior Citizens Coalition Inc	http://www.adsccinc.org	(480) 347-9090	EIN 86-0357035	8845 E Rimrock Dr	Scottsdale	AZ	85255	USA	Unknown	To serve local deaf senior citizens					Offers social events, seminars, and support programs to local deaf and hard of hearing senior citizens			
New Exodos Inc	http://www.newexodos.org/	888-747-9764	EIN 73-1635123	2942 N. 24th St.  Suite #114	Phoenix	AZ	85016	USA	Homeless & Housing,Temporary Housing									
Girl Scouts Of Southern Arizona	http://www.girlscoutssoaz.org	(520) 327-2288	EIN 86-0098917	4300 E Broadway Blvd	Tucson	AZ	85711	USA	Children & Youth,Girl Scouts of the U.S.A.	Girl scouts develops girls of courage, confidence and character who make the world a better place.					Services:while we annually serve more than 14,000 ages 5-17 every year, that number only tells a portion of the story. The growing need for enrichment programs in our community and the belief that every girl deserves access to opportunity regardless of her socio-economic or "at-risk" status was the catalyst for us to change our approach over the years to a social justice model. Our social justice (sj) program serves girls in crisis, girls who live in foster care group homes, girls in detention and on the brink of incarceration, girls with incarcerated mothers and girls who live in isolated, rural and impoverished areas. Our sj program utilizes stipend college women in the absence of volunteers who work in 40 schools and social service settings a week serving over 7,000 girls a year. Specific services delivered in calendar year 2014: in the 2014 girl scout year we served 14,391 girls ages 5-17 throughout southern arizona. Financial literacy is a strategic focus of girl scouts as we believe it is crucial to empower girls to take control of their financial futures. We teach girls the basics of money management and how to set and obtain financial goals. Through adelante jovencitas, girl scouts beyond bars, and foster care gssoaz serves girls whose lives have been impacted by the arizona juvenile justice system, including girls with incarcerated mothers, girls in detention and girls who are at-risk for incarceration, and girls who live in foster care group homes. Leadership journeys: every girl scout participates in a diverse range of 6-week leadership-focused program sessions, or journeys - each covering a specific theme that is relevant to girls' educational needs and interests. Global citizenship and girl scout highest awards: girls can earn girl scouts highest honors, the bronze, silver, and gold awards while making a lasting difference in their community and in the larger world. Science, technology, engineering and math: gssoaz engages girls in our hands-on experiential stem programs, which are designed to instill in girls a love of the sciences. Health and wellness: in girl scouts, girls learn an approach to health that empowers them in body, mind, and spirit. They get the building blocks of nutrition and exercise, along with important lessons in self-esteem, independence, and the value of caring for others. Gssoaz in on a mission to ensure that no girl is left inside (ngli) and provide opportunities for them to discover nature, high adventure and environmental education. Youth volunteer corps: the girl scout youth volunteer corps engages, empowers, and motivates girls to take action in their communities through service projects that they develop. Volunteer led troops: volunteer led troops are the cornerstone of the girl scout movement. Dedicated volunteers mentor girls through their progression in girl scouts.			
Second Chance Center For Animals	http://www.secondchancecenter.org	928-526-5964	EIN 26-2395228	11665 N. US Hwy 89	Flagstaff	AZ	86004	USA	Animal Protection & Welfare,Animals	Our Mission is to provide opportunities for a quality life for homeless and unwanted companion animals and to provide resources to enhance the human animal bond.		homeless and abandoned companion animals	625 animals were adopted last year and over 300 animals were helped through training and behavior classes.	Northern Arizona including the Navajo nation.	adoptions, training and behavior classes, volunteer opportunities, hosting regional adoption events with area shelters and rescues.We rescue from the rescues exclusively, creating second chances for animals that may not otherwise be adopted or survive other situations. We never euthanize for time or space and will keep an animal until we are able to find it a "forever home."			
Narthex Youth Center Inc.	http://www.narthexyouthcenter.com	480-985-1660	EIN 80-0805493	6659 E. University Drive	Mesa	AZ	85205	USA		The Narthex mission is to be a gateway to enriching the lives of youth by providing an environment for developing life skills.		adolescents in the community	over 80 youth become successful	Mesa	On track to graduate, Tutoring, Career Exploration, Job Readiness, Healthy Lifestyles, Life Skills Development, and Leadership			
LIVING EARTH ECOLOGICAL INSTITUTE	http://		EIN 27-3780601	10402 N 54th Dr	Glendale	AZ	85302	USA	Environment,Natural Resources Conservation & Protection									
Arizona Private Education Scholarship Fund Inc	http://www.apesf.org	(480) 699-8911	EIN 86-0958161	6909 E Greenway Pkwy Ste 240	Scottsdale	AZ	85254	USA	Education,Scholarships,Scholarships & Student Financial Aid	To operate as a qualified tuition organization under arizona statutes related to private school tuition tax credits.					Provision of scholarships and grants to arizona students attending accredited private k-12 schools. In 2014-2015 fiscal year, provided 2,093 tuition scholarships to students attending many different schools around the state of arizona.			
YOUTH CORP OF AMERICA INC	http://youthcorpsofamerica.org	(520) 312-9987	EIN 30-0069415	6011 E 22nd St	Tucson	AZ	85711	USA	Arts & Culture,Children & Youth,Crime & Law,Film & Video,Mental Health,Performing Arts Schools,Substance Abuse Prevention,Youth Violence Prevention	With high crime rates in Tucson, AZ.  We offer youth alternative to gangs and provide mentoring, positive prevention programs, anger management, violence prevention and support.  We deliver programs to public housing youth and low income families throughout southern Arizona.					Martial arts resiliancy skills - (mars) is a long-term violence and substance abuse prevention program that is designed to build leadership and resiliency skills in youth from the ages of eight to eighteen.  public service announcements. (psa) the goals of the program are to involve youth in job skills building in the area of media, broadcast and public service training.  outdoor education (swat)takes at-risk youth into outdoor settings teaching life-skills and leadership. We build trust in these youth by replacing at-risk activities with adventure-risk activities.			
San Pedro River Arts Council	http://		EIN 27-0373709		Benson	AZ	85602	USA	Arts & Culture,Arts & Humanities Councils & Agencies,Arts Education,Visual Arts									
Alliance Defending Freedom	http://www.alliancedefendingfreedom.org	(480) 444-0020	EIN 54-1660459	15100 N 90th St	Scottsdale	AZ	85260	USA	Civil Liberties,Civil Rights	To defend the right to hear and speak the truth through strategy, training, funding and litigation.					Direct litigationalliance defending freedom (adf) defends human and civil rights, secured by law, through direct litigation from our headquarters office in arizona, regional offices throughout the u. S. , and international offices. Religious freedom, equal access, parental rights, sanctity of life, rights of conscience, human rights and family values are at the core of these cases. Adf also provides funding to third parties for grants for litigation. Adf's litigation team provides the coordination and the means to advocate for the concerns of multiple individuals and groups, thus providing a more efficient process within the u. S. Judicial system, and international legal systems. Monthly public requests for legal and litigation assistance continue to escalate, indicating an overwhelming need for this service from the public.  public educationto educate the public concerning the defense of religious freedom, the sanctity of human life and family values. Adf provides printed materials, social media, audio, video, radio, internet and personal appearances. Public education is furthered through adf's legal academy (formerly national litigation academy). Through this program, practicing attorneys and other professionals are provided intense legal training on religious freedom, rights of conscience, equal access, parental rights and family values. Participating attorneys pledge to perform 450 hours of pro bono legal work on issues related to their training. To date, over 1,760 attorneys have completed this program. This commitment provides millions of dollars of legal service to local communities, far in excess of the program cost. Most state bars accredit the adf legal academy for continuing legal education credit. Public education is furthered through adfs academy. Ministry partners, allied groups, pastors, and business entrepreneurs are provided training on religious freedom, rights of conscience, equal access, parental rights and family values. Adf's blackstone legal fellowship program provides legal education to first year law students, with a distinct christian world view. Adf awards these participating students summer scholarships and volunteer internships in the u. S. And internationally during the summer months. Students also attend prominent guest lectures and complete specific course work during the program. To date the program has graduated over 1,500 legal students. Adf's training programs include collegiate academy and legal webinars. Additional public education is provided through daily email alerts, social media updates, newsletters and radio and television shows. At adf, we request that ministry partners remember our activities in prayer. We provide information to assist our donors in praying intelligently, specifically and with purpose. Examples of these materials include, but are certainly not limited to, the framers' original intent for the u. S. Constitution and bill of rights as it reflects god's natural law and god's higher law; we inform the public about those entities that seek to re-direct and pervert the constitution's original purpose and intent; international challenges to religious freedom, examples of real-life situations and actual court cases where justice and civil liberties have been thwarted; specific court cases where adf's involvement has helped obtain justice; and other strategies for reclaiming the judicial system as it was originally envisioned and intended. Adf's public education and communication program further serves the public as a primary medium to bring cases to adf's attention. Adf donors and the general public are adf's primary referral source for cases and legal needs.  allied support and trainingalliance defending freedom (adf) continues to build alliances with religious and secular organizations who share common purposes and concerns with adf. Adf works with our allies to develop effective approaches to legal cases that could result in important state, federal and u. S. Supreme court and international court precedents. A typical example is found in restoring free speech rights for pro-life advocates, in which the case was litigated by an allied attorney through to the u. S. Supreme court. Adf's alliance has been on the leading edge of this effort.  grants and fundingthe alliance defending freedom, inc. (adf) continues to fulfill its mission by providing grant funding for legal cases and programs which advocate or defend religious freedom, sanctity of human life and family values. Grant funding covers expenses for litigation, education and training. Grants are reviewed and recommended by an independent grants and review committee, which is comprised of expert attorneys who volunteer their time to adf for this purpose. Under the current board policy, no grant is awarded until it is fully funded and set aside in self-designated accounts. Grant disbursements are made upon performance and per the terms of the grant contract, and they typically span several years. Adf has issued in excess of 2,700 grants.			
Building Bright Future Inc.	http://buildingbrightfuture.org	602-885-1998	EIN 	2542 E Florence Dr	Tucson	AZ	85716	USA		To create a safe and healthy environment for the success and prosperity of the orphaned children of Ghana.				Ghana				
Desert Sounds Performing Arts Inc	http://www.desertsounds.org	480-304-4762	EIN 35-2343558	900 S Mitchell	Tempe	AZ	85281	USA	Arts & Culture,Arts Education	The mission of Desert Sounds is to provide opportunities for those who demonstrate a desire to pursue educational experiences through musical collabroations and promote the highest quality musical performances for the enjoyment of audiences.				Arizona	The Jeremy Project, Musical Mentors, Mariachi "Sones del Deseirto"			
