name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served	Results		 
Shopping for a Change	http://shoppingforachange.org/	(650)-488-7088	EIN 27-1541287	951 Mariners Island Blvd Suite 240	San Mateo	CA	94404	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Economic Development, International, International Economic Development, Microfinance, Philanthropy	Shopping for a Change, a web-based non-profit organization, is a fair trade marketplace where artisans, predominantly women from developing countries, sell their handmade creations, enabling them to earn a sustainable income and lift themselves from poverty. Our net proceeds subsidize community improvement projects abroad as well as help fund select U.S.-based charities.	our fair trade marketplace for them to sell their exotic, handmade goods. Each purchase through our website helps these artisans, mostly women, to consistently feed their families and send their children to school. In addition, our net proceeds help fund both community improvement projects abroad and select US based charities of the consumers' choice.	artisans, primarily women, lift themselves from poverty	Thousands of artisans and their communities in the regions of Africa, South America, & Asia. Also, US-based nonprofits which  are chosen by our customers during checkout, receive one half of our net proceeds.	Artisan groups in Africa, South America, Asia. We ship to the United States & Canada.	During our first year, as a result of support through purchases and direct donations, we helped to fundThe Tibane Water Project directed at enhancing the lives of our artisans in the Lavamisu Region of Swaziland, Africa. Now over 400 community members have clean water for the first time.  Q1 of 2012 we funded the Enkutoto-Elangata-Enterit Group Ranch Education Project. Half our net proceeds from sales during 2011 have gone to provide a years salary for one teacher at the Enkutoto-Elangata-Enterit Group Ranch in Kenya, where the artisans of The Leakey Collection reside. With our financial assistance, their class size has gone from 1 teacher per 80 pupils, down to 1 teacher per 40 pupils.   With the help of Katy and Philip Leakey, founders of The Leakey Collection, and their nonprofit organization T.R.A.D.E., Trust for Rural African Development and Enterprise, the student teacher ratio in the area has been lowered from 80/1 to 40/1. Currently out of the 23 teachers employed, The Leakey Collection directly funds 9 of them; and rural families at great financial hardship support the rest.    2013: The Nutritional Empowerment Project is a collaborative effort between Shopping for a Change and the Faire Collection, formerly known as the Andean Collection. It was jointly funded with net proceeds from our 2013 sales, and an in-kind contribution by the Faire Collection. Our efforts are focused on supporting local Kichwa artisans in the Ecuadorian Amazon region in a sustainable farming project. The Kichwa's persistent issues with access to food and the effects of malnourishment are problems we are determined to help them solve. Details of the project are available as a downloadable pdf file. Click to Download. Read about how the project is progressing on our blog.  Half of the net proceeds from our product sales during 2014 financed the opening of two new preschools in Coxs Bazar, a seaside and fishing town on the southwestern coast of Bangladesh, on the Bay of Bengal. The Bangladeshi Preschool Project, was a collaborative effort between Shopping for a Change and our partnering artisan organization, Pebble Child. Pebble employs over 6800 disadvantaged women, living in 65 rural places throughout Bangladesh. Beginning February 9, 2015, forty children, ages 3-6 whose mothers handcraft Pebbles adorable handknit toys and apparel, proudly began attending our two preschools in Sirajgonj and Mouliribazar, free of charge. Their preschool attendance will enable them when they are of age, to begin primary school as tigers, due to the head start in education they received at preschool.		
Life Group LA Inc	http://www.TheLIfeGroupLA.org	888-208-8081	EIN 26-0240301	1049 Havenhurst Drive #330	West Hollywood	CA	90046	USA	Health, Health Care	MISSION STATEMENT The Life Group LA is a coalition of people dedicated to the education, empowerment and emotional support of persons both infected and affected by HIV/AIDS so that they may make informed choices and decisions regarding their healthcare and personal well being.	The POZ Life Weekend Seminar	The POZ Life Weekend Seminars have no demographic boundaries.  The seminar welcomes all people, regardless of age, sex, cultural diversity or HIV status	250 People Affected By HIV or AIDS	Greater Los Angeles, CA, Palm Springs, CA, San Diego, CA, Las Vegas, NV, and Phoenix, AZ. The Life Group LA is able to bring it's team to you!  If you would like to host a POZ Life Weekend Seminar in your town, Please contact us!			
Shree Maharishi Bhrigu Ashram	http://www.bhriguashram.org	(714) 615-9225	EIN 26-0402876	26242 Dimension Drive, Suite #250,	Lake Forest	CA	92630	USA	Religion, Religion-Related	Shree Maharishi Bhrigu Ashram - Meditation Center has been established in Lake Forest, California by Sh. Sanjay Aggarwal and Smt Dolma Aggarwal under the constant regular divine guidance of Guru Mata Brahma Jyoti, Bhrigu Ashram, Haridwar, India. Constant divine guidance for Shree Maharishi Bhrigu Ashram, California has been coming from Shri Ramani Guru Ji through the divine Kaka Bhujanda Maharishi Palm Leaves since 2006 where the Maharishi has mentioned several times the association with Maharishi Bhrigu and the direction for Bhrigu Ashram. Shri Ramani Guru Ji runs Kaka Bhujanda Maharishi Ashram in Tambaram-Chennai, India.  The aim of this spiritual organization is to promote peaceful & harmonious living through daily practice of yoga-meditation. To help the entire community at large to understand the spiritual core essence of the Vedantic Scriptures as written by the great Sages of ancient India. The essence of the  ancient vedic scriptures is to experience the divine joy of the soul and inner contentment by calming the turbulent mind. To establish the divine grace.							
Fulfillment Fund	http://www.fulfillment.org	(323) 939-9707	EIN 95-3180934	6100 Wilshire Boulevard Ste 600	Los Angeles	CA	90048	USA	Children & Youth, Children & Youth Services, Education, Student Services	The mission of the Fulfillment Fund, established in 1977, is to make college a reality for students growing up in educationally and economically under-resourced communities.	High school program: 9th 12th grade students attending fulfillment fund partner schools receive classroom-based instruction, one-on-one college and financial aid counseling, sat preparation, college site visits and experiential learning activities. Our programs open young peoples eyes to the possibility of higher education, and change their beliefs about what they are capable of achieving. The lessons of the fulfillment fund high school classroom curriculum are focused on five themes: high school graduation, self-advocacy and empowerment, influences of culture on decision-making, self-assessment and critical reflection, and college readiness. During the 2012-13 academic year, the fulfillment fund extended its high school program to serve more than 600 students attending two high schools in economically underresourced communities in clark county, nevada. This program is now incorporated as fulfillment fund las vegas, an independent nonprofit organization.   mentoring program: the fulfillment fund matches students with a caring, committed adult mentor volunteer who provides one-on-one support and guidance on the students path to high school graduation and transition to college. The fulfillment fund provides in-depth training to all mentors, as well as ongoing support to each mentor-student team.   post-secondary services: fulfillment fund students matriculating to college are eligible to compete for fulfillment fund college scholarships. As students progress through college, the fulfillment fund scholarship program provides tuition support and guidance in directing students to academic, career and workforce training services at their college so they can complete their degree and embark on a professional career. As they graduate from college, fulfillment fund alumni are encouraged to support the organization and the next generation of students by becoming donors, mentors, volunteers and ambassadors. In this way, the work of the fulfillment fund perpetuates a cycle of giving in the community.						
Labrador Rescuers	http://www.labrescuers.org/	 619-819-0234	EIN 81-0646390	P.O. Box 221038	San Diego	CA	92192-1038	USA	Animal Protection & Welfare, Animals	Labrador Rescuers (LR) is a 100% volunteer-based, nonprofit organization formed in 2004 to rescue, rehabilitate and rehome stray, abandoned and unwanted Labrador Retrievers and Labrador Retriever  mixes, including shelter dogs and dogs relinquished by their owners because of age, health, financial or other reasons. Many dogs who come to LR have medical, surgical and other special needs, which LR provides for through constant fundraising. LR is known for rescuing dogs that other rescues are unable or unwilling to help, and giving the dogs the veterinary care and/or other assistance they need to ready them for adoption. LR's goal is to make it possible for every dog to be adopted into a safe, happy and loving forever home.	Rescue, rehabilitate and rehome Labrador Retrievers and Labrador Retriever mixes, including many senior dogs; provide the dogs with medical and dental care, including surgery and rehabilitation; work to find the dogs loving, forever homes.	Labrador Retrievers and Labrador Retriever mixes from shelters and owner relinquishment.	In 2016, Labrador Rescuers rescued 188 dogs and found forever homes for 168 dogs.  Labrador Rescuers also provided loving care in permanent foster homes for 13 Lifeboat Labs-dogs whose insurmountable medical conditions and/or age made it difficult for them to find adoptive homes.	The Counties of San Diego, Orange, Riverside, and portions of the Counties of San Bernardino and Los Angeles in Southern California	Labrador Rescuers has rescued, rehabilitated and rehomed over 4,200 dogs since its formation in 2004.		
Second Chance Fields	http://www.secondchancefields.org	(415) 548-1599	EIN 46-3937827	PO Box 9297	San Diego	CA	92169	USA	Children & Youth, Youth Development Programs	Making a difference on and off the field.   Second Chance Fields believes that every student athlete should be able to play sports on safe, up to date and well maintained playing fields. This is more than a mission statement, its a PASSION! It is the foundation that our organization is built on and is the driving force behind all the effort, hard work and determination for change for sports in public school systems.	"Back in the Game" - fixing up a piece of a sports field at a time "Field of Dreams" - replacing/refurbishing a whole sports field "Education for Athletes" - educational support for student athletes	underfunded High Schools in the San Diego Unified School District	120 students in 2013, 200 students in 2014, 600 students and community members in 2016.	San Diego	Founded - October 2013 *  "Back In The Game" - MBHS Pitcher's Mound Project - November 2013 * "Back In The Game" - MBHS Warning Track Project - June 2014 * "Field of Dreams" - DNHS Lacrosse Field Remodel - COMING SOON!		
Starlight Children's Foundation - Global Office	http://www.starlight.org	310-479-1212	EIN 95-3802159	2049 Century Park East Suite 4320	Los Angeles	CA	90067	USA	Health, Patient & Family Support	Starlight Children's Foundation partners with experts to improve the life and health of kids and families around the world.	Starbright World online community (SBW) - The first-ever social network for teens with chronic and life-threatening medical conditions, and their siblings. Members connect globally with others experiencing similar medical journeys to create a vibrant, supportive community.  Starlight Wish Lists - The worlds first technology platform of its kind links donors to healthcare facilities to fund unmet needs and improve pediatric care. Hospitals, clinics and hospices publish their Wish Lists on starlight.org and donors grant wishes for their facility of choice.   Starlight Fun Center mobile entertainment units - Equipped with the latest gaming system that rolls bedside in hospitals, Fun Center units provide distractive entertainment and the healing power of play to pediatric patients.   Starlight Tablets - A critical resource for healthcare professionals to support the ongoing needs of kids while in the hospital, Starlight Tablets connect directly to the Starbright World community.	improve the life and health of kids and families.	millions of children and their families	the United States, Canada, United Kingdom, Australia, New Zealand and Israel			
Ian Somerhalder Foundation	http://www.isfoundation.com	(310) 954-1050	EIN 27-3968460	10990 Wilshire Blvd Fl 8	Los Angeles	CA	90024	USA	Environment	The organization's mission is to advance science; promote the conservation of natural resources such as forests, lands, or wildlife, for the benefit of the entire community; provide relief to the poor, distressed, or underprivileged; and support other organizations conducting activities exempt under section 501(c)(3) of the internal revenue code. The foundation aims to empower, educate, and collaborate with people and projects to positively impact the planet and its creatures.	Grants program - the isf emergency medical care grant for animals was established in february of 2014. The grant provides financial assistance to animal welfare organizations, agencies, and individual rescuers responsible for the care of animals recovering from abuse, neglect, injuries suffered from a traumatic event, or other illness. The purpose of this grant is to provide animal victims a second chance by alleviating their rescuers of the financial stress of treatment so they can focus on facilitating the animal's adoption into a permanent, loving home. In 2014, isf granted $75,000. 00 helping 204 creatures, including dogs, cats, horses, and other farm, exotic, and wildlife animals. Each animal's journey showed us the true meaning of strength, love, and will, for both man and animal. Individual grants - isf granted $5000. 00 to the savory institute in support of its charitable mission to promote large-scale restoration of the world's grasslands through holistic management using properly managed livestock to heal the land and empower others to do the same. The savory institute seeks to remove barriers on the path to large-scale success through activities such as conducting research, creating market incentives, and raising public awareness.   public outreah & education - provides information to educate and engage supporters and to create public awareness of issues that are vital to isf's charitable mission. In 2014, isf provided daily social media postings to more than one million supporters via facebook, twitter, and instagram. The isf website currently provides information, educational content, and assistance, including 15 to 20 new articles per month, creative supporter challenges, and access to isf's grant programs. Isf also began an extensive redesign of its website in 2014 which will allow it to deliver even more program content in a user-friendly way. Isf volunteer and internship opportunities allowed supporters to gain hands-on experience and isf booths at events across the country allowed for valuable in-person outreach. Isf efforts further included strategic partnerships, celebrity engagement, cause marketing, traditional media relations, and campaigns including coal sucks, plastic straws can suck it, green your thirst, and #istandfor. Isf collaborated with and granted $3000. 00 to connecther in support of the girls impact the world film festival and the green is award in which high school and undergraduate college students submit three- to five-minute short films that either propose solutions to environmental issues that impact women and girls or create awareness about environmental issues that impact women and girls. Topics included climate change; green energy; water; pollution, garbage, and waste reduction; bio-diversity; and other issues. One of the 2014 green is award winning filmmakers has gone on to screen her film about the health complications related to excessive use of chemical pesticides and the importance of organic farming for lawmakers across the middle east, triggering the introduction of new laws to stop the use of harmful pesticides. Isf's president and co-founder, ian somerhalder was designated as a united nations environment programme goodwill ambassador. Ian, in his role as a unep ambassador and as isf's president, collaborated with isf to "connect to go greener", with a specific call for communities - including businesses, organizations, schools and individuals - to connect their resources and skills for a more sustainable, resource-efficient way of living. As president of isf, ian somerhalder appeared before the u. S. House of representatives committee on natural resources, where he testified in support of the u. S. Fish and wildlife service's plan for a ban on commercial trade in elephant ivory. He also emphasized the importance of the multinational species conservation funds (mscf), established by congress to provide support for the protection of elephants, rhinos, tigers, and other species. Ian encouraged the subcommittee to extend the mscf semipostal stamp, which raises critical funding for anti-poaching activities through purchases of the stamp by the public.   creatures division program - missisnip'n spay and neuter clinic - isf went to tylertown, mississippi, and, in collaboration with st. Francis animal sanctuary, performed over 100 spay and neuter procedures in addition to general exams and rabies vaccinations. Isf provided both funding, via a $5,000 grant, and volunteer medical services. Spay/neuter services not only serve to control animal overpopulation, but also are often medically beneficial for animals placing them at lower risk for infection and disease. Providing free and/or affordable spaying and neutering plays an important role in our efforts to end euthanasia and animal homelessness. Creatures division campaigns - isf's #time4thetalk campaign launched with a hilarious and informative video crafted to get people talking about the birds and the bees as pollinators. #time4thetalk followed up with monthly articles and a milk seed giveaway helping to spread the word about how important pollinators are to the survival of all creatures. The overconsumption of meat and its dangers to animals, our health, and the environment was highlighted via the meatless monday campaign. Isf asked people to think twice about wearing someone else's skin in the don't hide campaign focusing on conscious consumerism and why we should avoid leather, fur, and other hide-based industries. We explored the environmental hazards that come from the tanning process as well as uncovered some of the animal cruelty that is often involved in the making of these products.						
HAMBURGER HOME dba Aviva Family and Children's Svcs	http://www.avivacenter.org	(323) 876-0550	EIN 95-1693616	7120 Franklin Ave	Los Angeles	CA	90046	USA	Adoption, Children & Youth, Family Counseling, Foster Care	The mission of Aviva is to provide compassionate support, therapeutic  services, and guidance to at-risk children & families.  We believe every child and every family in our Los Angeles community deserves the chance for a brighter future.	outpatient mental health and social services, foster family and adoption and adolescent girls residential treatment, including a private and non-public school	at-risk children and their families	6,500 children, youth, and families	Los Angeles			
My Sisters House	http://my-sisters-house.org	(916) 930-0626	EIN 68-0464114	3053 Freeport Blvd 120	Sacramento	CA	95818	USA	Crime & Law, Domestic Violence, Protection Against Abuse	Serve the needs of asian and pacific islander women and children impacted by domestic violence by providing a culturally appropriate safe haven, crisis line, women to work program, and community services.	Women to work program - provided help to more than 250 domestic violence survivors to help them attain financial self-sufficiency.   outreach and education - provided over 300 presentations on domestic violence and human trafficking, and participated in two dozen community fairs, education more than 5000 individuals.   shelter - operated a six bed shelter (safe haven) and six bed transitional house and provided 2500 nights of shelter, utilities, food and case management services to 40 asian pacific islanders and other women and children						
Union Gospel Mission Sacramento	http://www.ugmsac.com	916-447-3268	EIN 94-6103618	400 Bannon St	Sacramento	CA	95811	USA	Homeless & Housing, Homeless Shelters, Housing Rehabilitation, Mental Health, Residential Mental Health Treatment, Substance Abuse Treatment	Since 1962 the Union Gospel Mission has provided food, clothing, shelter and a life-changing Gospel message to the homeless and the poor of Sacramento. The Mission has grown to serve more than 9,000 meals monthly. Every night, we shelter 84 men. Our Women's Clothing Closet offers Bible study and a huge variety of essential items such as clothing, purses, shoes, and sundries to assist them with their daily needs, help them prepare for work; and for their children.  We offer haircuts, mail service and  showers, continuously.  We provide food baskets to families and the elderly.  Nightly nondenominational services and volunteer outreach programs give support for those who rarely hear an encouraging word from the Gospel.  Our 9-month drug and alcohol rehabilitation program is free of charge and accommodates 24 men with a Bible structured curriculum.  A vocational training and job placement program helps men find new beginnings, restoring dignity to broken lives, and providing hope.	Homeless Shelter, Men's Drug & Alcohol Recovery Program, Food Boxes to Families and Seniors, Women's Clothing Closet, Chapel Service and Dinner 365 days a year, daily Showers, Clothing, Hygiene Products and Mail Services, Vocational Training and Job Placement Program, Warming Center during cold months, transitional housing and 40-acre ranch for men in various stages of rehabilitation also raising livestock, poultry and produce.	Homeless and Urban Poor	104,759 Meals Served to Men, Women and Children, 1,274 Food Boxes to Families and Seniors, 21,900 Homeless Men Sheltered, 13 Men Graduated from our  9 month in-house Recovery Program, 1,158 Women & children served  through our Women's Clothing Closet, 2,592 Mailroom Services, Men & Women, 35,920 Articles of Clothing & Shoes Given, 9,895 Hygiene Products Handed Out, 624 Men's Haircuts, 45,265 Attended Chapel Service	Sacramento	We have grown to not only serve homeless men, but to a 9-month in-house recovery program, a women's clothing closet that also helps with their children, food boxes to families and seniors in need, and expanding to include a 9,600 sqft building down the street.		
Valley View Ranch Equine Rescue	http://www.valleyviewranchequinerescue.org	831-385-0801	EIN 26-3832985	57025 Jolon Rd	King City	CA	93930	USA	Animal Protection & Welfare, Animals	To rescue and assist in rescue of At Risk equines	Rescuing at risk horses from anywhere in the United States..  Retrain and rehome wonderful horses... Assist in natural disaster situations by evacuating animals and supplying them with a safe environment until disaster is mitigated .  Provide Castration clinics to assist in controlling the out of control breeding of unwanted horses..	At risk Equines	over 600 At Risk equines	From Coast to Coast  in USA	To date we have directly been involved in over 4500 horses and other equine's rescue,rehab,retrain,rehome		
LAMP Inc	http://www.lampcommunity.org	(213) 488-9559	EIN 95-3993742	527 S Crocker Street	Los Angeles	CA	90013	USA	Community Improvement & Capacity Building, Homeless & Housing, Homeless Centers, Homeless Shelters, Human Services, Mental Health, Residential Mental Health Treatment	Lamp Community's mission is to end homelessness of Los Angeles' most vulnerable individuals, primarily adults with mental illness, through a continuum of services and housing, enabling them to reach their highest level of self-sufficiency and community integration.   An estimated 10,000 people live in Downtown L.A.'s Skid Row area, more than one-third of this group are people with mental illness. About 80 percent self-medicate with addictive substances, and more than 20 percent test positive for HIV/AIDS. Lamp Community offers innovative and highly effective integrated services including housing, meals, health and mental health services, psychiatric care, drug recovery, job training and a robust set social services designed to promote self-worth and independence.Each year, Lamp Community serves more than 2,000 people with a proven record of success, 92 percent of people housed by Lamp Community succeed in the long-term.							
Lily's Legacy Senior Dog Sanctuary	http://www.lilyslegacy.org/	415-488-4984	EIN 26-4273729	PO Box 751002	Petaluma	CA	94975	USA	Animal Protection & Welfare, Animals	Our mission is to provide a safe and loving home for senior large breed dogs who have been displaced from their homes and/or abandoned for any reason, until adopted or to remain at the sanctuary until they pass on.	housing, food, medical care and adoption services	homeless or displaced senior large breed dogs.		Northern California			
International Development Exchange (IDEX)	http://www.idex.org	415-824-8384	EIN 77-0071852	2120 University Ave	Berkeley	CA	94704	USA	Civil Rights, Economic Development, International, International Economic Development, International Migration & Refugee Issues, Microfinance, Philanthropy, Private Independent Foundations, Women, Womens Rights	IDEX connects a passionate and engaged network of supporters to the visionary leaders and organizations creating lasting solutions to their communities' most pressing challenges.	Providing multi-year flexible grants for locally-led initiatives and grassroots organizations in the Global South. IDEX also works with its grantee partners to scale their successes by building their capacity and leadership; linking them to broader social change movements at the regional, national, and global levels; and amplifying their voices and victories.	Effective women-, youth-, and indigenous-led organizations that are working in food security, alternative economies, and climate justice.		Mexico, Guatemala, Peru, South Africa, Zimbabwe, Kenya, Ethiopia, Senegal, India, Nepal, United States	Over the past 30 years, IDEX has supported more than 500 grassroots, community-led projects led by women, youth and indigenous people in 35 countries in Africa, Asia and Latin America.  Annually, our partners serve approximately 2 million people, enabling farmers to be sustainable agricultural innovators, helping families build income, equipping community members to fight against human-made climate threats, empowering more women as leaders, and much more.  With IDEX's support, several of our partners have been globally recognized for their game-changing models and solutions, for example: challenging Monsanto on the right to know what is in South Africa's food; pioneering a new model of joint community ownership of land in India; and empowering hundreds of rural women with new ways to build strong livelihoods in Mexico.  More on IDEX's impact here: http://www.idex.org/impact/		
Getmagic Corporation	http://getmagic.org/		EIN 26-3800822	5839 Capilano Drive	San Jose	CA	95138	USA	Education, Educational Services	Focus on providing middle and high school girls, who are seriously considering studying a STEM area, with a knowledge of tools and resources  available for them to be successful!	1-1 face to face or remote mentoring in STEM	Middle and High school girls		STEM Education			
Playworks	http://playworks.org	510.893.4180	EIN 94-3251867	380 Washington St.	Oakland	CA	94607	USA	Camps, Children & Youth, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations, Recreation & Sports, Sports, Youth Development Programs	To improve the health and well-being of children by increasing opportunities for physical activity and safe, meaningful play.	Playworks partners with schools, districts, and after-school programs to provide a service or mix of services including on-site coaches, professional training for school staff who support recess, and consultative partnerships.	We are changing school culture by leveraging the power of safe, fun, and healthy play at school every day. We create a place for every kid on the playground to feel included, be active, and build valuable social and emotional skills.	Playworks currently serves more than 1,300 schools in 23 U.S. cities, and reaches more than 700,000 students directly and through professional training services.	Playworks is the leading national nonprofit leveraging the power of play to transform childrens social and emotional health.			
Animal Compassion Team of California	http://www.animalcompassionteam.com	559-299-6364	EIN 27-0647770	PO Box 763	Squaw Valley	CA	93675	USA	Animal Protection & Welfare, Animal Services, Animals		Animal Compassion Team has a volunteer program for people interested in becoming involved in the organization. Volunteers attend an orientation where they learn about ACT, spaying/neutering pets, volunteer opportunities, and what they are expected to do when they volunteer. Volunteer opportunities include: marketing, adoption agent, dog walker, cat cuddler, foster parent, rescue transport, and HOPE transport.	Entire community, depending on need, all ages.		Central California, specifically San Joaquin Valley	To date we have successfully re-homed approximately 1800 animals, provided spay/neuter for 150 feral cats and have provided an alternative option to dumping in our already overcrowded shelters.  We have spent countless hours providing counseling services to our community about alternative ways to keep pets instead of surrendering their furry friend.		provide a safe haven for domestic animals, regardless of breed or species; through rescue, rehabilitation, adoption and sanctuary. To advocate for the humane treatment of animals, and promote the human-animal bond. To educate the public about the importance of kindness, compassion, and responsible pet ownership with an emphasis on spaying and neutering. To cooperate and work with other animal rescues and shelters towards the goal of becoming a no-kill nation.
Mind Treasures	http://www.mindtreasures.org	877.283.5052	EIN 20-8969869	5275 Market Street, Suite 19	San Diego	CA	92114	USA	Financial Counseling, Human Services	Raising an Entrephilanthropic Generation through Financial Literacy & Character Development	Financial Literacy workshop for all ages with emphasis on children and youth.	Communities where many hidden potentials, capabilities, and talents in children, youth, adults, and families are awaiting to discovered and developed. Our current Focus Area includes the City Heights and Diamond Neighborhoods in the city of San Diego, California.	650 students in  4 elementary schools	San Diego County	Over 4,200 participants have completed Mind Treasures' character-based curriculum (ABCs of Wealth) as enrichment programs at elementary, middle, and high schools as well as faith-based and community centers.		
WHW	http://www.whw.org	949-631-2333	EIN 33-0576900	1800 East McFadden Avenue, Suite 1A	Santa Ana	CA	92705	USA	Employment, Job Training	The mission of WHW is to provide the unemployed and underemployed the skills and resources they need to get and keep a good job.	WHW is a non-profit organization which provides the unemployed and underemployed the skills and resources they need to get and keep a good job.  Since 1993, WHW has served over 80,000 job seekers referred by over 275 partner agencies at no charge.  Each year thousands of job seekers participate in programs focused on equipping them to be the most marketable candidate for the job they seek.  Programs include Employment Readiness Workshops, Computer Training, Job Placement Assistance, Employment Retention Support and Professional Apparel.   For more information on WHW and how to support our job seekers, please visit www.whw.org.	the unemployed and underemployed.	8,000+ job seekers will be ready for employment success!	Orange County, California	A good job is more than a paycheck. It is essential to creating a stable, safe and educated community. With a good job families can afford safe housing; they can provide healthy meals for their children; they can have access to quality healthcare, and teens can stay in school to get a good education, rather than dropping out and going to work to help support their families. A good job is not the solution to every problem in our community, but a good job is a long-term solution to many of them. And WHW is proud to be part of that solution. 2015-2016 WHW Highlights -9,860 Job Seekers participated in WHWs Employment Success Program -7,618 Job Seekers attended WHW Employment Readiness Workshops and Computer Training -1,926 Job Seekers received Professional Apparel and Accessories -2,000+ Volunteers provided over 25,000 hours of service to WHWs mission -275 Nonprofit partners referred their clients to WHW for assistance in finding a good job -WHW  Corporate Supporters held 67 Clothing Drives to support WHW Job Seekers -75% of WHW Job Seekers are employed within 4 months! -After obtaining employment, the household income of  WHW Job Seekers increases by over 600%. One Job Seeker summed it up this way: The reality is those whose donations enabled me to be part of WHW saved money because now I can pay my own way, I can pay my own taxes and I can leave something for the generation that follows me.		
Invisible People	http://invisiblepeople.tv	(213) 245-1519	EIN 27-2079758	7119 W Sunset Blvd #618	Los Angeles	CA	90046	USA	Human Service Organizations	Invisible people is an innovative organization that inspires action by curating thoughtful content and networking individuals, brands and organizations to change the way we think about people experiencing homelessness.	Successful outreach to organizations and media to change thinking about homelessness						
Thinking about Tomorrow	http://www.thinkingabouttomorrow.org	(310) 954-9640	EIN 27-0530056		Los Angeles	CA	90291	USA	Human Service Organizations	Thinking about Tomorrow, a 501(c)3 non-profit organization, is dedicated to impacting the everyday lives of at-risk youths by helping them receive ALL they need to create a base of knowledge and a love of education. We believe that learning never ends and aim to inspire todays children to become leaders in tomorrows community.  With a thoughtful focus on the values we cherish; 	Teamwork 	Honor & Appreciation 	Integrity & Honesty 	Never give up 	Keep consistent We hope to not only instill a sense of individual togetherness, but a sense of community togetherness as well.	Our School is Cool initiative: Thinking about Tomorrow believes that LEARNING never ends and is an important part of personal growth and for the growth of our community. Our School is Cool initiative creates high impact and meaningful programming to help ensure the success of all students.  Were ALL Here, Attendance Improvement Program - Schools that employ challenging curriculums and reinforce high expectations for academics are schools that give students the motivation to attend. Through our initiative, we make attendance a priority and reach out to all students to promote and encourage academic excellence by increasing their level of education through participation in classroom activities. Our program challenges kids to be at school everyday, rewards for perfect attendance, teaches teamwork, creates competitiveness and helps them learn to accept responsibility. By teaching students to value the importance of education, we aim to increase their overall interest while helping to bridge the gap between the educational inequities that currently exist.  Back to School, School Supply Drive - Students living at or below the poverty line lack access to sufficient school supplies, and budget cuts to our school systems leave schools and teachers unable to provide these necessary items. Our support brings vital opportunities to high-risk students, affording critically needed educational stability.  Kids on Campus, Higher Education Motivation - We believe in the value of higher education and motivation to do well NOW for the benefit of the future. Offering students a chance to visit with local universities in an effort to increase educational interest generates a sense of empowerment and a feeling of success, not only essential for academic achievement, but imperative for growth and development.	educate at-risk youths about the importance of education	15 public schools affecting over 10,000 at-risk youths.	the local level with 'Title 1' public schools	Through these programs, students have become more proficient in core subjects, had successful transitions into middle and high school and are more college/career ready. The communities in which we operate have also seen remarkable improvements in areas such as school truancy and high school graduation rates among others.		
Himalayan Childrens Fund	http://www.rinpoche.com/hcfindex.htm	(310) 395-6616	EIN 95-4121177	P.O. Box 15644	Beverly Hills	CA	90209	USA	Education, Human Services, International, International Relief	The Himalayan Children''s Fund is a way for people around the world, and the west in particular, to connect with the lives of people in the Himalayan Region of Nepal, India and Tibet. Established in 1987 by students of Venerable Thrangu Rinpoche, the HCF provides support Rinpoche''s many compassionate activities such as schools, monasteries and free clinics. By providing support for education, food, clothing, medicine and other needs we hope to equip the children and adults with the tools necessary for life enhancement while helping to preserve the culture of the people which is primarily of Tibetan and Buddhist heritage.	Founded in 1987, Shree Mangal Dvip Boarding School was the first of its kind to offer an approved Nepali government curriculum to girls and boys, both lay and monastic while helping to preserve the culture of the Himalayan people by providing instruction in Tibetan language and culture as well as Buddhist meditation and philosophy.						
GreatNonprofits	http://www.greatnonprofits.org		EIN 20-5061881	330 Twin Dolphin Drive	Redwood Shores	CA	94062	USA	Community Improvement & Capacity Building, Philanthropy, Philanthropy, Charity & Voluntarism Promotion	GreatNonprofits provides tools to enable donors and volunteers to find, review, and talk about great and perhaps also not so great nonprofits.	Tools for writing and reading reviews on GreatNonprofits, GuideStar, The Pittsburgh Foundation, CharityNavigator and JustGive.	nonprofits and their community	over 25000 Nonprofits	USA and international	With more than 1.8 million organizations listed, 25,000 of which are currently reviewed by over 200,000 shared and published personal testimonies. More than 1.2 M people per year visit GreatNonprofits gain or share knowledge about nonprofits.		
