name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Goals	Objectives		Activities
Jewish Student Union	http://www.jsu.org	847-675-7331	EIN 20-5347204	3200 W Touhy Ave Floor Two	Chicago	IL	60645	USA		By creating and facilitiating after school Jewish clubs, JSU establishes a community for teens in public high schools across the country. Involved and unaffiliated kids alike join together in having fun, social justice projects, and Jewish learning opportunities. The ultimate goal is to expand the teen's interest in participating in the Jewish community at large via youth groups, conferences and events.	Over 250 Jewish clubs in the country!		All of US and Canada		Roughly 20,000 students engaged in the course of a year				
Bright Hope International	http://www.brighthope.org	(224) 520-6100	EIN 23-7004991	2060 Stonington Ave	Hoffman Estates	IL	60169	USA	Christianity, International, International Development, Religion	To bring hope to those living on less than $1 a day. Spreading the gospel of jesus christ through indigenous churches to meet the spiritual, physical, and economic needs of the world's poor.				Hope for today refers to projects that meet the basic needs of the community. These projects include feeding programs, clean water initiatives, care for orphans and vulnerable children, medical assistance, and crisis and disaster response. In fiscal year 2014, bright hope provided 1,098,058 meals, 5,716 people received clean water, and 34,788 people received medical services.   hope for tomorrow refers to projects that move people toward self-reliance and sustainability. This includes projects focused on church training, microenterprise, job creation programs, educational support, and human trafficking rescue and rehabilitation. In fiscal year 2014, microloans were provided to 730 families. Also, 690 people received job skills training and 314 new jobs were created. 1,627 students received scholarships for education.   hope for eternity projects provide the community with opportunities for spiritual growth and a deeper relationship with jesus christ. These projects include pastor and leadership training, evangelism and discipleship, and bible distribution. In fiscal year 2014, 705 pastors were trained.					
Kids In Danger	http://kidsindanger.org	312-595-0649	EIN 36-4234906	116 W. Illinois, Suite 5E	Chicago	IL	60654	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Consumer Protection, Crime & Law, Disaster Aid, Domestic Violence, Safety Education	Kids In Danger is a nonprofit organization dedicated to protecting children by improving childrens product safety. Our mission is to promote the development of safer childrens products, advocate for children and educate the public, especially parents and caregivers, about dangerous childrens products. We were founded in 1998 by the parents of Danny Keysar who was killed in a dangerous portable crib.			national	To inform parents and care givers about potentially dangerous children's products that have already been recalled; to identify potentially dangerous products before they reach consumers; to convince manufacturers to design safer products;and to improve the effectiveness of the recall process.					
NORTHNortheast Dupage Special Recreation Association (NEDSRA)	http://www.nedsra.org	630-620-4500	EIN 36-2930414	1770 W Centennial Pl	Addison	IL	60101	USA	Education, Special Education	Our mission, as adopted by the Board of Directors, is as follows: To serve as an integral partner with our member park districts and villages to positively impact individuals with disabilities through diverse recreation opportunities and community service.			Addison Park District, Bensenville Park District, Butterfield Park District, Village of Glendale Heights, Itasca Park District, Lombard Park District, Medinah Park District, Oakbrook Terrace Park District, Village of Schiller Park, Village of Villa Park, Wood Dale Park District	Camp exploration is a summer day camp for school age children with autism.   camp independence is a summer day camp for teenagers and young adults who have either mental disability or autism.   camp little explorers is a summer day camp for children 4 to 8 years old who have autism.   other					
Victory Reins Therapeutic Riding Center	http://www.victoryreins.org	815-478-4879	EIN 20-8829238	11900 W Offner Rd	Peotone	IL	60468	USA	Health, Health Support	To provide therapeutic recreational equine activities for children and adults with special needs to experience the bond that is created between horse and rider. Empowering them to be victorious in all areas of life and reach their fullest potential.	Since inception in Oct 2007, we have grown from 5 students to 40 plus steady students in additon to hosting special needs groups for day trips to the farm. We educate them with hands on learning experience with all the animals on the farm in a safe and supervised environment. The benefits impact them physically, cognitively  and psychologically.  These aspects of the session awaken their awareness, increase coordination  and attention span, along with giving them a CAN DO attitude to succeed in life. Providing volunteer opportunities for school groups, individuals and community service workers to enable them to give back to their communities.	Handicapped, disabled or special needs peopleVolunteers who want to assist people with disabilities in the South Chicagoland area and surrounding suburbs.	Northern Il.	Riding sessions that takes therapy out of the clinical setting and puts it in a safe  and fun environment. Horse/animal care education and hands on experience.	40 plus special needs students with various disibilities like CP, MS, Autism, ADHD, Learning disibilities,Speech delays etc.and their families, plus groups from Elim , Cornerstone, St. Colletta's, The Lions Club, various preschools, Girl scouts, Brownie groups and youth groups.				
D & R Rescue Inc	http://		EIN 35-2005670	21336 E Terre Haute Rd	Paris	IL	61944	USA	Animal Protection & Welfare, Animals										
Faith in Place	http://www.faithinplace.org	(312) 733-4640	EIN 36-4540756	70 E. Lake Street Suite 920	Chicago	IL	60601	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Energy Resources Conservation & Development, Environment, Interfaith Coalitions, Religion	Since 1999, we have helped more than 900 Illinois congregations--Christian, Muslim, Jewish, Hindu, Sikh, Buddhist, Baha'i and Zoroastrian--adopt better environmental practices.		Faith community of Illinois	All of Illinois	Energy & climate change - faith in place works with faith partners across illinois to help them reduce their carbon footprint. Specific programs offered: energy audits & smart energy coffee workshops. - energy audits: faith in place staff work with skilled volunteers and trusted local organizations to help reduce greenhouse gas emissions at house of worship and homes. This process starts with an energy audit, a key first step for laying out a comprehensive roadmap for energy conservation. -smart energy coffee workshops: faith in place staff bring materials to a house of worship during fellowship time, so that individuals can better understand incentives, rebates, hourly pricing, and alternative suppliers. Faiths in place experts explain how to take advantage of these programs to save money and maximize energy efficiency.   sustainable food & land use - faith in place works with faith partners across illinois to help sustain our food and land. Programs offered: butterfly gardens, community gardens, congregational- supported agriculture, habitat restoration,just eating curriculum, monarchs, migration, birds and me, winter farmers markets. -butterfly gardens - faith in place provides assistance and support in the sourcing and installation of plants for numerous butterfly gardens on the properties of our faith partners throughout the state. -community gardens - faith in place staff give guidance and promote the efforts of people of faith to grow food in small neighborhood gardens. Such gardens provide locally grown produce and, at the same time, build a sense of community. One of our gardens is shared by a christian and a muslim faith partner in urbana. The tomatoes and the relationships that grow there are treasured by both faith communities. -congregational-supported agriculture (csa) - a "csa" is a congregationally supported farm in which members purchase "shares" in the project, work the garden and know the farmer. Faith in place's partner csas commit to donate at least 10% of the harvest to a local food pantry. Faith in place has been instrumental in establishing two csas: one at st matthew's lutheran church in urbana; a second at the vernon park church of god (baptist) in lynnwood. Connected by faith in place, these racially and culturally diverse congregations regularly share information and expertise. Together they donate tons of food to local food banks, foster community engagement, and train people with new skills. -habitat restoration - faith in place provides opportunities for the youth and adult members of our faith partners to engage in stewardship activities that both protect and restore our native landscape. -just eating curriculum - this curriculum explores the intersection of food and faith, and how to nurture healthy bodies, healthy communities, and a healthy environment. -monarchs, migration, birds and me - faith in place has created a story- circle based activity that encourages families to share their own migration stories. These stories connect to the migration of all animals, who also need nourishment, resting places, and care upon their arrival in illinois. -winter farmers markets - each winter, from november through march, faith in place partners with faith communities to host a series of indoor farmers markets. The farmers markets provide an additional source of income for local vendors during the off-season, promote sustainable farming methods and economic justice for regional farm families, encourage healthy, wholesome eating, and support the building of relationships between producers and consumers.   water preservation - faith in place works with faith partners across illinois to preserve water. Programs offered include:our grandchildren's water curriculum & water audits. -our grandchildren's water curriculum - a scientifically sound resource, appropriate for a 6-week adult education class. This curriculum explores water - the central role this precious resource plays in the religions of the world and the obligation people of faith have to conserve and protect it. -water audits - faith in place staff work with skilled volunteers and trusted local organizations to help reduce water usage and recycle rainwater at houses of worship and homes. This process starts with a water audit, a crucial first step when laying out a comprehensive roadmap for water preservation.   advocacy - faith in place works with faith partners across illinois to advocate for policies which will protect our earth. Programs offered include: -faithful citizen workshops - faith in place conducts two-hour workshops where people of faith can learn about and discuss pending policies. Faith in place also identifies and reviews ways people of faith can participate in the advocacy process consistent with the tenets of their faith. -environmental advocacy day - every spring, faith in place works closely with coalition members and sends a delegation of faithful citizens to advocate for polices which will protect our earth.	6000				
Bob Whitman Research Foundation	http://www.bobfest.net	847-885-9228	EIN 36-4477108	2148 Somersworth Place	Hoffman Estates	IL	60169	USA	Health	The Bob Whitman Research Foundation was established for the purpose of raising funds for cancer research, primarily melanoma, and to provide support to families who have children with chronic illness.									
Illinois Doberman Rescue Plus	http://www.ildoberescue.com	(847) 277-1082	EIN 04-3757352	Po Box 435	Barrington	IL	60011	USA	Animal Protection & Welfare, Animals	Provide temporary shelter and find permanent shelters for abandoned doberman dogs and other animals.				Provide temporary shelter and find permanent shelters for abandoned doberman dogs and other animals.					
McHenry County Defenders, Inc.	http://www.mcdef.org	815-338-0393	EIN 23-7176658	110 S Johnson St Ste106	Woodstock	IL	60098	USA	Environment, Natural Resources Conservation & Protection, Recycling	The Environmental Defenders of McHenry County is a citizen organization dedicated to the preservation and improvement of the environment. We are committed to building sound ecological relationships between people and the natural world that supports all life.			McHenry County and surrounding areas in northeastern Illinois	The Defenders provides the community with education and advocacy on pollution prevention, sustainable land use and energy and resource conservation. We advocate policies which protect drinking water supplies and conserve land for open space and agriculture. We demonstrate waste reduction through recycling drives and reuse centers. We encourage natural resource protection through native landscaping and stream protection programs.					
ILLINOIS COALITION FOR IMMIGRANT & REFUGEE RIGHTS	http://www.icirr.org	312-332-7360	EIN 36-3783551	55 E. Jackson Blvd. Suite 2075	Chicago	IL	60604	USA	Civil Rights	The Illinois Coalition for Immigrant and Refugee Rights (ICIRR) is dedicated to promoting the rights of immigrants and refugees to full and equal participation in the civic, cultural, social, and political life of our diverse society. In partnership with its member organizations, ICIRR educates and organizes immigrant and refugee communities to assert their rights; promotes citizenship and civic participation; monitors, analyzes, and advocates on immigrant-related issues; and, informs the general public about the contributions of immigrants and refugees.	ICIRR is a nationally recognized and respected non-profit organization that works together with over 120 of its member organizations to educate and organize immigrant communities to assert their rights and build immigrant power; promote citizenship and civic engagement; monitor, analyze and advocate on immigrant-related issues and inform the public about the positive contributions of newcomers to the quality of life in the U.S.		Local, State & National	The new americans initiative (nai) is funded through the illinois department of human services and administered through illinois coalition for immigrant and refugee rights (icirr) in cooperation with illinois department of human services (dhs). The nai provides comprehensive services to assist illinois' more than 325,000 legal permanent residents become u. S. Citizens. Nai provides services ranging from citizenship preparation to assistance in filling out applications, as well as legal screening. It emphasizes regional outreach and offers convenient locations for citizenship applications to receive these services. It assists legal permanent residents in applying for u. S. Citizenship. The fy 2013 grant was $2,312,295 of that amount, $2,002,156 was directly subcontracted to community and social services organizations; $277,672 was for media and other outreach to inform immigrants of workshops and other events.   the outreach and interpretation program is funded by the illinois department of human services. It provides grants to community-based organizations in order to increase the amount and level of services provided to immigrant communities. The program also provides training to idhs caseworkers on immigrant-related issues. The fy 2013 grant was $1,786,099 of that amount, $1,455,682 was directly subcontracted to community and social services organizations. Over 70,000 individuals received assistance in fy 2013.   the ipc program is a partnership between immigrant-serving agencies in the state of illinois, get covered il, icirr and the illinois department of public health (idph). Our providers offer application assistance for health insurance through the affordable care act (aca). Ipc navigators routinely perform outreach and educational activities that inform immigrants about the adult medicaid, marketplace and health literacy.					
Chakota Therapeutic Riding Center NFP	http://www.chakota-trc.org	618-334-0885	EIN 20-5633245	6248 Wesclin Rd	Germantown	IL	62245	USA	Human Services	Providing physical and emotional healing through therapeutic interaction with horses!		children & adults with disabilities and Veterans	Southwestern Illinois	Therapeutic Horseback Riding, Cowboy Poetry and our Veterans Program.					
Health Restoration Academy Of Medical Arts	http://		EIN 36-4337919	7600 W Roosevelt Rd Ste 124	Forest Park	IL	60130	USA	Human Service Organizations	Provide nursing training				Whe have trained and prepared over 1000 nursing student for employment					
One Hope Ministries NFP	http://www.onehopeministries.org	630-273-3239	EIN 26-0194619	904 South Roselle Rd, Suite #107	Schaumburg	IL	60193	USA	Religion	Breaking the cycle of poverty by equipping girls with  a good education and a well founded hope in Christ.	Kelly and Isabel are now teaching school. They are elementary teachers, but attending the University on Saturdays to become Jr. High teachers. The rest of the girls are doing well in their education and show great potential.	adolescent girls 12-20 years old whose family can not afford to send them to school.	Guatemala, Central America (Rural area)		12 adolescent girls				
Almost Home Foundation	http://www.almosthomefoundation.org		EIN 04-3805366	PO Box 308	Elkgrove Village	IL	60009	USA	Animal Protection & Welfare, Animals	Operate a pet shelter and to provide veterinary services.				Provided care, shelter and veterinary services for homeless animals.					
Almost Home Kids	http://www.almosthomekids.net	(630) 271-9155	EIN 36-3822010	7 S 721 Route 53	Naperville	IL	60540	USA	Centers to Support the Independence of Specific Populations, Health, Health Care, Nursing, Pediatrics	A parent-driven program to serve and promote a better quality of life for children with special health care needs and their families within the community.				The transition care program is the link between hospital and home for a child who is clinically ready for discharge from a hospital, yet important factors need to be considered in order to bring the child home safely. The family may need further support through training and equipment education regarding the clinical needs of the child and/or nursing agency staffing plan. The respite care program is a short term stay is for a child who is medically fragile and/or may be technology dependent. From a 24 hour stay to one lasting up to 14 days, a child is provided with medical/nursing care and recreational activities in a secure and therapeutic environment. Families may choose this program for a variety of circumstances: temporary absence of private duty nursing care at home, parent illness, vacations, family emergencies and much needed rest. Medical/nursing care and recreational activities in a secure and therapeutic environment. Families may choose this program for a variety of circumstances: temporary absence of private duty nursing care at home, parent illness, vacations, family emergencies and much needed rest.					
Imagination Theater Inc	http://www.imaginationtheater.org	773-327-6788	EIN 36-2808346	4001 N. Ravenswood Ave. Ste. 503-C	Chicago	IL	60613	USA	Arts & Culture, Arts Education, Single Organization Support, Theater	Imagination Theater provides diverse audiences with original, dynamic, participatory theatrical programming that enhances well being and creates a more civil, safe society.		diverse audiences	the Chicago area	FOR K-8th GRADE STUDENTS: -Ease the Tease -Show Some Respect -No Secrets ...and many other programs that address a variety of social issues.  FOR HS STUDENTS: -Aware Individuals: A Dialogue About Sex and HIV/AIDS  FOR COLLEGE STUDENTS: -College 101: Beyond the Books (appropriate for new student orientation)  ADULTS AND CORPORATIONS: -Custom Designed Workshops to meet your organization's needs  FOR OLDER ADULTS: -Senior Spotlight: Chicago And All that Jazz (music and theater therapy show for the elderly)	approximately 35,000 people by presenting over 250 shows in Illinois and across the US.				
Familial Dysautonomia Now Foundation	http://www.fdnow.org	847-913-0455	EIN 26-3531031	1170 Green Knolls Dr c/o  Ann Slaw, President	Buffalo Grove	IL	60089	USA	Birth Defects & Genetic Diseases Research, Health, Nerve, Muscle & Bone Diseases	To discover new treatments and cures for patients with FD.				funding the groundbreaking research conducted by Dr. Berish Rubin and Dr. Sylvia Anderson at the Laboratory for Familial Dysautonomia, located at Fordham University, NY, USA	hundreds of children and adults suffering from Familial Dysautonomia				
Northwestern University Settlement	http://www.nush.org	(773) 278-7471	EIN 36-2167818	1400 W Augusta Blvd	Chicago	IL	60642	USA	Arts & Culture, Children & Youth, Human Service Organizations, Neighborhood Centers, Performing Arts Centers, Youth Development Programs	Northwestern settlement nurtures, educates, and inspires children and families in need to take personal responsibility and attain self-sufficiency.				Rowe elementary school - a charter school that works with the entire family to develop life skills and economic opportunities for children, preparing students for success in high school and college. Rowe serves 679, mostly low-income, k-7 students from throughout chicago. Rowe elementary school students mastered ambitious academic, social, and emotional standards. Rowe elementary continues to instill the college mindset in its students and their families by delivering a rigorous academic curriculum infused with social and emotional programming and development. Rowe elementary is currently rated level 1+ by chicago public schools, the highest rating available.   early childhood education - to prepare preschool age children for kindergarten, assist the parents in becoming self-sufficient, and expand the family's educational horizon.   house in the wood camp - to allow city children exposure to wildlife and the outdoors, to provide the children with skills necessary to succeed at school, college, and beyond, as well as to foster confidence within the child. House in the woods also offers outdoor environmental education programming to public school students.   art programs - adventure stage chicago and cct gallery - to present the community performances that expand the imagination of children and provide examples of overcoming adversity, taking responsibility for one's actions, and contributing to the community in the hope that the audience and participants grow to see themselves as agents of change. 3 productions and 45 performances with 7,757 people attending. Neighborhood bridges - professional teaching artists using storytelling and creative drama to develop literacy skills and cognitive competence. Conducted programs at 5 schools, serving 423 students. Americorps project yes - to introduce recent college graduates to the challenges families face in the midst of poverty and to allow them to serve children in educational afterschool activities. To develop leadership skills in young adults and to foster community and personal service habits. Group services - encompasses several programs serving children, families, and seniors. Includes after school and summer programs, offering arts, crafts, mentoring, academic and recreational activities to 5 to 15 year olds. Also includes golden agers club for ages 55 and older, offering a safe place, social activities, and services for immediate needs. Emergency services - emergency family services have been a core component of northwestern settlement programming since its founding. Our earliest leaders, in the spirit of pioneers such as jane addams and the settlement movement philosophy of working directly with underserved communities, recognized that being a good neighbor meant providing for the most urgent needs. Program development today, occurs with the same philosophy our founders had: responding to the immediate needs of the community while encouraging long-term change. This spirit has remained constant since before the great depression to throughout the "great recession". Services include: food pantry, clothing and household item distribution, special holiday assistance, referrals, and community outreach.					
Totally Positive Productions	http://www.totallypositiveproductions.com	773-488-9553	EIN 36-3984168	7157 S. Princeton	Chicago	IL	60621	USA	Arts & Culture, Arts Services, Children & Youth, Fund Raising & Fund Distribution, Youth Development Programs	The mission of Totally Positive Productions (TPP) fulfills the need of providing positive off the street activities for youths and young adults as a deterrent to drug and gang involvement.		Youths, Senior Citizens, Disabled, Homeless individuals	Englewood, Dolton, Bronzeville and Pilsen communities within Chicago Metropolitan Area.	Youth Training and Employment, Artist Development and Community Outreach.	three youths, over 1000 adults consisting of (Young Adults, Senior Citizens, Homeless and Disabled people).				
Normal Moments Inc	http://		EIN 20-8605111	1318 Baylor Ct	Naperville	IL	60565	USA	Family Services			families with medically complex/critically ill children	the greater Chicagoland Area	housecleaning, lawn care, snow removal, Adopt-a-Family for Christmas, holiday meals, and more.	over 250 families.				
Chicago Coalition for the Homeless	http://www.chicagohomeless.org	312.641.4140	EIN 36-3292607	70 E. Lake Street Suite 720	Chicago	IL	60601	USA	Homeless & Housing	Chicago Coalition for the Homeless (CCH) organizes  and advocates to prevent and end homelessness based on our belief that housing is a human right in a just society.	    CCH is the only organization in Chicago to run regular outreach at a variety of emergency shelters, transitional housing, SRO and street programs  30 across the city each month, reaching more than 3,500 people per year.      CCH is the only non-profit in Illinois crafting public policies that curb  and one day, can end  homelessness that hits low- and moderate-income families. We train and empower homeless people to advocate on all these issues.      Ours is the only law office in Illinois dedicated solely to serving homeless people, with focus on children and teens turned away by public schools or denied school services. A youth attorney reaches out to unaccompanied youth living on their own, without family.		Chicago, Illinois	The law project (educational rights) (1997) protects the legal rights of people who are homeless, with half of casework focused on children and teens struggling to attend public school.   in the housing campaign, cch pairs advocacy with community organizing to spur development of affordable housing and shelter access. This includes "sweet home chicago," a citywide campagin managed by cch to address the needs of low wage families.   youth futures is a mobile legal aid clinic serving homeless and unaccompanied youth. Two attorneys represented 219 clients and outreach to 1,500 youth via school and drop-in programs.					
Eastland Disaster Historical Society	http://www.eastlanddisaster.org	877-865-6295	EIN 36-4269735	PO Box 2013	Arlington Hts	IL	60006	USA	Arts & Culture, Historical Organizations, Museums	The Eastland Disaster Historical Society is founded on two core beliefs: that every life is of value, and that every life story (when viewed through the lens of the Eastland Disaster) should be preserved and shared.	Most importantly, EDHS has (1) legitimized the importance of the history of the Eastland Disaster, and (2) altered the collective historical consciousness of society regarding the Eastland Disaster.   Though concentrated primarily in the Chicago metropolitan area, we have shared  directly and indirectly  the story of the Eastland Disaster with millions. A few examples are listed below.  (1999) Chicago Century TV program with ABCs Ron Magers. Seen by thousands.   (2000) Titanic/Eastland exhibit (8 mos.) at the Museum of Science and Industry. Eastland Disaster portion of the exhibit was declared the highlight of the entire exhibit (Chicago Tribune, February 25, 2000), and was toured by more than 800,000 visitors.  (2001) The Eastland Disaster, an hour-long feature documentary on Chicago Stories with PBS/WTTW-11s John Callaway. Seen by thousands, and continues to be rebroadcast several times per year. Winner of two regional Tony Awards.  (2001) Lost on the Lakes exhibit (8 mos.) at the Berrien County Historical Society, Michigan. Viewed by nearly 7,500 people.  (2002) Americas Great Maritime Disaster exhibit (12 mos.) at the Michigan Maritime Museum.  (2003) Historical Marker rededication (Wacker Drive) with the Illinois State Historical Society.  (2004) The Sinking of the Eastland: Americas Forgotten Tragedy book with author Jay Bonansinga. Available at major bookstores from coast-to-coast.  (2005) The permanent photo essay at the Reid Murdoch Center with Friedman Properties.  (2005) Authored a photo essay book, The Eastland Disaster, with Arcadia Publishing. Available at major bookstores from coast-to-coast.  (2006) The Hawthorne Works Museum, including the Eastland Disaster, with Morton College, Cicero.  (2007) Historical kiosk/banner (Wacker Drive) with the Chicago Department of Transportation and Chicago Parks & Recreation.  (2008) At The Rivers Edge: Historical outdoor exhibit and memorial with the City of Chicago.  COMING SOON!  (2012) Eastland: A New Musical Award-winning musical performance that weaves a tapestry of working class stories and colorful characters, giving voice to the victims and heroes of that fateful day. Produced and performed at the Tony Award-winning Lookingglass Theatre in Chicago.  (2012) Eastland: A New Musical soundtrack available on CD.  (2013) "Great Lakes Shipwrecks: Storms and Stories" year-long exhibit at the Grand Rapids Public Museum (Michigan).	value the lives of those who lived before us	Primarily the Chicago metropolitan area, we provide value to constituents acorss the country (our mailing list includes 42 different states) and even throughout the world (9 countries, including documentaries in the Czech Republic and France).	personal accounts/photos on our website, community out-reach programming (including visits to the classrooms of junior high schools through advanced degree colleges), public exhibitions (permanent and temporary), special events, and leveraging the arts (authoring books; supporting authors, screenplay writers, musicians, and TV programming).					
Gender Equity Fund	http://www.aauw-il.org/equity/equity.htm		EIN 36-4118103	4936 N Austin Ave	Chicago	IL	60630	USA	Children & Youth, Civil Rights, Leadership Development, Women, Womens Rights	Since 1990, the American Association of University Women-Illinois, Inc. has sponsored an Initiative for Educational Equity. The Initiative is charged with raising awareness throughout Illinois regarding gender inequalities, especially those in education, by using our National AAUW Research. The Gender Equity Fund initiates projects and activities to support gender fair community awareness, creates an environment for public dialog about equity concerns, empowers women and girls to extend equity fairness projects into the community, increases public awareness of effective strategies and activities to promote equitable access, resources and outcomes to all youth and builds a network of community resources to support gender fair programs.									
Rainbows for All Children	http://www.rainbows.org	847-952-1770	EIN 36-3262836	1007 Church Street No 408	Itasca	IL	60201	USA	Counseling, Human Services, Mental Health, Mental Health & Crisis Intervention, Single Parent Agencies	Rainbows For All Children is an international, nonprofit organization that fosters emotional healing for children grieving a loss or life-altering crisis. The goals include helping children to develop and strengthen coping skills, learn appropriate behavior and anger management, alleviate depression, and reduce emotional pain and suffering. These coping tools will build the confidence and self-esteem of these hurting children, improve communication in their families and peer relationships, prevent destructive behaviors such as involvement with gangs, alcohol and drug abuse, and ultimately improve school attendance and academic performance.   Rainbows enriches the lives of youth with a sense of hope, forgiveness, and coping skills to prevent grief from defining their lives. Since 1983, more than 2.5 million were helped through Rainbows and nearly 200,000 youth are assisted each year.  HOW RAINBOWS WAS BORN:  Suzy Yehl Marta, Founder and President of Rainbows, was working several part-time jobs and struggling to keep the family together financially when she had her epiphany: Her boys were hurting  and the divorce was to blame. She tried counseling but quit when the therapist told her they were all doing just fine. Marta searched for a program for the boys but found none. So, with other parent volunteers, she ran weekend retreats for grieving youth through her local church. In three years, 800 kids came  each one broken-hearted, angry, confused and isolated in pain.  Finally, Marta faced a tough decision: Take a good-paying, full-time job, which she desperately needed, or use the knowledge shed gained from the retreats to start an organization for grieving youth, which her kids also needed. She did the right thing and, in 1983, she established Rainbows. The program was based on the four principles that Marta had learned from the kids themselves:      * Adults often dont recognize when children are grieving.      * Children dont know how to grieve, and the consequences of this can be devastating.      * Children dont distinguish between the pain of loss that results from death and the pain of loss that results from divorce, separation or abandonment      * Children can be healed after loss.   Rainbows began with three small pilot programs in Chicago-area schools. Flash forward to 2010: more than 10,000 sites have implemented Rainbows worldwide, with a network of 30,000 trained volunteer facilitators assisted 127,000 children and teens. Rainbows oversees effective, peer-support programs throughout the United States and 16 other countries.  Rainbows has four age-appropriate programs to serve children from pre-school through young adulthood. A fifth program works with single parents. As a nonprofit, Rainbows operates on a shoestring budget and miniscule staff and it also offers Silver Linings, a crisis response program designed for teachers and youth group leaders following community or large-scale disasters. More than 600 editions of the program were distributed nationwide following the terrorist attacks of September 11, 2001 and thousands after the Gulf Coast Hurricanes.  Despite its growth and expansion, Rainbows focus remains clearly centered on grieving youth. For Marta, now remarried and the mother to six adult children, the challenge today is the same as it was two decades ago: To provide grief support to every child or teen who needs help coping with the pain of loss.			United States,	Rainbows collaborates with schools and faith communities to offer grief support groups for youth that have experienced a life-altering loss in their family.					
