name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Variety Freedom Program	Variety Future Kids Program	Chatter Matters! Communication Camp
Stillwaters Cancer Support Services	http://www.stillwaterscenter.org	262-548-9148	EIN 39-1818956	2607 N Grandview Blvd, Ste 110	Waukesha	WI	53188	USA	Health, Health Support, Hospitals, Human Service Organizations	Stillwaters provides professional, no-cost, counseling and support to persons with cancer and those who love them. Stillwaters nurtures and encourages healing of the whole person; mind, body and spirit.	over 95% of our clients report being able to better manage their stress because of Stillwaters. Family members have learned to communicate more effectively and discuss difficult topics that come with cancer diagnosis and treatment. Greater numbers of people are seeking counseling because we offer our services free of charge and at convenient times and locations.	Our services are open to any whose life has been touched by cancer.		We serve all of Southeastern Wisconsin.	Individual, couples and family counseling, support groups, workshops, grief services, educational sessions			
Willow Creek Ranch Inc	http://www.willowcreekranch.org		EIN 26-0607719	7404 Northwest Highway 83	Mukwonago	WI	53149	USA	Health, Rehabilitative Care	Therapeutic riding center to improve quality of life for children and adults with disabilities by giving them the ability to enhance their physical emotional and cognitive development through the use of equine assisted activities					Provide a safe and effective riding program by combining horse and rider with a variety of therapeutic activities while teaching a riding skill improve balance and postural alignment self esteem muscle strength head and trunk control eye hand corodination increased range of motion socialization skills self confidence			
Eau Claire County Humane Association Inc	http://www.eccha.org	(715) 839-4747	EIN 39-6125537	3900 Old Town Hall Rd	Eau Claire	WI	54701	USA	Animal Protection & Welfare, Animals, Homeless & Housing, Homeless Shelters	The mission of the eau claire county humane association is to be a voice for all animals by providing education, resources and support for the community, compassionate care for homeless animals until they can be placed in forever homes, and coordination with other organizations to promote animal welfare.					Care of lost/abandoned animals: we impound stray, domestic animals for most of the municipalities in eau claire county. We respond to calls about stray animals, board them for 7 days according to state statutes, making every attempt to find the owner of the animal and return it to it's owner. If no owner is found we determine if the animal is adoptable, and take action accordingly to place the animal for adoption or euthanize the animal if needed. This service benefits all pet owners in eau claire county. We took in 1,316 stray animals in 2014. Approximately 30% of stray animals we take in are reunited with their owners. Approximately 47% of animals we take in are adopted.   care of animals surrendered by their owners: we accept domestic animals that are surrendered by their owners because they can no longer care for them, for whatever reason. We determine if the animal is adoptable and take action accordingly to place the animal for adoption or euthanize the animal if needed. We took in 442 surrendered animals in 2014.   pet adoption: for people looking to add a pet to their family, we attempt to match them with a pet that they will enjoy, that will work best for their family and lifestyle. We provide necessary vaccinations, medical care and treatments, and identification for the pet before it is adotped to a new family. We adopted out 842 animals in 2014.			
Ask Second Chance Home Inc	http://		EIN 90-0122006	9344 W Clovernook St	Milwaukee	WI	53224	USA	Family Services									
Midwest Organic And Sustainable Education Services Inc	http://www.mosesorganic.org	(715) 778-5775	EIN 39-1824623	Po Box 339	Spring Valley	WI	54767	USA	Health	Moses educates, inspires, and empowers farmers to thrive in a sustainable, organic system of agriculture.					On the last weekend of february, moses held its 26th annual organic farming conference in la crosse, wi. Over 3,500 farmers, students, and others attended the 2. 5 day event. 67 workshops were put on by 98 presenters, and 189 exhibit booths were displayed. The organic research forum hosted 9 workshops and 29 organic research posters were on display. Ten half-day long organic university classes were held with 663 people attending.   in the fiscal year endng august 31, 2015 moses, through the "grow organic" program, hosted 6 field days to 466 participants in wi, mn, ia, and il. We also attended dozens of conferences and trade shows where we answered questions and distributed materials. Our three organic specialists answered over 500 questions from new and established farmers about issues relevant to their success. Six issues of the twenty-four page organic broadcaster newspaper were direct mailed to close to 4,000 households, given out at events, and available for free on the moses website. A monthly organic e- news was sent to over 11,000 addresses. 28 new farmers learned from 26 experienced organic farmers through our farmer-to-farmer mentoring program in fiscal year 14-15.   moses works with partners and writes grants for limited-term projects that accomplish specific goals. In fy 14-15 we had two: a project funded by the national wildlife foundation to educate farmers about cover crops, through which we hosted 2 field days, published two articles, offered a conference workshop and produced 2 youtube videos. In the other project, working with partner ncat we worked on a "train-the-trainer" initiative to develop organic farm conservation practices.			
Rethinking Schools Limited	http://		EIN 39-1696524	1001 E Keefe Ave	Milwaukee	WI	53212	USA	Education									
Kids From Wisconsin Ltd.	http://www.kidsfromwisconsin.org/	(414) 266-7067	EIN 39-1425288	640 S 84th St	Milwaukee	WI	53214	USA	Arts & Culture, Bands & Ensembles, Children & Youth, Music, Youth Development	The Kids from Wisconsin professionally trains selected, passionate youth ages 15-20, from across the state to provide family-friendly musical performances to over 100,000 people annually. A KFW experience enhances our members professional performing skills, along with developing leadership potential through local outreach programs that teach, mentor and inspire children through the performing arts. KFW also partners with many community service groups to deliver affordable, high-quality entertainment, while helping them raise needed funds for local projects in the communities where they perform.		to provide family-friendly musical performances to over 100,000 people annually. A KFW experience enhances our members professional performing skills, along with developing leadership potential through local outreach programs that teach, mentor and inspire children through the performing arts. KFW also partners with many community service groups to deliver affordable, high-quality entertainment, while helping them raise needed funds for local projects in the communities where they perform.	Members not only live and work together all summer, through leadership training they learn to provide outreach to underserved youth and other groups before performances.  A KFW experience enhances our members professional performing skills and leadership potential.	The Kids from Wisconsin professionally trains selected, passionate youth ages 15-20, from across the state	The organization provides a music & dance group for the wisconsin state fair and other county fairs & events both in & outside of wi			
RACINE SYMPHONY ORCHESTRA ASSOCIATION INC	http://www.racinesymphony.org	(262) 636-9285	EIN 39-6076878	PO Box 1874	Racine	WI	53401	USA	Arts & Culture, Symphony Orchestras	The mission of the racine symphony orchestra is to enrich, educate, and entertain our communities through the power of music.					The racine symphony orchestra is the second oldest symphony orchestra in wisconsin and one of the nation's oldest in continuous operation. Over 400 concerts have been given over the first 80 years, ranging from as few as two concerts a year to as many as eleven. Recently the racine symphony orchestra has performed five or six concerts per year. The orchestra's 2014-2015 seasons consisted of two masterworks concerts at first presbyterian church, three pops concerts at festival hall, and five educational events.			
Deaf Connections Inc	http://		EIN 38-3662899	755 Milkweed Ct	Neenah	WI	54956	USA	Deaf & Hearing Impaired Centers, Disabilities									
Fox Valley Brain Tumor Coalition Inc	http://www.fvbtc.com	(920) 380-9699	EIN 41-2106153	5320 W Michaels Dr	Appleton	WI	54913	USA	Brain Disorders, Health	Promote brain tumor awareness and offer support groups					Promote brain tumor awareness and offer support groups			
Hunger Task Force Inc	http://www.hungertaskforce.org		EIN 39-1345847	201 S Hawley Ct	Milwaukee	WI	53214	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Food, Food Banks & Pantries	Hunger Task Force of Milwaukee works to prevent and alleviate hunger.  To alleviate the immediate need for emergency food, Hunger Task Force provides donated food and food purchased in bulk to area emergency feeding organizations.  To accomplish this goal, we operate a network of 75-plus food pantries and coordinate a coalition of meal program sites in the metro Milwaukee area. Hunger Task Force distributes food and support at no cost to our network of emergency-feeding organizations. To prevent hunger, we advocate for social policies that ensure people have enough food (obtained through normal means) for a healthy life.								
Valley Cats Inc	http://www.valleycatsrescue.org		EIN 47-1315023	518 County Road G	Neenah	WI	54956	USA	Animal Protection & Welfare, Animals									
Another Hand Foudation Inc	http://www.anotherhandfoundation.org	262-397-4167	EIN 	3707 N. Richards Street Unit #104	Milwaukee	WI	53212	USA		Supporting fire loss victims; donating household furnishings to fire victims who have no insurance  and/ or have been displaced by a  house or apartment fire. Providing knowledge and education of renters and home owners insurance. Working with the community, fire department and Red Cross.  Having community events to educate the public.				Milwaukee, Waukesha, Washington				
Fox Cities Kurgan Sister Cities Program Inc	http://www.foxcitieskurgan.org		EIN 39-1539092	PO Box 2846	Appleton	WI	54912	USA	Arts & Culture	Through a citizen-based community collaboration of partnerships, the Fox-Cities Kurgan Sister Cities program will work towards the creation of a safer world by improving economic, civic, educational and health status of the Kurgan Russia and Fox Cities regions								
Combat Blindness International Inc	http://www.combatblindness.org	(608) 238-7777	EIN 39-1531546	Po Box 5332	Madison	WI	53705	USA	Eye Diseases, Blindness & Vision Impairments, Health	Combat blindness international is dedicated to eradicating preventable forms of blindness through funding cataract surgeries, screenings and treatment of children suffering from vision loss or blindness, medical personnel, and medical facilities in developing countries and funding eye screening and level 1 ophthalmic care to uninsured and underinsured in dane county, wisconsin.					Combat blindness international (cbi) collaborates with hospitals in india (ayodhya eye hospital - ayodhya, uttar pradesh; bhubaneswar lv prasad eye hospital - bhubaneswar, odisha; shree jalaram eye hospital - meghraj, gujarat; tejas eye hospital - surat, gujarat; tarabai desai eye hospital - jodhpur, rajasthan; shroff's charity eye hospital - rampur, uttar pradesh; sitapur eye hospital - sitapur, uttar pradesh; usha kiran eye hospital- mysore) and africa (lions sight first eye hospital - kenya, african vision - south africa) to provide free cataract operations for the poor. The organization funded over 13,000 cataract surgeries during 2014. Cbi collaborates with hospitals in india (aravind eye hospital - aravind, bhubaneswar lv prasad eye hospital - bhubaneswar, shree jalaram eye hospital - meghraj, gujarat; tejas eye hospital - surat, gujarat), africa (iota university of bamaka eye department - mali, windhoek central hospital- namibia), south america (fundacion vision - paraguay), and asia (sitagu international buddhist missionary center - myanmar) to provide equipment, medical consumables and intraocular lenses (iols) for free eye operations for the poor. The organization provided over 2,800 iols, over 2,400 other small consumables, and one piece of large ophthalmic and optometric equipment during 2014. Cbi collaborates with the gujarat blind relief and health association of shree r. M. Eye hospital and tejas eye hospital (gujarat, india) to organize and fund a program to screen children for glasses, opd and ophthalmic surgery for the poor all free of cost. The organization funded over 100 free pediatric eye surgeries and screened over 14,000 children in local schools and provided free glasses to over 600 children during 2014. Cbi collaborates with the university of wisconsin hospitals and clinics and the university of wisconsin department of ophthalmology and visual sciences to provide primary and secondary level of eye care for underinsured and uninsured residents of dane county, wisconsin. In addition cbi collaborates with the madison metropolitan school district in madison, wisconsin, to organize and fund a school screening for all 4k students.			
Atv 4 Vets Ltd	http://		EIN 46-0818042	11340 Bemis St	Trempealeau	WI	54661	USA	Military & Veterans Organizations, Veterans									
Mississippi Valley Conservancy Inc	http://www.mississippivalleyconservancy.org	(608) 784-3606	EIN 39-1871201	Po Box 2611	La Crosse	WI	54602	USA	Environment, Forest Conservation, Land Resources Conservation, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	Mississippi valley conservancy (mvc) is a regional, non-profit land trust based in la crosse that has permanently conserved more than 16,000 acres of blufflands, prairies, wetlands, and streams in southwestern wisconsin since its founding in 1997. Mvc works with private landowners and local communities on voluntary conservation projects in nine counties along or near the mississippi river: buffalo, trempealeau, jackson, la crosse, monroe, vernon, crawford, richland and grant counties. The conservancy uses voluntary tools such as conservation easements, land acquisitions, and a landowner registry program to protect lands for their ecology, scenic beauty, outdoor recreation potential, and prime agricultural soils. Mvc works hard to restore native natural communities by removing invasive species and conducting prescribed burns. Mvc works cooperatively with individuals, businesses, conservation groups, local units of government and state and federal agencies.					Mississippi valley conservancy has protected more than 16,000 acres of wildlife habitat, rare natural communities, and working farms since its founding. The conservancy provided educational materials about land conservation to more than 1,000 people and created online videos to promote appreciation of nature and protection of habitat. The conservancy also led more than 1,000 young people in the outdoors to learn about nature and ecological restoration.			
Better Care Family Services Inc	http://		EIN 39-1599951	8235 W Keefe Ave	Milwaukee	WI	53222	USA	Christianity, Religion									
St Ann Center for Intergenerational Care, Inc	http://www.stanncenter.org		EIN 39-1757756	2801 E Morgan Ave	Milwaukee	WI	53207	USA	Child Day Care, Children & Youth, Human Services, Residential Care & Adult Day Programs, Senior Centers, Seniors	St. Ann Center for Intergenerational Care provides community-based health and educational services for children and frail adults, and serves as a resource and support for caregivers. The Center, sponsored by the Sisters of St. Francis of Assisi, reflects Franciscan values in meeting the spiritual, psychological, social, and physical needs of all who participate regardless of faith, culture, or ability to pay.					Our adult services include outpatient rehabilitation (occupational, physical, and speech therapies), skilled nursing care, baths, an aquatics program in our warm water pool, hair and nail care, art and music therapy, counseling, nutritious meals and snacks, and overnight respite care.			
Benedict Center Inc	http://www.benedictcenter.org	414-347-1774	EIN 39-1226475	135 W Wells St Ste 700	Milwaukee	WI	53203	USA	Crime & Law, Inmate Support	THE BENEDICT CENTER WORKS WITH VICTIMS, OFFENDERS, AND THE COMMUNITY TO ACHIEVE A SYSTEM OF JUSTICE THAT IS FAIR AND TREATS EVERYONE WITH DIGNITY AND RESPECT THE AGENCY'S OVERALL GOALS ARE TO - OFFER REAL OPPORTUNITIES FOR CHANGE TO WOMEN IN CONFLICT WITH THE LAW THROUGH THE WOMEN'S HARM REDUCTION PROGRAM, A HOLISTIC, GENDER-RESPONSIVE JAIL AND PRISON ALTERNATIVE, GROUNDED IN EDUCATION AND SUBSTANCE ABUSE TREATMENT,-ADVOCATE FOR FUNDAMENTAL SYSTEMIC CHANGE IN THE CRIMINAL JUSTICE SYSTEM		Each year the Benedict Center serves up to 400 involved with the criminal justice system in Milwaukee. Women referred to the Center are in need of basic educational and employment skills, substance-abuse treatment, trauma counseling, anger and stress management and cognitive behavior development. About 72 percent of women served by the program are African American and Latina, with an average age of 34.  Nearly 80 percent report a diagnosis of some form of mental illness. Additionally, 78 percent of participants report they have been sexually, physically or emotionally abused. Only 25 percent are employed. Many cant hold jobs because they lack the skills or experience or because of behavioral problems associated with drug and/or alcohol abuse or mental health issues. Many suffer the consequences of abject poverty, have inadequate, unsafe housing or no housing at all, and most have educational achievement at the 5th or 6th grade level.	400	Milwaukee, Wisconsin	The women's harm reduction program: each year more than 200 women are diverted by the police and district attorney, deferred by the courts, or referred by probation, jail, prison, and child welfare officials. Women participate in education and skills building classes including tutoring, substance abuse treatment services, seeking safety groups to address trauma, anger and stress management classes and parenting classes. Women were also encouraged to create transition plans for building safe and healthy lives.   the sisters diversion project is an innovative community-police partnership to address the issue of street prostitution as a more effective way to reduce crime and disorder and improve economic development in the washington park and walnut hill neighborhoods, while helping women in the sex trade turn their lives around. The project also seeks to achieve policy changes that increase treatment alternatives, diversions and deferred prosecutions for women engaged in prostitution. Rather than incarcerating women, women are required to participate in a 6-month program at the sisters program where they will be provided trauma-informed services that help them prepare for a different way of life. This includes ongoing case management, programming and legal advocacy. This strategy ultimately improves the quality of life in the community while offering a better life for women who have been working on the streets. This model also represents a systemic change in how law enforcement handles prostitution.   other miscellaneous program expenses.			
Milwaukee Pets Alive Inc	http://		EIN 35-2440851	Po Box 370137	Milwaukee	WI	53237	USA	Animal Protection & Welfare, Animals									
Kan Cool For School Inc	http://		EIN 26-0553614	Po Box 2254	Manitowoc	WI	54221	USA	Philanthropy									
Community Advocates Inc	http://www.communityadvocates.net	(414) 270-2970	EIN 39-1249426	728 N James Lovell St	Milwaukee	WI	53233	USA	Human Services	The mission of community advocates, inc. Is to provide individuals and families with advocacy and services to meet their basic needs so they may live in dignity.					The milwaukee brighter futures initiative seeks to promote positive youth development through strategies to prevent and reduce child abuse and neglect, youth violence and delinquent behavior, youth alcohol and other drug use and abuse and non-marital pregnancy.   permanent supportive housing program, project bridge, identifies and secures access to safe and affordable permanent housing for a target population of 100 individuals who have been chronically homeless and who have a mental illness and/or a dual diagnosis. Project bridge is a housing first program that uses engagement and harm reduction strategies to ensure a successful transition from life on the streets to stable and permanent housing. The "bridge" consists of immediate housing, significantly supplemented by intensive case management services designed to stabilize the individual's housing situation, establish income and access to mainstream benefits and reduce chances of future homelessness.   the public policy institute works to promote and implement evidence-based policies that will prevent and reduce poverty and improve the quality of life for individuals and families in milwaukee and throughout wisconsin. Our varied programs and projects are united in their view that poverty is milwaukee's biggest problem. In addition to our milwaukee work, many of our programs are also regional, statewide and national in scope. Ppi targets poverty in a number of ways - we try to reduce it through changes to relevant public policies and laws; we try to prevent its effects through public health efforts; and we work to increase opportunity and wellness for low-income people by fostering factors related to success, resilience and well-being. Ppi analyzes and advocates for policy changes; convenes and coordinates coalitions that align with our mission and distribute funds to community-based programs while offering training and technical assistance to increase impact.   other program services include:disability services - helping people with disabilities secure an income. Family support center - providing shelter and support to low-income families experiencing a housing crisis. Autumn west - a facility offering housing and supportive services to individuals who are homeless and who have mental health disorders.			
Pride of the Midwest Girls Fast Pitch Softball Club	http://www.prideofthemidwest.org	(262) 893-5565	EIN 30-0199680	17750 Bedford Drive	Brookfield	WI	53045	USA	Baseball & Softball, Sports	Competitive youth fast pitch softball		to develop softball skills; promote sportsmanship; inspire respect for the rules of the game; to promote friendship in a competitive environment and to aid and encourage the development of youth.	over 100 young ladies.	southeastern Wisconsin	Offer fast pitch softball education and competitive opportunities for girls ages 8 to 18 years old.			
National Lung Cancer Partnership	http://www.palungcancerpartnership.org	(608) 833-7905	EIN 27-1058053	1 Point Pl No 200	Madison	WI	53719	USA		The pennsylvania lung cancer partnership, inc. Is dedicated to decreasing deaths due to lung cancer and to helping patients live longer and better through research, awareness, and advocacy.								
New Beginnings Pregnancy Care Center Inc	http://		EIN 39-2007604	365 E Division St	Fond Du Lac	WI	54935	USA	Health, Reproductive Health Care, Reproductive Rights	PROVIDED CHRIST CENTERED HOME TO 11 WOMEN FACING CRISIS PREGNANCIES								
Canopy Center Inc	http://www.canopycenter.org	608-241-4888	EIN 51-0211908	2120 Fordem Ave Ste. 110	Madison	WI	53704	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	The mission of Canopy Center is to prevent child abuse and neglect, strengthen families, and promote healing of those affected by abuse, through the provision of culturally competent and diverse professional, volunteer and peer services.				Dane County, Wisconsin	The goal of the oasis program is to help children/teens and their families achieve a healthy recovery from the trauma of child sexual abuse by providing trauma-focused group, individual and family therapy. The oasis program model strives to increase knowledge of effective coping skills and improve functioning at home, in school and in the community (94% of children/teens achieved or made significant progress toward this goal); and reduce symptoms/impact of behavioral or mental health issues including trauma on children and families (83% of children/teens and non-offending parents achieved or made significant progress toward this goal). The program is available to both english and spanish speakers. In 2014, 117 individuals were provided with 3,919 hours of service. The program utilized 7 volunteers who contributed 176 hours to the program. Volunteers serve as co-facilitators in therapy groups lead by a staff, master's level, therapist.   the goal of the families united network is to help families be safe, strong, stable and nurturing and to allow children and parents to grow to their full potential. Using a guided self-help model, parent support groups are offered weekly in which parents may discuss the current issues in their lives that are or could potentially affect their parenting. Groups are available in english and spanish. The long term objectives of the program are that children/teens are able to more fully and successfully engage in family, social and school life (98% achieved this goal), and there is an increase healthy functioning, enhance communication and reduce isolation in low income families (95% achieved this goal). In 2014, 96 individuals were provided with 6,018 hours of service. The program utilized 68 volunteers who contributed 5,281 hours to the program.   the goal of the parent stressline is to reduce child abuse and neglect, as well as the stress in families that can lead to child abuse and neglect. The parent stressline is a 14-hour, daily listening service staffed by trained parent advocates. Parent advocates strive to assist callers with finding solutions to their problems and make referrals, as needed, to canopy center programs or other appropriate community services that are equipped to meet the needs of the caller. Parent advocates are recruited from the community and must complete an initial day and a half comprehensive training, as well as on-going seminars, to continue the education needed to serve callers on the line. The long term objective of the program is that callers to the parent stressline are able to determine alternative behaviors for addressing the stress in their lives that can lead to child abuse and neglect and/or are provided with resources necessary to seek further assistance with their stress-related needs (91% of callers met this objective). In 2014, 2,649 calls were received on the line. The program utilized 30 volunteers who contributed 3,451 hours to the program.   the family sexual abuse treatment program brings together treatment teams working with families in which intra-family sexual abuse has occurred to help insure coordinated treatment. The goals of the program are that children remain in their homes and that there are no further reports of sexual abuse. During 2014, progress toward resolution and/or reunification was accomplished in most cases and there were no reported instances of sexual abuse on cases being staffed. In 2014, the program provided 161 treatment team staffings affecting 167 unduplicated participants.			
Business Against Drunk Drivers, Inc.	http://www.baddpage.com		EIN 39-1599542	759 N Milwaukee St Ste 400	Milwaukee	WI	53202	USA	Crime & Law, Drunk Driving-Related, Federated Giving Programs, Mental Health, Philanthropy, Substance Abuse Dependency, Prevention & Treatment	Founded in 1988, Business Against Drunk Drivers, Inc. (BADD) is headquartered in Milwaukee, Wisconsin.  BADD is comprised of dues-paying member businesses, individuals, and agencies whose mission is, "utilizing the strength, talent and resources of business and industry to combat drunk driving."  BADD provides drunk driving prevention education to its members through literature, products, services and specialized programs.  BADD also sends its drunk driving prevention message to members and the general public via its unique Confidential Cab Fare Program, as well as community event Designated Driver Booths.  Additionally, BADD serves as a distributor of the popular "Fatal Vision Goggles (TM)".								
International Foundation For Functional Gastrointestinal Disord	http://www.iffgd.org		EIN 39-1710898	Po Box 170864	Milwaukee	WI	53217	USA	Digestive Diseases & Disorders, Diseases of Specific Organs, Education, Health, Medical Disciplines Research	Ourmission is to inform, assist, and support people affected by gastrointestinal or digestive disorders.								
Good Action Foundation Inc	http://goodactionfoundation.org		EIN 47-2065016	439 Clover St.	Elkhorn	WI	53121	USA	Human Service Organizations	Good Action Foundation is committed to providing hope to families and children around the world through Good Action.	In 2015 we gave away food and non-food baskets to 75 families and we distributed toys to 74 children. In some isolated rural areas of Dominican Republic, where the population is likely to have limited or no access to outside resources, Good Action Foundation provides a full food basket, in addition to the most essential, to some needy families. Also we distribute toys to children to celebrate the joy of Christmas.	Projects for families and children	68 students, 75 families & 74 children	Dominican Republic & Guatemala	Providing food, healthcare and education opportunities			
Jeremiahs Crossing Inc	http://www.jeremiahscrossing.org	(305) 451-3464	EIN 20-4108406	Po Box 126	Babcock	WI	54413	USA	Centers to Support the Independence of Specific Populations	Education					To acquire horses, maintain grounds to accomodate horses and riders,to provide horseback riding for disabled children.			
Encompass Early Education And Care Inc	http://www.encompasseec.org	(920) 469-1236	EIN 39-0824004	Po Box 1627	Green Bay	WI	54305	USA	Child Day Care, Children & Youth	Provide high quality education and care for children and support for families.					Program service expenses for providing high quality education and care to children ages 6 weeks through 12 years old. Programming includes 4 year old kindergarten, before and after school, corporate subsidized child care, crisis respite care and strengthening families initiatives.   ruth helf family center - mission is to keep families together through intervention and support by teaching and strengthening parenting skills.   foster grandparent program - grant funding to offer stipends to "grandparents" to help out in child care classrooms.			
Conserve School	http://www.ConserveSchool.org	715-547-1300	EIN 36-4140938	5400 N Black Oak Lake Rd	Land O Lakes	WI	54540	USA	Education, Environment, Environmental Education, Secondary & High Schools	Conserve School inspires young people to environmental stewardship through academics and engagement with the forests, lakes, and wildlife of Lowenwood.  Conserve School is a non-sectarian school aimed at students who feel a strong attachment to the natural world and who are motivated to conserve it. This semester-long immersion in environmental studies and outdoor activities deepens students love of nature, reinforces their commitment to conservation, and equips them to take meaningful action as environmental stewards.  The program interweaves college-preparatory academics with: the study of environmental history, nature literature, and the science of conservation, environmental service work, exploration of careers related to conservation, training in teamwork and leadership, and engagement with the outdoors.  Designed primarily for high school juniors, Conserve School incorporates the flexibility to accommodate advanced sophomores.  Conserve School students become part of a community that heightens their sense of identity and self-worth and imparts the confidence they need to go forward and make a difference, not only as stewards of the environment, but also as stewards of their own destinies.	Conserve School has positively impacted the lives of 100's of students from across the United States. Conserve School has been accredited by the North Central Association Commission on Accreditation and School Improvement (NCA CASI), an accreditation division of AdvancED. Conserve School is a 2014 U.S. Department of Education Green Ribbon Schools Awardee.	high school sophomores and juniors	120 students.	United States	a semester school for high school students designed to inspire them to become environmental stewards while spending a sixteen weeks living and learning on our 1200 acre wilderness campus.			
Natural Heritage Land Trust Inc	http://www.nhlt.org	(608) 258-9797	EIN 39-1452825	303 S Paterson St Ste 6	Madison	WI	53703	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	The natural heritage land trust protects natural areas, wildlife habitat, working farms, healthy lakes and streams, and recreation land to provide a high quality of life in the dane county, wisconsin region.					This year natural heritage land trust completed four land protection projects permanently protecting 399 acres of important land and water at places like the wisconsin river, black earth creek, and the historic indian agency house near the confluence of the fox and wisconsin rivers.			
St Croix Valley Foundation	http://www.scvfoundation.org	(715) 386-9490	EIN 41-1817315	516 Second Street Suite 214	Hudson	WI	54016	USA	Community Foundations, Nonprofit Management, Philanthropy, Public & Societal Benefit	The mission of the st. Croix valley community foundation is to enhance the quality of life in the st. Croix valley by: encouraging charitable giving in the valley - building permanent funds that will provide resources for the needs of today and tomorrow. Connecting people and programs - bringing together peoples charitable interests and the funding needs to programs and organizations. Facilitating progressive approaches - forming partnerships and providing servant leadership through programs that enhance the quality of life in our region's distinct communities.					Special community projects: in keeping with the foundation's mission, foundation staff members partner with other organizations, especially our affiliate foundations, to directly address changing community concerns. This includes: 1) fostering community dialogue around local issues -through regional forums and "conversations of the valley", a monthly public affairs luncheon; 2) promoting non profit performance through workshops and grants 3) working with our affiliates to strengthen their management, governance, and fundraising capacity; and 4) convening organizations to take collective action on specific community issues, such as the national heritage area.   fund management: these activities include working with donors, agencies and affiliated funds who already have established funds with the foundation and include technical assistance and training and education as well as accounting activities. There were approximately 110 funds managed in fiscal year 2015.   grants to art, education, human services, environmental, religious, health and other charitable organizations. Approximatley 600 grants were given in fiscal year 2015.   philanthropic services: these activities include working with donor prospects, with professional financial advisors and agencies who want to establish a fund with the foundation.			
Society Of St Francis	http://		EIN 36-3312331	10936 N Pt Washington Rd 138	Mequon	WI	53092	USA	Animal Protection & Welfare, Animals									
Health Ministries for Haiti Inc	http://www.hmhaiti.org	(608) 213-1301	EIN 02-0800899	9 E Spyglass Court	Madison	WI	53717	USA	International, International Relief	A community of faith, we are dedicated to demonstrating Christs love by working side by side with our Haitian brothers and sisters to create conditions in which all Haitians can reach and maintain the highest levels of physical and spiritual well-being.		provide healthcare		Haiti	We work with 1)"Foundation Good Samaritan in Action," a Haitian clinic and community health program and, 2) "The Home of the Children of Jesus" orphanage, home to 90+ Haitian children			
Randlin Adult Family Care Homes Inc	http://www.randlinhomes.org		EIN 31-1753025	Po Box 1488	Wausau	WI	54402	USA	Homeless & Housing, Homeless Shelters, Housing Support, Job Training, Mental Health, Substance Abuse Dependency, Prevention & Treatment	Randlin Adult Family Care Homes Inc. grew out of the ongoing need to assist homeless veterans and other adults who are mentally ill and/or chemically dependent or are otherwise disabled throughout the nation. With the focus in the Wausau Wisconsin region, Randlin Homes offers a comprehensive rehabilitation program that includes a 1 year training program that takes place in the context of agency developed enterprises where student/residents learn transferable skills while providing community services that generate income to pay for housing and programming.					Randlin Adult Family Care Homes Inc. assists Veterans in getting treatment and support in dealing with the issues that led to their homelessness. Many are disabled as the result of service connected injury or trauma and need help applying for benefits. Others are in need of mental health and AODA/or (alcohol and other drug abuse) treatment. We also have a partnership with the department of Corrections to assist vets who may have legal involvement. We serve as an alternative to revocation as well as a placement agency for those involved with the work incentive program. (vets receive 8 times longer sentences than non vets for violent crimes for unknown reasons)			
Variety - The Children's Charity of Wisconsin	http://www.varietywi.org	266-777-2090	EIN 39-0977152	12425 Knoll Rd.  Suite 110	Elm Grove	WI	53122	USA	Developmentally Disabled Centers, Disabilities, Education, Human Services, Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Providing life-enriching assistance to Wisconsin children challenged by physical disabilities.		Variety serves Wisconsin children who are challenged by physical disabilities, 21 years of age and younger and whose needs are not met by other sources, including family, school, insurance and service program resources.	In 2014, we directly helped 34 children get the durable medical equipment, therapy and services they needed and purchased approximately $56,000 through our Freedom Program. We hosted 34 events through the Future Kids program with more than 2,050 participants. We hosted 18 families for Chatter Matters! Communication Camp.	Wisconsin				is a residential camp for children who use speech generating devices and their entire family to become better communicators in a fun, traditional camp setting.
Protective Animal Welfare Society Of Western Wisconsin	http://		EIN 39-2009750	Po Box 254	River Falls	WI	54022	USA	Animal Protection & Welfare, Animals									
Milwaukee World Festival Inc	http://www.milwaukeeworldfestival.com	(414) 273-2680	EIN 39-1049688	639 E Summerfest Pl	Milwaukee	WI	53202	USA	Arts & Culture, Music	Our mission is to promote an understanding of different ethnic cultures, the histories and traditions of various nationalities, harmony in the community, civic pride and provide a showcase for performing arts, activities and recreation for the public and employment opportunities for the youth of the community.					Summerfest is an annual fesival in the milwaukee metropolitan area. It is the world's largest music festival. Total attendance was 851,879 in 2014.   this category represents eight ethnic and cultural events, eight music concerts and twenty-two other events including eight walks/runs for charity. Total attendance was 503,926 in 2014.   this category represents consulting, production, staffing and management services provided to other entities producing events.   this category represents seasonal operating revenues and expenes that are not directly attributed to a specific event. Additionally, it represents other income and expense including general and administrative.			
