name	url	telephone	tax_num	street	locality	region	postcode	country	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Causes	Results
Jefferson County Library Cooperative Inc	http://		EIN 63-0894761	2100 Park Pl	Birmingham	AL	35203	USA							
International Reading Association Inc	http://		EIN 63-0912516	Po Box 1590	Cullman	AL	35056	USA							
Ancient Mystical Order Of Rosae Crucis	http://		EIN 94-3168552	PO Box 190575	Mobile	AL	36619	USA							
Mission Samaria	http://		EIN 72-1369787	22601 Ridgewood Dr	Robertsdale	AL	36567	USA						Education	
Coalition Of Salvation Ministry	http://		EIN 62-0586164	1537 Martin Luther King St	Selma	AL	36703	USA						Christianity, Religion	
Scottsboro Jackson Heritage Center Association	http://	(256) 259-2122	EIN 63-0881568	Po Box 53	Scottsboro	AL	35768	USA	Historical and cultural museum (see sch 1)				Historical & cultural museum  see schedule 1 - historical & cultural museum	Arts & Culture, History Museums	
The Find HOPE Here Project	http://www.thefindhopehereproject.org	205-657-3824	EIN 47-1549937	5032 Smithfield Circle	Northport	AL	35473	USA	The mission of The Find HOPE Here Project is to sow "the Seed of Hope," Jesus Christ, in the hearts of homeless people. Our mission involves being foot soldiers for Christ as we collect, assemble, and distribute A Bucket of HOPE to hurting and homeless people in Tuscaloosa County.   Each bucket handed out not only meets the physical needs of the homeless but also their spiritual needs. There is hope in Jesus Christ and it is for everyone. The Find HOPE Here Project reaches out to the community of Tuscaloosa County to share the hope with children, veterans, and people of all ages, races, and backgrounds.	our homeless community	101 homeless persons	Tuscaloosa County, Alabama	A Bucket of HOPE outreach.	Homeless & Housing, Homeless Centers	101 Buckets o f HOPE packed and distributed in the WInter of 2015.
The Camp At Sunshine Farm	http://	(205) 803-0160	EIN 26-0361963	400 Shades Creek Pkwy Ste 200	Birmingham	AL	35209	USA	TO OPERATE A CHRISTIAN CAMP FOR DISADVANTAGED CHILDREN AND YOUTH. CAMPERS WILL RECEIVE BIBLE INSTRUCTION AND SPIRITUAL GUIIDANCE FROM A LICENSED PASTOR. THE CAMP WILL INTEGRATE RECREATIONAL ACTIVITIED AND FARM CHORES TO ILLUSTRATE GOD'S PLAN.				Operating a christian camp for disadvantaged children and youth. Campers will receive bible instruction from a licensed pastor. The camp will integrate recreational activities and farm chores to illustrate god's plan.	Camps, Sports	
Evangelical Lutheran Parish Of Stgertrude	http://		EIN 20-5798737	2605 Robin Hood Dr	Mobile	AL	36605	USA						Christianity, Religion	
Alabama Wildlife Center	http://www.awrc.org/	205-663-7930	EIN 63-0813173	100 Terrace Dr Oak Mountain State Park	Pelham	AL	35124	USA	The Alabama Wildlife Center is Alabama's oldest and largest wildlife rehabilitation facility and annually receives almost 1,600 birds from over 100 different species. AWC is a nonprofit organization whose dual mission is to provide medical and rehabilitative care for Alabama's injured and orphaned native birds in order to permit their return to the wild, and to educate people in order to heighten awareness, appreciation and conservation of Alabama's native wildlife. The Alabama Wildlife Center's primary services are wild bird rehabilitation, clinical care for sick or injured birds, a wildlife help line for public assistance, and a variety of educational programs.				Provides medical care, food and housing to injured and orphaned native birds brought to AWC for care. Offers educational programs and events for all ages about wild birds, their protection and conservation, and their habitat.	Animals, Wildlife Preservation & Protection, Wildlife Sanctuaries	
Christian Counseling Center Of West Mobile, Inc.	http://		EIN 63-1106508	720 Oak Cir Dr W Ste 200	Mobile	AL	36609	USA						Christianity, Religion	
Truth In Love Ministries Inc	http://www.histruthinlove.com	(205) 910-0085	EIN 63-1110948	3001 Pump House Rd	Vestavia	AL	35243	USA	Spiritual, biblical counseling & educational training to become biblical counselors.				Provide both biblical counselor training and biblical counseling for approximately 600 people.	Christianity, Religion	
Center Of Hope	http://		EIN 63-1275738	Po Box 2687	Anniston	AL	36202	USA	Aid those in recovery from substance abuse by providing food, clothing, and housing. The counselors provide emotional and spiritual support. Organization operates a thrift store as the primary source of funds to provide these services.				Operate a warehouse and thrift store as the primarysource of funds to provide christian counseling services.	Mental Health, Substance Abuse Prevention	
BRIGHTER DAY COMMUNITY OUTREACH SERVICES INC	http://www.kendojopromotions.org	205-266-6178	EIN 20-4722959	7223 4TH Ave S	Birmingham	AL	35206	USA	Our mission is to help those in need and who can't help themselves; to encourage those who may have been forgotten or who feel that they are alone; to empower those who feel helpless; to set those thng that are wrong right; to make this dark world a brighter place one day at a time.	the homeless, the elderly, disadvantaged youth, addicts and th hopeless	approximately 2,500.	Birmingham and Jefferson County Alabama	nutrition, clothing, temporary shelter, counseling, empowerment seminars and hope.	Human Service Organizations	
Ability Workers Of Alabama Inc	http://		EIN 27-1837933	3001 Paddlecreek Ln	Northport	AL	35473	USA						Employment Preparation & Procurement, Job Training	
Renaissance Theatre Inc	http://		EIN 63-1209110	Po Box 10101	Huntsville	AL	35801	USA						Arts & Culture, Theater	
Santa America Inc	http://www.santaamerica.org	(251) 379-0462	EIN 20-1943073	308 Belrose Ave	Daphne	AL	36526	USA	Over 200 special santas across america visit children and families in crisis - free of charge.	families facing physical or emotional crisis		all 50 states	The highest quality Santas from across America come together to focus on our special mission:  To provide an unhurried visit to families facing physical or emotional crisis from a loving, committed, trained, and backgrounded Santa.	Children & Youth, Youth Development	
Feed My Sheep Ministries	http://		EIN 31-1487875	440 Surrey Cir	Bessemer	AL	35022	USA						Protestant, Religion	
Shivkrupa Inc	http://		EIN 72-1390908	2340 Deerwood Rd	Birmingham	AL	35216	USA						Education, Scholarships, Scholarships & Student Financial Aid	
Exchange Center for Child Abuse Prevention	http://www.exchangecap.org	(334) 671-1966	EIN 63-0834207	102 Morgan St	Dothan	AL	36301	USA	We exist to prevent child abuse and provide healing for its victims throughout the Wiregrass region.				Free and confidential victim counseling; victim support groups; parenting classes; anger management classes; parent aide program	Child Abuse Prevention, Crime & Law, Domestic Violence	
The Haven	http://www.havenforanimals.org	(251) 929-3980	EIN 63-1253853	Po Box 1063	Fairhope	AL	36533	USA	The Haven provides shelter and finds adoptive homes for abused, homeless and neglected animals, treating them with love, respect, and medical care. Through education and volunteer programs, we promote community awareness of pet overpopulation and responsibility. The Haven is a non-profit sanctuary for animals that will be cared for regardless of how long it takes to find them loving homes.	reduce the number of cats and dogs euthanized in area open-admission animal shelters.	482 cats and dogs saved, 465 pet placements, and 143 lost pets reunited with owners.	Baldwin County	Adoption, fostering, lost and found, sheltering, and pet re-homing assistance.	Animal Protection & Welfare, Animals	Over 6,200 homeless cats and dogs have found loving homes since The Haven began in 2000.
Pets Are Worth Saving Inc	http://		EIN 37-1481636	2701 Mall Road - Pmb 277	Florence	AL	35630	USA						Animal Protection & Welfare, Animals	
Talladega Assisted Shelter Corporation	http://		EIN 72-1362131	151 Curry Ct	Talladega	AL	35160	USA						Homeless & Housing, Temporary Housing	
World Refiners Community Center Inc	http://		EIN 26-0074447	2117 Oakwood Ave Nw	Huntsville	AL	35810	USA	Enrich the physical and spiritual health				Provide clothings and food serve prepared meals to the public and tutor school age children and adults in core academic subject areas	Religion	
Friends Of Romania Inc	http://		EIN 63-1148975	4000 Meadow Lake Dr Ste 121	Birmingham	AL	35242	USA						International	
The Kentuck Museum Association, Inc.	http://www.kentuck.org	(205) 758-1257	EIN 63-0896818	503 Main Ave	Northport	AL	35476	USA	The mission of the Kentuck Museum Association is to nuture artistic expresssion, to educate the public about the creative efforts of artists, to engage the community in the arts and add to the cultural climate and quality of life in West Alabama.					Art Museums, Arts & Culture, Single Organization Support, Visual Arts	
Wannabe Rescued	http://		EIN 46-2313741	Po Box 725	Selma	AL	36702	USA						Animal Protection & Welfare, Animals	
Nauvoo Historical Society Inc	http://		EIN 62-1578456	823 9th Ave	Jasper	AL	35501	USA							
Freshwater Land Trust	http://www.freshwaterlandtrust.org	(205) 417-2777	EIN 72-1387424	2308 1st Ave N	Birmingham	AL	35203	USA	The acquisition and stewardship of lands that enhance water quality and preserve open space.				Fees and expenses related to the protection of watersheds within jefferson county, alabama	Environment, Water, Water Resources, Wetlands Conservation & Management	
Southern Museum Of Flight Fdn Inc	http://www.southernmuseumofflight.org	(205) 833-8226	EIN 63-6051240	4343 73rd St N	Birmingham	AL	35206	USA	The southern museum of flight is dedicated to investigating, preserving, and promoting the rich stories of southern aviation and to providing exciting, interactive educational programming for people of all ages. Through collaborative partnerships with the community, the southern museum of flight provides a continuum of exhibitions, displays, and educational services with a sincere devotion to cultural and historical literacy.				Museum of aviation history, open to the public 9:00am to 5:00pm, tuesday - saturday, and 1:00pm to 5:00pm on sunday		
Independent Reading Counseling Services Inc	http://		EIN 20-1099075	5529 Ashwood Dr	Anniston	AL	36206	USA						Education, Educational Services	
Christian Mission Center Incorporated Of Enterprise	http://christmissions.org	(334) 393-2607	EIN 63-0941142	231 Geneva Hwy	Enterprise	AL	36330	USA	The goal of the christian mission centers, inc. Is to express christ's love by meeting the spiritual, physical, and emotional needs of his people.				To provide food and shelter to the homeless through support from the community on mission and building projects.   this mission operates bargain center stores that distribute donated items to the poor and homeless.		
Beta Beta Beta Biological Society	http://www.tri-beta.org		EIN 22-3399453	Po Box 5079	Florence	AL	35632	USA	BBBBS functions as an honor and professional society for students of the biological sciences.				Beta Beta Beta produces the quarterly journal BIOS, supports regional and national conventions, provides service to 410 affiliates supplying materials and responding to inquiries, and assisting in establishing new chapters.	Biological & Life Sciences, Education, Scholarships, Scholarships & Student Financial Aid	
Cahaba Girls Scout Council Endowment Tr Fund 407193170	http://		EIN 63-1126104	PO Box 2886	Mobile	AL	36652	USA	RECEIVE, MANAGE & DISTRIBUTE FUNDS FOR USE OF CAHABA GIRL SCOUT COUNCIL FOR CHARITABLE, EDUCATIONAL, & SCIENTIFIC PURPOSES.					Children & Youth, Girl Scouts of the U.S.A.	
BROKEBUTNOTFORLONG INC	http://		EIN 26-4697775	PO Box 622	Bay Minette	AL	36507	USA	BrokeButNotForLong, Inc., is a charitable 501(c)(3) nonprofit organization that assists the unemployed find jobs, training, networking opportunities, mental health information, and financial resources via our Web site, blog, and twitter account. We advocate for employers to use the various tax incentives on hiring and to adopt universal design procedures to be inclusive of handicapped workers. In addition, we provide technical support to job seekers and workforce development agencies, especially for workers with disabilities, veteran status, rehabilitated offenders, and displaced workers. This support includes online mentoring, demonstrations on how to use social media as a career tool, motivational speaking, and workforce Web site development.	Unemployed veterans, persons with disabilities, displaced workers, ex offenders, and all others	45	USA		Job Training, Vocational Rehabilitation	
South Alabama Equine Rescue & Rehabilitation	http://		EIN 45-2080378	1300 Panola Rd	Lapine	AL	36046	USA						Animal Protection & Welfare, Animals	
Gospel Assembly Church	http://		EIN 63-6049716	Po Box 249	Springville	AL	35146	USA							
Owens Volunteer Fire Department Inc	http://	(256) 233-5306	EIN 63-0913188	17198 Blackburn Rd	Athens	AL	35611	USA	To provide emergency medical and fire protection for the community and surrounding communities when necessary.				Owens volunteer fire department, inc. Serves approximately 2,700 families in an area of approximately 78 square miles.		
Independence Church Of God In Christ Inc	http://		EIN 63-0873864	7248 4th St	Mobile	AL	36608	USA							
United States Corps Of Chaplains	http://		EIN 20-1203753	Po Box 390	Clanton	AL	35046	USA						Emergency Assistance	
River Church Inc	http://		EIN 63-1199100	6614 Highway 69 S	Tuscaloosa	AL	35405	USA						Protestant, Religion	
Alzheimer's-Autism Outreach Group	http://www.alzheimersoutreach.com/	334-419-3610	EIN 46-3469491	2185 1/2 Broad Street	Selma	AL	36701	USA	Alzheimer's-Autism Outreach Group has been organized to help with creating a network throughout the state of Alabama, providing GPS bracelets or wrist transmitters to all qualified dementia patients at little or no cost.	qualified dimentia and autistic patients	numerous patients and their families.	Alabama	research and locator wristbands free of charge for anyone afflicted.	Alzheimers Disease, Autism, Disabilities, Health	
Heritage Training And Career Center	http://	(334) 260-6161	EIN 20-5984290	2249 Cong W L Dickinson Dr	Montgomery	AL	36109	USA	To provide education opportunities				Provided participants with job training and placed them into jobs	Education, Educational Services	
Southern Association For Family Practice	http://		EIN 58-2077416	35 Lakeshore Drive	Birmingham	AL	35209	USA						Family Services, Human Services	
Greater Birmingham Ministries Inc	http://www.gbm.org		EIN 63-0577439	2304 12th Ave N	Birmingham	AL	35234	USA	Greater Birmingham Ministries strives to serve God's purpose of justice and peace by assuaging the wounds of the community and struggling in community to realize more just systems and more faithful relationships.					Civil Rights, Civil Rights, Social Action & Advocacy, Interfaith Coalitions, Public & Societal Benefit, Religion	
Rise Up Ministries Inc	http://		EIN 20-5966185	5360 Clay Palmerdale Rd	Pinson	AL	35126	USA						Education, Educational Services	
Ashland Housing Development Corporation	https://www.ashlandhdc.com	256-354-2661	EIN 63-0958088	128 1ST St N	Ashland	AL	36251	USA	The AHDC was established in 1987 as a local registered 501(c)(3) organization with a mission to provide decent, safe, sanitary affordable housing, and cultural, educational, and economic opportunities to low-income families and individuals. The AHDC also serves the entire community by providing opportunities to all, regardless of economic status. AHDC is continually working to assist our local government and community programs.	meet low-income housing needs, and provide economic and social opportunities for all local residents.	7 local programs, positively impacting over 400 young people and an estimated 75 adults, and provided assisted affordable housing to 422 individuals in 254 households.	Clay County AL	HUD Public Housing, Section 8 New Construction management, Farmers Home 515 (elderly) housing management. We also provide job training/readiness programs, employment opportunities, Farm-To-Fork gardening training/opportunities, Eat Your Way To Better Health, Workforce Preparedness, and other opportunities for anyone interested.	Homeless & Housing, Housing Development, Construction & Management	The AHDC is very successful in the area of affordable housing, and has quietly served our community, helping support programs such as the Youth Sports Program, Clay County Arts Leagues Summer Arts Camp, Ashland City Librarys Summer Reading Program, and many others. The AHDCs latest project is the Ashland Community Garden.  	We have become increasingly aware of the lack of opportunities for our residents to participate in gardening. Most elderly residents were once farm owners and/or avid gardeners & growers, while our younger generation residents have never had the opportunity to learn, or a place to plant. There are few programs for them to participate in anything other than school or city league sports; both provide valuable team skills, but little beneficial technical skills. We also see the good and bad effect that technology is having on all generations; it does provide some valuable skills, but is often a distraction (video games, smart phones, tablets, etc.). A community garden project is an excellent way for all generations to become more self-sufficient. Technology is great, but we cannot eat it. If technology disappeared, we can survive from the garden. Our older residents are excited about working with the younger ones to share the knowledge and skills necessary for gardening to become a valuable and rewarding experience. We will be teaching youth how fun it is to produce something that can go directly to the table, and be a great benefit to their familys health and economics.   Future projects will focus on job/skills training programs, and homeownership opportunities.
The Freestyle Percussion Foundation, Inc.	http://		EIN 20-3942518	P O Box 110574	Birmingham	AL	35211	USA	The Freestyle Percussion Foundation, founded in 2003, was established to give the youth a chance to better themselves musically. With the music programs in many of our elementary and middle schools slowly fading away, Freestyle will help keep the arts alive and keep music ringing in the lives of our young people.					Arts & Culture, Music	
Cansurvive Gyn Cancer Support Group	http://www.cansurvivesupportgroup.org	205-934-7509	EIN 20-2653638	P. O. Box 26207 c/o Brenda Lamb, Secretary	Birmingham	AL	35260-0207	USA	To provide emotional, educational, and spiritual support for women with gynecologic cancer and for those who love and care for them. and to raise awareness of the signs and symptoms and prevention of these cancers	Women of all ages		Primarily the greater Birmingham area, although we communicate with many patients from all over Alabama and adjoining states who are treated in Birmingham	The CanSurvive GYN Cancer Support Group:  - provides 2 support group meetings per month.  We share, have speakers on relevant topics, or do a fun activity which allows us to interact with one another during the activity.   It is so important for patients to be around others who have walked in their shoes.  - sends cards, flowers, and/or balloons to patients who are having a tough time;  - talks one to one with people about GYN cancers at awareness events in September and throughout the year such as the Southern Women's Show;  - provides some gas and gift cards for patients that are distributed by a social worker, clinical care coordinator, or directly by us;  - helps with some personal needs (e.g., gowns, incontinence supplies, toiletries for an unexpected hospitalization, etc.);   - provides e-mail/website communications about our activities, speaker notes from meetings, local ovarian cancer foundation events, and research news;  - screens and order educational and emotional support literature for patients;  - and, can provide assistance to send members to meetings such as the Ovarian Cancer National Alliance annual meeting.	Health, Patient & Family Support	We continued having 2 meetings per month this year, which provided educational and personal support.  E-mail and website communications (and phone calls) help others who cannot attend meetings feel connected to the support group.  We put together 230 bags for patients receiving treatment.  These are distributed in late November through early January.  Some of the items in the bags were lip balm, hand sanitizer, toiletries, toothbrush and toothpaste, magazines, pens, tissue, candy, and a handwritten note of encouragement.  We joined with a local ovarian cancer foundation for a stand-up comedy fundraiser.  Many patients were able to attend at no cost.  We sent flowers, cards, and balloons to uplift patients.  We called many newly diagnosed patients.  For awareness:  We lit the Alabama State Capitol in teal (the GYN cancer ribbon color) on September 4th.  The lighting ceremony featured patient, physician, advocacy, pastoral, and family speakers; Alabamas First Lady Dianne Bentley proclaiming the day as GYN Cancer Awareness Day in Alabama; and, a band whose family members had been affected by these cancers.  We filled a 56 passenger bus with people from greater Birmingham and Huntsville for the trip.  Other people from around the state joined us at the ceremony.  We designed a tee shirt for this event and partially underwrote the cost of the trip.  We manned an awareness table at several local events and at the four days of the Southern Womens Show.   It was not unusual for us to talk to women who needed to follow up with their gynecologist.                   Our Moore LIfe to LIve Golf Tournament in April 2013 distributed grants to 4 patients.
Child Protect Inc	http://www.childprotect.com	(334) 262-1220	EIN 63-1014993	935 S Perry St	Montgomery	AL	36104	USA					Child protect, inc. Provides a neutral, non-threatening site for investigative interviews of abused children conducted by appropriate officials and agencies.	Administration of Justice, Crime & Law	
National Association For The Advancement Of Colored People	http://		EIN 63-6062507	Po Box 683	Dothan	AL	36302	USA							
Dig Deep Give Well Inc	http://www.digdeepgivewell.org	(251) 391-1846	EIN 27-1642088	Po Box 1820	Fairhope	AL	36533	USA	To provide potable water sources through installation of water wells to various remote locations in africa.				Trip to africa for installation of well. Well completed.	International, International Development	
Birmingham Landmarks Inc	http://www.alabamatheatre.com	(205) 252-2262	EIN 63-0958984	1817 3rd Ave N	Birmingham	AL	35203	USA	The organization provides use of the historic alabama theatre for plays, live performances, classic movies, dance recitals, weddings, graduations and parties to students and the general public. The organization is also continuing to restore the alabama theatre, as well as the lyric theatre, located in birmingham, alabama.				The organization provides use of the historic alabama theatre for plays, live performances, classic movies, dance recitals, weddings, graduations and parties to students and the general public. The organization is also continuing to restore the alabama theatre, as well as the lyric theatre, located in birmingham, alabama.	Arts & Culture, Historical Societies & Historic Preservation	
Community Husk Corporation	http://		EIN 33-0801096	3536 Le Bron Rd	Montgomery	AL	36111	USA						Children & Youth, Children & Youth Services	
Alabama Citizens For Life	http://		EIN 63-0740521	Po Box 184	Montgomery	AL	36101	USA							
Magic City Blues Society Inc	http://		EIN 63-1095504	Po Box 59506	Birmingham	AL	35259	USA							
Huffman Community Development Corporation	http://		EIN 57-1177529	1600 English Knoll Ln	Birmingham	AL	35235	USA						Human Service Organizations	
Fight 4 Life Fitness Boxing Minitries	http://www.fight4lifeministry.com	(205) 567-5727	EIN 84-1651197	Po Box 362222	Birmingham	AL	35236	USA	Fight 4 life is a faith based youth program provider; serving at risk youth of all nationalities with programs such as: tutorial for homework and after school instruction with the use of a computer lab, which is a vital service for many families without the ability to own a computer. While also servicing the parents to seek and file online application, anger management through physical fitness and boxing programs and tournaments. Students grades improving 90% ranging from k-12. Served approximately 139 children in 2014 an increase of 4 teens more than from last year's 2013, total of 135.				Fitness and boxing ministry- fight 4life uses the art of olympic-style boxing in the fitness and boxing program to teach self-discipline, self-confidence and anger management, (how to control anger emotions and not allow anger to control them). This program has proven to be instrumental in the way children and teens handle situations since becoming participants of the fitness and boxing ministry program. The fitness and boxing ministry program served 100% of the 139 children, teens and adults in 2014 and anticipate a 5% increase of new participants in 2015.   achievement: fight 4life is devoted to providing programs that will concentrate on academic, spiritual and social growth, health and fitness; reduction of school drop-outs, substance abuse, tobacco use, alcohol, and drugs among children and teens between the ages of 9 to 18 years of age. Nominated for the 2010 children's advocate award and recognized for its service to families and communities served by childcare resources" on march 30, 2010. July 24, 2010 received the dedication and excellence award from rt. Reverend dr. Williams wilson of the southern fellowship ministry and dr. Susan winchester, f. A. C. S. , birmingham breast care. In 2012 the fight 4life ministry boxing program was recognized for its work with teens at high risk of incarceration, the fitness and boxing ministry is now an alternative services for boot camp. Out of five teens referred to the ministry all completed the service and now seeks to live productive lives. In 2013 fight 4life, volunteers and staff was recognized and received, "certificate of exceptional community service. " in 2014 the ministry has received families from family services and local school systems as alternative to "boot camp".	Alliances & Advocacy, Amateur Sports Competitions, Arts & Culture, Crime & Law, Mental Health, Sports	
Humane Society Of Barbour County	http://		EIN 63-1125060	Po Box 1556	Eufaula	AL	36072	USA	A animal shelter				Animal shelter	Animal Protection & Welfare, Animals	
Vaughan Place Senior Living Community Inc	http://	(334) 872-3303	EIN 63-0872232	200 Vaughn Way Ste B	Selma	AL	36701	USA	It is the mission of vaughan place senior living community to provide, with consideration of the communities needs and expectations, health education and health related services focused on improving the quality of life for the citizens of dallas county.				Vaughan place senior living community, inc. (vpslc) provides quality assisted living care regardless of race, creed, sex, national origin, handicap, age, or ability to pay. Although reimbursement for services rendered is critical to the operation and stability of vpslc, it is recognized that not all individuals possess the ability to purchase essential medical services, and further, that our mission is to serve the community with respect to providing healthcare services and education. Therefore, in keeping with the organization's commitment to serve all members of its community free care and/or subsidized care, care provided to persons covered by governmental programs below cost, and health activities and programs to support the community will be considered where the need and/or individual's inability to pay co-exists.		
The Zora Ellis Scholarship Fund Inc	http://		EIN 63-0915192	216 South St E	Talladega	AL	35160	USA							
Webster Christian School Inc	http://		EIN 63-1114704	Po Box 530703	Birmingham	AL	35253	USA	CHRISTIAN EDUCATION						
Hummer-Bird Study Group Inc	http://		EIN 63-1106844	7570 Mack Hicks Rd	Trussville	AL	35173	USA						Environment, Natural Resources Conservation & Protection	
Alabama Usa Youth Enhancement Alumni	http://		EIN 11-3783391	588 W Reynolds St	Ozark	AL	36360	USA						Basketball, Sports	
The Cooperative Downtown Ministries, Inc.	http://www.firehouseshelter.com		EIN 63-0884164	1501 Third Ave North PO Box 11722	Birmingham	AL	35202	USA	The Cooperative Downtown Ministries opened The Old Firehouse Shelter on December 21, 1983 to minister to homeless men.  The shelter is located in the historic Fire Station #6 of the Birmingham Fire Department on 15th Street and 3rd Avenue North.  When the need for housing the homeless in the downtown area reached the crisis stage, the Greater Birmingham Ministries formed a Shelter Work Group.  With the cooperation of the city and the Housing Authority of the Birmingham District, the vacant fire station was made available.  From this Shelter Work Group, the Cooperative Downtown Ministries (CDM), a not-for-profit organization, was formed in May 1984.  CDM, a coalition of churches representing eleven denominations, acts as the administrative body for The Old Firehouse Shelter.					Congregate Meals, Food, Homeless & Housing, Homeless Shelters, Mental Health, Neighborhood Centers, Substance Abuse Treatment	
Alabama Pug Rescue And Adoption Inc	http://www.alabamapugrescue.org		EIN 63-1244207	Po Box 997	Jemison	AL	35085	USA	Alabama Pug Rescue and Adoption, Inc.''s mission remains to rescue for the life of the dog.  Any dog placed through this organization is followed throughout their life to assure their well-being.  Education about the breed is a key effort in order to assure "forever" placements.  APRA does outreach education to promote spay/neuter and responsible pet ownership.				Alabama Pug Rescue and Adoption, Inc. is an all-volunteer organization dedicated to education about responsible pet ownership and the need to spay/neuter.  APRA volunteers appear at public events to promote rescue and adoption of healthy and special needs dogs. Fundraising events such as garage and bake sales, T-shirt sales and an annual picnic are planned yearly to aid in the enormous veterinary expenses and the care of the dogs.   Alabama Pug Rescue and Adoption supports the rescue of all animals, and promotes the team approach in the rescue of all breeds. In our commitment to rescue, we offer assistance with other breeds as space and circumstances allow.	Animal Protection & Welfare, Animals	
The Stillman Foundation	http://		EIN 63-0927516	3601 Stillman Blvd	Tuscaloosa	AL	35401	USA							
West Alabama Affordable Housing Corporation	http://	(205) 759-5781	EIN 63-1174691	Po Box 20169	Tuscaloosa	AL	35402	USA	To provide decent, safe, and affordable housing to very low, low, and moderate income residents in northport, alabama.				To provide decent, safe, and affordable housing to very low, low, and moderate income residents in northport, alabama.	Homeless & Housing, Housing Development, Construction & Management	
Better Basics, Inc.	http://www.betterbasics.org	(205) 944-2928	EIN 63-1106040	211 Summit Parkway Suite 108	Birmingham	AL	35209	USA	Better Basics, Inc. is a 501(c)(3) non-profit corporation whose mission is to advance literacy by providing reading intervention and enrichment in high-need schools.	children become better readers		Alabama	Reading Intervention, MORE (Motivators of Reading Enrichment, Ready 2 Read/Wise Words, Schoolwide Enrichment, Birmingham Reads, Summer Camp, and 21st Century HOPE Community Learning Centers.	Children & Youth, Education, Literacy, Parent & Teacher Groups, Remedial Reading & Encouragement, Youth Development	
Perkins Place Inc	http://	(256) 734-6171	EIN 72-1350276	Po Box 2186	Cullman	AL	35056	USA					To provide affordable housing to mentally ill and impaired adults	Homeless & Housing, Housing Support	
Alabama Society For Crippled Children And Adults, Inc. Morgan County	http://		EIN 63-6053075	2218 Westbury Ct Sw	Decatur	AL	35603	USA							
Educo Inc	http://		EIN 63-0905892	2135 College St	Montgomery	AL	36106	USA						Child Day Care, Children & Youth	
Spiritual Assembly Of The Bahais Of Hoover	http://		EIN 91-1860119	3557 Brookfield Rd	Birmingham	AL	35226	USA							
Association For Childhood Education International Samford University Branch	http://		EIN 63-6050244	Samford University	Birmingham	AL	35229	USA							
American Charities Foundation Inc	http://		EIN 72-1376095	310 18TH St N Ste 400C	Birmingham	AL	35203	USA						Human Service Organizations, Human Services	
Babywearing International Inc	http://		EIN 26-2927275	Po Box 187	Pell City	AL	35125	USA						Family Services	
Diamond Federated Club Inc	http://		EIN 45-4197101	1038 Eastern Manor Dr	Birmingham	AL	35215	USA						Children & Youth, Youth Development Programs	
New Life Christian Center Inc	http://		EIN 63-1065340	Po Box 1562	Alex City	AL	35011	USA							
Ozark-Dale County Humane Society	http://www.odchspets.petfinder.com	(334) 774-7387	EIN 47-0946146	Po Box 2502	Ozark	AL	36361	USA	Rescue, rehabilitation and adoption of homeless animals				Rescued animals scheduled for euthanasia by local municipal kill facility and animals abandoned or strayed. Rescued animals are housed, fed, socialized, treated medically and placed for adoption  rescued animals scheduled for euthanasia by local municipal kill facility and animals abandoned or strayed. Rescued animals are housed, fed, socialized, treated medically and placed for adoption	Animal Protection & Welfare, Animals	
National Society Of The Daughters Of The American Revolution	http://www.dar.org		EIN 63-6050843	1308 Westbury Dr	Mobile	AL	36609	USA	The objectives of the National Society Daughters of the American Revolution are historic preservation, promotion of education and patriotic endeavor.					Arts & Culture, Education, Historical Organizations, History Museums, Libraries	
Sunshine Golden Retriever Rescue Corp	http://		EIN 26-3581659	5430 Battles Wharf Dr	Fairhope	AL	36532	USA	We work to save homeless golden retrievers from shelters, municipal pounds, and dogs turned in to us directly by owners who can no longer care for them. We do our best to assess each dog's medical needs, temperament, behavior, habits and exercise needs. Each dog receives any necessary vet care including all vaccinations and is spayed/neutered (if old enough) before adoption. We then carefully select homes based on the needs of each individual golden.				To save homeless golden retrievers from shelters, municipal pounds, and dogs turned in directly by owners who can no longer care for them. During 2014 the organization was able to place over 100 dogs in good homes.	Animal Protection & Welfare, Animals	
Land Trust of North Alabama	http://www.LandTrustNAL.org	(256) 534-5263	EIN 63-0974278	2707 Artie St SW Ste 6	Huntsville	AL	35805	USA	Since 1987 The Land Trust of Huntsville and North Alabama has preserved over 2700 acres of land.  Protected areas that are enjoyed today will be available for generations to come.				During fy2014, the land trust of north alabama (ltna) continued programs in furtherance of our mission to protect and preserve land and its legacies. . . For conservation, public recreation, and environmental education. The ltna provided a wide range of environmental education opportunities through field trips and outdoor excursions on several of our preserved properties. Our five nature preserves were maintained and open to the general public for recreational pursuits, including hiking, biking, wildlife viewing, photography, picnicking, bird watching, and fishing. Also, a series of educational and recreational hikes were hosted throughout the year. We continued to add to our preserved land holdings through an acquisition in the north eastern portion of madison county. And, the ltna raised public awareness of our mission and importance of land preservation through our concert series held at a unique outdoor venue called three caves. Not only do our events held here bring great artists to the community, but also allows us to share our message to a whole new audience of potential preservation advocates.	Animals, Bird Sanctuaries, Environment, Land Resources Conservation, Water, Water Resources, Wetlands Conservation & Management, Wildlife Sanctuaries	
