name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year
Girls Incorporated of Greater Indianapolis	http://www.girlsincindy.org	317-283-0086	EIN 35-1337205	3935 N. Meridian St.	Indianapolis	IN	46208	USA	Children & Youth, Girls Clubs	Inspiring all girls to be strong, smart, and bold (SM)	Marion County, Hamilton County, Boone County, Hendricks County	Girls inc. Of greater indianapolis serves girls through outreach collaborations with community partners including schools, community centers, and other youth-serving organizations. Most programs consist of four to six sessions, each one-hour in length. During strong, healthy relationship programs, girls build tools for communicating with others and for managing anger or hurt feelings. In smart, college and career planning programs, girls explore nontraditional careers, while developing critical skills, such as budgeting and saving, which are required to plan for higher education and to become self-sufficient. During bold empowered girls programs, girls are empowered to resist gender stereotypes and negative messages they encounter in the media, in addition to equipping girls with skills to keep themselves safe. During 2014, the organization delivered 433 programs and served 3,880 unduplicated girls through 7,462 program enrollments. The organization had 96 program partners and almost 80 of those are neighborhood schools and the rest are other community organizations. Girls inc. Of greater indianapolis is the third largest affiliate in our national organization based on number of girls served. We have been in the top three for the past four years and were the largest affiliate based on number of girls served in 2011.   girls inc. Of greater indianapolis' summer program is designed to address the needs of girls ages 6-14. For summer camp, girls are divided into three age groups. Our summer camp consists of four themed sessions totaling four weeks. All programs are educational and interactive. During "strong girls," participants develop skills for building healthy relationships with their peers and practice healthy lifestyle activities. During "smart girls" girls engage in activities that increase their financial literacy while encouraging them to learn about, consider, and plan for nontraditional careers. Girls are also challenged to develop their own definitions of beauty. In the "bold girls" sessions girls examine images that are presented in the media and learn to challenge gender stereotypes. Throughout the entire camp, girls are encouraged to prepare for future educational and career success. In 2014, the organization served 92 unduplicated girls with summer camp programming and 418 with summer outreach programming.   a new program, young women in leadership (ywil) started in the fall of 2014 with an initial class of 14 girls. This program recognizes girls in grades 9-12 who have demonstarted exemplary leadership qualities. Using traditional and digital materials, ywil will invite girls to develop life skills that help promote college access and career success while stregthening peer bonds. Participating in ywil will inspire girls to pursue higher education and provide them with the skills to succeed in attaining a degree. Ultimately, these girls will have the tools to develop financial independence.			
Psalm 23 House	http://		EIN 27-5006850	Po Box 24484	Indianapolis	IN	46224	USA							
Candles Inc	http://		EIN 31-1097973	1532 S 3rd St	Terre Haute	IN	47802	USA							
Aurora Inc	http://www.auroraevansville.org		EIN 35-1759576	Po Box 74	Evansville	IN	47701	USA	Homeless & Housing, Homeless Centers	We believe that homelessness is a community issue that is primarily the result of social and economic influences that are community issues. We further believe that all members of the community should have access to clean, safe, and secure housing at affordable costs. Having these beliefs, we exist to end homelessness in our community. We carry our our mission by providing direct services, promote homeless prevention, educate the community, facilitate collaborative community activities to address the problems of homelessness and poverty and advocate for the social and economic changes necessary to make ending homelessness a reality.		Advocacy and Education- Aurora, Inc. has consistently taken a role of leadership in advocating for homeless and near-homeless persons, and educating the community about the needs and opportunities available to address the conditions which contribute to homelessness and poverty. Homeless Outreach's- Homeless Outreach Team provides an energetic outreach, assessment, and case management program which enables us to further coordinate and collaborate in the services provided to homeless persons. Homeless Survey - As an education and advocacy agency, Aurora, Inc. conducts and publishes the only year-long survey documenting the degree and impact of homelessness in the community of Evansville; it is published every three years.Tenant Education - Aurora, Inc. provides tenant education classes designed to increase abilities of participants to avoid eviction and prevent homelessness. National Homeless Memorial Day- In conjunction with the National Coalition for the Homeless, Aurora, Inc. sponsors Evansville's public memorial service to commemorate those individuals who have died homeless. Destination Home: A Ten Year jouney to end homelessness in Evansville and Vanderburgh County - Aurora serves as the Resources Coordinator and lead agency for plan implementation.			
White County Food Pantry Inc	http://	(574) 583-2232	EIN 35-1564056	Po Box 323	Monticello	IN	47960	USA		Purchase food distribute to needy families		Average 571 families served per month. Average 2,036 people served per month. Distributed an average of 37,480 pounds of food per month.			
Light Of The World Christian Church	http://		EIN 35-1835508	5224 Yorkshire Dr	Fort Wayne	IN	46806	USA							
Parkview Health	http://www.parkview.com	(260) 373-7092  	EIN 35-1972384	10501 Corporate Drive	Fort Wayne	IN	46845	USA	Community Health Systems, Health	Parkview Health will provide quality health services to all who entrust their care to us and we will work to improve the health of our communities.	Northeast Indiana, Northwest Ohio	Cancer, heart, ortho, ER, trauma, women's & children's, behavioral health, home health & hospice, Parkview Physicians Group, Samaritan flight program, Community Health Improvement			
World Gospel Mission	http://www.wgm.org		EIN 35-0911947	Po Box 948	Marion	IN	46952	USA	Christianity, Religion, Religion-Related, Religious Media & Communications	Serving God in holiness and righteousness, World Gospel Mission connects in ministry with churches worldwide to make disciples of Jesus Christ among all nations.  World Gospel Mission will minister through preaching, teaching and healing ministries.  World Gospel Mission will assist in forming culturally relevant congregations comprised of maturing disciples of Jesus Christ who will evangelize and reproduce themselves within their own cultures and across cultural boundaries (2 Timothy 2:2) and call believers to the deeper work of God in the human heart of being cleansed from all sin and filled with the Holy Spirit by faith (1 Thessalonians 4:3).					
Women For Change Coaching Community	http://women4changecc.org	317-815-4647	EIN 45-3232096	P.O. Box 851	Carmel	IN	46082	USA	Human Services, Personal Social Services	To bring together a community of support to make coaching accessible for all women who are seeking positive change in their lives.	Nationwide	W4C3 was founded to reach out to women who may have not had access to coaching services and are ready to work with a coach to affect positive change in their lives. Women who have an annual household adjusted gross income of $40,000 or less are eligible to submit an application.  The core of the W4C3 program is the one-on-one coaching partnership. The coach and client commit to a round of 12 coaching sessions, which are delivered via phone or Skype.		Women 18 years old + with AGI under $40,000	
TRUSTED MENTORS INC	http://www.trustedmentors.org	(317) 985-5041	EIN 26-2661971	1035 S New Jersey St	Indianapolis	IN	46225	USA	Adult & Child Matching Programs, Children & Youth, Personal Social Services	Trusted mentors uses the power of mentoring to provide volunteer mentors to adults at risk of homelessness, including other populations at risk of becoming homeless; low wage earners, ex-offenders, and young adults aging out of foster care.		In 2013, trusted mentors supported 116 mentoring relationships, maintained 93% in keeping mentees housed, and of those in the re entry track, 90% remained out of prison.			
Tara Treatment Center Inc	http://www.taratreatmentcenter.org	800-397-9978	EIN 35-1634215	6231 S US Hwy. 31	Franklin	IN	46131	USA	Mental Health, Substance Abuse Treatment	To provide quality care to individual and families affected by alcoholism, and/or drug addiction by promoting lifelong continued recovery.	Indiana and Midwest	Detoxification, Long-Term Residential Treatment, Transitional Supportive Housing, Life-Skills Training, Family Counseling, and Intensive Outpatient Counseling & Education		men and women with a desire to recover fromalcoholism and drug addicion	More than 300 men and women seeking recovery from alcohol and drug addiction .
Decatur Little League Decatur Baseball	http://www.littleleague.org/		EIN 35-2121818	Po Box 951	Decatur	IN	46733	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports	To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.					
SWEET PEA FOUNDATION INC	http://www.sweetpeafoundation.org	574-383-9043	EIN 11-3688920	P.O. Box 1293	Elkhart	IN	46515	USA	Community Foundations, Philanthropy	The Sweet Pea Foundation, a not-for-profit foundation established in the memory of Grace Elizabeth Letherman, supports organizations and charities that help sick children and their families.			 Over 10,000 toys and 1,000 books have been purchased and delivered to hospitals caring for NICU and pediatric patients.   The Sweet Pea Foundation makes an annual contribution to the Ronald McDonald House of Indiana that allows a family to stay in a room each night throughout the year free of charge. To date, the Foundation has donated over $21,000.   The Foundation has given over 465 "Hugs from Grace" (holiday and birthday-themed party bags) to children in the hospitals.   An endowment has been established to provide parents with massage therapy treatments when a child is receiving care at Memorial Children's Hospital in South Bend, Indiana.   Several murals have been commissioned and painted at St. Joseph Regional Medical Center in Mishawaka, Indiana and A Rosie Place in South Bend, Indiana.   Over 950 lbs of pop can tabs have been collected and recycled for Ronald McDonald House Charities.   The Foundation has mailed more than 55 "Grace-E-Gram" care packages to children being treated at hospitals across the country.   The Sweet Pea Foundation was established in May of 2003 in memory of Grace Elizabeth Letherman (a.k.a. Sweet Pea).		
Griffin Ambitions Ltd.	http://www.griffinambitions.org	573-539-6414	EIN 81-1945532	402 N CALVERT ST c/o GriffinLink 211 S Albany St #187, Selma, IN 47383	MUNCIE	IN	47303	USA	Mental Health, Mental Health Associations, Mental Health Disorders	We are a trusted ally in the conversation about mental illness and openly collaborate with other mental health professionals, academics, resources and advocates to grow this consequential movement.	From Central Indiana to College Universities and Campuses Advocating for Mental Health Access			College Universities and Campuses Advocating for Mental Health Access	
Virtual Scavenges Project Inc	http://www.vscavengers.org		EIN 35-2145187	754 N Sherman Dr Ste 216	Indianapolis	IN	46201	USA	Centers to Support the Independence of Specific Populations, Environment, Human Service Organizations, Job Training, Recycling	The Virtual Scavengers Project protects the environment, closes the technology gap and builds community through workforce development by collecting refurbishing and giving away used computers.  In the process of doing this we offer free PC Tech training to unemployed, disabled and economically disadvantage inner-city residents.					
Cancer Services of Northeast Indiana	http://www.cancer-services.org	260-484-9560	EIN 35-0965609	6316 Mutual Drive	Fort Wayne	IN	46825	USA	Cancer	The mission of Cancer Services of Northeast Indiana is to provide resources, education, and support to individuals diagnosed with cancer, to their families, and to the community.	Counties: Allen, Adams, DeKalb, Huntington, Kosciusko, LaGrange, Noble, Steuben, Wabash, Wells, Whitley				
Junior League Of Fort Wayne Inc	http://www.jlfw.org	(260) 387-5592	EIN 35-0864748	1010 Memorial Way Ste 104	Fort Wayne	IN	46805	USA	Women, Womens Service Clubs	The league is a not-for-profit organization, affiliated with the national junior league, that conducts fund raising activities through its members for the benefit of various community service projects in the fort wayne, indiana area.		Special events/fundraisers for various league projects.			
Birth To Five Inc	http://mybirthtofive.org	(765) 966-6080	EIN 35-1843800	498 Nw 18th St	Richmond	IN	47374	USA	Family Services, Human Service Organizations, Human Services	Support and education of parents in wayne county, indiana to foster early childhood development.		Parents as teachers program: 775 home visits; 1,018 children in play groups; 467 children in group events such as book buddies literacy groups and happiest baby on the block 12 mothers; 92 developmental screenings; 529 family referrals to community resources  healthy families program: 68 assessments; 1,548 home visits; 257 developmental screenings; 609 referrals to community resources.			
Horse Shoe Equine Rescue, Inc.	http://facebook.com/HorseShoeEquineRescue	812-841-6916	EIN 90-0770126	7337 E. Devonald Ave.	Terre Haute	IN	47805	USA		I would like to tell you a little about our rescue. We are a 501 3 horse and livestock rescue in the north end of Terre Haute, In. We have been up and running for 3 years now. We take in equines and other livestock that has been seized by animal control or beloved pets that are victims of current economic crisis also equines that are set to go to slaughter. We want to prevent cruelty and starvation to horses, donkeys and livestock. We us the Henneke body condition scoring chart to rate the ideal body condition. This is used by many veterinarians. We have 3 mini donkeys, jennies, 5 mini horses and 2 goats that live here at the rescue. We take them to day cares, schools and nursing homes to teach people about the care animals need also to let people know what we do at the rescue. We also do open house every weekend during warm weather to let the kids and public visit our rescue and interact with the animals. We have special need adults from  	 C.A.R.S. and Community Connection. They come out once a month to work with the minis. My husband and I run the rescue with all volunteers we have no paid employees.	Indiana	Therapy.minis, helping animal control or state with seizes of horses and livestock.To teach public how to care for their animals. Also give special need adults a place to volunteer with animals also let them feel like they are giving back to the community		horses and livestock	38 animals
Jesus For Jamaica Internationalincorporated	http://		EIN 20-8577750	2504 N County Road 800 E	Selma	IN	47383	USA							
Trinity School Of Natural Health Inc	http://trinityschool.org	(574) 267-2400	EIN 35-1843144	220 Parker St	Warsaw	IN	46580	USA	Education	Trinity school of natural health is an educational organization. Classes are offered in the areas of natural health foods and remedies.		Trinity school of natural health offers correspondence school classes and distance learning. Students are able to obtain various natural health degrees. During 2013, 7,096 courses were passed by students.   trinity school of natural health offers weekend seminars all over the country to both english and spanish students. Over 3,000 students attended in 2013. Many of these attended multiple times for a total of 5,320 seats filled in 2013.   trinity school of natural health provides information to current and previous students through periodic publications and expos. In 2013, the expos were attended by 4,459 people.			
Dekalb Community Impact Corporation Inc	http://www.dciconline.org		EIN 26-4203950	2301 N Main St	Auburn	IN	46706	USA	Community Recreational Centers, Human Services, Public & Societal Benefit, Sports	The DeKalb Community Impact Corporation is a faith-based organization whose mission is to encourage children, youth & families to develop their full potential spiritually, relationally, educationally, and physically. Core to our mission is to provide character-building programs that strengthen the individual and empower them to serve others.		Upward Basketball & Cheerleading offer a break from traditional sports programs. The primary focus of Upward is to develop the Winner in EVERY child. By keeping this goal in mind, we are able to build a league that promotes salvation, character & self-esteem in all who participate.			
BLOOMINGTON PETS ALIVE INC	http://www.petsaliveindiana.org	(812) 824-1349	EIN 36-4516780	6522 S Empire Rd	Bloomington	IN	47401	USA	Animals, Bird Sanctuaries	Pets alive provides the compassionate solution to end the unnecessary euthanasia of cats and dogs by offering affordable, high-quality spay/neuter services.		Provide veterinary services to animals. In 2014, 12,896 surgeries were performed and 2,937 in-house vaccinations for a total of 15,833 animals receiving clinic services. A. ) provided transportation for 9,671 in 2014 and 8,711 in 2013 animals in surrounding counties to the clinic for spay neuter services. B. ) provided in-house vaccinations and wellness clinic for 2,937 in 2014 and 2,465 in 2013 clients'pets. C. ) provided 3225 in 2014 and 3,020 in 2013 spay and neuter surgeries locally for the purpose of reducing unwanted pet population.			
Big Brothers-Big Sisters of East Central Indiana Inc	http://www.bbbsmuncie.org	(765) 284-4141	EIN 35-1276651	220 N Walnut St	Muncie	IN	47305	USA	Big Brothers & Big Sisters, Children & Youth	To provide one-to-one mentoring relationships to youth primarily from single parent homes, through the use of professional staff services and quality volunteers.  The focus is to reinforce positive attributes and strengthen a sense of self-worth at home, at school and in the community.		To match eligible children to an appropriate big brother- big sister volunteer and to supervise the relationship to ensure the childs needs are met.			
COACHING MISSION INTERNATIONAL INC	http://www.coachingmission.com		EIN 20-5567625	59900 County Road 21	Goshen	IN	46528	USA	Religion, Religion-Related	We multiply coaching for missions. We serve global missions by coaching mission leaders to greater effectiveness, mature character, multiplication of service and the fulfillment of their callings through cross cultural partnerships.We do this through providing coaching and coach training for Christian Missionaries.	6 continents	MCT - 2 year Professional Coach Training  Focos - 1 year Foundational Coaching Skills Training  Bridges - Coaching for Individuals  CMI has provided 21,000+ hours of coaching in 12+ languages on 6 continents since 2007.	CMI has provided 21,000+ hours of coaching in 12+ languages on 6 continents since 2007.	provide coaching and coach training for Christian Missionaries.	
Center of Wellness for Urban Women Inc	http://www.cwuwonline.org	317-520-CWUW 	EIN 20-4788681	6137 Crawfordsville Rd Ste F #235	Indianapolis	IN	46224	USA	Health, Public Health	CWUWempowers women and their living in urban communities to take action in their health and well-being through education, advocacy, prevention, and care.	Indianapolis, In	walking programs, community gardening, art therapy workshops,  and health education.		Primary: women, 18 and over; Secondary: families	
TOTES FOR TOTS AND TEENS PROJECT T3 INC	http://ProjectT3.com		EIN 27-0347942	260 N Coonhunters Rd	Batesville	IN	47006	USA	Children & Youth, Children & Youth Services		Southeastern Indiana	overnight bags with personal items and backpacks with school supplies.		children in foster care	over 3,500 children in Southeastern Indiana
Youth Resources Of Southwestern Indiana Inc	http://www.youth-resources.org	(812) 421-0030	EIN 35-1719143	4451 N 1st Ave	Evansville	IN	47710	USA	Children & Youth, Youth Development Programs	Our mission is to empower young people to take ownership of challenges they see in the community, devise action plans to address those issues, and implement service projects to improve life in the local community through their leadership. We strive to increase their awareness of others' needs and to encourage life-long civic responsibility.		Make a difference grants: the make a difference grant program awards grants for youth-led philanthropy projects in the tri-state community. The grants allow the area's youth to focus on real solutions to researched and identified problems in the community. Youth are involved in all aspects of the program. The youth apply for and write the grant application, they attend the information meetings once funding is awarded, and they complete paperwork involved with the grant. A committee made up of trained youth from the teen advisory council reviews the grants and makes the decisions on prioritizing which organizations will receive grants. The youth gain a variety of leadership skills during their projects which include: grant writing, budgeting, time management, planning, and team building.   teen advisory council: the teen advisory council is a service-based, youth-led mentoring program serving the region. These high school leaders meet every other friday morning at 5:55 am to identify youth problems, discuss solutions, plan outreach events, develop community service projects, and screen grant proposals for the make a difference grants. They also have the unique opportunity to interact with our community leaders such as mayor, members of the evansville city council, vanderburgh county commissioners, evsc school board, and warrick county school board. Furthermore, students have the oppportunity to interact with business executives, leaders of non-profit agencies, and other individuals dedicated to improving our community.   teenpower: in 1989, youth resources received a grant from the national crime prevention council to begin a two-year pilot called teens as resources against drugs. This program focused on youth planned and implemented anti-drug/alcohol preventive projects. A publication, given the opportunity, describes the result of this pilot. An outgrowth of teens as resources against drugs was the first youth resources teenpower leadership conference, held in 1992. The teenpower leadership development conferences provide drug prevention programming for teens in high school; and a middle school program was added in 2002. Participants attend as individuals or as a member of a team representing a school, church, or youth organization. During the conference, youth attend workshops, hear national speakers, form friendships with youth of diverse backgrounds, and plan prevention-based service projects. Teenpower has involved over 3,661 teens to date in activities that provide long-term peer support groups, strengthen intervention skills, increase alcohol, tobacco and drug prevention knowledge, and build self-esteem and leadership skills.   teen court: youth resources' vanderburgh county teen court is an early intervention/diversion program of the vanderburgh county juvenile justice system, offering first-time youth offenders (ages 10-17) the opportunity to "turn over a new leaf". Juvenile respondents go before a jury of their peers and are represented by peer advocates. The peer jury determines a restorative justice focused disposition, which ranges from community service to written apologies, and every respondent (8th grade and above) must serve at least once as a juror in a future case. The youth gain a valuable understanding of the judicial system and are given an opportunity to be positive influences on their peers.			
Lifenets International Inc	http://www.lifenets.org	(513) 843-7744	EIN 35-2083120	8435 Crown Point Rd	Indianapolis	IN	46278	USA	Agricultural Programs, Economic Development, Education, Food, International, International Development, International Economic Development, Microfinance, Student Sororities & Fraternities	Lifenets assists people in developing areas through medical, educational and self-help programs.		In malawi, lifenets has provided pharmaceuticals for jumpha clinic. Funding is also provided for 40 scholarships and a livelihood development program. In kenya we continue in providing our part in a joint effort for the johjan school in migori. See full report at www. Lifenets. Org/johjan. Lifenets also provides other developmental programs in kenya and malawi as discussed further in our third program statement.   usa projects - lifenets provides several projects in the us including the wheelchair project, a unique matching service for people with unneeded wheelchairs with those who cannot normally afford them. We provide an online database service where donations and requests are made. Additionally $5,600 of donated services were provided for this program. Web site http://www. Lifenetswheelchairproject. Org. In addition, lifenets provides various other support services in the united states including supporting the lifegaps charter school located in indiana.   in the countries of zambia, kenya and brazil we have maintained cattle development programs. In malawi we sunk three boreholes. In malawi we also are building a neonatal clinic and provided antibiotics, anti-malarials and other medicines. Scholarships have been provided for more than 30 students in the above countries plus south africa, zimbabwe, ukraine, armenia and several latin american countries. This program is our most effective as it provides life-long returns in giving beneficiaries opportunities for income producing careers.   vinogradov street children - we work with about 30 street children and orphans in vinogradov, ukraine providing them food and other items. We have also been providing a summer program for teaching english as a second language and a summer day camp. Additionally, we provide various other scholarships and programs for individuals in need in other parts of the world annually based on identified projects and other needs.			
Camptown, Inc.	http://www.camptown.net	(317) 471-8277	EIN 35-1823496	5341 W. 86th Street	Indianapolis	IN	46268	USA	Camps, Children & Youth, Recreation & Sports, Sports, Youth Development Programs	Camptowns mission is to challenge, mentor, and teach youth about life through outdoor adventure and nature programs that help build confidence, character, and hope.   We foster values such as sharing, caring, honesty, respect, and responsibility as we help youth adjust to and cope with their changing world. We lead youth to a better path through camping and adventure programs in the great outdoors.   Youth form ideas and attitudes through these direct experiences. In the wilderness, they learn skills such as leadership, teamwork, and conflict resolution. They develop an appreciation for the natural world. They place themselves in a beautiful environment that transcends the landscape of street and suburban life.		Camptown is an indianapolis based nonprofit organization dedicated to serving youthin central indiana through outdoor adventure and nature programs. Camptown partnerswith other youth serving organizations to provide custom programming to help enrichthe experience for the youth involved. These partnerships include schools, churches,community centers, home school groups, boys & girls clubs, and local probationoffices. Camptown works primarily with inner city at risk youth. In 2013, camptownserved 3,357 youth from 43 different youth organizations. Camptown providedfinancial assistance to 99% of program participants, with 91% qualifying for free or reduced lunches.			
Reins Of Life Inc	http://www.reinsoflife.org	(574) 232-0853	EIN 31-0945572	55200 Quince Rd	South Bend	IN	46619	USA		To improve the quality of life for		The organization provided approximately 3,791 hours of therapeutic horseback riding for 572 children and adults from an eight-county area of northern indiana and southern michigan, utilizing the efforts of over 300 volunteers. In addition, the organization collaborated with 49 social and service groups, schools and businesses.			
Lancaster Central Parent Teacher Org	http://		EIN 31-1149372	Po Box 254	Bluffton	IN	46714	USA	Education, Parent & Teacher Groups	To support education services of community youth at lancaster		Various programs designed to enrich educational experience for students and teachers at the public elementary school			
Hillcroft Services Inc	http://www.hillcroft.org	(765) 284-4166	EIN 35-1041919	114 E Streeter Ave	Muncie	IN	47303	USA	Developmentally Disabled Centers, Disabilities, Human Services	To provide innovative services and supports for people with disabilities and their families, resulting in extraordinary differences in people's lives.		Residential services - programs are designed to provide meaningful, necessary services and support to enable the client to become involved in the community where they live, develop relationships with people in the community, and to develop skills to increase independence. Programs also strive to provide a safe, suitable, and appropriate home for developmentally disabled individuals deemed eligible for services by bdds. This program served 175 clients during the 2014-2015 fiscal year.   client employment - programs are designed to provide employment opportunities to produce subcontracted work for businesses in east central indiana, assist clients in finding and keeping community jobs that match their skills through various levels of analysis and training, and train individuals to use computer programs and other technology for entry level employment. This program served 441 clients during the 2014-2015 fiscal year.   adult services - programs are designed to provide support to individuals with intellectual disabilities and mental health or behavioral issues, provide one-on-one and small group opportunities for individuals in life skill development, such as basic education, computer usage and recreation, and enhance the quality of life for individuals with developmental disabilities living in nursing facilities. This program served 926 clients during the 2014-2015 fiscal year.   children's services - programs are designed to provide intensive therapy, individualized academic instruction, and social skills training for children, ages 2 to 17 years, with autism spectrum disorders. This program served 40 clients during the 2014-2015 fiscal year.			
Sisters Of Providence Of Saint Mary-Of-The-Woods	http://www.sistersofprovidence.org		EIN 35-0868174	1 Sisters Of Providence	St Mary Of Wd	IN	47876	USA	Environment, Human Service Organizations, Religion, Roman Catholic	The Sisters of Providence were founded in 1840 in West-Central Indiana by Saint Mother Theodore Guerin and her five sister companions from France. Their mission was to bring the gift of education to the young people of the wilderness and to serve as  witnesses of God''s love. They set about these tasks with great faith and determination,  succeeded in establishing schools and orphanages, tending to the sick among their neighbors and sharing the light of God''s Providence with whomever they met.Now, in modern times, the Sisters of Providence have expanded their mission to include non-traditional forms of education outside of the classroom. Today you will find the sisters educating the public about environmental and social justice issues, serving as chaplains in prisons and hospitals, providing homes for foster children, advocating for the homeless and rural poor, operating food pantries and a free medical clinic, and counseling families and the elderly. Wherever there is need of God''s healing and love, a Sister of Providence will serve.					
Womens Resource Center Of Montgomery County Incorporated	http://	(765) 362-3028	EIN 35-1831872	407 East Market Street	Crawfordsville	IN	47933	USA	Health, Reproductive Health Care, Reproductive Rights	Assist families in crisis pregnancies.		Provided pregnancy testing, limited ultrasounds, peer counseling, and parenting information to high-risk females.   provided pregnancy testing, limited ultrasounds, peer counseling, and parenting information to high-risk females.			
Freetown Village Inc	http://		EIN 35-1609921	Po Box 1041	Indianapolis	IN	46206	USA	Arts & Culture, Cultural & Ethnic Awareness						
Shepherd Community Inc	http://www.shepherdcommunity.org	(317) 375-0203	EIN 35-1765846	4107 E Washington St	Indianapolis	IN	46201	USA	Children & Youth, Children & Youth Services, Emergency Assistance, Family Services, Personal Social Services	Shepherd community center cultivates healthier children, stronger families, and safer neighborhoods through supportive relationships that meet the physical, emotional, academic and spiritual needs of area residents.		The organization provides a continuum of care to residents of the 46201, 46203 and 46218 areas. We offer programs to children, teens, adults, and families, helping them meet their physical, emotional, academic and spiritual needs. We serve more than 500 families (1,000+ individuals), including approximately 350 children and youth in grades k3-12th, annually in our programs.			
Indiana Coalition Against Sexual Assault Inc	http://www.incasa.org	(317) 423-0233	EIN 35-1801978	1 Indiana Sq Ste 2800	Indianapolis	IN	46204	USA	Crime & Law, Sexual Abuse Prevention	Pursuing the eradication of sexual violence in indiana by providing training and education to victims of sexual assault.		Pursuing the eradication of sexual violence in indiana. During 2011, the organization received 39,354 of donated professional and other volunteer services, supplies, printing and other materials.			
Humane Society-Calumet Area Inc	http://www.hscalumet.org	(219) 922-3811	EIN 35-0895837	421 45TH Ave	Munster	IN	46321	USA	Animal Protection & Welfare, Animals	To lead the community in the humane treatment of animals.		The organization also supports the reduction of unwanted animals by promoting the spay/neuter program. The organization provides community services such as visiting area nursing homes, education in the school system, and speaking engagements. The organization does receive some revenue from the sale of pets and pet supplies.			
La Casa De Amistad Inc	http://	(574) 233-2120	EIN 35-1350013	746 S Meade St	South Bend	IN	46619	USA	Children & Youth, Community & Neighborhood Development, Economic Development	To provide preventative service to the area, specifically the hispanic community, by offering programs in the areas of youth, community and emergency services.		Community services program - coordinates activities for the spanish speaking community and its youth. Programs include a food pantry and youth center programs			
National Kidney Foundation of Indiana, Inc.	http://www.kidneyindiana.org	317-722-5640	EIN 35-1180274	911 E. 86th st  Ste 100	Indianapolis	IN	46240	USA	Health, Health (General & Financing), Kidney Diseases, Kidney Diseases  Research	The National Kidney Foundation of Indiana, Inc. mission is to prevent kidney diseases, improve the health and well being of individuals and families affected by these diseases and increase the availability of all organs for transplantation.	Indiana	Free Kidney screenings, Patient Education, Support for patients and Caregivers,Kidney Camp, Kidney Walks, Continuing Medical Education for Renal professionals and Advocacy no national level on behalf of current and potential kidney patients.		raise awareness,prevention and treatment of Kidney disease	5000 Hoosiers through health fairs and free kidney screenings
Center For Leadership Development Inc	http://www.cldinc.org	(317) 923-8111	EIN 35-1389882	2425 Dr Martin Luther King Jr St	Indianapolis	IN	46208	USA	Leadership Development	The mission of the center for leadership development ("the center") is to foster the advancement of minority youth as future professional, business, and community leaders by providing experiences that encourage personal development and educational attainment.		The center exposes youth to sixteen curriculum-based programs and experiences which teach and nurture the participants in the center's five touchstone values: character development, educational excellence, leadership effectiveness, community service, and career achievement. The result is hundreds of african american and minority youth who graduate from high school, attend and graduate from college, excel in their careers, and return value to their community as civic leaders and volunteers. A total of 5,278 unduplicated program services were provided to parents and students during 2014.   college prep institute is a college readiness center serving minority youth and families with expert guidance from licensed guidance counselors, reading, math, and career assessments, educational software offered in a 30 computer learning lab, college searches, financial aid, literacy workshops, and referrals to community resources, all free of charge.   college prep conference and college fair: a statewide annual event for students and parents, offering vital information advancing college admission, persistence, and graduation. The conference includes keynote speaker, breakout sessions, and panels with university representatives and other experts exploring the path to college and beyond. After the conference, participants can visit exhibit booths hosted by representatives from participating educational institutions.			
Westminster Neighborhood Services Inc	http://www.westmin.org	(317) 632-1936	EIN 46-3757511	445 N State Ave	Indianapolis	IN	46201	USA	Human Services	Westminster neighborhood services, inc. Is a christian community on the near eastside of indianapolis that works with the neighborhood, religious organizations, and community partners to serve local families.		Provide food, clothing, medical care, and educational services to children and families.   provide food, clothing, medical care, and educational services to children and families.			
Cooking With the Troops Inc	http://cwtt.org		EIN 27-2377527	PO Box 27	Montmorenci	IN	47962	USA	Food, Food, Agriculture & Nutrition, Human Service Organizations, Military & Veterans Organizations, Veterans	Provide aid, comfort, and support to U.S. and Allied troops, families, and caregivers by: 1. Food Events. Providing a culinary change of pace -- particularly to wounded and injured toops -- to boost morale.2. Culinary Careers. Providing educational resources, opportunities, and transition assistance into culinary careers, particularly for the wounded and/or disabled. 3. Frontline Support. Gathering and sharing knowledge from and with the troops on the front line, providing resources for those wanting to send care packages and nutritional supplements, and conducting food and related events for them.4. Homefront Support. Providing educational events for spouses, children, and caregivers, with an emphasis on teaching culinary basics to make good food fast rather than fast food.		Barbecues and Special Food Events to be done within the United States and at Landstuhl Regional Medical Center in Germany			
Peyton Riekhof Foundation For Youth Hope	http://		EIN 47-2002353	612 Tamenend Ct	Fishers	IN	46037	USA	Mental Health						
Michiana Feral Cat Initiative Incorporated	http://		EIN 27-1842724	Po Box 565	South Bend	IN	46624	USA	Animal Protection & Welfare, Animals						
Humane Society Of Jackson County	http://		EIN 31-1210284	Po Box 135	Seymour	IN	47274	USA	Animal Protection & Welfare, Animals						
