name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served
Mountrail County Medical Center Inc	http://www.stanleyheath.org	(701) 628-2424	EIN 45-0447670	Po Box 399	Stanley	ND	58784	USA	General Hospitals, Health	Mountrail county medcial center will provide quality health care services to mountrail county and the surrounding area including: primary medical care, emergency care, swing bed and clinic services.		Mountrail county medical center, an 11-bed acute care hospital and clinic, promotes health of the community by providing a variety of health services. The hospital provided 96 acute care days and 233 swing bed days during the fiscal year 2014. Mountrail county medical center had 51 admissions, 2615 emergency visits, and 0 surgical cases (including ambulatory). Mountrail county medical center has taken steps to enhance preventative care for people of all ages through the develpment of guidelines to ensure that those who come here for preventative care receive the screenings and recommendations appropriate to their personal and family history. Mountrail county medical center provides medical care to members of the community regardless of the ability to pay. Charity care in the amount of $25 was provided in the current year. Charity is measured by the amount of charges foregone based on established rates.			
Hope Lutheran Foundation	http://www.fargohope.org	(701) 235-6629	EIN 45-0357492	2900 Broadway N	Fargo	ND	58102	USA		The mission: the hope lutheran foundation works to encourage all people to know the love of christ by helping support christian efforts in our community, country, and around the world.		The hope lutheran foundation provides funding support for the benefit of hope lutheran church and it congregational purposes, including general overhead, operating expenses, debt retirement, and various ministries of hope lutheran (i. E. Hopecare, workship arts, preschool), community (oak grove lutheran school, fellowship of christian athletes, habitat for humanity), and global (global health, oak grove world wide mission ministry). The foundation also hosts seminars on wills and estate planning.			
Bismarck Alliance Church Of The Christian And Missionary Alliance	http://		EIN 51-0157823	120 E Calgary Ave	Bismarck	ND	58503	USA							
Renville County Council On Aging	http://		EIN 51-0206951	10270 48th Ave Nw	Sherwood	ND	58782	USA							
Kidder County Retirement Center Inc	http://	(701) 667-6002	EIN 45-0374340	Po Box 548	Mandan	ND	58554	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors	Provide housing for elderly and low income individuals via fmha loan program		To provide affordable housing for low and moderate income individuals and families.			
New Leipzig Ambulance Service	http://		EIN 51-0179928	Po Box 91	New Leipzig	ND	58562	USA							
Nueta Hidatsa Sahnish College	http://		EIN 45-0322990	Po Box 490	New Town	ND	58763	USA	Education, Two-Year Colleges						
Kindred Area Ambulance Service Inc	http://	(701) 428-3131	EIN 45-0420048	100 1st Ave N	Kindred	ND	58051	USA	Disaster Aid, Public Safety, Disaster Preparedness & Relief	Volunteer ambulance service		Operate a volunteer ambulance service to provide emergency medical care and training for our community			
Hazen Preschool	http://		EIN 45-0362375	Po Box 51	Hazen	ND	58545	USA							
Tappen Senior Citizen	http://		EIN 45-0368832	4175 40TH Ave Se	Tappen	ND	58487	USA							
Guardianship Association Of North Dakota	http://		EIN 45-0448367	Po Box 1693	Bismarck	ND	58502	USA	Children & Youth, Children & Youth Services						
College Care For Kids	http://		EIN 91-1843223	1801 College Dr N	Devils Lake	ND	58301	USA	Child Day Care, Children & Youth						
Discovery Center	http://		EIN 45-0409594	623 23rd Ave S	Grand Forks	ND	58201	USA							
Rugby Senior Citizens Sunshine Club	http://		EIN 51-0180658	125 S Main Ave	Rugby	ND	58368	USA							
Share House Inc	http://www.sharehouse.org	(701) 282-6561	EIN 51-0183396	4227 9th Ave S	Fargo	ND	58103	USA	Mental Health, Substance Abuse Treatment	To provide chemical dependency treatment and recovery services to those in need and the prevention of abuse through education.		Share house operates a 44 bed, chemical dependency residential treatment center with varying treatment and recovery programs for adult men and women afflicted with the disease of alcohol/drug addictions.   stepping stones is a 15 bed residential chemical dependency services treatment center with varying treatment and recovery programs for adult women that allows their children to reside with them.   robinson recovery center is a 45 bed residential substance abuse treatment facility for north dakota adult male and female residents with a primary focus on methamphetamine addiction.			
Minot Young Mens Christian Association	http://www.ymcaminot.org	(701) 852-0141	EIN 45-0237612	Po Box 69	Minot	ND	58702	USA	Human Services, Physical Fitness & Community Recreational Facilities, Sports, Young Mens or Womens Associations	The purpose of the minot family ymca shall be to develop christian character and to aid in building a christian society by the maintenance of such activities and services that contribute to physical, social, mental, and spiritual growth.		Ymca camp - educational/recreational camp for youth  child care services, daycare services  fitness programs - classes and activities promoting physical fitness			
St Marys School Foundation	http://	(701) 579-4312	EIN 31-1577963	Rr 3 Box 42a	New England	ND	58647	USA	Federated Giving Programs, Philanthropy	To support religious education.		The foundation was organized to support st. Mary's church/ school of religion, including religious education for the the church members. Accordingly, the foundation makes annual payments from its earnings to assist with the costs of religious education.			
Bethel Assembly Of God	http://		EIN 51-0160127	Po Box 14	Carrington	ND	58421	USA							
Sertoma Inc	http://www.gfsertoma.com	(701) 787-7100	EIN 45-0419412	Po Box 12832	Grand Forks	ND	58208	USA		Promote national pride in the community.		Conduct various events to promote national pride in the community.			
Arts & Humanities Council Of The Lake Region Inc	http://		EIN 45-0343186	Po Box 1034	Devils Lake	ND	58301	USA							
Friends Of The Leach Public Library Inc	http://		EIN 45-0358798	1636 6th St N	Wahpeton	ND	58075	USA	Philanthropy, Public Foundations						
Northwest North Dakota Girl Scout Council, Inc.	http://www.nwndgirlscouts.org/		EIN 45-0226424	525 31st Ave. Sw	Minot	ND	58701	USA	Children & Youth, Girl Scouts of the U.S.A.	Girl Scouting is a unique girl-only place where a girl finds courage by exploring new adventures, confidence by discovering her abilities, character by shaping her values, connections by friendships with other girls and where a girl returns those gifts by making the world a better place.					
Taylor Senior Citizens Club Of Taylor Nd	http://		EIN 45-0354047	Po Box 161	Taylor	ND	58656	USA							
North Dakota Wildlife Federation Inc	http://	(701) 328-5188	EIN 23-7071000	Po Box 1091	Bismarck	ND	58502	USA	Animals, Wildlife Preservation & Protection	Advance the cause of education and protection of wildlife		Youth conservation camp offers a unique oppertunity to learn science, conservation and outdoor skills through hand-on activities  annual convention			
Community Action Program Region Vii Inc	http://www.cap7.com	(701) 258-2240	EIN 45-0333816	2105 Lee Ave	Bismarck	ND	58504	USA	Human Service Organizations, Human Services	Community action program region vii, inc. Was formed to improve the quality of life for low income people, to promote public awareness of the needs and problems faced by these individuals, and to work towards finding solutions to eliminate the social inequities and problems faced by them. Areas of service or program operation include food, clothing, shelter, housing, energy conservation, education and individualized support services in a ten county area of north dakota.		Weatherization and housing assistance:the weatherization program provides energy conservation services to low-income homeowners and renters to make their homes more energy efficient. The program helps to increase energy efficiency and reduce heating bills by concentrating on the problems of heat loss and air infiltration. Weatherproofing repairs such as insulation, caulking, and weather-stripping are provided to income eligible households. Emergency furnace repair and replacement program assists households with repair and replacement of unsafe heating systems for eligible clients. Housing and rental assistance is provided through the housing opportunities for persons with aids (hopwa) and shelter plus care programs. The shelter plus care program provides rental assistance in connection with supportive services to homeless persons with disabilities in north dakota. The primary target populations are homeless people who have serious mental illness; and/or hiv/aids. The goals of the programs are to assist homeless individuals and their families to increase their housing stability; increase their skills and/or income; and obtain greater self sufficiency. Other housing programs include the helping hands program, home housing rehabilitation program, the home acquisition & rehab program, and community development block grant (cdbg funds).   other programs and services:self-sufficiency programs are provided as a goal orientated case management designed to assist low income & disadvantaged individuals decrease government dependency. Goals addressed may be employment, education, housing or money management related. These programs include hiv prevention, and individual development accounts (ida).   nutrition and emergency assistance:backpacks for kids was developed to address the need for food for children identified as being homeless. Children identified as being homeless are defined as children who are living in overcrowded housing, staying with family or friends, staying in hotels/shelters, or sleeping in vehicles. These children are served breakfast and lunch while attending school during the week, but because of their living situation they do not have adequate food over the weekends. Backpacks are filled with "kid-friendly" foods such as cereal, granola/yogurt bars, fruit cups, applesauce, pudding, canned dinners, peanut butter, jelly and bread. Backpacks are delivered to the schools every other friday or the last day of each school week. The school distributes them to children in need and the children return the backpacks to the school the following week to be refilled. Community action works together with the schools to determine who is in need of the backpacks. The community action food pantry provides food baskets to income qualified and families in need. Food baskets are generally filled with enough food to last approximately 4 - 7 days, depending on funding and donations received.			
Future Farmers Of America	http://		EIN 23-7278119	PO Box G	Crosby	ND	58730	USA							
Birthright Of Williston	http://		EIN 45-0375288	Box 2383	Williston	ND	58802	USA							
Western Dakota Estate Planning Council Inc	http://		EIN 45-0366407	Po Box 1914	Bismarck	ND	58502	USA							
North Dakota Medical Education & Research Foundation University	http://		EIN 45-0341675	PO Box 8253	Grand Forks	ND	58202	USA							
Boy Scouts Of America	http://www.nlcbsa.org	(701) 293-5011	EIN 45-0226415	4200 19th Ave S	Fargo	ND	58103	USA		The council serves others and in other ways, instills values in young people that better prepares young people to make ethical decisions by instilling the values of the scout oath and law.		The northern lights council, boy scouts of america is a not-for-profit organization devoted to our mission of preparing young people to make ethical and moral choices over their lifetimes by instilling in them values of the scout oath and law. This mission is implemented through five elements that encompass the foundation of scouting; leadership, achievement, character, service and outdoors. The programs of scouting include; cub scouts, for boys in the first grade through fifth grade, boy scouts, for boys who are 11 through 17 years of age, varsity scouting, for young men 14 through 17 years of age and venturing, for young men and women 14 through 20 years of age. The council also serves youth through exploring, a career awareness and development program, and with learning for life, a classroom based character education and development program encompassing elementary, junior high and high school age students. The northern lights council, b. S. A. 's most recognizable method for delivering these programs is through outdoor activities that include day camps, resident camps, council organized family camps, camporees, summer camps, national jamborees and high adventure camping. A second method for achieving the mission is through the awards and recognition youth receive from achievement of skills, participation in activities, community service and advancement within the various programs. Our council provides service to 78 counties in 4 states. Currently we have 11,283 youth members and 3,000 adult volunteer leaders in our council. Over 17,000 youth were served throughout 2014. Any youth or leader is eligible to join the scouting program if they are willing to subscribe to the bsa's declaration of religious principle, the policies and bylaws of the boy scouts, and the age/grade joining requirements.   camp operations - camps are used by scouts and adult volunteers for outdoor camping activities, training courses, conferences, and meetings. Camp is our outdoor classroom to teach skills, build character, promote good citizenship, and earn merit badges based on life lessons, skills, hobbies and occupations.			
Listen Love Is Sharing The Exceptional Needs	http://www.listencenter.us	(701) 746-7840	EIN 45-0322583	1407 24th Avenue South	Grand Forks	ND	58201	USA	Unknown	To provide quality services for people with special needs which will enable them to live as independently as possible with our community.		Provide day services that provides programs and activities that enhance the quality of life for people with disabilities.   provide a drop in center that provides a diversity of enrichment activities including camping, arts and crafts, dances, movies and community sports programs. The center is open to the community.			
Jamestown Public School Foundation	http://		EIN 45-0447682	207 2nd Ave Se	Jamestown	ND	58401	USA	Education						
Southdale Senior Citizens Incorporated	http://		EIN 51-0188232	230 8th Ave West	West Fargo	ND	58078	USA							
Dickinson Arc Housing Inc	http://	(701) 483-4378	EIN 45-0382726	560 8th Street Se	Dickinson	ND	58601	USA	Group Homes, Human Service Organizations, Human Services, Job Training	Group home management		Group home tenant assistance			
Gackle Senior Citizens Inc	http://		EIN 45-0354358	Po Box 212	Gackle	ND	58442	USA							
The Village Family Service Center	http://www.TheVillageFamily.org	701-451-4900	EIN 	1201 25th St. S.	Fargo	ND	58103	USA	Adoption, Children & Youth, Family Counseling, Family Services, Financial Counseling	The mission of The Village Family Service Center is to improve the quality of life through services designed to strengthen individuals, families and organizations.					North Dakota and Minnesota
Mckenzie County Hockey Club	http://		EIN 45-0414862	Po Box 1332	Watford City	ND	58854	USA	Amateur Sports, Sports	Hockey club		We operate a youth hockey program for over 60 area youths. The program promotes physical activity and recreation in a safe and controlled environment.   we operate a youth hockey program for over 60 area youths. The program promotes physical activity and recreation in a safe and controlled environment.			
Prince Of Peace Aflc	http://		EIN 45-0432370	200 19th St Nw	Beulah	ND	58523	USA							
Thrivent Financial For Lutherans	http://		EIN 91-1933786	446 Regina Pl	Bismarck	ND	58503	USA							
Eastern North Dakota Synodical Womens Organization	http://		EIN 45-0445787	3345 46th Ave S	Fargo	ND	58104	USA							
Lisbon Community Food Pantry	http://		EIN 36-3504036	Po Box 624	Lisbon	ND	58054	USA							
Minot State University Development Foundation	http://	(701) 858-3368	EIN 45-0344784	500 University Ave W	Minot	ND	58707	USA		To establish, promote and stimulate voluntary financial support for the benefit of minot state university, especially in building of endowment and in addressing the long-term priorities of the university.		Provide scholarships to students based on criteria and support the university through fundraising and funding of various campus projects and university activities.   entrepreneurship club which provides learning opportunities for students in the college of business.			
Community Senior Citizens Of Kindred Inc	http://		EIN 45-0344506	180 Walnut St	Kindred	ND	58051	USA							
MENTAL HEALTH AMERICA OF NORTH DAKOTA	http://www.mhand.org	701.255.3692	EIN 45-0276836	PO Box 4106	Bismarck	ND	58502	USA	Mental Health, Mental Health Associations	To promote mental health through education, advocacy, understanding, and access to quality care for all individuals.	We are currently working with four other ND nonprofits to create the Rural Behavior Health Network; we have hired a Program Director, and we are collaborating with two crowned young women to promote mental health as their platform. Check out our programs link for more information.	http://mhand.org/index.php/programs.html	Individuals 18 and over with a mental illness		North Dakota. We currently have two offices: one in Bismarck and one in Fargo. We also currently operate two Recovery Centers: one in Fargo and one in Grand Forks.
Beginning Experience International Ministry Center	http://	(701) 222-3035	EIN 45-0368940	Po Box 4241	Bismarck	ND	58502	USA		Peer ministry for adults who are separated/divorced/widowed and their children.		Peer ministry for adults who are separated/divorced/widowed and their children.			
Friends Of Fort Union Trading Post	http://		EIN 36-3354551	1704 Rose Ln	Williston	ND	58801	USA	Arts & Culture, Single Organization Support	HISTORICAL DEVELOPMENT AND INTERPRETATION OF MISSOURI/YELLOWSTONE CONFLUENCE AREA					
Kamp Kace Inc	http://www.kampkace.org	(701) 280-6354	EIN 45-0452459	Po Box 6462	Fargo	ND	58109	USA	Health, Patient & Family Support	To provide a camping experience to children with cancer.		Children with cancer were provided a week of camping at a minnesota lake. Nursing supervision, meals, medicine and activities were provided.			
Brick City Activity Center Inc	http://		EIN 45-0305652	Po Box 195	Hebron	ND	58638	USA							
Thanks For Caring Inc	http://		EIN 45-0374136	PO Box 635	Jamestown	ND	58402	USA							
Assembly Of God Medina	http://		EIN 45-0369815	907 Glenwood Dr	Oakes	ND	58474	USA							
Williston Sea Lions Inc	http://willistonsealions.com	(701) 572-9223	EIN 45-0432456	Po Box 122	Williston	ND	58802	USA	Sports, Swimming & Other Water Recreation	Provide every memeber an opportunity to improve swimming skills and achieve success at his or her level of ability, from novice to international competitor.		Provide competitive swimming and coaching for over 150 swimmers during the short and long term course seasons			
Alano Society Of Minot Inc	http://		EIN 23-7009800	515 5th Ave Nw	Minot	ND	58703	USA	Mental Health, Substance Abuse Treatment						
Missouri Valley Shooting Sports Association	http://		EIN 45-0433534	Po Box 254	Mandan	ND	58554	USA	Recreation & Sports, Sports						
Valley Christian Counseling Center Inc	http://valleychristiancounselingcenter.com	(701) 232-6224	EIN 45-0419100	509 25th Ave N	Fargo	ND	58102	USA	Mental Health, Mental Health & Crisis Intervention	Offer christian counseling which integrates biblical truths with the healing process, with a goal to help each person become whole and achieve his/her potential		Christian counseling			
Walhalla Rural Health Association	http://		EIN 45-0427114	PO Box 468	Walhalla	ND	58282	USA	Ambulatory & Primary Health Care, Health						
Central Association Of Obstetricians & Gynecologists	http://		EIN 38-2190504	Po Box 3010	Minot	ND	58702	USA		Medical Education for OB-GYN's					
Gallery 522 Inc	http://		EIN 45-0416001	200 W Main 106 N Chandam St	Bismark	ND	58501	USA	Arts & Culture, Arts, Culture & Humanities						
Neighborhood Development Enterprises Inc	http://	(701) 852-0485	EIN 36-4029492	108 East Burdick Expy	Minot	ND	58701	USA	Homeless & Housing, Housing Development, Construction & Management	To provide affordable rental housing to low-income families and to assist in the development of facilities that benefit the public in the state of north dakota.		Providing affordable rental housing to low-income families in north dakota and assisting in the creation of new housing facilities that benefit the public.			
Dakota Buttes Historical Society	http://		EIN 23-7326864	Po Box 1273	Hettinger	ND	58639	USA	Arts & Culture, Historical Organizations						
International Reading Association Inc	http://		EIN 45-0363719	3863 77th Ave Se	Jamestown	ND	58401	USA							
Sargent Seniors Council	http://	(701) 683-3131	EIN 51-0192910	666 7th St	Milnor	ND	58060	USA		Promote welfare of aging citizens		The program enhances the senior citizen activities of the surrounding communities of rutland, milnor, gwinner, fargo, and cogswell			
Epping And Community Senior Citizens Club	http://		EIN 45-0351514	1215 University Ave	Williston	ND	58801	USA							
4-H Clubs & Affiliated 4 H Organ	http://		EIN 45-0437291	3586 Sheyenne Cir	Valley City	ND	58072	USA							
Tobacco Free North Dakota	http://		EIN 45-0393646	2718 Gateway Ave Ste 303	Bismarck	ND	58503	USA							
Larimore Community Museum And Historical Association	http://	(701) 343-2569	EIN 36-3291384	Po Box 524	Larimore	ND	58251	USA		Public museum		General viewing admissions  memberships  event admissions			
United Way Of Williston	http://basinunitedway.org	(701) 770-9535	EIN 45-0279072	Po Box 176	Williston	ND	58802	USA		United way of williston is commited to supporting our community by securing financial contributions and directing available resources to assist those who have unmet basic human needs.		Contributions to beneficiaries are used to fund community based programs which provide services for emergency assistance, financial stability, nutrition, physical and emotional wellness, school readiness, and youth leadership.			
Faith Evangelical Church	http://		EIN 45-0450418	Rr 1 Box 17b	Medina	ND	58467	USA							
Communityworks North Dakota	http://www.communityworksnd.org	(701) 667-7600	EIN 45-0440770	200 1st Ave Nw	Mandan	ND	58554	USA	Economic Development, Homeless & Housing, Housing & Shelter, Housing Development, Construction & Management, Housing Support	Providing affordable housing & development opportunities to revitalize communities & improve the standard of living & quality of life for north dakotans. Provide low interest loans for emergency home repairs, mortgage assistance, 1st mortgage loans, & construction loans.		Revolving loan program - provides affordable loans, with terms based on the borrower's capacity to repay, for down payment and closing cost assistance, rehabilitation loans, loans for emergency repairs, and other mortgage assistance, including construction and first mortgage loans. In 2014, 33 mortgage loans totalling $1. 15 million were awarded. Three loans for financing development of affordable housing were closed in 2014 totaling $303,565 for 32 new housing units. Client fees and loan interest are used to administer the program in addition to grants and contributions.   grant paid to lewis & clark regional development council - the lcrdc was instrumental in starting communityworks north dakota and funded start-up costs. The start-up costs were never recorded as a payable back to the council because there was no certainty of repayment at that time. Cwnd determined adequate funds were available to repay these funds in 2014 and they had to be expensed because there was no payable every recorded.   housing education and development - cwnd helped facilitate or provided homebuyer education, required by some finance/funding sources, to 165 prospective homeowners.			
Minot Area Youth Skating Association Inc	http://		EIN 45-0448499	Po Box 328	Minot	ND	58702	USA	Community Recreational Centers, Sports						
Hatton School Foundation Inc	http://		EIN 45-0440878	Po Box 200	Hatton	ND	58240	USA	Crime & Law, Crime & Legal-Related						
Christian Alliance For Indian Child Welfare	http://		EIN 80-0101605	Po Box 460	Hillsboro	ND	58045	USA	Children & Youth, Christianity, Civil Rights, Religion, Youth Development - Religious Leadership						
Couple To Couple League International Inc	http://		EIN 31-1464899	4586 Prairie Rose Cir	Mandan	ND	58554	USA							
National High School Sports Institute Inc	http://		EIN 59-2637106	3457 26TH Ave Sw	Fargo	ND	58103	USA	Sports, Sports Associations & Training Facilities						
Sargent County Historical Society	http://	(701) 724-6308	EIN 45-0371759	315 Ross Street	Rutland	ND	58067	USA		Restoration, continuation of sargent county historical information		Operation of the sargent county museum display buildings and grounds			
Valley Health	http://		EIN 45-0342671	360 Division Ave Ste 200	Grand Forks	ND	58201	USA	Family Planning, Health, Reproductive Rights						
Hit Inc	http://www.hitinc.org	(701) 663-0379	EIN 45-0353818	1007 18th St Nw	Mandan	ND	58554	USA	Developmentally Disabled Centers, Disabilities, Human Services	Hit supports people with disabilities through self-directed services that promote independence, dignity and respect.		Residential serviceshit provides residential group home services to people who have various developmental disabilities. The organization operates eight group homes that are licensed to serve four to seven individuals. There are a total of twelve homes and sites. Services provided at these sites are individualized to resident needs. The primary purpose of a group home is to provide an environment that is the least restrictive and yet gives support where needed. This gives the individual the opportunity to belong to the community around them in the most inclusive manner. Two homes serve children under the age of 21, nine homes serve adults and one home primarily serve retired individuals who will benefit from a 24 hour residential setting. The program in the retirement home is committed to assisting aging individuals in retaining a meaningful level of physical and mental health by developing interest and encouraging participation in activities.   developmental day activity programhit's day programs provide individuals with a personalized program of achievement based on the individual's goals and objectives. The programs fall primarily into one of three areas - day activity, senior program and training center - and offer the flexibility of moving between the three areas as needs and desires dictate. The day programs operate from 9am to 4:30pm monday through friday and are headquartered out of the hit administration building at 2640 sunset drive and 1007 18th st nw, mandan. Work contracts, recreational and leisure activities and other programs are carried out throughout the communities of bismarck and mandan. The day program offers services to the public through west river produce and west river lawn services.   rehabilitative brain injury serviceshit inc. Provides different levels of brain injury services. Dakota alpha offers physical, occupational, and speech therapies, cognitive retraining, independent living skills training, social services, activities, and dietary services, and is staffed 24 hours per day by professional nursing staff. Dakota pointe offers more of an independent living type setting. The two facilities have a total of 30 beds. The new brain injury social & recreational services provide extra one-on-one time for the individuals within dakota alpha and dakota pointe.   hit inc. Employment services provides job development, job placement and follow along services to assist individuals with disabilities acquire gainful employment. We assist the consumer with location, obtaining and maintaining employment in the community which there is two phases to our supported employment services. Training and stabilization focuses on teaching job tasks and meeting other employment related requirements. Extended services are designed to provide the on-going support necessary to maintain employment after training and stabilization is completed. West river head start (net of donated services) is dedicated to the empowerment of children, families and staff through community partnerships in order to provide exceptional services in a holistic environment one child and family at a time. West river head start has four center-based sites with a total of 7 classrooms: four classrooms in mandan and one classroom in hazen, carson, and new salem. West river head start is a comprehensive early childhood program for eligible preschool children and their families. Other programs such as right track, the k. I. D. S. Infant development program, individual supported living arrangement program (isla), family care options iii (fcoiii), family support services (fss), childcare, and the missouri river educational cooperative are also provided by the organization.			
Nodak Sportsmens Club	http://	(701) 222-2778	EIN 45-0425916	Po Box 555	Bismarck	ND	58502	USA	Recreational Clubs, Sports	North dakota sportsmen join together, and through charitable gaming, attempt to raise funds to expend for charitable purposes.		Rural community activities: i. E. , youth, religious, educational safety, schools, patriotic, girls and boys scouts, community emergency services, parks and rec, and law enforcement.   bismarck and mandan activities: i. E. , youth, religious, educational safety, schools, patriotic, girls and boys scouts, community emergency services, parks and rec, and law enforcement.   printing and postage  cost allocation			
Kiwanis Club Of Fargo Scholarship Foundation	http://		EIN 45-0418271	Po Box 1025	Fargo	ND	58107	USA	Employment, Job Training						
Jamestown United Way	http://		EIN 45-0277715	Po Box 85	Jamestown	ND	58402	USA	Federated Giving Programs, Philanthropy						
St Luke S Home Foundation	http://www.stlukeshome.com	(701) 483-5000	EIN 45-0409966	242 10th St W	Dickinson	ND	58601	USA				The purposes of st. Luke's home foundation shall specifically include, without limitation, soliciting, receiving, collecting, and investing such gifts and funds for the benefit of qualified organizations which administer programs for the support, maintenance, welfare, health, and assistance of the elderly, handicapped, and disadvantaged.			
Kenmare Wheels And Meals Inc	http://	(701) 385-4364	EIN 45-0343486	Po Box 481	Kenmare	ND	58746	USA		The agency's mission		Title iii. The title iii program provides several services to area senior citizens. The agency operates several congregate meal sites and delviers meals to homebound senior citizens.   transit. The agency provides rides for senior citizens and low income individuals in the area.			
Temple Beth El	http://		EIN 45-6011866	809 11th Ave S	Fargo	ND	58103	USA							
West River Business Center Inc	http://	(701) 227-5997	EIN 45-0415030	314 3rd Ave W	Dickinson	ND	58601	USA	Microfinance, Small Business Development	Promotes southwest north dakota business.		The organization promotes the training and growth of business and employees within southwest north dakota.			
Ashley Womens Club Public Library	http://		EIN 45-6012838	PO Box 185	Ashley	ND	58413	USA							
Grand Forks Senior Center	http://www.gfseniorcenter.org	701-772-7245	EIN 45-0311269	620 4th Avenue South	Grand Forks	ND	58201	USA		The mission of the Grand Forks Senior Center is to assist older adults to remain healthy and independent in their homes.  We are committed to providing quality and cost efficient programs and services for older adults through a professional, caring and trustworthy staff.  From activities to keep the mind sharp, nutritious meals to keep the body healthy and social interactions to remain emotionally strong, the Grand Forks Senior Center is the connection for older adults to live on the Brighter Side of Sixty.	In 2011 alone, the Grand Forks Senior Center prepared and served more than 102,000 healthy nutritious meals, provided foot care to 958 clients, and met with nearly 1,300 clients to help them navigate paperwork for things such as Medicare Part D, property tax credits, rent rebates, and transportation assistance.  But perhaps most important is the opportunity for socializing at the Senior Center, which is especially valued by seniors who do not have family nearby.	Health, Resources, Senior Dining, Activities & Programs	Seniors, age 60+, living in Grand Forks, ND and surrounding towns.		Grand Forks County, Nelson County, Pembina County, Walsh County.  All in North Dakota
University Of Jamestown	http://www.uj.edu	(701) 252-3467	EIN 45-0231180	6088 College Ln	Jamestown	ND	58405	USA	Education, Undergraduate Colleges	University of jamestown is a community dedicated to the development of wholeness in our students. We adhere to a curriculum of academic excellence which balances the ideals of the liberal arts tradition and sound professional preparation. Our christian tradition encourages an atmosphere of self-discipline, responsibility and concern for continuing growth of the individual.		University of jamestown is a residential, independent, four-year, coeducational, liberal arts college related to the presbyterian church (u. S. A. ). The college was chartered in 1884. The first classes began in september 1886. Throughout its more than 100-year history, jamestown college has consistently stood for academic excellence and christian principles in all that it does. The college offers bachelor of arts and bachelor of science degrees in 50 major areas of study, as well as 33 minors and 13 pre-professional and certification programs. The university expanded its offerings and began a doctoral program in 2013. University of jamestown has been a continuous accredited member of the north central association since 1920. Post-secondary education: instruction - academic programs with approximately 900 fte students enrolled. Bachelor of arts, bachelor of science, masters and doctoral degrees are awarded by the institution.   post-secondary education: student aid - institutional scholarships and work programs offered to students. Aid is awarded both based upon need and scholastic achievement.   post-secondary education: general administrative support - physical plant, general institution and administrative support.			
James River Senior Citizens Center Inc	http://	(701) 252-2882	EIN 45-0306828	419 5th St Ne	Jamestown	ND	58401	USA		The agency mission is to provide meals, transportation and outreach services to senior citizens in stutsman, wells and sheridan counties. The agency operates several meal sites.		The title iii program provides meals and outreach to senior citizens in stutsman, wells, and sheridan counties in north dakota. The meals are served at several sites or delivered to homes of individuals not able to visit the sites. The agency also provides information to the seniors about services available and how to obtain them. The programs are supported by federal grants and program donations provided by the senior citizens.   the agency operates a transit program for individuals in the three county area. The rides are provided for eligible individuals. The program is supported by federal and state grants and charges to the riders.			
Lake Region Chapter Of The Pioneer Daughters Of North Dakota	http://		EIN 45-0345539	715 13th Ave Ne Apt 107	Devils Lake	ND	58301	USA	Arts & Culture, Historical Organizations						
Cottonwood Community Church	http://		EIN 45-0413208	308 S 5th St	Grand Forks	ND	58201	USA							
Heather & Thistle Pipes & Drum	http://		EIN 45-0425327	1536 3rd St S	Fargo	ND	58103	USA							
React International Inc	http://		EIN 45-0439535	879 Hanna Ave	Valley City	ND	58072	USA							
Sod Busters Club Of Bowman North Dakota Incorporated	http://		EIN 45-0314602	14684 Hwy 12 Sw	Bowman	ND	58623	USA							
Red River Valley Community Action	http://www.rrvca.com	(701) 746-5431	EIN 45-0333456	1013 N 5th St	Grand Forks	ND	58203	USA	Homeless & Housing, Homeless Centers, Human Services	Community action changes people's lives, embodies the spirit of hope, improves communities and makes america a better place to live. We care about the entire community, and we are dedicated to helping people help themselves and each other.		Weatherization assistance program: grants from the department of energy and the low income energy assistance program allow homeowners and renters meeting financial guidelines to be eligible for free home improvements that increase energy efficiency and decrease heating bills by concentrating on the problems of general heat loss and air infiltration.   community services block grant: many of the core programs of community action agencies are those that center on self-sufficiency and self reliance. The csbg grants from the department of health and human services allow community action to use case management staff to address, with low income clients, their needs in housing, education, employment, budgeting, food, income tax assistance, matched savings accounts, homelessness, daycare, and other emergency services.   home program: low-income homeowners are assisted with all forms of rehabilitation including electrical, plumbing, heating, siding, foundation, and roofing. We assisted 17 households with home rehab grants on average of $17,000 but no more than $25,000 per household. All projects follow hqs standards. Our projects replace roofing, siding, windows, storm doors, stairway railings, and gfi wiring upgrades. All are home ownerships and lead testing is done on homes older than 1977. The home rehab projects are in our rural areas of grand forks, nelson, walsh and pembina counties but not in the city of grand forks.   food programs are established to provide those who meet income qualifications to receive supplemental commodities every other month. Temporary safe housing and case management is provided for women and children who are homeless due to eviction or lack of money. Other programs are available to provide assistance and funds according to the changing needs of the community and for achieving the objective of alleviating proverty and its causes.			
Cavalier County Search And Rescue	http://		EIN 45-0418114	Po Box 335	Langdon	ND	58249	USA	Disaster Aid, Search & Rescue Squads						
