name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	In-Home Respite Care
Parent Participation Nursery School	http://	(808) 254-8833	EIN 99-0148715	92 Kaneohe Bay Dr	Kailua	HI	96734	USA	Education, Preschools	Cooperative preschool					To extend parent coop preschool education for children ages 2 years and 8 months through 5 years by family participation in school.   to extend parent coop preschool education for children ages 2 years and 8 months through 5 years by family participation in school.	
Ke Kaiaulu O Kaiona	http://		EIN 99-0313464	85-711 Kaupuni Pl	Waianae	HI	96792	USA	Arts & Culture, Performing Arts							
Molokai Ranch Foundation	http://		EIN 99-0315442	745 Fort Street Mall Ste 600	Honolulu	HI	96813	USA	Philanthropy, Private Independent Foundations							
KA'U SCHOOL OF THE ARTS	http://	8088541540	EIN 56-2444017	PO Box 1028	Naalehu	HI	96772	USA	Arts & Culture							
Doris Todd Christian Academy	http://www.doristoddchristian.org	(808) 579-9237	EIN 99-0241019	519 Baldwin Avenue	Paia	HI	96779	USA	Education, Elementary & Secondary Schools, Literacy	To provide a biblically directed education for preschool through grade 8					Provided a biblically directed education for preschool through grade 8 for student residing on the island of maui.	
Waioli Corporation	http://		EIN 99-0079200	Po Box 1631	Lihue	HI	96766	USA	Arts & Culture, Historical Societies & Historic Preservation							
Neighbor Island Baptist Association	http://		EIN 99-0245868	73-4338 Kapuahi St	Kailua Kona	HI	96740	USA								
Kauai Christian Fellowship	http://		EIN 99-0292834	Po Box 633	Lawai	HI	96765	USA								
Most Worshipful Lodge Of Free And Accepted Masons Of Hawaii	http://		EIN 99-0284629	Po Box 3961	Lihue	HI	96766	USA	Religion, Religion-Related							
International Harvest Foundation Inc	http://		EIN 99-0348028	PO Box 283	Lahaina	HI	96767	USA	Religion, Religion-Related							
Seicho No Le Kauai	http://		EIN 99-6009971	Po Box 102	Eleele	HI	96705	USA								
Blue Ocean Preservation	http://		EIN 99-0266567	42 Lae Pl	Paia	HI	96779	USA								
Open Art International	http://		EIN 94-3125748	41-999 Mahiku Pl	Waimanalo	HI	96795	USA	Unknown	Distribution of local sanctified produce						
Metropolitan Honolulu Rotary Foundation	http://		EIN 99-0310822	Po Box 4684	Honolulu	HI	96812	USA	Children & Youth, Youth Development Programs							
Three Ring Ranch, Inc.	http://www.threeringranch.org	808-331-8778	EIN 99-0344980	75-809 Keaolani Dr	Kailua-Kona	HI	96740	USA	Animals, Environment, Environmental Education, Protection of Endangered Species, Wildlife Sanctuaries	Our mission is to positively impact the environment while educating Hawaii?s children about their place in the natural world. Our goal is to assist in the development of an environmentally responsible generation of youth. We are licensed to rehabilitate and possess endangered species, allowing us to teach about the fragile ecosystem we impact on a daily basis, while giving visitors a rare chance to see the animals up close. Native animals brought to us with injuries are cared for and released when able. Our resident animals will live out their natural lives at the facility.Pre-vet & vet students come for residential internships. Managed and staffed by volunteers, we use 100% of donations for animal care. We work with State and Federal officers to rescue and rehabilitate endangered raptors and other rare/endangered species. Our educational program teaches conservation, wildlife management and is highlighted by a tour of the sanctuary.					Animal rehabilitation, feeding, acquisition relocation mobile vet clinic intern program	
Kauai Childrens Justice Committee	http://		EIN 99-0303792	Po Box 3998	Lihue	HI	96766	USA								
American Animal Rescue Federation	http://www.amrescue.org	202-750-1160	EIN 47-1847544	44 Kanani Rd #3-304	Kihei	HI	96753	USA	Animals	The American Animal Rescue Federation exists to rescue animals so they may find their forever homes.  Each donation made to a no-kill rescue organization through the Federation is carefully scrutinized for its efficiency and our own organization has virtually zero overhead.  Every dollar donated to American Animal Rescue Federation goes directly to effective no-kill shelters. We are an all-volunteer army of 21st Century thinkers and entrepreneurs, changing the way nonprofits do business.		Animal Rescue organizations		All 50 States	The American Animal Rescue Federation exists to rescue animals so they may find their forever homes.  Each donation made to a no-kill rescue organization through the Federation is carefully scrutinized for its efficiency and our own organization has virtually zero overhead.  Every dollar donated to American Animal Rescue Federation goes directly to effective no-kill shelters. We are an all-volunteer army of 21st Century thinkers and entrepreneurs, changing the way nonprofits do business.	
Maranatha Christian Church Of Honolulu Hawaii Inc	http://		EIN 99-0255479	Po Box 12001	Honolulu	HI	96828	USA								
Conservation Council For Hawaii	http://		EIN 99-0199211	250 Ward Ave Ste 215	Honolulu	HI	96814	USA	Environment, Natural Resources Conservation & Protection	To Promote Environmental Education						
Historic Palace Theatre	http://		EIN 99-0295306	38 Haili St	Hilo	HI	96720	USA	Arts & Culture, Historical Organizations							
Waialae Baptist Church	http://		EIN 99-0117996	1047 21st Ave	Honolulu	HI	96816	USA								
International Toastmistress Clubs 2607 Hickam	http://		EIN 51-0217019	91 753 Pohakupuna Rd	Ewa Beach	HI	96706	USA								
Imua Family Services	http://www.imuafamilyservices.org	8082447467	EIN 99-0194402	161 S. Wakea Ave	Kahului	HI	96732	USA	Children & Youth, Children & Youth Services, Health, Rehabilitative Care	Imua Family Services provides comprehensive early childhood development services to children and their families with the support and resources needed to achieve their full potential in life.		Comprehensive Early Childhood Development Services to Children and their Families	3,000	Maui, Hawaii	Infant and Child Development Program (0-3) Early Childhood Development Program (4-5) Camp Imua Newborn Hearing Screening	
Hawaiian Islands Land Trust	http://hilt.org	(808) 244-5263	EIN 99-0353223	Po Box 965	Wailuku	HI	96793	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	Hawaii's long-term well-being, environmentally, economically, and culturally, is directly linked to the land and the choices we make about it. Thus, hawaii is fortunate to have a statewide, non-profit land trust, the hawaiian islands land trust (hilt), the first nationally accredited land trust in the state, with a mission to protect the lands that will sustain us for current and future generations. To date, hilt has conserved over 17,500 acres on a number of properties with various conservation values important to residents and visitors alike: ranches and farms; beaches;forests and other wildlife habitats; parks; cultural and historic sites;scenic vistas; and water resource areas.					Hawaiian islands land trust (hilt) has been carefully stewarding over 17,500 acres of important conservation lands with numerous conservation values: stunning scenic vistas; public outdoor recreation areas; places with significant cultural and historical values; ranches and farms that provide fresh local foods; wildlife habitats that secure biodiversity; beaches for people to enjoy; and other water resource areas. In addition, hilt has been working on protecting new lands with other abundant conservation values that will help sustain current and future generations. Some 2014 highlights are as follows: (see schedule o) 1. Held successful 2014 buy back the beach gala on maui; 2. Launched popular talk story on the land free public environmental education series; 3. Hired full-time oahu island director; 4. Opened oahu office; 5. Held successful 2014 oahu gala; 6. Started creative new conservation collaboration agreement program with local schools; 7. Acquired and conserved hilt's first public preserve on oahu, the maunawila heiau preserve; 8. Awarded national accreditation from the land trust accreditation commission; 9. Acquired a perpetual conservation easement on the jackson property in the important volcano area of hawaii island - hilt's 5th conservation easement for our kipuka mosaic project; 10. Upheld our annual stewardship responsibilities for our perpetual conservation easements and fee simple titles on over 30 properties representing over 17,500 acres; 11. Completed the complex kaulahao closing - successfully sold the fee simple title to a community group and acquired a perpetual conservation easement on this coastal land on the north shore of maui; 12. Started hilt's capital campaign in june (completed feasibility study and raised almost 1. 5 million by year's end); 13. Acquired a perpetual conservation easement on the world renowned merwin palm forest on the north shore of maui; 14. Grew and maintained hilt's donor base with membership and other initiatives (donor base has grown from under 400 in january 2013 to well over 1,000 by december 2014); 15. Acquired a perpetual conservation easement on the strategic dreisbach land in the scenic hana highway and coastal corridor; 16. Acquired a perpetual conservation easement on the strategic hrp hana llc land in the scenic hana highway and coastal corridor (this was hilt's 6th successful conservation closing in 2014, an all-time record number of closings in a year for hilt surpassing the prior record of 3 closings in a year set in 2013); and 17. Generated the most private annual cash revenue in hilt's history in 2013 and then surpassed that in 2014 with an all-time record amount of private revenue for hilt's mission. 18. Met condition to maintain reduced agricultural water rates by donating wood from the waihe'e property to various charitable organizations valued at 1,200.	
Friends Of The Library Of Hawaii	http://		EIN 99-0293758	54-460 Kamehameha Hwy	Laie	HI	96731	USA								
Good Shepherd Foundation Inc	http://www.goodshepherdfoundation.org	(808) 935-5563	EIN 95-1617840	Po Box 1880	Pahoa	HI	96778	USA	Animal Protection & Welfare, Animals	Our mission is to create a more peaceful and compassionate world, reduce human and animal suffering, and protect the environment.					Research and public education promoting human, animal and environmental health with a focus on prevention. Institute for the study of culturogenic disease research and outreach program including public and government education.	
Universal Life Alliance	http://www.t-u-l-a.org		EIN 95-3048863	Po Box 583	Pahoa	HI	96778	USA	Education, Primary & Elementary Schools, Secondary & High Schools	The Universal Life Alliance is currently working in partnership with Bridges Of Kinship (BOK) while they work to attain their 501c3 status. The current joint venture is to acquire used and/or discarded text books for K - 12 and to send them to Cambodia for distribution to the children. Cambodia has recently attained its independence and is diligently working toward providing the necessary tools to educate their children. With all of their educational resources being destroyed by decades of war and strife, their is little left of their educational system. We are working to help them restore their educational system.						
Girl Scouts Of Hawaii	http://www.girlscouts-hawaii.org	(808) 595-8400	EIN 99-0073488	410 Atkinson Dr Ste 2e1	Honolulu	HI	96814	USA	Children & Youth, Girl Scouts of the U.S.A.	The girl scouts of hawaii's primary exempt purpose is to help girls develop their fullest potential through group experience.					Comprehensive youth development	
Hui Laulima O Hana	http://	(808) 248-7840	EIN 32-0243201	Po Box 218	Hana	HI	96713	USA	Community Clinics, Health, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Philanthropy, Voluntarism & Grantmaking Foundations	To provide charitable dialysis treatment and health care services to support and improve the culturally unique quality of life of the hawaiian communities of east maui.					Provided dialysis treatment to three patients.	
Kamehameha Aquatics Team	http://		EIN 99-0320289	Po Box 17656	Honolulu	HI	96817	USA	Racquet Sports, Sports							
Arts of Kona	http://	(808) 895-2107	EIN 80-0221593	PO Box 2491	Kallua Kona	HI	96745	USA	Arts & Culture	Provide access of all types of music to the local community.					Provide music of all types to the local community.	
Pacific Aviation Museum Pearl Harbor	http://www.pacificaviationmuseum.com	(808) 441-1015	EIN 99-0337979	319 Lexington Blvd Hangar 37 on Historic Ford Island	Honolulu	HI	96818	USA	Arts & Culture, Environment, History Museums, Land Resources Conservation, Science & Technology Museums						Museum is in development stage in historic hangars and control tower on 22.7 acres of Ford Island in the middle of Pearl Harbor, Hawaii.	
Harold Lloyd Lyon Private Foundation	http://		EIN 99-0261240	Po Box 3170	Honolulu	HI	96802	USA								
Olivet Baptist Church	http://		EIN 99-0079728	1775 S Beretania St	Honolulu	HI	96826	USA								
Vipassana Metta Foundation	http://		EIN 99-0321706	Po Box 1188	Kula	HI	96790	USA	Buddhism, Religion							
Thy Word Ministries	http://		EIN 99-0122135	Po Box 3770	Lihue	HI	96766	USA								
Gn Wilcox Health Services	http://		EIN 99-0238079	3420 Kuhio Highway	Lihue	HI	96766	USA	Centers to Support the Independence of Specific Populations, Human Services							
NA Hoaloha-Maui Interfaith Volunteer Caregivers	http://www.nahoaloha.org	8082492545	EIN 99-0326282	P.O. Box 3208	Wailuku	HI	96793	USA	Human Services, Personal Social Services, Senior Centers, Seniors	The mission of Na Hoaloha  Neighbors Helping Neighbors, is to provide compassionate care services to homebound seniors to enable them to remain in their homes and independent for as long as possible.				Maui County	Adult Day Care ScholarshipsOffer family caregivers time away from care giving while their loved ones socialize, exercise, and enjoy activities in a warm caring atmosphere. Services also include: caregiver support groups workshops counseling education	Reimburses family caregivers @ $12/hour to hire a private in-home caregiver for elder family member.
The Womens Island Soccer Association	http://		EIN 99-0256811	C/o 1648 Auiki Street	Honolulu	HI	96819	USA		Sustaining the oahu leagues and annual tournaments					Expenses to run the oahu league and annual tournaments	
Assistance League Of Hawaii	http://hawaii.assistanceleague.org	(808) 946-1505	EIN 23-7024314	1505 Young St	Honolulu	HI	96826	USA	Community Service Clubs, Human Service Organizations, Human Services, Thrift Shops	Assistance league of hawaii is an all volunteer, nonprofit organization putting caring and commitment into action through philanthropic programs and education for the people of hawaii with an emphasis on children.					Operation school bell program provided new school clothing and other items for over 9,000 students from 37 schools on oahu, molokai and "the big island" of hawaii.   operation wildlife program presented endangered species programs to over 5,200 4th grade students and 395 adults in 68 schools on oahu, kauai, maui, molokai and the big island of hawaii; talked to and shared touch-see exhibits of biofacts with over 60,000 visitors to the honolulu zoo, encouraging conservation and awareness of endangered species in hawaii and throughout the world.   we care program provided more than 1,700 malama bears (comfort teddy bears) to hospital pediatric wards, er's, shelters, organ donation and hospice centers, and honolulu fire trucks to give comfort to those in traumatic situations; delivered over 741 baby layettes to new mothers in need in oahu hospitals; provided backpacks, underwear, t-shirts, shorts, toiletries, and bus passes to over 300 homeless teens at youth outreach drop-in center; sponsored a birthday party for over 50 homeless children residing at the next step project shelter; donated children's books to next step project shelter as part of make-a-difference day; donated new underwear, rubber slippers, and toiletries bi-monthly to next step project shelter for the 240 residents there.	
Komike Punana Leo O Hilo	http://		EIN 39-0277415	1744 Kinoole St	Hilo	HI	96720	USA	Education, Parent & Teacher Groups							
Big Island Substance Abuse Council	http://www.bisac.org	(808) 969-9994	EIN 99-0118043	16 179 Melekahiwa St	Keaau	HI	96749	USA		Substance abuse prevention and treatment.					Alchohol/drug abuse treatment for adult: admitted 442 adults to all facilities for outpatient treatment including substance abuse education, vocational education, skill building and individual counseling.   adolescent program: to assist chemically dependent adolscents in developing alternative coping skills to successfully amend their life pathways to productivity. 291 youths admitted to outpatient program ranging from 30 to 120 days.   therapeutic living programs: 113 adults admitted to the program for the purpose of reducing the risk of relapse and to assult them in reintegrating into the community as a functional, contributing member of society.   substance abuse prevention and treatment programs.	
ENTREPRENEURS FOUNDATION OF HAWAII	http://www.efhawaii.org	(808) 546-2288	EIN 30-0215857	733 Bishop St Ste 2500	Honolulu	HI	96813	USA	Philanthropy	To mobilize the resources of corporations and related donors to increase their support of charitable endeavors in their communities; to strengthen community-based nonprofit organizations, and otherwise to engage in charitable and educational activities; and to operate exclusively for charitable, scientific, literary, religious, or educational purposes, within the meaning of section 501(c)(3) of the internal revenue code of 1986 (or corresponding provision of any future united states internal revenue law)					We continue to weave entrepreneurship into our philanthropic and community events by offering entrepreneurs opportunities to help other entrepreneurs.   we promoted our mission and outreach by organizing educational and networking events for entrepreneurs and investors. In 2014, we held the following events: vc talk story; proservice-a search fund story; pupus & pitches-angels edition; bootstrap your way to success; equity crowdfunding workshop; pupus & pitches-vc connection; and wine tasting reception & silent auction.   we furthered our mission of fostering entrepreneurship and philanthropy by partnering with other organizations at their events, including lemonade alley; social wahines, box jelly and speed networking; founder institute lecture; hong kong business association of hawaii and hong kong-china business forum; and national association of professional women.	
East Maui Animal Refuge	http://www.booboozoo.org		EIN 99-0278442	25 Maluaina Pl	Haiku	HI	96708	USA	Animal-Related, Animals, Wildlife Preservation & Protection, Wildlife Sanctuaries	The East Maui Animal Refuge (EMAR) is a no-kill rehabilitation sanctuary for injured and orphaned animals who would otherwise die.EMAR is licensed by both the State and Federal Department of Fish and Wildlife to rehabilitate animals - including threatened and endangered species						
Kinoole Baptist Church	http://		EIN 99-0112032	1815 Kinoole St	Hilo	HI	96720	USA								
WOMEN'S FUND OF HAWAI`I	http://www.womensfundhawaii.org	(808) 954-9653	EIN 30-0273733	Po Box 438	Honolulu	HI	96809	USA	Centers to Support the Independence of Specific Populations, Philanthropy, Public Foundations	Funding women's/girl's non-profit organizations					The women's fund of hawaii provided $32,500 in funding to innovate, grassroots programs supporting women and girls in hawaii. The grants focused on keeping women and girls safe, financially secure, and empowered.	
Honpa Hongwanji Mission Of Wahiawa	http://		EIN 99-6011915	Po Box 860265	Wahiawa	HI	96786	USA								
Centers For Spiritual Living	http://		EIN 99-0321382	Po Box 385021	Waikoloa Village	HI	96743	USA	Religion, Religion-Related							
Santa Fe College Of Design Inc	http://		EIN 94-3244775	6041 Lokomaikai Pl	Kapaa	HI	96746	USA	Education, Vocational & Technical Schools							
Kohala Animal Relocation And Education Service	http://		EIN 27-0575124	Po Box 44670	Kamuela	HI	96743	USA	Animal Protection & Welfare, Animals							
Palolo Hongwanji	http://		EIN 99-0109379	1641 Palolo Ave	Honolulu	HI	96816	USA								
Spiritual Life Center	http://		EIN 99-0322032	1020 S Beretania St	Honolulu	HI	96814	USA	Christianity, Religion							
His Precious Word Fellowship Inc	http://		EIN 99-0270131	94-105 Haaa St	Waipahu	HI	96797	USA								
Hawaiian Monk Seal Response Team Oahu Inc	http://www.hmsrto.org	(808) 561-8112	EIN 80-0307574	Po Box 1962	Pearl City	HI	96782	USA	Animal Protection & Welfare, Animals	The organization's primary purpose is to protect & perpetuate the endangered hawaiian monk seal through: (1) education through public events, school programs & media relations to increase the local community & visitor awareness of the hawaiian monk seal; (2) by developing, training and maintaining a volunteer network; & (3) by assisting federal, state and non government organizations' efforts in the recovery of the hawaiian monk seal in the wild.					During 2012, the organization spent $38,143 in grant monies received from noaa. The primary objective of the grant monies is to enhance noaa's mission in the recovery of the hawaiian monk seal in accordance with marine mammal protection act and the endangered species act. The organization accomplished this by preventing disburstance of seals through public outreach and education during responses to monk seal events such as haul outs, molting, pupping, hookings and other injuries, sightings, relocations and husbandry via the recruiting, training & scheudling of volunteers to respond to the above events. The organization recruited and trained 210 volunteers who logged over 10,500 hours of volunteer beach response on the islands of oahu & molokai. The volunteers also manned booths at 11 fairs and other events and logged over 100 hours in school classrooms to present our educational dvd about the hawaiian monk seal. Seven volunteers were sent to the marine mammal center in marin, ca to receive advanced training in captive seal care. We also assisted noaa in their two bi-annual seal count days by recruiting, training & scheduling volunteer counters for those days.	
Transformation Ministries	http://		EIN 99-0325307	1313 Pensacola St	Honolulu	HI	96814	USA								
Bay Clinic, Inc.	http://bayclinic.org	(808) 961-4071	EIN 99-0222784	450 Kilauea Avenue, Suite 105	Hilo	HI	96720	USA	Community Clinics, Community Health Systems, Family Planning, Health, Human Services, Personal Social Services, Reproductive Rights	Bay Clinic is a community-directed healthcare organization that provides quality primary and preventive care services to the people of East Hawai'i.  Bay Clinic will ensure that patient-centered, culturally responsive, and affordable healthcare services are locally accessible in our communities.		Medically underserved populations, including people living in poverty, the homeless, the uninsured, immigrants, and migrants.	22,096 patients with 78,174 patient visits.	East Hawai'i - Districts of North Hilo, South Hilo, Puna, and Ka'u	Preventive health screenings, voluntary family planning, breast and Cervical Cancer Control Program, adult and child dental care, well child care, immunizations, OB-GYN, behavioral health, WIC, tobacco cessation, case management, health education, outreach, translation services, and nutrition counseling.	
Hawaii Philadelphia Mission Church	http://	(808) 521-0749	EIN 99-0282936	627 South St	Honolulu	HI	96813	USA	Christianity, Religion	Religious organization:christian church					To provide worship services for minority christians and to promote the spread of christianity.	
Mennonite Ministries Of Hawaii	http://		EIN 99-0257975	1521 B Kam Iv Rd Ste B	Honolulu	HI	96819	USA								
Lahaina Arts Society	http://		EIN 99-0118535	648 Wharf St	Lahqina	HI	96761	USA	Arts & Culture, Arts & Humanities Councils & Agencies							
Jewish Community Services	http://	(808) 258-7121	EIN 99-0334439	Po Box 235805	Honolulu	HI	96823	USA	Human Service Organizations, Human Services	To support and enhance the quality of life for those in need of help in the hawaii jewish community by providing appropriate social services.					Provide information, counseling, advocacy, referrals, resources, financial assistance for immediate crisis (food, shelter, utilities, transportation, health, etc. ). Jewish community services had approximately 156 referrals, 489 interactions and assisted seniors, adults, and families.	
Mililani Athletic Association Inc	http://		EIN 23-7411042	94-427 Hokuili St	Mililani Town	HI	96789	USA								
Waipa Foundation	http://www.waipafoundation.org	(808) 639-1815	EIN 99-0313224	Po Box 1189	Hanalei	HI	96714	USA		To restore waipa's vibrant natural systems and resources and inspire healthy, thriving communities connected to their resources.					Served 100 children and youth from the local community in programs weekly afterschool, on weekends, intersession and summer breaks. Programs focused on leadership, enrichment, community building, life and work skills, academics and hawaiian cultural values and practice. Provided programs in 2014 for a total of 2,058 children, youth, and lifelong learners in groups from beyond the local community, focusing on enrichment, academics, leadership, hawaiian culture, and the connection between people and the natural world. Managed and actively maintained 30 acres of land, resources, and facilities at waipa as learning sites for programs, both to increase participants' health and to provide food and materials for waipa's programs. Learning sites included two reforestation sites, a stream restoration site, lo`i kalo (taro fields), two vegetable gardens, one fishpond, fruit orchards, a greenhouse/plant nursery, and six campsites. Sold produce during the year from waipa's taro fields and gardens and fed its volunteers and program participants. Hosted community volunteers on quarterly workdays to assist with the maintenance of its learning and work sites. Monitored the stream and increased restored area by . 25 acre. Regarding built facilities, waipa foundation began construction on its poi mill, kitchen, and hale imu facilities, which will support both training programs and community economic development. During 2014, waipa received building permits, secured a contractor, and brought construction of the facilities to over 50% completion. Waipa implemented two major festivals on site: its annual mango and music festival in august, and a kalo festival in december, which drew about 3,500 attendees from the community, including over 50 vendors at each event. Its weekly farmers market on tuesday afternoons once again welcomed an estimated 22,500 individuals during the year. Waipa's weekly poi making and distribution, held on thursdays and facilitated and ran by waipa foundation staff and an estimated 20 volunteers weekly, made and distributed over 50,000 lbs of poi during the year.	
Calvary Fellowship, Inc.	http://		EIN 94-3272315	PO Box 1063	Hilo	HI	96721	USA								
Honpa Hongwanji Mission Of Hawaii	http://		EIN 99-0073500	1727 Pali Hwy	Honolulu	HI	96813	USA								
Kamehameha Schools Association Of Teachers And Parents	http://		EIN 99-0175487	2010 Princess Dr Ste 304	Honolulu	HI	96817	USA	Education, Parent & Teacher Groups							
Kona Orchid Society	http://		EIN 99-0239447	Po Box 4566	Kailua Kona	HI	96745	USA								
Seicho No Ie Komyo Shiso Fukyo Kai Maui Shima Shibu	http://		EIN 99-6007151	Po Box 241	Wailuku	HI	96793	USA								
Foundation For God	http://		EIN 99-0246563	Po Box 6336	Ocean View	HI	96737	USA	Christianity, Religion							
Lutheran High School Association Of Hawaii	http://		EIN 99-0258180	1404 University Ave	Honolulu	HI	96822	USA	Children & Youth, Education, Secondary & High Schools, Youth Development - Religious Leadership	Educating for Life - Promoting the Faith.						
Chado Urasenke Tankokai Hawaii Association	http://www.urasenkehawaii.org	(808) 923-3059	EIN 99-0287866	2454 S Beretania St Ste 401	Honolulu	HI	96826	USA	Arts & Culture, Cultural & Ethnic Awareness	The organization's basic exempt purpose is to provide the general public and the organization's membership with education and training on the discipline of chado, the way of the tea.					The basic principles of chado include the harmony of the tea utensils & the manner in which they are used. Chado teaches respect for people & all things. To accomplish its exempt purpose, the organization holds five major tea ceremonies open to the general public. The organization also performs demonstrations upon the request for public & private nonprofit schools.	
Waikiki Baptist Church	http://		EIN 99-0116206	424 Kuamoo St	Honolulu	HI	96815	USA								
Taiwanese Presbyterian Church Of Honolulu	http://		EIN 99-0219480	1822 Keeaumoku St	Honolulu	HI	96822	USA								
Hawaii Speech League	http://		EIN 99-0210972	1951 Mokuhano	Honolulu	HI	96825	USA								
100th Infantry Battalion Legacy Organization	http://	(808) 547-9549	EIN 99-0296675	520 Kamoku St	Honolulu	HI	96826	USA	Arts & Culture	To perpetuate the 100th infantry					To carry on the legacy of the 100th infantry battalion through educational programs and scholarships approximately 1,000 individuals benefited.	
StarWish	https://www.facebook.com/pages/StarWish/121798394579283	(808) 662-8033	EIN 20-2987623	2605 Kaanapali Parkway	Lahaina	HI	96761	USA		Starwish is a non-profit organization raising monies that are all donated to charities		local Maui community	20 students from Maui with tuition assistance to colleges in Hawaii and several other states	Lahaina	the StarWish Scholarship Program.  A fundraising effort by employees of the Sheraton Maui Resort & Spa, providing scholarships to Maui youth particularly associates'  children/grandchildren and assistance to local charities.	
Kauai Veterans Museum	http://		EIN 71-1036665	3215 Kapule Hwy	Lihue	HI	96766	USA	Arts & Culture, Museums							
Kanalu (K38)	http://www.KanaluK38.com	8085615663	EIN 14-1994712	Attn:  Thomas K Stone III PO Box 5248	Kaneohe	HI	96744	USA	Education	Kanalu is dedicated in the preservation of native Kanaka Maoli (The People) culture.   Kanalu - K38 is dedicated to education for the purpose of lifesaving.  We have an official international annual awards program called The Wake of Fame. Kanalu K38 is the founder of the Rescue Water Craft Association, a governing body of concerned and committed international lifesavers.	Our educational outreach programs have had a direct impact nationally and regionally by supporting direct hands on training with rescue water craft and program development training over 300 students in 2015.  We recently inducted 42 persons in our Wake of Fame awards and are accepting nominations for 2016.  Kanalu is dedicated in the preservation of native Kanaka Maoli (The People) culture.  Kanalu shares with modern society how surfboards from the late 1800s were built, from the time a koa or wili wili (endemic species) trees were felled, to the cultural significance of location, to carving of a solid wood slab transforming its kinolau (body form) and life through ancient ritualism of the Hawaiian using the implements of old  creating story and chant in the process. Follow the journey of resurrection, life reborn, from the eyes and hands of native Hawaiians as we revive the traditional practices of surfing with the construction of Olo (longest) and kiko`o (averaging about 3.3m), alaia (shortboard) surfboards, and the making of the papaholua (Hawaiian sleds) for competition for the first time in nearly two centuries as we honor the Hawaiian people and their culture, nearly vanished. Traditionally the process begins with the giving of the koko (blood) - to its bonding with sea and land  to the finished implement (using traditional methods of preservation) - to sliding across the face of a mountain and wave.	Preserve Native Heritage and Ensure the Safety of Occupational Lifesaving Professionals and Public Trust through Highly Trained RWC Operators	384 Students and Rescue Professionals	Cultural Education, Lifesaving Education, and Community Outreach	Lifesaving, Swimming to Prevent Risk of Drowning, Rescue Water Craft and Personal Water Craft Program, Cultural Programming for creating and riding Holua Sleds and Ola Surfboards, Wake of Fame Awards Program, Rescue Water Craft Associate International program, Lifesaving scholarship Program	
Seabury Hall	http://www.seaburyhall.org		EIN 99-0110784	480 Olinda Rd	Makawao	HI	96768	USA		Prepare students for successful college and university work; move students to develop mind, body, and soul; cause students to realize their responsibility to community.					The school is an independent, college-preparatory school of students grades six through twelve.   auxiliary activities including meals and boarding for faculty and students.   summer school and other programs to supplement the regular curriculum.   financial aid to assist those students who are in need and to encourage other students to attend.	
Hawaii Holocaust Resource Center	http://		EIN 94-3264900	725 Kapiolani Blvd	Honolulu	HI	96813	USA	Arts & Culture, History Museums							
Cat-Care	http://www.youtube.com/user/CatCaresCatHouse		EIN 99-0338619	Po Box 453	Volcano	HI	96785	USA	Animal Protection & Welfare, Animals	The mission of Cat-Care is to provide a safe and loving sanctuary forcats and kittens that have been abandoned at the Volcano Refuse Station, to reduce cat overpopulation and to reunite lost pets and owners.						
Common Grace	http://www.commongrace.org		EIN 30-0110074	Po Box 31116	Honolulu	HI	96820	USA	Education	In 2013, common grace facilitated relationships between 23 local churches and public schools in the state of hawaii. A total of about 120 children are matched with church volunteers. The church volunteers goes to the public school to spend oe hour with one child each week.					Training 120 new mentors, maintaining relationships and teams, mentor-mentee fun day with 175 participants.	
Church Of Ke Auhou	http://		EIN 99-0235440	83 Nawiliwili St	Honolulu	HI	96825	USA								
Nani O Waianae	http://		EIN 99-0303853	84-370 Makaha Valley Rd	Waianae	HI	96792	USA	Environment							
John T Waterhouse Trust Estate Ii Bishop Museum 20582004 010985	http://		EIN 99-6048707	Po Box 3708	Honolulu	HI	96811	USA								
Kapiolani Park Preservation Society	http://		EIN 99-0250134	Po Box 3059	Honolulu	HI	96802	USA								
KONA FAITH CENTER, INC.	http://konafaithcenter.org	808-323-3788	EIN 99-0264407	PO Box 385	Kealakekua	HI	96750	USA								
Science Of Identity Foundation	http://		EIN 99-0177647	1033 Ilipilo St	Kailua	HI	96734	USA								
Womens International Bowling Congress Inc	http://		EIN 99-0283271	3144 Elua St	Lihue	HI	96766	USA								
Believers Bible Fellowship	http://		EIN 99-0330767	Po Box 1265	Pearl City	HI	96782	USA	Christianity, Religion							
Ewa Majesty Baptist Church	http://		EIN 99-0311880	147 Circle Dr	Wahiawa	HI	96786	USA								
Institute Of Catholic Higher Education Inc	http://		EIN 74-1876656	3880 Wyllie Rd Apt 23b	Princeville	HI	96722	USA	Religion, Religion-Related							
Universal Church Of God	http://		EIN 99-0288670	Po Box 2208	Kealakekua	HI	96750	USA								
Christ Lutheran Church	http://		EIN 99-0226575	95-1361 Meheula Pkwy	Mililani	HI	96789	USA								
Hawaii Literary Arts Council	http://		EIN 99-0184655	Po Box 11213	Honolulu	HI	96828	USA								
Financial Education Center	http://		EIN 99-0143820	91-2036 Kaioli St Apt 6206	Ewa Beach	HI	96706	USA	Financial Institutions							
