name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Geographic areas served	Results	Direct beneficiaries per year	 
Laurel Library Trust	http://		EIN 81-6060081	PO Box 462	Laurel	MT	59044	USA								
Hellgate Band Parents Inc	http://		EIN 81-0440087	900 S Higgins Ave	Missoula	MT	59801	USA								
Cruise 4 Kids	http://		EIN 27-0802357	1706 3rd Ave N	Great Falls	MT	59401	USA	Children & Youth, Children & Youth Services							
Montana Academy Of Sciences	http://		EIN 81-0439307	Msu-billings 1500 University Drive	Billings	MT	59101	USA	Education, Scholarships, Scholarships & Student Financial Aid	To promote research in all sciences in Montana						
Faith Alliance Church	http://		EIN 81-0381539	301 E Main St	Sidney	MT	59270	USA								
Polar Bears International	http://www.polarbearsinternational.org	(406) 586-9416	EIN 77-0322706	PO Box 3008	Bozeman	MT	59772	USA	Animals, Christianity, Protection of Endangered Species, Religion	Polar Bears International is the worlds leading polar bear conservation groupdedicated to saving polar bears by saving their sea ice habitat. We champion polar bears wherever they are, concentrating our strategies in areas of research, education, and action.	Polar Bears International is the worlds leading polar bear conservation groupdedicated to saving polar bears by saving their sea ice habitat. We champion polar bears wherever they are, concentrating our strategies in areas of research, education, and action. Working closely with the worlds leading polar bear scientists, we take an innovative approach to conservation, building collaborations in the interest of the bears.		International			
Centers For Spiritual Living	http://		EIN 81-0468191	475 8th Avenue East N	Kalispell	MT	59901	USA	Religion, Religion-Related							
Belle Creek Community Church	http://		EIN 23-7098420	Local	Belle Creek	MT	59317	USA								
Livingston Depot Foundation Inc	http://		EIN 81-0432095	Po Box 1319	Livingston	MT	59047	USA	Arts & Culture, History Museums							
Little League Baseball Inc 4260119	http://www.littleleague.org/		EIN 52-1278780	Rr 1 Box 1227	Hardin	MT	59034	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports	To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.						
Parent Teachers Houseparent Association	http://		EIN 81-0417323	3911 Central Ave	Great Falls	MT	59405	USA								
YWCA OF BILLINGS ENDOWMENT FOUNDATION INC	http://www.ywcabillings.org/	(406) 252-6303	EIN 81-0534954	909 Wyoming Ave	Billings	MT	59101	USA	Human Services, Young Mens or Womens Associations	Purpose of organization is to hold and maintain the principal portion of investments, the income of which is to be used for furtherance of the exempt purpose of the young women's christian association of billings, montana.	Gateway, our domestic violence shelter; our licensed Child Center with school readiness  curriculum  and our Employment & Training Center.	saving, changing and improving the lives of women and children for more than 100 years	Billings		more than 800 women and children with our Gateway program.	
Big Sky Senior Services, Inc. DBA Senior Helping Hands and Prevention of Elder Abuse	http://www.bigskyseniorservices.org	4062593111	EIN 81-0364919	937 Grand Ave.	Billings	MT	59102	USA	Human Services, In-Home Assistance, Public & Societal Benefit, Senior Centers, Seniors, Supportive Housing for Older Adults	Senior Citizens deserve the right to live in their homes, safe and free from abuse. Regardless of their income, Big Sky Senior Services provides services that promote independence, enhance quality of life and prevent elder abuse.	Senior Helping Hands helps seniors who are 60 years or better who are no longer able to perform daily living tasks due a decline in their physical or mental abilities due to age and/or illness.  In-home care services such as light housekeeping, respite care, personal care and nursing care.  Eligibility is Seniors we serve are not eligible for Medicare or Medicaid services.  We offer a sliding fee scale based on income.  Prevention of Elder Abuse works to prevent abuse, neglect and financial exploitation through a representative payee program, case management and community education.	Senior Citizens and Adults with Disabilities	Yellowstone, Stillwater & Carbon counties in Montana		Over 218 Seniors & Adults with Disabilities per month	
Montana Innocence Project	http://		EIN 26-2603477	Po Box 7607	Missoula	MT	59807	USA	Crime & Law, Legal Services							
Orphan's Lifeline of Hope International	http://www.orphanslifeline.org	406-257-0868	EIN 81-0530827	135 Kelly Road	Kalispell	MT	59901	USA	Children & Youth, Children & Youth Services, Human Services, International, International Relief, Residential Care & Adult Day Programs	To bring hope to the orphans of the world by providing food, shelter, medical care, children's Bibles, educational assistance, adoption advocacy and more in a manner that breaks the cycle of dependence and promotes individual and societal productivity as well as charitable character within the community.	Daily basic needs including food clothing and a home, education, medical care, mentoring and nurturing	orphans (children without parental care) wherever they may be.	International	Orphan's Lifeline International currently cares for nearly 20,000 orphan children in 10 countries including Russia, India, Pakistan, Uganda, Kenya, The Philippines, Haiti, Sudan, Mexico and the U.S. Our programs have been implemented for 10 years and we can now have definitive proof that we are breaking the cycle with nearly all graduating orphans moving on to college and /or jobs. They are starting their own families and most importantly, not abandoning their own children.	19,000 + children without parental care	
K9 Care Montana	http://www.k9caremontana.org	(406) 560-2230	EIN 27-0790554	PO Box 411	Philipsburg	MT	59858	USA	Centers to Support the Independence of Specific Populations, Human Services	Our Mission is to give wounded warriors and special needs children the quality of life they deserve by providing service dogs to mitigate their disabilities and also by providing customized outdoor experiances in Western Montana.	High quality Service Dogs and customized outdoor programs and activities.	wounded warriors and children with autism	Philipsburg, Montana	We have had amazing results! Our service dogs have given freedom to housebound warriors and given speech to non-verbal children with autism!	multiple wounded warriors and children/families facing autism	
Missoula Urban Demonstration Project	http://www.mudproject.org	(406) 721-7513	EIN 81-0410863	1527 Wyoming St	Missoula	MT	59801	USA	Adult Education, Community & Neighborhood Development, Economic Development, Education, Environment	Provide a model of urban sustainable living through education, demonstration, and celebration in the missoula community. Our most significant programs are the missoula tool library, truck share, and sustainability living workshop series and its related residency project.	Tool lending library served over 400 households this year, with close to 700 people borrowing tools for home improvement, lawn and garden care, food preservation, and more. Our library has over 2,000 tools available for our members to borrow.   educating the greater missoula community through demonstrating sustainable urban living methods with the backyard sustainability workshop series, resources library and website, and youth focused programs to expand our impact in future, urban decision makers.   residency program allows our residents to live in our community as part of aplanned living environment. M. U. D. Residents care for the community gardens, help run other programs, and contribute time as volunteers leading tours of demonstration projects on our sites. In exchange, m. U. D. Residents receive low rents for their efforts. This program allows city residents to explore using sustainable living techniques so they can live with less impact throughout their lives, especially when they move on in the future.   truck share program reduces large vehicle trips on our community by allowing our members to borrow a truck for large hauling tasks, like moving, gardening, waste removal, and other projects. M. U. D. Members can then purchase smaller vehicles, or use sustainable transportation methods for everyday use, and reserve the trucks for a few times a year they need a larger vehicle.					
Gallatin Park County Youth Guidance Home, Inc.	http://		EIN 81-0347208	PO Box 1403	Bozeman	MT	59771	USA	Children & Youth, Children & Youth Services							
Montana 4-H Foundation Inc	http://		EIN 81-0504900	Po Box 607	Chester	MT	59522	USA								
Montana United Indian Association	http://	(406) 315-3413	EIN 81-0309720	600 Central Ave Ste 320	Great Falls	MT	59401	USA		Our purpose is to improve the economic, social and cultural status of montanas urban native americans by promoting and creating job opportunities and providing education assistance.	The federal grand funds the organizations purpose, which is to improve the economic, social and cultural status of montanas urban native americans by promoting and creating job opportunities and providing education assistance. 124 individuals were assisted from 7/1/2014 - 6/30/2015.					
Greater Yellowstone Coalition	http://www.greateryellowstone.org	406-586-1593	EIN 81-0414042	13 South Willson Avenue Suite 2	Bozeman	MT	59715	USA	Animals, Environment, Water, Water Resources, Wetlands Conservation & Management, Wildlife Preservation & Protection	People protecting the lands, water and wildlife of the Greater Yellowstone ecosystem, now and for future generations	Lands protection (see schedule o)  wildlife protection (see schedule o)  other programs that include outreach and education	GYC protects and preserves the 22 million acre ecosystemits lands, rivers and wildlifethat include and surround Yellowstone National Park	Idaho, Montana, Wyoming	Please see website; we have achived many conservation victoriesbut we are best known for halting a gold mine above Yellowstone	22 million acres of pristine and irreplaceable land in the West	
Buffalo Field Campaign	http://www.buffalofieldcampaign.org	406-646-0070	EIN 36-3964401	PO Box 957	West Yellowstone	MT	59758	USA	Animals, Arts & Culture, Environment, Film & Video, Land Resources Conservation, Unknown, Wildlife Preservation & Protection	Since 2000, state and federal agencies have engaged in the wanton slaughter of nearly 6,000 Yellowstone bison, members of America's only continuously wild and genetically pure herd.  Buffalo Field Campaign patrols defend the buffalo and their critical habitat, and document every move made against them.	Frontlines defense of yellowstone bison - buffalo field campaign's core program is the operation of daily field patrols along bison migration corridors near the boundaries of yellowstone national park. Patrols operate during the times of year when bison are in montana. Voluteers equipped with still and video cameras document every action taken aqainst buffalo and the toll these operations take on wild species in the ecosystem. Buffalo field campaign provided training, room, board, winter clothing, and equipment to each of these volunteers outfitting them for some of the most extreme weather conditions in the country. Time spent in the presence of wild bison - both in their natural grace and through the chaos of hazing, capture, and slaughter operations - inspires buffalo field campaign volunteers and coordinators to visualize, organize, and actualize a wide range of initiatives aimed at bringing permanent protection to this last wild bison population. A goal of the frontlines bison defense project is to permanently protect bison migration routes and the bison's right to access them. The organization convey information and images gained through field patrols, public meetings, and research to citizens across the country and around the globe.   policy work, research and legal program - the bfc researches information related to the yellowstone buffalo, brucellosis and wildlife in the greater yellowstone area. Coordinators conduct extensive research into land use issues and present their findings to the general public and attend public meetings and conferences and submit public comments on management decisions affecting the yellowstone bison.   education and outreach - the buffalo field campaign's education and outreach efforts convey information and images gained through field patrols, public meetings and research to citizens across the country and around the globe. Bfc conveys buffalo-related news and information through a multi-media website, weekly email updates, coverage in mainstream and alternative newspapers, television, and radio on a variety of websites, on annual road shows, and through the publication and distribution of an annual newsletter.	America's only continuously wild population of free-born bison	Yellowstone country: in Montana and Yellowstone on the buffalo's chosen habitat			
Young Womens Christian Assn	http://www.ywcahelena.org	(406) 442-8774	EIN 81-0235416	501 N Park Ave	Helena	MT	59601	USA	Human Services, Young Mens or Womens Associations	Ywca of helena is dedicated to eliminating racism, empowering women, and promoting peace, justic, freedom, and dignity for all. The ywca of helena is committed to providing women with safe, affordable housing and assistance in accessing community resources.	The ywca provides safe and affordable housing for up to 33 women and their children. Each woman living at the ywca has her own private bedroom and shared use of the kitchen, living room, community rooms, computer with internet access, telephone, and laundry facility. This program also includes all the administration for all of ywca of helena's activities.					
Missoula County Cancer Association	http://		EIN 23-7081139	3005 Queen St	Missoula	MT	59801	USA	Cancer							
Central Asia Institute	http://www.centralasiainstitute.org	406.585.7841	EIN 51-0376237	PO Box 7209	Bozeman	MT	59771	USA	International, International Development, International Relief	We empower communities of Central Asia through literacy and education, especially for girls; to promote peace through education; and to convey the importance of these activities globally.	We build schools, provide ongoing support to schools and children, women's vocational centers & literacy programs, public health programs, community programs, teacher training programs and scholarship programs.	empowering girls and women in Central Asia	Afghanistan, Pakistan, & Tajikistan	Central Asia Institute was started in 1996.  Since then we have built 189 schools, supported 120 schools, 65 vocational & literacy programs, 14 community programs, 37 public health programs, 11 scholarship programs, and 14 teacher support programs.  This past year we positively impacted over 100,000 people through CAI supported programs.		
U & I Nonprofit Corporation	http://www.uandinonprofit.org		EIN 46-0584710	106 High St	Judith Gap	MT	59453	USA	Human Services, Military & Veterans Organizations, Veterans	Dedicated to Improving Disabled Veterans Mobility	Work with the commuinty and sponsors to get motorized wheel chairs to veterans that need them	disabled veterans in need of a mobility device	all areas of the United States			
Child Start Inc	http://www.thechildstartinc.com	(406) 728-5460	EIN 81-0359400	1001 Worden Ave	Missoula	MT	59802	USA	Education, Preschools	Child start, inc. Encourages comprehensive child and family development so that families are respected for the ability to nurture and support their children and children will achieve social competence in all areas of their development.	Head start is a national program that promotes school readiness by enhancing the social and cognitive development of children through the provision of educational, health, nutritional, social and other services to enrolled children and families. In 2014, the organization served 388 children and their families residing in granite, mineral, missoula, powell, and sanders counties in western montana.   the child and adult care food program (cacfp) plays a vital role in assuring the nutritional quality of meals and snacks served to eligible children and adults, and making care more affordable for many low-income families. The cacfp provides cash reimbursement for serving meals to enrolled participants that meet federal nutritional guidelines, outlined in the cacfp meal pattern. In 2014, the organization provided over 60,444 meals for low-income children and adults through the cacfp.					
WILD SKIES RAPTOR CENTER	http://	(406) 210-3468	EIN 27-2332804	PO Box 3676	Missoula	MT	59806	USA	Animals, Bird Sanctuaries	Wild bird rehabiliation center	Providing care, rehabilitation and eventual release of injured wild birds to protect and conserve wildlife. Providing education and outreach programs for bird conservation.					
Old Paths Strict Baptist Church Inc	http://		EIN 81-0360395	316 1st St Nw	Choteau	MT	59422	USA								
Ravalli County Council On Aging	http://www.ravalliccoa.org	406 363-5690	EIN 81-0398791	310 Old Corvallis Rd	Hamilton	MT	59840	USA	Human Services, Senior Centers, Seniors	The Council on Aging is an Aging and Disability Resource Center and is dedicated to assisting persons in Ravalli County 60 years of age or older, or a qualifying person with disability.  Although most of our programs fall under these qualifications, some programs are open to residents of any age.  All programs are intended to help seniors stay safe and in their homes as long as possible.	Providing the Opportunity for Independence	Serving Ravalli County	An Aging and Disability Resource Center			
New Life Assembly	http://		EIN 81-0401663	3950 Temple Pl	Billings	MT	59102	USA								
Jeannette Rankin Peace Resource Center	http://www.jrpc.org		EIN 36-3591327	519 S Higgins	Missoula	MT	59801	USA	Arms Control & Peace, Civil Rights, Civil Rights, Social Action & Advocacy, International, International Peace & Security	The Jeannette Rankin Peace Center (JRPC) exists to educate and empower people to work locally to build a socially just, non-violent and sustainable community and world. We are committed to a process of reflection, dialogue and action, both in times of regional and global crisis and in the on-going work of peacemaking. We believe that relationships - creative, sustained collaborations between and among people - are the basic structure for bringing about social change.  JRPC?s purpose is first to enable and amplify community action, and second to propagate a culture of peace, justice and sustainability.	The peace center was featured in a full-length documentary, "beyond the divide" about the courage to find common ground and overcome differences between veterans and peace advocates. We were invited to speak at screenings locally and in california. The peace center hosted an ongoing discussion group in conjunction with the um mansfield center on intercultural dialogue attended monthly throughout the summer by 40 people each month. The peace center hosted gershon baskin, jewish/palestinian peacemaker in february 2015 in missoula for a community lecture to 200 people. The peace center conducted our annual youth search for peace art contest with about 40 entries from local youth and we displayed the art at an event attended by 50 people from the community. The peace center engaged over 300 individuals throughout mt and from texas and california to fold over 12,000 origami cranes over the summer of 2015 to commemorate the 70th anniversary of the bombing of hiroshima and nagasaki. The peace center's peace knitting group made 35 hats for children in burma, 30 toys to be distributed to burmese children, 25 hats for children in a monastery school in myanmar, 15 pair of mittens for children in a local school, and 9 items for the seaman's institute. The peace center's dish pantry offered dishes, silverware and napkins to 34 individuals and groups for events to prevent the use of disposables.   the fair trade store provided outreach to the community by hosting a fair trade month event attended by over 100 people to educate and the public about fair trade and ethical practices. We continue to provide an alernative shopping experience for an average of 300 customers per week.   other program service accomplishments					
Colstrip Church Of Christ	http://		EIN 81-0421236	Po Box 569	Colstrip	MT	59323	USA								
Quarter Century Club Inc	http://	(406) 234-1118	EIN 23-7010412	Po Box 549	Miles City	MT	59301	USA		To support athletics at miles community college	Support of miles community college athletic programs  support of miles community college athletic programs  support of miles community college athletic programs					
Intermountain Christian Fellowship Inc	http://		EIN 81-0384528	32 Comanche Trl	Great Falls	MT	59404	USA	Christianity, Religion	RELIGIOUS, EDUCATIONAL AND CHARITABLE ACTIVITIES						
The Bread Of Life Soup Kitchen Inc	http://		EIN 36-4112664	Po Box 10687	Bozeman	MT	59719	USA	Community & Neighborhood Development, Economic Development							
Junior Achievement Inc	http://www.ja.org/		EIN 81-6016824	aka Junior Achievement of Billings, Inc. 813 Betsy Dr	Billings	MT	59103	USA	Education	We are the passionate people behind a movement that seeks to educate and inspire young people to value free enterprise, business and economics to improve the quality of their lives.						
Yellowstone Health Partnership	http://		EIN 81-0419904	123 S 27th St	Billings	MT	59101	USA	Health							
Lewistown Art Center	http://		EIN 81-0330277	Po Box 1018	Lewistown	MT	59457	USA	Arts & Culture							
Great Falls American Legion Baseball Club	http://www.gfchargers.org		EIN 81-0405767	Po Box 2768	Great Falls	MT	59403	USA		To promote youth baseball, teamwork and sportsman-like behavior.	The club organizes and schedules baseball games for several american legion clubs throught the area and provides the necessary services to carry on games, including transportation and lodging for out of town games. Teams supported by the organization are the stallions (ages 14-15), electrics (ages 14-17) and chargers (ages 17-19).					
St. Patrick Hospital Foundation	http://montana.providence.org/donate/st-patrick-hospital-foundation/	406-329-5640	EIN 23-7056976	PO Box 4587	Missoula	MT	59806	USA	Health, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Philanthropy, Voluntarism & Grantmaking Foundations, Public Foundations	St. Patrick Hospital Foundation, in support of St. Patrick Hospitals mission, engages and stewards philanthropy, services and programs, ensuring continuous health care excellence in the region we serve.	Since 1873, St. Patrick Hospital has improved the care of the people of Western Montana by combining compassionate patient service with accessible, world-class health care. The St. Patrick Hospital Foundation invests our passion and resources in the region by supporting advanced medical equipment, cutting-edge research, financial assistance for rural health facilities, help with individual medical bills, and preventative practices as an essential component of superior medical care. As a non-profit organization, the St. Patrick Hospital Foundation helps to provide these services to all people, regardless of their ability to pay.   Donations to the foundation remain local. They directly impact seventeen counties, thousands of communities and countless individuals in Western Montana. By supporting the St. Patrick Hospital Foundation, you join in our commitment to enhance the quality of life through quality health care. Thank you for your generosity.	Donations to the foundation remain local. They directly impact seventeen counties, thousands of communities and countless individuals in Western Montana.				
Hospice Care Foundation	http://www.hcfmissoula.com	4065412255	EIN 81-0539006	715 Kensington /suite 2C	Missoula	MT	59801	USA	Health, Voluntary Health Associations & Medical Disciplines	The Mission of the Hospice Care Foundation is to fund compassionate care activities and educate the community on hospice and palliative care options, while striving to ensure that hospice care options are available to all those in need.	granting, fundraising and community awareness	fund hospice and palliative care organiztions in Western Montana	Missoula, Montana	HCF has provided nearly $80,000.00 in grants to 11 hospice and palliative care providers in Western Montana in the last two years.  HCF is currently loooking to adding a granting component and granting to individuals and organizations in the area of financial assistance, burial assistance and last wishes.	11 hospice and palliative care organizations who serve over 2,000 patients.	
Hollowtop Senior Citizens Club	http://		EIN 81-0426743	Po Box 672	Pony	MT	59747	USA	Human Services, Senior Centers, Seniors							
Northern Division Amateur Ski Educational Foundation	http://northernussa.org	(406) 995-6040	EIN 23-7068827	Po Box 161030	Big Sky	MT	59716	USA		Ski racing organization that organizes alpine competition in various states within the framework of ussa, fis and western region programs, procedures and rules. Through the board, committees and volunteers, they coordinate race schedules and development programs, establish competition guidelines, and make team selections for regional and national events.	Ski racing organization that organizes alpine competition in montana, northern wyoming and a portion of south dakota.					
United Way Of Hill County	http://www.helphillcounty.org	(406) 265-6561	EIN 23-7131156	Po Box 1131	Havre	MT	59501	USA		Charitable fund raising for various non-profit organizations.	Charitable fundraising for various non-profit organizations.					
Montanans Improving Tax Administration	http://		EIN 81-0461663	PO Box 706	Helena	MT	59624	USA								
Northern Plains Resource Council	http://		EIN 81-0488209	220 S 27th St Ste A	Billings	MT	59101	USA								
Central Christian Church Foundation Billings Montana	http://		EIN 23-7024607	1221 16th St W	Billings	MT	59102	USA								
World Museum of Mining Inc	http://www.miningmuseum.org	406-723-7211	EIN 81-6014901	PO Box 33 155 Museum Way	Butte	MT	59703	USA	Arts & Culture, Geology, History Museums, Science & Technology Museums, Technology	To Preserve the Rich Historical Legacy of Mining and the Related Culture of Butte, Montana and the Surrounding Region, and to Promote this Significant Mining Heritage by Educating the Public with a Perspective Toward Total Family Interest.	To preserve the rich historical legacy of mining and the related culture of butte, montana and the surrounding region and to promote this significant mining heritage by educating the public with a perspective toward total family interest			The World Museum of Mining is currently fundraising to make some much needed repairs to our exterior exhibit buildings. The buildings, exhibits themselves, house thousands of unique and one of a kind artifacts telling the story of mining and the diverse culture of Butte. During October 2010 we were successful in raising adequate funds to repair the roof on the School House building and our Artifact Processing Center.	Attendance at the World Museum of Mining has steadily increased over the last three years and with the proper care of the exhibits and artifacts we will have the ability to continue to provide an authentic historical venue for those interested in mining and cultural. Additionally we host hundreds of school aged children on their yearly field trips. Our education program provides the students and teaches materials to use prior to and after their trip to ensure the students receive the best educational experience possible.	
Soldiers Chapel Corporation	http://		EIN 81-6011266	Po Box 1411	Bozeman	MT	59771	USA								
Womens International Bowling Congress Inc	http://		EIN 36-3952788	836 6TH St N	Glasgow	MT	59230	USA								
Christ Lutheran Church	http://		EIN 81-0378479	Po Box 407	Big Sandy	MT	59520	USA								
Belmont Ski Education Foundation	http://	(406) 449-6700	EIN 81-0393035	Po Box 480	Helena	MT	59624	USA		Teach sport of alpine skiing/racing	Introduce & teach the sport of alpine skiing & racing to area youth ages 6-18. Conduct ski race for montana youth ages 6-15.					
Intermountain Opera Bozeman	http://www.intermountainopera.org	406-587-2889	EIN 81-0382552	PO Box 37 104 E Main, Ste 101 (US Bank Bldg.)	Bozeman	MT	59771	USA	Arts & Culture, Opera	Established in 1979, the mission of the Intermountain Opera Association of Bozeman, is to promote and share the joy of opera in Montana and surrounding areas by providing affordable, high quality opera performances to audience members of all ages, and to provide educational outreach to area schools and communities.	Intermountain opera association of bozeman (iob) is montana's connection to the wonderful world of opera. Every year iob produces two fully staged opera productions, one in october and one in may with two performances each. Performances take place in the 1,108 seat newly remodeled willson auditorium. The success of iob productions stems from the unique formula of importing nationally known opera performers for lead roles along with the finest conductors and directors in opera circles, to meld their expertise with the iob chorus, orchestra, cast and crew, resulting in the highest quality opera performances serving the vast rural populations in montana. In addition to these two annual opera productions, iob collaborates with montana shakespeare in the parks on a musical theater production. This collaborative effort allows both organizations to bring their strengths to the process while expanding the scope of repertoire available under their normal operations. In conjunction with every iob production educational and outreach events are offered. Workshops, in-school and student field trip presentations, community programs and masterclasses are some of the ways that iob connects individuals more closely to opera and in doing so enhances the opera experience. Guest artists and local opera talent generously share their expertise through these outreach efforts.			36 years of outstanding opera performances.		
Hope Africa Collective Inc	http://www.hopeafrica.com	(407) 288-8032	EIN 26-4147492	345 E Bowman Dr	Kalispell	MT	59901	USA	Protestant, Religion	Hope africa collective is an organization incorporated in the state of montana. The corporation is organized for the purpose of ministering to the communities of africa with the gospel of jesus christ through preaching and teaching. The organization will be engaged in the following activities: working with local men and women of the christian faith to establish churches. Plans are to open a bible school open to christian men and women to train them in the scriptures and biblical principles. Helping local men and women launch their own businessses by teaching them a trade. No loans or money will be provided, simply the knowledge to perform a trade. There is no charge for this activity.	Throughout the year we had the privilege of working with pastors throughout zambia, botswana and south africa to establish & commission new church plants. Throughout these nations we provided pastors and church members with biblical training modules to further equip then in their roles they play in their communities. Throughout these african nations we scouted out locations for future ministry and established new relationships with pastors and community leaders. In this process we also performed a needs analysis study to determine best possible approach to bringing community transformation. During our ministry we engaged in training local leaders in the above listed african nations in life skills training and providing basic health care to villages. Additionally we spent time with people in helping them learn job skills in the area of carpentry that could be used for them to make furniture to provide a source of income for their families.					
Teton County Council On Aging	http://	(406) 788-2122	EIN 81-0384624	Po Box 411	Dutton	MT	59433	USA	Human Services	The organization's mission is to provide services to the aging citizens of teton county, montana.	510 units of homemaker services to 65 people. 363 units of health screening to 219 people. 622 units of respite care to 120 people. 17,157 senior center activities provided to 1,806 people. 18,824 units of meals to 2,350 people.					
Montana Mediation Association	http://		EIN 81-0537630	Po Box 1984	Great Falls	MT	59403	USA	Education							
Fort Courage Child Care Inc	http://www.fortcouragechildcare.com	(406) 543-5400	EIN 81-0469752	2120 31st Ave	Missoula	MT	59804	USA		To provide quality childcare and educational development	Fort courage childcare center, inc. Is dedicated to providing services that are in the best interest of the child. The center shall support and nurture physical, emotional, social, cognitive and creative growth of all children in a safe, caring and pleasant environment. Services provided there were 79 families served during the fiscal year ending 6. 30. 2014infant services:childcare for infants is provided at fort courage . The child to teacher ratio for infants is 4 to 1. Children 6 weeks to around 12 to 16 months (usually when they are up and walking) are placed in our younger infant room. Once the child is walking they will be transitioned into the waddler room. This classroom also has a 4 to 1 ratio. Children will stay in this classroom until 24 to 30 months of age. Two's and three's room:childcare for children 24 months to 4 years of age is provided in this classroom. The child to teacher ratio for this age is 8 to 1. Preschool room:childcare for children 3 to 6 years of age is provided in this classroom. The child to teacher ratio for this age is 8 to 1. This room provides a separate preschool program as well as after school care for morning kindergarten children.					
Red Lodge Music Festival	http://redlodgemusicfestival.org	(406) 245-8000	EIN 81-6016990	1925 Grand Ave Ste 102b	Billings	MT	59102	USA		Music camp	Provided music camp for jr and sr high students. Evening recitals were performed by faculty for students and the public					
Clarence L Moyle Trust Fbo Spokane Shriners Hospital For Crippled	http://	(406) 523-4213	EIN 81-6075802	C/o First Interstate Bank Po Box	Missoula	MT	59806	USA	Health	Provide funds to the shriners hospital for children.	Donation to shriners hospital for children					
Eleanores Project Inc.	http://eleanoresproject.org		EIN 68-0591331	501 E Central Avenue	Missoula	MT	59801	USA			May 2014 to present edcation workshops for familites and professionals collaboratiang with peruvian collegues to fit wheelchairs for recipients 2013-2014fy continued the collaborative partnerhsip for the design & manufacture of prototype transport stroller with yancan huasy & new zealands combine des					
Victory Chapel Ministries Inc	http://		EIN 81-0439487	3256 9TH Ave N Apt D	Great Falls	MT	59401	USA								
Sanders County Arts Council	http://		EIN 52-2436069	Po Box 397	Plains	MT	59859	USA	Arts & Culture, Theater							
Betsileo Development	http://facebook.com		EIN 26-2996707	Po Box 382	Belt	MT	59412	USA	Centers to Support the Independence of Specific Populations, Economic Development, Microfinance, Rural Economic Development							
Alliance For Youth Inc	http://www.allianceforyouth.org	(406) 268-6780	EIN 81-0429575	Po Box 2982	Great Falls	MT	59403	USA		To connect community resources and provide opportunities for families, children and teens in order to advance healthy youth development.	Adult drug treatment court (atc) program: the adult drug treatment court program is a comprehensive, long-term, judicially supervised treatment program for adult, non-violent, chemically dependent criminal offenders. The cornerstones of the program are accountability, consistency, drug testing and comprehensive treatment. Alliance for youth does not provide direct services, but administers the program. Chemical dependency, mental health, financial literacy, employment and housing assistance, parenting education and skill building are examples of services in which drug court clients participate. Depending upon diagnosis and program compliance, participants engage in one to 10+ service sessions per week (status hearings, probabion officer meetings, chemical dependencey sessions, mental health sessions, parenting education sessions, community recovery support group meetings, etc). The atc services an average of 20 offenders annually. Individual research is not performed, but collective program data in regard to negative and positive drug tests, engagement in criminal behavior and program completion rates are monitored to determine program effectiveness.   juvenile drug treatment court program: the juvenile drug treatment court program is a comprehensive, long-term, judicially supervised treatment program for juvenile, non-violent, chemically dependent criminal offenders. The cornerstones of the program are accountability, consistency, drug testing, family involvement and comprehensive treatment. Afy does not provide direct services, but administers the program. Chemical dependency, mental health, financial literacy, academic performance and career development assistance, parenting education and skill building are examples of services in which drug court clients and their families participate. Depending upon diagnosis and program compliance, participants engage in one to 10+ service sessions per week (status hearings, probation officer meetings, chemical dependency sessions, mental health sessions, parenting education sessions, community recovery support group meetings, etc). The jdc served 25 juvenile offenders and their families in the last fiscal year. Individual research is not performed, but collective program data in regard to negative and positive drug tests, engagement in criminal behavior and program completion rates are monitored to determine program effectiveness.   disproportionate minority contact (dmc) and juvenile detention alternatives initiative (jdai): this project is funded through montana board of crime control with a goal of mitigating the factors that contribute to disproportionate minority contact within the juvenile justice system. American indian youth are proportionally and significantly overrepresented at several key decision points within the juvenile justice system. The project is currently addressing the point of arrest and the point of secure detention. The point of arreset strategy being implemented is social responsibility training (srt). The secure detention strategy is implementation of a risk assessment instrument to ensure appropriate use of detention.					
Youth For Christ Usa Inc	http://www.yfcmt.com	(406) 721-6533	EIN 81-0442859	1515 Fairview Ave Ste 210	Missoula	MT	59801	USA	Children & Youth, Youth Development - Religious Leadership	Youth ministry and fellowship	Ministry and fellowship events for high school students in the greater missoula area.   cafe operations provide on-the-job training to missoula-area youth.					
Young Womens Christian Association	http://	(406) 252-6303	EIN 81-0235415	909 Wyoming Ave	Billings	MT	59101	USA		Ywca of billings is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.	Employment and training center-assists adults to access marketable skills training and overcome barriers to land full-time employment that leads to self-sufficiency.   children services - daycare program. Child care serves over 40 children ages infant to 6 years, year round monday through friday.   domestic family violence-the largest regional 24-hour shelter for victims of domestic violence providing a safe haven for women and their children.   sexual assault services-provides support through information,education,and referral services to rape victims, their family, friends and to the community.					
