name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Humanitarian AidTrips and On-Site Assistance: 
Christian Broadcasting Network Inc	http://www.cbn.com	(757) 226-7000	EIN 54-0678752	977 Centerville Tpke	Virginia Bch	VA	23463	USA	Religion,Religious Media & Communications	The christian broadcasting network's mission is preaching the gospel of jesus christ into all the world.					Domestic production and airing of christian television programming, internet and radio: the 700 club, a live television program that airs weekdays before a studio audience from cbn broadcast facilities, is the primary program used by cbn to preach the gospel of jesus christ. Cbn is also an innovator in its use of cbn. Com to preach the gospel of jesus via the internet. Cbn combines both forms of media, television and internet, in the cutting edge program 700 club interactive. See schedule o for more details.  international outreach: in 2014, cbn programs and other content were produced in 62 languages and have been produced in more than 120 foreign languages since inception. Cbn broadcast programs were viewed in 147 countries and territories. According to an independent survey, a projected 316,000,000 individuals watched at least one episode of a cbn international tv program. See schedule o for more details.  the prayer center is a department of cbn that provides scripture based prayer, biblical literature, account service, and product orders to people through cbn's telephone prayer line, social media portals, and live web chat. It also performs outbound calling for ministry and fundraising purposes. In 2014, the prayer center department handled 275,050 outbound and 2,481,499 inbound phone calls. A total of 20,831 people prayed the prayer of salvation with our partner service representatives and 20,485 people rededicated their life to christ. See schedule o for more details.	
A Forever-Home Rescue Foundation, Inc.	http://www.aforeverhome.org	703 961 8690	EIN 43-1977921	PO Box 222801	Chantilly	VA	20153	USA	Animal Protection & Welfare,Animals	A Forever-Home Rescue Foundation is a non-profit, all-breed dog rescue that works to find loving new "Forever Homes" for dogs that have found themselves in a situation where they need help. We are a group of experienced rescuers that can help you find just the right pet to fit your lifestyle - whether you're a couch potato, an avid runner or anything in between.	AFH helps over 1,500 dogs every year. We directly place into new homes nearly 1,000 and facilitate the transport of many more to other rescues we work with throughout the mid-Atlantic and New England states.	find great new "forever homes" for dogs in need	890 dogs, 17 goats, two donkeys, and seven horses!	the Washington, DC metro area	adoption services, transport services, and fundraisers.	
Comfort For America's Uniformed Services	http://www.cause-usa.org	703-591-4965	EIN 43-2037202	4114 Legato Road Suite B	Fairfax	VA	22033	USA	Military & Veterans Organizations,Veterans			Wounded, ill, and injured military service members from all branches of the US Armed Forces and their families while undergoing treatment and recovery in the United States and Germany.				
Islamic Relief USA	http://www.irusa.org	(888) 479-4968	EIN 95-4453134	3655 Wheeler Avenue	Alexandria	VA	22304	USA	Disaster Aid,Disaster Preparedness & Relief Services,International,Philanthropy	Islamic Relief USA strives to alleviate suffering, hunger, illiteracy, and diseases worldwide regardless of color, race, religion, or creed, and to provide aid in a compassionate and dignified manner. Islamic Relief USA aims to provide rapid relief in the event of human and natural disasters and to establish sustainable local development projects allowing communities to better help themselves.		Islamic Relief USA provides assistance to anyone in need, anywhere in the world, regardless or race, color, reliegion, or creed.		United States and Internationally. Islamic Relief USA operated domestically  in 24 states in 2010, specifically VA, MI, MD, TX, NJ, RI, IL, CA, KS, SD, GA, PA, OR, MN, NY, MA, DC, WA, AZ, NV, ME, CT, OH, and OK. In 2011, Islamic Relief USA assisted with the Alabama tornado devastation.Islamic Relief USA operated in 33 countries in 2010: Afghanistan, Albania, Bangladesh, Bosnia, Cambodia, Chad, Chechnya (Russian Federation), China, Columbia, Egypt, Ethiopia, Ghana, Guyana, Haiti, Honduras, India, Indonesia, Iraq, Jordan, Kenya, Kosovo, Lebanon, Malawi, Mali, Niger, Pakistan, the Occupied Palestinian Territories (Gaza/West Bank), Somalia, South Africa, Sri Lanka, Suriname, Yemen, and Zimbabwe.	ORPHANS 1-TO-1 SPONSORSHIP:   Islamic Relief's One-to-One Orphan Sponsorship helps the world's most desperate orphans.   The beneficiaries live in the world's poorest and most devastated countries, where millions of children are orphaned and left to struggle for survival.  100 percent of our sponsors' contributions are sent directly to an orphan's guardian, where Islamic Relief's One-to-One Orphan Sponsorship allows children to remain with a loving family member who may not have been able to care for them otherwise.RAMADAN FEED THE NEEDY PROGRAM:   During the month of fasting, known as Ramadan, Muslims are required to fast from sunrise to sunset. Feeding people at the end of the fasting day represents a very rewarding spiritual act according to Islamic tradition and teachings. The Ramadan Feed the Needy Program offers an opportunity for many needy people around the world who face food insecurity and hunger to be provided with a Ramadan Food Pack, which ensures that their burden is eased during the month of Ramadan. A wide range of beneficiaries were selected, they included categories like widows, orphans, destitute, aged, disabled, refugees and people affected by disasters. The beneficiaries are selected in conjunction with local welfare groups working alongside Islamic Relief offices in a given country. QURBANI MEAT DISTRIBUTION PROGRAM:   Qurbani meat distribution activities are performed during the season of Eid al Adha. Muslims from the United States donate money which is used to purchase and slaughter livestock  mainly sheep, goats and cows. The meat from these animals is then distributed to the needy people in the poorest regions of the world on behalf of the donors. According to Islam, one sheep or goat equals one Qurbani; one cow, buffalo or camel equals seven Qurbanis. Qurbani meat is distributed in three different methods, the method chosen for a country is dependent on several factors including cost, availability of livestock, logistical issues and current situation of that country e.g. war, famine, natural disaster. This year again a wide range of beneficiaries were selected, they included categories like widows, orphans, the destitute, the aged, the disabled, refugees and disaster affected populations. The beneficiaries are selected in conjunction with local welfare groups working alongside Islamic Relief field offices in a given country. INTERNATIONAL GIFT IN KIND (GIK) DONATIONS:   Typical donations include hygiene kits, newborn supplies, school supplies, orphans supplies (childrens clothing), childrens toys and books, medical supplies, emergency medical supplies, shelf-stable food, and medicine sent to disaster and relief locations worldwide.DOMESTIC GRANTS:  Each year Islamic Relief USA provides cash to assist medical clinics, warming centers, shelters for the homeless and/or victims, educational institutions, food banks, and social service offices.DOMESTIC DAY OF DIGNITY PROGRAM:  Islamic Relief USA provides beneficiaries in the U.S. with food (on-site meals), canned goods (select locations), clothing (t-shirts, hats, socks, undergarments), school supplies (backpacks, pencils, books), toys, blankets, sheets, towels, medical care (including oral cancer screenings, glaucoma screenings, and blood pressure readings), physical exams, dental care, first aid, wound checks, haircuts, job training (select locations), and other social services to all who attend, regardless of their backgrounds.DOMESTIC ZAKAT PROGRAM:  Every year, IRUSA uses donated Zakat money to support the Domestic Zakat Partnership Program.  Domestic Zakat is administered through local Zakat partners to provide limited financial assistance to those in need. This assistance is primarily focused upon providing basic living costs, such as food shelter, clothing, and other family needs.  DOMESTIC QURBANI PROGRAM:  Every year during Eid Al-Adha, Islamic Relief USA slaughters and distributes Qurbani meat throughout the United States. Islamic Relief USA distributes the Qurbani meat to mosques, Islamic centers, and service organizations across the country, who then distributes the meat to the neediest in their local communities.  After the slaughter had been completed, the meat was packaged in five-pound packets and frozen. Local organizations were then asked to distribute ten pounds of meat per family.	
Semper K9 Assistance Dogs	http://www.semperk9.org	571-494-5144	EIN 47-2671624	14867 Prestige Dr	Woodbridge	VA	22193	USA	Animal Training,Animals,Mental Health,Mental Health Disorders,Military & Veterans Organizations,Veterans	Our mission is to enhance the quality of life for wounded, critically-ill and injured members of the U.S. Armed Forces and their families by providing them assistance dogs. Using rescued and donated dogs we provide service dogs for psychiatric alert and mobility challenges free of charge to wounded service members.		U.S. Service Members and their families		United States	Service Dogs, Therapy Dogs, Facility Dogs, Military Family Support Dogs, Maintenance Training, Community Education, Service Dog Support for Veterans and Family Integration Program.	
Douglas J Green Memorial Foundation	http://Www.djgmf.org		EIN 45-3671557	Po Box 370061	Sterling	VA	20165	USA		The Douglas J. Green Memorial Foundation is an all volunteer non-profit 501 (c) (3)organization tax ID # 45-3671557. The foundation is dedicated to providing comfort and support to service members and their families through sending thoughtful and useful care packages during their deployments and planning exciting and memorable experiences for service members to look forward to once they return home.		Military	Over 5,000 deployed troops	Helping deployed troops	Care packaging events and support to our United States military	
Operation Catnip Of Richmond Inc A Virginia Corporation	http://		EIN 54-1985204	Po Box 268	Quinton	VA	23141	USA	Animal Protection & Welfare,Animals							
Run7on7 Foundation DBA Runwell The Linda Quirk Foundation	http://runwell.com	904-613-3338	EIN 27-5165001	14286-19 Beach Blvd. #361	Jacksonville	FL	23350	USA		To provide addiction recovery solutions through funding existing treatment scholarship programs along the continuum of care. By engaging individuals in sporting events worldwide we foster a healthy lifestyle and begin to break down perceptions of those struggling with the disease.		Fund addiction treatment scholarships as well as facilitate running groups throughout the country.	12 Treatment Centers Nationally with over $60,000 in scholarship funds	Jacksonville, Fl and communities across the U.S. and abroad	Running programs to those in treatment centersScholarship Funds to help those who need treatment but can not afford it.	
Barrett Haven Inc	http://groups.hamptonroads.com/BTH/	(757) 624-6990	EIN 31-1483263	2129 Vincent Ave	Norfolk	VA	23504	USA	Family Services for Adolescent Parents,Homeless & Housing,Homeless Centers,Human Service Organizations,Human Services	Homeless shelter for women					Provide shelter and supportive services to homeless women or single pregnant women. The program accomodates ten women concurrently and strives to help them become self-sufficient.	
Operation Smile, Inc.	http://www.operationsmile.org	757-321-7645	EIN 54-1460147	6435 Tidewater Dr	Norfolk	VA	23509	USA	Children & Youth,Children & Youth Services,Health,Health Care,International,International Development,Surgical Specialties	Throughout the world, Operation Smile volunteers repair childhood facial deformities while building public and private partnerships that advocate for sustainable healthcare systems for children and families. Together, we create smiles, change lives, heal humanity.	In our 27 years, Operation Smile has performed over 130,000 safe surgeries for children born with facial deformities in developing countries. World class medical professionals volunteer their time and services to help us reach the hundreds of thousands of children still waiting for this life transforming surgery.			56 Countries		
Balafon West African Dance Ensemble Inc	http://www.balafon.org/	(724) 934-4600	EIN 52-2286472	4985 Cleveland St	Virginia Bch	VA	23462	USA	Arts & Culture,Cultural & Ethnic Awareness	Our mission is to provide an insightful, woman-centered perspective on west african tradition and culture as a source of healing and balance by providing quality education and entertainment to audiences of all nationalities and walks of life.					Annual black river festival/conference:a special annual two-day event of workshops and performances presented to over 200 attendees of all ages and backgrounds and 350 people attending the festival performance at the kelly strayhorn theater. West african dance and drum workshops taught by master artists highlighted the musical and dance traditions of mali, congo, senegal, and guinea. As part of the week-long conference, the production of "sundiata," the story of the great hero of the 15th century mali empire and inspiration of walt disney's "the lion king," was also performed at the kelly-strayhorn theater.  classes and workshops:approximately 500 hours of classes and workshops in african dance and culture were conducted in schools and as after-school programs, serving over 400 students in the pittsburgh area. Programs and schools served included the community empowerment association in homewood, dilworth elementary, winchester thurston, pittsburgh montessori, and propel schools creative arts program. Master dancer kadiatou conte-forte, the artistic director of balafon, is passionate about sharing the beauty and power of west african culture with students, especially youth.  performances: the balafon dance ensemble presented multiple african drumming and dance performances to over 2000 attendees in pittsburgh, new york city, washington, dc, and tampa, fl.	
Recyclelife.org	http://recyclelife.org	703-786-8195	EIN 46-2463624		Leesburg	VA	20176	USA		To spread awareness about the importance of organ donation and help families currently going through the transplant process.		1) Providing accommodations for Donor families who need to be close to their loved ones during the difficult times of the Transplant process.  2) Providing care baskets to Pre and Post Transplant Patients. (Care Baskets include a variety of supplies needed during waiting process and recovery.  3) To help console families by speaking of personal experiences of the Transplant processes.  4) To increase organ donation awareness and registration within the United States.  5) Host and manage fundraising efforts for transplant patients.	more than a dozen families in and around Northern Va, and Philadelphia	The state of Virginia and around the city of Philadelphia		
Micah Ecumenical Ministries Inc	http://www.dolovewalk.net	(540) 479-4116	EIN 20-4044884	1013 Princess Anne St	Fredericksbrg	VA	22401	USA	Homeless & Housing,Homeless Shelters	To provide a christ-inspired community that is helping homeless people reach their greatest potential.					Housing and shelter program-micah's housing and shelter program strives to meet the immediate and long-term shelter needs of people experiencing homelessness. This department offers a 37-bed winter shelter and 8-bed post-hospital respite shelter, in addition to coordinating efforts to move the chronic homeless off the street. Program goals include shortening the length of shelter stays, decreasing the number of people who are chronically homeless and reducing returns to homelessness.  hospitality program - the hospitality center offers direct assistance to people who are living on the streets in planning district 16. Services include food, showers, clothing, financial assistance and other basic needs.  supportive services program - micah's supportive services department includes a number of key community partnerships that help its clients succeed in their pursuit of stable housing. An outreach worker through the rappahannock area community services board connects individuals to mental health services. A full service income assistance program provided in partnership with rappahannock goodwill helps people with employment needs and public benefits, as appropriate. Through this department our clients also experience direct access to a social services eligibility worker, hiv/aids testing, the veteran's administration and dmv.	
B L I S S Of Lunenburg Llc	http://	(434) 696-1425	EIN 45-4929645	Po Box 340	Victoria	VA	23974	USA	Thrift Shops	Providing volunteer job oportunities for mentally challanged youth					Providing work for the mentally challenged youth.	
Federation Of Responsible Citizens Inc	http://		EIN 52-1662991	1800 Diagonal Rd Ste 600 Pmb 33	Alexandria	VA	22314	USA		The organization's purpose is to educate and mobilize the general public with particular concern to the senior citizen population. We educate and encourage the participation in the legislative process. Through opinion polls, questionaires and surveys we are able to address issues of most importance. With the use of legislative updates, petitions, cards, letter writing, etc., we are able to facilitate the influence of senior citizens on issues that impact their daily lives.						
The Conservation Fund	http://www.conservationfund.org	703-525-6300	EIN 52-1388917	1655 N. Fort Myer Drive Ste 1300	Arlington	VA	22209	USA	Environment,Forest Conservation,Land Resources Conservation,Natural Resources Conservation & Protection,Water,Water Resources, Wetlands Conservation & Management					United States	land conservation loans, community development programs, sustainable forestry management, green infrastructure planning and more.	
Links Africa	http://		EIN 75-3164356	1002 S Quebec St Apt 9	Arlington	VA	22204	USA	Education,Scholarships,Scholarships & Student Financial Aid							
The Rivanna Conservation Society Inc	http://www.rivannariver.org	434 97-RIVER 	EIN 52-0194008	PO Box 1501	Charlottesville	VA	22902	USA	Children & Youth,Environment,Natural Resources Conservation & Protection,Recreational Clubs,Sports,Youth Development Programs	Rivanna Conservation Society is dedicated to safeguarding the ecological, scenic, recreational and historic resources of the Rivanna River and its watershed.	Over its 20 year history RCS has facilitated the breaching of the Woolen Mills Dam, has conducted a comprehensive review of the stormwater codes and ordinances  of the four major jusdictions, has planted thousands of trees as buffers to protect the river, has sponsored teacher and youth watershed summits, has hosted hundreds of public education forums, has conducted River Sojourns, river paddles and has consistently engaged the public in the care and protection of the river.  RCS is also the regional coordinator for the World Water Monitoring Day events.	RCS invites volunteers of every age, gender and ethnicity to participate in the events we sponsor, including river cleanups, buffer plantings, restoration projects, student education events and river paddles.			Education, Outreach, Restoration, Recreation and Advocacy,	
WEI-HWA CHINESE SCHOOL	http://www.weihwa.org		EIN 54-1175617	PO Box 1266	Annandale	VA	22003	USA	Arts & Culture,Cultural & Ethnic Awareness	To teach students to speak, read, and write chinese. To promote student's understanding and appreciation of chinese culture.					To teach students to speak, read, and write chinese. To promote student's understanding and appreciation of chinese culture.  to teach students to speak, read, and write chinese. To promote student's understanding and appreciation of chinese culture.	
Equine Rescue League Foundation	http://equinerescueleague.org		EIN 54-1541993	Po Box 4366	Leesburg	VA	20177	USA	Animal Protection & Welfare,Animals	To rescue & rehabilitate abused horses					In 2014, the foundation rescued 11 horses that were abused or neglected, and provided care for approximately 19 horses.  in 2014, the foundation located suitable homes for 14 horses.	
Miriams House Lynchburg, VA	http://miriamshouseprogram.org/	434-847-1101	EIN 54-1606543	409 Magnolia St	Lynchburg	VA	24503	USA	Homeless & Housing,Homeless Shelters	Miriam's House exists to end homelessness and rebuild lives through the empowerment of women and families.		homeless women and families attain safe and affordable housing in the community	Over 100 homeless women and families	Central Virginia	two short term housing programs aimed at quickly ending each household's episode of homelessness.	
Us Christian International Observatory Of Human Rights & Dev	http://		EIN 03-0601853	PO Box 15	Gordonsville	VA	22942	USA	Civil Rights							
Global Animal Partnership	http://www.globalanimalpartnership.org	(202) 540-9880	EIN 20-2234609	107 S West Street, PMB #771	Alexandria	VA	22314	USA		Global Animal Partnership, a nonprofit charitable organization founded in 2008, brings together farmers, scientists, ranchers, retailers, and animal advocatesa diverse group with the common goal of wanting to improve the welfare of animals in agriculture. Our signature program, the 5-Step Animal Welfare Rating Standards, recognizes and rewards producers for their welfare practices, promotes and facilitates continuous improvement, and better informs consumers about the production systems they choose to support.	Currently, the 5-Step program includes 2,415 farms and ranches that range from Step 1 to Step 5+ and raise more than 147 million animals annually.	Farm animals	147 million farm animals	the US, CA, AUS,  and NZ	the 5-Step Animal Welfare Program - a multi-tiered certification program for farms and ranches that promotes and encourages species specific best welfare practices for farm animals (Cattle, Pigs, Chickens and Turkeys).	
Eagle Hill Farm Equine Rescue	http://www.EagleHillEquineRescue.org		EIN 05-0618946	31584 Eleys Ford Rd	Fredericksbrg	VA	22407	USA	Animal Protection & Welfare,Animals					Fredericksburg, VA		
Operation First Response	http://www.operationfirstresponse.org	888-289-0280	EIN 20-1622436	20037 Dove Hill Rd.	Culpeper	VA	22701	USA	Emergency Assistance,Human Services,Travelers Aid,Victims Services	The mission of Operation First Response, Inc (OFR) is to serve all branches of our nation's Wounded Warriors and their families with personal and financial needs. Services are provided from the onset of injuries or illness, throughout their recovery period and along their journey from military life to the civilian world. Financial aid varies as each case is based on individual needs ranging from rent, utilities, vehicle payments, groceries, clothing, and travel expenses.	To Date Statistics (2004-2015)14,887 Wounded Heroes and their Families received assistance with: Mortgage and Rent Utilities Vehicle Payments Groceries Air Transportation Ground Transportation Lodging10,098 OFR Backpacks were sent to combat support hospitals in theater.	Serving Wounded Heroes and Disabled Veterans	2230 Military Families	Nation wide	Emergency financial aid	
Lost Dog and Cat Rescue Foundation	http://www.lostdogandcatrescue.org	703-295-DOGS	EIN 31-1789600	P.O. Box 50037	Arlington	VA	22205	USA	Animal Protection & Welfare,Animals	The Lost Dog & Cat Rescue Foundation (LDCRF) is a non-profit organization that is actively involved in taking in and finding new, loving homes for at risk cats and dogs. In this process, LDCRF ensures that these companion animals are temperament tested, current on all necessary vaccinations, and either spayed or neutered prior to becoming available for adoption. Once adopted, LDCRF enters into a contractual relationship with the adoptive family to ensure that the animal is properly cared for, and conducts follow ups to ensure this. LDCRF conducts public adoption events at area Petsmarts on weekends. These events are staffed by volunteers who interview prospective adopters, answer questions about the animals, and take advantage of the opportunity to educate the public on the benefits of spaying and neutering; the need to obtain proper veterinary care; and of providing basic obedience training to their pets.	-Since 2001, LDCRF has placed over 17,000 dogs and cats in homes-ALL of our animals are spayed/neutered prior to becoming available for adoption			DC Maryland and Virginia	We have a foster program, where members of the community can help by taking an animal into their home while it waits to be adopted! It helps by providing the animal with an advocate who can help tell potential adopters more about the dog. It also helps dogs that do not do well in our kennel environment.Our volunteer program is a great service not only to the dogs and cats, but also those in need of service hours. We are always in need of volunteers to help at our adoption events, and it provides a great experience for those who want to help animals in need outside a shelter environment.	
Friends of the Elderly	http://www.fote.webs.com	757-431-0052	EIN 54-1614710	P.O. Box 10007	Virginia Beach	VA	23450	USA	Human Services	FOTE Outreach & Community Services Program's objective is to bring lower~income famlies, and individuals to a point of self~sufficiency.  We will assist our licients and progam particpants by servicing their physical, mental health, employment, educational, vocational, social and spiritual needs.  We will teach them how to empow themselves by giving them the tools necessary to become self~sufficient and to be prepared to accept the responsibility of independent living.  We will help our clients find the assistance that they need to build a stable living environment for a brighter tomorrow.	In the FY2015 our foundation help assist the needs of over 128 families in need; assisted 9 families complete our foundation's budgeting class; assisted over 186 children for the Christmas holiday.	familes & individuals in need	117 families, 158 individuals (including children 18 & under	Hampton Roads, VA	Food Pantry & Clothing Closet~ Designed to help with emergency food, household staples, and clothing.  Referral Resources~ distributes needed information to those clients in need of additional resources.  KIDS 1st Program~ designed to help children in need.  Back to school back pack distribution, Secret Santa Holiday Campaign, Movie Nights, and other variety of kid friendly programs are incorporated including tutorial programs.	
The Child & Family Network Centers	http://cfnc-online.org	703-836-0214	EIN 54-1589809	3700 Wheeler Avenue	Alexandria	VA	22304	USA	Children & Youth,Children & Youth Services,Education,Family Services,Human Services,Preschools	The Child & Family Network Centers (CFNC), formerly the Alexandria Community Network Preschool,is a community-based, non-profit organization started in 1984 when a group of mothers, living in a public housing project, learned that all of their children had failed kindergarten.  With the help of local churches, they organized and started a preschool.  Today, CFNC serves approximately 200 at-risk children and their families each year at twelve accredited preschools in low-income neighborhoods of Alexandria and Arlington.In addition to our preschool program, we offer comprehensive services for children and bilingual family support for parents and neighborhood residents including: parenting education, support groups and workshops, individual and group counseling, advocacy, and adult literacy.		at-risk children and their families	nearly 200 families	Alexandria	caring, high-quality, free education and related services in their own neighborhoods in order to prepare them for success in school and life.	
Beds for Kids, Inc	http://www.bedsforkidsinc.com	1-888-613-0066	EIN 26-3290524	7400 Beaufont Springs Drive suite 300	Richmond	VA	23225	USA	Emergency Assistance,Human Services	Beds For Kids, Inc. helps promote the welfare and well-being of children by providing a bed to children in need.		Children	over 1000 children	United States	Beds to children in need.	
HOMEAID Northern Virginia INC	http://www.homeaidnova.org/	571-283-6300	EIN 30-0089379	3684 Centerview Dr. Suite 110B	Chantilly	VA	20151	USA	Homeless & Housing	HomeAid Northern Virginia builds and maintains homeless shelters and transitional housing where homeless families and individuals can rebuild their lives.	In 2012 alone, 7 Projects Completed, Thousands of Lives ChangedHomeAid Northern Virginia celebrated its 11-year anniversary doing what it does bestchanging lives. Thanks to 7 Builder Captains and dozens of trade partners, HANV invested nearly $620,000 into the renovation and completion of homeless shelter projects throughout Northern Virginia  61% of the costs were donated, thereby allowing care providers to focus their own funds on programs and services that directly help the homeless.Over 2,100 people were served in 2012, a number that will grow exponentially as people transition out of the renovated facilities and new individuals and families move in.	area shelters provide life-changing services to the homeless and victims of domestic abuse		Northern Virginia	the Shelter Program in which we connect with builders in the community in order to provide in-kind donations to complete necessary renovations and building projects for Northern Virginia shelters.  The renovations and building projects allow community shelters to provide a stable, safe environment in which the homeless and those in danger of homelessness can work to create for themselves a new beginning built out of hope and dignity.  HomeAid's work raising funds and connecting trade and shelter partners enables shelters to serve more families in the area and to reserve their own funding resources for the provision of life-changing assistance, such as job skill development.HomeAid's program, Women Giving Back,  provides donated clothing to women and children from area shelters free of charge, enabling them to enter the workforce or the educational system with appropriate clothing, providing a fresh start for those in need.	
Environmental Support Center Inc	http://envsc.org/	(202 ) 331-9700	EIN 13-3563949	Po Box 1816	Alexandria	VA	22313	USA	Environment	The Environmental Support Center promotes the quality of the natural environment, human health, community sustainability, and social justice, while building the capacity of environmental justice groups and their allies.				United States		
Volunteers Of America Inc	http://www.volunteersofamerica.org	(703) 341-5000	EIN 13-1692595	1660 Duke Street	Alexandia	VA	22314	USA		Volunteers of America for more than 100 years has provided effective programs for people in need, helping them make positive changes in their lives. Volunteers of America helps more than 2 million people each year. From rural America to inner-city neighborhoods, Volunteers of America engages its 11,000 professional staff and more than 30,000 volunteers each year in designing and operating programs that deal with today''s most pressing social needs. Volunteers of America is a major provider of long-term nursing and health services. It is the nation''s largest nonprofit provider of quality affordable housing for families, the elderly, and people with disabilities. Volunteers of America provides a wide range of programs for children and youth. Volunteers of America''s goal is to show through its programs and services that "there are no limits to caring".					More than 88 cents of every dollar Volunteers of America spends goes directly to services for individuals, families, and communities.  Volunteers of America programs help abused and neglected children, youth at risk, the frail elderly, the disabled, homeless individuals and families, and people needing emergency services.  Volunteers of America also provides day care and after school programs and foster care for children.  Substance abuse programs include both residential and outpatient treatment for alcohol and drug addiction as well as preventive education programs.  Mental health programs are community based and include counseling, hotline services, and supported independent living.  The organization strengthens community life through volunteer training and placement.  Homeless programs address the root causes of homelessness through job training, and transitional and permanent housing. Health care services include nursing home care, therapy, home health care, and outpatient clinical services. Programs for people with developmental disabilities promote independence through job training and placement, life skills training, and supported and assisted living.  Volunteers of America runs correctional programs designed to rehabilitate offenders through halfway houses and re-entry programs, work release programs, and mediation services.	
Virginia Theatre Association	http://www.vtasite.org	(434) 845-7529	EIN 52-1422844	1111 Church Street	Lynchburg	VA	24504	USA	Alliances & Advocacy,Arts & Culture,Professional Societies & Associations	Virginia theatre association is organized and operated as a non-stock corporation, exclusively for non-profit educational, artistic, and charitable purposes. The mission of the virginia theatre association is to connect, create, and cultivate the practice and study of theatre by linking theatre practitioners and serving as the voice of theatre in the commonwealth of virginia.		connect, develop, nurture and advocate for theatre people of all ages, at every level, from every corner of the Commonwealth.		Theatre in Virginia	Vta advocated for the inclusion of the theatre arts in education and for fair and adequate arts funding in all communities of the state. Vta provided professional development opportunities for teachers using mini-conferences. Vta provided opportunities for actors to audition for the southeastern theatre conference, professional theatre companies, and many southeastern colleges. Vta organized high school, middle school and community theatre festivals in conjunction with their annual conference, as well as design competitions for costumes and scenery. Vta awarded two student scholarships to high school seniors who will be pursuing theatre as a college major.	
Best Kept Secret-Stop The Violence	http://www.thestoptheviolencemovement.org		EIN 26-1928930	1419 Sierra Dr	Suffolk	VA	23434	USA	Education,Literacy,Remedial Reading & Encouragement	To create better choices for youth					To keep the youth focused on education and encourage them to always make the right decisions to provide supportive environments for our youth in guiding them towards fulfilment	
Valley Mission Inc	http://www.valleymission.net	(540) 886-4673	EIN 54-0930419	1513 W. Beverley Street	Staunton	VA	24401	USA	Emergency Assistance,Homeless & Housing,Homeless Shelters,Human Services,Thrift Shops	Valley Mission is a non-profit organization offering shelter, support, hope and God's love to the homeless.  Basic needs of shelter, food, clothing and spiritual encouragement are provided to all.				Virginia - Augusta County, Rockbridge County, Highland County	Program services provides food, shelter and clothing to people in need.  fundraising expense	
Caring Hearts Rescue	http://		EIN 26-1203522		Springfield	VA	22153	USA	Animal Protection & Welfare,Animals							
Wildlife Center of Virginia	http://www.wildlifecenter.org	(540) 942-9453	EIN 54-1215402	PO Box 1557	Waynesboro	VA	22980	USA	Animals,Wildlife Preservation & Protection,Wildlife Sanctuaries	The Wildlife Center of Virginia, a hospital for native wildlife, teaching the world to care about and to care for wildlife and the environment.					Veterinary Care of Native Wildlife; Conservation Education; International Conservation; Public Policy, Research, and Conservation Medicine	
ChildFund International	http://www.childfund.org	804-756-2700	EIN 54-0536100	PO Box 26484 2821 Emerywood Parkway	Richmond	VA	23294	USA	Children & Youth,Children & Youth Services,Human Service Organizations,Human Services,International,International Relief	ChildFund International exists to help deprived, excluded and vulnerable children have the capacity to improve their lives and the opportunity to become young adults, parents and leaders who bring lasting and positive change in their communities. We promote societies whose individuals and institutions participate in valuing, protecting, and advancing the worth and rights of children. One of the world''s oldest and most respected international child development organizations, ChildFund International works in 31 countries and assists approximately 17.8 million children and family members worldwide, regardless of their race, creed or gender.	ChildFund has established youth clubs so children and youth can tell us how they experience poverty. From this knowledge, we build programs that address targeted issues so that programs are impactful and can be sustained by the communities served. We have improved maternal/child health, educated families on achieving a balanced diet and even helped start community gardens. ChildFund not only addresses education, but we work to improve the quality of education so it becomes meaningful. In addition, we conduct studies to determine what education or skills training are viable to the communities where the children live. We are a child development organization with programs that have a deep understanding of localities needs and a long-term goal of enabling children to become contributing adults.	We assist children in 30 countries, including the United States.	Direct beneficiaries include children who are sponsored by individuals or groups in the 31 countries where ChildFund works.	30 countries, including the United States,	ChildFund works toward the well-being of children by forming partnerships with local governments and non-governmental resources to strengthen our programs. Our initiatives are locally led activities where families and communities work together to overcome poverty and protect the rights of their children. ChildFund programs are comprehensive, addressing needs throughout three life stages -- healthy and secure infants and children, educated and confident children and skilled and involved youth. This distinctive approach focuses on working with children throughout their journey from birth to young adulthood. We offer youth an opportunity to participate in youth groups and join in the decision-making processes of our work. We alsoaddress children's transitional needs from one life stage to another, to enable them to get a healthy start in life, have the tools needed to enter primary school, and eventually develop a skill or gain an education to earn a living and contribute to their communities. ChildFund works in 31 countries -- often in environments where poverty, conflict and disaster threatens children's well-being. Our programs confront critical needs of safe motherhood, the quality of education and trained teachers, HIV and AIDS prevention and care, nutritional and health needs. Nutrition includes a multi-pronged approach that leads to the establishment of home gardens and lessons in the importance of varying diets. We combat malaria through education, health care and the provision of mosquito nets. In emergencies, ChildFund provides emergency feeding and supplies as well as conductinglong-term recovery programs in areas where we operate programs. In addition, youth learn skills that are vital to their communities -- skills that were identified after conducting studies to determine what needs are viable to each community.	
Barack H Obama Foundation	http://		EIN 26-2461343	107 S West Street 401	Alexandria	VA	22314	USA								
