name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Education 	Improving Grades & GPAs:	Improving Physical Fitness & Health:	Juvenile Drop out Prevention:	Activities that Strengthen Families
GATE Pregnancy Resource Center	http://www.gateprc.org	704-455-5200	EIN 27-0870114	3824 Hwy. 49 South	Harrisburg	NC	28075	USA	Family Services for Adolescent Parents, Single Parent Agencies	Empowering individuals and families facing pregnancy or abortion related issues to choose life by sharing compassion, hope, education, and healing through the love of Jesus Christ.	In March 2016 we launched GATE Satellite in Concord, NC to accommodate clients with transportation issues.  The satellite location has a bus stop in front.  We have also begun a daddy support group on Thursday nights at the Harrisburg location.  We continue to raise funds through our LifeWalk, Baby Bottle Campaign and Fall Banquet as well as monthly supporters.	Young women from early teens to mid 30's who find themselves in a crisis pregnancy situation.	Harrisburg, Concord, Midland, Mt. Pleasant, University Area, Kannapolis, and Locust	Parenting classes, support groups, faith study groups, daddy support group, teen support, community referral, Everything is FREE AND CONFIDENTIAL	170 clients and had 950 client visits to our center.  The age range was 14-32.					
People Builders, Inc	http://www.people-builders.org		EIN 	1421 E Broad St Suite 325	Fuquay Varina	NC	27526	USA												
Success in Mind	http://success-in-mind.org	919-680-8921	EIN 87-0793646	324 Blackwell Street Suite 1240	Durham	NC	27701	USA	Health, Specifically Named Diseases	To enhance academic and personal success for every learner.	Since our inception in 2007, we've assessed and supported over 600 students. Prior to that, we were the assessment clinic at All Kinds of Minds where we assessed over 4,000 students. Our clinicians continue to refine and individualize our services to meet the diverse needs of our families. We are fortunate to work with students from across the country, and indeed the globe. It is our hope to make this assessment accessible to all students who request services, regardless of their ability to pay.	All students can benefit from understanding how they learn. However, the majority of our students are those that struggle with learning challenges.		The organization provided learning assessments to students with learning difficulties and assisted the students and caregivers be developing learning plans.	Students and their families are the direct beneficiaries of our services.					
BRUNSWICK COMMUNITY COLLEGE FOUNDATION INC	http://www.brunswickcc.edu/foundation-giving/	(910) 755-7300	EIN 58-1493463	Po Box 30	Supply	NC	28462	USA	Adult Education, Education, Scholarships, Scholarships & Student Financial Aid, Two-Year Colleges	The Brunswick Community College Foundation, organized in 1982, is a charitable organization 501(c)(3) instituted to enhance the mission of Brunswick Community College to a level of excellence and purpose for students and the community. The Foundation is a vital resource for the acceptance and solicitation of all gifts for the continued growth and progress of Brunswick Community College. The Foundation enables the college to meet a number of diverse needs that could not be achieved solely with state funding.  Through advocacy, influence and financial support these leaders ensure the commitment to the community college philosophy. They support the mission and enhance the goals and lives of the students. The Foundation is governed by more than 20 board members and volunteer directors as well as honorary, ex-officio directors. The college president and other key administrators also serve. Because of the Foundations structure, friends and alumni are also involved in fundraising initiatives and asset management programs.	Scholarships provided:  2013- $116,626 2014- $104,987 2015- $203,545	provide students with the funds they need to be succesful	Brunswick County, North Carolina	scholarships, emergency funds, and more.	Over 100 students.					
Childrens Playhouse Inc	http://		EIN 27-0065653	400 Tracy Cir	Boone	NC	28607	USA	Children & Youth, Youth Development Programs											
Lower Cape Fear Hospice, Inc.	http://www.hospiceandlifecarecenter.org	910.796.7900  or	EIN 56-1216682	1414 Physicians Dr	Wilmington	NC	28401	USA	Community Health Systems, Counseling, Health, Hospices, Human Services, Mental Health	Lower Cape Fear Hospice provides professional health care and comfort to the those with a life limiting illness and offers hope, support and education to patients, their familes and the community.	It has been our privilege and honor to have served more than 20,000 patients and their families in Southeast North Carolina over the last thirty years on lifes last journey.	Infants, children, and adults who face a life-limiting illness are hospice patients. Their disease diagnosis can include cancer, end-stage chronic illnesses such as lung, heart, and kidney disease, Alzheimers, dementia, strokes, ALS, and neurological diseases.	Southeast North Carolina	Hospice End of Life Health Care; Palliative Care is health care for individuals of any age who have a chronic, life-limiting illness but are not ready for Hospice care; Two In-Patient Hospice Care Centers - Whiteville, North Carolina and Wilmington, North Carolina; Grief and Bereavement Counseling for Adults; Sunrise Kids and Camp Sunshine Bereavement Counseling for Children.	Infants, children, and adults who face a life-limiting illness are hospice patients.					
German Shepherd Dog Rescue and Adoption Service	http://www.gsdrescue.org		EIN 56-1857148	GSRA PO Box 471	Fuquay Varina	NC	27526	USA	Animal Protection & Welfare, Animals	German Shepherd Rescue is an all-volunteer organization that takes German Shepherd Dogs and mixes from many places including shelters, Animal Cruelty, and owner surrenders. Each dog is placed in a volunteer's home where it is treated as their own until a qualified adoptive home is found.  The foster home's role varies from housebreaking to emotional assurance and some obedience training.  Adoptive homes are screened carefully to better match temperaments, personalities and lifestyles of the dog and owner and to ensure the remainder of the dog's life is happy and healthy.  We have placed over 500 dogs since 1992.  120 dogs were cared for in 1998 and 84 in 1999.   Most of the dogs we care for require vaccinations, heartworm treatments, and spay/neutering. However, we also raise funds for expensive specialty surgeries (including ear, hip, etc) when a condition is discovered in a dog while in our care. Over 65% of our expenses are veterinary fees.  The majority of our funds come from minimal adoption fees, public donations and fundraising activities.  We support spay/neuter and the reduction of pet overpopulation.		Homeless German Shepherds	NC, VA, & SC	rehabilitation, medical care, and foster homes	Over 200 GSDs					
Community Partnership For Pets Inc	http://communitypartnershipforpets.org	(828) 693-5172	EIN 20-2972350	112 Founders Dr	Flat Rock	NC	28731	USA	Animal Protection & Welfare, Animals	Offer needy families financial assistance for spay/neutering services for pets, free pet food and subsidized veterinary care. Also present community education programs for care of pets.				Pet care and spay/neuter programs						
We Love Sports Inc	http://www.welovesportsinc.org		EIN 46-2133692	P.O. Box 16952	Chapel Hill	NC	27516	USA												
Cure AHC- Alternating Hemiplegia of Childhood	http://www.cureahc.org	919-488-4217	EIN 46-1475239	545 Irina DR	Rolesville	NC	27571	USA	Birth Defects & Genetic Diseases, Epilepsy, Health, Nerve, Muscle & Bone Diseases	VISION STATEMENT  Cure AHC envisions a world where Alternating Hemiplegia of Childhood no longer robs its sufferers of the chance to participate fully in life. We seek a time where no case goes undiagnosed for lack of awareness. We believe that collaboration is critical for those suffering now, and for those yet to come.  MISSION STATEMENT  Cure AHC was created in order to raise funds necessary to facilitate research aimed at treating and ultimately curing Alternating Hemiplegia of Childhood (AHC). We do this by partnering with physicians and organizations worldwide and supporting families who live with AHC every day. By bringing together donors, researchers and families we believe a cure for AHC is within reach.		Charter Organizer of the 2nd Symposium on ATP1A3 In Disease 	Participated in Rare Disease Day Lobby Effort in Washington, DC 	Launched Interactive Website www.cureahc.org  	Co-Launched the Duke Childrens Multi-disciplinary AHC Clinic 	Actively Participating in Several Key Partnerships 	Held 6 fundraisers (with more to come) raising over $25,000 	Supported the Symposium and attendance of researchers from Duke & Harvard *Hosted the 4th Symposium on ATP1A3 in Disease, * major funder of AHC Documentary, * hosted Family Gathering, * Funded published research of mouse model of AHC,  *helped dozens of families come to the Duke AHC Clinic	sufferers of Alternating Hemiplegia of Childhood have a better quality of life now as we strive simultaneously find a cure for AHC	the whole world	Duke AHC Cinic, Medical Research funding, AHC Documentary funding and facilitating, Family Gatherings, Medical Symposia, Podcasts, Advocacy with Schools, caregivers, insurance, government	Hosted the 4th Symposium on ATP1A3 in Disease, major funder of AHC Documentary, hosted Family Gathering, Funded published research of mouse model of AHC, helped dozens of families come to the Duke AHC Clinic					
World Camp Inc.	http://worldcamp.co	828-254-2339	EIN 56-2219139	157 S. Lexington Ave Suite B-1	Asheville	NC	28801	USA		World Camp develops sustainable solutions to the complex problems of poverty and disease through educational strengthening and community collaboration.	Hosted more than 4,000 students at our educational camps focused on individual, community, and environmental health, launched 5 successful World Camp Clubs at primary schools and will create 6 more by the end of July 2013; hosted more than 130 HIV positive youth at Camp Hope; trained more than 400 teachers on HIV, interactive teaching techniques, and the environment in the past 4 years.	World Camp works with students and teachers in rural primary schools through our educational camps and youth living positively with HIV through Camp Hope.	Malawi	Educational Camps, Youth to Youth volunteer program, Camp Hope, Appalachian State Business Program						
Our Childrens House Inc	http://www.ourchildrenshouse.com	(336) 272-8882	EIN 56-1876274	1105 Magnolia St	Greensboro	NC	27401	USA	Child Day Care, Children & Youth	Developmentally appropriate child care for children from 12 months to 5 years				Full day childcare - for children 12 months to 5 years						
Wings Of Eagles Ranch	http://www.wingsofeaglesranch.org	(704) 784-3147	EIN 56-2100632	4800 Faith Trl	Concord	NC	28025	USA	Health, Rehabilitative Care	Operation of riding ranch to benefit special needs and at-risk children				Operation of riding ranch to benefit special needs children through therapeutic horseback riding and work with at-risk youth through horseback riding.						
Fellowship Of The Cosmic Mind	http://		EIN 27-1287368	295 Scratch Branch Rd	Otto	NC	28763	USA	Religion, Religion-Related											
HICKORY MUSEUM OF ART INC	http://www.hickoryart.org	(828) 327-8576	EIN 56-1144769	243 Third Avenue Ne	Hickory	NC	28601	USA	Art Museums, Arts & Culture	Mission Statement: The Hickory Museum of Art collects, preserves, exhibits and interprets historic and contemporary American art of the highest quality. The Hickory Museum of Art serves the interests and goals of the community and the region as an educational and cultural resource.		people of all ages	Hickory, North Carolina	Art programs, classes, exhibitions, tours, public talks, and opportunities for local artists.						
RANDOLPH FELLOWSHIP HOME INC	http://randfell.wix.com/randfell	336-625-1637	EIN 56-1010521	PO Box 2543	Asheboro	NC	27204	USA	Community Mental Health Centers, Mental Health, Residential Mental Health Treatment, Substance Abuse Prevention, Substance Abuse Treatment	To inspire hope and contribute to health in supervised living environment by utilizing tools taught to face life on lifes terms through physical, mental and spiritual well-being and not through the use of drugs and/or alcohol.	Randolph Fellowship Home Inc. Supervised Group Living Program provides direct support and training to adults with disabilities in the home and community based settings. Support is 24 hours a day and based on the Individual Support Plan.  It is our goal that provides a program to prepare, empower and support individuals with intellectual/developmental disabilities in:    Recognizing and fulfilling their lifes goals   Establishing meaningful relationships   Participating fully in our communities   To learn daily living skills that leads to self sufficiency   All persons enrolled at Randolph Fellowship Homes programs have an Individualized Support Plan that is based on the individuals Person Centered Plan.  The plan is developed upon admission and annually thereafter.  Goals and outcomes are developed with each individual and his/her support team.  Each individual has a Consumer Supports Coordinator who is responsible for writing and coordinating the plan that is developed.  Direct Support Professionals are responsible for implementation and data collection.  Progress on the goals and outcomes are monitored by the Administrator on a monthly basis and reviewed quarterly with the support team.  Changes to the plan are made anytime the support team deems necessary.   Clients at Randolph Fellowship Homes Supervised Group Living program are involved in multiple programs, including Life Long Learning, Work Services, Employment and Behavioral Services. Depending on the individual, he/she may still be enrolled in the public school system. Each client is supported and encouraged to take advantage of any and all services available based on individual needs. The administrator and support staff help for coordinating all services provided to each individual within our facilities.	To transform communities by inspiring people to embrace recovery, improving the quality of life for a recovering addict and their families.	health and human services, Substance Abuse, Alcoholism	24 hour supervised living services, transportation to and from all treatment programs, intensive outpatient treatment and aftercare, mental health services, medication management, daily 12 step meetings, employment services to include employment opportunities, budgeting skills, etc., structured daily living education with life living skills, food and shelter, health and nutritional eating and exercising activities, help with legal aid, DSS, probation etc. and many more opportunities available.	56 individuals, 100's of families and our local communities as a whole					
Inter-Faith Council for Social Service	http://www.ifcweb.org	919-929-6380	EIN 59-1224041	110 W. Main Street 1D	Carrboro	NC	27510	USA	Emergency Assistance, Food, Food Banks & Pantries, Homeless & Housing, Homeless Shelters, Human Services, Religion, Religion-Related	The  Inter-Faith Council for Social Service meets basic needs and helps  individuals and families achieve their goals. We provide shelter, food,  direct services, advocacy and information to people in need.  We  accomplish this through strong partnerships with volunteers, staff and  those we serve. We rely on the active involvement of caring individuals,  congregations and other community organizations.		those in need	Orange County, NC	HomeStart provides emergency and longer-term housing and services to homeless women and children, on a site provided by Orange County. Supportive services are provided in order to aid families in their goal of attaining their own income, childcare and affordable housing. IFC @ SECU Community House offers residents safe living accommodations, meals, showers and laundry facilities; medical and mental health treatment; social workers, job coaching; and referrals to community agencies. Piedmont Health Services works in collaboration with IFC to provide clinical services at the Robert Nixon Clinic for our homeless residents. The Crisis Intervention program serves those in need by providing food, clothing, rent and utility assistance, transportation, information and referrals. Anyone who either lives or works in Chapel Hill and Carrboro may come to IFC when they are faced with economic uncertainty, an illness, or hardship that could lead to homelessness.  Support Circles are small groups of volunteers who partner with formerly homeless individuals and families who are transitioning into permanent housing. Teams provide partners assistance for at least 12 months. Team members meet regularly with their Partner to share information, build relationships and function as a support system. Household members of the Food Pantry can come as often as once a month for groceries. Quantities received are based on the number of people in the household. Holiday meals are distributed at Thanksgiving and Christmas. The Community Kitchen serves hot meals every day, free of charge, to anyone who is hungry. Staff schedules and trains community volunteers to prepare and serve the food which is mostly donated by local grocery stores, restaurants and Carolina Dining Services.   The Community Kitchen serves two hot meals a day, every day of the year. Groups from congregations, neighborhoods and other organizations prepare and serve meals to clients. 95% of the food served is donated by businesses, UNC food service providers, grocery stores and individuals. Anyone who is hungry can eat.  HomeStart and Community House are the only homeless shelters in the county.						
Special Olympics North Carolina Inc	http://www.sonc.net		EIN 56-1149607	2200 Gateway Centre Boulevard Suite 201	Morrisville	NC	27560	USA	Special Olympics, Sports	The mission of Special Olympics is to provide year-round athletic training and sports competition in a variety of Olympic-type sports for children and adults with intellectual disabilities, giving them continuing opportunities to develop physical fitness, demonstrate courage, experience joy and participate in a sharing of gifts, skills and friendship with their families and other Special Olympics athletes and the community. The concept of Special Olympics began in the early 1960''s in Chicago, Illinois, and North Carolina held its first Games in 1970 in Burlington. SONC is one of the largest volunteer-driven sports organizations in the state, with more than 20,000 volunteers. Based on the 2008 Special Olympics Athlete Census, SONC has 38,892 registered athletes.				SONC offers 20 sports for children and adults with intellectual disabilities in which athletes aged eight and up can train and compete. Developmental sports and motor activities for people with multiple disabilities are alsooffered. In addition to sports competition and training at the local, area, regional, state and international levels, SONCoffersthe Special Olympics Play Activities Program which has been developed for children six and seven years old with mild or moderate intellectual disabilities and some level of physical mobility. The Play Activities Program provides activities that increase a child's strength and coordination, preparing them for the transition into Special Olympics, and organized sport, when they reach the age of eight. Another program offered is the Sargent Shriver Global Messenger Program which informs the athletes of the history and mission of Special Olympics while training them to give presentations to schools, recreational departments, group homes and civic and corporate groups. Each Global Messenger serves to educate the public on the benefits of Special Olympics, to recruit eligible individuals to participate in our program, and to motivate change within all of us.						
Next Step Ministries	http://	(336) 413-7054	EIN 56-2074800	PO Box 793	Kernersville	NC	27285	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	Organization provides emergency shelter and services for women and children who are victims of domestic violence				To provide emergency shelter and services for women and children who are victims of domestic violence. In 2014 we provided shelter to 52 women and children						
Ruff Love Foster Care And Dog Rescue	http://		EIN 56-2269901	Po Box 2013	Thomasville	NC	27361	USA	Animal Protection & Welfare, Animals											
Triangle Residential Options For Substance Abusers Inc	http://www.trosainc.org	(919) 419-1059	EIN 56-1861158	1820 James St	Durham	NC	27707	USA	Crime & Law, Half-Way Houses for Offenders & Ex-Offenders, Mental Health, Prison Alternatives, Substance Abuse Dependency, Prevention & Treatment	Form 990, part i, line 1 and part iii, line 1 - trosa is an innovative, multi-year residential program that enables substance abusers to be productive, recovering individuals by providing comprehensive treatment, work-based vocational training, education, and continuing care.				Vocational training - this is the cornerstone of trosa's treatment program. Trosa residents receive vocational training through all phases of the operations, which creates a sense of community and shared responsibility for the individual's and the group's success. Importantly, all residents gain a strong work ethic and a wide variety of marketable job skills (customer service, computer, and phone skills) as well as specific skills depending on the resident's vocational training placement (such as moving, lawn care, warehousing, auto mechanics, sales, construction and catering). In fiscal year end 6/30/15, we had 841 clients who received vocational training for a total of 157,490 vocational days served. Trosa also helped 78 residents receive cdl class a licenses/permits.   substance abuse treatment - trosa provides on-site substance abuse counseling and evidence-based therapies. In fiscal year end 6/30/15, we had 242 residents receive counseling for a total of 2,463 counseling appointments. Trosa also provides group sessions and in f/y/e 6/30/15, 2,183 attendances to group.   food & beverage - in fiscal year end 6/30/15, trosa provided 576,648 meals for an average daily population of 508 individuals. Meals are provided to residents at no cost to the individual.   trosa's substance abuse counseling is provided in a comprehensive, integrated, therapeutic community setting. Supportive services such as medical care, psychiatry, education, clothing, housing, and drivers' license renewal and replacement are available to our residents. In fiscal year end 6/30/15, trosa provided continuing care for 103 graduates of the multi-year residential program and had 150 residents enter the work out phase of the multi-year program. 83 residents participated in ged classes for a total of 2,392 ged classes served and 49 residents took a total of 63 college courses. Trosa also had 10,528 medical appointments for f/y/e 6/30/15.						
Children of Vietnam	http://www.childrenofvietnam.org	(336) 235-0981	EIN 31-1605964	PO Box 18039 Greensboro, NC 27419	Greensboro	NC	27419	USA	Human Services, International, International Relief	"Building bright futures for vulnerable children in Vietnam."   We serve children by educating minds, mending bodies, sheltering families and nurturing their development.  We build relationships, find the greatest needs, deliver aid, give hope to families, and establish futures for the poor, orphaned, disabled and vulnerable children.	Here are just a few: Provided complex and wraparound interventions for over 500 children with disabilities Support 600 children yearly with school scholarships Assist over 70 students attend university annually Distribute 1 million vitamin-fortified meals Build 2-3 kindergartens each year for remote ethnic minority young children Assist single mothers develop microenterprises Distribute 30,000 doses of parasite medicine annually keeping children healthy	vulnerable children and their families.	Central Vietnam	COV Addresses the Needs of Vulnerable Children Through 6 Initiatives: Education Healthcare Housing Nutrition Hope System of Care for Children with Disabilities Empowering Foundations for Women & Their Children	30,000					
Gold Star Teen Adventures	http://www.gstadventures.org	910-916-6561	EIN 90-0998030	3350 Footbridge Lane  Suite 124	Fayetteville	NC	28306	USA	Human Service Organizations	Gold Star Teen Adventures enables healing, fosters enduring relationships, and develops character and leadership skills through adventure experiences to the surviving youth of Army, Navy, Air Force and Marine Corps special operations personnel who have lost their lives in the line of duty.		Gold Star Teen Adventures provides unique summer adventure opportunities for Gold Star Youth. The purpose of the program is to provide healing, mentorship, development, and opportunity to the children of special operations Service Members who lost their lives in the line of duty. The program serves youth of fallen United States military special operations service members, consisting of Army Special Forces (Green Berets), Army Rangers (75th Ranger Regiment), the 160th Special Operations Aviation Regiment, 95th Civil Affairs Brigade, 4th MISOC, Navy Small Boat Teams, Navy SEALs, Air Force Combat Controllers, Air Force rotary and fixed wing squadrons, and Marine Corps special operations personnel.	Gold Star Teen Adventures provides unique summer adventure opportunities for Gold Star Youth.	GSTA Basic open Water Scuba, Alumni Advanced Scuba, Basic Outdoor Leadership, Alumni Advanced Outdoor Leadership, GSTA Leadership Workshop, GSTA Girl's Retreat, GSTA's White Tail Deer Hunt.	108 participants					
Hillcrest-Scurlock Water System Inc	http://		EIN 56-1030614	Po Box 1536	Raeford	NC	28376	USA		This organization was established to provide clean water to the water district set up through the hoke county commissioners. The system sales water to the citizens within its district and operates on nonprofit basis.				The system has for years provided clean water to the citizens within its assigned district.						
THE BASCOM CORPORATION	http://www.thebascom.org/	828-526-4949	EIN 56-2093546	323 Franklin Rd	Highlands	NC	28741	USA	Arts & Culture, Visual Arts	Believing that creative expression transforms our lives, The Bascom is committed to providing life enriching experiences through diverse exhibitions; comprehensive arts education and public programs; support for regional artists; and strategic partnerships facilitating cultural and economic development in the Highlands-Cashiers community.				At The Bascom, children and adults explore and learn about art, both indoors and outdoors.  The Bascom provides stimulating experiences in the visual arts through high quality changing exhibitions and educational opportunities. The Bascom will be recognized for:  Diverse exhibitions with broad appeal and multiple entry points for learning  Showcasing quality collections through innovative exhibitions and programs  Serve as a cultural hub for the community  Inventive outreach programs  Accessible open studio time  Support of regional artists  Strategic partnerships facilitating economic growth  The Bascom is committed to fiscally responsible management of its assets and resources and aspires to be a premier destination for residents and visitors.						
Greenhills School Inc	http://		EIN 56-1708264	1360 Lyndale Dr	Winston Salem	NC	27106	USA	Education, Special Education	EDUCATION										
Start A Snowball, Inc	http://startasnowball.org		EIN 46-4026939	1101 LAKE COVE CT	RALEIGH	NC	27606	USA	Children & Youth, Children & Youth Services, Education, Educational Services, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations, Youth Development Programs	The Mission of Start A Snowball is the pursuit of the following principles: 	Service: It is the responsibility of everyone, and if each one of us can help the world around us the world would be a much better place. 	Possibility: It is possible for one person to make an enormous difference through a seemingly small effort to help someone. These actions can have long lasting and broad reaching ripples. 	Support: Through offering resources and community we can empower youth to make huge impacts. 	Growth: As we teach children about serving others we can create a movement that can influence a generation to become a generation of givers.	We have supported the community service passions of kids around the country and given them grants to support their projects. Through these projects kids are learning what it is to give, and the power that they have to change the world. We are helping to build the next generation of givers.	build the next generation of givers	the US		A website offering: o	An online community to inspire, support, and encourage youth to engage in philanthropy o	Online service learning curriculum  o	Ideas of possible projects for youth to undertake o	Stories from other youth that have had successful projects o	An open repository of education materials to assist educators and parents in teaching students about the impact they could have 	An opportunity for individuals and organizations to obtain seed money (averaging $100 per grant) funding to start their own projects 	A feedback loop to celebrate projects and drive service continuity once the project is complete	Kids around the country follow their passion to help others with inspiration and funding for their own community service projects					
Tye Blanton Foundation	http://		EIN 27-0598593	81 Sterling Dr	Canton	NC	28716	USA	Human Service Organizations											
Beginnings For Parents Of Children Who Are Deaf Or Hard Of Hearing	http://www.ncbegin.org	(919) 850-2746	EIN 58-1727548	156 Wind Chime Court Suite A	Raleigh	NC	27615	USA	Deaf & Hearing Impaired Centers, Disabilities, Ear & Throat Diseases, Health, Human Service Organizations	To provide emotional support and impartial, unbiased information concerning communication methodology, placement and related service needs to families of deaf and hard of hearing children ages 0-21.				Educate & inform parents & others about available services & legal rights of hearing impaired children. Aid parents in development & coordination of activities on behalf of their children. Promote rights & better services & programs for hearing impaired children through public education, referral and special services. Produce a parental perspectives video						
Neuse Enterprises Inc	http://		EIN 58-1466367	Po Box 1715	Kinston	NC	28503	USA	Centers to Support the Independence of Specific Populations, Human Services	Job training for the handicapped.				Neuse enterprises served approximately 113 clients for the purpose of providing personnel services and facilities for carrying a program of rehabilitation for adults with substantial vocational handicaps.						
Lutheran Family Services In The Carolinas Inc	http://www.lscarolinas.net	(704) 637-2870	EIN 56-1286323	Po Box 30066	Charlotte	NC	28230	USA	Family Services, Homeless & Housing, Housing Support, Human Services, Mental Health, Residential Mental Health Treatment	Lutheran family services in the carolinas (lfs) is dedicated to one simple goal, helping the most vulnerable in north and south carolina. Embracing christ's call to serve, lfs walks alongside thousands of people in our communities as they journey through healing and wholeness. We help place children in loving foster and adoptive homes, provide comprehensive services to adults with special needs, aid veterans in regaining independence, help refugees acclimate to life in a new country and counsel families in their time of need. The organization is an affiliate of lutheran services for the carolinas (lsc) and shares in the group's mission as follows: "empowered by christ, we walk together with all we serve".				Lfs offers family and therapeutic foster care to meet the special physical and emotional needs of the vulnerable children in our care. Some children suffer from medical problems such as fetal alcohol syndrome and drug addiction. Older children can have emotional and behavioral issues and are given counseling when needed. Many families will have the opportunity to adopt when reunification with a child's biological family is not possible. Finding permanent, safe, and supportive families for children is the goal of lfs foster care.   lfs provides residential services for adults coping with various degrees of autism, developmental disability, mental illness, and symptoms resulting from traumatic brain injury. Self-sufficiency is taught and encouraged in these homes, though many clients will live out their lives with lfs.   other program services include adoption, counseling, refugee, community- based partnership initiatives and disaster response.						
Habitat For Humanity Of Durham Inc	http://www.durhamhabitat.org	(919) 682-0516	EIN 58-1674794	215 N Church St	Durham	NC	27701	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for humanity of durham is a non-profit, christian housing ministry that builds, repairs and sells decent, affordable and sustainable homes in partnership with people in need and communities that care.				Construction services: the construction program builds and sells affordable homes for low income families using volunteer labor. Services offered include new home construction, gut rehabs of homes in historical areas, and critical and urgent repairs which allow homeowners to avoid eviction and protect the investment in their home. Durham habitat helps revitalize inner city neighborhoods as we build, sell, and repair homes for low income buyers.   family services & mortgage financing: this program recruits, selects,and stewards eligible applicants for homeownership through the approval and application process to mortgage closing and beyond. The approval process includes attendance at homeowner education classes and performance of sweat equity volunteer work. Each home is sold at near appraised value and an interest-free, affordable mortgage is offered to each homeowner.   restore program: the restore sells donated and salvaged building materials to the general public at below-market prices with the net proceeds supporting the organization's mission to build affordable homes. In addition to making home maintence more affordable, the restore operations keep usable materials out of the landfill.						
Refuge Ranch Ministries of Charlotte Inc	http://refugeranch.info	980-221-9323	EIN 56-1713081	PO Box 470371 Refuge Ranch Ministries	Charlotte	NC	28247	USA	Religion	To build a team of like-minded believers with a common deliverance experience, to lead, direct, and inspire men and women to walk freed, filled and on fire for the kingdom of God.		All who are seeking freedom, healing and life change	We are based just outside of Charlotte, NC	We specialize in Holy Spirit led teachings showing people how to reach their full predestined potential. Seeing Gods people Freed, Filled, and on Fire.						
Class Jump	http://		EIN 27-1035289	Po Box 8147	Asheville	NC	28814	USA	Education											
Jobs for Life Inc	http://www.jobsforlife.org	888-408-1565	EIN 56-2193808	111 E Hargett St	Raleigh	NC	27601	USA	Job Training, Vocational Counseling	Jobs for Life offers a unique solution to poverty and joblessness in communities and for individuals across the country by equipping churches and community-based organizations to help unemployed and underemployed individuals obtain meaningful work and build healthy lives	Over 7,000 people have been served by JfL since 2006.  As of 1/1/2010, churches and organizations in over 120 cities and 29 states lead JfL training classes.	Nationwide, unemployed and underemployed men and women as well as at-risk youth		Jobs for life offers a unique solution to poverty and joblessness across the nation by equipping churches and community-based organizations to help unemployed and underemployed individuals to obtain meaningful work and build healthy lives. This is primarily accomplished through seminars and sales of printed instructional materials.						
Guilford Green Foundation	http://www.ggfnc.org	336-790-8419	EIN 56-2091293	PO Box 10428	Greensboro	NC	27404	USA	Human Service Organizations, Human Services	Founded in 1996, the Guilford Green Foundation is dedicated to funding Lesbian, Gay, Bisexual and Transgender (LGBT) related organizations and projects in the Greater Greensboro area.  GGF courageously seeks to unite community by fostering organizations which advance LGBT persons and issues.  Our mission is to promote diversity and inclusiveness by raising and distributing funds to LGBT organizations for their programs.  GGF also supports an endowment to sustain funding for these efforts.	-GGF has invested over $620,000 in organizations and projects benefiting the LGBTQ community in Greensboro and its surrounding area. -GGF has also worked to grow an endowment, which is currently slightly over $400,000.		The Triad Region of North Carolina - our granting focus is Guilford and 4 surrounding counties (Rockingham, Alamance, Randolph, and Davidson)	Green Queen Bingo						
Kramden Institute Inc	http://www.kramden.org	919-293-1193	EIN 74-3108814	4915 Prospectus Drive (Suite J), Durham, NC 27713	Research Triangle Park	NC	27709	USA	Children & Youth, Computer Science, Gift Distribution, Technology	Providing technology tools and training to bridge the digital divide.		students, families, and communities	North Carolina	technology tools and training to bridge the digital divide.	3.500 students					
City of Oaks Foundation Inc.	http://www.cityofoaksfoundation.org	(919) 996-4773	EIN 27-4467111	222 W. Hargett St., Ste. 608	Raleigh	NC	27601	USA	Animals, Environment, Natural Resources Conservation & Protection, Philanthropy, Private Operating Foundations, Wildlife Preservation & Protection	The City of Oaks Foundation conserves natural areas for Raleighs citizens and visitors. The Foundation uses a non-confrontational, collaborative approach to acquire land, and it sponsors efforts that move people to explore Raleighs natural and cultural resources.		make our lives better and strengthen our community	City of Raleigh and the Upper Neuse River Basin	"Raleigh, Naturally" Land Trust that works with landowners to conserve their land, and the "Give Play" Initiative that raises money to remove cost as a barrier for families to enroll their kids in Raleigh Parks classes, nature programs, and camps	conserve a beautiful 4-acre natural garden and arboretum for people to enjoy and learn about nature.					
GCFLearnFree.org	http://www.gcflearnfree.org		EIN 56-1954387-001	321 W. Hargett St.	Raleigh	NC	27601	USA		GCFLearnFree.org's mission is to create and provide free quality and innovative online learning opportunities to anyone wishing to improve upon their skills in technology, literacy, and math. The idea is to educate online learners and empower them to have the skills necessary to be successful in both work and life.	Since our inception in 1999, we have helped 14 million learners around the world to further develop their technology, math, and reading skills through free classes and tutorials.	people around the world learn for free	education	free online tutorials and classes geared toward fostering a better understanding of computers, technology, Microsoft Office, social media, math, reading, career planning, and everyday life.	6.5 million learners					
Broach Theatre Company	http://		EIN 58-2435970	520 S Elm St	Greensboro	NC	27406	USA	Arts & Culture, Theater											
