name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Results	DomesticViolence Emergency Shelter
Access To Meaningful Employment	http://		EIN 72-1115802	3801 N Causeway Blvd Ste 204	Metairie	LA	70002	USA								
Louisiana Transportation Research Center Foundation Inc	http://		EIN 72-1350383	4101 Gourrier Ave	Baton Rouge	LA	70808	USA	Federated Giving Programs, Philanthropy							
THE FOODBANK OF COVINGTON LOUISIANA INC	http://www.foodbankofcovington.org	985-893-3003	EIN 72-1028539	840 N Columbia St	Covington	LA	70433	USA	Food, Food Banks & Pantries	To provide food for the poor and needy; assistance with rent, utilities, medications and clothing for those who have found themselves facing financial hardship due to unforseen circumstnaces and dental care for the working poor.		Food bank: distribution of food to the poor and hungry.   dental clinic: providing low-cost dental care to the poor.   thrift store: providing low-cost clothing to the poor.				
Grace Bible Study Inc	http://		EIN 72-1226796	32269 Patti Anne Dr	Denham Spgs	LA	70726	USA								
Gateway Foundation	http://		EIN 72-1345367	4103 Lac Couture Dr	Harvey	LA	70058	USA	Human Services, Residential Care & Adult Day Programs							
Aids Law Of Louisiana Inc	http://www.noaidstaskforce.org/about-aidslaw	(504) 821-2601	EIN 72-1161571	2601 Tulane Ave No 500	New Orleans	LA	70119	USA	AIDS, Health	To provide excellent, specialized legal services for people living with hiv/aids in la, to improve their quality of life and access to health care, related to their hiv/aids status.		Provided legal services to about 1,080 persons living with hiv/aids in the metro areas of new orleans and baton rouge in louisiana.				
Baton Rouge Black Alcoholism Council	http://	(225) 338-9333	EIN 72-1135608	950 E Washington St	Baton Rouge	LA	70802	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment	To develop and implement strategies that will reduce the spread of hiv/aids and other sexually transmitted diseases; to educate and provide risk reduction counseling and testing to individuals; to encourage early hiv testing; to motivate behavioral changes in persons with behaviors that put them at risk of getting infected with hiv/std's; to increase awareness of preventive services; to render support services to persons infected with hiv and other std's; to offer alcohol and drug prevention and referral services (education, counseling and treatment services); to offer educational services on health issues.		The organization has various education programs and continues to implement various strategies (including education and counseling) to reduce the spread of hiv/aids and other std's.				
J&J Horse Rescue And Rehab Center Inc.	http://jjhorserescueandreha.wix.com/horse-rescue-rehab	(318)794-5028 	EIN 	199 Brumley Rd	Montgomery	LA	71454	USA		This Corporation is organized exclusively for Charitable,Rescue,Rehabilitation of Malnourished, and Neglected Equines provide medical treatments as necessary and educational purposes,including,for such purposes,finding qualified owners for animals after rehabilitation,making sound medical decision in the disposal of Equines if required. Make distributions to organization that qualify as exempt organizations under section 501(c)(3) of the Internal Revenue Code,or corresponding section of any future federal tax code.Our goal is to rescue horses that have been neglected,mis-treated,etc. Afterwards; Re- Fresh their training, and get them ready to be adopted to a loving home. Any donations and sponsors would be appreciate. We need as much help as we can get to keep helping these horse.		Medical Treatments For Rescued Horses,Training Horses,Refresh Horses,Adopting Horses to a loving family,Fostering Program,etc.	Rescue and Rehab Horses			
Crimestoppers Inc	http://		EIN 72-0941292	Po Box 55249	Metairie	LA	70055	USA	Crime & Law, Crime Prevention	Reward public tips leading to arrest and conviction of persons committing criminal acts		Court fund / safe school hotline - rewards paid to informants and expense of operating the reward program  community outreach - crimestoppers will make presentations on crime prevention topics to community and social/service organizations. A large component of this activity encompasses night out against crime. We will also provide finger printing/child id kits to organizations and participate in safety fairs.   youth crime prevention initiative - crimestoppers provides crime prevention presentations to schools and community groups, a youth leadership program called the teen ambassadors against crime and community outreach to at risk youth.				
Preservationists Of St Landry Inc	http://		EIN 51-0195432	Po Box 613	Opelousas	LA	70571	USA								
Metro Centers For Community Advocacy	http://www.metrobatteredwomen.com		EIN 72-1062244	Po Box 10775	New Orleans	LA	70181	USA	Counseling, Domestic Violence, Family Violence Shelters, Homeless & Housing, Mental Health, Sexual Assault Services	Metropolitan Battered Women's Program strives to break the cycle of domestic violence through advocacy, intervention, empowerment, and transformation.						
LOUISIANA WILDLIFE REHABILITATORS ASSOCIATION	http://www.lawraonline.com	888-308-3922	EIN 72-1402657	16925 George O'Neal Rd.	Baton Rouge	LA	70816	USA	Animals, Environment, Natural Resources Conservation & Protection	The Louisiana Wildlife Rehabilitators Association improves and promotes the profession of wildlife rehabilitation and its contributions to preserving natural ecosystems. LAWRA is comprised of wildlife rehabilitators, veterinarians, conservationists, and other professionals from around Louisiana, all committed to restoring the health, ensuring the welfare, and safeguarding the future of Louisiana's wildlife.	All of Louisiana					
Carter G. Woodson Preparatory Christian Academy	http://		EIN 72-1221372	1137 Cypremort Rd	Jeanerette	LA	70544	USA								
Tab-N-Action Inc	http://	(318) 801-0143	EIN 72-1223772	811 Washington St	Monroe	LA	71201	USA	Education	To provide services to the poor and needy and sponsor a charter		To provide services to the poor and needy and work to eliminate poverty, crime, delinquency, illiteracy and homelessness in low and moderate income neighborhoods in monroe. Approximately 60 students served.   to operate charter school with an emphasis on the arts as well as high academic achievements. Approximately 239 students served.				
Jefferson Coalition For Alternative Schools	http://jeffersoncommunity.jppss.k12.la.us/	(504) 836-0808	EIN 72-1320275	3528 Montford Street	Jefferson	LA	70121	USA	Education, Literacy, Remedial Reading & Encouragement	Provide education assistance to young adolescents, grades sixth - eighth, who have been expelled from jeff public school system to learn appropriate academic and behavioral skills, enabling them to return as functioning, responsible participants to the public middle/high schools.		The coalition assisted 28 students previously expelled from the public school system to continue their education process. Through a system of reduced classes and special instructors, these students are positioning themselves to be better educated and well rounded citizens upon finalizing their undergraduate studies.   the coalition has assisted in excess of 100 students previously expelled from the public school system to continue their education process. Through a system of reduced classes and special instructors, these students are positioning themselves to be better educated and well rounded citizens upon finalizing their undergraduate studies.				
Rebuilding Together New Orleans	http://www.rtno.org	504-581-7032	EIN 	923 Tchoupitoulas St	New Orleans	LA	70130	USA		A continuing volunteer effort to improve the quality of life of low income homeowners, particularly those who are elderly, disabled, or single head of households with minor children, through home repair and revitalization of New Orleans neighborhoods.	New Orleans, LA - in 7 target neighborhoods: Broadmoor, Esplanade Ridge/Treme, Gentilly, Hollygrove, Holy Cross, Mid-City and St. Roch		As a program of the Preservation Resource Center of New Orleans, Rebuilding Together New Orleans does quality of life repairs for homeowners in New Orleans that are: low income, elderly, disabled or single heads of households with minor children.	Over 475 people helped since Hurricane Katrina.	240 projects completed since Hurricane Katrina. Over 1,200 projects completed since 1988. Since the storm, over 14,000 volunteers from all over the country have provided over 250,000 labor hours for a market value of labor worth over $4.5M.	
Catholic Charities Archdiocese Of New Orleans	http://www.ccano.org	(504) 523-3755	EIN 72-0408911	1000 Howard Ave Ste 200	New Orleans	LA	70113	USA	Education, Graduate & Professional Schools, Human Service Organizations, Human Services, Mental Health, Mental Health & Crisis Intervention	To operate and provide support to community social service programs.		Non-residential day programs include a variety of different services. Counseling programs provided individual, group and family therapy to 245 individuals through a variety of therapeutic interventions in four offices throughout the greater new orleans area; another 4 were helped through care line. School based counseling was provided to 242 children. Interpreting was provided through a community service program that assisted 274 deaf, deaf-blind and hard-of-hearing individuals. The foster grandparent program for low-income seniors allowed 78 seniors to share their life experiences and mentor special needs children. There were 448 domestic violence survivors assisted with emergency legal representation. The independent living skills program assisted 422 teens by providing life skills classes and mentoring services in preparation for leaving foster care. Immigration and refugee services provided assistance with citizenship, visas, legal services and document translation to 1,204 clients. Affordable private medical care and education was provided to 70 moderate income women during pregnancy. Counseling and legal services were provided to 107 persons through domestic and international adoption, and 1,144 women received counseling and referral services for unplanned pregnancy. Cornerstone builders provided job counseling and/or opportunities to 60 formerly incarcerated persons. Case management and direct financial assistance was provided to 65 individuals and families experiencing financial hardship due to a medical condition faced by a member of the family. Adult education services were provided to 670 individuals. Medical and behavioral care navigation services were provided to 182 individuals.   head start provided education, social services, and health screenings to 430 infants, toddlers, and preschoolers (ages 6 weeks to 6 years). There are 5 centers.   padua pediatrics and padua community homes are intermediate care facilities for the mentally disabled that provided residential services to 52 developmentally disabled individuals. Services provided included meals, medication administration, counseling, recreation, nursing, custodial care, therapy, etc. Padua home and community based services provided 3,496 waiver service days of care to people with disabilities.				
Robinsons Rescue Inc	http://www.robinsonsrescue.org	(318) 221-0017	EIN 42-1717278	1804 Centenary Blvd	Shreveport	LA	71101	USA	Animal Services, Animals, Veterinary Services	To reduce dog and cat overpopulation and euthanasia in the greater shreveport metropolitan area.		To provide affordable spay/neuter services.				
St Thomas-Irish Channel Consortium	http://		EIN 58-1909752	P.O. Box 56848	New Orleans	LA	70156	USA	Children & Youth, Children & Youth Services							
Voa Nicollet Towers Affordable Housing Corp.	http://		EIN 72-1321967	3939 N Causeway Blvd Ste 300	Metairie	LA	70002	USA								
Good Samaritan Church Of Louisiana Inc	http://		EIN 72-0851148	760 Louisiana Ave	Lake Charles	LA	70601	USA								
Louisiana Association Of The Deaf	http://lad1908.org	(225) 923-1266	EIN 72-0854666	3112 Valley Creek Dr Ste E	Baton Rouge	LA	70808	USA		To promote social welfare of deaf individuals within the state,preserve and protect their rights as citizens, aid deaf children insecuring a proper education, sponsor cooperation and goodwill withinthe ranks of the deaf community, and cooperate with other deaf organizations to achieve all worthwhile objects.		Co-sponsor conferences/conventions/meetings for deaf individuals  provide funds for deaf children scholarships and programs for deaf children				
Hillel The Foundation For Jewish Campus Life	http://tulanehillel.org	(504) 866-7060	EIN 72-6031116	912 Broadway St	New Orleans	LA	70118	USA		Tulane hillel serves as a jewish resource on campus committed to empowering students to make jewish connections, building dynamic communities and generating excitement about jewish life on campus. We recognize and value the uniqueness of every jewish student and are invested in their individual growth. Through education, initiative and action, tulane hillel aims to promote positive change and make significant contributions to the jewish people and the world.		Activities and programs for all students in the greater new orleans area				
Urban Housing Of America Inc Louisiana	http://	(318) 621-9263	EIN 72-1364399	Po Box 3401	Shreveport	LA	71133	USA	Homeless & Housing, Housing Expense Reduction Support	Develop and manage multfi-family low income housing.		Maintain and manage multi-family low income housing complexes.				
Vermilion Catholic-Mt Carmel Catholic School Educational Trust	http://		EIN 72-0985044	425 Park Ave	Abbeville	LA	70510	USA								
Korean Dong Ji Hoi Society U S	http://		EIN 95-6111621	13817 Briarlake Ave	Baton Rouge	LA	70809	USA	Religion, Religion-Related							
Kingsley House Inc	http://www.kingsleyhouse.org		EIN 72-0408940	1600 Constance St	New Orleans	LA	70130	USA	Children & Youth, Children & Youth Services, Education, Human Service Organizations, Human Services, Preschools	Kingsley House, nationally respected as the oldest Settlement House in the South, has served the people of metropolitan New Orleans through time of dramatic change since 1896. Kingsley House has seen our city's most crucial problems move from language and cultural barriers at the turn of the century, to the challenges of integration in the Sixties, to the effects of drugs and violence, poverty and racism today.						
Access Health Louisiana	http://www.accesshealthla.org	(504) 575-3700	EIN 47-0852944	843 Milling Ave	Luling	LA	70070	USA	Ambulatory & Primary Health Care, Health	To provide health care		To provide accessible high quality health care through community efforts, to promote prevention and coordinate treatment, and to improve the health care status of southeast louisiana with emphasis on the underserved and vulnerable populations.				
Women's Aglow Fellowship Of Louisiana - West Area	http://www.aglow.org/		EIN 51-0237672	221 Self Rd	Sulphur	LA	70663	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.						
Camp Bon Coeur, Inc.	http://www.heartcamp.com	337-233-8437	EIN 58-1710741	405 West Main Street	Lafayette	LA	70501	USA	Camps, Children & Youth, Health, Heart & Circulatory System Diseases & Disorders, Pediatrics, Sports, Youth Development	Camp Bon Coeur''s mission is to provide a safe summer camp environment in which children with heart defects can grow physically, intellectually, emotionally, and socially while learning lifelong coping skills.	Lafayette Louisiana for kids across the nation.		Children and adults with congenital heart defects and their families.		Since 1985, Camp Bon Coeur has changed the lives of thousands of children with congenital heart defects.  We have provided them with a typical camp experience that includes art, archery, sports, canoeing, heart class and a great deal more.	
Junior Achievement of Greater Baton Rouge	http://batonrouge.ja.org/	(225) 928-7008	EIN 72-0485727	aka Junior Achievement of Greater Baton Rouge & Acadiana, Inc. 7809 Jefferson Hwy, Ste D4	Baton Rouge	LA	70809	USA	Children & Youth, Education, Youth Development - Business	We are the passionate people behind a movement that seeks to educate and inspire young people to value free enterprise, business and economics to improve the quality of their lives.		An in-school practical economic supplement to a senior high free enterprise economic class, junior high social studies class and elementary school classes.				
Dreams Come True Of Louisiana Inc	http://www.dreamscometrueinc.org	(225) 218-4016	EIN 72-0954216	Po Box 1020	Prairieville	LA	70769	USA	Health, Patient & Family Support	Dreams come true was founded for the sole purpose of providing dreams to children with life-threatening illnesses.		Dreams come true was founded for the sole purpose of providing dreams to children with life-threatening illnesses. In 2014, 58 dreams were provided to children with life-threatening illnesses. While most of the children reside in baton rouge and surrounding areas, dreams are granted to children living anywhere in the state of louisiana. Approximately 50 to 60 dreams are granted annually. Dreams include pets, furniture, shopping sprees, musical instruments, playground equipment, disney world trips, above ground pools, computers, tvs and electronics.				
Loranger Alumni Association Inc	http://		EIN 72-1011864	Po Box 670	Loranger	LA	70446	USA	Alumni Associations, Education							
Animal Aid For Vermilion Area Inc	http://	(337) 893-5400	EIN 72-1213047	5937 Veterans Memorial Drive	Abbeville	LA	70510	USA	Animal Protection & Welfare, Animals	Provide aid to animals.		Provided aid to animals				
Louisiana Bucket Brigade	http://www.labucketbrigade.org	(504) 484-3433	EIN 72-1488935	4226 Canal St	New Orleans	LA	70119	USA	Civil Rights, Environment, Minority Rights	To work with communities that neighbor the state's oil refineries and chemical plants, and use grassroots action to create an informed, healthy society with a culture that holds the petrochemical industry and government accountable for the true costs of pollution.		Refinery efficiency initiative (rei): researched and analyzed accidents at 17 refineries around the state. Deployed our emergency response team eight times to assist residents impacted by petrochemical accidents. Developed an online pollution visualizer for each refinery.   membership (including art-to-action): provided information about pollution and petrochemical plants to over 3,000 people through events, bike tours, social media, newsletters, and via door-to-door engagements.   movement building: worked in coalition with the green army and one voice to make issues of pollution more prominent in louisiana.				
Louisiana Alliance For The Blind, Inc.	http://		EIN 72-1340124	2223 Ridgewood Dr	Lake Charles	LA	70605	USA	Human Services							
Meals On Wheels-New Orleans Fund Inc	http://		EIN 72-1337339	5651 Cherlyn Dr	New Orleans	LA	70124	USA	Food							
Womens International Bowling Congress Inc	http://		EIN 51-0221820	400 Arlington Dr	West Monroe	LA	71291	USA								
Hispanic Scholarship Foundation Of Louisiana, Inc.	http://		EIN 72-1239576	PO Box 2688	Harvey	LA	70059	USA	Education, Scholarships, Scholarships & Student Financial Aid							
Forgotten Angels	http://		EIN 81-0643855	1420 Shylock Dr	Slidell	LA	70461	USA	Animal Protection & Welfare, Animals							
Lake Pontchartrain Basin Foundation	http://www.saveourlake.org	(504) 836-2215	EIN 72-1152784	2045 Lakeshore Drive No 339	New Orleans	LA	70122	USA	Environment, Pollution Abatement & Control	The foundation has established goals of attaining all water quality standards of lake pontchartrain and its major tributaries and the protection and restoration of the lake pontchartrain basin's natural resources.		Restoration and preservation of the environmental and ecological balance of the lake pontchartrain basin.				
Fellowship Ministries Inc	http://		EIN 72-1421315	Po Box 15098	New Orleans	LA	70175	USA	Children & Youth, Youth Development Programs							
Family Empowerment Center	http://		EIN 72-1229952	330 Mockingbird Ln	Shreveport	LA	71105	USA	Child Abuse Prevention, Crime & Law, Domestic Violence							
Bossier Arts Council	http://www.bossierarts.org	(318) 741-8310	EIN 72-0895929	630 Barksdale Blvd	Bossier City	LA	71111	USA	Arts & Culture, Arts & Humanities Councils & Agencies	The bossier arts council is dedicated to promoting, supporting, and providing cultural events and programming in order to enhance the quality of life and to develop a cultural identity for bossier parish.		The bossier arts council promotes, supports, and provides cultural events and programming in order to enhance the quality of life and to develop a cultural identity for bossier parish.				
Stuart Hall School For Boys	http://		EIN 72-0988860	2032 S Carrollton Ave	New Orleans	LA	70118	USA								
Red River Fair Association Inc	http://		EIN 58-1626276	526 Benjamin Ln	Coushatta	LA	71019	USA								
Family Values Resource Institute Inc	http://www.family-values.org	(225) 359-9002	EIN 72-1415039	Po Box 74403	Baton Rouge	LA	70874	USA	Education	The family values resource institute exists to meet the varied needs of an underserved community		The women's help center provides important services to all females. Services included but are not limited to free pregnancy testing hiv testing and ongoing family support				
Fuller Center For Housing Inc	http://fullercenterwebster.org	(318) 539-2122	EIN 72-1193675	Po Box 155	Springhill	LA	71075	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Construction & rehabilitation of homes for the		Completed construction on 1 homes for the economically disadvantaged. Also made repairs to existing home under the greater blessings rehab program. Currently building 2 home with others pending.				
Embroiderers Guild Of America Inc	http://		EIN 72-1011756	2473 Daggett Ave	Baton Rouge	LA	70808	USA								
Katrina Reconstruction Resource Center Inc dba Beacon of Hope Resource Center	http://www.lakewoodbeacon.org		EIN 20-4485317	145 Robert E. Lee Blvd. Suite 200	New Orleans	LA	70124	USA	Chambers of Commerce & Business Leagues, Community Improvement & Capacity Building, Disaster Aid, Disaster Preparedness & Relief Services, Philanthropy, Voluntarism Promotion	Helping people to help themselves recover from this epic tragedy by providing a central location for all neighbors to gather and receive information on property restoration, assistance with cleaning private and public spaces, and facilitate communication with city, state and federal government.		Neighborhood revitalization: by implementing beacon of hope resource center's model (mapping, outreach, development, engagement and leadership) in neighborhoods affected by disasters, we accomplished the following:-conducted trainings and presentations-engaged residents in their communities-abated blighted properties-rehabilitated areas such as parks and community gardens				
Tipitinas Foundation Inc	http://www.tipitinasfoundation.org	(504) 309-7934	EIN 56-2343978	4040 Tulane Avenue Suite 8000	New Orleans	LA	70119	USA	Arts & Culture, Bands & Ensembles	The mission of the Tipitinas Foundation is to support Louisiana and New Orleans' irreplaceable music community and preserve the states unique musical cultures. The Foundation works to support childhood music education, the professional development of adult musicians, and the increased profile and viability of Louisiana music as a cultural, educational, and economic resource.	MUSIC OFFICE CO-OP: State of Louisiana YOUTH MUSIC EDUCATION PROGRAMS - New Orleans metro area	- Instruments A Comin' (IAC)  Tipitina's Internship Program (TIP)  Tipitina's Music Office Co-Op (currently in New Orleans, Shreveport,  Alexandria, Baton Rouge, and Lafayette)  Sunday Music Workshops	Tipitina's Foundation serves low-income adult musicians, filmmakers, and other media workers across the state of Louisiana, and also serves low-income music students ages 7 to 19 in the New Orleans metro area	7525	- Provided more than $2.2 million worth of high-quality musical instruments to more than 70 area schools and after-school programs, benefiting more than 4,000 students each school year.  - Helped adult musicians and filmmakers achieve annual music/media income increases ranging from 13% to 35%, creating more than $19 million in new earnings and investment.  - 100% of participating seniors in Tipitina's Internship Program have graduated high school or received GEDs. Thirteen of those students have received full four-year academic scholarships with the program's help, to institutions including the Berklee School of Music (Boston MA).  - Provided biweekly Music Workshops, offering free hands-on music lessons to students of all experience and skill levels, benefiting more than 1000 students.	
Humane Society Of Louisiana Inc	http://www.humanela.org	(504) 366-8972	EIN 58-1795272	Po Box 740321	New Orleans	LA	70174	USA	Animal Protection & Welfare, Animals, Crime & Law, Disaster Aid, Disaster Preparedness & Relief Services, Domestic Violence, Protection Against Abuse	Care of animals in distress, including cruelty investigation and prevention, direct animal care, community humane projects and general advocacy and education.		Care of animals in distress, including cruelty investigation and prevention, direct animal care, community humane projects and general advocacy and education.				
Catholic Engaged Encounter Of Lafayette Louisiana Inc	http://		EIN 72-1166136	121 Orgeron Dr	Lafayette	LA	70506	USA	Protestant, Religion							
Shield Of God Ministries Incorporated	http://		EIN 72-1104528	248 Phillips Rd	West Monroe	LA	71292	USA								
Cooper Family Enterprises	http://		EIN 72-1339956	PO Box 274	Tramercy	LA	70052	USA	Child Day Care, Children & Youth							
Civitan International	http://		EIN 51-0213039	Po Box 1741	Leesville	LA	71496	USA	Philanthropy, Voluntarism Promotion							
Northlake Newcomers Club	http://		EIN 72-1127725	Po Box 762	Madisonville	LA	70447	USA								
Fulfilling The Gospel Ministry	http://		EIN 72-1194992	Po Box 736	Marrero	LA	70073	USA	Protestant, Religion							
African American Development Association	http://		EIN 94-3185528	3510 Burton Rd	Shreveport	LA	71119	USA	Community & Neighborhood Development, Economic Development							
St Gabriel Health Clinic Inc	http://	(225) 642-9676	EIN 72-1241592	5760 Monticello Street	St Gabriel	LA	70776	USA	Ambulatory & Primary Health Care, Health	The primary purpose of the corporation is to		Primary health care medical and dental services.				
The Life of A Single Mom	http://www.thelifeofasinglemom.com	225-341-8055	EIN 45-3478448	11613 Newcastle Avenue Suite A	Baton Rouge	LA	70816	USA		The Life of a Single Mom exists to see that no single mom walks alone.	the United States	Single Moms Across America, Single Parenting 101, Single Moms' University, Topic Tuesdays, Single Parent Finances 101, and much, much more. We are a resource hub for all things single-parent and single parent ministry related!	single mothers & single parent ministries	more than 3,000 single parent families and 100 churches	TLSM has served more than 22,000 single parent families in 19 countries, including launching more than 1500 support groups for single parents in communities world-wide. TLSM is the recipient of countless awards, including the Gold Star Award from Guidestar, the Mother of All Ideas Award, and much more!	
Louisiana School for Math Science and the Arts Foundation Inc.	http://www.lsmsa.edu/foundation	318.581.6027	EIN 72-1006260	715 University Pkwy	Natchitoches	LA	71457	USA	Arts & Culture, Education, Performing Arts Schools, Secondary & High Schools	The Foundation is the non-profit corporation that functions as LSMSAs endowment. LSMSA is a public, residential high school that was ranked by Newsweek magazine as one of the nations 21 Elite Public Schools. The Foundation exists to do things the school itself cannot do for lack of funds or because the schools spending is limited by legal restrictions on the use of state dollars.	Serving Students from the State of Louisiana	The louisiana school for math, science, and the arts foundation develops and manages resources to enhance the work of the louisiana school for math, science, and the arts, a preeminent, state-supported, residential high school for louisiana's high achieving sophomores, juniors, and seniors.				
Baton Rouge Urban Ministries Coalition Inc	http://		EIN 72-0985980	Po Box 2883	Baton Rouge	LA	70821	USA								
Chataignier Volunteer Fire Department	http://		EIN 72-1108956	Po Box 182	Chataignier	LA	70524	USA								
New Orleans Women & Childrens Shelter Inc	http://www.nolawomenshelter.org	(504) 442-1683	EIN 26-0859964	2020 S Liberty St	New Orleans	LA	70113	USA	Homeless & Housing, Temporary Housing	Homeless shelter for women and children		Operation of homeless shelter with capacity of 20 women and children; served 63 women and children in 2012  provided case management and transitional aid services to enable women to attain independent living; 83% success rate in 2012  provided programming, including parenting classes, assistance in finding and securing employment, cultural enrichment, and educational assistance				
Christian Community Ministries	http://		EIN 72-0946668	Po Box 143	Monroe	LA	71210	USA	Human Service Organizations, Human Services							
Snarr Special Needs Animal Rescue & Rehabilitation	http://snarranimalrescue.org	(425) 516-2559	EIN 45-3359271	1182 Parker Rd	St Martinvlle	LA	70582	USA	Animal Protection & Welfare, Animals	To rescue rehabilitate and re home animals with special needs and who require special medical care		We rescued , rehabilitated , and placed over 200 special needs animal from all over the us into homes that was facing euthanasia in city and state shelters				
