name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results		We Provide Essential Resources.	We Advocate for Change.	We Counter the Marriage-Only Movement.	We Educate People About the Issues.	Honor Them Foundation, Inc. 	All gave some and some gave all.
Northwest Boxer Rescue	http://www.nwboxerrescue.org	5096074740	EIN 45-3852074	PO Box 1991	Woodinville	WA	98072	USA	Animal Protection & Welfare, Animals	Northwest Boxer Rescue believes that every Boxer deserves a chance to live a happy life in a loving home.	unwanted and neglected Boxer dogs	nearly 400 Boxers find loving forever homes	the Pacific NW - WA, OR, ID, MT, CA	medical care, loving foster homes, and training	As of 8/22/2015   NWBR has taken in 1309 dogs  We provide ongoing care for 45-65 Boxers at any given time through a network of foster homes.  We do not operate or use a kennel or shelter type environment.							
Bridges to Understanding	http://www.bridges2understanding.org	206-925-5300	EIN 72-1552876	601 N 34th st. Getty Images Building	Seattle	WA	98103	USA	Arts & Culture, Children & Youth, Cultural & Ethnic Awareness, Education, Educational Services, Student Services, Youth Development Programs	Bridges to Understanding empowers and unites youth worldwide, enhances cross-cultural understanding and builds global citizenship through the art of storytelling and the use of digital technology.    Humanitarian photographer Phil Borges founded Bridges to Understanding in 2001 to give youth around the world the tools to share their vision, hopes and dreams. Bridges connects hundreds of middle and high school students in the northwest United States with their peers in South Africa, India, Guatemala, Peru and other countries through teacher-guided online dialogues, curriculum-based programs and the creation and sharing of digital stories.  Students from radically different backgrounds across the globe get a unique opportunity to learn directly from each other, ask questions about each others lives, and ultimately develop cross-cultural understanding and creative problem solving.   We envision a harmonious, inter-connected world in which youth are actively engaged as responsible global citizens.			International	The organization provides an online program which connects middle school students in the developed world with their contemporaties in indigenous communities. Central to the program is digital storytelling mentored by professionals and created by students. The organization provides tools and training that enable the students to tell stories from their own lives and communities. These stories are shared through the bridges website where the students can engage each other, ask questions about each other's lives and collaborate to create multimedia stories exploring their cultures.								
University Of Puget Sound	http://www.pugetsound.edu	(253) 879-6110	EIN 91-0564961	1500 N Warner St Stop 1075	Tacoma	WA	98416	USA	Education, Universities	Education				The only national independent undergraduate liberal arts college in western washington, puget sound serves 2,600 students from 44 states and 16 countries, providing 1,200 classes in more than 50 major areas of study in the arts, sciences, humanities, and social sciences, including graduate programs in education, occupational therapy, and physical therapy. The college maintains a low student-faculty ratio and places an emphasis on excellence in teaching. Faculty awards include seven washington state professors of the year from the carnegie foundation. An academically rigorous residential college, puget sound offers a full range of services designed to support the academic experience, including athletics, study abroad, community service, and leadership opportunities. Globally focused, puget sound actively seeks and supports diversity in its students, faculty, and staff, and fosters lifelong relationships with alumni.								
Holly Ridge Center Inc	http://www.hollyridge.org		EIN 91-0757541	5112 Nw Taylor Rd	Bremerton	WA	98312	USA	Developmentally Disabled Centers, Disabilities, Human Services	Holly ridge center is a private non-profit agency whose mission is to offer a caring and supportive environment for people with disabilities while providing non-discriminatory service so that they may reach their full potential.				The infant toddler program provides evaluation, intervention services, counseling, family support, and social education for children of kitsap county.   the adult employment services program provides social progress and community based employment training and job placement for adults with disabilities.								
Hearing, Speech & Deafness Center	http://www.hsdc.org	206-323-5770	EIN 91-0681207	1625 19th Ave	Seattle	WA	98122	USA	Education, Employment, Health, Job Training, Rehabilitative Care, Special Education	As a nonprofit agency serving thousands of individuals and families each year - through clinical services, therapy, education, advocacy and technology - the Hearing, Speech & Deafness Center (HSDC) strengthens community by promoting effective communication.  HSDCs vision is that all people realize their full communication potential, and achieves this by joining direct services with systemic change to create an inclusive and accessible community.    Agency services span the life cycle from infants through seniors, and include Audiology & Hearing Aids, Speech, Language & Literacy Services (including the Ned Behnke Speech Language Preschool & Paul G. Allen Family Foundation Literacy Lab, which houses the Language to Literacy Program), Early Childhood Education (featuring the nationally recognized bilingual Parent-Infant Program & Rosen Family Preschool), Deaf & Hard of Hearing Services (Advocacy and Employment Services) and Assistive Listening and Signaling Technology through HSDCStore.com.   HSDC has been serving the Puget Sound area for over 70 years.			13 counties of Western Washington, primarily King, Snohomish, Pierce and Whatcom	Signon interpreting services: on-site and video remote interpreting to almost 500 schools and universities, health care providers, government agencies, the legal system, corporations, small businesses, nonprofits and the arts. Signon only uses certified, qualified interpreters and specializes in high quality customer service, matching the right sign language interpreter to each situation. This new hsdc program will add even more benefits to the community allowing hsdc to be a more complete full service agency for people who are deaf and hard of hearing. It will open new opportunities for affordable interpreting for the nonprofit sector. This program allows the agency to serve more people and organizations and serve them more fully.   speech language and literacy programs: speech and language therapy and ned behnke speech language pre-school serving 715 clients. This program provides speech therapy, auditory verbal therapy, language development, reading and learning development and associated services to people of all ages. Clients are those with challenges including hearing loss, speech development, cognitive delays, learning disabilities, autism spectrum disorders and social skills development. This program includes a birth to five program for children with communication challenges or disabilities. The early childhood education department is comprised of the 60-year old, nationally renowned parent-infant program (pip). Pip provides home visits, communication/learning development playgroups, parent support groups with a licensed family counselor, individual counseling sessions, sign language classes, speech/language therapy, and audiology services for children with hearing loss, deafness or deaf-blindness for the birth to three age groups. Program areas work closely with public and private schools and assist in a successful transition to the next learning environment.   audiology: provided audiology diagnostics and assistive listening technology to 1,992 clients. This program provides hearing screening, evaluation and consultations for people of all ages. In addition, the program fits, dispenses, services and repairs hearing aids and regularly includes a "gift aids" for low income and special populations. The audiology department also provides aural rehabilitation classes for people with hearing loss and their families, and represents hsdc in larger industry-wide initiatives. This program includes a specialty store providing state-of-the-art assistive technology to individuals, government agencies, businesses and educational agencies throughout the united states. With the primary showroom in seattle, products are also available from the tacoma and bellingham offices and through the internet at www. Hsdc. Org. Store staff are recognized as technology and accommodation experts and consult frequently on accessible workplaces and classrooms. A new program provides tinnitus evaluations, management options, and a monthly tinnitus support group.								
Save Habitat And Diversity Of Wetlands Organization	http://shadowhabitat.org/	425-432-4914	EIN 91-2032943	21818 184th Ave Se	Renton	WA	98058	USA	Environment, Natural Resources Conservation & Protection	SHADOWs mission is to ensure the sustainability of Shadow Lake Bog and other unique habitats within Jenkins Creek Basin through environmental education, preservation, and restoration.												
Seattle Goodwill Industries	http://www.seattlegoodwill.org	(206) 329-1000	EIN 91-0568708	700 Dearborn Place S	Seattle	WA	98144	USA	Employment Preparation & Procurement, Goodwill Industries, Job Training	Goodwill provides quality, effective employment training and basic education to individuals experiencing significant barriers to economic opportunity. Because jobs change lives.	Persons with significant barriers to employment		The North Puget Sound region of Washington	Retail program: we continue to see growing community need for our thrift stores which sell quality, value priced, clothing and household goods. We opened a new store to serve the Juanita neighborhood of Kirkland, Washington and help fund expanded job training and education services. We processed, sold and recycled 58,500 tons of donated goods, providing much needed value to our customers, training, education and employment opportunities for people with multiple barriers to employment and the environmental benefit of keeping these items out of landfills.   Job Training and Education Program: Seattle Goodwill enrolls people in a variety of instruction and training settings, including workshops in partnership with other organizations, one-on-one services, adult basic education classes and intensive business sector training programs. Student enrollment in our free job training and education classes totaled 8,792 last year. As students become ready to work, our employment specialists provide job search and retention services which helped 1,300 students find employment. Through our partnership with Vita, 4,072 lower-income community members received free tax preparation services which returned $6 million in tax refunds to participants. We assisted 158 of our students enter college or technical training institutions through our career pathways initiatives.								
Thurston County Council On The Aging Inc	http://		EIN 91-0821977	112 E 4th Ave	Olympia	WA	98501	USA	Human Services, Senior Centers, Seniors													
International Snow Leopard Trust	http://www.snowleopard.org	206.632.2421	EIN 91-1144119	4649 Sunnyside Ave N #325	Seattle	WA	98103	USA	Animals, Environment, Natural Resources Conservation & Protection, Protection of Endangered Species	Founded in 1981 in Seattle, WA, the Trust is a 501(c)3 non-profit organization whose mission is to protect the snow leopard and its mountain ecosystem through a balanced approach that addresses the needs of the local people and the environment.Snow leopards range over two million square kilometers of mountain in Central Asia, including the formidable Himalayas. Experts currently estimate as few as 3,500 exist in the wild, fewer than the world''s tiger population. As an "umbrella" or keystone species, snow leopard conservation has far-reaching importance as it leads to the protection of hundreds of other plants and animals sharing the cat''s ecosystem. The International Snow Leopard Trust is the oldest and largest organization focused solely on saving this important species. The Trust works nationally and internationally to raise awareness about endangered species, and to empower people living within snow leopard range to become stewards of their environment. To this end, the Trust conducts educational outreach, scientific research, and community-based conservation.	protect these endangered cats and their natural habitat	Our partner communities in China, India, Kyrgyzstan, Mongolia, and Pakistan - and the snow leopard of course!	five snow leopard range countries	Snow Leopard Enterprises, which provides herders with the financial assistance, logistical support, equipment, and training they need to turn raw wool into high-quality, felted products such as rugs and clothing. The Trust purchases these products directly from the herders and sells them worldwide to increase awareness about snow leopard conservation. Herders agree to help the Trust protect snow leopards, their prey, and the habitat they all share.    The Trust also helps communities establish livestock insurance programs, where herders can pay a premium to insure their goats and sheep against predation by snow leopards, bears, and wolves - making the financial impact of losing animals much easier to bear, and leading to increased tolerance towards these predators.  Through its Ecosystem Health project, the Trust also helps establish livestock vaccination programs in snow leopard habitat; lowering livestock mortality rates and helping herders further secure their livelihood.								
YAAOOUU FATHERS FOUNDATION	http://WWW.FACEBOOK.COM/YAAOOUUFATHERSFOUNDATION	2532928367	EIN 		TACOMA	WA	98404	USA		Our mission is to raise awareness for kids that are without their fathers, and for fathers striving to be apart of their child's life, but are being denied visitation for any reason. We want to make sure that fathers are actively involved and showing how much of a difference that can make, and how much a father can impact their child's life by just simply being there.	Fathers, and children		TACOMA, WA	Legal aid and assistance, Food and Clothing donations, and events for families to spend time together.	Many charitable events underway.							
Water1st International	http://www.water1st.org	2062973024	EIN 20-2601035	1904 3rd Ave Suite 1012	Seattle	WA	98101	USA	Economic Development, International, International Development, International Economic Development, International Relief, Microfinance, Philanthropy	We envision a world free of extreme poverty. Providing people with safe water systems, latrines, and hygiene education is the 1st step to ending the cycle of poverty and death.The lack of access to safe drinking water and sanitary latrines is the top public health problem in the world and the number-one killer of children in the world. Lack of access to clean water has a devastating effect on women and girls who are traditionally responsible for water collection.Water 1st wants to unite people to fight this worldwide, silent catastrophe. We believe the global water crisis will be solved when we build a community of concerned individuals and motivate and mobilize them to take simple, effective actions.People living in extreme poverty have many needs, but we believe water comes first. Water projects are the foundation on which strong communities are built. Through provision of sustainable water, sanitation, and health projects, our goal is to address the most fundamental issues of childhood death, poverty and gender equality.	build water and sanitation systems for the world's poorest communities		Honduras, Bangladesh, and Ethiopia	Water first international provides grants to non-governmental organizations (ngos) based in developing countries in order to support the implementation of projects that include provision of drinking water, hygiene education, and sanitary latrines. The organization works with ngos in some of the poorest communities in the world to support sustainable, community-managed solutions to water supply and sanitation problems. In 2014, the organization completed 228 projects serving 16,922 people. Every project incorporates water, toilets, hygiene education, and community development. In oromia, ethiopia, the organization began funding the dawo kara project, which will be completed in 2015 and will serve 3,750 people. In bangladesh, 240 water systems serving 16,039 people in urban slum settlements in dhaka, chittagong, and khulna were completed. In the rural lempira communities of san bartolo, capuca, and portillo el paraiso, honduras, 882 people have piped water and toilets at every individual household. Additionally, our local partner initiated five additional projects that will be completed in 2015. As of december 2014, the water first community contributed over $11 million to support 1,200 water projects, benefiting 123,265 people. The organization's goal is to maximize cost-effectiveness by leveraging local resources. In the urban slums of dhaka, chittagong, and khulna, bangladesh, for example, beneficiaries pay 100 percent of the capital costs of their projects through two-year loans. The loans are repaid to the local non-governmental organization, who is the recipient of water first's grants. Repaid loan funds are revolved and used for additional water and sanitation projects and create a sustainable source of funds for water first's bangladesh partner. In honduras and ethiopia, beneficiaries and the local government contribute cash, labor, and local materials, which are valued at up to 25 percent of the total project cost. The organization's honduras partner now has the capacity to provide assistance for water system construction, expansion, and repair on a loan basis, further leveraging local resources.								
Blue Earth Alliance	http://www.blueearth.org	(206) 725-4913	EIN 91-1682270	4557 51st Pl Sw	Seattle	WA	98116	USA	Environment	Blue earth believes documentary photography can inspire positive change. We support visual storytelling on critical environmental and social issues through direct assistance to photographers and a collaborative community of professionals. The link between compelling documentary photography and our collective motivation to change attitudes, behavior, even policies is strong. Eddie adamss pulitzer prizewinning photograph of a vietcong execution in saigon forever changed how the world viewed the vietnam war. Brazilian photojournalist sebastio salgados images of the impoverished portray human life with fresh dignity and compassion. Maintaining this link is central to the mission of blue earth. Through our support of photography that makes a difference, blue earth has helped raise almost a million dollars for important issues often overlooked by traditional media--the arctic. Global warming. The loss of open space in los angeles. Racism suffered by farmers. Disappearing traditions of new engl				We currently oversee 29 active projects, including seven new projects accepted in 2014. We successfully presented our third annual "collaborations for cause" seminar between september 25-27. Please see our web site for further details: http://www. Blueearth. Org								
Music Works Northwest	http://www.musicworksnw.org	425.644.0988	EIN 91-6072271	1331 118th Ave Se Ste 400	Bellevue	WA	98005	USA	Arts & Culture, Arts, Culture & Humanities, Arts Education, Performing Arts Schools	Music education for all ages				Music works nw provides quality music education in the form of private, semi-private and group lessons to students of all ages and talents. Music education is enhanced with many opportunities to perform in front of an audience. Students can participate in performing in ensembles to hone their ability to work with other musicians. Summer camps and workshops provide additional opportunities for students to play together and learn additional skills.								
FISH Food Banks of Pierce County	http://fishfoodbanks.org	253-383-3164	EIN 91-1198391	621 Tacoma Ave S, Suite 202	Tacoma	WA	98402	USA	Emergency Assistance, Family Services, Food, Food Banks & Pantries, Human Service Organizations, Human Services	Our mission is providing food and more to people in need with compassion, dignity and respect.				FISH Food Banks operates seven fixed food bank locations and a mobile food bank that makes weekly visits to five additional sites. We aim to provide each client with enough food to make three nutritious meals a day for three days. No one needing assistance is turned away.	In 2011, through our seven food bank locations and our mobile food bank, we provided food to over 446,000 individuals. Through October 2012, we have already served more than 460,000 individuals, a 26% increase over the same period last year.							
Rebuilding Together South Sound	http://www.rebuildingtogether.org/	(253) 238-0977	EIN 91-2147601	4019 S Orchard St	Tacoma	WA	98466	USA	Home Improvement & Repairs, Homeless & Housing, Housing & Shelter, Housing Development, Construction & Management, Housing Rehabilitation	Bring volunteers and communities together to improve the homes and lives of low-income homeowners.				Repairs and modications were made for 81 homes for low-income residents with the help of 640 volunteeers donating 4,800 hours of time. Work done included access ramps, electrical, heating, weatherization, plumbing,floor and roof repairs, painting.								
Shoreline-Lake Forest Park Arts Council	http://www.shorelinearts.net	206.417.4645	EIN 91-1475914	18560 1st Ave NE	Shoreline	WA	98155	USA	Arts & Culture, Arts & Humanities Councils & Agencies	The Shoreline-Lake Forest Park Arts Council is a community-based arts organization whose mission is to nurture and support the arts in Shoreline and Lake Forest Park. By:  	focusing on arts education 	presenting visual and performance arts 	advocating for the arts 	supporting other community arts programs	FamiliesLocal students who need the arts/creative activities	24000	Shoreline, Lake Forest Park, North King County, South Snohomish County	Shoreline Arts Festival        Artists in Schools        Arts & Culture Events        Family Performances       Concerts in the Parks       Gallery at Town Center       Shoreline City Hall Gallery        Arts & Jazz Camps      Readers' Theater      Scholarships & Community Project Awards	We serve 24,000 each year, including nearly 4,000 children who get in-depth arts experiences with teaching artists.							
Olympic Peninsula Humane Society	http://ophumanesociety.org	(360) 457-8206	EIN 91-6001724	Po Box 3124	Port Angeles	WA	98362	USA	Animal Protection & Welfare, Animals	The goals of the society include finding responsible owners for all adoptable pets and the prevention of abuse and cruelty. The society provides animal spaying, neutering and shelter facilities. The society shelters and cares for animals of all types.				The society provides animal spaying, neutering and shelter facilities. The society operates several programs to assist in the care of animals that include: snap program - the spay neuter assist program offers low cost or free services to qualifying persons. School education - the society has made available upon request, pet oriented newsletters that can be mailed to each member of a class. Pet therapy program - the society provides small animal carriers and transport of animals to rest homes and assisted care facilities so residents can enjoy the company of a pet for a short time. Microchip program - the society can implant an identification chip to assist in identification and tracking of animals.								
The Mountains To Sound Greenway Tr	http://www.mtsgreenway.org	(206) 382-5565	EIN 91-1531234	2701 1st Ave Ste 240	Seattle	WA	98121	USA	Environment, Forest Conservation, Natural Resources Conservation & Protection	The mountains to sound greenway trust conserves and enhances the landscape from seattle across the cascade mountains to central washington, ensuring a long-term balance between people and nature.				Stewardship: each year, greenway volunteers donate more than 40,000 hours to outdoor trail and restoration projects and plant more than 20,000 native trees and shrubs. Over 50% of volunteers are youth. Greenway trust crews continue construction on a new 5-mile trail and trailhead at mailbox peak, and finished removing 11 miles of forest roads in the granite lakes area of the middle fork valley.   policy and coalition: the greenway trust maintains a comprehensive list of priority land acquisitions throughout the greenway and facilitates land transactions between willing sellers and buyers. The trust is an active participant in land use and land management discussions, and actively pursues funding opportunities to fill in regional trail gaps. The greenway trust and partners are asking congress to designate the mountains to sound greenway as a national heritage area.   public engagement: the greenway education program teaches more than 5,000 king county students per year in classrooms and on field study trips to tiger mountain. Hundreds of people participate in guided hikes and bike ride tours of the greenway landscape. Greenway 365 educates the public about recreational and educational activities in the mountains to sound greenway.								
My Sisters Pantry	http://		EIN 91-1975606	621 Tacoma Ave S	Tacoma	WA	98402	USA	Interfaith Coalitions, Religion													
Friends of the Animals Foundation	http://www.fafseattle.org	(206) 719-4864	EIN 91-1853116	P O Box 16308	Seattle	WA	98116	USA	Animal Protection & Welfare, Animals	Our mission is to foster greater compassion for animals by example and through education.  Our primary goals are: 1) To reduce the number of animals abandoned, homeless, or killed until they all have a loving forever home.  2) To educate the community by providing information concerning  The right of animals to a life free of abuse or neglect  The resources that are available to those with a limited income  Volunteer opportunities to rescue, care for, and foster pets  The sad realities of failing to spay/neuter pets, and the plight of shelters  The steps to take BEFORE bringing a pet into your life	place cats and kittens into safe and loving homes and work with caretakers to trap/neuter/return cats and place the feral kittens into foster care for adoption once tamed.		West Seattle and surrounding areas	TNR, Foster Care, Adoption	Since FAF began in 1997, we have placed over 4,000 cats and kittens into safe and loving homes.  2014: We adopted out 98 cats in 2014, down from 2013, but adult cat numbers were up.  Over 25% of our adoptions were adult cats.  We ended the year by adopting out two very special ones, Midge and John.  There were fewer kittens in 2013 and they came later.  Hopefully the focus on spaying and neutering is finally paying off.  2012: FAF was able to help at two adjoining addresses in the Highland Park area of West Seattle this spring. A total of five feral female cats, all nursing were TNR'd. One male cat was also altered. 11 kittens were trapped and put into foster care. The kittens were all able to find new homes after they were spayed/neutered.  FAF and FCAT trapped 12 feral and one friendly cat living on the property of a home in Skyway. All were spayed/neutered and returned.  FAF delivers 50 lbs of cat food monthly so the family is able to feed the cats healthy food, not rice as they had been eating. FCAT provided a huge Dogloo for shelter.  We received a call about hungry kittens at a property in Burien.  We were able to TNR four adult cats on the property. Seven very sick kittens were put into foster care first with FCAT and then an FAF foster home. All seven are now healthy, altered, and looking for new homes. FAF and FCAT were able to provide shelter to the remaining four cats. The elderly, disabled caretaker was very thankful.  2011: Our goal for 2011 was 150 adoptions. We came just shy of that goal with 123 adoptions. We were also busy with TNRabout 120 ferals TNRd.  2010: In 2010 we had a total of 125 adoptions!  Visit our website to read more of our accomplishments throughout the years.							
Dream Bigger	http://		EIN 26-3898006	2221 G St	Bellingham	WA	98225	USA	Victims Services													
Animal People Inc	http://animalpeoplenews.org		EIN 14-1752216	Po Box 960	Clinton	WA	98236	USA	Animal Protection & Welfare, Animals, Arts & Culture, Printing & Publishing	Animal welfare				The purpose for which animal people, inc. Was organized is to conduct activities for the purpose of exposing the existence of cruelty to animals and educating the public of the need to prevent and eliminate such cruelty, primarily through its publication and website; conducting or sponsoring animal care projects, both to directly alleviate animal suffering and to demonstrate humane methods of handling and responding to animal-related dilemmas; and studying animal-related issues via research, surveys, and investigative reports.								
The Kundalini Research Network	http://		EIN 94-3307100	31724 124TH St Se	Sultan	WA	98294	USA	Arts & Culture, Arts, Culture & Humanities													
OLD DOG HAVEN	http://www.olddoghaven.org		EIN 65-1249528	621 SR 9 NE, PMB A4	Lake Stevens	WA	98258-8525	USA	Animal Protection & Welfare, Animals		homeless senior dogs	442 dogs, averaging 200 dogs in our foster homes.	Western Washington	permanent Final Refuge homes where we care for unadoptable senior dogs 8 years and older, primarily from area shelters, for the last months or years of their lives; temporary foster homes for adoptable senior dogs with reasonable life expectancy; assistance to individuals who need to re-home their senior dog through adoption counseling and our website; cross-posting of senior dogs in area shelters and rescues.								
Woodland Park Zoological Society	http://www.zoo.org	(206) 548-2500	EIN 91-6070005	5500 Phinney Ave N	Seattle	WA	98103	USA	Animals, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Wildlife Preservation & Protection, Zoos & Aquariums	Woodland park zoo saves animals and their habitats through conservation leadership and engaging experiences, inspiring people to learn, care, and act.				Animal care: the professional staff at the zoo manages more than 1,000 animals, representing over 300 species, of which 35 are endangered and 5 threatened. The zoo's scientific nutrition programs, animal husbandry and behavioral enrichment ensure all animals on the grounds thrive. Together, the animal care staff including curators, veterinarians and keepers, have more than 1,000 years of combined experience in their fields.   grounds and facilities: in 2014 we spent $3. 5 million of donor contributions received in prior years on construction of a large new exhibit area, banyan wilds. This resulted in a large net decrease in net assets, showing as an excess of expenses over revenues. Staff offices were relocated and park improvements were made as well. A temporary exhibit was created for two cheetahs, providing the summer 2014 attraction. We expanded our holiday lights event and made various major maintenance upgrades. The grounds and maintenance staff is responsible for our 92 acre community asset, including daily upkeep, major maintenance and repairs, construction of new facilities, horticulture and signage. In addition to the zoo, staff maintains the historical rose garden and two neighborhood parks.   conservation and education: the zoo participates in 36 field conservation projects taking place in the pacific northwest and around the world, including grant funding to expand the tree kangaroo conservation program operating in papua new guinea. Conservation efforts on zoo grounds include participation in species survival plans and re-introduction programs. The zoo is a key component of informal, science-based learning in which many children have their initial experience with nature. Public programs bring students to the zoo from schools througout king county and support visits from students and staff whose schools meet low-income requirements. Additional programs reach out to students state-wide. Key messages focus on preservation of species and habitat.   other programs include our membership program and visitor services (including security), marketing and promotions, creative efforts behind signage.								
Need A Break Services	http://www.needabreakservices.org	253-353-7056	EIN 74-3175609	1401 S Sprague Avenue	Tacoma	WA	98405	USA	Community Improvement & Capacity Building	Need A Break Service is devoted to helping people succeed.  We help community members by being a stepping-stone to becoming their best.Need-A-Break Services started when a local businessman had the desire to do something more with his time and resources and find a way to give back to his community.  Motivated by the parable of the Good Samaritan, he founded what is today Need-A-Break Services as a way of intentionally helping out people with unmet needs within the community.  In the parable of the Good Samaritan, a man shows himself as a true neighbor and servant by giving his time, resources and heart to another man whose health and welfare are lost.  Need-A-Break Services is motivated by the same heart. We seek to be a servant to those in our community, our neighbors, who we see in need.  As we continue to grow, we continue to see how there are many people in our community who are in need of a break when they hit a rough spot.	single mothers, elderly & people in need	hundreds of people	Pierce County	yard work, automotive needs and any other assistance needed to maintain self sufficiency.	We have donanted over 7,000 hours this year alone.							
SENIOR SERVICES FOR SOUTH SOUND	http://www.SouthSoundSeniors.org	360-586-6181	EIN 91-0907573	222 Columbia St NW	Olympia	WA	98501	USA	Human Services, Senior Centers, Seniors	Senior Services for South Sound's mission is to keep seniors and their families vital and independent in their community.	seniors and their families remain vital and independent	5,500 individual seniors	Mason and Thurston County, Washington	Meals On Wheels, Senior Community Dining, Stars Adult Day Care, Care Connections, Inclusion, Social Service Programs, State Health Insurance Benefit Advisors, and the Lacey and Olympia Senior Centers.								
Skagit Domestic Violence And Sexual Assault Services	http://skagitdvsas.org	(360) 336-9591	EIN 91-1092350	Po Box 301	Mount Vernon	WA	98273	USA	Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Human Services, Sexual Abuse Prevention, Victims Services	To end domestic violence and sexual assault in skagit county through empowerment, advocacy, education, awareness, and action for social change.				We provide the following services to victims of domestic violence: advocacy based counseling; crisis intervention, including a 24 hour hotline:, confidential emergency shelter for victims fleeing abusive relationships; legal advocacy; medical advocacy; support groups for victims, child support groups, and parenting support groups; temporary food, clothing and other essentials; help finding community resources, such as housing, medical, mental health and substance abuse; information about prevention and education in the community.   we provide advocacy-based counseling to sexual assault victims; support groups for child victims of sexual assault; medical advocacy; crisis intervention; a 24-hour crisis hotline; hospital advocacy for victims of rape and sexual assault; advocacy for victims of sex trafficking; advocacy for children and parents at the child advocacy center; prevention and education on sexual assault and sexual harassment; teen groups on healthy relationships.								
Our Place Community Ministries	http://ourplacespokane.org/		EIN 91-1384287	1509 W College Ave	Spokane	WA	99201	USA	Emergency Assistance, Food, Food Banks & Pantries, Human Services	Our Place Community Ministries, a West Central Outreach, respectfully welcomes and supports our neighbors in improving their quality of life.				Our Place Community Ministries provides emergency services for families who are unable to meet their basic human needs of food, hygiene products, clothing, household necessities, bus tokens and utility assistance for free. We have an on-site laundry center, also free of charge. Our Place teaches classes to help clients find long-term solutions to their poverty and move toward self-sufficiency, including teaching parents how to cook healthy for the future of their children.All of our clients live in poverty. They are some of Spokane's poorest and most vulnerable citizens. We know our clients must often choose between paying their rent, their utility bill and buying food and hygiene items. By providing emergency services for families who are unable to meet their basic human needs due to the recession and other economic challenges, Our Place prevents homelessness.Our Place is a member of Second Harvest Food Bank. We provide food once a month to people living within the boundaries of this program and to all homeless. Second Harvest's geographic area stipulates we may give food only to families living south of Montgomery to the Spokane River and west of Division to the river. Our Place aims to distribute about 20 pounds of food per person. A typical food basket consists of some protein, produce, canned veggies, grains, eggs and maybe something fun like ice cream, when it is available. We are also an outlet for WIC and senior boxes (food packages delivered monthly to seniors). Our Place is a member of Northwest Harvest and we receive a shipment of food from them once a month. Generally it is food with a good protein value. We are able to distribute this food to anyone in Spokane and to clients who need food more than once a month. Our hygiene bank provides supplies once a month to homeless and clients in our service area. Food stamps may not be used to buy these products including toothpaste, toothbrushes, bar soap, deodorant, toilet paper, feminine hygiene products, laundry soap, combs and brushes, razors, shampoo and diapers.Part of our emergency services program is to provide utility assistance to those facing shut-off. Clients set up an appointment and bring in their Avista or Spokane city utility shut-off notice. Depending upon the amount of funding we have available, we apply $50 or $100 toward their bill to prevent loss of power and water. People who cannot pay their utility bill generally cannot stay in their homes and must vacate. When we surveyed our clients, many told us they would have been forced to leave their homes. One client wrote, "Without your assistance, I would have been homeless."We assist clients with their emergency transportation needs in the form of bus tokens, so they may go to their jobs, school or medical appointments. We distribute 20 bus passes per day. Our free laundry facility helps anyone in the city who needs laundry services. We have two washers and four dryers. Clients are able to go into the community, attend job interviews, and school without odors, or wearing clothes saturated with stains. Many clients do not have their own washer and dryer. Many also lack the funds to use a commercial facility, or they lack the transportation to even get to a commercial facility. When we surveyed our clients, they told us they used to wash their clothes by hand in their sink or bathtub.Our Place's clothing bank distributes donated clothing, bedding and household necessities. Our need is greatest during the winter months, when many people come in for warm clothes and blankets to help keep their heating costs down. We provide the homeless with sleeping bags and warm clothing and for all who come here in need, blankets and warm bedding to help								
North Kitsap Baptist Church	http://		EIN 91-0900984	20516 Little Valley Rd Ne	Poulsbo	WA	98370	USA														
Momentum Dance Ensemble	http://www.momentumdanceacademy.org	(206) 242-1239	EIN 27-1827270	15811 Ambaum Blvd Sw	Burien	WA	98166	USA	Arts & Culture, Ballet, Dance, Performing Arts Schools, Theater	To provide professional dance instruction in a caring and nurturing environment to students of all ages.	people of all ages access performing arts education and performing opportunities	700 students	The south Seattle/King County area	Well rounded programs for our students, from the wonderful techniques and disciplines of classical ballet, jazz, tap, modern, irish, tumbling, pilates and yoga to the fun and exciting contemporary styles of hip hop, ballroom and broadway theater dance. Have provided private and group voice and instrument music lessons for students of all ages.								
National Court Appointed Special Advocate Association	http://www.casaforchildren.org	800.628.3233	EIN 91-1255818	100 W Harrison St N Tower Ste 500	Seattle	WA	98119	USA	Children & Youth, Children & Youth Services, Crime & Law, Crime & Legal-Related, Domestic Violence, Protection Against Abuse, Public & Societal Benefit			76,000 abused and neglected children		Conferences and Training for court volunteers.								
Skills Usa Inc	http://		EIN 23-7017160	Po Box 2698	Olympia	WA	98507	USA														
