name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs		The Greenway Foundation (GF) 	Cub Scouting	Boy Scouting	Venturing
COLORADO ACADEMY	http://www.coloradoacademy.org	(303) 986-1501	EIN 84-0421874	3800 South Pierce St	Denver	CO	80235	USA	Education, Elementary & Secondary Schools, Literacy, Preschools, Primary & Elementary Schools, Secondary & High Schools	A dynamic liberal arts and sciences program that challenges students ethically, academically, artistically, and athletically creates the foundation for colorado academy. Teachers, students, parents, and staff foster trusting and respectful relationships, enhancing our thriving school family. Students pursue excellence and seek to become life-long learners and contributors in our local and international communities.		to provide an exceptional college preparatory education to nearly 1,000 students from across the Denver metro area.	Last year, we provided more than $3 million dollars in financial aid to deserving students to attend CA.	Pre-K through Grade 12 Independent education in Denver.	Education of 968 students in grades Pre-k through 12. Colorado Academy strives for academic excellence and the highest standards of achievement through academic studies, athletic pursuits, artistic ventures, summer programs, outdoor education, global travel, and extracurricular activities. Students learn to think and create as they forge a life-long learning adventure. The school is also home to one of nearly 50 chapters nationwide of the Horizons Program, which through summer and weekend activities provides enrichment to 140 Denver Public Schools students living at or below the poverty line.					
Regional Home Visitation Program	http://www.babybearhugs.org	(970) 848-5274	EIN 84-1311396	201 S Main St	Yuma	CO	80759	USA	Economic Development, Family Services, Human Services, Microfinance, Rural Economic Development, Single Parent Agencies	Promote positive parenting, enhance family strengths, prevent child abuse and neglect to infants and children.					The organization provides support, parenting education, and connection to community resources. Visits are provided through trained, culturally appropriate, parenting educators and address parenting and other issues as they impact parenting. Families are referred to appropriate agenecies through a collaborative network. It is a part of program philosophy that families develop motivation and confidence to move toward self actualization rather than dependency.   the organization provides nuturing parenting classes in specified communities.					
Erica Raes Kids Inc	http://www.ericaraeskids.org		EIN 27-1905914	965 N Picadilly Rd	Aurora	CO	80018	USA	Children & Youth, Youth Development Programs	Building The Future By Helping Our Children.		Young Children and families	5,000 children	Aurora, Colorado	Kick off to School  Kids Without Christmas					
Finding Our Voices	http://		EIN 27-0802776	Po Box 1442	Colorado Spgs	CO	80901	USA	Counseling, Mental Health											
Dress for Success Denver Ltd	http://www.dressforsuccess.org/denver	303-832-2531	EIN 46-3670033	1510 High Street, 2nd Floor	Denver	CO	80218	USA	Employment Preparation & Procurement, Job Training	The mission of Dress for Success is to promote the economic independence of disadvantaged women by providing professional attire, a network of support and career development tools to help them thrive in work and in life.  We inspire confidence, courage and belief in women!	Dress for Success Denver opened its doors in 2006 and has served over 9,000 women who are determined to escape the clutches of poverty and make a better life for themselves and their families.  Six different job readiness and job retention programs prepare these women for their job search, their secured job and their work/life balance.  Over half of the women DFS Denver serves secure employment and our one-on-one job-readiness coaching program enjoys a 100% success rate.	underserved and at-risk women	1,438 women of which 647 secured employment.	Metro Denver	Job-readiness coaching and workshops, professional clothing for interviewing and employment, employment retention, financial literacy and health/wellness.					
Colorado Health Network Inc	http://coloradoaidsproject.org	(303) 837-0166	EIN 84-0961159	2490 W 26th Ave Ste 300a	Denver	CO	80211	USA	AIDS, Food, Food Banks & Pantries, Health, Homeless & Housing, Housing Support						Client services provide support for individuals with aids/hiv, and support for their family members.   education/information materials, programs and seminars provided to educate the public to help prevent the transmission of hiv.   volunteer services provides speakers for organizations to publicize the organization and to help those with aids/hiv, or those wanting more information about aids/hiv.					
Caring Connection	http://www.caringconnection.org	(303) 232-1646	EIN 84-0909174	3245 Eliot St., #211	Denver	CO	80211	USA	Disaster Aid, Philanthropy	The purpose of Caring Connection is to raise financialsupport for our member agencies, to offer a recognized choice for giving in thework place, and to provide other valuable human services to the community.					Caring Connection has one program in the form of our workplace giving program.  Donors can designate one or more of our members to receive their contribution.  Donors may also use our website to donate and designate to our members.					
Wild Wings Environmental Education	http://www.wildwingseducation.org	(303)734-0384	EIN 26-1833129	P.O. Box 3641	Littleton	CO	80161	USA	Animals, Wildlife Preservation & Protection	To foster a greater awareness of the important roles that Colorado's native birds and bats play in our environment and to promote the protection of these animals and their ecosystems.	Wild Wings is in its sixth year of operation and has grown over the years.  The organization started with one educational bird and is now home to nine non-releasable birds for educational purposes.  Last year alone, we saw over 33,000 people in all of our venues combined.				The programs developed and presented by Wild Wings provide a stimulating and interactive learning experience for students of all ages. Our goal is to help support the balance and preservation of wildlife through education. Wild Wings is continually working to develop new and exciting programs that bring an integral part of Colorados wildlife right into the classroom.					
Ruby Ranch Horse Rescue	http://www.rrhr.org		EIN 35-2242211	36785 Ramah Rd. E.	Ramah	CO	80832	USA	Animal Protection & Welfare, Animals	Ruby Ranch Horse Rescue (RRHR) is a non-profit organization dedicated to providing shelter, care and rehabilitation for abused, neglected, abandoned and unwanted horses, including horses that can no longer be cared for by their owners and horses at risk of going to slaughter.  RRHR will adopt each horse to a permanent caring and positive environment that is mutually beneficial to both horse and human.	THis year (2010) we have increased our facility by adding a new loafing shed, raising funds for training our young horses and outlining our participation in the Community Animal Response Team program for emergency assistance.  We have added a grant-writer to our team and appointed a board member as the facilitator of the Post-Adoption Care program which helps new adoptive owners through any difficulties as well as helps us track our adopted horses.	RRHR serves the State of Colorado and most frequently the Front Range and eastern plains areas.  We have accepted relinquished horses from out of state.  We work with the county Sheriff's Offices when confiscation or impound is needed.			Provide sheltercarerehabilitationtrainng and adoption of horses that are abusedneglectedunwanted abandoned impounded by the sheriff at risk for slaughter					
Second Wind Fund Inc	http://www.thesecondwindfund.org	(720) 962-0706	EIN 73-1701536	13701 W Jewell Ave Ste 251	Lakewood	CO	80228	USA	Education, Educational Services, Mental Health, Mental Health & Crisis Intervention	The mission of second wind fund is to decrease the incidence of suicide in children and youth by removing the financial and social barriers to treatment					Second wind fund connects children and youth, 19 and under, who are at risk of suicide to professional counseling services with licensed, specialized therapists. If a referred youth does not have adequate insurance or otherwise have access to care or means to pay for services, second wind fund covers the cost of up to twelve sessions of treatment with a licensed therapist. Second wind fund provides these services in the state of colorado and primarily in the denver metropolitan area. Second wind fund also provides management, administrative, and strategic services to affiliated organizations providing these same services in boulder county, colorado and the four corners area of colorado. Since it was founded in 2002, the organization has helped over 3,700 children and youth at risk for suicide get the help they need.					
Watch Care Academy	http://		EIN 74-2565415	3565 Fairfax St	Denver	CO	80207	USA	Education, Elementary & Secondary Schools, Literacy											
The Emerald Heart Cancer Foundation	http://emeraldheart.org	303 993-8843	EIN 80-0559637		Littleton	CO	80161	USA		to provide financial assistance and resources to women in complementary & alternative medicine (CAM) cancer treatments not covered by insurance.   It's our vision to help women in CAM cancer treatments have the resources they need to pursue healing with dignity, hope and grace.  www.emeraldheart.org	We received our 501c3 in September of 2010. We have built developed and launched a complete, friendly and beautiful website with resources and foundation information (www.emeraldheart.org) We have recruited national boards with significant credentials We have offered treatment support grants to 3 women with cancer in financial crisis We have launched a telephone support counseling program for all women with cancer and their caregivers, donation-based.	women in the US with cancer who are receiving CAM cancer treatments, and are in financial distress.	Our primary mission is Treatment Support Grants. We will offer them as funding allows. Our goal is to be able to financially help least 35 women in financial crisis in 2011, with that number increasing as funding and staffing grows.	Denver; Colorado; National	1. Treatment Support Grants to women with cancer in CAM treatments 2. Telephone Support Counseling for all women with cancer and their caregivers 3. Online resources: links to helping organizations, research, treatment information, free gifts to women with cancer, and inspirational materials.					
Larimer Humane Society	http://www.larimerhumane.org	(970) 226-3647	EIN 84-0611804	5137 S College Ave	Fort Collins	CO	80525	USA	Animal Protection & Welfare, Animal-Related, Animals, Wildlife Sanctuaries	The mission of larimer humane society is to promote and provide the responsible care and treatment of animals. The society is a nonprofit corporation whose work is primarily in larimer county, colorado.					Animal care & placement every animal coming through the doors of larimer humane society deserves a second chance. We pride ourselves in being an open admission shelter, taking in every animal that comes to us and giving them a second, and sometimes third or fourth, chance at a new home. Pets up for adoption have no time limit and we put our resources to work helping find them homes. Animals for adoption are profiled on our website and featured in traditional and social media outlets to reach potential adopters. Continued on schedule o every lost or abandoned animal that comes to larimer humane society is given the love and care they need to feel safe until their owners can reclaim them or until they find a new forever home to call their own. We do everything we can to provide the best level of care for animals at larimer humane society. We understand being in a kennel can be stressful for the animals. We help to reduce their stress and comfort them while they are with us. Volunteers walk dogs multiple times a day, giving them exercise and fresh air. Cats are given tender loving care through socialization with people brushing and petting them. Our behavior and enrichment team, as well as our animal care technicians, work with the animals to address individual behavioral and social problems. By giving each animal individual time and attention to soothe the tired and stressed nerves, we are giving them a second chance at life and saving lives, one animal at a time. Thanks to your support, we celebrate a year of saving lives one animal at a time, at larimer humane society in fy15: - placed 2,791 kittens, cats, puppies, dogs, rabbits, gerbils, chickens, turtles and even more into new and loving homes. - hosted our fifth annual placement partner dinner to thank the more than 120 other shelters and rescues we work with to find pets great homes. - welcomed 5,980 animals into our shelter--more than 15 animals per day--or two every hour. - reunited 82% of stray dogs and 25% of stray cats with their owners. - celebrated a live release rate of 87%. - created an option for online appointments for owners seeking to surrender their pet or needing end-of-life services, reducing the wait time for these services. - combined obedience training and enrichment to create the mellow mutts program to maintain and increase adoptability of high energy dogs, who are more likely to develop shelter-related behavior problems. - developed a shelter-wide enrichment program to ensure the pets in our care are presented with activities such as puzzle toys and treats, which enhances their shelter experience (mentally and physically) and decreases frustration. - increased the frequency at which we clicker train cats to include fearful or high arousal cats in the pets needing patience program, as well as to increase adoptability of longer term residents.   animal protection and control larimer humane society's animal protection and control is a valuable asset to our community. The team works to ensure every animal in larimer county is protected. Contracts with fort collins, loveland and unincorporated areas of larimer county keep our officers busy, but they know they are protecting the animals and keeping the community safe. Animal protection and control performs crucial and important work every day of the year. Continued on schedule o because of your support we celebrate a year of saving lives in fy15, one animal at a time at larimer humane society by: - expanding our emergency response program through the disaster animal response team (dart), which now has 30 trained volunteers. The dart team helps the community and their pets be prepared and is ready to assist when they are needed. - rescued two african grey parrots and brought them to larimer humane society for temporary housing after a tornado. - responded to 20,010 calls for service.   veterinary services many of the animals coming to larimer humane society have health concerns, some we can see and some we might not see. The stress of staying in the shelter - the unfamiliar environment, the noises, the smells - can create a compromised immune system causing disease. Thanks to our skilled veterinary staff every animal receives a thorough examination including heart worm testing for dogs, dental evaluations, vaccinations, spay/neuter and microchips before adoption. We want to give the animals the best start possible in their forever home. Continued on schedule o thanks to your support, we celebrate a year of saving lives one animal at a time, at larimer humane society in fy15 we: - performed a total of 1,745 surgeries including 1,415 spay/neuter surgeries and 251 dentals. - implemented heart worm testing on all dogs prior to adoption. - partnered with colorado state university's veterinary teaching hospital to provide opportunities for fourth-year veterinary students to perform 174 spay/neuter and other surgeries on shelter animals, increasing our organizations' capacity and providing hands-on learning to students.   other services: these services include licensing, and community relations.					
Energy Outreach Colorado	http://www.energyoutreach.org	303-825-8750	EIN 74-2543881	225 E 16th Ave Suite 200	Denver	CO	80203	USA	Emergency Assistance, Homeless & Housing, Housing Expense Reduction Support, Housing Rehabilitation, Human Services	To help Coloradans afford home energy.	In 2013, Energy Outreach Colorado invested $18.5 million to provide energy bill payments to help 117,600 households; repair the heating systems in 1,180 homes; and provide energy efficiency improvements in 44 nonprofit facilities and 2,655 affordable housing units.	limited-income families, seniors and individuals with special health needs	limited-income households with energy bill payments and emergency furnace repairs; and nonprofits and affordable housing facilities with energy efficiency improvements.	Colorado	energy bill payment assistance, emergency home heating system repair, and energy efficiency improvements for non-profit and affordable housing facilities.					
Denver Art Society	http://denverartsociety.com	970-306-7326	EIN 	733 Santa Fe Dr	Denver	CO	80204	USA		Leading Denver into the epicenter of the global art movement by building local art schools, creating local art marketplaces, and helping local artists.	Hundreds of kids have attended free classes, hundreds of art students have sold their art at our public gallery on Santa Fe Dr, and thousands of citizens have strengthened their community through our art projects.	Helping put an end to childhood artlessness by providing art education to every child in Denver. Through our education project, DPAU, teachers across the city are collaborating to reach into our often overlooked neighborhood, where they need us the most.	Approx. 400	Greater Denver						
Inter Neighborhood Cooperation, Inc.	http://www.neighborhoodlink.com/denver/inc		EIN 84-0820113	PO Box 300684	Denver	CO	80218	USA	Children & Youth, Citizen Participation, Youth Development	In 1975, a handful of neighborhood activists from around Denver, CO began to meet. After three years of informal meetings and networking, the organization of Denver neighborhood groups known as the Inter-Neighborhood Cooperation (INC) was incorporated with a formal set of by-laws.The basis for INC is a belief that neighborhood organizations deserve a greater role in participating in city government and that individual neighborhoods are stronger when they work together and learn from one another.				Denver	Inter-Neighborhood Cooperations mission is to advocate for Denver citizens by bringing together, informing and empowering Denver neighborhood organizations to actively engage in addressing City issues.  We also distribute a free dictionary/thesaurus to every third grade student enrolled in Denver public schools.					
Rocky Mountain Cancer Assistance	http://www.rockymountaincancerassistance.org	720-229-0303	EIN 84-1487121	1161 S. Vivian St.	Lakewood	CO	80228	USA	Cancer, Human Service Organizations	Rocky Mountain Cancer Assistance (RMCA), formerly known as Rocky Mountain Cancer Centers Foundation, is a Colorado-based 501(c)(3) organization whose mission is to raise, manage, and distribute funds to Colorado cancer patients to improve their quality of life.	Since 2000, RMCA has provided $2.5 million in non-medical financial assistance to more than 4,000 adult cancer patients.	RMCA provides assistance to low-income adults (18 years or older) that are receiving medical cancer-fighting treatment in Colorado.	600 in 2010	Colorado	RMCA's only program is the Financial Assistance program, which provides non-medical financial support to low-income adult cancer patients receiving treatment in Colorado.					
Front Rangers Cycling Club Inc	http://www.frontrangedenver.org	(303) 759-8608	EIN 84-1239901	1820 19th St	Golden	CO	80401	USA		A program designed around cycling to create positive role models, enhance theimage of law enforcement, promote bicycle safety, introduce youth to thesport, further a healthiy lifestyle, and support junior racing					Junior racing program -- frcc jr/u23 racing team is open to athletes wishing to support the front rangers mission, committment to clubs urban youth mission is essential to membership and theracers continued participation on th  juniorneigborhood program sponsors monthly city and mountain bycycly rides for youths 6 to 16. Majority are ftom lower- income families. Organization provides bikes, helments, lunch and transportation to the monthly ride  general expenses					
Ark-Valley Humane Society Inc	http://www.ark-valley.org		EIN 84-1161648	PO Box 1335	Buena Vista	CO	81211	USA	Animal Protection & Welfare, Animals	  Maintains a compassionate no-kill animal shelter for homeless, lost and unwanted         pets without regard for time or space,       Reduces the number of unwanted pets through spay/neuter programs,       Connects homeless pets and adoptive homes,       Offers support services for the prevention of cruelty to animals,       Presents public education for responsible pet ownership.	The Ark-Valley Humane Society celebrated our 20 Year Anniversary in 2011. We took in over 1,000 animals in 2011 alone and managed to maintain a 97% live release rate (through adoption or owner reclaim). We also opened our satellite facility, the Sunshine Shelter, in March of 2011 to serve as the main Cat Facility for Chaffee County, Colorado.				Community Assistance Spay/Neuter Program and Feral Cat Trap/Neuter/Return Program					
Respite Care, Inc	http://www.respitecareinc.org	(970) 207-9435	EIN 84-0840653	6203 S. Lemay Ave	Fort Collins	CO	80525	USA	Child Day Care, Children & Youth, Developmentally Disabled Centers, Disabilities, Residential Care & Adult Day Programs	Respite Care, Inc. is a 501(c)(3) non-profit organization in Larimer County that provides short term, quality care for children with development disabilities, giving respite to their families, and enhancing the quality of life for the entire family.   We believe that a child with a disability is a child first and that his or her challenges are secondary. With this mission and philosophy in mind, Respite Care strives to create an interactive, stimulating and safe environment that addresses the physical, emotional, social and mental needs of each individual child.		children with developmental disabilities and respite for their families	143 families by providing over 51,000 hours of care.	Larimer County	24/7 short term, crisis and overnight care for up to a two week stay, specialized programs such as an Early Childhood Program and Teen Center Program, and enhancement opportunities like Spring Prom, Wilderness Camp, community field trips and more.					
Food Bank of the Rockies	http://www.foodbankrockies.org	(303) 371-9250	EIN 84-0772672	10700 E. 45th Avenue	Denver	CO	80239	USA	Food, Food Banks & Pantries, Food Programs, Nutrition	Food Bank of the Rockies'' mission is to end hunger by efficiently procuring & distributing food & essentials to people in need through our partner agencies in metro Denver, Northern Colorado & Wyoming.					Last year Food Bank of the Rockies (FBR) distributed nearly 25 Million pounds of food to more than 1000 hunger relief programs in Metro Denver, Northern Colorado and Wyoming. FIGHTING HUNGER FEEDING HOPE - our central distribution program collects donations of food & essential items, then sorts, cleans, packages & distributes back to those in need. KIDS CAFE - served 238,000 after school meals to children at risk of hunger. TOTES of HOPE - Children - distributes totes filled with food each Friday to children who might not otherwise eate over the weekend. Totes of Hope- Seniors provides monthly food to some of our most vulnerable citizens at low-income centers. Food Rescue - last year this program collected & redistributed over 1 million pounds of prepared & perishable foods from all sectors of the hospitality & retail industry					
Conservative Baptist Foreign Mission Society	http://www.WorldVenture.com		EIN 36-2216163	1501 W Mineral Ave	Littleton	CO	80120	USA	Christianity, International, International Development, Protestant, Religion	WorldVenture identifies, trains and sends people who are called by God to serve, using their own talents and skills. To accomplish this, we help churches to become more "missional," helping them to discover their own vision and plan for sending missionaries. Our ultimate goal is to share God's love with people around the world, and see them won to Jesus Christ.										
MyLifeLine.org Cancer Foundation	https://www.mylifeline.org/	888-234-2468	EIN 20-5202165	1355 S. Colorado Blvd. Bldg. C-601	Denver	CO	80222	USA		The mission of MyLifeLine.org is to empower cancer patients and caregivers to build an online support community of family and friends to foster connection, inspiration, and healing through free, personalized websites.	We've served over 144,000 cancer patients, caregivers and their family and friends since inception in 2007.	Cancer Patients and Caregivers		Worldwide	We provide free, personalized websites to build an online support community of family and friends to foster connection, inspiration, and healing.					
Discos Dogs Inc	http://www.discosdogs.com	(303) 432-2088	EIN 46-4337560	PO Box 3674	Centennial	CO	80161	USA	Animal-Related, Animal Training, Animals, Children & Youth, Children & Youth Services	The mission of Discos Dogs, Inc. is to adopt dogs from shelters and rescue organizations and help train each one individually to aid children challenged by Autism related differences. In performing this mission Discos Dogs provides tangible and non-tangible support for the life of the service dog.	Since our inception in December of 2013, we have helped 45 dogs and families. The impact has been profound and we're honored to be a part of this many lives.	children with Autism related neurodiversity	16 families	Colorado	skilled companion dogs, service dogs, and therapy dogs.					
Humanity's Team	http://www.humanitysteam.org	(303) 449-7600	EIN 86-1088741	2735 B Iris Avenue #3	Boulder	CO	80304	USA	Human Services, Personal Social Services	Humanity's Team is a Global grassroots movement embodying  oneness with a profound respect for cultural diversity and  responsibility for all of life. We are dedicated to raising  consciousness through living our life with purpose, being a loving  presence, and serving through authentic leadership. As  Spiritual Activists, we are united in our passion to awaken  society to oneness as a community of joyful, loving, peaceful  and harmonious beings. By our conscious use of the  5 Steps to Peace and our involvement in local and global  good works, we pledge to change the face of humanity in  one generation.	Here are just a few of our worldwide activities.  Global Oneness Day Websites, Social Networking and Communications Worldwide Facebook Page Five Steps to Peace Oneness in Twelve Spheres of Life Evolution Revolution led by Neale Donald Walsch (includes a live phone call with Neale) Oneness Declaration Video communications Community Outreach Annual Global Council Meetings Spiritual Leadership Awards  Follow this link to learn more http://humanitysteam.org/getinvolvednow	the world recognize that we are all one humanity.		a global community	Global Oneness Day Humanity's Team University Websites, Social Networking and Communications Worldwide Facebook Page Five Steps to Peace Oneness in Twelve Spheres of Life Evolution Revolution led by Neale Donald Walsch (includes a live phone call with Neale) Oneness Declaration Video communications Community Outreach Annual Global Council Meetings Spiritual Leadership Awards					
The Childrens Treehouse Foundation	http://www.childrenstreehousefdn.org	(303) 322-1202	EIN 84-1575701	7500 W Mississippi Ave Ste A-230	Lakewood	CO	80226	USA	Counseling, Mental Health	To establish or expand professional, structured support groups throughout the country to enable parents with cancer to help their children cope with their fears and anxieties.					To establish or expand professional, structured supportgroups throughout the country to enable parents withcancer to help their children cope with their fears and anxieties.					
Lost For A Reason	http://www.lostforareason.org	7204346089	EIN 46-2530168	8441 W 51st Ave Lost for a Reason.org	Arvada	CO	80002	USA		our mission is to help children and families on the Navajo reservation to become self sufficient and independent. Victims of domestic abuse alcoholism and poverty can learn to break the cycle and aspire to do bigger and better things.	through encouraging high school students to help younger students we have been able to begin a cycle of children helping children so that they grow up with the mentality of service. having a heart for service make us all better people. through our work projects we have gain the trust and encouraged many of the local Navajo Children and Families.		1,400	We worhard to help children and families on the Navajo reservation.	School programs, kids summer sports, financial assistance, ...construction projects.					
National Ski Patrol System Inc	http://		EIN 84-0398775	133 S Van Gordon St Ste 100	Lakewood	CO	80228	USA												
TOUCH OF LOVE INTERNATIONAL	http://touchofloveinternational.com/		EIN 27-3566719	9865 Eaglet Way	Colorado Spgs	CO	80908	USA	International, International Relief	Touch of love is dedicated to creating reUsable hope through the development of sustainable giving. We believe that each dollar, each prayer, each effort can be multiplied exponentially to help eradicate the bottomless pool of need that we are faced with all over the world. Touch of love encourages personal responsibility and dignity through micro-loans and education- helping each person become a conduit for change and an important link in the chain of reUsable hope.	Our first village program, Al Koum Al Akhdar, and Our Second program in Naslet Hana are now both a completely self sustaining program that continues to grow. Three other villages nearby are also beginning to flourish and are well under way to becoming self-sustaining				Touch of Love focuses on creating self-sustaining families and individuals. partners with an already existing non-profit community organization hires in-country personal loan re-payment funds are reinvested in the community each donation to Touch of Love continues to multiply on its own ~Education, work related training, and career counseling  ~Medical assistance and training					
Discover Goodwill of Southern and Western Colorado	http://www.goodwill-colosprings.org	719-635-4483	EIN 84-0513404	1460 Garden of the Gods Road	Colorado Springs	CO	80907	USA	Employment Preparation & Procurement, Goodwill Industries, Human Services, Job Training, Thrift Shops	Discover Goodwill of Southern & Western Colorado is dedicated to helping people reach their highest level of personal and economic independence.					Discover Goodwill of Southern and Western Colorado is much more than our thrift stores and donation centers.  As a not-for-profit leader, we offer job training and other services to help people with disabilities or disadvantages achieve individual success.  Through Goodwill, job seekers, individuals with special needs, families, seniors and other members in our community gain self esteem and become independent, self-sufficient citizens.					
Animal Rescue and Adoption Society	http://www.arascolorado.org/	303-744-6076	EIN 84-0862418	2390 S Delaware St	Denver	CO	80223	USA	Animal Protection & Welfare, Animals	ARAS is a no-kill cat shelter dedicated to preventing cruelty to animals, and providing a safe shelter and a second chance for homeless cats and kittens.  Through outreach programs and community referrals, ARAS seeks to educate the public by providing current information regarding other rescue organizations and services when ARAS is unable to accommodate the animal in need.  ARAS is committed to helping animals in need of safe environments and people in need of solutions.		Pet owners, finders and rescuers.		Colorado						
And Toto Too Theatre Company	http://www.andtototoo.org	720-280-7058	EIN 68-0599935	4105 Stuart St	Denver	CO	80212	USA	Arts & Culture, Theater	Our purpose is to provide a platform for new works and women playwrights.  With only one out of five regional productions being written by women, and women being the majority in the US, we are  bringing to the general public voices that sound like their own. Our goal is to work with other theaters around the country and internationally to level the playing field.				Denver Metro, Colorado	Theatrical Productions for the general public					
Mountainfilm Ltd	http://www.mountainfilm.org	970-728-4123	EIN 84-1271056	PO Box 1088	Telluride	CO	81435	USA	Arts & Culture, Film & Video	Mountainfilm uses the power of film, art and ideas to inspire audiences to create a better world.			120 Filmmakers, 70,000 audience members & 14,350 students	Telluride Colorado and World Wide	We are a dynamic organization with a festival of films, people, stories and ideas that celebrates indomitable spirit, educates and inspires audiences, and motivates individuals and communities to advance solutions for a livable world.					
Fetal Health Foundation	http://www.FetalHealthFoundation.org	(303) 932-0553	EIN 20-0837174	9786 S Holland Street	Littleton	CO	80127	USA	Health, Specifically Named Diseases Research, Voluntary Health Associations & Medical Disciplines	The Fetal Hope Foundation''s mission is to provide support, provide information, fund research, increase awareness and be an outlet for leading medical information pertaining to fetal syndromes. We are all about arming families and healthcare providers with information and helping to save babies'' lives.					Right to Know initiative is to provide awareness and advocacy to those affected by a pregnancy complication affecting the fetus.					
The Tree Huggers Inc.	http://www.thetreehuggers.org	7204681738	EIN 50-5612878		Lakewood	CO	80228	USA		Our mission is to clean, recycle, and restore various places of nature	The Tree Huggers have already cleaned up numerous spots locally and in the mountains. Help us clean the rest!	Every living thing inhabiting the earth needs The Tree Huggers to continue cleaning and restoring the earth so we all have a home.		We currently are in Colorado, but serve all geographic areas in need of our services.						
Lost And Found Inc	http://www.lostandfoundinc.org	(303) 420-8080	EIN 23-7439212	11500 W 80th Ave	Arvada	CO	80005	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment	Lost and found, inc. Serves the nation in christian ministry by providing prevention, intervention, and treatment resources to the individual, family, and youth.					Outpatient counseling: provide outpatent services and other counseling programs for people with mental, emotional and behavioral disorders.   transitional living program: provide independent living training and support for at-risk youth transitioning from treatment and foster care to independence.   child placement agency: provide child placement services for foster care. Provide service to rtc residents.   day contact services: global positioning monitoring of clients.					
Denver Area Council - Boy Scouts of America	http://www.denverboyscouts.org	303-455-5522	EIN 84-0404225	10455 West 6th Ave Suite 100	Denver	CO	80215	USA	Boy Scouts of America, Camps, Children & Youth, Scouting, Sports, Youth Development Programs	The Mission of the Boy Scouts of America is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the Scout Oath and Law.								is for boys who are in the first grade or are 7 years old (Tiger Cubs); boys in the second and third grades or who are 8 or 9 years old are Cub Scouts; and boys who are in the fourth and fifth grades or are 10 years old are Webelos Scouts. The emphasis is on family centered activities, group activities, learning, and fun.	is for boys and young men who are at least 11 or have completed the fifth grade, but are not yet 18 years old. Boy Scouts advance through Tenderfoot, Second Class, First Class, Star, and Life ranks to Eagle Scout. The emphasis is on outdoor activity, learning skills, developing leadership ability, and service.	is for young women and men who are 14 (and have completed the eighth grade) to age 21. Venturing's purpose is to provide positive experiences to help young people mature and to prepare them to become responsible and caring adults. Venturing is based on a unique and dynamic relationship between youth, adult leaders, and organizations in their communities.
Project C.U.R.E	http://www.projectcure.org	303-792-0729	EIN 84-1568566	10377 E. Geddes Avenue Ste. 200	Centennial	CO	80112	USA		PROJECT C.U.R.E.'s mission is to identify, solicit, collect, sort and deliver medical supplies and services according to the imperative needs of the world.	PROJECT C.U.R.E on average delivers two semi-truck trailer-sized containers of medical relief every week. By volume, we are currently the world's largest distributor of donated medical supplies and equipment to developing nations.	Hospitals, Clinics and medical professionals and the patients under their care in more than 120 developing countries.		Since 1987, PROJECT C.U.R.E. has delivered medical relief to hospitals and clinics in more than 120 countries. Visit our website for a complete list of the countries we have served or are in the process of serving.	To provide medical equipment and supplies to those who need them, in more than 120 countries. An average of almost 3 forty foot cargo containers are shipped weekly.					
