name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Target demographics	Geographic areas served	Programs	Mission	Results	Direct beneficiaries per year
Rhode Island Organ Donor Awareness Coalition Inc	http://		EIN 05-0441876	Po Box 40926	Providence	RI	02940	USA	Arts & Culture						
Society Of Pi Kappa Lambda Zeta Upsilon Chapter	http://		EIN 36-3678491	105 Upper College Rd	Kingston	RI	02881	USA							
Coastal Housing Corp.	http://		EIN 05-0465780	PO Box 966	Portsmouth	RI	02871	USA	Homeless & Housing, Housing Development, Construction & Management						
Martha R Robinson Scholarship Fund	http://	(888) 866-3275	EIN 05-0487535	Po Box 1802	Providence	RI	02901	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Downtown Open Bible Church Inc	http://		EIN 59-6214847	Po Box 1802	Providence	RI	02901	USA	Religion						
Tiverton Youth Soccer Assoc	http://www.tivertonyouthsoccer.org	(401) 835-1226	EIN 05-0393019	Po Box 434	Tiverton	RI	02878	USA	Boys & Girls Clubs, Children & Youth			Year round soccer programs serving 550 children.	Youth soccer organization		
PORTSMOUTH HISTORICAL SOCIETY	http://		EIN 05-0390824	870 E Main Rd	Portsmouth	RI	02871	USA							
Brazilian Studies Association	http://		EIN 85-0419770	Po Box 1970	Providence	RI	02912	USA	Human Service Organizations, Human Services						
Rock-Paper-Scissors Children's Fund	http://www.rockpaperscissorschildrensfund.org		EIN 45-5475561	38 Asa Pond Road	Wakefield	RI	02879	USA	International, International Relief	Kids	Vietnam	Music and Art Programs and Bikes for Girls	Helping Vietnamese kids by supporting them at home, through school and with new opportunities to learn through art and music		
Deangelis Manor Ii C/O Nhp	http://	(401) 461-2727	EIN 05-0389543	845 Wakefield Street	West Warwick	RI	02893	USA	Homeless & Housing, Housing Development, Construction & Management			The organization runs and operates an 80 unit residential apartment complex for the elderly and disabled.   to provide low income housing and related services to the elderly and handicapped.	To provide low income housing and related services to the elderly and handicapped.		
Friends Of Sakonnet Lighthouse Inc	http://www.sakonnetlighthouse.org	(617) 795-1875	EIN 22-2559874	Po Box 154	L Compton	RI	02837	USA				Maintenance and restoration of sakonnet lighthouse			
Newport Health Property Management Inc	http://	(401) 846-6400	EIN 22-2535539	11 Friendship St	Newport	RI	02840	USA				Nhpm operates and maintains health care real estate properties in furtherance of the benevolent philosophies of newport health care corporation. All of the organization's program service expenses are for the advancement of that purpose.	Nhpm operates and maintains health care real estate properties in furtherance of the mission of newport health care corporation (nhcc), the sole corporate member of nhpm.		
LINKS	http://		EIN 23-7208567	50 East Ct	N Kingstown	RI	02852	USA							
Ocean Community Chamber Foundation	http://		EIN 05-0494495	1 Chamber Way	Westerly	RI	02891	USA	Adult Education, Education			Administered a facade improvement program with funds secured through a grant  developed an area website to promote business and tourism  produced a fire on water event to promote and draw visitors to our downtown business district  other program services	Educational and economic development		
National Football Foundation And College Hall Of Fame Inc	http://		EIN 05-0468948	70 Carrs Pond Rd	W Greenwich	RI	02817	USA							
Rhode Island Aquatic Hall Of Fame Inc	http://		EIN 05-0392986	40 College Rd	Providence	RI	02908	USA	Sports, Swimming & Other Water Recreation						
Salvatore Mancini Resource & Activity Center Inc	http://ww.smrac.com	(401) 231-0742	EIN 05-0379931	2 Atlantic Blvd	N Providence	RI	02911	USA	Human Services, Senior Centers, Seniors			In-house social services, recreational and educational programs and transporation for over 1,650 elderly individuals in the north providence area.	To provide programs and services to enhance,		
Sceva Speare Trust F/B/O Brookhaven Home For Boys Inc	http://	(888) 866-3275	EIN 02-6007727	Po Box 1802	Providence	RI	02901	USA							
West Place Animal Sanctuary	http://www.westplace.org	401-474-9621	EIN 14-2005606	3198 Main Road	Tiverton	RI	02878	USA				Volunteer Program	The mission of the West Place Animal Sanctuary, an IRS recognized nonprofit organization, is to provide housing, food and medical care for both injured and orphaned wild birds, waterfowl and wild turkeys as well as unwanted farm animals. The West Place Animal Sanctuary provides both short-term and long-term care as necessary. West Place provides rehabilitation services for the ultimate release of the aforementioned types of injured or orphaned wildlife, and provides placement services for farm animals whenever possible.	This year we raised funds to provide water sources to new pastures we created.	
Nuckols For Belding Library Art 2 4th	http://	(888) 866-3275	EIN 06-6033684	Po Box 1802	Providence	RI	02901	USA							
Festival Field Corp.	http://		EIN 05-0489420	50 Washington Sq	Newport	RI	02840	USA	Homeless & Housing						
Jean Doyle Smyth Memorial Scholarship Trust	http://		EIN 06-6071470	PO Box 1802	Providence	RI	02901	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Tiverton Land Tr	http://		EIN 05-0493369	Po Box 167	Tiverton	RI	02878	USA	Environment, Land Resources Conservation						
Amos House	http://amoshouse.com	(401) 272-0220	EIN 05-0387218	415 Friendship St	Providence	RI	02907	USA	Education, Homeless & Housing, Special Education			The soup kitchen is the point of entry for all of our services and the foundation upon which amos house is built. We are truly a life-line to hundreds of men and women who turn to us each day; for a meal, a smile, a chance to change their lives. For the past 37 years amos house has offered breakfast and lunch six days a week to men, women, and children who are homeless or struggling to make ends meet.   our housing programs provide a continuum of care and services-and what we know is that ongoing support builds success. Following successful completion of our 90-day programs, our guests can choose to move into our phase two housing-a more independent set of housing options that still provide intensive case management, groups, and our clean and sober community. Amos house's community embraces each and every guest and offers unconditional support and guidance  amos house is opportunity, a second chance, a new beginning, hope and opportunity. Through our culinary arts and carpentry/weatherization training programs, literacy classes and financial opportunity center, we help men and women gain the skills they need to succeed in today's workplace. Our programs provide a unique atmosphere and community in which people can receive national certifications, hands-on experience and job placement assistance. Our literacy program includes adult basic education classes, tutorial help and the chance to pursue an external high school diploma.   other programs include social services, shelters, apartment programs, and amos house works	We provide direct support for people in need by offering resources that help them achieve greater stability and self reliance in their lives.		
ALLIANCE FOR A LIVABLE NEWPORT	http://newportalliance.org		EIN 86-1135953	PO Box 2636	Newport	RI	02840	USA	Environment, Environmental Education	18-100	Newport, Rhode Island, Newport County,	http://newportalliance.org/videos/  Please view our video recording of recent forums here!	OUR COMMITMENTS: 1. Promoting our quality of life in  Newport 2. Serving as a community resource that finds solutions to issues affecting our community. 3. Actively pursuing causes that have a positive, city-wide impact. 4. Partnering with local government, schools and businesses to benefit our neighborhoods	http://newportalliance.org/about_us/policies/newsletters/ Goals of Newsletter:   To educate the public on ALN issues of focus.  To publicize civic events, especially ALN forums.  To direct people to further information on issues of focus on the ALN website and other locations.  To widen the sphere of ALN influence by encouraging residents to become members and readers. Newsletter:      Topics in 4 areas of focus that are of most current interest to Newport residents as expressed at monthly ALN meeting. (Topics and reporters to be assigned by Newsletter Editor.)     Neighborhood News as put forward by a Neighborhood Association each month through an ALN Director.	All Newport Rhode Island Residents
Gabrielle Mee Irrevocable Trust	http://		EIN 05-6082078	P.O. Box 6767	Providence	RI	02940	USA	Named Trusts, Philanthropy						
Rhode Island Council On Alcoholism Inc	http://www.ricaodd.org	(401) 725-0410	EIN 22-2786159	500 Prospect Street	Pawtucket	RI	02860	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment			Housing program offering stable housing environment for clients in recovery  information and referral service - provides a 24 hour counseling hotline for individuals with alcohol and other drug dependency	Advocacy in combating alcoholism and drug addiction		
Toastmistress International Clubs, Inc. Cosmopolitan Chapter	http://		EIN 23-7036666	7 Hall Street	East Greenwich	RI	02818	USA							
Omicron Delta Epsilon International Honor Society In Economics Inc	http://		EIN 74-2592827	64 Waterman St	Providence	RI	02912	USA							
Armenian Martyrs Memorial Organization Inc	http://		EIN 51-0204730	C/o Joyce Yeremian 29 Plymouth Rd	North Providence	RI	02904	USA							
Bertha Borden Davis Trust Ud	http://	(888) 866-3275	EIN 04-6029339	Po Box 1802	Providence	RI	02901	USA							
Newport County Community Mental Health Center Inc	http://www.nccmhc.org	(401) 846-1213	EIN 05-0374759	127 Johnny Cake Hill Rd	Middletown	RI	02842	USA				Children's programs: to provide independent living, advocacy, and day treatment including acute alternatives for youths. The program is a comprehensive continuum of community-based mental health services for treating severely emotionally and behaviorally disturbed youths. The key purpose is to provide community-based alternatives to psychiatric hospitalization and out-of-home placements. Services include an array of therapeutic and clinical services which include 24 hour crisis assessment/intervention, crisis stabilization, psychiatric/medication evaluation, family assessment or re-assessment, and development of individualized treatment plans.   community support services: to provide a comprehensive array of services necessary to maintain severely mentally disabled adults in the community. Services provide comprehensive, community-based mental health treatment, rehabilitation and support services within a continuous treatment team model to adults with chronic and persistent mental illness and who are at risk for homelessness, involvement with the criminal justice system, ongoing substance abuse or unemployment.   residential services: to provide independent living, advocacy, day treatment including acute alternatives, competency training, leisure time activities & group home activities. Services include: case management and individualized treatment planning, access to and use of medical and dental services, psychiatric services, nursing consultation and medication monitoring, symptom assessment, management and supportive counseling, skill building and assistance with personal hygiene, financial management, vocational assessment and skill building opportunities, and many others.   other program services consist of general outpatient services and the newport partnership. Outpatient services are designed to treat persons who are suffering significant psychological stress and symptoms in their lives. Services include individual, group and family therapy; parent and community education; and consultation with schools, physicians, etc.	To provide quality, comprehensive, professional behavioral health services to individuals, to families and to the community that: incorporate the principles and values of recovery orientation in service delivery; that are culturally sensitive and competent in application; and that are in accordance with regulatory, licensing and ethical standards.		
West Warwick Foursquare Church	http://		EIN 94-3224975	5461 Flat River Rd	Greene	RI	02827	USA							
Little Compton Historical Society, Inc.	http://www.littlecompton.org		EIN 05-6010240	PO Box 577	Little Compton	RI	02837	USA	Arts & Culture, Historical Organizations, History Museums, Single Organization Support			Museum program: the organization collects, preserves, and presents early landmarks of historical significance to the town of little compton for the education and enrichment of the community. Lchs maintains historic buildings including wilbor house, friends meeting house, archival barn,19th century barn, 19th century carriage house, peggotty artist studio, peaked top school, corn crib, privy, and the chicken food cookhouse. The collection includes approximately 13,000 objects, photos, and documents relating to the history of little compton.   the going to school in little compton project included research and oral histories that were shared with the public in an exhibit during the summer of 2014. The project was completed in collaboration with the wilbor high school alumni group. The information added to the archive is a permanent improvement to the historical society's collection. The project was an excellent fit to our mission because of the research and public programs it included concerning this area of little compton's history.   education program: the organization runs youth summer camps, school programs, and adult programs that serve to educate the community about the history of little compton. The education program serves approximately 500 participants per year.   the historic house project began in 2014 and will continue into 2015 researching, writing and exhibiting the histories of historic homes throughout little compton. The histories are being done in an untraditional way including women, children and servants and their contributions to the little compton community. The project furthers our mission because of the research, writing and public programs it includes concerning this area of little compton's history.	The Little Compton Historical Society preserves the history and cultural heritage of Little Compton for the enrichment and enjoyment of the general public.The Society fulfills this mission by:Maintaining and restoring selected local sites of historical significance including the Wilbor House property dating from 1690 and the early 19th century Friends Meeting HouseCollecting, conserving, and interpreting historical documents and objects linked to the houses, farms, and families of Little ComptonConducting education and outreach programs and issuing publications to share information and stimulate interest in the area's history		
Rhode Island Society For The Prevention Of Cruelty To Animals	http://www.rispca.com		EIN 05-0262716	186 Amaral St	Riverside	RI	02915	USA	Animal Protection & Welfare, Animals			Operate kennel to prevent cruelty to animals and to provide shelter to animals	Operate kennel to prevent cruelty to animals and to provide shelter to animals		
South County Youth Soccer Club	http://www.scysc.org	(401) 782-8200	EIN 05-0408647	1425 Kingstown Rd Unit 6	Peace Dale	RI	02879	USA	Physical Fitness & Community Recreational Facilities, Sports			The club provides year-round soccer programming for approximately 1000 youths ages 4 through 19 primarily from washington county, rhode island.	To provide an enjoyable, affordable, safe and quality soccer experience for children of all levels from ages 4 through 19. To provide opportunities for all club members to excel and grow to the best of their abilities.		
Because He Lives Ministries	http://		EIN 22-2699878	Po Box 37	Woonsocket	RI	02895	USA	Food, Soup Kitchens			To offer food to the poor homeless and elderly averaging 85 people per day	Providing basic human needs		
Providence Inner City Arts Incorporated	http://	(401) 781-0019	EIN 51-0204274	C/o Len Cabral 30 Marcy Street	Cranston	RI	02905	USA				Providence inner city arts offered diverse and egaging events focused on the development and enrichment of the down city community. Providence inner city arts held family centered events, music and dance perfomances, classes and workshops.	To create a vibrant sense of place in the capital city of providence where art, culture, and entertainment of the finest quality will serve as the basis to bring diverse people together, provoke thought, inspire hope, and create a broad community understanding in support of artistic programs		
Comity Club Oration Prize Contest Fund	http://	(888) 866-3275	EIN 15-6014986	Po Box 1802	Providence	RI	02901	USA	Education, Secondary & High Schools						
Kids First Inc	http://		EIN 05-0498622	5 Richmond Sq	Providence	RI	02906	USA	Health, Public Health						
Save The Bay, Inc.	http://www.savebay.org	401-272-3540	EIN 05-0343046	100 Save The Bay Drive	Providence	RI	02905	USA	Environment, Environmental Education, Pollution Abatement & Control, Water, Water Resources, Wetlands Conservation & Management	protect, restore, and educate about the ecological health of the Narragansett Bay region	Narragansett Bay and its watershed	classroom-based, ship-based, and shore-based educational opportunities for students and teachers.	Save The Bay works to protect and restore Narragansett Bay and its watershed. We have 20,000 members and supporters and over 900 volunteers who make our work possible. Save The Bay watchdogs government agencies, responds to pollution incidents, raises public awareness, offers extensive volunteer and internship opportunities, and provides educational programs to the regions schoolchildren and the general public. Save The Bay offers exciting programs to give the public direct experience with the Bay because we know that when people understand the Bay, they care about the Bay. We host cruises, seal watching trips, kayaking events, an annual swim across the Bay, and much more.		more than 17,000 students, teachers, and members of the public experience Narragansett Bay
Alta W Foster Trust	http://		EIN 04-6269700	Po Box 1802	Providence	RI	02901	USA							
VOLUNTEERS IN PROVIDENCE SCHOOLS	http://inspiringmindsri.org	(401) 274-3240	EIN 05-0310175	905 Westminster St	Providence	RI	02903	USA	Education			Mentoring, tutorial and educational services	To provide educational services to students within the providence, rhode isalnd area.		
The Autism Project	http://www.theautismproject.org	(401) 667-6502	EIN 05-0512037	1516 Atwood Ave	Johnston	RI	02919	USA	Autism, Disabilities, Education, Health, Special Education			Ap provides consultation services at area schools. Ap's philosophy is to work with school districts to develop safe, supportive learning environments where students with an asd can be educated and learn how to develop socially and emotionally. An array of disciplines and experience is represented during these consultations, including education, special education, occupational therapy, speech and language, positive behavior supports, emotional regulation, and social work. Ap consultants work with school staff to identify areas of concern and to develop a plan of action to support a classroom teacher, teacher assistant, and other facilities personnel. (see schedule o)  ap offers a coordinated system of services and resources to meet the needs of children with asds and extends related services to their families. Ap has 529 slots in their social skills programs and schedules 34 groups per week during the fall session and 18 groups per week during the summer session. Ap offers a variety of groups based on age and interest which are all directed at helping promote skills such as learning group dynamics, social rules, effective peer interactions, communication, expressing emotions, and building daily life skills. These groups accomplish this through theater, art, music and dance, poetry, group discussion, role playing, athletic events and coaching, leadership outreach activities, and play groups. (see schedule o)  ap hosts a variety of training events and series focused on best practices for educating and supporting individuals with an asd and to share the strategies and intervention approaches. During the fiscal year ended september 30, 2014, 145 parents and 1,305 professionals attended the various workshops and training events offered.	The autism project is a unique collaboration of parents, professionals, and community members who provide quality support, training, and programming to children and adults with an autism spectrum disorder (asd).		
Marriage Equality Ri Education Fund Inc	http://www.marriageequalityri.org		EIN 45-0580079	251 Pawtuxet Ave	Warwick	RI	02888	USA				To support efforts to educate the rhode island public about specific legal exemptions that adversely impact lgbtqi couples and their families and fund general operating expenses	Marriage equality rhode island is a grassroots organization that works to secure equal marriage rights for all rhode island couples, regardless of sexual orientation or identity		
Tiverton Library Foundation Inc	http://	(401) 625-6796	EIN 26-0479052	34 Roosevelt Ave	Tiverton	RI	02878	USA	Education			Administration of fundraising and distribution of funds for site engineering and architectural design for the new tiverton library. The ground breaking was in october 2013.	To secure contributions to help support the operational and capital needs of the tiverton public library.		
Albert V & Lena Stowe Reopell Charitable Tr 63290 00 1	http://		EIN 04-6164232	Po Box 1802	Providence	RI	02901	USA	Named Trusts, Philanthropy						
Trust Uw Mildred L Nash	http://	(888) 866-3275	EIN 16-6215555	Po Box 1802	Providence	RI	02901	USA							
John J Corning Trust U/W	http://	(888) 866-3275	EIN 06-6027742	Po Box 1802	Providence	RI	02901	USA	Named Trusts, Philanthropy						
Valley Affordable Housing Corp	http://www.valleyaffordable.org	(401) 334-2802	EIN 05-0489479	1029 Mendon Rd	Cumberland	RI	02864	USA	Homeless & Housing, Housing Development, Construction & Management			Provides services in order to improve the housing stock, assist individuals to become homeowners, and provide decent housing that is affordable to low and moderate income people with the state of rhode island.	Provides services in order to improve the housing stock, assist individuals to become homeowners, and provide decent housing that is affordable to low and moderate income people with the state of rhode island.		
Cornerstone Church Of Warwick Rhode Island	http://		EIN 05-0419195	1990 Elmwood Ave	Warwick	RI	02888	USA	Protestant, Religion						
Khadarlis	http://www.khadarlis.org	401-454-6916	EIN 94-3469501	99 Academy Ave	Providence	RI	02908	USA	Disaster Aid, Economic Development, International, International Development, Microfinance, Rural Economic Development	Villages in Sierra Leone, West Africa; low-income children in Guatemala; low-income children and adults in Providence, Rhode Island	Sierra Leone; Guatemala; Providence, Rhode Island	Our organization works through strategic partnerships and applies advocacy, catalytic assistance, innovation, participatory and right-based approaches to development work.  We work by promoting civic empowerment, self-help and self-sufficiency for economic and sustainable development. Our past projects have included community empowerment through building and sustaining wells, local community centers and schools, as well as supplementing medical supplies to peripheral health units.	Khadarlis is a non-profit organization dedicated to working with communities, children and families worldwide to alleviate poverty and social inequality.  Khadarlis is motivated by the fact that some of our board members have families and ties to the country and the communities we serve. We actively fight the conditions of the poor and disenfranchised as a demonstration of unconditional love for all.	Our work started with Jimmi, Senehun, Kpawama and Bandajuma in the Bargbo Chiefdom in the Bo District of Sierra Leone. We have since expanded our outreach and currently have active projects in Sierra Leone, Guatemala and Rhode Island.  Khadarlis goal is to reinstitute civil infrastructure. Since 2007, our organization has focused on education, water and sanitation, health care, HIV/AIDS prevention and treatment, agriculture, solar electricity and housing in Sierra Leone.  Khadarlis is proud to collaborate with Nios Del Lago in Panajachel, Guatemala to provide educational/school resources to the newly built summer camp. Here, children will enjoy a summer camp experience similar to those found in the U.S., which incorporates a positive educational curriculum and respect for the environment. Khadarlis will match all educational materials sent to Sierra Leone to Nios Del Lago.  Locally, the Khadarlis Community Outreach Center serves the greater Providence area. We are partnered with state community action agencies to provide free household goods to low-income and homeless Rhode Islanders moving into homes or apartments. Our organization collaborates with Gifts in Kind-International  also known as Good360  and receives donated items from stores like Bed, Bath & Beyond for distribution through the program. Qualifying applicants can select up to five items to help them transition into their new residence.	200-400 persons
Friday School Inc	http://		EIN 05-0497555	401 Elmgrove Ave	Providence	RI	02906	USA	Religion, Religion-Related						
Masjid Al-Islam Incorporated	http://		EIN 05-0465624	40 Sayles Hill Rd	N Smithfield	RI	02896	USA							
Salve Regina University	http://www.salve.edu	(401) 341-2142	EIN 05-0259080	100 Ochre Point Ave	Newport	RI	02840	USA	Education, Universities			Salve regina university (the "university"), located in newport, rhode island, is a small comprehensive catholic university which opened in 1947 and is accredited by the new england association of schools and colleges. The university was founded by and continues to be sponsored by the sisters of mercy. The university enrolls approximately 2,500 men and women in a variety of academic programs. The university's student population is predominantly from the northeast region of the united states. The undergraduate programs are based on the liberal arts. The university offers associates, baccalaureate, master degrees, a certificate of advanced graduate study and a ph. D. In humanities.	As an academic community that welcomes people of all beliefs, salve regina university, a catholic institution founded by the sisters of mercy, seeks wisdom and promotes universal justice. The university, through teaching and research, prepares men and women for responsible lives by imparting and expanding knowledge, developing skills and cultivating enduring values. Through liberal arts and professional programs, students develop their abilities for thinking clearly and creatively, enhance their capacity for sound judgment, and prepare for the challenge of learning throughout their lives. In keeping with the traditions of the sisters of mercy, and recognizing that all people are stewards of god's creation, the university encourages students to work for a world that is harmonious, just and merciful.		
First Church Of God Of Providence	http://		EIN 05-0425662	Po Box 27282	Providence	RI	02907	USA							
Aqua-Life Foundation Inc	http://		EIN 05-0478452	66 Armstrong Ave	Providence	RI	02903	USA	Animal Protection & Welfare, Animals						
Newport Public Education Foundation	http://www.npef-ri.org	(401) 849-0633	EIN 22-3137794	PO Box 1237	Newport	RI	02840-0998	USA	Education		Newport, Rhode Island	Provided enhanced educational opportunities for children attending newport public schools by soliciting funds and developing projects that fostered community support and interest in the public school system.	The Newport Public Education Foundation (NPEF), established in 1991, is an independent, non-profit 501(c)(3) whose mission is to improve the performance of Newport public school children by enhancing their educational opportunities and by building broad-based community support for quality public education.	We have done this in the past by providing teachers with grants to enhance their classroom activities, assisting the Newport Public Schools in rallying volunteers to read in the classrooms under the BOLD (Books Open Lifes Doors) program, and leading the campaign to raise more than $1 million for furniture, equipment and technology to ensure overall program enhancements at Newports historically preserved and renovated Thompson Middle School. We plan to continue in this tradition and expand into programs that support our teachers, students and schools.	Public school teachers who are grant recipients.
Public Education Fund	http://		EIN 22-2689787	345 South Main Street	Providence	RI	02903	USA	Education						
Stern Foundation	http://	(888) 866-3275	EIN 14-6016750	Po Box 1802	Providence	RI	02901	USA							
Arthur Pillsbury Tr	http://	(888) 866-3275	EIN 04-6056628	Po Box 1802	Providence	RI	02901	USA							
Inner City Federation Of Rhode Island	http://		EIN 22-3270444	229 Waterman St	Providence	RI	02906	USA	Economic Development, Urban & Community Economic Development						
John Clarke Retirement Center	http://www.johnclarkeretirement.org	(401) 846-0743	EIN 05-0382511	600 Valley Road	Middletown	RI	02842	USA				John clarke retirement center operation includes a nursing center and retirement center for the elderly and needy. The nursing center facility is medicare and medicaid certified. The facility also provided physical therapy, occupational therapy, and speech therapy. During 2014 there were 20,655 bed days provided. Included in this total were 14,766 medicaid and 2,161 medicare bed days provided.   the retirement center is a two level 50 apartment facility featuring living room, bedroom, full bath and all-electric kitchens.	The john clarke retirement and nursing center will endeavor to provide in a christian atmosphere, a retirement living philosophy that will meet the needs of the elderly community. This approach will include residential services, skilled nursing care, and attempt to provide other services associated with retirement living and long term care as warranted. It is the policy of the john clarke retirement and nursing center to admit all residents without regard to race, sexual orientation, religion, and/or handicap. The same requirements for admission are applied to all. Retirement center tenants and nursing center residents are assigned apartments or rooms within each facility without regard for any of the above.		
Albert H Coombs Trust 05373-1	http://	(888) 866-3275	EIN 01-6008039	Po Box 1802	Providence	RI	02901	USA	Philanthropy, Public Foundations						
Flickers-The Newport Film-Video Society & Arts Collaborative	http://www.RIFilmFest.org		EIN 05-0399728	PO Box 162 96 Second St	Newport	RI	02840	USA	Arts & Culture, Media & Communications, Visual Arts				1. To encourage the appreciation of fine/visual arts, performing arts and media arts through multi-media mechanisms. 2. To produce film, video, radio and new media programming. 3. To present, without censorship, multi-media programming that reflects the vision of the creative artist. 4. To stress quality of presentation which both stimulates, and enhances a knowledge of the creative arts		
CHILDRENS WISH GROUP OF RI	http://www.cwishesri.com	(401) 921-1300	EIN 26-4662878	757 Park Ave 2ND Flr	Cranston	RI	02910	USA	Health, Patient & Family Support			To grant wishes to children between the ages of 2 1/2 and 18 years of age with life threatening medical illnesses.	To grant wishes to children		
Leroy Csd 1 Ui Elw 1 Trust	http://		EIN 16-6022860	PO Box 14777	East Providence	RI	02914	USA	Education						
Westerly College Club	http://www.thewesterlycollegeclub.org	(401) 322-1910	EIN 05-6009634	Po Box 1342	Westerly	RI	02891	USA	Education, Scholarships, Scholarships & Student Financial Aid			Scholarships awarded to 14 current college students  donation to the ri community foundation (a 501(c)(3) organization), one union station, providence, ri 02903	Promote college education		
Preservation And Heritage Society Of Scituate Ri Inc	http://		EIN 05-0370151	Po Box 551	N Scituate	RI	02857	USA							
Caroline H Fabens Trust Uw 2-6308	http://	(888) 866-3275	EIN 04-6026051	Po Box 1802	Providence	RI	02901	USA	Health						
The Matty Fund aka Matthew Siravo Memorial Fundation, Inc.	http://www.MattyFund.org	401-921-4466	EIN 20-0096759	250 B Centerville Road	Warwick	RI	02886	USA	Epilepsy, Health, Philanthropy, Public Foundations	Children diagnosed with seizures and epilepsy along with their families	Rhode Island and beyond	Camp Matty, Family Support Groups, A Facebook support group, college scholarships, workshops, funding medical research, family events, and more	The Matty Fund will provide family resources, raise epilepsy awareness, promote patient safety and improve the quality of life for children and families living with epilepsy.		hundreds of families
Agape Center Inc	http://		EIN 05-0492264	1 Social St	Woonsocket	RI	02895	USA	Homeless & Housing, Housing Development, Construction & Management						
Plan International Inc	http://www.plan-international.org	(401) 562-8400	EIN 51-0169168	155 Plan Way	Warwick	RI	02886	USA	International, International Relief			Healthy start in life: plan supports a range of activities aimed at reducing neonatal and maternal mortality and increasing child survival and the healthy development of children. These activities include the building and equipping of pre-school centres and clinics, the promotion of universal birth registration, the training of health workers and prevention of avoidable childhood illnesses. During the fiscal year ended june 30, 2014, 289,437 professional and volunteer workers were trained in early childhood care and health management; 10,758 early childhood care and development centers were also constructed or improved.   protection and assistance in emergency situations: activities include risk reduction training and relief activities such as the distribution of food and water, the provision of shelter and sanitation facilities as well as the health and psychological support for children who are victims of disasters. During the fiscal year ended june 30, 2014, plan responded to 44 disasters or emergencies. 40 countries mounted child protection in emergency interventions.   quality education: plan seeks to promote free equal access to quality education and life-skills training to help children and young people reach their full potential. This is done through activities such as the building and equipping of classrooms, teacher training and advocating for education policy improvement. During the fiscal year ended june 30, 2014, plan trained 104,321 professional and volunteer education workers and supported the construction or rehabilitation of 2,454 schools.   see schedule o	International development and		
Nuckols For Belding Library Art 20a	http://	(888) 866-3275	EIN 06-6033682	Po Box 1802	Providence	RI	02901	USA							
Forsyth Dental Inf For Children Scientific Fund	http://		EIN 04-6007907	PO Box 1802	Providence	RI	02901	USA	Ambulatory & Primary Health Care, Health						
Academy Players	http://		EIN 51-0178318	202 King Philip St	Providence	RI	02909	USA	Arts & Culture, Theater						
Pillsbury Hospital Residents Trust 31-50261	http://		EIN 36-6037703	Po Box 1802	Providence	RI	02901	USA	General Hospitals, Health						
Aletheia Bible Church	http://		EIN 05-0385620	97 Asylum Rd	Warwick	RI	02886	USA							
First Presbyterian Church Of Schaghticoke	http://		EIN 14-6013990	Po Box 1802	Providence	RI	02901	USA							
National Society Of The Daughters Of The American Revolution	http://www.dar.org		EIN 05-6015790	20 Greenough Pl Z-A	Newport	RI	02840	USA	Arts & Culture, Education, Historical Organizations, History Museums, Libraries				The objectives of the National Society Daughters of the American Revolution are historic preservation, promotion of education and patriotic endeavor.		
Brown Alumni Association	http://		EIN 05-0476052	PO Box 1859	Providence	RI	02912	USA							
John Brown Francis Pts	http://		EIN 05-6033814	325 Miantonomo Dr	Warwick	RI	02888	USA							
Trinity Presbyterian Church	http://		EIN 22-2831735	72 Clifford St	Providence	RI	02903	USA							
Priscilla Ordway Scholarship Fund	http://	(888) 866-3275	EIN 04-6289776	Po Box 1802	Providence	RI	02901	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Jewish Community Day School Supporting Foundation	http://www.jewishallianceri.org	(401) 421-4111	EIN 05-0487595	130 Sessions St	Providence	RI	02906	USA	Education			The jewish community day school supporting foundation (the foundation) supports the mission and activities of the jewish day school of providence dba jewish community day school of rhode island and the jewish federation foundation of greater rhode island, with the goal of furthering the development and programs of the jewish community day school of rhode island. During the fiscal year ended june 30, 2014, the foundation achieved its goal through a grant of $53,953 to the jewish community day school of rhode island, as well as through non-financial support.	The jewish community day school supporting foundation's mission is to further the development and programs of the jewish day school of providence, dba jewish community day school of rhode island.		
Gordon School	http://www.gordonschool.org	(401) 434-3833	EIN 05-0258876	45 Maxfield Ave	E Providence	RI	02914	USA				Providing educational services for children (nursery to grade 8)	The gordon school is a racially diverse nursery through eighth grade coeducational independent school in east providence, rhode island. Child by child, the gordon school community cultivates successful students by inspiring joyful learning, encouraging intellectual leadership, fostering an empathic spirit and stimulating a drive for positive societal impact.		
Greater Providence Chamber Foundation	http://	(401) 521-5000	EIN 22-2655490	C/o Ps H 40 Westminster No 1100	Providence	RI	02903	USA	Chambers of Commerce & Business Leagues			The primary goal of the knowledge economy project is to unleash and commercialize the untapped talent in the region, boosting productivity, creating jobs and wealth, and increasing the tax base of providence and the region.	The foundation seeks to identify, support and fund charitable, educational and scientific programs and projects that enhance and stimulate commerce, business, finance, and the professions in greater providence and other areas of the state of rhode island.		
