name	url	telephone	tax_num	street	locality	region	postcode	country	Mission	Geographic areas served	Causes	Results	Target demographics	Direct beneficiaries per year	Programs
Academia De Directores Medicos De Puerto Rico	http://www.admpr.org	(787) 281-8876	EIN 66-0492550	Rr 9 Box 1764	San Juan	PR	00926	USA	Promote the excellence of health services through education, leadership, creation of alliances, consulting and offer support coordinated with organizations with community roots in clinical management.		Health				Educational program - educational workshops, update in management of desease and technical support to health related professionals.
Taller Salud Inc	http://		EIN 66-0494692	Po Box 524	Loiza	PR	00772	USA	Our HIV/AIS/STD prevention program strengthens knowledge and skills related to self esteem, anatomy, sexuality, emotional health, violence prevention strategies, public speaking, and community involvement.  Our staff is composed of trained social professionals with experience in the field of health education who encourage an exponential replication of educational programs by creating networks of education professionals and training young and adult participants to become peer health educators in their schools, communities or workplaces.		Civil Rights, Health, Human Services, Unknown, Women, Womens Rights				
Corporacion Para Restauracion Teatro Oliver	http://		EIN 66-0421941	Po Box 141598	Arecibo	PR	00614	USA			Arts & Culture, Theater				
Coai Inc	http://		EIN 66-0481897	Po Box 8634	San Juan	PR	00910	USA			Community Service Clubs				
Rose Of Sharon Foundation Inc	http://		EIN 66-0255362	PO Box 366237	San Juan		00936								
Puerto Rico Deaf Missions	http://		EIN 66-0423326	PO Box 7423	Ponce		00732				Christianity, Religion				
Comite Olimpico De Puerto Rico Inc Old Naval Base San Juan	http://		EIN 66-0319546	Po Box 9020008	San Juan	PR	00902	USA	To approve and to certify the olimpic delegations in Puerto Rico, on olimpics and regionals tournaments, and also to promote the organized amateurs sport disciplines through their affiliated federations, by providing financial help to the athletes and their federations.						
Museo De Arte De Puerto Rico Inc	http://www.mapr.org	(787) 977-6277	EIN 66-0537284	299 Ave De Diego	San Juan	PR	00909	USA	Operating an art museum that promotes the knowledge and appreciation of the visual arts in puerto rico.		Art Museums, Arts & Culture				Education & public programsthe education and public programs department fosters formal and informal learning experiences, based on the mapr's permanent collection. Through their programs they encourage the discovery of the aesthetic, historical, social and cultural values of the permanent collection of the museo de arte de puerto rico and its may temporary exhibitions. The department develops public programs and interpretive strategies in tune with the needs and interests of our diverse audiences. Also, develop curriculum-based programs and activities for prek-12 students to support their academic achievement and foster 21st century skills.   exhibitions, research and conservation:this department is responsible for promoting the knowledge and appreciation of the arts through exhibitions featured by the museum. This department is the guardian of the artwork and takes care of its conservation and preservation for future generations.   auxiliary enterprisesmembership and sponsorship activities to maintain the operation of the museum, that includes the maintenance of the facilities, including utilities, which are essential to keep in optimum condition the facility that houses the art collection.
Ryder Assisted Care Iii Inc	http://	(787) 852-2798	EIN 66-0550405	Po Box 859	Humacao	PR	00792	USA	The entity operates a 20-unit apartment project for people with disabilities.		Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors				The program operates a 20-unit apartment project for the elderly located in humacao, puerto rico. The company is operated under section 811 of the national housing and urban development (hud) with respect to rental charges and operating methods. During the year the average percentage of occupancy was 97. 50%.
Madrinas Y Padrinos De Cidra Inc	http://		EIN 66-0550151	13 Calle Palmer	Cidra	PR	00739	USA			Cancer				
Fundacion Especial De Recursos Pro Ninos Con Inpedimentos	http://		EIN 66-0492505	2000 Carr 8177 Ste 26 Pmb 483	Guaynabo	PR	00966	USA			Health, Health Support				
Comision Pro-Sede Olimpiadas 2004 Inc	http://		EIN 66-0442647	PO Box 2004	San Juan		00960				Amateur Sports Competitions, Sports				
Corporacion Desarrolladora De Viviendas Bdas Israel-Bitumul Inc	http://		EIN 66-0503788	243 Calle Paris Ste 1845	San Juan	PR	00917	USA			Homeless & Housing, Housing Development, Construction & Management				
Fundacion Luis Munoz Marin Inc	http://		EIN 66-0385902	Rr 2 Box 5	San Juan	PR	00926	USA							
Casa De La Bondad Inc	http://		EIN 66-0502690	Po Box 8999	Humacao	PR	00792	USA	ASSISTANCE TO BATTERED WOMEN & THEIR CHILDREN		Domestic Violence, Family Violence Shelters, Homeless & Housing				
Educational Center For The Blind And The Handicapped Of Puerto Rico	http://		EIN 66-0486064	30 Washington St Ste 5-n	Santurce	PR	00907	USA			Arts & Culture, Printing & Publishing				
Museo De Arte Contemporaneo De Puerto Rico Inc	http://		EIN 66-0420190	Po Box 362377	San Juan	PR	00936	USA							
Head Start Program Iglesia De Dios Pentecostal Mi Region De Puerto	http://		EIN 66-0412206	Hc 2 Box 5795	Morovis		00687								
Rio Grande Community Health Center Inc	http://		EIN 66-0493939	P.O. Box 786	Rio Grande		00745				Community Clinics, Health				
Hermanos Carmelitas Teresas De San Jose Inc	http://		EIN 66-0488810	Po Box 868	Canovanas	PR	00729	USA			Human Services, Residential Care & Adult Day Programs				
Ymca Of Ponce	http://ymcaponce.org/	(787) 843-1870	EIN 66-0204831	7843 Calle Nazaret	Ponce	PR	00717	USA	To put christian principles into practice through programs that build healthy spirit, mind and body for all.		Human Services, Physical Fitness & Community Recreational Facilities, Sports, Young Mens or Womens Associations				Sports and recreational: the following sports are offered around the year: swimming, basketball,volleyball, and tae kwon do. The objective is that the children develop new skills and engage in positive activities on their free time. The mission is to emphatize teamwork and cooperation over winning at any cost.   child care: this program attends children between the ages of 3 to 5 years. It is designed to care for the children while teaching them basic motor skills. The objective of this program is to give the best high quality care to children so parents can have peace of mind while they work to help their families succeed.   summer camp: the following sports are offered to kids and teens during the months of june and july: basketball, swimming, arts and crafts, modeling and special activities. The objective is that the children develop good values while building new skills, and making new friends. The summer camp is offered as a day camp during two sessions, one in june and another in july.
Messianic Church For Divine Law And Christian Science Inc	http://		EIN 36-3760877	Po Box 19887	San Juan	PR	00910	USA							
Universidad Politecnica De Puerto Rico Inc	http://	(787) 622-8000	EIN 66-0362666	Po Box 192017	San Juan	PR	00919	USA	The university is a private, non-profit, educational		Education, Universities				College's provision of higher education to students under degree programs.
Iglesia El Buen Pastor Asambleas De Dios Inc	http://		EIN 66-0542490	Hc 01 Box 6950	Bajadero	PR	00616	USA							
Liceo De Arte Y Tecnologia Inc	http://		EIN 66-0322759	405 Ave Ponce De Leon	Hato Rey		00917		EDUCATIONAL ACTIVITIES		Education, Vocational & Technical Schools				
Fundacion Dida De Puerto Rico In	http://		EIN 66-0438462	PO Box 364842	San Juan		00936				AIDS, Health				
HOPE FOUNDATION TRUST NEPAL	http://	9841532196	EIN 	TUPCHE-4,NUWAKOT,NEPAL	Trishuli		00977	Nepal	CHURCH MISSION & SOCIAL DEVELOPMENT PROJECT MISSION	NEPAL					COMMUNITY DEVELOPMENT
Camuy Health Services Inc	http://		EIN 66-0428652	Po Box 660	Camuy	PR	00627	USA	PROVIDES SERVICES TO LOW-INCOME FAMILIES AND MEDICALLY UNDERSERVED INDIGENT POPULATION IN THE MUNICIPALITY OF CAMUY, PUERTO RICO.						
Iglesia Carismatica Rios De Agua Viva Inc	http://		EIN 66-0407923	Calle Estrella Bda Sandin	Vega Baja	PR	00694	USA							
Instituto De Education Universal, Inc.	http://		EIN 66-0384887	PO Box 191209	San Juan		00919				Education, Educational Services				
Centro De Adultos Y Ninos Con Impedimentos Inc	http://	(787) 830-8365	EIN 66-0443137	133 Calle Dr Gonzalez	Isabela	PR	00662	USA	The company is engaged to provide physical, occupational, speech and psychological therapy and treatment to handicapped adults and children		Children & Youth, Children & Youth Services				Provide physical, occupational, speech and psychological therapy and treatment to handicapped adults and children
Iglesia Carismatica Pastillo Canas Inc	http://		EIN 66-0453740	Calle Librado Net 26 Pastillo Canas	Ponce	PR	00731	USA							
Palmas Academy Inc	http://		EIN 66-0486893	10 Academy Dr	Humacao	PR	00791	USA							
Universal Technology College Of Pr Inc	http://		EIN 66-0439432	Po Box 1955	Aguadilla	PR	00605	USA			Education, Vocational & Technical Schools				
Ann Wigmore Natural Health Institute Inc	http://annwigmore.org/espanol.html	(787) 868-6307	EIN 66-0473469	Po Box 429	Rincon	PR	00677	USA	The mission of the ann wigmore natural health institute is to promote self-healing through the living foods lifestyle.						The mission of the annwigmore natural health institute is to promote self-healing through the living a lifestyle with healthy foods.
Sociedad Biblica De Puerto Rico E Islas Virgenes Inc	http://		EIN 66-0330313	Po Box 21095	San Juan	PR	00928	USA							
Casa Joven Del Caribe Inc	http://		EIN 66-0508652	Po Box 694	Dorado	PR	00646	USA			Family Services for Adolescent Parents				
Maranatha Civil Emergency Life Support Group & Communication Inc	http://		EIN 66-0466344	Po Box 8735	Humacao	PR	00792	USA			Emergency Medical Services & Transport, Health				
Asociacion Educativa Pro-Desarrollo Humano De Culebra Inc	http://		EIN 66-0421458	Po Box 477	Culebra	PR	00775	USA			Human Service Organizations, Human Services				
Iglesia Evan Mis Fe Y Obra	http://		EIN 31-1624711	Po Box 9458	Arecibo	PR	00613	USA							
Phi Theta Kappa Society	http://		EIN 58-2134358	PO Box 21373	Pio Piedras		00928								
Ceiba Housing And Economic Development Corporation	http://		EIN 66-0429983	Po Box 203	Ceiba	PR	00735	USA	Promote economic and housing development, assist low-income families in the repair and rehabilitation of their houses and purchase repossesed houses In the inventory of government agencies in order to sell them to low-income families.						
Altergarten Las Teresas Ii Inc	http://		EIN 66-0398625	Po Box 29598	San Juan	PR	00929	USA							
Puerto Rico Cancer And Health Foundation Inc	http://		EIN 66-0191841	Po Box 336780	Ponce	PR	00733	USA			Health, Specialty Hospitals				
Prensa Comunitaria Inc	http://		EIN 66-0645080	608 Barbosa Ave Hato Rey	San Juan		00916				Arts & Culture, Printing & Publishing				
Centro De Servicios Primarios De	http://	(787) 839-4320	EIN 66-0430826	Po Box 697	Patillas	PR	00723	USA	To provide primary ambulatory, supplemental and enviromental health services to the medically underserved residents around the municipality of patillas.						Community health services  pharmacy
Programa De Apoyo Y Enlace Comunitario	http://		EIN 66-0528378	Po Box 1017	Aguada	PR	00602	USA			Human Service Organizations, Human Services				
Fundacion De Becas Para Estudios De Hosteleria & Turismo Inc	http://		EIN 66-0514191	Po Box 360136	San Juan	PR	00936	USA			Education, Scholarships, Scholarships & Student Financial Aid				
San Jorge Childrens Foundation Inc	http://		EIN 66-0531105	Po Box 6719	San Juan	PR	00914	USA	The mission of the foundation is to provide excellent medical/surgical services and treatments to low income children, thereby providing them with a better quality of life, ie: Cleft lip and palate repair.		Health, Health Care				
Pueblo De Dios Jesus Senor Y Rey	http://		EIN 66-0498030	Hc 8 Box 38835	Caguas	PR	00725	USA			Christianity, Religion				
Ciudad Mistica Inc	http://	(787) 873-3434	EIN 66-0543082	Po Box 474	Sabana Grande	PR	00637	USA	Cultural and tourist activities		Community & Neighborhood Development, Economic Development				Ciudad mistica, inc. Is a project to improve our society through the encounter with nature, sublime and beauty, helping to combat the addictions and other bad habits that affect society, with and ultimate goal of increasing the values of the human being.
Dorado Community Church	http://		EIN 66-0376657	Po Box 827	Dorado	PR	00646	USA							
Fundacion Dar Inc	http://		EIN 66-0450481	Po Box 360648	San Juan	PR	00936	USA			Emergency Assistance, Human Services				
Comite Caborrojenos Pro Salud Y Ambiente Inc	http://		EIN 66-0522895	Po Box 1789	Cabo Rojo	PR	00623	USA			Arts & Culture, History Museums				
Casa Protegida Julia De	http://www.casajulia.org	(787) 723-3500	EIN 66-0387659	Po Box 362433	San Juan	PR	00936	USA	To provide protection protection, support to victims of domestic violence, helping them in their self-sufficient, self-independendence and to promote a free society where respect and equal opprtunities prevail.		Domestic Violence, Family Violence Shelters, Homeless & Housing				Shelters - to provide domestic violence victims % their children a secured place where they receive support, orientation & advisory, individual and group therapy, medical & physiological service, transportation, food & clothing, cultural & recreational activities and others. The institution served approximately 100 participants and 110 children on this program.   transitional housing and children
Civil Air Patrol	http://www.capnhq.gov/		EIN 58-1780743	Urb Mabu Calle 3-D-20	Humacao		00791		For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.						
Centro De Ayuda Y Terapia Al Nino Con Impedimento Inc	http://		EIN 66-0479321	140 Calle Monsenor Jose Torres	Moca	PR	00676	USA			Health, Rehabilitative Care				
Mycological Society Of America The	http://www.msafungi.org	(787) 743-7979	EIN 16-6077141	Po Box 3030	Gurabo	PR	00778	USA	Promotion and advancement of science and mycology, which includes as an integral part the creation and distribution of a journal primarily for publication of mycological papers.						Promotion and advancement of science and mycology, which includes as an integral part the creation and distribution of a journal primarily for publication of mycological papers.
Jardin De La Infancia	http://		EIN 66-0553497	85A Bo Palo Seco	Maunabo		00707				Child Day Care, Children & Youth				
Primera Iem De Arecibo	http://		EIN 31-1390720	9a Calle 2	Arecibo	PR	00612	USA							
La Casa De Todos	http://		EIN 66-0425468	Hc 23 Box 6128	Juncos	PR	00777	USA			Domestic Violence, Family Violence Shelters, Homeless & Housing				
Centro De Educacion Integral Soles Del Jardin Inc	http://		EIN 66-0525697	Hc 02 Box 00678	Quebradillas	PR	00678	USA			Education, Preschools				
American Red Cross-Puerto Rico Chapter	http://		EIN 52-7102006	P O Box 9021067	San Juan		00902								
Monteclaro Inc	http://		EIN 66-0552714	Po Box 447	Palmer	PR	00721	USA			Adult Education, Education				
Asociacion De Salud Primaria De Puerto Rico Inc	http://www.saludprimariapr.org	(787) 758-3411	EIN 66-0419912	Edificio Alianza 400 Amrico Mrnda	San Juan	PR	00927	USA	To serve as a liaison, representation, and support to the net of 330 primary care centers in puerto rico in achieving their goals of access to quality primary and preventive health services.						Educational program - educational services to its members, its area seeks to develop and maintain a strong infrastructure and organizational capacity among member health centers through training's, technical assistance, educational events, and other related services. It's also intend to held optimize the professional development of the association staff.   clinical service program - the association supporting health centers in becoming leaders in primary health care and prevention service, and achieve in optimal patient health outcomes through the implementation of innovative programs and the assurance for the highest clinical quality standards.   planning and development - support the association leadership role in the promotion, insertion, and integration of the primary care system in puerto rico promote the vital role of the community health centers, assess and address major health policies impacting primary care and the health status of communities, and support the growth and strengthening of the safety net.   alliance program -
Comite Gericola Regional De Mayagugz Incorporado	http://		EIN 66-0399738	Ave Borinquen 70	Mayaguez	PR	00680	USA			Homeless & Housing, Low-Income & Subsidized Rental Housing				
Housing Development C O R P Toa Baja C D	http://		EIN 66-0540290	Po Box 51511	Toa Baja	PR	00950	USA			Homeless & Housing, Housing Development, Construction & Management				
Pontifical Catholic University Of Puerto Rico	http://www.pucpr.edu	(787) 651-2000	EIN 66-0191965	2250 Blvd Luis A Ferre Aguayo Ste 5	Ponce	PR	00717	USA	The university accomplished their mission through a dynamic educational experience, critical and creative, surrounded by christian friendship and committed to find the answers and solutions to the challenges of the culture, the caribbean, global and puerto rican reality, in a serene and harmonious atmosphere.		Education, Universities				Postsecondary education - the pontifical catholic university of puerto rico is an institution of higher education. Its main purpose is to serve puerto rico as a university and catholic institution. The university aims among other things: provide students with the opportunity to acquire a humanistic-christian formation that will guarantee their presence in society as conscious members of human values in the light of the mystery of christ. Contribute to the preparation of personnel for the world of business in order to help consolidate the economy of the island. Contribute to the christian education of leaders in different professions in accordance with the belief of the roman catholic church. Serve all believers in puerto rico by being an effective help in schools, colleges, seminaries and cultural centers. To serve as guide of catholic culture in this country. Contribute to the preparation of professionals in the field of education to help enrich our education system. (11,727 students)  scholarship programs: to provide the students with special grant-awards like: athletics awards, parroquial awards, cooperative teachers, extended fees, honor students, fatima brother, chorus, religious teaching, seminary students, theater, workshop, adopted schools and various other projects. (2,622 students)
Future Business Leaders Of America Phi Beta Lambda Inc	http://		EIN 23-7157589	Po Box 190759	San Juan	PR	00919	USA							
Centro De Investigaciones Folkloricas De Puerto Rico Inc	http://		EIN 66-0495546	Po Box 334134	Ponce	PR	00733	USA							
Chabad Lubavitch Of Puerto Rico Inc	http://		EIN 66-0564786	5900 Isla Verde Ave L-2 Pmb 122	Carolina	PR	00979	USA			Judaism, Religion				
Proyecto Oasis De Amor Inc	http://		EIN 66-0479883	Zf15 Calle 33 Urb Riverview	Bayamon	PR	00961	USA			Human Service Organizations, Human Services				
Israel Rodriguez Evangelistic Association Inc	http://		EIN 23-7442980	Po Box 41142	Santurce	PR	00940	USA							
Corp Serv Med Prim Y Prev De Hatillo	http://www.csmpr.org	(787) 898-3935	EIN 66-0427194	Po Box 907	Hatillo	PR	00659	USA	The organization operates a comprehhensive primary care program, which provide services to low-income families and medically underserve indigent population in municipallity of hatillo, puerto rico.						The project operates a comprehensive primary care program which provides services to low-income families and medically underserved indigent population, in the municipality of hatillo, puerto rico.
Programa De Educacion Comunal De Entrega Y Servicio Inc	http://		EIN 66-0444454	Po Box 647	Punta Stgo	PR	00741	USA			Human Service Organizations, Human Services				
Mision Evangelica Cristiana De Arecibo Inc	http://		EIN 66-0395527	Po Box 2138	Arecibo	PR	00613	USA			Christianity, Religion				
Musication De Puerto Rico Inc	http://		EIN 66-0566416	Valle Verde Rio Portugese A S3	Bayamon		00961				Arts & Culture, Music				
Hospital De La Concepcion Inc	http://	(787) 892-1860	EIN 66-0227304	Po Box 285	San German	PR	00683	USA	The organization has the mission to provide high quality health care services which satisfy the physical and spiritual needs of the patients, in accordance with the christian moral.						During the year ended december 31, 2014 the organization provided in- patient, out-patient and emergency services primarily to residents of the southwestern area of puerto rico. The organization services consisted of 8,217 admissions, 48,048 patient days and 47,125 emergency visits, among others.
Freedom Chapel	http://		EIN 66-0445158	PO Box 195034	San Juan		00919								
Calvary Evangelistic Mission Inc	http://www.therockradio.org	(787) 724-2727	EIN 66-0449920	1409 Ponce De Leon St 4	San Juan	PR	00907	USA	Ii timothy 2:2 teaching faithful ones to teach others. We are interdenominational, evangelical, bible-based,non-profit faith mission.		Protestant, Religion				The radio network operates 24 hours a day on missionary radio stations wivv am-1370 from vieques island (coverage area eastern pr, the virgin and leeward islands, population some 770,000); wbmj am-1190 from san juan (coverage area central pr and san juan metroplexes, population some 2 million); wcgb am-1060 from juana diaz (coverage area ponce and southern pr, population some 1 million); and streams on the internet at www. Therockradio. Org. Our programming is educational religious, with a strong emphasis on the teaching of moral values for the betterment of society. We broadcast in both english and spanish, the two main languages of our coverage areas.   the bible correspondence school of the caribbean has reached over 26,869 students in 73 countries. There are 17 courses, 5 are children's courses for ages 3-15 and 12 are adult bible courses. All are available in english & spanish. In 2014 we had 1,138 active students in 27 countries. We have upgraded (adding color & illustrations) to our lessons, this adds to the cost of printing. Postage rates have gone up & 34% of our students are from outside the u. S.   headquarters provide for the studios of three radio stations wivv 1370 am, wbmj 1190 am, wcgb 1060 am, the bible correspondence school, all programming facilities, studios, administrative offices, engineering, storage and housing for volunteers and staff.
Bills Kitchen Inc	http://		EIN 66-0493399	Po Box 195678	San Juan	PR	00919	USA			Emergency Assistance, Human Services				
Puerto Rico Community Network For Clinical Research On Aids	http://	(787) 773-0464	EIN 66-0466365	Po Box 20850	San Juan	PR	00928	USA	Early intervention and primary clinic, dental care clinic, mental health, hiv antibody testing, medicine provision, medical care management and referrals, substance abuse, nutrition & social work.		Birth Defects & Genetic Diseases Research, Health				Clinical service program  youth and adolecent program  dental program
Colegio Univeristario Bautista De Puerto Rico	http://www.prbc.edu	(787) 780-2096	EIN 66-0380485	Po Box 403	Bayamon	PR	00960	USA	To provide a college education to students						Provided college education to approximately 30 students, including dormitory accomodations.
Iglesia Pueblo De Dios Pentecostal	http://		EIN 66-0549327	Po Box 7635	San Juan	PR	00916	USA							
Reform Jewish Congregation Of Puerto Rico Inc	http://		EIN 66-0397906	101 Calle San Jorge	San Juan	PR	00911	USA							
Puerto Rico Legal Services Incorporated	http://		EIN 66-0265391	Po Box 9134	San Juan	PR	00908	USA	Provide legal assistance in non-criminal proceedings or matters, as allowed by the program federal regulations, to qualifying financially disabled program participants who can not afford private legal assistance.						
Pare Este Inc	http://		EIN 66-0530975	Po Box 928	Fajardo	PR	00738	USA			Animal Protection & Welfare, Animals				
Centro De Salud De Lares Inc	http://		EIN 66-0426506	Po Box 379	Lares	PR	00669	USA			Community Clinics, Health				
Coro De Ninos De San Juan	http://		EIN 66-0346216	Po Box 19049	San Juan	PR	00910	USA			Arts & Culture, Performing Arts Schools				
Corporacion Para El Desarrollo De La Vivienda De Bayamon Cd	http://		EIN 66-0490822	Po Box 6309	Bayamon	PR	00960	USA			Homeless & Housing, Housing Development, Construction & Management				
Padmasambhava Buddhist Center Of Puerto Rico	http://		EIN 22-3275938	1453 Alfonso Ave	Altamira Rio Piedros	PR	00921	USA							
Museo De Las Americas Inc	http://		EIN 66-0492056	Po Box 9023634	San Juan	PR	00902	USA							
Iglesia Cahismatica Cristiana Monte Santo De Sion Inc	http://		EIN 66-0528531	Hc 01 Box 10054	Hatillo	PR	00659	USA							
Aspira Inc De Puerto Rico	http://		EIN 66-0276355	Po Box 29132	Rio Piedras	PR	00929	USA							
Servicios De Salud Primarios De	http://	(787) 846-4412	EIN 66-0426667	Po Box 2045	Barceloneta	PR	00617	USA	Created as a primary health services community center, to provide mainly primary and preventive health services with excellence by means of effective management, quality improvement strategies following the needs of the community served with emphasis in the promotion of healthy lifestyles in a risk free an professional enviroment.						Medical and dental services: we provide ambulatory medical services during working hours (8:00am-4:30pm) and emergency services 24 hours a day 7 days a week. Services are provided to all patients including the uninsured population applying a "sliding fee" discount schedule based on the level of income.   pharmacy - the pharmacy is open 5 days a week from 8:00am - 4:30pm. Pharmacy service provide to 95% of patients. The pharmacy is a participant of the drug pricing program (340b) of the public health services activities.   ancillary services - these services include laboratory, x-rays, nutritionist, health educator and social works services are provided during working hours from 8:00am to 4:30pm.
Lucha Contra El Sida Inc	http://	(787) 294-1531	EIN 66-0514937	Po Box 8479	San Juan	PR	00910	USA	To provide assistance, benefits and a positive social change to hiv/aids patients, benefit the homeless individuals and low-income families by providing medical, nutritional, daycare and temporary or permanent housing programs and support.		Homeless & Housing, Housing Development, Construction & Management				Housing, treatment & rehabilitation programs to hiv/aids patients, homeless individuals and low-income families.
Jewish Community Center Of Puerto Rico	http://		EIN 66-0238586	903 Ave Ponce De Leon	San Juan	PR	00907	USA							
Second Harvest Of Puerto Rico Inc	http://		EIN 66-0444882	Po Box 2989	Bayamon	PR	00960	USA			Food, Food Programs				
Youth Experiencing Success Inc	http://		EIN 66-0507050	Hc 4 Box 46364	Aguadilla		00603				Religion, Religion-Related				
Junta De Residentes Del Residencial La Alhambra, Inc.	http://		EIN 66-0548817	Bldg 6 Apt 65 La Alhambra	Bayamon		00961				Human Service Organizations, Human Services				
Caribbean Environment And Development Institute	http://		EIN 52-1784480	Po Box 363507	San Juan	PR	00936	USA			Environment, Water, Water Resources, Wetlands Conservation & Management				
Make A Difference Foundation Pr Inc	http://		EIN 66-0829593	Po Box 29186	San Juan	PR	00929	USA			Federated Giving Programs, Philanthropy				
Iglesia Cristiana Restauradores	http://		EIN 66-0508256	Po Box 634	Moca	PR	00676	USA							
Save A Gato Inc	http://		EIN 66-0550555	Po Box 9021227	San Juan	PR	00902	USA			Animal Protection & Welfare, Animals				
Time Community Business And Development Corporation	http://		EIN 66-0528107	Po Box 32113	Ponce	PR	00732	USA			Homeless & Housing, Housing Support				
Iglesia Evangelica Misionera De Dios	http://		EIN 31-1624712	PO Box 1368	Aguada		00602								
Iglesia Bautista Bethel De P R	http://		EIN 66-0490287	Po Box 1603	Canovanas	PR	00729	USA			Christianity, Religion				
Centro Margarita Inc	http://		EIN 66-0366245	Rr 3 Box 7260	Cidra	PR	00739	USA	SERVICES TO HANDICAPPED CHILDREN IN PR		Centers to Support the Independence of Specific Populations, Human Services				
American Chemical Society	http://		EIN 98-6001933	PO Box 23346	San Juan		00931								
Teatro De La Comedia Inc	http://		EIN 66-0428560	721 Hdez St Apt G-15 Ste G-15	Santurce	PR	00907	USA			Arts & Culture, Theater				
Neomed Center Inc	http://		EIN 66-0485440	Po Box 1277	Gurabo	PR	00778	USA							
Iglesia Misionera Shalom Y Charis	http://		EIN 66-0572059	Po Box 4985 Msc 101	Caguas	PR	00726	USA							
Baldwin School Of Puerto Rico Inc	http://		EIN 66-0272821	Po Box 1827	Bayamon	PR	00960	USA			Education, Elementary & Secondary Schools, Literacy				
Liga Estudiantes De Arte De San Juan Inc P O Box 5181	http://		EIN 66-0354449	Po Box 9023804	San Juan	PR	00902	USA			Arts & Culture, Arts Education				
Silo Mision Cristiana Inc	http://		EIN 66-0326790	Po Box 1781	Vega Baja	PR	00694	USA							
Institute Of Industrial Engineers Inc	http://		EIN 23-7093451	Calle 15 0-17 Vista Azul	Arecibo		00612								
Estancia Corazon Inc	http://www.estanciacorazon.org	787-831-5095	EIN 66-0479184	Rd #2 Detras del  Centro Medico de Mayaguez Casa de Salud, 4to. Piso	Mayaguez	PR	00680	USA	The Mission of Estancia Corazon, Inc., its work team and volunteers is to:  Respond to the duty that each member of the community has of helping to improve the quality of life of the disadvantaged, needy or ill, by giving importance to human dignity, promoting respect and self sufficiency, and serving as an example, a model of justice, social awareness and compromise.	Western Area of Puerto Rico and San Juan Metropolitan Area	Centers to Support the Independence of Specific Populations, Human Services				
Oblatas Del Santisimo Redentor Inc Bo Cerro Gordo Bayamon Pr 00619	http://		EIN 66-0319405	Po Box 4228	Bayamon	PR	00958	USA	helps abused girls, offering them the basic needs		Child Abuse Prevention, Crime & Law, Domestic Violence				
Colegio Nuestra Sra Del Rosario Hato Tejas	http://		EIN 66-0388811	Aa7 Calle 5	Bayamon	PR	00959	USA							
The Vieques Conservation And Historical Trust Inc	http://		EIN 66-0429598	Bo Esperanza 138 Calle Flamboyan	Vieques	PR	00765	USA							
Christo Victorioso	http://		EIN 66-0445686	Parcelas Amadeo 49 Carretera 670	Vega Baja	PR	00693	USA							
Sociedad Iglesia Missionera International	http://		EIN 66-0407147	Po Box 125	Fajardo	PR	00738	USA							
FUNDACION NACIONAL PARA LA CULTURA POPULAR	http://		EIN 66-0538915	PO Box 9023971	San Juan		00902				Arts & Culture, Cultural & Ethnic Awareness				
Boys & Girls Clubs Of Puerto Rico Inc	http://		EIN 66-0327584	Po Box 79526	Carolina	PR	00984	USA							
Hospital Sin Paredes Inc	http://		EIN 66-0353061	PO Box 192015	San Juan		00919				Health, Nursing				
Teatro Del 60 Inc	http://		EIN 66-0375790	Po Box 30727	San Juan	PR	00929	USA			Arts & Culture, Theater				
UNIDOS POR LOS ANIMALES, INC.	http://	305-816-9178 / 7	EIN 	Urb Hacienda San Jose Ve 263, calle Campina PMB 3070 PO BOX 4952	Caguas	PR	00726	USA	Our Mission is to protect those less afortunate and abandoned animals, to provide the necessary medical care , food,shelter until we find,  until we can find a lovely home for them .  To educate the citizens onhow to treat and give them the appropiate care. We also let them know the importance  of sterilization and to vaccinate and keep them current .	In PR  where and when ever they need us,  most areas served are Caguas , Cayey, Guayama, San Juan, Salinas.... n					
Paralyzed Veterans Of America Puerto Rico Chapter	http://		EIN 66-0346980	Urb Country Club Calle Lucas 812 Mo	San Juan	PR	00924	USA							
Friends Of Culebra Animals Inc	http://		EIN 66-0760257	Po Box 527	Culebra	PR	00775	USA			Animal Protection & Welfare, Animals				
University Of Puerto Rico School Of Law Trust	http://		EIN 66-6012387	Po Box 23349	San Juan	PR	00931	USA	FOR THE PURPOSE OF PROMOTING THE ADVANCEMENT OF THE HIGHEST EXCELLENCE IN LEGAL EDUCATION.		International, International Development				
Puerto Rican Center For Lifelong Studies	http://		EIN 66-0376373	Ave Hostos 190 Cond Monte Sur Ap339	San Juan		00918								
Church Of Scientology Of Puerto Rico	http://		EIN 66-0438770	31-35 Ave Main	Bayamon	PR	00959	USA							
Iglesia Asambleas De Dios Siloe	http://		EIN 66-0468712	Po Box 428	Barceloneta	PR	00617	USA							
National Image Inc	http://		EIN 93-1227361	Avda Mexico C	Guayrabo		00690								
