name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Direct beneficiaries per year	Target demographics	Geographic areas served	HandReach works at three levels:	Individuals:	Institutions:	Society:	TO	GirlsEyeView	Get Up Get Down	Video Vanguards
Olancho Aid Foundation Inc	http://www.olanchoaid.org/en	1 (781) 423 3701	EIN 26-1979098	PO BOX 15	Rockland	MA	02370	USA	Education, Elementary & Secondary Schools, Literacy	The Olancho Aid Foundation, Inc. is a 501(c)3 Nonprofit, faith-based organization that empowers Honduran youth to transform themselves, their communities and their country through education. From special needs to bilingual classrooms, our team of international volunteers and Hondurans are dedicated to breaking the cycle of poverty by providing an environment that stimulates intellectual and spiritual growth and fosters independent thinking.	Escuela Nazareth - Especial Ed. Escuela Santa Clara - Elementary Bilingual Education Instituto Santa Clara - Bilingual High School Instituto Cardenal - Monolingual High School Solidarity Projects - Help Public Schools, families etc		586	Special needs, low income and middle class students from  4 - 30 years old  in Juticalpa, Olancho Honduras	Juticalpa, Olancho. Honduras								
Christopher's Haven	http://www.christophershaven.org	857 233 4178	EIN 04-3582395	1 Emerson Place, Apt. 2N	Boston	MA	02114	USA	Cancer, Family Services, Homeless & Housing, Human Services, Residential Care & Adult Day Programs, Temporary Housing	Christopher's Haven aims to make a tangible difference in the life of a child and his/her family being treated for cancer at the MassGeneral Hospital by providing a comfortable, fully furnished and equipped apartment during the average 6-8 weeks of outpatient cancer treatment. Christopher's Haven offers a warm and supportive community for both kids and caregivers.	Provided temporary housing for pediatric cancer patients and their families as they undergo medical treatment.	Since opening the first apartment in 2006, we have acquired 7 residential units and a community space for families. 2010 was the first year in full operation. We hosted 50 families in that year. Since opening, we have hosted over 200 families.	Direct benefiaries are the children and their families who are being treated at MassGeneral Hospital for cancer. Christopher's Haven enables families to focus on their child's treatment and not worry about where to stay and how to afford living in an expensive city.	Providing affordable and comfortable housing for children receiving outpatient cancer treatment and their families.	United States, International								
GROUNDWORK LAWRENCE INC	http://www.groundworklawrence.org	978-974-0770	EIN 04-3546770	60 Island Street	Lawrence	MA	01840	USA	Children & Youth, Community & Neighborhood Development, Economic Development, Environment, Urban & Community Economic Development, Youth Development Programs	Groundwork Lawrence, Inc. a 501(c)3 non-profit organization, has been making change happen in Lawrence, Massachusetts since 2001. Through its environmental and open space improvements, community food programs, youth education and employment initiatives, and community programming and events, Groundwork Lawrence creates the building blocks of a healthy community, and empowers Lawrence residents to improve their quality of life. Groundwork Lawrence achieves results by engaging the whole community  residents, non-profit organizations, city government and businesses  in the planning and realization of its projects. With this collaborative approach, Groundwork ensures that all stakeholders are mutually invested in its outcomes, the key to stable neighborhoods and sustainable change.  Groundworks mission and operations are premised on the understanding that environmental conditions are inextricably linked to the economic and social health of a neighborhood. As a consequence, Groundwork is committed to changing places and changing lives through on-the-ground projects that help to transform local communities. To accomplish this, Groundwork leads and supports a variety of partnership-driven efforts that bring together the public, private and non-profit sectors to solve complex environmental problems and sustain a long-term vision for neighborhood change and renewal.  The formal mission of the organization is to bring about the sustained regeneration, improvement and management of the physical environment by developing community-based partnerships which empower people, businesses and organizations to promote environmental, economic and social well-being.   Our projects and programs are designed to:     Increase Opportunities for Physical Activity through the development of parks, trails and recreational facilities that are safe, welcoming and accessible to all;     Increase Access to Healthy Food by creating a citywide network of community and schoolyard gardens, managing the Lawrence Downtown Farmers Market and expanding access to community-supported agriculture;      Improve the Quality of Our Air, Water and Land through brownfield redevelopment, volunteer cleanups, tree planting, and integration of low-impact development techniques;      Support Biodiversity by implementing habitat enhancement and restoration projects;      Reduce Energy Consumption through the development of pedestrian-friendly neighborhoods and the use of locally-sourced and recycled materials for project construction.      Prepare young people to be positive role models and future leaders in their community.	Environmental improvements - working to make greater lawrence a cleaner, greener healthier place to live. Its environmental improvement projects focus on making underutilized outdoor spaces safe, accessible and attractive. Gwl projects transform vacant and often contaminated open spaces into parks, playgrounds, gardens, wooded trails and pathways, promoting healthy pursuits like walking, running, cycling and gardening.   fresh food access - increasing access to high-quality fresh produce, enabling residents to make health food choices for themselves and their families. Groundwork's community food programs combine fresh food access with education in an effort to reduce the city's disproportionately high rates of diet-related disease.   education & job training - developing a new generation of environmentally engage leaders and employable residents to strengthen an expanding green economy by providing opportunities from crayons to careers.				Lawrence, MA								
Board Of Trustees Of The Congregation Bnai Israel Endowment	http://		EIN 51-0184258	253 Prospect St	Northampton	MA	01060	USA															
Farm Education Inc	http://mooninthepond.org	413-229-3092	EIN 13-4364165	816 Barnum St	Sheffield	MA	01257	USA	Adult Education, Children & Youth, Education, Elementary & Secondary Schools, Literacy, Vocational & Technical Schools, Youth Development - Agricultural	Moon In The Pond Farm and Farm Educations mission is to reconnect modern culture to its necessary and fundamental relationship to nature; to teach the value and cultural necessity of sustainable farming, and vital, rural, agricultural communities; and to train and educate the next generation of farmers about sustainable food production and community building.		Just a few Moon In The Pond alums. Open Gate Farm in Earlysville, VA is the farm of Tom Ward (MITP 2001-2003).  He named his farm as a nod to MITPs program and policy of the same name.  Tom and his wife describe their educational farm like this: We enjoy providing access to a small farm that raises chickens, pigs, goats, turkeys, ducks, cows and produce.  We especially want children to experience the connection to their food source, and to have fun doing it.  We practice farming in a way that sustains environmental systems.  We're eager to teach and learn about how farms can provide food that is clean, safe, and nutritious and doesn't harm the earth in its production.    North Plain Farm and Blue Hill Farm are the two enterprises of Sean Stanton (MITP 2002) in Great Barrington, MA.  Sean worked and learned at MITP right after finishing his service in the US Coast Guard.  North Plain and Blue Hill are ca. 150 acres, where Sean runs a small 20 cow raw milk dairy, raises 30-100 pasture/woodland raised hogs, 600 laying hens and grows thousands of pounds heirloom tomatoes and other produce.  While Sean actively sells at the Great Barrington Farmers Market, most of his produce goes to the famous Blue Hill Restaurants in NYC and Tarrytown, NY.  Remembering his roots at MITP, Sean honors his early on-farm learning by employing 4-6 farm interns per year.    Rich Ciotola (2005-2008) extended his apprenticeship into 3 years!  When he left MITP, he was already settled into the Berkshires as a committed farmer.  Rich worked, volunteered, bartered, and participated in any way that he could in local Berkshire farming activities post MITP.  That included work at Twin Oaks Dairy (Paul Paisley) , the Wilcox Farm, North Plain Farm, Farm Girl Farm, and Barnum Hill Farm to name a few. Foggy River Farm is the vegetable growing operation, established ca. 2010, that grows and distributes corn (for polenta), potatoes, beans, sunflowers, assorted vegetables and winter squash to local south county restaurants.  Farmer Rich, as hes come to be known, is recognized as a rock in the foundation of the new southern Berkshire farm to table movement.   Jeff Backer (MITP 2008-2010) found two loves of his life at MITP.  After extending his yearlong apprenticeship by 3 months and then apprenticing at Natural Roots, a horse-powered farm, for a year, he established his own farm outside Worchester on Grafton Land Trust land.  Potter Hill Farm raises grass-fed beef and heritage breed pork and grows only heirloom vegetables making a significant contribution to their conservation.  Narragansett White Cap Flint Corn is now grown in Grafton and in the Berkshires, as result of Jeffs efforts.  Jeff also met Carolyn at MITP  Carolyn Hurwitz (2009) was a summer intern at MITP the year that Jeff was a full-year apprentice.  While working a grueling farm-summer schedule and falling in love with Jeff, Carolyn studied for and took the GRE and was accepted to Tufts Veterinary Colleg											
Tapestry Health Systems Inc	http://www.tapestryhealth.org	(413) 586-2016	EIN 23-7303142	296 Nonotuck St Ste 2	Florence	MA	01062	USA	AIDS, Family Planning, Health, Reproductive Health Care, Reproductive Rights	To address immediate health needs and long-term wellness of individuals, families and communities and to provide advocacy and services to all people.	Health services: tapestry health has provided state and federally-funded reproductive health services for more than 40 years in the western region of massachusetts. The agency provides comprehensive reproductive health care to more than 10,000 people each year. The majority of these people are female (73%); most are young with 72% of the people served being aged 29 or less; and nearly all are economically disadvantaged with 92% of the people served living below 200% of the federal poverty guidelines.   women, infants & children (wic): more than 6,000 residents are served by tapestry health's springfield north wic program, a majority of whom are members of the regions sizeable latina/latino community. The services offered include outreach, nutrition education, nutrition assessments, nutritional supplements, and access to healthy foods available at community grocery stores and farmers' markets.   hiv/aids services: tapestry health's hiv/aids services division includes harm reduction services, a prevention and education program that has served injection drug users since 1992; la voz, an hiv prevention and substance abuse treatment program that has serviced latino substance abuse users since 2002; the mobile health initiative, a van-based hiv prevention and substance abuse treatment program that has served latino substance users since 2006; the men's health project, an outreach project that has served men who have sex with men throughout western massachusetts since 1992; the hiv counseling, testing and referral program, provided at multiple sites throughout hampden, franklin and hampshire counties since 1990; and hiv client services, a case management program serving people living with hiv/aids.												
May Institute	http://www.mayinstitute.org	(781) 440-0400	EIN 04-2197449	41 Pacella Park Dr	Randolph	MA	02368	USA	Autism, Developmentally Disabled Centers, Disabilities, Education, Health, Mental Health, Mental Health Treatment, Special Education	May Institute proudly serves individuals across the lifespan with autism, developmental disabilities, intellectual disabilities, neurological disorders, behavior disorders, and mental illness to promote independence, choice, dignity, and respect. We provide compassionate and caring educational, therapeutic, habilitative, and consulting services grounded in evidence-based practice.  May Institute is committed to excellence in specialized services through training, research, and the highest level of professional expertise to meet the broad range of needs in individuals, families, schools, and communities.	May centers for adult services offer a wide range of community-based services for adults with autism and other developmental disabilities in massachusetts and florida. These services include residential group homes and supported living apartments, as well as day programming, vocational training, and supported employment. Dedicated, experienced staff are committed to providing respectful, effective, and supportive services within community settings. The centers include the following services:may institute provides community-based residential services in more than 120 residential group homes and supported living apartments to adults with disabilities. Staff provide assistance with daily routines, community integration, and behavioral therapies. Services are customized to meet each individual's unique needs. Support ranges from intensive 24-hour supervision to drop-in case management. In florida, we provide specialized residentatial and day programming for adolescents and adults with significant behavioral needs. Many individuals with developmental disabilities require specialized support to achieve community inclusion. Our day habilitation programs provide individualized support to adults with developmental disabilities. These programs combine medical monitoring, including nursing, physical, occupational, and speech therapies, with daily living skills training and active community involvement. Valued community work is critical to overall quality of life for an adult with developmental disabilities. Our employment training and supported employment programs provide comprehensive services, ranging from center-based work skills training to community-based job coaching and support.   may institute is one of the largest providers in the commonwealth of massachusetts of private special education schools specifically serving children, adolescents, and young adults with autism and other developmental disabilities, as well as with brain injury. Our three may centers for child development schools in massachusetts serve students with autism spectrum disorders (asd) and other developmental disabilities. These chapter 766-approved private schools are nationally recognized as leaders in the "best practice" education for children with developmental disabilities. Our students are surrounded by caring, highly trained professionals seeking to improve the quality of life of the students in their care. Our may center for education and neurorehabilitation school in massachusetts serves students with acquired brain injury or neurological disease. This center is one of only a handful of pediatric programs in the u. S. That focus on both education and rehabilitation. All our may centers offer full-day, year-round education. Students receive highly individualized behavioral, academic, and vocational programming. Teachers, therapists, and consultants work with students,combining best practices from the fields of applied behavior analysis (aba) and special education. About half of the students who attended our schools also received residential services through community-based group homes. These services focus on helping children and adolescents strengthen and generalize independent living skills, and are designed in accordance with each child's individualized educational plan. Our highly skilled staff provide 24-hour support and supervision to ensure that each child's unique needs are met.   may counseling centers offer outpatient evaluation, counseling, and therapy to children and adults through three mental health clinics in massachusetts. Our highly trained, multi-disciplinary team of psychiatrists, psychologists, clinical social workers, nurses, and interns provides specialized clinical care. They treat key emotional and behavioral concerns including anxiety disorders, depression, eating disorders, women's issues, and learning difficulties. The professionals at our centers strive to provide the most effective treatment, utilizing clinically proven, goal-oriented interventions and ongoing support. Our services include: comprehensive diagnostic evaluations; individual, couples, and family therapy; specialized program service accomplishments: groups (psycho-educational, therapeutic, and skills training); education evaluations and management; psychological and neuropsychological testing; separation and divorce counseling; and dialectical behavior therapy. May consultation centers in new england, the mid-atlantic, and the southeast offer home, school, and agency consultation for children and adolescents with a broad range of special needs. The centers include the following services:through our home-based consultation and early intervention programs, we help families develop effective strategies to support their children's development in the home and community. These services are designed to help children and adolescents with autism spectrum disorders and a broad range of special needs to improve their skills in a variety of areas. Our early intervention programs specifically serve children from birth through age 3. For public schools seeking to enhance services for students with learning, cognitive, and behavioral challenges, we offer on-site school consultation and professional development training. Our school consultation services are based on the most contemporary "best practice" approaches to assessment, education, and treatment. We carefully tailor our services to the specific needs and concerns of each individual, classroom, school, or district, developing highly individualized recommendations and plans for students. We also provide educators with professional development training and consultation services. As the northeast regional partner to the national technical assistance center on pbis (positive behavioral interventions and supports), established by the u. S. Department ofeducation, we offer technical assistance and consultation to implement school-wide pbis strategies across school systems. These services promote student achievement by improving the school's behavioral climate.												
Sadd Inc	http://www.sadd.org	(508) 481-3568	EIN 04-2764514	201 Boston Post Rd W Ste 202	Marlborough	MA	01752	USA	Children & Youth, Leadership Development, Mental Health, Substance Abuse Prevention, Youth Development - Citizenship	To empower young people to successfully confront the risks and pressures that challenge them in their daily lives.	National awareness - sadd has organized thousands of chapters with the objective of working to end death due to drinking & driving, under- age drinking, drug abuse, and other destructive decisions.   state awareness - funded by the massachusetts, arizona, and ohio governors offices of highway safety with the objective of deterring underage drinking and other destructive decisions.												
Lutheran Social Services of New England, Inc.	http://www.lssne.org	(774) 243-3900	EIN 04-2496563	14 East Worcester Street Suite 300	Worcester	MA	01604	USA	Human Service Organizations	In response to Christ's love, Lutheran Social Services of New England serves and cares for people in need, regardless of their background: religious or ethnic. Since opening an orphanage in 1872 in Roxbury, Massachusetts, LSSNE has been caring for children, youth, adults and the aged through professional, caring programs and services throughout New England. Through its 48 programs, LSSNE serves well over 2400 individuals each day.LSSNE is the social ministry outreach of New England congregations of the Evangelical Lutheran Church in America and the Lutheran Church Missouri Synod.	services for families, children, refugees, young families, and elders..		more than 20,000 individuals.	people and communities	New England								
Colored Pencil Project	http://www.thecoloredpencilproject.org		EIN 26-0825315	PO Box 1499	Boston	MA	02117	USA	Arts & Culture, Arts Education, Cultural & Ethnic Awareness, Gift Distribution, Humanities	The Colored Pencil Project was created to increase the access of art supplies to children in developing countries by distributing art supplies, specifically colored pencils and paper, and providing art curriculum to children in various orphanages, schools and rural villages. Art is extremely important developmentally for children; countless studies have proven that children visualize as a way of understanding things and that they need a way to express their encounter with the world. The Colored Pencil Project believes that art is the perfect way for children to communicate their experiences, fears, and most importantly their dreams. By bringing the dreams belonging to these children back to the United States, in the form of pictures, The Colored Pencil Project hopes to foster global understanding and goodwill.		800 children in South Africa 1000 children in India local workshop initiative reaching children in the Boston area		children in developing countries									
Friends Of Sholan Farms	http://		EIN 04-3584313	Po Box 632	Leominster	MA	01453	USA	Food	Our mission is to be a family oriented, recreational, and educational farm making full use of natural resources with an integrated ecosystem that is practical and environment friendly. Our goal is constant improvement while striving to preserve and protect this diverse property. We desire to be beneficial to the community by bringing people, education, business, and culture to the City of Leominster and surrounding communities in Central Massachusetts													
Attleboro Land Trust Inc	http://www.attleborolandtrust.org		EIN 22-3079902	Po Box 453	Attleboro	MA	02703	USA	Animals, Environment, Land Resources Conservation, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management, Wildlife Preservation & Protection	The Attleboro Land Trust is a non-profit organization that is dedicated to keeping Attleboro green. We currently own and manage eight conservation areas.  Most of our properties have walking trails which are open to the public. All of our properties have been donated by generous citizens for the purpose of preserving open space for current and future generations.													
National Marine Life Center, Inc.	http://www.nmlc.org	508-743-9888	EIN 04-3290276	P.O. Box 269, 120 Main Street 120 Main Street	Buzzards Bay	MA	02532-0269	USA	Animal Protection & Welfare, Animals, Arts & Culture, Environment, Environmental Education, Natural History & Natural Science Museums, Wildlife Preservation & Protection	The National Marine Life Center rehabilitates and releases stranded marine mammals and sea turtles in order to advance science and education in marine wildlife health and conservation.	wildlife rehabilitation, scientific research, and environmental education.	To date, we have cared for 132 endangered turtles and 6 protected seals. We have reached over 43,400 people through our education and outreach program. We have welcomed over 85,900 people to our educational visitors center. We have provided hands-on, experiential learning opportunities to over 375 student interns.		sick and injured marine mammals and sea turtles.	Cape Cod and the Islands, Southeastern Massachusetts, Northeast Region								
Legacy Of Hope Foundation	http://		EIN 04-3563985	PO Box 66	Boston	MA	02132	USA	Education														
Jewish Women's Archive	http://jwa.org	(617) 232-2258	EIN 04-3293188	One Harvard Street, Suite 200	Brookline	MA	02445	USA	Historical Organizations, Judaism, Womens Studies	JWA documents Jewish women's stories, elevates their voices, and inspires them to be agents of change. A national non-profit organization founded in 1995, the Jewish Womens Archive is devoted to making known the stories, struggles, and achievements of Jewish women in North America in order to enrich the way we understand the past and to ensure a more inclusive future. One of the first Jewish organizations to recognize and invest in the potential of the Internet, JWA has amassed the most extensive collection of material anywhere on American Jewish women, which be accessed for free by anyone with an Internet connection anywhere in the world. Its award-winning website, www.jwa.org, gets over 900,000 unique visitors a year and is a destination for people seeking knowledge, a sense of connection and community, and a way to affirm and enhance the legacy of American Jewish women.   JWA.org offers an online Encyclopedia of Jewish women, a lively blog, lesson plans and other educational materials that can be downloaded for free, online exhibits on topics as diverse as Jewish Women and the Feminist Revolution and Katrinas Jewish Voices, several book and film guides, a growing collection of reminiscences of recently deceased Jewish women, a poster series, and numerous other resources for anyone interested in the experiences of American Jewish women, both celebrated and unheralded.    In addition to its website, the Jewish Womens Archive runs a biannual summer Institute for Educators, is the producer of Making Trouble, an acclaimed film about Jewish women comedians that has been screened at over160 film festivals and other venues and is now available on DVD, and sponsors public programs in partnership with other non profit organizations.  Watch our YouTube introduction at http://www.youtube.com/watch?v=Xt9yRAAa4Ro.	In fy 15, we relaunched a redesigned website that improves the user experience, expands our capability to add information to the site, and improves mobile use of the site. We launched our first national cohort of the rising voices fellowship for teenage girls, and grew the number of participants by 50%. Over the past year, we have increased our social media presence by 21%. We also increased participation in our online learning programs by 25% and further developed our presence in the jewish educational communities of the san francisco bay area and new york city through two educator workshops.	Created largest single collection of information on American Jewish women.   Produced Making Trouble, a film about six Jewish women comedians that has been screened at more than 160 film festivals and other venues around the world.  Assembled the largest single repository of data related to the Jewish experience of Hurricane Katrina.   Created Go & Learn; curriculum modules, which have been downloaded over 26,000 times; hosts annual Institute for Educators.  Award-winning website (jwa.org) reaches over 60,000 unique Web visitors each month.  Named one of the 50 most innovative Jewish organizations by Slingshot.	over 1,000,000 unique visitors who visit our website eachyear.										
GREY2K USA Education Fund	http://www.grey2kusaedu.org	781-488-3526	EIN 04-3553133	P.O. Box 122	Arlington	MA	02476	USA	Animal Protection & Welfare, Animal-Related, Animals	The GREY2K USA Education Fund is an all-volunteer 501(c)3 organization dedicated to helping greyhounds.  We work to educate the public about the history and lives of greyhounds, from their origins as royal companions to their exploitation today at commercial racetracks. Our mission is to spread the word about these gentle dogs and promote adoption efforts worldwide.	We offer free presentations on adoption and advocacy to schools through our signature Greyhounds in the Classroom and Greyhounds in the Library programs, and perform ongoing research into the dog racing industry to promote an understanding of the cruelty of dog racing.  Participating children are given free age-appropriate materials including a coloring book for younger kids, a hard cover book for older kids to read, "Save the Greyhounds" wristbands, adoption posters to hang, greyhound magnets and more.	The GREY2K USA Education Fund has conducted groundbreaking research into the dog racing industry. This research has helped close 28 dog tracks in the US and helped to prevent the expansion of dog racing to countries such as Jamaica, the Philippines and South Africa.  Our work has been reported by mainstream news organizations all over the world.  We directly support greyhound adoption groups and promote adoption generally through the international rescue page on our web site.	by offering free programs to kids all across the United States, focusing in the state of Florida, this nation's biggest dog racing state.  8,000 greyhounds are used for racing there every year, and many discarded once they slow down.  Our programs encourage and show kids how to help save these dogs.		worldwide								
Urban Wildlife Rehabilitation Inc	http://www.urbanwildliferehab.org/		EIN 01-0588292	146 Bowdoin St	Springfield	MA	01109	USA	Animals, Wildlife Sanctuaries	Urban Wildlife Rehabilitation, Inc. is fully licensed by the Massachusetts' Department of Fisheries and Wildlife. We are a home-based, non-profit organization that is dedicated to providing medical care, nourishment, and shelter to injured, ill, and orphaned wildlife until they are healthy enough to survive in their natural environment, a process that can take a few weeks to a year. We specialize in rehabilitating small mammals, babies and adults alike, such as raccoons, squirrels, foxes, muskrats, opossums, skunks, and porcupines.   Urban Wildlife Rehabilitation, Inc.'s mission, as a service to the community, is to take responsibility for the fatalities and injuries that we, humans, inflict upon our local wildlife, and to educate the public on these issues. Most importantly, we strive to provide our wild patients with a second chance at life back in their natural environment.													
YEAR UP INC	http://www.yearup.org	(617) 542-1533	EIN 04-3534407	93 Summer St	Boston	MA	02110	USA	Education, Job Training, Two-Year Colleges	Year Up's mission is to close the Opportunity Divide by providing urban young adults with skills, experience and support that will empower them to reach their potential through professional careers and higher education.	Year up is a national nonprofit organization that enables low-income young adults (ages 18-24) to move from poverty to professional careers in one year. We seek to close the opportunity divide-the gap between those who have access to education, resources, and living-wage employment, and those who do not. Year up's mission is to close the opportunity divide by providing urban young adults with the skills, experience, and support that will empower them to reach their potential through professional careers and higher education. In achieving our mission, year up acts as an "opportunity broker" between young adults and corporations lacking access to a well-trained workforce and a pipeline of talent for approximately 14 million vacant jobs that companies will struggle to fill between now and 2020. In 2013, during a time of historic youth unemployment and the graduation of our largest class to date, year up saw 86% of its alumni go on to pursue full-time employment or education within four months of graduating. Those employed are earning an average starting wage of $15. 86 per hour.	84% of our graduates are employed or enrolled in college full-time within 4 months of graduation.  We have served over 4,000 students to date.											
New England Outreach Program Inc	http://		EIN 04-3483955	82 Ingleside Ave	Worcester	MA	01604	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations														
Hancock Shaker Village Inc	http://www.hancockshakervillage.org		EIN 04-2281657	Po Box 927	Pittsfield	MA	01202	USA	Arts & Culture, History Museums	The Shaker story is important and inspiring. An understanding of Shaker history and influence - aesthetic, spiritual, social and economic-provides a unique perspective on issues in contemporary life.													
Cultural Care Kids First Foundation	http://www.culturalcarekidsfirst.org	 (800) 333-6056	EIN 27-5125347	1 Education Street	Cambridge	MA	02141	USA		Cultural Care Kids First Foundation, drawing on the strength of the global community of Cultural Care Au Pair, provides resources to support organizations that strive to make a lasting difference in the lives of children in need around the world.	"Fund their Future" and "Kids 4 Kids First"	Members of the Cultural Care community -- local coordinators, staff, teachers, au pairs and even kids -- hold local fundraising events. Funds raised are matched by Cultural Care Au Pair and then sent to children's organizations around the world. We have worked closely with several partners over the years which has allowed us to help in considerable ways, get to know the children, and provide hands-on assistance. Our Fund Their Future program, Sponsor a Child program, emergency assistance and capital grants allow us to provide small but significant assistance as well as make large, impactful donations.	Many children worldwide	children in need all over the world	the United States								
American Institute For Economic Research Inc	http://www.aier.org	(413) 528-1216	EIN 04-2121305	250 Division St	Gt Barrington	MA	01230	USA	Economics, Education	American institute for economic research (aier) conducts independent, scientific, economic research to educate individuals, thereby advancing their personal interests and those of the nation.	Research reports and bulletins- preparation and distribution of periodic economic reports and occasional booklets focused on selected topics in the areas of fiscal and monetary economics, including personal economic issues. These are distributed to members and the general public.   academic programs- aier conducts various education programs including teach-the-teachers, summer fellowship, conferences, and internships directed at a combination of the general public, professional teachers, and graduate level students of economics and other related fields.												
Cape Abilities Inc	http://www.capeabilities.org	508-778-5040	EIN 04-2453166	895 Mary Dunn Rd	Hyannis	MA	02601	USA	Developmentally Disabled Centers, Disabilities, Human Services	The mission of Cape Abilities is to serve individuals with disabilities on Cape Cod by educating, counseling and providing residential, therapeutic, social and employment supports that empower them to achieve meaningful and valued roles in the community.	Cape Abilities is a nonprofit organization that provides jobs, homes and other services for people with disabilities across Cape Cod.  Located in the Mid Cape community of Hyannis, MA, Cape Abilities also has a lower cape facility in Eastham and an upper case satellite in Falmouth	Cape Abilities currently serves over 363 individuals with disabilities on Cape Cod.	over 363 individuals										
Communities Without Borders	http://www.communitieswithoutborders.org	(617) 467-4363	EIN 20-0842080	P.O. Box 111	Newton	MA	02468	USA	Children & Youth, Economic Development, Education, Elementary & Secondary Schools, International, International Economic Development, Literacy, Microfinance	Our Mission is to enable a better future for orphans and vulnerable children in Zambia through access to education and related care. Collaborating with community organizations and individuals, we build enduring personal relationships that foster mutual understanding and inspire a shared sense of responsibility as world citizens.	Tuition support, uniforms, shoes, teacher training, teacher materials, books, Tree of Life psychosocial support, school feeding program, medical support: immunizations, malaria bednets and treatment, equipment for community economic development.		1,500 students attend primary & secondary school	1,500 AIDS orphans go to school	Lusaka, Zambia								
Leap Self-Defense Inc	http://www.girlsleap.org	617-787-2112	EIN 04-3454124	971 Commonwealth Ave Suite 22	Boston	MA	02215	USA	Amateur Sports, Children & Youth, Crime & Law, Domestic Violence, Protection Against Abuse, Sexual Abuse Prevention, Sports, Youth Development Programs	Girls LEAP empowers girls and young women to value and champion their own safety and well-being. We seek to build decision-making skills, increase personal confidence and raise awareness to create safer lives.	20 hour Personal Safety Training 2-4 hr. Workshops Teen Mentor Program Youth Speak-Outs Voices on Violence Focus Groups	Have provided safety, self-defense and empowerment training to over 6,000 girls and young women since 1997. Currently serving 1,000  annually.	1,000	Girls and young women ages 8-18	Greatr Boston								
CREATIVE LIVING INC	http://www.creativelivingandover.org		EIN 22-2774159	PO Box 3177, 368 South Main Street	Andover	MA	01810	USA	Centers to Support the Independence of Specific Populations, Human Services	Creative Living enhances the lives of individuals with developmental disabilities through unique respite, life skills, social, educational, and recreational programs.	respite, life skills, social, educational and recreational programs		Creative Living has 30 years of experience enhancing the lives of young adults and adults with developmental disabilities.  	All Creative Living programs provide social engagement, life skills enhancement, and recreation while providing full or light respite for families and caregivers.  	Creative Living is the only planned, site-based respite home for the developmentally disabled in the area. 	We focus on maximizing the independent living skills and potential of individuals with mild to moderate developmental disabilities, such as Down syndrome and autism.  	Direct care staff is CPR, first aid and Medical Administration certified. 	Our home is QUEST certified by the Commonwealth of Massachusetts. 	Creative Living Programs include: GetAway Weekends (respite), Summer Camp (new program featuring overnight and day camp options), After School Program, Friday Night Out (for young adults), Social Club (for older clients), and Overnight Assessments. 	All staff is part time, and we own our property, keeping our overhead costs low and ensuring that more of the funds we raise go directly to serve our clients. 	We collaborate with the Andover and North Andover Public Schools for Creative Livings After School Program and overnight assessments for the Transition Opportunities Program (TOP) and with the Wakefield and Reading Public Schools POST Academy. 	Creative Living provides more than 12,000 respite hours to area families each year.	300 participants and provided 12,000 hours of respite	young adults and adults with developmental disabilities	Massachusetts								
Womens Lunch Place Inc	http://www.womenslunchplace.org	(617) 267-1722	EIN 22-2514148	67 Newbury Street	Boston	MA	02116	USA	Homeless & Housing, Homeless Centers	The Women's Lunch Place provides safe, comfortable daytime shelter, nutritious food and services to women who are homeless or poor.  We treat women with dignity and respect and foster a community committed to meeting each woman's needs.	Provision of food, basic resources, health care and advocacy to low-income and homeless women and their children. Estimated population served: 200 daily, over 1,300 different women each year.												
Community Servings	http://www.servings.org	617-522-7777	EIN 22-3154028	18 Marbury Terrace	Jamaica Plain	MA	02130	USA	AIDS, Food, Health, In-Home Assistance, Nutrition	We are a food and nutrition program providing services throughout Massachusetts to 1,300 individuals and families per year living with critical and chronic illnesses. We give our clients, their dependent families, and caregivers appealing, nutritious meals, and send the message to those in greatest need that someone cares.	Meal Program for the Critically Ill: We deliver 395,000 free, home-style meals to 1,300 people per year, who are too sick to cook for themselves or their families. Currently caring for clients with 35 different life-threatening illnesses, 95% of whom live at or below the poverty level. Nutrition Education: Our nutrition education and counseling program builds upon our expertise in nutrition therapy to provide support to clients and community members struggling with critical as well as chronic illnesses. Food Service Job Training:The Teaching Kitchen offers a 12-week food service job-training program, focused on those with barriers to employment. Volunteer: As one of the largest volunteer programs in the area, we welcome 1,500 volunteers per month who work in our kitchen and deliver meals. Local Foods Program: We are committed to using fresh, local ingredients in our kitchen, and aim to support and collaborate with local farmers, fishermen and food producers.	In 2012 we provided 395,000 free, nutritionally tailored meals to sick individuals.		We provide free, home-style meals for 1,300 individuals a year who are affected by HIV/AIDS, cancer, MS or another life threatening illness. 95% of our clients are below the poverty level.	18 different communities throughout Massachusetts.								
Health To Know	http://		EIN 47-2285810	224 Adams St	Milton	MA	02186	USA	Food, Nutrition														
