name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Youth Leadership Task Force	National Schools of Character Program	National Schools of Character Expectations	From Competition to Meeting a Standard	An Achievable Path to Excellence
American Humane	http://www.americanhumane.org	(202) 677-4227	EIN 84-0432950	1400 16th Street, NW Ste 360	Washington	DC	20036	USA	Animal Protection & Welfare, Animals	American Humane is committed to ensuring the safety, welfare and well-being of animals.  For more than a hundred years American Humane has been first in promoting the welfare and safety of animals and strengthening the bond between animals and people.  We are first to serve, wherever animals are in need of rescue, shelter, protection or security. Through our innovative leadership initiatives  from our No Animals Were Harmed program in Hollywood to broad-based farm and conservation animal welfare certifications, to rapid response rescue and care across the country  American Humane sets the gold standard as the most visionary and effective animal welfare organization in the nation.	This past year alone in our four major program areas, we have tirelessly pursued the humane mission by:  Ensuring the humane treatment of nearly 1 billion farm animals  an increase of more than 100% in one year  Serving the children of our military families with Operation Purple and victims of tragedies such as the Boston Marathon bombings through our pioneering animal-assisted therapy program  Rescuing and sheltering the animal victims of the devastating EF-5 tornado in Moore, Oklahoma, the Colorado floods, and with other humane organizations 250 dogs in the second-largest dogfighting raid in U.S. history  Conducting groundbreaking humane research to help children with cancer, and national research to save more of the 3-4 million animals euthanized each year by finding new ways to increase pet retention		Join us, and with your help we can build a future where all children and all animals live in a world of compassion, caring, and hope.							
Americans United for Separation of Church and State	http://www.au.org	202-466-3234	EIN 53-0184647	1901 L Street NW, Ste 400	Washington	DC	20036	USA	Civil Liberties, Civil Rights, Crime & Law, Interfaith Coalitions, Religion	Americans United was founded in 1947 by a distinguished group of political, religious and educational leaders seeking to defend the U. S. Constitution''s guarantees of religious freedom. AU''s primary task is educating the American public about the importance of religious liberty through the separation of church and state and defending that crucial constitutional principle against attacks by extremist Religious Right groups such as the Christian Coalition.		National	To achieve its goal, Americans United publishes Church & State, an award-winning monthly journal and the only periodical in the U.S. dedicated solely to tracking separation issues, as well as a variety of pamphlets and books on contemporary issues in the church-state field; addresses national affairs through testimony before the U.S. Congress, state legislatures, and other governmental bodies and agencies; organizes citizens around the country in local chapters to respond quickly to church and state threats in local communities and defend religious liberty at the grassroots; conducts a vigorous program of legal work, participating since the 1960s in every major church-state case before the U.S. Supreme Court and in pre-litigation advocacy on behalf of parents and citizens to school boards and other local organizations. First Freedom First is a partnership withThe Interfaith Alliancerevolves around a petition to protect religious liberty and works for separation of Church and State.							
Center For American Progress	http://www.americanprogress.org	(202) 682-1611	EIN 30-0126510	1333 H St Nw	Washington	DC	20005	USA	Civil Rights	The center for american progress (cap) is an independent non-partisan policy institute that is dedicated to improving the lives of all americans, through bold, progressive ideas, as well as strong leadership and concerted action. Our aim is not just to change the conversation, but to change the country			Policy programs: projects were conducted in areas of energy and the environment, education, health care, immigration, open government, poverty, lgbt rights, and women's rights. In addition, the economic policy team conducted projects relating to middle class economics, tax fairness, housing, and post-secondary education. Cap's national security team worked on projects relating to chinese and middle eastern relations with the u. S.   communications: the communications team assisted the work of policy teams by providing press, communications, and events support. In addition, the communications team provided grants to other organizations to further cap's mission.   external relations: projects were undertaken to educate the public, policymakers, opinion leaders and advocates; anticipate and shape the national debate; and challenge the media to cover the issues that truly matter through a wide array of dissemination channels, including faith communities, campus organizations, print, broadcast, and online media. In addition, it provided grants to other organizations to further cap's mission.							
Students For Liberty	http://www.studentsforliberty.org	(202) 320-4447	EIN 94-3435899	1101 17th Street NW Suite 810	Washington	DC	20036	USA	Education, Unknown	Students For Liberty's mission is to provide a unified, student-driven forum of support for students and student organizations dedicated to liberty.		On hundreds of College and University Campuses in the US, and around the globe.	Events - SFL ran 98 conferences for 20,000 attendees around the world to learn more about the principles of liberty. For an average of less than $134 per person, SFL was able to provide a life-changing experience for young people to hear from prominent speakers about important public policy issues today, debate political philosophies, discuss best practices for student organizing, and become excited about build a freer future.   Leadership training - SFL trained 468 individuals to be effective leaders of liberty in their communities. After a rigorous selection process, SFL provided each of these students with 1-3 months worth of training in management, organizing, and advocacy techniques. These leaders then took on the responsibility for starting new pro-liberty student groups around the world, organizing events, and educating their peers about the foundations of a free society. This training was not just for the future leaders of the world, but for young people who are ready to start leading today.   Resources - SFL distributed hundreds of thousands of resources to support pro-liberty students and encourage their education in the principles of freedom. These included 350,000 copies of our 5th book, "Self Control or Government Control?", recruitment kits for groups to use on their campuses, leadership handbooks, and much more.							
Georgetown University	http://www.georgetown.edu	(202) 687-0100	EIN 53-0196603	37th And O Streets Nw	Washington	DC	20057	USA	Education, Universities	Georgetown is a catholic and jesuit, student-centered research university. Established in 1789 in the spirit of the new republic, the university was founded on the principle that serious and sustained discourse among people of different faiths, cultures, and beliefs promotes intellectual, ethical and spiritual understanding. We embody this principle in the diversity of our students, faculty and staff, our commitment to justice and the common good, our intellectual openness and our international character. An academic community dedicated to creating and communicating knowledge, georgetown provides excellent undergraduate, graduate and professional education in the jesuit tradition for the glory of god and the well-being of humankind. Georgetown educates women and men to be reflective lifelong learners, to be responsible and active participants in civic life and to live generously in service to others.			Education services: the university consists of georgetown college, the edmund a. Walsh school of foreign service, the mcdonough school of business, the mccourt school of public policy, the graduate school, the school of nursing and health studies, the school of medicine, the law center and the school of continuing studies. These schools offer bachelor and graduate degrees, executive education, advanced professional certificates, custom education, and special programs. During the year ended june 30, 2014, georgetown university enrolled approximately 17,800 students and awarded 5,982 degrees.   academic support: this includes activities that support the university's primary educational and research missions. These activities include departmental administration, libraries, educational media services, academic computing support, academic administration, academic personnel development, and course and curriculum development.   research: one of the primary objectives of the medical center is the development of medical knowledge through basic science and clinical research. Faculty and students participate in over 1,300 research projects in science and other areas.							
Community For Creative Non-Violence	http://www.theccnv.org	(202) 393-1909	EIN 52-1748195	425 2nd St Nw	Washington	DC	20001	USA	Homeless & Housing, Homeless Shelters	Ccnv's mission is to ensure that the rights of the homeless and poor are not infringed upon and that every person has access to life's basic essentials with the most significant activities including a transitional shelter and provisions for meals, detox and abuse rehabilitation etc.			Provisions for 725 bed transitional shelter for homeless persons which include first come first access (i. E. Women, men, elderly and disabled). Provisions for daily meals, holiday meals, restricted diets, detox and abuse rehabilitation, infirmary, etc.							
Concerned Women For America	http://www.cwfa.org	(202) 488-7000	EIN 95-3580834	1015 15th St Nw Ste 1100	Washington	DC	20005	USA		Educate public on non-partisan issues			Public information and educational material.							
Women For Women International	http://www.womenforwomen.org	(202) 737-7705	EIN 52-1838756	2000 M St Nw Ste 200	Washington	DC	20036	USA	Economic Development, International, International Development, International Economic Development, International Human Rights, International Peace & Security, Microfinance	In countries affected by conflict and war, women for women international (women for women) supports the most marginalized women to earn and save money, improve health and well-being, influence decisions in their home and community, and connect to networks for support. By utilizing skills, knowledge, and resources, women are then able to create sustainable change for herself, her family, and community.			Training and related programs - the year-long training programs foster awareness and understanding of women's rights; provide critical information on key health and wellness issues; offer vocational and business skills training; provide access to income generation support; and encourage women to take active decision making roles in the family and participate in their communities. Combined with the provision of a monthly training stipend, this holistic training package and safe group learning setting helps women restart their lives in ways that are independent, productive and secure. Participants may also be linked with a sponsor.   media, communications and outreach - the media, communications, and outreach program (the program) cultivates relationships with allied organizations, partners, and media outlets to raise awareness about the critical development needs of marginalized women survivors of war and conflict and to bring attention to their resilience and the important progress and impact of the training programs in eight countries. The program employs outreach strategies to increase awareness and educate audiences about key issues including the critical role social empowerment plays in advancing women's economic and political empowerment around the globe. The program's public education and outreach efforts seek to build support and awareness for the work through a variety of strategic activities including: supporting executive communications, initiating engagement campaigns on social media, publishing monthly digital newsletters, and convening special events and meetings. In addition, the program produces materials and publishes reports that provide updates and in-depth analysis on the opportunities and strategies for increasing positive outcomes for women. The publications include: annual reports, country briefs, and issue papers, in addition to digital updates on the website. Through online, offline, and engagement activities, the program strives to inform and educate the public and current supporters about the important development gains and progress that can be attained by investing in women. Engaging program participants and graduates to share their stories, the program brings inspiring evidence and powerful messages from women empowered to improve their lives, their families, and their communities. Collectively, the program's efforts seek to underscore the important role of holistic training programs, increase support for international development approaches that serve women, and increase awareness about the need to adopt policies that empower women in the rebuilding of countries and regions impacted by war and conflict.							
Capital Area Food Bank	http://www.capitalareafoodbank.org	(202) 644-9800	EIN 52-1167581	4900 Puerto Rico Ave Ne	Washington	DC	20017	USA	Food, Food Banks & Pantries	The mission of the capital area food bank (the food bank) is to feed those who suffer from hunger in the washington, d. C. Metropolitan area by acquiring food and distributing directly and through our network of member agencies; and to educate, empower and enlighten the community about the issues of hunger and nutrition.			The food bank operates warehouses that collect, inspect, clean, process, sort, and distribute food to approximately 440 local nonprofit feeding programs throughout the metropolitan washington d. C. Area. These include shelters, low-income day care centers, soup kitchens, and emergency food programs. In addition to purchasing, collecting, and distributing food, the food bank administers direct distribution food programs, education programs in nutrition, food budgeting, and capacity building to address the underlying causes of hunger. The food bank received 28,475,912 pounds of donated food during the year ended june 30, 2015, with an estimated value of $48,978,569. Of this amount, the food bank distributed 28,514,744 pounds of donated food during the year ended june 30, 2015, with an estimated value of $49,003,820. In addition to donated food, as part of its purchased product and fresh produce program that supplements the variety of donated food, the food bank distributed food valued at $5,154,399 during the year ended june 30, 2015. The food bank also administered three emergency food assistance programs (tefap) throughout the dc metro region. The food bank acts as a pass-through agency, receiving and distributing food commodities from the usda. The combined value of food commodities distributed for the tefap programs was $4,000,627 for the year ended june 30, 2015.							
Habitat For Humanity International Inc	http://www.habitat.org	(800) 422-4828	EIN 52-2182590	1010 Vermont Ave Nw Ste 900	Washington	DC	20005	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for Humanity is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate, affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership, building houses with families in need.			To build decent, affordable houses for low-income families.							
Dc Doors	http://www.dcdoors.org	202-518-6605	EIN 61-1637906	1545 6th st nw	Washington	DC	20001	USA	Ethnic &  Immigrant Centers, Homeless & Housing, Homeless Centers, Immigration, Temporary Housing	DC Doors moves people from homelessness to permanent, stable and affordable housing by providing culturally competent, comprehensive support services.	DC Doors achieves the following outcomes: 	85% of clients demonstrate progress on assessment goals each month  	85% of clients are referred to job training programs or will be assisted in obtaining employment 	80% of clients receive educational programming 12 times/year 	100% of clients will receive education on housecleaning, two weeks after entrance 	90% of clients maintain appropriate hygiene and cleanliness in their homes 	75% of clients maintain employment for a minimum of 4 months  	80% of clients complete their agreements and move into permanent housing	District of Columbia	transitional housing and supportive services	women ; familes and children	over 100 individuals					
Citizens United	http://www.citizensunited.org	(202) 547-5420	EIN 91-1433368	1006 Pennsylvania Ave Se	Washington	DC	20003	USA		Form 990, part i and part iii, line 1 citizens united is dedicated to restoring our government to citizen control. Through a combination of education, advocacy, and grass roots organization, the organization seeks to reassert the traditional american values of limited government, freedom of enterprise, strong families, and national sovereignty and security. The organization's goal is to restore the founding fathers' vision of a free nation, guided by honesty, common sense, and the goodwill of its citizens.			Issue advocacy campaign to promote limited government, tax cuts, and a strong national defense.   national committee for family faith and prayer: public education and issues advocacy to promote the role of religion in society, and traditional family values.   american sovereignty project: educational and advocacy campaign to promote the sovereignty and independence of the united states of america  the organization's other program services include: citizens united productions, which produces documentary films on contemporary domestic and international issues; and citizens united for a secure america, which engages in public education and advocacy on immigration and border security issues.							
CorpsAfrica	http://www.corpsafrica.org	(202) 499-4351	EIN 45-2470692	Po Box 5414	Washington	DC	20016	USA		Community projects by and for africans		Morocco, Senegal and Malawi	Launching CorpsAfrica's first offices in Morocco, Senegal and Malawi, building partnerships with government, ngos and universities, recruiting volunteers, identifying and placing them in communities, and beginning community projects.	provide a leadership and participatory community development opportunities in Africa	43 Volunteers and 43 rural, high-poverty communities in three countries					
International Planned Parenthood Federation - Worldwide Inc	http://www.ippf.org	(202) 466-8980	EIN 20-4365831	2001 L St Nw Frnt 2	Washington	DC	20036	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations	To support the international planned parenthood federation in the following purposes: educate the public about population growth and control, particularly about family planning and responsible parenthood; preserve and protect the good health of adolescents and young people, and prevent deprivation hardship and distress caused by unwanted conception; increase access to preventive care, support and treatment for persons with hiv/aids; strengthen recognition of the importance of sexual and reproductive health (srh) in the context of international development and increase resources in support of srh services; ensure access to information and services to improve sexual and reproductive health with emphasis on marginalized communities.			To support the activities of the international planned parenthood federation through solicitation and acceptance of charitable contributions and grants to support the federation's mission.							
Government Accountability Project Inc	http://www.whistleblower.org	(202) 457-0034	EIN 52-1343924	1612 K St Nw	Washington	DC	20006	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Crime & Law, Environment, Government & Public Administration, Legal Services	The government accountability project (gap) is a 38-year-old non-profit public interest organization that promotes government and corporate accountability by advancing occupational free speech, defending whistleblowers, and empowering citizen activists. We pursue this mission through our public health & safety, international, national security and human rights, environmental oversight, and corporate and financial accountability programs. Gap is the nation's leading whistleblower protection organization.			Public health / whistleblowers o gap began the representation of a north carolina poultry farmer and purdue contractor who had allowed outside filming of his facilities to show the inhumane animal treatment and conditions at purdue. The explosive story broke nationally at the end of 2014 with a blistering column by nicholas kristof of the new york times. O gap advanced our investigative efforts in 2014 by continuing to conduct on-sight and in-person interviews with usda meat inspectors from around the country. Gap continued to help lead the fight against the usdas modernization of poultry inspection rule (himp). We took action by using anonymous affidavits from meat and poultry inspector whistleblowers which disclosed to the national media the serious public health threat the rule poses to the integrity of our food. While gap and coalition partners did successfully stall himp, the usda finalized the rule in the summer of 2014 after providing a few minor concessions. In october 2014, gap joined consumer and worker rights organizations in filing a joint amicus brief supporting a lawsuit that challenged the new rules. The brief relied heavily on whistleblowers statements stemming from our investigation into federal meat inspector concerns. O in 2014, gap challenged idaho and utah "ag-gag" laws through amicusbriefs presented to courts hearing legal complaints against the laws. O at the 2014 whistleblower summit on national whistleblower appreciation day, gaps food integrity director amanda hitt was featured exploring ag- gag laws and how whistleblowers are increasingly facing criminal investigations and prosecutions. Ms. Hitt also spoke at yale law school at a conference which examined the impact of ag-gag laws on freedom of speech, health, food safety, consumer advocacy, animal welfare, and the environment. O in 2014, building off of our critical work with meat inspectors, we designed and distributed a survey to over 4,000 usda meat inspectors and queried inspectors on issues such as: himp efficacy, food safety, humane handling, and worker safety. The results were combined with meat inspector reports detailing work-related illness, environmental hazards, and food safety concerns to inform our most comprehensive white paper in 15 years. O in 2014, gaps food integrity campaign (fic) continued to develop gaps reputation as the go-to source for news media covering issues involving food integrity. By expanding beyond traditional notions of food safety and incorporating aspects of food integrity, we were able to tackle issues related to the use of animals in agriculture and the plight of workers in the industry. During 2014, we contributed significantly to multiple media outlets, including: hbo, cbs, market watch, al jazeera, 60 minutes, pbs, politico, austrian and german public television, tri-states public radio, food poisoning bulletin, canton daily ledger, slate magazine, food safety news, and takepart, for example. Gap fic staff also wrote daily blogs which continued to gain in popularity. Many of our blogs attracted the attention of potential whistleblowers and reporters eager to learn more about our insider stories. We also gained more visibility by providing online blogs for websites such as the huffington post.   corporate & financial accountability o during 2014, gap continued to receive serious requests to investigate whistleblower concerns and expanded our corporate and financial accountability efforts by litigating both ongoing and potentially new whistleblower reprisals cases, and investigating current and new confidential whistleblower allegations of bank and financial wrongdoing. We also identified public interest allies, found ways to work in coalition with them, and adopted several important confidential test cases. O during 2014 gap identified and directly challenged corporate resistance to new protections gap helped develop now covering over 80,000,000 corporate employees who previously had only minimal legal protection, including: corporate attempts to criminalize whistleblowing; corporate challenges to provisions requiring the reinstatement of whistleblowers after favorable department of labor investigative rulings but before the adjudication of the cases at a hearing; corporate attempts to force chilling agreements on departing employees and gag settlements on whistleblowers; and banking industry challenges to whistleblowers who, under the new law, are now allowed to use confidential corporate documents as evidence to prove their cases. We also actively worked to try to counteract the federal governments ineffectiveness in regulating, addressing and reforming financial and banking corruption as revealed by whistleblowers. O also in 2014, on the fourth anniversary of the passage of dodd-frank, gap teamed up with law firm labaton sucharow to lead a large national coalition to outlaw gag orders used to silence corporate and banking whistleblowers and combat retaliation they so often endure. Joining us in this critical effort were more than 250 organizations with nearly two million members. We demanded that the sec establish a strengthened whistleblower program. Our petition received immediate prolific coverage in the new york times; the wall street journal; the washington post; bloomberg law; inside counsel; american lawyer; compliance week; law 360; value walk; and corp counsel. O gap and our broad coalition of organizations also submitted a non- rulemaking petition demanding the sec: launch a series of public hearings to discuss the problem of workplace retaliation and ways to increase reporting; create an advisory committee on whistleblower reporting and protection; and engage in appropriate rulemaking to clarify and strengthen whistleblower protections.   national security & human rights o in 2014, the department of justice continued its criminal prosecution of increasing numbers of whistleblowers under the espionage act. Five out of gaps six national security agency (nsa) whistleblowers were criminally investigated: two were charged with crimes, tom drake and edward snowden. In 2013, as result of gap client edward snowdens disclosures which led to his exile in russia, the american public learned that the nsa has conducted, and continues to conduct, wholesale surveillance of u. S. Citizens through a secretive data-mining program. Snowdens decision to release documents to selective media was based on his scrutiny of the treatment of nsa whistleblowers drake and other gap clients/former executive-level nsa employees william binney, ed loomis and j. Kirk wiebe -- who endured years of criminal investigation and whose homes were invaded by swat teams after they raised their concerns to their immediate bosses, up the chain of command, to the department of defense inspector general. In 2014, gap continued to tell their stories in the media about their substantive concerns, the reprisals they have suffered, the assault on civil liberties, and the inadequate remedies available for those who raise national security concerns. O gap visited over 25 congressional offices to provide briefings to staff and members about gap client/nsa whistleblower edward snowdens revelations. O in 2014, gap and five of our nsa whistleblowers made presentations to the peace and civil liberties oversight board to make recommendations about reforming intelligence agency practices and operations. O gaps national security and human rights director jesselyn radack, and gap clients/nsa whistleblowers tom drake and william binney testified before a german bundestag investigation committee to provide testimony for its globally-significant investigation into the nsas mass surveillance operations. Gap stressed to the committee that what we know about the nsas invasive and ineffective mass surveillance operation is only available because of whistleblowers.							
Emmaus Services For The Aging Inc	http://www.emmausdc.org	(202) 745-1200	EIN 52-1219781	1666 K St Nw Ste 440	Washington	DC	20006	USA	Civil Rights, Human Services, Senior Centers, Seniors, Seniors Rights	Emmaus services for the aging is a 501(c)(3) non-profit organization that reaches out to build trust with seniors to provide support, advocacy, and services that help them remain active, respected, independent, and vital members of their community.			Outreach/ advocacy: the program operates with the help of over 750 volunteers serving more than 2,500 elderly dc residents. Services include phone calls for reassurance, regular visits, escorts to medical appointments, nutrition education and counseling, exercise classes, computer training, nutritious noontime meals and delivery of free groceries.   social services: emmaus provides comprehensive assessment, case management, and counseling with seniors to assess their living situation, and to verify that they are receiving all the social services to which they are entitled.							
The Humane Society of the United States	http://www.humanesociety.org	202-452-1100	EIN 53-0225390	2100 L Street, NW	Washington	DC	20037	USA	Animal Protection & Welfare, Animals, Wildlife Sanctuaries	Celebrating Animals, Confronting Cruelty	-We passed a bill in Congress making interstate dogfighting and cockfighting a federal felony -We worked with law enforcement agencies to bust abusive puppy mill operations -We continued to investigate and combat Canadas gruesome hunt of Atlantic harp seals, and our boycott of Canadian seafood now has the support of more than 1,000 restaurants and food businesses and 300,000 individuals -We persuaded the National Institutes of Health to ban the new breeding of chimpanzees for research -We provided hands-on care to thousands of animals at our network of sanctuaries and wildlife centers -We responded to the wildfires in southern California, and helped save more than 1,000 animalsdogs, cats, horses, goats, and others -We passed the first bill in a state legislature to outlaw cruel confinement of farm animals when Oregon banned gestation crates for breeding pigs -Food industry leaders like Burger King, Wolfgang Puck, and Compass Group adopted ground-breaking humane reforms advanced by The HSUS -Our efforts persuaded leaders in the fashion industry such as Calvin Klein, Kenneth Cole, Tommy Hilfiger, and Foot Locker to go fur-free, and other designers and retailers such as Burlington Coat Factory to drastically reduce the amount of fur they sell -We passed two precedent-setting bills in the New York state legislature to require accurate labeling of all fur garments, and ban the electrocution of animals in fur factories -We passed state legislation in Illinois to ban horse slaughter -We continued passing laws to ban Internet hunting, with 34 states now prohibiting the practice -In Congress, we secured language in the Senate Interior Appropriations bill to stop the imports of polar bear trophies killed by sport hunters in the Arctic -We won court victories to protect endangered right whales from being harmed by fishing longlines, to stop invasive research on Steller sea lions, and to protect wolves and Canada lynx -Our Rural Area Veterinary Services (RAVS) program provided more than 30,000 medical treatments to animals in remote areas of the country often underserved by veterinarians -We helped pass 86 new animal protection laws in state legislatures in 2007, a record year	USA and beyond	Advocacy and public policy, encompassing such activities as expanding the scope of corporate policies concerning the treatment of animals, urging consumers to modify their spending and lifestyle habits to favor humane products, increasing the scope and strength of animal protection statutes and regulations, and persuading their leaders to ally themselves with humane values, are important elements of the hsus' work. (continued to schedule o)  cruelty prevention program, and direct care and service cruelty prevention programs serve the fundamental hsus mission of carrying out long-term initiatives to ensure the well-being of animals in a variety of contexts and settings. The hsus's direct care and service initiatives are designed to meet its commitment to animals and their basic care needs across a wide range of issue and program areas. These initiatives involve external grants to other organizations and the direct care work that is carried out by the hsus and its staff members. (continued to schedule o)  the work of research and education, with the related activities of public education and outreach, is a core element of the hsus's programs. This work is conducted through many sections including donor care, communications, media and public relations, conferences and events, publications and content, the humane society institute for science and policy, faith outreach, rural development and outreach, humane society academy, and the hsus los angeles office. Donor care donor care, which oversees and manages the membership experience for the hsus, responds to thousands of supporter and member inquiries sent annually. In 2014, donor care fielded 75,178 telephone calls across all hsus affiliates; 138,618 emails across all hsus affiliates; and processed 150 to 200 pieces of mail per day, handling approximately 45,948 pieces of mail in the year. Communications communication with the general public and other audiences is a high priority. The content department creates print and electronic magazines, brochures, advertisements, reports, and other documents. In 2014, more than 773,000 people received the hsus's bi-monthly all animals magazine and there were nearly 57,000 recipients of the magazine animal sheltering and its e-newsletter. The combined readership of all animals, animal sheltering, and kind news was more than 830,000. The hsus communicates with many supporters via phone, letter and email, and on social networks. The hsus has more than 2. 2 million supporters on facebook, updates more than 300,000 followers via twitter, and updates more than 30,000 people via instagram. The hsus's ceo/president writes a blog about animal issues and the organization's activities, sent to approximately 6,000 subscribers. In 2014, the hsus website recorded nearly 26 million visits, and supporters took an estimated 1. 4 million online advocacy actions. Hsus online videos were viewed approximately 9. 3 million times during 2014. The hsus has a dynamic text message program, activating more than 100,000 constituents to take action for animals, directly from their mobile phones. Media and public relations the media relations department works to inform the public about animal protection through mass media. In 2014, the hsus distributed nearly 200 press releases, 50 statements, and 70 news briefs to journalists; distributed more than 300 letters to the editor, op-eds, and guest blogs; conducted interviews with news outlets; and placed related advertisements. These efforts generated more than 6,000 news stories about the hsus and its work. Conferences and events the hsus hosts a number of conferences and events for animal advocates. These include animal care expo, the major professional animal care and services conference in the world, and taking action for animals (tafa), a marquee event for humane advocates interested in engagement and training. In 2014, 1758 people from over 30 countries attended animal care expo, and 1222 people attended tafa. Humane society institute for science and policy the humane society institute for science and policy (hsisp) works to integrate the science of animal welfare into public policy and other forums. Hsisp focuses the energy and expertise of the hsus's cadre of scientists and other specialists on the most urgent public policy questions affecting animals worldwide, via conferences, consultations, and other channels. In 2014, hsisp expanded its digital asset repository - a curated on-line library - to facilitate access to useful animal welfare documents for a broad audience, and sponsored a conference on animal sentience that drew participants from around the world. Humane society academy through humane society academy, the hsus provides teaching materials and professional development to support teachers and humane educators. In 2014, the hsus reached hundreds of educators through the association of professional humane educators (aphe) conference, national service-learning conference, national afterschool association convention, online webinars, and the hsus's certified humane education specialist (ches) program. More than 565,000 students from kindergarten to 6th grade in 19,367 classrooms received age appropriate messages about animals and kindness in kind news. Through the adopt-a-classroom program, kind news remained america's number one humane education resource. The hsus also managed the shaw-worth and florence kaufelt student scholarships, and honored the national humane teacher with a special award. Faith outreach the faith outreach program engages people and institutions of faith with animal protection issues. In 2014, the program cultivated major faith leaders by co-hosting regional dinners in the midwest; creating a video series with nationally-known faith leaders; creating the hsus dharmic leadership council, and more. The faith outreach volunteer and ally program increased by 40 new volunteers and 300 allies, and hosted over 20 faith outreach events at local churches. In an effort to engage faith communities and individuals nationwide, the faith outreach program attracted 3,500 new supporters through its ongoing and seasonal campaigns including fill the bowl, humane backyard, eating mercifully, and st. Francis day in a box. The program continued to provide assistance for hsus public policy priorities by facilitating support from faith leaders for a variety of campaigns. The work of the faith outreach program was featured by a number of notable outlets including the new york times. The hsus los angeles office the hsus's los angeles office works with influential public figures from the world of entertainment, including actors, musicians, athletes, authors, and filmmakers, to raise awareness of the core campaigns and programs of the hsus through events, print advertisement and video campaigns, exposes, and other advocacy efforts such as public appeals, social media activity, opinion pieces, and endorsements for humane legislation. The hsus's dedicated celebrity supporters include james cromwell, betty white, woody harrelson, kristen bell, kaley cuoco-sweeting, kate mara, anjelica huston, martha stewart, jon bernthal, kesha, chase utley, and golden tate. The los angeles office acts as adviser for a variety of film and television projects - both documentary and narrative - to ensure and promote humane messaging, and encourages filmmakers to invest in alternatives to the use of exotic animal actors in their productions. Partnerships have included the groundbreaking documentary blackfish, through magnolia pictures, and darren aronofsky's global blockbuster, noah, through paramount pictures.   donated in-kind services reported per instructions: p&a: $21,167,406 legal services: $2,684,209 facilities rental: $4,935 advertising: $19,750 airline miles/tickets: $48,723 total: $23,925,023	mostly women ages 40-50						
SpeakeasyDC	http://www.speakeasydc.org	240-888-9751	EIN 52-1710488	1525 Newton St, NW	Washington	DC	20010	USA	Arts & Culture, Arts Services, Cultural & Ethnic Awareness, Performing Arts, Theater	Through the art of autobiographical story performance, SpeakeasyDC (formerly Washington Storytellers Theatre) gives voice to the authentic experience of ordinary people, provides a creative outlet, builds community, and promotes cross-cultural understanding. We have a three-part mission: to produce high quality storytelling performances; provide extensive training and performance opportunities; and preserve the oral tradition, while experimenting with new definitions and expressions that speak to and enrich contemporary life.		DC, MD, VA	Produce monthly storytelling performances that encourages local participation in storytelling and nurtures newly developing performers  produce series of workshops and educational programs to support and develop the local storytelling community							
NUEVA VIDA INC	http://www.nueva-vida.org	(202) 223-9100	EIN 54-1943145	2000 P St 740	Washington	DC	20036	USA	Cancer, Community Mental Health Centers, Mental Health	The mission of Nueva Vida is to inform, support and empower Latinas whose lives are affected by cancer, and to advocate for and facilitate the timely access to state of the art cancer care, including screening, diagnosis, treatment and care for all Latinas.			Our survivorship support program offers comprehensive, caring and culturally appropriate mental health support services to Latinas with breast and cervical cancer.  Our services address critical needs of women who face their illness far from family and friends, in a foreign environment, often in poverty.  The Access program improves the health outcomes of medically underserved Latinas with breast cancer by facilitating the timely access to breast cancer detection, treatment, information, support services and care.  Access to health care is obtained through the efforts of a culturally competent patient navigator program.  Information is disseminated through a specialized bilingual Patient Resource Center with up-to-date information on breast health and breast cancer care.  Nueva Vida is also involved in research through partnerships with health-research institutions.							
