name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Forget Me Not Mission II	http://www.forgetmenotmission.com	(907) 978-7809	EIN 26-3848831	5068 W Pinnacle Ridge Cir	Wasilla	AK	99654	USA	Crime & Law,Drunk Driving-Related	Public awareness of underage drinking & impaired driving				Teen edition of soul shaking grief, an impaired driving public awareness guide an impaired driving, underage drinking public awareness publication directed towards teens - to be distributed in 2012 underage drinking/impaired driving presentations underage drinking and impaired driving message was taken to various community and government orgonizations in anchorage, fairbanks and the mat su valley	
Jubilee Worship Center	http://		EIN 92-0086051	541 3rd St	Fairbanks	AK	99701	USA							
Baxter Bible Church Efca	http://		EIN 92-0081408	3600 Baxter Rd	Anchorage	AK	99504	USA							
Green Star of Interior Alaska	http://www.iagreenstar.org	907-452-4152	EIN 92-0163048	PO Box 82391	Fairbanks	AK	99708	USA	Environment,Environmental Education,Recycling	Encourage and enable our community to reduce waste and increase recycling.	Green Star offers the only electronics recycling program in the Interior. Fairbanks North Star Borough residents and organizations can drop off their unwanted or defective electronics at our warehouse free of charge. Since 2006, weve recycled a total of 881,572 pounds  equal to the weight of 15 fire trucks! We pay for recycling through Total Reclaim, Inc., a Seattle-based, e-Stewards certified recycler. This is a truly rigorous, internationally compliant certification program that guarantees e-recycling best practices.Green Star partners with a variety of community organizations to provide recycling bins at special events and coordinate volunteers who collect and sort recyclable materials. Golden Heart volunteers contributed 385 hours of community service in 2014 alone. Based on the Bureau of Labor Statistics and the Independent Sector's value of volunteer time, the Special Event Recycling program facilitated approximately $10,202 of in-kind volunteer support to our community.	Whose lives are better for what we do? Volunteers who love working with us. Children who receive the gift of knowledge and who will follow our example. Future generations of Alaskans who depend on us to protect their environment.	the Interior of Alaska.	The Electronics Recycling Depot, Special Event Recycling, the Fairbanks Recycling Guide and Recycling Education.	kept 91 tons of electronic waste out of the Borough landfill.  In 2014, we diverted 2,153 pounds of aluminum and plastic from the FNSB landfill at the Midnight Sun Festival, Tanana Valley State Fair, and Go Winter Expo. These collections would have been impossible without the efforts of 91 Recycling Crew volunteers. We also provide outreach at many local events to share information about how and where to recycle in our community.
North Star Youth Court	http://www.nsyc.org	(907) 457-6792	EIN 91-1823580	PO Box 82147	Fairbanks	AK	99708	USA	Education	North star youth court's purpose is to educate students about the legal system, mediation and substance abuse, and promote community service through participation in a youth court. It aims to reduce the recidivism rate of offenders through an immediate and direct response to juvenile crime.				North star youth court operates a juvenile diversion program in which youth are the judges, lawyers, jurors,court officers and defendants. The community donated services, goods and rent valued at $14,731 during fye 6/30/2015.	
Afghan Child Project	http://		EIN 27-1816505	645 G St Ste 100	Anchorage	AK	99501	USA	Economic Development,International,International Economic Development,Microfinance						
Alaska Baptist Convention Inc	http://		EIN 92-6001032	1750 Omalley Rd	Anchorage	AK	99507	USA							
Petersburg Senior Nutrition, Inc.	http://		EIN 92-0080411	PO Box 1330	Petersburg	AK	99833	USA							
Pta Alaska Pt Higgins	http://www.alaska.net/~akpta/		EIN 92-0143484	Point Higgins PTA 981 N Pt Higgins Rd	Ketchikan	AK	99901	USA	Education,Parent & Teacher Groups	The Alaska Congress of Parents and Teachers (the Alaska PTA) is a branch of the National PTA, a nonprofit organization which seeks to unite the forces of home, school and community on behalf of children and youth.					
National Committee On Planned Giving Inc	http://		EIN 92-0157486	3900 Borland Dr	Anchorage	AK	99517	USA	Philanthropy,Philanthropy, Charity & Voluntarism Promotion						
Ronald Gribble Memorial Scholarship Fund, Inc.	http://		EIN 92-0163342	PO Box 1206	Homer	AK	99603	USA	Education						
Anchorage Waldorf Education Association Inc	http://waldorfak.org	(907) 770-2956	EIN 92-0132913	3250 Baxter Rd	Anchorage	AK	99504	USA	Education	The organization's primary purpose is to provide a waldorf based general education for kindergarten through 8th grade.				The organization operates a waldorf school offering education from preschool through 8th grade. The school serves approximately 100 students in its classes. The organization also provides aftercare for students. The school provides a focus for the student's families to be involved in the various seasonal festivities and events which further waldorf education. The organization operates a summer camp and a parents and tots program to deepen and expand the education it offers. Tuition assistance is provided to students and teachers. The scholarships allow in need students to attend the school. Tuition assistance to teachers allows them to further their knowledge of waldorf education.	
Alaska Regional Hospital Auxiliary	http://		EIN 92-0031390	1200 Airport Heights Road	Anchorage	AK	99508	USA							
Family Bible Fellowship And Academy	http://	(907) 262-8741	EIN 86-0779111	Po Box 2763	Soldotna	AK	99669	USA	Christianity,Religion	Provide religious services				Help raise funds to assist children in need	
Sterling Lutheran Church Inc	http://		EIN 94-3177371	35070 Mccall Rd	Sterling	AK	99672	USA							
Far North Missionary Fellowship Inc	http://		EIN 23-7096932	Po Box 80768	Fairbanks	AK	99708	USA							
Brave Heart Volunteers	http://www.braveheartvolunteers.org	(907) 747-4600	EIN 73-1639840	120 Katlian Street P.O. Box 6336	Sitka	AK	99835	USA		Transforming lives by providing seamless support and quality educational services to caregivers and individuals facing illness, isolation, end of life, or grief.				C:ARE, Connect: Advocacy, Resources, Education--Support for CaregiversBereavement and Grief SupportLearning through ServiceMusic MemoriesCreative StorytellingVolunteer Orientation and TrainingEnd of Life Training	
Habitat For Humanity International Inc	http://www.hfhanchorage.org	(907) 272-0800	EIN 92-0140434	1057 W Fireweed Ln Ste 103	Anchorage	AK	99503	USA	Christianity,Homeless & Housing,Housing Development, Construction & Management,Religion	Hfha believes in a future anchorage that has broad and diverse community engagement committed to the elimination of substandard housing and the availability of safe, decent and affordable places to live for all of our neighbors.				Hfha construction: habitat for humanity - anchorage (hfha) is a non-profit, ecumenical christian housing ministry dedicated to building simple, decent homes in partnership with qualifying, very-low-income families in anchorage. We build community by partnering with individuals, small businesses, faith communities, community service organizations, and corporations in order to invest in qualifying families ability to achieve and sustain permanent homeownership. Hfha offers homes to qualified purchasers without regard to race, sex, color, age, disability, religion, familial status or national origin. In order to qualify for our program, applicants must be us citizens or legal residents and have income that is 30% - 60% of anchorages median income for family size. Additionally, partner families must express a need for hfha service due to present housing being unsafe, unsanitary, overcrowded, temporary, inaccessible, or unaffordable. Partner families willingness to partner is demonstrated by participating in the hfha homeownership and family partnership education program while they complete 250 - 600 hours of sweat equity on hfha projects.  restore: the habitat restore is a retail business which sells donated new and used building materials, electrical fixtures, appliances, kitchen cabinets, and more - at greatly reduced prices. The restore accepts new and used building materials in 100% working condition from remodeling jobs, business closeouts, contractors and builders. The income generated from a restore is used to build more homes for low-income families and to support habitats mission of building homes for families in order to eliminate substandard housing in anchorage. The restore also benefits the community by keeping reusable items out of the landfill and providing a source for discounted materials for "do-it-yourself" home improvement projects.  volunteers: hfha coordinates, manages and relies on a significant amount of community volunteers to provide approximately 530 person-days of service for each house. Volunteers are from all walks of our community, such as: individuals, faith community, businesses, corporate sponsors, and the military services.  family services	
American Friends Of Claremont Fan Court School	http://		EIN 98-0125932	46040 Ciechanski Rd	Kenai	AK	99611	USA	Education						
Womens International Bowling Congress Inc	http://		EIN 92-0058160	512 Marshall Dr	Fairbanks	AK	99712	USA	Amateur Sports,Sports						
Challenge Alaska	http://		EIN 92-0080897	3350 Commercial Dr Ste 208	Anchorage	AK	99501	USA		Challenge Alaska was founded in 1980 by Doug Keil to provide sport and recreation for anyone that experiences a disability.					
Sitka Counseling & Prevention Services Inc	http://scpsak.org	(907) 747-1417	EIN 91-1833550	113 Metlakatla St	Sitka	AK	99835	USA	Mental Health,Mental Health Treatment	Adult and youth education/counseling for the prevention of drug, alcohol and other substance abuse.				Health and prevention services including alcohol, tobacco and drug use.	
Spiritual Assembly Of The Bahais Of Revilla Island	http://		EIN 92-0084034	87 Chacon St	Ketchikan	AK	99901	USA							
Southcentral Foundation	http://www.scf.cc	(907) 729-4955	EIN 92-0086076	7033 E Tudor Rd	Anchorage	AK	99507	USA	Group Health Practices,Health	Southcentral foundation (scf) was incorporated as a nonprofit organization under alaska state law in 1982. Scf's objective is to improve the health, educational, cultural, social and economic conditions of alaska natives by providing health services primarily in the anchorage and matanuska-susitna valley, along with other areas of alaska. The indian health service provides funding to scf to cover the costs of health services provided to eligible beneficiaries at the alaska native medical center. In addition, scf administers other federal and state funded programs.				Federal funds - activities related to contracts with ihs, us dhss, us epa, dept of interior fish & wildlife, and dept of agriculture.  other program funds to improve health, educational, social, cultural, and economic conditions of alaska native people.  state funds - activities related to contracts with the state of alaska department of health and social services.	
Until That Day Church	http://		EIN 92-0143531	Po Box 770454	Eagle River	AK	99577	USA							
Safari Club International Foundation	http://		EIN 92-0150802	P.O. Box 71747	Fairbanks	AK	99707	USA							
Lighthouse Community Christian School	http://		EIN 92-0156058	PO Box 58553	Fairbanks	AK	99711	USA	Education,Elementary & Secondary Schools,Literacy						
Wrangell Mountains Center	http://www.wrangells.org		EIN 92-0117864	Po Box 142972	Anchorage	AK	99514	USA	Arts & Culture,Education,Physical & Earth Sciences,Technology,Undergraduate Colleges	The wrangell mountains center fosters understanding, appreciation, and stewardship of wildlands and mountain culture in alaska through scientific and artistic inquiry in the wrangell mountains.				The organization sponsors camps, workshops and programs to study the geology, ecology and cultural history of the wrangells. Workshops include the plant, animal and bird life of the region, and are designed for various ages from children to adults, including a family camp, where families increase their knowledge of the landscape around mccarthy and boost their wilderness survival skills.  the organization sponsors a scholarship fund with an endowment from its members. Scholarships are awarded to deserving students of the organization's programs. A formal selection process has been established whereby a committee chooses scholarship recipients each spring.	
Denali Bible Chapel Inc	http://		EIN 92-6003070	1201 Lathrop St	Fairbanks	AK	99701	USA							
Children's Surgical Centre	http://www.csc.org	(907) 486-6974	EIN 71-0897496	PO Box 2545	Kodiak	AK	99615	USA		The Children's Surgical Centre aims to improve the quality of life for disabled, poor Cambodians by providing rehabilitation surgery and general rehabilitation programs. Integral to this mission is a program of training local surgeons and health workers, focusing on the development of sustainable health services for Cambodians.Around 500 million, or 12% of the world's population suffer from disability. Disabilities bring misery, reduce economic status, destroy social integration and cause untold suffering through stigmatization and marginalization from society.In the last 30 years international agencies have made great efforts to assist with health-care in developing countries focusing on the principles of 'primary health care'; e.g. sanitation, clean water, Maternal Child Health (MCH), developed at the conference of Alma Ata in 1978. Surgery has been considerably under-emphasized as 'too sophisticated and expensive' for widespread impact.CSC demonstrates the huge benefits of simple, safe, rehabilitation surgery to developing countries by organising treatment and training programs. CSC is one of few organisations promoting this doctrine, and almost alone in practicing it.	In 2011 alone, CSC performed 3,567 surgical procedures and 11,840 consultations. In 2012, after the completion of our building extension, we anticipate seeing even more patients and providing even more rehabilitative surgeries and care.Many of Cambodias poorest disabled people have received free surgery enabling them to greatly improve their standard of living. In Cambodia, disabled people experience discrimination due to their physical appearance as well as their perceived mental capacity. If a person is not able to contribute to the wellbeing and livelihood of their family they are looked down upon and neglected. Patients who receive surgery at CSC are able to lead more normal lives, affecting not only themselves but their families too.		Cambodia	We are a surgical centre that provides rehabilitation surgery. Additionally, we have programs that focus on surgery for obstetric fistulae, meningoencephalocele (MECs), cleft lip and palate, general ophthalmology, hip and spine, and burn victims.	
Wasilla Youth Baseball	http://wasillayouthbaseball.com		EIN 51-0256020	Po Box 870714	Wasilla	AK	99687	USA	Amateur Sports Competitions,Baseball & Softball,Recreation & Sports,Sports	Youth baseball programs				Teaching the sport of softball and baseball to youth through coaching and training to function with a group and fun competition	
Abbott Loop Community Chapel Incorporated	http://		EIN 92-0040271	2626 Abbott Rd	Anchorage	AK	99507	USA							
Talkeetna Bible Church	http://		EIN 92-0089760	Po Box 72	Talkeetna	AK	99676	USA							
Alaska Ostomy Association	http://		EIN 51-0189323	3332 Purdue St	Anchorage	AK	99508	USA							
Beautiful Savior Lutheran Church	http://		EIN 92-0093178	8100 Arctic Blvd	Anchorage	AK	99518	USA							
General Teamsters Local 959 Jesse L Carr Charity Fund	http://		EIN 92-0133751	520 E 34th Ave Ste 102	Anchorage	AK	99503	USA	Children & Youth,Youth Development Programs						
Alaska Addiction Rehabilitation Services	http://nugensranchak.org	(907) 376-4534	EIN 92-0065231	Po Box 871545	Wasilla	AK	99687	USA	Mental Health,Substance Abuse Dependency, Prevention & Treatment	Addiction rehabilitation				Nugen's ranch is a long-term (six months to two years) residential care alcohol and drug abuse facility with 25 beds for adult chronic alcoholic, drug abuse, dual diagnosed persons who have not been able to stay clean and sober. We follow up with all clients who leave the program for one year. Our success rate varies between 35 to 75%. Program staff are involved with united way's 10 year effort to reduce substance abuse for youth in the mat-su borough. Each october, we provide red ribbons to the mat-su school district, local law enforcement, and other public agencies at no cost to the agency. Our director sits on the board of directors for the local bus system (mascot) and was involved with the development of this non-profit agency. Our program was the first program in the state of alaska to be certified by carf ( a national certifying organization): we have maintained this certification since 1993.	
North Gulf Oceanic Society	http://	(907) 235-6590	EIN 92-0085763	3430 Main St Ste B1	Homer	AK	99603	USA		Marine mammal research & education				Pacific state marine fisheries - acoustic monitoring using c-pod collection points and data analysis of beluga whales in the cook inlet and prince william sound areas.  noaa acquisition & grants office, western region - comprehensive study of the genetics of killer whales in the northern north pacific.  pwssc 2013 - long term killer whale monitoring in prince william sound/kenai fjords	
Auke Bay Bible Church Of Auke Bay Alaska	http://		EIN 23-7069632	Po Box 210116	Auke Bay	AK	99821	USA							
Sonshine House Daycare And Preschool	http://		EIN 92-0162130	185 Shady Lane	Soldotna	AK	99669	USA	Child Day Care,Children & Youth						
Alaska Tennis Association Inc	http://		EIN 92-0145679	Po Box 140673	Anchorage	AK	99514	USA	Amateur Sports Competitions,Sports						
Senior Citizens Support Services Inc	http://	(907) 586-3132	EIN 92-0137026	Po Box 20022	Juneau	AK	99802	USA	Unknown	To promote the study and assessment of housing research, develop and support high standards of care for senior citizens, and to raise funds and financial support for the work and purposes of supporting senior citizen housing.				Partnered with the city and borough of juneau and the alaska mental health trust to perform a senior citizen housing study. Also paid for public service announcements to warn seniors about elderly financial fraud.	
Alaska Public Interest Research Group Inc	http://	(907) 258-3650	EIN 92-0047627	Po Box 220411	Anchorage	AK	99522	USA	Consumer Protection	Consumer advocacy				Consumer protection and education for the public interest akpirg serves the general public throughout the state of alaska by investigating problems and providing solutions on behalf of the public interest.	
Xi Lambda Chapter X3191	http://		EIN 92-0154811	5861 Chisana Way	Anchorage	AK	99516	USA							
ALASKA WORLD AFFAIRS COUNCIL	http://www.alaskaworldaffairs.org	907-276-8038	EIN 92-6002686	406 G Street,  Suite 207	Anchorage	AK	99501	USA	International,International, Foreign Affairs & National Security	The mission of the Alaska World Affairs Council, a non-profit, non-partisan educational organization, is to: support and strengthen the United States and its institutions by developing an informed public; to stimulate interest in world affairs through a program of lectures, forums, and other educational activities; to assist individuals in reaching their own conclusions on foreign policy issues; to facilitate cooperation among organizations or groups which have similar aims, including the United Nations and the U.S. Department of State; and to promote international understanding and world peace through programs and personal contact	For the 2012-2013 year, we reached an average of 107 people per program. We also provided opportunities for Alaskan students to engage with international affairs and an average of 35 students attended each program with 94 students at our April 19th program with Barry Eichengreen!			Meetings and general program to promote individual understanding of world affairs including student program to invite students as guests to program meetings. Speakers also visit various schools and universities and programs are recorded for broadcast on public radio and internet.	
Toughlove Of Kodiak Island	http://		EIN 92-0159144	1412 Mill Bay Rd	Kodiak	AK	99615	USA							
Anchorage Bible Fellowship	http://		EIN 92-0069492	7348 Elmore Rd	Anchorage	AK	99507	USA							
Palmer Economic Development Authority	http://	(907) 355-5098	EIN 92-0151740	Po Box 2865	Palmer	AK	99645	USA	Community Improvement & Capacity Building	To pursue planning and operating activities to champion a healthy, vibrant, historic downtown core of palmer and to provide a mechanism by which taxpayers, merchants, and residents within the downtown area can participate in the conduct of these activities. To seek, receive and maintain public and private funds, property and services to apply them, or the income thereof, to these purposes and to carry on, encourage, and aid the activities in furtherance of these purposes. To support the development of a business improvement district to stimulate the downtown area.				Friday fling - street fair and festival in downtown palmer supporting local farmers, small businesses and artists with local entertainment and attractions to promote business in downtown palmer	
Alaska Bird Club	http://		EIN 92-0134866	Po Box 101825	Anchorage	AK	99510	USA							
ALASKA COMMUNITY ACTION ON TOXICS	http://www.akaction.org	(907) 222-7714	EIN 92-0177082	505 W Northern Lights Blvd Ste 205	Anchorage	AK	99503	USA	Community & Neighborhood Development,Economic Development	TO PROTECT HEALTH AND ENVIRONMENT FROM TOXICS				Alaska rural environmental justice program: the goal is to eliminate environmental contaminants that affect the waters, traditional foods, health, and cultures of the indigenous peoples of alaska.  environmental health policy and social change program: the goal is to motivate a broad range of public support to instigate local, national, and international policies to protect the health of people, wildlife, and the environment from environmental contaminants.  environmental health education program: to inform physicians, nurses, teachers, scientists, environmentalists, and other professionals as well as the general public about the link between pollutants and human health and the environment.	
Ministry Of The Living Stones Incorporated	http://		EIN 92-0130307	32930 Fair Game Avenue	Sterling	AK	99672	USA							
Kenai Peninsula Fair Association	http://kenaipeninsulafair.org	(907) 567-3670	EIN 27-0502341	16200 Sterling Hwy	Ninilchik	AK	99639	USA	Education	Connecting the greater kenai peninsula ~ providing a fun-filled, entertaining, educational and safe environment for the community to come together in part or in whole by means of the kenai peninsula fair and other community events.				To provide a community fair to support and provide safe, healty teen and youth activities supporting education in the schools maintaining a community center for use by the area's non-profits to further the overall good of the area.	
Touch Of Class Cat Club, Inc.	http://		EIN 82-0117718	943 W 6th Ave 110	Anchorage	AK	99501	USA							
Douglas Island Pink And Chum Incorporated	http://www.dipac.net	(907) 463-5113	EIN 92-0060815	2697 Channel Dr	Juneau	AK	99801	USA	Animals,Fisheries Resources	To enhance production of harvestable salmon stock in the juneau area through operation of three fish hatcheries.				Cost of harvested salmon allocated to the hatchery that may be sold to cover operating expenses and debt service for the succeeding year, including salmon market value adjustment operating costs of visitor center. The center is used to educate the public about ocean ecology and the operations of a fish hatchery.	
United Way Of Matanuska-Susitna Borough	http://www.unitedwaymatsu.org	(907) 373-5807	EIN 92-0126154	Po Box 872485	Wasilla	AK	99687	USA	Federated Giving Programs,Philanthropy	United way of mat-su's core purpose is positive community impact				The exempt purposes are for charitable, educational, public safety, financial stability, health promotion, and substance abuse prevention. Programs provide relief of the poor, the distressed, or the underprivileged; lessening neighborhood tensions and combating community deterioration and juvenile delinquency.	
Friends Of Alaska Casa	http://		EIN 92-0133200	Po Box 242484	Anchorage	AK	99524	USA	Unknown						
Play N Learn Center Inc	http://www.thrivalaska.com	(907) 479-0900	EIN 92-0047999	1949 Gillam Way Ste F	Fairbanks	AK	99701	USA	Child Day Care,Children & Youth,Youth Development Programs	Helping children and families thrive by providing high quality family-focused services that advocate for and strengthen children, families, and staff.				Head start birth to five is a state and federal funded program serving 142 eligible low income families in the fairbanks north star borough.  resource and referral is a state funded program serving over 1,000 early childhood providers and families in the interior and northern region of alaska which encompases ft. Yukon to barrow, nome, healy, tok, fairbanks and other communities within the region.  child care assistance is a state funded program serving over 400 qualifying families in the interior and northern region of alaska, (as listed above) who need financial assistance in paying for the cost of child care.  child and adult care food programs and other	
Terminal Radio Inc	http://		EIN 92-0088295	Po Box 467	Valdez	AK	99686	USA	Arts & Culture,Radio						
Barrow Search And Rescue Inc	http://		EIN 92-0109811	Po Box 565	Barrow	AK	99723	USA	Disaster Aid,Search & Rescue Squads						
Fairbanks Rescue Mission Inc	http://www.fairbanksresceumission.org		EIN 23-7326856	Po Box 73250	Fairbanks	AK	99707	USA	Homeless & Housing,Homeless Centers,Homeless Shelters,Mental Health,Substance Abuse Treatment	The Fairbanks Rescue Mission serves the poor, needy, homeless and transient population of Fairbanks and the Interior. The Mission tries to meet both spiritual and physical needs in helping people to be restored to a correct relationship with God and a productive relationship with society. As an arm of the Christian church the Mission ministers to the least, the last and the lost.					
Food Bank of Alaska	http://www.foodbankofalaska.org	(907) 272-3663	EIN 92-0073175	2121 Spar Ave	Anchorage	AK	99501	USA	Food,Food Banks & Pantries	Food Bank of Alaska believes that no one deserves to be hungry. We are dedicated to eliminating hunger in Alaska by obtaining and distributing food to nonprofit agencies serving hungry people.				Receiving and storing donated food to organizations that are tax exempt, which in turn distribute food to needy, elderly, and infants.	
Arcturus Composite Squadron Civil Air Patrol	http://www.capnhq.gov/		EIN 92-0148283	P O Box 92	Elmendorf AFB	AK	99506	USA	Disaster Aid,Disaster Preparedness & Relief Services,Education,Educational Services,Human Service Organizations,Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.					
Valdez Museum And Historical Archive Association Incorporated	http://valdezmuseum.org	(907) 835-2764	EIN 92-0159463	Po Box 8	Valdez	AK	99686	USA	Arts & Culture,History Museums	The valdez museum preserves, and interprets the heritage and culture of valdez, the copper river basin, and prince william sound, alaska.				General operations: the organization engaged in maintaining and operating museums, archives, and sites for collections.  collections and exhibitions: the collections contain both archival material and artifiacts that represent the history of our region. The purpose of collecting these physical representations of our past is to preserve them for future generations and to provide our own generation with the evidence of human society before us and to make the collections accessible to all. The exhibits within the museum tell various stories about the region's history based on the collections. Various perspectives are used to interpret the past, with an emphasis on authenticity, accuracy, and inclusivity. The exhibits are inteded to educate and enlighten visitors as well as leave them with a greater understanding of history, humanity, and themselves.  education and public programs: the education program exists to develop in local children a deeper appreciation for history and human experience. The program is based on partnership with valdez city schools and in using primary sources to help children explore history with their own minds and hands and find meaning for themselves. The public programs highlight the diversity of people in valdez's past and present, serve as forums for public discussion and finding common ground, provide social opportunities for residents, offer a meeting ground for visitors and locals, and open the eyes of residents to a world of experience beyond our own community. Lectures, special events, membership programs, receptions, and other functions target an ever-broadening range of audiences.	
Greater Sitka Arts Council Inc	http://thinkartthinksitka.com		EIN 23-7279104	Po Box 564	Sitka	AK	99835	USA		To increase awareness of the value of arts in sitka through education, advocacy and programming.				To promote awareness of arts in sitka alaska.	
National Spiritual Assembly Of The Bahais Of Alaska Assembly Of Hoona	http://		EIN 92-0075264	Gen Del	Hoonah	AK	99829	USA							
REACH	http://www.reachak.org	(907) 586-8228	EIN 92-0070127	213 3rd Skeet	Juneau	AK	99801	USA		Honor and respect the people we serve by promoting choice and well-being through advocacy and services. The goals of all service and programs are to promote choice, independence, integration, and normalization of all disabled individuals into the least restrictive, most economically and socially productive environment possible.				Community living provides services to individuals in need of 24-hr care in semi-independent apartments, their own home, or in one of four group homes.  adult services: a variety of programs to help adults live as independently as possible by providing support in their home or in the community.  employment programs: provide employment opportunities for individuals with developmental and other disabilities. Through contracts for janitorial services, reach enterprises, or in the community.  other program services include early intervention for children birth through 3-years old; artistic opportunities community programs which includes the canvas art studio and gallery; children and youth services which provides services to help children and youth live as independently as possible by providing support in their home or in the community; facilities and rentals which maintains and leases independent living apartments; and care coordination which helps individuals in need of assistance engage the resources they need to recieve reach's and other service providers' services.	
National Spiritual Assembly Of The Bahais Of Alaska Savoonga	http://		EIN 92-0084035	Po Box 134	Savoonga	AK	99769	USA							
Aglow International	http://		EIN 92-0163880	PO Box 876	Seward	AK	99664	USA							
National Society Of The Daughters Of The American Revolution	http://		EIN 23-7027800	Po Box 240611	Anchorage	AK	99524	USA	Arts & Culture,Education,Historical Organizations,History Museums,Libraries						
Alaska Native Justice Center Inc	http://www.anjc.org	(907) 793-3550	EIN 92-0145727	3600 San Jeronimo Dr Ste 264	Anchorage	AK	99508	USA	Civil Rights	Promoting justice through culturally based advocacy, prevention and intervention initiatives to restore dignity, respect, and humanity to all alaska natives.				Anjc utilizes a restorative justice model to assist villages in the development/enhancement of tribal courts, and operates programs statewide that provide services to victims.	
Anchorage Mennonite Fellowship	http://		EIN 92-0095433	1013 W 16th Ave	Anchorage	AK	99501	USA							
Heritage Bible Fellowship	http://		EIN 92-0115666	Po Box 3262	Homer	AK	99603	USA							
Anchorage Horse Council Inc	http://www.anchoragehorsecouncil.com	(907) 522-1552	EIN 92-0099876	Po Box 112195	Anchorage	AK	99511	USA	Equestrian,Sports	Section 16 equestrian center				The anchorage horse council manages the section 16 equestrian center and provides shows and facilities for members	
Birch Ridge Community Church	http://		EIN 92-0114261	33325 Echo Lake Road	Soldotna	AK	99669	USA							
Palmer Hockey Association	http://		EIN 94-3107362	Po Box 1471	Palmer	AK	99645	USA	Sports,Winter Sports						
Affinity Films Inc	http://www.affinityfilms.org		EIN 92-0082476	Po Box 91182	Anchorage	AK	99509	USA	Arts & Culture,Cancer,Education,Film & Video,Graduate & Professional Schools	Education media production				Production of documentary film on caregiving for alzheimer's patients under grant from alaksa mental health trust authority and rasmuson foundation.  media production for community awareness raising for the arc of anchorage including two short films and three public service announcements.  all other programs television programming development for state of alaska.	
Ascent Russian Orphan Aid Foundation	http://www.iOrphan.org		EIN 91-2192371	PO Box 1305	Anchorage	AK	99645	USA	Children & Youth,Children & Youth Services,Food,Food Programs,International,International Development,International Relief	* Provide basic necessities such as food, clothing and shelter to Russian orphans and homeless children. * Assist them in gaining necessary skills to become self-supporting functional members of society. * Increase public awareness to the needs of all disadvantaged and less fortunate children.				The projects that we support include: * providing food, clothes and medicine;* buying basic appliances like heaters, cooking stoves, refrigerators, washing machines, and more;* fixing leaking roofs, installing showers and toilets, replacing windows, and more.	
Toughlove International	http://		EIN 92-0163210	3721 Portage Blvd	Juneau	AK	99801	USA							
Stuart Lutton Scholarship Fund	http://		EIN 92-0147551	Po Box 2852	Kodiak	AK	99615	USA	Education,Scholarships,Scholarships & Student Financial Aid						
Anchorage Neighborhood Housing Services Inc	http://www.nwalaska.org	(907) 677-8490	EIN 92-0082642	2515 A St	Anchorage	AK	99503	USA	Homeless & Housing,Housing Rehabilitation	Neighborworks alaska is a 501(c)(3) non-profit dedicated to improving the quality of life for families and individuals by preserving homes, creating new housing opportunities and strengthening neighborhoods. Neighborworks alaska has a history of fostering change, beginning with the revitalization of the spenard community. Neighborworks alaska worked with local and state government, as well as residents and business owners in the neighborhood, to formulate a plan to upgrade the community. This effort resulted in road and pedestrian improvements, coupled with small business and home improvement lending, which support the neighborhood.				Affordable rental housing neighborworks alaska is dedicated to providing quality, safe, and clean affordable apartment homes in convenient locations all over anchorage. From well appointed three-bedroom units to practical efficiencies, we have an apartment that is ideal for any lifestyle. All our apartment communities are professionally managed and are located near schools, bus lines, and shopping. Many of our properties are also located close to major employment centers, including downtown, midtown, and southeast business districts. Home ownership / rehabilitation home ownership remains at the heart of most americans, and that dream is alive and well in alaska. Neighborworks alaska offers home buyer education and an array of affordable loan programs designed to assist home buyers with purchasing a home. Experienced staff assist potential new homeowners with the lending process and help determine how our loan products may best fit their needs. We offer down payment and closing cost assistance loans, first mortgages and partner with a number of local lenders. All loan programs are subject to income limits and other borrower eligibility requirements. Even the best built home will, at some point, need to undergo repairs or major replacements. Often the cost of replacing a roof or heating system will be a major expense. Neighborworks alaska can support current homeowners by maintaining the health, safety and value of their homes through our repair and rehabilitation programs. Community engagement and resident services neighborworks alaska believes that collaboration is the most powerful way to achieve our goal to build community through neighborhoods. By working together, sharing skills and knowledge, and pooling our resources, we can meet the needs of our community. We share a common vision with many partners of a strong, vibrant and sustainable community where everyone has a place to call home. Neighborworks alaska believes that all residents should have opportunities for civic engagement, leadership development and connections to the wider community. We empower people to make a positive difference in our neighborhoods and our city. We bring people together and focus on what makes a community a positive place to live. We teach people how to work with a diversity of opinions and backgrounds, and build strong, vibrant, and sustainable neighborhoods. Certifications a chartered member of neighborworks america. Neighborworks alaska is certified as a community housing development organization (chdo).	
Sunshine Community Health Center Inc	http://www.sunshineclinic.org	(907) 733-2273	EIN 92-0117838	Hc 89 Box 8190	Talkeetna	AK	99676	USA	Community Clinics,Health	Sunshine community health center offers accessible, proactive, quality health care regardless of ability to pay.				The center provides comprehensive health care to the residents of the upper susitna valley including primary care, mental health, dental care, substance abuse treatment, and family aid. Over 10,000 visits were provided during the tax year.	
