name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Proscenium Players Inc	http://		EIN 23-7105558	112 N Curry St	Carson City	NV	89703	USA							
The Samoan Independent Assembly Of God Church World Wide Inc	http://		EIN 95-4673770	1614 W Hammer Ln	N Las Vegas	NV	89031	USA	Protestant, Religion						
Kindred Spirit Ministries	http://kindredspiritministries.org		EIN 94-3208348	13360 W Saddlebow Dr	Reno	NV	89511	USA	Protestant, Religion	Clinical or biblical counseling				In 2014 kindered spirit ministries provided 139 sessions consisting of 315 hours of direct counseling to assist those with various challenges in life andor traumatic events expe	
Yerington Area Cat Control Yacc	http://		EIN 45-4674798	125 Highway 339	Yerington	NV	89447	USA	Animal Protection & Welfare, Animals						
Or Bamidbar Corporation	http://		EIN 88-0266172	2959 Emerson Ave	Las Vegas	NV	89121	USA	Judaism, Religion						
American Society Of Heating Refrigerating & A-C Engineers	http://		EIN 88-0308183	2701 Crimson Canyon Dr Ste 110	Las Vegas	NV	89128	USA							
Transition Services Inc	http://		EIN 88-0395940	2408 Las Verdes St	Las Vegas	NV	89102	USA	Human Service Organizations, Human Services						
Mario Murillo Ministries	http://		EIN 94-1671956	Po Box 7000	Reno	NV	89520	USA	Christianity, Religion						
Enjoying Marriage Inc	http://		EIN 51-0200530	Po Box 18093	Reno	NV	89511	USA	Protestant, Religion						
St Mark Lutheran Church	http://		EIN 88-0113326	277 Willow St	Elko	NV	89801	USA							
U S Historical Printing & Art Society	http://		EIN 63-0814822	PO Box 1645	Gardnerville	NV	89410	USA							
Childrens Medical Assistance Inc	http://www.ChildrensMedicalAssistance.org		EIN 26-0435468	1930 Village Center Circle 3-411	Las Vegas	NV	89134	USA	Health, Pediatrics	To give the uninsured and under-insured children the opportunity to have the same medical care as the more fortunate, through community and professional partnerships.					
City Of Grace World Outreach Center	http://		EIN 94-2554542	2872 Brodie Silver Way	Henderson	NV	89044	USA							
Southern Nevada Stamp Club	http://		EIN 94-2374655	Po Box 20044	Las Vegas	NV	89112	USA							
Purple W.I.N.G.S. Organization	http://www.purplewings.org/		EIN 27-3584310		Las Vegas	NV	89143	USA	Children & Youth, Children & Youth Services, Girls Clubs, Youth Development Programs						
Center Of Light And Fellowship Corporation	http://		EIN 94-2847192	7675 Hughes Dr	Reno	NV	89506	USA							
Joshua Tree Shelter	http://www.joshuatreeshelter.org	775-455-0344	EIN 80-0807345	PO BOX 1353	Elko	NV	89803	USA		Our Mission  The mission of Joshua Tree Shelter is to provide basic human necessities of shelter, food, clothing, medical care and hygiene to homeless men and women and their pets. Achievement of the mission allows for the diverse issues of homelessness to then be fully addressed. Joshua Tree Shelter will be the catalyst for independence and positive life changes.	Joshua Tree Shelter is currently in the fundraising stage to make a homeless shelter a reality in Elko Nevada			Friends of Joshua	
Open Door Ministries	http://		EIN 74-1936783	Non Profit Accounting Services	Las Vegas	NV	89107	USA							
Daybreak Christian Fellowship Inc	http://		EIN 86-0861610	7385 Prairie Falcon Rd Ste 110	Las Vegas	NV	89128	USA	Christianity, Religion						
Nick & Friends Sarcoma Foundation Inc	http://		EIN 26-4447529	2764 N Green Valley Pkwy 176	Henderson	NV	89014	USA	Health						
Mt Jameson Mb Church	http://		EIN 88-0356015	825 E St	Las Vegas	NV	89106	USA	Christianity, Religion						
Nevada Law Foundation	http://nevadalawfoundation.org	(702) 384-1204	EIN 88-0191854	2055 Village Center Cir	Las Vegas	NV	89134	USA	Crime & Law, Legal Services	To provide funding for the legally disadvantaged, to victims of domestic violence, to children protected by or in need of protection by the juvenile court or for other law related education programs for the public. The foundation also collaborates and provides funding for similar programs.				The foundation awards grants to several nevada 501(c)(3) and government organizations that provide legal aid to the disadvantaged, victims of domestic violence and children in need of protection as well as organizations who provide law related educational programs.	
Church Of Scientology	http://		EIN 88-0338027	3355 Spring Mtn 48	Las Vegas	NV	89102	USA							
RONALD MCDONALD HOUSE CHARITIES OF GREATER LAS VEGAS INC	http://www.rmhlv.com	702-252-4663	EIN 94-3108570	2323 Potosi St	Las Vegas	NV	89146	USA	Community Health Systems, Community Service Clubs, Family Services, Health, Homeless & Housing, Human Services, Temporary Housing	Believing that every child deserves a safe and supportive place to grow, Ronald McDonald House Charities (RMHC) of Greater Las Vegas creates and supports programs that directly improve the health, education and well-being of children in our community. The Ronald McDonald House is the cornerstone program of RMHC, and provides temporary housing for families who travel to Las Vegas to receive critical medical treatment for their children.		Families living 50 miles or more outside of City of Las Vegas with a child 21 years or younger receiving medical treatment in Las Vegas.		Ronald McDonald House Ronald McDonald Care Mobile Lunch is on Us RMHC Scholarship Program	~ 30,000 individuals through all of our programs
Toole Charitable Foundation	http://		EIN 77-0384189	Po Box 6377	Incline Vlg	NV	89450	USA							
St Marys Foundation Inc	http://www.dignityhealth.org	(775) 323-2041	EIN 88-0188386	520 West Sixth Street	Reno	NV	89520	USA	Health	To provide financial assistance and supporting services for dignity health.				The foundation is an irc sec 509(a)(3) supporting organization to dignity health. As a supporting organization, the foundation operates exclusively for the benefit of, to perform the function of, or to carry out the purposes of the hospital which include making payments directly to dignity health. The organization formally dissolved on 12/31/12.	
Saundras Haven	http://		EIN 20-8440110	8022 Indian Blanket St	Las Vegas	NV	89143	USA	Education, Literacy, Remedial Reading & Encouragement						
HEART & SOUL HOSPITALITY COMMUNITY DEVELOPMENT CORPORATION	http://		EIN 46-1221274	1029 Linden Leaf	Las Vegas	NV	89144	USA	Job Training						
Warm Springs Baptist Church	http://		EIN 88-0217908	2075 E Warm Springs Rd	Las Vegas	NV	89119	USA							
Crime Stoppers Of Nevada Inc	http://crimestoppersofnv.com	(702) 385-5555	EIN 94-2626426	Po Box 28353	Las Vegas	NV	89126	USA		Crime stoppers of nevada, inc. Was created to involve the public in the fight against crime. Crime stoppers of nevada, inc. Provides citizens with a vehicle to anonymously supply law enforcement with information about a crime or wanted person. Crime stoppers of nevada, inc. Offers cash rewards to eligible tipsters. The program is funded by public donations.				Witness payments - $15,601; printing/advertising - $2,584; website service - $1,530	
Boy Scouts Of America	http://www.lvacbsa.org	(702) 736-4366	EIN 88-0059265	7220 Paradise Rd	Las Vegas	NV	89119	USA	Boy Scouts of America, Children & Youth	It is the mission of boy scouts of america to serve others by helping to instill values in young people and in other ways prepare them to make ethical choices during their lifetime in achieving their full potential. More specifically, the mission of the las vegas area council is to assure that every eligible youth in the council territory has the opportunity to join the boy scouts of america and to participate in a quality scouting program.				Through 1,166 community collaborations provided the values of scouting to more than 20,004 youth and 7,342 adult volunteers. Provided training, resources, facilities and program support. Over 10,000 scouting youth and adults distributed 460,000 food bags and collected over 200 tons of food for the needy.	
Nevada Childhood Cancer Foundation	http://www.nvccf.org	702.735.8434	EIN 88-0302673	6070 S Eastern Ave Ste 200	Las Vegas	NV	89119	USA	Cancer, Cancer Research, Health	The Mission of the Nevada Childhood Cancer Foundation is to work side by side with the medical community to provide social, emotional, educational, and psychological support services and programs to families of ALL children diagnosed with a life threatening or critical illness such as cancer, HIV/AIDS, sickle cell, hemophilia, renal disorders and other immunologic diseases.		families of children diagnosed with cancer and other life threateing illnesses as well as adults touched by cancer	Southern Nevada	over 20 educational, psychological, and financial support services for families of children diagnosed with cancer and chronic illnesses (www.nvccf.org).  In addition, NCCF hosts a secondary facility, The Caring Place Program, which provides over 25 healing arts and wellness services to adults touched by cancer.  NCCF provides over 40 programs and services at no cost to participants and works to improve the quality of life for those fighting cancer and other life threatening illnesses.	over 350 diagnosed children and their families as well as over 750 adults touched by cancer
Left Of Center Art Gallery	http://www.leftofcenterart.org	(702) 647-7378	EIN 88-0355511	2207 West Gowan	No Las Vegas	NV	89032	USA	Art Museums, Arts & Culture	To provide unknown artists the opportunity to create and display their work.				To provide unknown artists the opportunity to create and display their work.	
Walker African-American Museum & Research Center	http://		EIN 88-0345110	705 W Van Buren Ave	Las Vegas	NV	89106	USA	Arts & Culture, Museums						
Jewish Family Service Agency Of Clark County	http://www.jfsalv.org	(702) 732-0304	EIN 88-0142948	4794 S Eastern Ave	Las Vegas	NV	89119	USA		The jewish family service agency (the agency) is a not-for-profit, non-sectarian, counseling and community social service organization that was incorporated in june 1977. The agency strives to address and help fulfill the psychosocial needs of the members of the jewish community as well as the community at large. Building on the jewish heritage of commitment to others, the agency provides services, through collaborative efforts, with other local, regional, and national organizations.				The agency's health and welfare program services include prevention, intervention, and short term therapy for individuals and families to enhance their quality of life; emergency assistance including food distribution, emergency financial aid, job placement assistance and jewish burials; adoption services and help for the homeless. The majority of the revenue for the agency comes from the southern nevada region.   the agency also provides assistance to holocaust survivors through short term cash assistance for basic living necessities, filing claims for reparations, couseling and/or case management services to provide emotional support, ensuring access to food, supplying medical and prescription assistance, and offering social opportunities.	
Nevada Bighorns Unlimited Reno Chapter	http://	(775) 323-1177	EIN 88-0180276	Po Box 21393	Reno	NV	89515	USA	Animals	Provide grants and donations to various nevada non-profit organizations and state agencies to be used for the protection and preservation of nevada wildlife.				Provide grants and donations to various nevada non-profit organizations and state agencies to be used for the protection and preservation of nevada wildlife.	
Foundation For Recovery Inc	http://www.forrecovery.org	702-257-8199	EIN 20-3380211	3321 N. Buffalo Dr. Suite 225	Las Vegas	NV	89129	USA	Health, Mental Health, Substance Abuse Dependency, Prevention & Treatment	Foundation for Recovery (FFR) actively promotes the positive impact of addiction recovery in the community, and works to create opportunities for those in recovery. FFR provides peer-based support services to affected individuals, their families and friends.		Adults and young adults seeking long-term recovery from addiction.	Las Vegas/Clark County, Nevada	FFRs programs include: 	A free Peer Recovery Center, currently the only location for peer recovery support services in Nevada, where individuals can receive recovery support, access to vital community resources and agencies, parenting classes, GED review, wellness information, and access to computers, phones and employment resources.  	Nevadas only Peer Recovery Coach training program, a four-day intense training for members of the recovery community who want to serve as a mentor and guide to others who are new in recovery or contemplating recovery from drug or alcohol addiction. Up to 60 people a year can be certified as recovery coaches through this program. 	Low-cost meeting space for 12-step fellowships and other support groups. The Rooms, located centrally in Las Vegas, are available for meetings 24 hours per day, 7 days per week, 365 days a year. Over 2,300 support group meetings are conducted at our facility annually. 	HYPER (Helping Young People Experience Recovery), a youth-led initiative that advocates for recovery by providing information, peer support, promoting healthy choices for adolescents and young adults. FFR established Southern Nevadas first Collegiate Recovery Center program at the University of Nevada Las Vegas in 2012.   	The Southern Nevada Recovery Resource Directory, a comprehensive guide to community resources distributed at no cost to non-profits, medical facilities, law enforcement, social service agencies, veteran groups, courts, educators and counselors. 	Workshops and trainings on addiction-related topics	
Youth With A Mission Centrum Of Las Vegas	http://		EIN 88-0231732	PO Box 14052	Las Vegas	NV	89114	USA	Children & Youth, Youth Development - Religious Leadership						
SENIOR CENTER OF BC INC	http://seniorcenterbouldercity.org	(702) 293-3320	EIN 94-2928685	813 Arizona Street	Boulder City	NV	89005	USA	Human Services, Senior Centers, Seniors	Advocate for the senior population of boulder city and provide services to enhance and empower seniors to live an independent, active lifestyle.		Enrich and empower the lives of those 50 and over to continue living independently	The Senior Center in Boulder City, NV	Nutrition, health, art, games, and connecting them with services such as extra rx help, ship medicare guidance, senior share, energy assistance, a food pantry, and mentally stimulating games and activities.	Over 600 unduplicated individuals with various programs
H30 Heavens Helping Hands Outreach	http://		EIN 90-0737452	9360 West Flamingo Ste 110-136	Las Vegas	NV	89147	USA	Human Service Organizations						
Pta Nevada Congress	http://		EIN 23-7043386	PO Box 30	Smith	NV	89430	USA							
Las Vegas 6 Foursquare Gospel	http://		EIN 94-3198933	7801 W Alexander Rd	Las Vegas	NV	89129	USA							
Disabled American Veterans	http://	(702) 438-0049	EIN 88-0191079	2775 Meadow Park Ave	Henderson	NV	89052	USA	Military & Veterans Organizations, Veterans	Assist and support disabled american vets				Service related expenses totaling $118,700:vavs - las vegas 229nat'l trans van 52992service officer expenses 6236service officers salaries 43600service schools 1230hsc 3570ns foundaion 1200welfare-relief-moral 530service commission 5271cdr to mid winter 1403cdr c&a registration 115cdr to national convention 2334	
Las Vegas Rescue Mission	http://www.vegasrescue.org	(702) 382-1766	EIN 23-7222330	480 W Bonanza Rd	Las Vegas	NV	89106	USA	Emergency Assistance, Food, Food Programs, Homeless & Housing, Homeless Centers, Homeless Shelters, Human Services	Rescue mission organized for educational, religious, scientific and general charitable purposes.				The las vegas rescue mission provides food and shelter to needy citizens throughout southern nevada in accordance with the emergency and shelter national board program	
Casa Foundation	http://www.casafoundationlv.org	(702) 429-7208	EIN 94-2920606	4045 South Buffalo Drive A101-160	Las Vegas	NV	89147	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Protection Against Abuse	Provide recognition and support for the volunteers of the casa association. Assist neglected children with emergencies, travel, medical, and other assistance.				Assisting neglected children with special needs and recognizing the volunteers who help them.	
F# Software Foundation	http://fsharp.org		EIN 30-0845638	3773 Howard Hughes Parkway South Tower, Suite 500	Las Vegas	NV	89169	USA	Computer Science, Education, Technology	The mission of the F# Software Foundation is to promote, protect, and advance the F# programming language, and to support and facilitate the growth of a diverse and international community of F# programmers.			The entire globe	Speaker engagement, mentorship, education, and more	
Spiritual Assembly Of The Bahais Of Reno	http://		EIN 94-3160737	Po Box 6447	Reno	NV	89513	USA							
Center Of Hope Christian Fellowship Local Church Of God In Christ	http://		EIN 94-3136836	Po Box 1166	Sparks	NV	89432	USA	Protestant, Religion						
All Faiths Spiritual Center	http://		EIN 23-7172940	Po Box 7101	Reno	NV	89510	USA							
Jewelers Education Foundation Of The American Gem Society	http://		EIN 95-4065573	8881 W Sahara Ave	Las Vegas	NV	89117	USA	Education, Educational Services						
LIGHT OF THE WORLD CHILDHOOD CANCER FOUNDATION, Inc	http://www.lightoftheworldnv.org	7026609025	EIN 46-2494585	7345 S. Durango Dr. B-107-317	Las Vegas	NV	89113	USA	Health, Patient & Family Support	The mission of Light of the World Childhood Cancer Foundation is:  1)	Show Gods love and reveal His presence to those affected by childhood cancer. 2)	Provide programs that support the overall health and well being- spiritual and emotional- of every family member involved in the battle. 3)	Assist in finding resources to address practical concerns (finances, etc).	It has always been Light of the World's mission to shine the light of love and hope into the dark battle of childhood cancer.  When a parent hears those four words "Your child has cancer" Their life is completely turned upside down and they begin to feel very alone in the fight. LOTW was founded by a warrior mom and was built in hopes that no warrior mom would ever feel alone in their battle with their child. Community is everything.  Since 2013 a strong warrior mom community has been built and hundreds of Southern Nevada families have been helped practically, spiritually and emotionally while walking through the battle and lifetime friendships have been made.	Families in Las Vegas, Nevada affected by childhood cancer	Light of the World brings light to the fight against childhood cancer by shining the light of love and hope into the dark battle of childhood cancer in Las Vegas, Nevada.	Practical Support:   Family Assistance grants for southern Nevada families, Blessing bags for warrior fighters and their siblings.  Emotional Support:  Comfort Coolers for Caregivers developed and delivered by cancer "warrior moms" to help that newly diagnosed family get used to their new normal.  Support groups for warrior moms and warrior angel moms   24/7 online community for moms.  Monthly in person small groups for warrior moms and warrior angel moms.  Spiritual Support: 24/7 Prayer team  Inspirational events, such as Christian conferences with scholarships for warrior moms and warrior angel moms and teen warriors and siblings.	Hundreds of Southern Nevada families
Living Word Christian Church	http://		EIN 94-3189009	1202 Vista Dr	Las Vegas	NV	89102	USA							
Great Basin Outdoor School	http://greatbasin-os.org	(775) 823-8888	EIN 88-0396516	1000 Bible Way	Reno	NV	89502	USA	Children & Youth, Education, Educational Services, Youth Development Programs	To ignite children's passion for learning and foster cooperation, respect, and responsibility through hands-on discovery in the outdoor classroom.				Great basin outdoor school programs immerse students in multi-day overnight ecology camps in natural settings on nevadas shoreline of lake tahoe. Activities meet state curriculum standards in many subjects, especially science. Students hike, snowshoe, learn ecology with hands-on activities, and do environmental projects to help keep lake tahoe blue and reduce fire danger in the tahoe basin. Activities are designed for classes of primarily fifth and sixth-grade students and their teachers and young adult volunteers. The program seeks to give the students a better understanding of our natural world and to inspire them to conserve the resources found within it, while increasing their confidence and developing more respect for themselves and each other through team-building activites. Grants and individual support keep the program affordable and provide fee reductions and scholarships for children in need. During the year, 845 students and 118 adults, with over 40. 3% from low-income families, were served.	
Down Syndrome Organization Of Southern Nevada	http://www.dsosn.org	(702) 648-1990	EIN 94-3040560	5300 Vegas Dr	Las Vegas	NV	89108	USA		The mission of the down syndrome organization of southern nevada is to enlighten the public by promoting a positive understanding of down syndrome in the community and be a source of support, information and education for families and individuals affected by down syndrome.				Providing emotional support, training, and the full range of resources needed by individuals, parents, professionals, family members, and others affected by by down syndrome.	
New Covenant Fellowship	http://		EIN 88-0273467	208 Trenier Dr	Henderson	NV	89002	USA							
Jodi's Voice	http://www.jodisvoice.org	702-509-1416	EIN 27-2535291	PO Box 778056	Henderson	NV	89077	USA	Crime & Law, Crime Prevention	To bring awareness to the crime of stalking while providing resources for stalking survivors	Prior to filing for 501(c)3 status the founder successfully lobbied for legislative change to stalking laws in Kansas & New Mexico		United States		
Safe Nest, Temporary Assistance for Domestic Crisis	http://www.safenest.org	702-877-0133	EIN 94-2411883	2915 W. Charleston Blvd, Ste 3A	Las Vegas	NV	89102	USA	Civil Rights, Domestic Violence, Family Violence Shelters, Homeless & Housing, Hot Lines & Crisis Intervention, Mental Health	To be the leading advocate in promoting the eradication of domestic violence by providing confidential assistance including shelter, food, clothing, counseling, education and other services to individuals experiencing domestic violence, while maintaining the highest respect and dignity for our clients.  A world where domestic violence is not tolerated.		women, men, and children that are victims of domestic violence	Clark County, Nevada	preventative education, confidential shelter, court advocacy, and counseling.	36,000 victims of domestic violence
Northern Nevada Inter Group Assn & Central Srvc Committee Inc	http://www.nnig.org		EIN 51-0166570	436 S Rock Blvd	Sparks	NV	89431	USA		Assist alcoholics in finding and maintaining recovery.				Organized and hosted the annual gratitude dinner. Approximately 420 individuals attended. Exchange of ideas and experiences provided support for members of the fellowship.   organized and hosted the new year's eve gala. Approximately 400 individuals attended. Exchange of ideas and experiences provided support for members of the fellowship.   organized and hosted events during the year. Exchange of ideas and experiences provided support for members of the fellowship.	
Reconciliation Christian Community	http://		EIN 95-3568605	530 Cranleigh Dr	Reno	NV	89512	USA							
Food Bank of Northern Nevada	http://www.fbnn.org	(775) 331-3663	EIN 94-2924979	550 Italy Drive	McCarran	NV	89434	USA	Food, Food Banks & Pantries, Food Programs	America's Second Harvest is the nation's largest domestic hunger-relief organization. We are a national network of over 200 food banks and food-rescue programs that distribute donated food through 50,000 charitable agencies to hungry Americans. America's Second Harvest distributes food to 23.3 million hungry people each year.				The food bank redistributes donated and purchased food to eligible agencies, the elderly, and children. The food bank also provides basic life skills training and nutritional education to reduce the reliance on emergency assistance.	
Shakespeare Animal Fund	http://shakespeareanimalfund.org		EIN 41-2182628	PO Box 8201	Reno	NV	89507	USA	Animals	To many of us a $50 medical bill at the vet is nothing, but for an elderly person on a fixed income, a single mother, a student, and for many others, it's an impossibility. So what do you do if you love your animal but can't afford to pay the bill?  Shakespeare Animal Fund, a non-profit charity, was founded after the loss of beloved cocker spaniel Shakespeare. He died after a very costly illness, and in his memory this fund was founded to help others who might face financial problems while trying to save their pets.				-	
Angel's Power Ltd	https://www.angelspowerltd.org	702-233-8221	EIN 47-4083213	600 Palmhurst Dr	Las Vegas	NV	89145	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing, Mental Health, Sexual Assault Services	To provide emergency, temporary shelter to victims, their family & pets of family molestation/rape. To end the cycle of sexual crimes against children, to stop victimization, to reduce the lasting impact to victims and their families and be the catalyst to effect change both socially and legally.	Help one family of four & their cat, who's daughter was molested.	victims, their family & pets of family molestation/rape	Danielle's House (Shelter) in Las Vegas, NV	emergency, temporary shelter, crisis intervention, education	1 family of 4 and their cat
Veterans Guest House, Inc.	http://www.veteransguesthouse.org	(775) 324-6958	EIN 94-3160109	880 Locust St	Reno	NV	89502	USA		Many veterans and family members travel long distance to receive medical treatment.  In many cases they have little or no financial means to stay in a hotel and were found to be sleeping in their vehicles or in some cases not coming to Reno for needed medical treatment.				Providing u. S. Military service veterans and their families with caring support during times of medical needs. It operates, maintains, and staffs the guest house to provide temporary housing veterans receiving out patient care and for families of hospitalized veterans.	
Wylie Animal Rescue Foundation	http://		EIN 88-0426684	Po Box 5364	Incline Vlg	NV	89450	USA	Animal Protection & Welfare, Animals						
Peoples Autism Foundation	http://www.peoplesautism.org	(702) 478-2978	EIN 26-3403577	4343 Polaris Ave	Las Vegas	NV	89103	USA	Autism, Disabilities, Health	Peoples autism foundation provides diagnostic testing to families of children believed to be autistic. The test is administered one time per child. Peoples autism foundationm provides respite services to any family with an autistic child. This service is limited to 16 hours per month.				Respite services for autistic families paid to nannies and housekeepers.	
Latin Chamber Of Commerce Community Foundation	http://www.lcccf.org	(702) 385-7368	EIN 88-0393769	2900 Stewart Ave	Las Vegas	NV	89101	USA	Education, Scholarships, Scholarships & Student Financial Aid	The mission of the latin chamber of commerice community foundation (lcccf) is to carry on and expand the social good that the latin chamber of comerce has engaged in for over three decades. The latin chamber of commerce community foundation advances the education, social and workforce development needs of the community to benefit youth and their families.				The healthcare today project program provided unemployed nevada adult and dislocated workers with on the job training, occupational training and supportitve services. The healthcare today program helped place nevadans back to work in the healthcare sector.   the gift program helped youth navigate green career pathways to ensure that youth will be able to receive the training needed to attain a livable wage in the new green economy. The gift program collectively pooled community based organizations and their resources, focus on green for youth, targeted development of career pathways/focus on entrepreneurship.	
All Vegas Horses / L.E.A.N.	http://www.LEANhorses.org	702-533-4656	EIN 90-0877718	PO Box 750174	Las Vegas	NV	89136	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	Our mission focuses on using a network of fosters, volunteers and sponsors to rescue horses seized by or surrendered to the Animal Control agencies of Clark County, Nevada.  L.E.A.N. has been the last hope for many horses and donkeys with no place left to go.  L.E.A.N. is unlike other rescue programs in that we do not have a physical ranch or sanctuary.  All the horses are placed into private foster homes and cared for by the members of that house or barn.   L.E.A.N covers the cost of feed, medical, farrier and other needs while the animal recovers under the loving care of its foster home.  Our goal:  No more Unwanted horses in southern Nevada	57 horses and donkeys rescued since our inception in 2012; more than half rehomed to loving families.	rescue, rehabilitate and rehome horses and donkeys confiscated by Animal Control agencies.	southern Nevada	medical and behavioral rehabilitation, feed assistance, sterilization, and general horse husbandry education.	20 horses
National Junior Basketball	http://	(702) 236-6069	EIN 88-0307559	11832 Bussero Ct	Las Vegas	NV	89138	USA		Community service				Organize, support and administer youth basketball programs for over 100 kids.	
Am Arcs Of Nevada	http://		EIN 23-7126367	Po Box 10384	Reno	NV	89510	USA							
Alexander Dawson Foundation	http://adsrm.orgdawsonschool.org	(702) 733-7880	EIN 22-6044616	6720 Via Austi Pkwy Ste 260	Las Vegas	NV	89119	USA	Education, Elementary & Secondary Schools, Literacy	The mission of the alexander dawson foundation is to establish, operate and maintain an educational organization that will provide students with the highest quality education, nurture future leaders, prepare young adults to excel in college and society, and develop the self-respect, self-discipline, and self-reliance of each student by stressing the value of hard work, personal responsibility and respect for authority.				The alexander dawson school in boulder county, colorado, a $34 million facility built by the alexander dawson foundation in 1970, provides a rigorous, college preparatory educational program that challenges 462 students in kindergarten through grade 12 to achieve excellence in mind, body, and character. During the 2013-2014 school year, the school provided $1,362,447 in financial aid to 98 deserving and talented students who otherwise would not have been able to afford a dawson education. In june 2014, the school awarded diplomas to 45 graduates, who were accepted to such colleges as dartmouth college, vassar college, elon university, southern methodist university and yale university and were offered $3,723,110 in scholarships. In addition, the school owned and operated a summer camp in 2014 that offered instruction and activities in music, sports, academics, art, drama, technology, engineering and science for 1,330 boys and girls.   the alexander dawson school at rainbow mountain in las vegas, nevada, a $38 million facility built by the alexander dawson foundation in 2000, provides a nurturing learning community for 603 students in pre-school through grade eight that challenges students to achieve excellence in mind, body, and character. During the 2013-2014 school year, the school provided $1,631,910 in financial aid to 127 deserving and talented students who otherwise would not have been able to afford a dawson education. In june 2014, the school graduated 52 eighth-graders, who have gone on to attend local public and independent high schools, as well as, such boarding schools as blair academy, choate rosemary hall, phillips exeter academy, the taft school, and the thacher school.   the alexander dawson foundation supports dawson summer initiative (colorado) and dawson college bound (nevada). Each consists of a summer program and a year-round mentoring program conducted on each school campus. The programs provide enriching, intellectual opportunities for high-achieving public middle school students at no cost to the participants. Transportation and meals are also provided at no cost. Dawson summer initiative is an enrichment program for high-achieving public school students currently in grades 6 and 7. 155 students from over 25 schools in boulder county and surrounding areas attended 5 weeks of intensively collaborative, hands-on study of a particular theme. The program is held at the lafayette campus and provides opportunities for inquisitive students to meet other students from many different schools, delve into one of the most talked about topics in the news, and identify real-world solutions. Dawson college bound is an initiative that provides long-term academic enrichment and mentorship to high-achieving, las vegas area public school youth as a bridge to college. Public school middle school students begin their participation following 6th grade and progress through the program during middle and high school years. Activities included a month-long summer program, weekend workshops, school fairs, social events, and academic advising. During 2014, 165 students participated.   the foundation, a nevada charitable trust, was organized and is operated exclusively for charitable and educational purposes. Its mission is to establish, operate and maintain an educational organization that provides students with the highest quality academic instruction.	
Truckee River Yacht Club	http://		EIN 88-0303035	Po Box 8409	Reno	NV	89507	USA	Education						
Nevada Diabetes Association	http://diabetesnv.org	775-856-3839	EIN 23-7046643	1005 Terminal Way, Ste 170	Reno	NV	89502	USA							
Friends Of Nosara	http://		EIN 13-4144380	1780 Timaru Ct	Reno	NV	89523	USA	Human Service Organizations, Human Services						
St Judes Ranch for Children Inc	http://www.stjudesranch.org/	(702) 294-7100	EIN 88-6006970	PO Box 60100	Boulder City	NV	89006	USA	Children & Youth, Foster Care, Group Homes, Human Services	St. Judes Ranch for Children serves all abused, abandoned and neglected children and families, creating new chances, new choices and new hope in a safe, homelike environment.				National Headquarters for St. Jude's Ranch For Children Boulder City, Nevada Campus; St. Jude's Ranch For Children Bulverde, Texas Campus and St. Jude's Ranch For Children Emergency Shelter/Pregnant And Parenting Teens Program.	
Nour International Relief Aid	http://	(310) 458-6828	EIN 95-4634253	6077 S Fort Apache Rd Ste 100	Las Vegas	NV	89148	USA	Human Service Organizations, Human Services	This organization provides humanitarian aid to needy recipients throughout the world.				The charity was successful in providing pharmaceuticals to the us embassy, for the african union mission in somalia. These pharmaceuticals were purchased from medpharm pharmaceuticals and were shipped directly to the us embassy in somalia.	
Austin Dancers Inc	http://		EIN 11-2554738	2008 Cedar Hills St	Las Vegas	NV	89128	USA							
MERCURY MOMENTUM	http://www.mercurymomentum.com	7757620651	EIN 46-2264332	2700 Scholl Dr	Reno	NV	89503	USA	Arts & Culture, Community & Neighborhood Development, Economic Development, Environment, Natural Resources Conservation & Protection	We are a volunteer run 501(c)3 organization in Reno, NV that seeks to inspire personal action and positive change through educational activities and events that promote greater awareness of multicultural heritage and diversity, social and environmental responsibility, creativity, expression and community spirit. Some of our programs include Reno Earth Day, Earth Innovations Science Fair, All the Earths a Stage and Artists Grove Art Programs, Oktoberfest Harvest Jamboree and many others.		our community	Reno-Tahoe Area	Earth Day Every Day, All the Earth's a Stage, Earth Innovations and volunteerism	800+ students, 300+ local businesses and over 100 nonprofits
Nova Town	http://		EIN 77-0594087	1751 N Buffalo Dr # 104-106 Pmb PO	Las Vegas	NV	89128	USA	Environment						
Macdonald Center For The Arts & Humanities Inc	http://	(702) 458-0001	EIN 88-0349967	1730 W Horizon Ridge Parkway	Henderson	NV	89012	USA	Arts & Culture, History Museums, Humanities, Museums	MUSEUM OF ANCIENT ART				Donation to archaeological institute of america to promote their mission. Donation to unlv foundation to promote their mission.	
Abc Nevada Chapter Northern Division Apprenticeship Trust Fund	http://		EIN 94-2962294	240 S Rock Blvd Ste 121	Reno	NV	89502	USA							
Committee Against Domestic Violence	http://elkoharborhouse.com	(775) 738-6524	EIN 88-0187930	Po Box 2531	Elko	NV	89803	USA		To heighten community awareness of domestic violence; provide shelter for abused victims and their children; provide counseling and support services to all persons involved in domestic violence.				To heighten community awareness of domestic violence; provide shelter for abused victims and their children; provide counseling and support services to all persons involved in domestic violence.	
