name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results	 	Bay Grasses In Classes 	Best Buddies Colleges	Vision Statement
Front Range Equine Rescue	http://www.frontrangeequinerescue.org	352-209-7510	EIN 84-1418525	PO Box 458 Suite	Ocala	FL	34478	USA	Animal Protection & Welfare, Animals	Dedicated to stopping the abuse and neglect of horses.	save the Wild Horses, keep horses from going to slaughter, and end horse abuse	many horses through rescue and adoption, and we fought huge corporations against horse slaughter.	Florida, Virginia, and Colorado	rescue program, adoption, Save the Wild Horses campaign, horse-related education programs, and owner assistance programs.	Hundreds of horses have been saved through our efforts.				
Common Ground For Conservation	http://www.cgconservation.org	786-250-1718	EIN 59-3811928	3401 SW 72 Avenue	Miami	FL	33155	USA	Environment, Natural Resources Conservation & Protection	Common Ground for Conservation is a non profit 501 (c) (3) aimed at helping people develop the attitudes, skills and knowledge to make informed decisions for the benefit of themselves and others, now and in the future, and to act upon these decisions to protect the human health and the environment through education, leadership and volunteerism.	Our programs are breaking down language barriers of the Hispanic community by providing literacy in Spanish, understandable and adapted to their own idiosyncrasy, so that they can better understand the American culture, and become fully participating members of our society by conserving the natural resources and supporting their distinctive heritages and creative capacities.								
Angels Pediatric Heart House	http://www.aphh.org	954-318-2020	EIN 68-0579881	151 North Nob Hill Road Suite 139	Plantation	FL	33324	USA	Birth Defects & Genetic Diseases, Health, Patient & Family Support	Our mission is to help ease the financial, emotional and  social  burdens that Congenital Heart Defects (CHD) and Childhood Acquired Heart Disease places upon a family, while providing comfort to children as they cope with the extended hospital stays, often associated with their illness.	Angel's Pediatric Heart House serves families of newborn children to age 18 affected by congenital heart defects who reside in Broward, Palm Beach or Dade Counties, Florida or who are being treated at Joe DiMaggio Children's Hospital, Miami Children's Hospital or Holtz Children's Hospital/Jackson Memorial in Florida.	close to 300 CHD hospitalized cardiac children and their parents.	South Florida	Emergency Financial aid to help ease the financial, emotional and social burdens that Congenital Heart Defects (CHD) and Childhood Acquired Heart Disease places upon a family, while providing comfort to children as they cope with the extended hospital stays, often associated with their illness.  Angels Pediatric Heart House makes hospital visits to Joe DiMaggio Childrens Hospital, Hollywood, FL; Miami Childrens Hospital and Holtz Childrens Hospital/UM Jackson Medical Center in Miami.  We provide hospitalized cardiac children with a Heart Shadow Buddy and meal vouchers for parents, while also providing financial aid to families on a case-by-case basis.   Peer-to-peer support  Community awareness	Angels Pediatric Heart House makes hospital visits to Joe DiMaggio Childrens Hospital, Hollywood, FL; Miami Childrens Hospital and Holtz Childrens Hospital/UM Jackson Medical Center in Miami.  We provide hospitalized cardiac children with a Heart Shadow Buddy and meal vouchers for parents, while also providing financial aid to families on a case-by-case basis.				
Susan B Anthony Center Inc	http://		EIN 65-0583089	1633 Poinciana Dr	Pembroke Pnes	FL	33025	USA	Domestic Violence, Family Services, Family Violence Shelters, Homeless & Housing, Homeless Centers, Human Services, Mental Health, Substance Abuse Treatment	SBA was founded in 1994 by the Junior League of Greater Ft. Lauderdale to provide a place for women to continue their substance abuse treatment services while remaining with their children. A comprehensive service array is provided including:  supervised housing; transportation, substance addiction treatment; mental health services for the women & children; parenting & bonding classes; domestic violence classes; HIV support services; relapse prevention groups; & an Aftercare program.  We have provided services to over 290 families to date.									
The Arc Tampa Bay Foundation	http://www.thearctbfoundation.org	(727) 797-8712	EIN 59-2174961	1501 N Belcher Rd Ste 244	Clearwater	FL	33765	USA	Human Service Organizations, Human Services, Job Training	UPARC Foundation, Inc., is the fundraising arm of UPARC, Inc. We work solely to ensure they fulfill their mission to serve children and adults with developmental disabillities and special challenges.	children and adults with intellectual and developmental disabilities	400 individuals live a life of dignity and respect.	Tampa Bay	day programs, work programs, recreational programs, life skills training, outings,	Since 1982, the year of our incorporation as a 501 (c)(3) non profit corporation we have raised $30 million for UPARC. We have accomplished this because of the wonderful people in Pinellas County!				
Amber Animal Outreach	http://www.aaodog.org		EIN 47-1280914	P.O Box 1036	Loxahatchee	FL	33470	USA	Animal Protection & Welfare, Animals		rescue and ssave dogs		florida						
Conservancy of Southwest Florida, Inc.	http://www.conservancy.org	239-262-0304	EIN 59-1157084	1450 Merrihue Drive	Naples	FL	34102	USA	Animals, Arts & Culture, Environment, Natural History & Natural Science Museums, Natural Resources Conservation & Protection, Protection of Endangered Species, Water, Water Resources, Wetlands Conservation & Management	The mission of the Conservancy of Southwest Florida is to protect Southwest Florida's unique natural environment and quality of life...now and forever.The Conservancy is a grassroots organization focused on the critical environmental issues of the Southwest Florida, protecting the water, land and wildlife of the region.   This is accomplished through the synergies of environmental science, education, policy and willdlife rehabilitation thanks to individuals and volunteers sho support the organization.			Southwest Florida Counties:  Collier, Lee, Charlotte, Hendry, Glades	Conservancy of Southwest Florida Nature Center von Arx Wildlife Hospital Environmental Policy Environmental Science Environmental Education www.conservancy.org	Conservancy of Southwest Florida Nature Center is undergoing $20 million in renovations, supported by the $38.8 million raised by the "Saving Southwest Florida" Capital Campaign.  Phase one of the opening was launched on November 1, 2012.  A Grand Reopening Festival is planned for April 20-21, 2013.				
We Care Food Pantry Inc	http://		EIN 80-0552092	Po Box 331	Homosassa	FL	34487	USA	Food, Food Banks & Pantries										
Howey Horse Haven Rescue	http://howeyhorsehavenrescue.org	352-223-8761	EIN 46-3496159	22109 N. Buckhill Rd.	Howey In The Hills	FL	34737	USA	Animal-Related, Animals	Howey Horse Haven provides a safe environment with caring volunteers who are passionate, caring and committed to providing the needs of abused, neglected, abandoned and unwanted horses and ponies. We are a rescue ranch that strives to create a safe haven and a second chance, dedicated to the rescue, rehabilitation, and rehoming of our beloved horses.	rescue and rehailitate horses and ponies	As of last year, we saved the lives and find forever homes for 48 horses and ponies!	Lake County, Howey In The Hills, Florida	HHHR isdedicated to the rehabilitation of abused, neglected, and unwanted/unloved horses, ponies, and donkeys.We provide proper nutrition, medical, farrier anddental care,and, foremost, a safe haven for these beautiful horses to recover from their former situation. We strive daily to give all our rescues a much deservedsecond chanceat life and ultimately place them with adopters who can provide them with permanent, loving homes, where they will never feel hunger or pain again. As a haven and a home, we are a sanctuary for equines in their golden years, those that havecontinual medical needs, and those with behavioral issues.  All horses that enter the gates of HHHR are on their journey to a new beginning!					
Wounded Warriors in Action Foundation Inc	http://www.wwiaf.org	813-938-1390	EIN 26-0718304	6516 Dolphin Cove Dr	Apollo Beach	FL	33572	USA	Military & Veterans Organizations, Veterans	The Wounded Warriors in Action Foundation Inc. (WWIA) serves our Nations combat wounded Purple Heart recipients by providing world-class outdoor sporting activities as a means to recognize and honor their sacrifice, encourage independence and connections with communities, and promote healing and wellness through camaraderie and a shared passion for the outdoors.	Purple Heart recipients	275 Purple Heart recipients	Communities across North America	World-class outdoor sporting activities that aid in the recovery efforts of our nation's combat-wounded veterans, all at no cost to them.	To date we have assisted over a thousand Wounded Warriors on their path to healing. According to an independent study, the majority of Heroes in our programs report the following:  Increased opportunity to connect with peers;  Care and support from WWIA staff and volunteers;  Increased opportunity for personal growth;  Increased access to otherwise inaccessible sporting opportunities.				
Stop Hunger Inc	http://www.stophungerinc.org	3057137123	EIN 65-0128585	P O Box 611235	North Miami	FL	33261	USA	Food, Food Programs	THE ORGANIZATION'S MISSION IS TO PROVIDE FOOD AND NECESSITIES TO QUALIFIED INDIVIDUALS AND ORGANIZATION	The poor, needy and homeless		Miami Florida	Distributing food to the homeless and needy in the community.					
Sixteen Hands Horse Sanctuary Inc	http://www.sixteenhandshorsesanctuary.org	941-228-5441	EIN 26-1224137	712 Roy Moore Road	Ona	FL	33865	USA	Animal Protection & Welfare, Animals	Mission Statement  To provide rescue, rehabilitation and lifetime sanctuary to abused, abandoned, neglected and unwanted horses.  To promote awareness of the principles of natural horsemanship through educational programs at the sanctuary.  To provide outreach assistance to horse owners in the community.				Rescue of horses in nees; horse card day camops for children; adopt a horese program (sponsor a horse)	We have rescued and given lifetime homes to well over 50 horses and donkeys.  In addition uniting horses in need of homes with people willing and able to give them lifetime homes.				
National Coalition for Patriots Inc.	http://www.nationalcfp.org	239-699-6732	EIN 27-3337568	2722 SW 3rd ave	Cape Coral	FL	33914	USA		Our mission is to uplift, honor and salute our veterans by providing both financial assistance and personalized advocacy with the intent of enriching their lives.	our veterans during their time of need	Veterans with $78,000.00 in financial assistance.	the United States	Financial assistance, job placement, housing, advocacy work, getting veteran benefits, and much much more	We are proud to say that we have raised $100,000.00 in lest then 3 years and have given back  $78,000.00 back to veterans in need. For 2014 we are currently at .98 of every dollar raised has gone back to our veterans!!!				
Bread of Life Fellowship Inc	http://www.breadoflifefellowship.com	407-654-7777	EIN 59-3166797	655 N. Kissimmee Ave. Ocoee, FL  34761 (Warehouse) P. O. Box 770451 (mailing)	Winter Garden	FL	34777	USA	Food, Food Banks & Pantries, Food Programs, Human Service Organizations, Human Services	Bread of Life Fellowship, Inc. is a faith-based 501 (C) (3) organization that has been feeding the needy throughout Central Florida since 1991. We have the privilege of providing food (physically and spiritually) for adults and children in need; especially those who live at or below the poverty level, are homeless or unemployed, individuals with disabilities, orphans and seniors. We pick up donations from companies throughout the state of Florida, sort the items in our warehouse and distribute them to our affiliated organizations across Central Florida.  These outreach organizations are primarily grassroots ministries like churches and community centers, drug/alcohol rehabilitation facilities, assisted living homes, homeless shelters and more.	Low-income families who are food-insecure	71,092 families throughout Central Florida	Orange, Lake, Seminole, Polk, Sumter, Osceola and several other Central Florida counties	free food days, meals to the homeless, emergency boxes of food and a variety of other outreach programs.  These are often grassroots ministries like churches, community centers, senior living facilities, rehabilitation centers, etc.  They provide food and a message of hope (counseling/prayer) to all who come in need, free of charge.	In 2013, Bread of Life Fellowship and our network of outreach programs provided food and hope to 71,092 families in Central Florida.  This included 82,069 adults and 30,669 children in nine counties.  We tracked 30,520 volunteer hours and received over 2.6 million pounds of donated goods at our warehouse.  The biggest blessing was knowing that 1,831 people gave their lives to Christ as a result of the counseling and prayer offered by our outreach programs.				
Heart Gallery of Pinellas & Pasco	http://www.heartgallerykids.org	(727) 258-4806	EIN 06-1771581	500 Dr. Martin Luther King Jr Blvd N. Suite 300	Saint Petersburg	FL	33705	USA	Children & Youth, Children & Youth Services	The mission of the Heart Gallery of Pinellas & Pasco is to increase the number of successful adoptions of local children in foster care. In addition to featuring children, we recruit and support families interested in adoption.	children in foster care elegible for adoption	+100	Pinellas & Pasco	promotion, fundraising, activism, supervision, orientation, talks, galleries	At the present, the Heart Gallery of Pinellas & Pasco is approaching its 300 adoptions.				
Catty Shack Ranch Wildlife Sanctuary Inc	http://www.cattyshack.org	904-757-3603	EIN 59-3698971	1860 Starratt Rd	Jacksonville	FL	32226	USA	Animals, Wildlife Sanctuaries	Catty Shack Ranch Wildlife Sanctuary is a 501(c) (3) non-profit organization. Our mission is to provide a safe, loving, forever home for endangered big cats, and to educate the public about their plight in the wild and captivity. Our primary focus is in the rescue of cats from serious situations. Once an animal is taken in at Catty Shack Ranch, they have a loving, forever home for life. We do not breed, sell, or trade any of our animals. Our current residents include tigers, lions, cougars, leopards, bobcats, arctic foxes, and coatimundis (the last two are honorary cats).	educate the public.We strongly believe in educating our children and the public about the dangers of owning these beautiful exotic animals as House Pets, and their plight in the wild.	Over 3,000 students and donated thousands to other nonprofits with VIP Passes to the ranch for their Silent Auctions!	Jacksonville, Fl	We give educational school tours year round and we are open on selected weekends to the public. Please visit our website www.cattyshack.org for more information.					
Jeffrey's Voice, Inc.	http://www.jeffreysvoice.org	678-641-8250	EIN 26-4124810	18 Sea Winds Lane West	Ponte Vedra Beach	FL	32082	USA	Cancer, Cancer Research, Health	To reach the day when no more are lost to Leukemia and Blood Cancers ...the day when all remissions are permanent, and the day when finally there is a cure for all.	Leukemia and Blood Cancers strike indiscriminately, without regard to race, ethnicity or age. Jeffrey's Voice funds research that will lead to a cure for all.	All of those struggling today with Leukemia and Blood Cancers and all of those yet to come.		Raising funds for organizations primary exempt purpose listed above.	Established the Jeffrey's Voice Leukemia Research Fund at the Winship Cancer Institute of Emory University.				
The Literacy Alliance	http://thelitalliance.org	407-366-7799	EIN 27-0550418	PO Box 622362	Oviedo	FL	32762	USA	Education	Our mission is to make a positive difference in the lives of Central Florida residents by providing educational resources, programs, and training opportunities through in-person presentations and the Internet. Targeting at-risk children and adults, we encourage them to reach their highest potential by discovering the rewards and joy of reading.	children enjoy literature.	over 4000 children and teens enjoy reading by providing 240 programs.	Central Florida	Book Busters Science Fun Eugene Gregory Production Crew Boys Town Middle School Booktalks Third Grade Summer Booktalks Homeless Shelter Preschool/Kindergarten Story Time Juvenile Detention Center	In 2013, we provided eleven different types of programs, 239 times to approximately 4,000 individuals in 40 different facilities.  There were 40 different individual volunteers whose efforts totaled 2,200 volunteer hours. The Literacy Alliance was founded on high quality literacy programs that benefit the community.  Providing these programs have been and always will be our highest goal.  The literacy needs of the community are an important issue and it is our hope to address those needs more fully with each passing year.				
AMIkids Jacksonville, Inc.	http://		EIN 59-1447527	7801 Lone Star Rd	Jacksonville	FL	32211	USA											
South Beach Chamber Ensemble Inc	http://sobechamberensemble.org	305-673-2183	EIN 65-1087701	1350 EUCLID AVE,  #2	Miami Beach	FL	33139	USA		The mission of the South Beach Chamber Ensemble is to promote and perform chamber music in all its diverse forms, from its origins in the distant past to the varied cultural creations being produced today, bringing together performers, composers and audiences to experience the beauty and intimacy of the human spirit. We envision a world where chamber music inspires and energizes all people, creating peace, harmony, joy and unprecedented satisfaction in being alive.	provide innovative chamber music experiences		south Florida	Music in Beautiful Spaces, Mozart on the Move, Fantasma and Mozart Meets Gaga.					
Bird Gardens of Naples Inc.	http://www.birdgardensofnaples.org	8138411911	EIN 81-4036268	1060 Purple Martin Dr 1060 Purple Martin Dr	Naples	FL	34120-4868	USA	Animal Protection & Welfare, Animals	About Our Organization The Bird Gardens of Naples is a nonprofit organization whose sole concern is parrot welfare in captivity and conservation of wild parrots. We are an outreach and placement program which places into safe custody, parrots which are abandoned, abused, or in need of a home for any reason. Parrots are intelligent, highly social and complex beings with a life span of up to 80 years. The individual birds best interest and well being of the present flock will determine if a parrot is accepted into the organization. We actively support networking with other parrot welfare groups, animal welfare organizations, the veterinary community, conservation organizations and the general public. Education is of the utmost importance concerning the well being of a parrot and its ability to successfully live with its human companions.	The Bird Gardens of Naples is located in Corkscrew Swamp with a variety of flora, fauna, bees and butterflies. Tours last approximately two hours with several miles of walking trails. You will have the opportunity to see, learn, and interact with 300+ birds from origins around the world. If weather allows, groups can enter our large macaw aviary with opportunities to take photos and hold birds. Please wear comfortable shoes and dont forget your sunscreen and bug spray. Feel free to bring unsalted nuts to feed the birds, no peanuts please. We do not charge a fee for our tours, but donations are greatly appreciated and go along way to help keep the birds happy and healthy.	200 students	south west florida	education					
Pals Around the World	http://www.palsaroundtheworld.com	3109168827	EIN 27-2418511	7501 E Treasure Drive unit #6M	North Bay Village	FL	33141	USA	Children & Youth, Children & Youth Services	PALS AROUND THE WORLD is a series of celebrity and educationally endorsed children's books teaching love, unity and the importance of giving back to help children and the environment. Each book is based on a different country, with a chance for children to connect to their very own pen-pal. As a  501c3 nonprofit - we donate our educational program and books with schools, after schools, libraries and related charities aligned with making the world a better place for our children.  In support of children , $2.00 from independent sales of hard copy books goes directly to Children International along with help/support to a myriad of other causes helping children and the environment.  Each hardcopy book is eco-friendly - with two trees planted for every tree used to manufacture each PALS AROUND THE WORLD book in partnership with Global Releaf and American Forestry	Children age 6 and up.	Numerous libraries, schools and after school programs across the United States	Schools (LA, South Florida and NY for starters.. expanding nationally and internationally	Pals educational books and program go with Pals Ambassadors to schools, All Stars After school programs and libraries  that need our help. As our world changes, we are changing too! We supply eco-friendly text books for those who dont have technology yet and developing ways of leaving our carbon footprint by developing funds to also share Pals books electronically in the future along with our Electronic toolkit (housing our latest Green tips, brochures for a international pen-pal through CI, guided lesson plans for Ambassador visits and our "ART FROM THE HEART" contest for Spain allow us to share our work globally with no borders. As a nonprofit that publishes educational text books we are busy!  Now, all we need is the funds to do it!. $25,000 to produce and release 1 new PAL AROUND THE WORLD book a year on a different country with our educational "think tank"  to provide what are kids need in the NOW is not a lot of funds to make a big impact on our children and a better future!	As a nonprofit , we are focused on fundraising efforts to develop and publish more eco-friendly and online educational books and continue to share our program./outreach to more schools, libraries and organizations who have the same "mission and vision" to improve our children's lives and education. Together we can create a better world for our children. One of love, peace and greater understanding.				
Dream Big Horse Club & Rescue Inc	http://www.dreambighorseclub.org	352-321-8604	EIN 46-1591057	17825 Terra Vista Ct	Winter Garden	FL	34787	USA		We have a multiple purpose mission here at DBHC; we want to help any horse or child in need by offering them a safe haven to heal and learn to trust again, and we also want to educate children and local families by teaching them to care for themselves, the earth, and others by giving them a strong foundation in faith and organic living.	Children & horses		Central Florida	Organic farm camp, Horses with  Halos Program, and  an equine rescue facility. We teach children to care for their earth, themselves, and others by living a faith based organic lifestyle. We have partnered with Big Brothers Big Sisters of Central Florida to offer any child in need our services free of charge. Horses with Halos is an equine therapy program for children that have been victims of abuse, neglect, or suffer from emotional or social challenges.	We have helped 100's of children and horses recover from abusive situations. We educated children and families in the community on the importance of  organic farm living, strong foundation in faith, and accountability to each other. We have worked with Big Brother Big Sisters offering the families our services free of charge. We offer community children the opportunity to experience what life on a farm is in the middle of a big city.				
National Center For Prevention And Research Solutions Inc	http://ncprs.org	(386) 760-2254	EIN 38-3082852	3132 S Ridgewood Ave	South Daytona	FL	32119	USA	Mental Health, Substance Abuse Prevention	To educate and impact our nation's youth to make healthier life choices by developing, promoting and distributing drug use awareness and prevention programs.				Race against drugs (rad) and stay-on-track (sot) programs develop drug use awareness and prevention for various public and private institutions.   school scholarship program					
Nesting Knowledge at the Wright Place, Inc	http://www.nestingknowledge.org	561-406-4424	EIN 46-2137647	PO Box 222696	West Palm Bch	FL	33422	USA	Children & Youth, Youth Development Programs	Nesting Knowledge At The Wright Place, Inc. was created to help prepare teenagers, especially teenage parents, for a bright future. It is our mission to provide support to teens that will expand their thought processes and help them go from adversity to productivity, and ultimate success. The programs are designed to provide knowledge, spiritual guidance and positive thinking thinking to teenagers as they begin to transition into young adults.	teenagers, especially teenage parents		West Palm Beach	mentoring, life skills courses, positive thinking guide, teenage parents support groups, college preparation, spiritual guidance	On July 11, 2015, Nesting Knowledge At The Wright Place, Inc. held their first awareness, fundraiser and empowerment event at the Palm Beach County Convention Center; over 100 women and teenage girls attended the event.   On August 29, 2015, Nesting Knowledge At The Wright Place, Inc. will conduct a meet and greet at the local library. The organization welcomes parents, teenagers & anyone interested in volunteering to attend. The organization will donate school supplies to the first fifteen teenagers that attend the meet and greet.  In November 2015, Nesting Knowledge At The Wright Place, Inc. partnered with the Solid Waste Authority and Adopted-A-Spot. The members collected 5 bags of trash in the area of Roebuck and Haverhill Road in West Palm Beach, Florida.   In December 2015,  Nesting Knowledge At The Wright Place, Inc. visited the Edward J. Healey Rehabilitation and Nursing Center. The girls read Christmas cards, sung Christmas carols and played bingo with the patients.				
Clarita's House Outreach Ministry, Inc	http://www.claritashouse.com		EIN 26-1431256	1521-1523  Fortune Retail Ct.	Kissimmee	FL	34743	USA	Protestant, Religion	Our Mision: to help the homeless and disadvantaged achieve self-sufficiency and inspire them to reconnect with society in a productive way.	the homeless and disadvantaged.  We are a Christ centered program based on biblical principles.	3,214 individuals, 1,618 Total Household Served with 129,887,000 pound of in-kind donations,   with 5,294 volunteer hours	Orange and Osceola Counties	We provide a hot meal to the homeless in Orange County; we provide groceries and other resources in Osceola County.  In Osceola County, we are putting most of our emphasis on the children living in hotels, on the streets and in the woods.  We provide clothing, blankets, toiletries, spiritual support and other resources to both Orange and Osceola counties.  We depend solely on assistance from individuals, churches, businesses and foundations to operate our programs.					
Best Foot Forward Foundation Inc	http://www.bestfoot.org		EIN 30-0598378	9045 La Fontana Boulevard Suite 111	Boca Raton	FL	33434	USA	Education, Educational Services	Our mission is to empower foster care youth to maximize their potential by providing essential academic support and guidance.	youth in foster care	our students learn, earn credits, and graduate high school	Palm Beach County	academic support services, individualized educational mentoring.	We have a 100% high school graduation among many other impactful accomplishments.				
Community Tampa Bay, Inc.	http://www.communitytampabay.org	727.568.9333	EIN 81-0675602	1499 Beach Drive SE  Unit C	St. Petersburg	FL	33701	USA	Children & Youth, Civil Rights, Intergroup & Race Relations, Leadership Development, Race, Youth Development Programs	Community Tampa Bay promotes dialogue and respect among all cultures, religions and races by cultivating leaders to change communities.				Anytown - a youth leadership and diversity education program. Launched in 1991, the anytown program continues to be the only youth leadership and diversity education programs in the tampa bay area. The program begins with a weeklong residential session and continues throughout the year with additional training, workshops and service opportunities. The goal of the program is to empower diverse groups of young people to create more inclusive and just schools and communities. Anytown is the one place where your race, religion, social class and gender don't come between you and your peers. It starts with a one week trip to a world without bias, prejudice or stereotyping. For some youth, it is a place to unlearn the racism they have been taught at home. For others, it is a safe place to talk about the violence they encounter at school. After this profound experience, anytown graduates begin looking for opportunities to change their communities. Many will return to anytown year after year as counselors in order to give back to the program. Community tampa bay provides the anytown experience for youth ages 14-19 across tampa bay. We profoundly believe we can improve our community -- one person at a time. One of our strengths is turning negative leaders into positive ones through our unique and proven methods of peer modeling and experiential education. This is why anytown was recognized by the national council on crime and delinquency as one of the most effective programs for preventing juvenile delinquency in the nation. In the summer of 2013, 113 youth graduated from the residential portion of the program which was delivered by a staff of 35 volunteers.   workplace - effectively managing diversity in the workplace.					
Orlando Union Rescue Mission Inc.	http://www.ourm.org	407-422-4855	EIN 59-1035082	1521 West Washington Street	Orlando	FL	32805	USA	Homeless & Housing, Homeless Shelters	Since 1948, the Orlando Union Rescue Mission''s purpose is to bring the hungry, hurting and homeless to new life, new goals and a new future in Christ. While providing basic services such as food, clothing and shelter, the Orlando Union Rescue Mission offers life-changing programs that rebuild lives emotionally and spiritually. This is accomplished through Christian teaching, mentorships and work discipline in order to return formerly homeless men, women and children to a productive and independent lifestyle while achieving their full potential.				Homeless (or nearly homeless) single women, single women with children and husband/wife with children undergo an intensive interview process to be accepted into OUR Mission Home long-term transitional living facility. No emergency/overnight shelter is available at this location. Services include, but are not limited to, basic needs such as food, clothing and shelter but also consist of a case management system, biblical classes, education, advocacy, career counseling, youth/child care services all in a "home-like" atmosphere. There is no charge for admittance into OUR Mission Home;however, the following guidelines must be followed:					
Lords Place Inc	http://www.thelordsplace.org	561-494-0125	EIN 59-2240502	PO Box 3265	West Palm Bch	FL	33402	USA	Homeless & Housing, Homeless Shelters	The Lords Place is dedicated to breaking the cycle of homelessness by providing innovative, compassionate and effective services to men, women and children in our community.				The Lord's Place is a nonprofit, non-sectarian, 501(c)3 organization that has been changing the lives of homeless families and individuals in Palm Beach County for over 30-years. We are committed to breaking the cycle of homelessness with programs and services that include: community engagement, supportive housing, job training & employment.	In 2011, we provided supportive housing to 508 men, women and children. By the end of the year, 91% were no longer homeless. This past year, we also helped 133 formerly homeless men and women gain job skills and helped place 88 in jobs with local employers. Our success over the years is due to an unwavering commitment to our clients and an approach that balances compassion and personal responsibility.				
JACOB S ZWEIG FOUNDATION INC  dba IN JACOB'S SHOES	http://injacobsshoes.org	954-905-2505	EIN 27-1252273	5431 NW 15th Street Suite #10	Margate	FL	33063	USA	Centers to Support the Independence of Specific Populations, Human Services	The mission of In Jacob's Shoes is to provide new and gently used shoes, backpacks, school supplies and athletic gear to local children and families in need. Grants are also awarded for camp, after care, athletic and enrichment programs.	local children and famiiles in need	provided 15,000 pairs of shoes and 1,000 backpacks complete with school supplies to children and families in need	Broward, Palm Beach & Dade Counties, Florida	shoes, backpacks, school supplies, athletic gear and camp grants.	From inception (2009) to July 2016, In Jacob's Shoes has provided 85,000 pairs of shoes and 5,000 backpacks including school supplies to children in need living in Broward, Palm Beach and Miami/Dade Counties, Florida.				
Charlotte County Genealogical Society Inc	http://ccgsi.org		EIN 01-0613084	PO Box 494707 Mid County Library	Pt Charlotte	FL	33949	USA	Arts & Culture, Historical Organizations		Our mission is to assist and educate our members and our community in their quest for genealogical and historical information.	people from all over the Country research their family history. With 1500 Volunteer Hours.	Port Charlotte, Fl	CCGS offers workshops, help sessions, and classes on genealogical topics. Watch for details on our website, in the local newspapers and flyers in the library.  The Genealogical Society meets monthly (except for July and August) on the third Wednesday. We offer monthly programs, special interest group gatherings, and the opportunity to meet other genealogists. Meeting time and location are posted on the website on the Home page and the Events page. Members receive our monthly newsletter, the Geneagram, which contains genealogical tips and articles, Society events, and member information.					
Ocean Rehab Initiative Inc	http://www.oceanrehab.org	(561) 308-8848	EIN 27-0880501	301 Clematis St Ste 3000	West Palm Bch	FL	33401	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	Ocean rehab was organized exclusively for charitable, scientific, and educational purposes to promote and facilitate collaborative work between citizens, ocean scientists, federal/state and local governments, environmental organizations, academic organizations, and others in order to improve the well being of ocean ecosystems through scientific research, education and public awareness relevant to understanding ocean reef ecosystems.				Dive for success - during 2011 ocean rehab conducted scientific baseline surveys of the south east florida coral reefs with volunteers ( citizens, scientists, students and international ngos). Our teams of volunteers collected data in all 5 counties of the south east florida reef system. This valuable information is now available online for the scientific community  dema show - at the diving equipment & marketing association show we were represented with a booth where we presented the need for understanding the ocean reaf ecosystem. We educated many of the thousands who attended and increased the awareness of everyone who visited our exhibit.   traning - ocean rehab initiative inc. Created a training and trainer program to facilitate our goals. Ocean rehab initiative promoted and trained four scientific trainers (certified) who taught 11 courses and graduated 35 scientific (certified) data collectors in the 5 counties of south east florida. Ocean rehab hosted several meetings and training courses for volunteers and citizens in 2011. Our meetings and training courses were held at pompano, boca raton, fl. Lauderdale, west palm beach, north palm beach, miami, islamorada, key largo, jupiter, delray beach, boynton beach, and stuart. We, ocean rehab initiative, engaged the public to learn more about coral reefs and coral reef health and mortality. Our classes were open to the public and were related to local reef health and scientific data collection.					
Bee Brave Buddies Corporation	http://www.beebravebuddies.com	305 807 1988	EIN 81-2241917	1316 Biscaya Drive Bee Brave Buddies Corporation	Miami	FL	33154	USA	Health, Patient & Family Support	WE provide support to children and young adults with cancer and other serious illnesses through gifting of dolls, original books, cards and other gifts.	We want to give every child who is battling cancer a special gift for support and  to aid in self -esteem.	Personally gifted 600 dolls in 2015. We just became a nonprofit in summer of 2016 and have impacted several hundred children in the past two months.	We gift our Beautifully bald dolls to children with cancer around the world	We give our dolls to any family with a child in treatment for cancer. They can request a doll on our web page by filling out a form. We partner with pediatric cancer treatment centers around the country and give our dolls monthly to these hospitals.	We have gifted over 800 dolls to children in treatment for cancer and have had several hospital events for these children. We are in the process of writing a serious of adventure Bee Brave Buddies books for children with Cancer. When a child receives one of our dolls, we see big smiles on their faces and consequently we then see big smiles on the faces of the mom and dad and all caregivers, nurses and doctors.				
Florida United Methodist Children's Home, Inc.	http://www.fumch.org	3866684774	EIN 59-0638479	51 Children's Way PO Box 6299	Enterprise	FL	32725	USA	Children & Youth, Education, Foster Care	"Where Children Come First" Our mission is to empower children and families to experience God's love and care as revealed in the ministry of Jesus Christ. Combining Christian influence with a healing, caring, therapeutic community, the Children's Home provides a continuum of highly specialized services for children who are victims of abuse, neglect, or abandonment.	Abused, neglected, or abandoned children between the ages of 5-17 in our residential care, and 0-17 in foster care.	Over 400 children in need	The State of Florida	Residential Care Independent Living Foster Care					
