name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Direct beneficiaries per year	Geographic areas served	Programs	Target demographics
Hospice Caring, Inc.	http://www.hospicecaring.org	(301) 869-4673	EIN 52-1591455	518 South Frederick Avenue	Gaithersburg	MD	20877	USA	Family Services, Hospices, Human Service Organizations	Since 1989, Hospice Caring, Inc. (HCI) has provided free practical and emotional support to terminally ill patients and their families, and to anyone grieving the death of a loved one.  Dedicated volunteers provide care that promotes quality of life, helping patients to live each day fully and with dignity, and to ensure that no one need die alone and that no one need grieve alone.  These services are provided free of charge to residents of Montgomery County, Maryland.HCI strives to respond to the needs of the community through additional programs while staying within its original mission.				Hospice caring, inc. Is the only volunteer-driven, non medical hospice in montgomery county, md and provides services at no charge in three main areas. Patient and family focuses on the needs of individuals facing a life-theatening illness and their families. Our trained volunteer caregivers often provide much needed respite for the family caregiver by providing support, advocacy, assistance with household tasks and errands, transportation and companionship.   hospice caring, inc. Bereavement serving children and adults offers several forms of support to those grieving the death of a loved one. Adult bereavement groups meet at hospice caring's cottage. Meetings are facilitated by a trained hospice caring volunteer. These groups provide a safe haven where people who are grieving can meet other individuals who are going through a similar experience, share their stories, learn from one another and receive much needed support. Groups are provided at no charge. County residency is not required to participate.   hospice caring, inc. 's bereavement services for children are offered at no charge and include the following:hospice caring, inc. , in partnership with the montgomery county elementary, middle, and high schools, provides the good grief clubs for students grieving the death of a loved one. Each club is a seven week program run by a trained hospice caring facilitator at the invitation of the school's guidance counselor (who attends each session). The children have a safe environment to share their feelings and learn coping skills. Camp caring for children, ages 8-12 is a weekend, overnight camp which offers one on one bereavement support by hospice caring screened and trained volunteers, big buddies. The children explore their feelings of loss and learn ways to express and cope with their grief. Camp caring is made possible by a very generous community. Children may be referred by parents, guardians, advocates or school counselors. Hospice caring is particularly proud of and thankful for the cooperative partnership with montgomery county public school counselors. Highly trained volunteers from hospice caring appear as guest speakers in montgomery county high schools to teach the chapter on "coping with loss and grief," part of the mcps curriculum for the tenth grade. The grief relief after-school program is offered at the hospice caring inc. Cottage for children and their parents or guardians as a means of additional bereavement support.   community outreach strives to create awareness of hospice caring's programs and services through press coverage, publications (newsletters), mailings for events, materials for speaking engagements at health/employee/community fairs, and networking opportunities. Volunteers, patients and bereavement group members are recruited through these efforts.	
The Montgomery Playhouse Inc	http://		EIN 52-1457928	11612 Bedford Ct	Germantown	MD	20876	USA	Arts & Culture, Theater						
Partners In Care Inc	http://	(410) 544-4800	EIN 52-1911806	90b Ritchie Hwy	Pasadena	MD	21122	USA	Centers to Support the Independence of Specific Populations, Human Services, Philanthropy, Public Foundations, Senior Centers, Seniors	Partners in care, inc				Partners in care is the recognized leader in maryland for programs and services that support the independence of older adults by using the time and talents of our members, leadership and staff. We promote the active engagement of our members, and their families, by offering services in exchange for their donated time and talents. Our programs and services contribute to the safety, and well-being of our members. We help our members remain actively involved in their communities through transportation and home repair programs, as well as meaningful social engagement. We engage over 600 volunteers annually to provide more than 14,000 rides, 450 handyman jobs, and 1,800 care management tasks for older adults in our communities.	
AMVETS National Service Foundation	http://www.amvetsnsf.org	800-810-7148	EIN 52-0970963	4647 Forbes Boulevard	Lanham	MD	20706	USA		AMVETS National Service Foundation provides direct support to Veterans and their Family through service programs as well as providing community and youth-oriented programs designed to promote unity and patriotism. It counsels and represents Veterans and their dependents before the Veterans Administration without charge.			United States	Veterans Service Officers, VAVS, Memorial Carillons, Healing Heroes, Scholarships, Americanism Programs	American Veterans
Tracy's Kids, Inc.	http://www.tracyskids.org	(301) 335-1811	EIN 26-3835257	5509 Devon Rd	Bethesda	MD	20814	USA	Cancer	Tracys Kids is an art therapy program dedicated to helping young cancer patients and their families cope with the emotional stress and trauma arising from cancer and its treatment. All of our services are provided free of charge with the goal of ensuring that the children and families we serve are emotionally equipped to fight cancer as actively as possible -- and prepared for the time when they are cancer free.		During 2014, Tracys Kids provided 11,014 art therapy sessions, 20,581 patient contacts, and 561 hours of consultation with medical treatment teams.	three clinics in the Washington, DC area as well as one in San Antonio, TX	Tracy's Kids uses art therapy to engage with young patients, their siblings and parents so that they can express feelings and reflect on their treatment experiences.  The program  which began at the Lombardi Cancer Center in 1991 and is based on the model developed there  employs Master's trained, Board Certified art therapists to address the multi-faceted needs of children with cancer through art and play therapy.  The Art Therapists work directly with physicians, nurses and other medical personnel and are integrated as members of each child's treatment team.	pediatric cancer patients and their families cope with the emotional difficulties associated with cancer and its treatment.
MyNDTALK WITH DR PAMELA BREWER	http://MyNDTALK.org	301-654-5286	EIN 46-4443984	4401 EAST WEST HIGHWAY  SUITE 302  Att: P. Brewer	Bethesda	MD	20814	USA	Arts & Culture, Education, Health, Health Care, Mental Health, Mental Health & Crisis Intervention, Radio	To provide relationship and mental health literacy information on a daily basis - to the broadest possible audience.  By providing listeners with access to a range of viewpoints and options, increase listenership acceptance of and ability to reach out for help when necessary.   To improve self care skills in the arenas of relationship health and mental health.	Every Monday - we focus on men; Every Tuesday - we focus on transitions; every Wednesday - we focus on women; Every Thursday - we talk to experts; Every Friday - we look "On The Other Side"   We are growing in popularity with @ average of 1000 listeners per show -- with your help - hoping to grow it MUCH, much more :-) ! We are broadcasting on 10+ stations and several internet sites.	50,000+	world wide	daily one hour long programs to enhance relationship and mental health literacy skills	improve relationship and mental health literacy
Head Injury Rehabilitation And Referral Services Inc	http://www.headinjuryrehab.org	(301) 309-2228	EIN 52-1732096	11 Taft Ct Ste 100	Rockville	MD	20850	USA	Brain Disorders, Developmentally Disabled Centers, Disabilities, Group Homes, Health, Human Services	The mission of head injury rehabilitation and referral service, inc. (hirrs) is to provide comprehensive, high quality and cost effective outpatient and residential rehabilitation services to individuals with acquired brain injury and their families to restore them to optimal function.				Provide residential services for individuals with developmental disabilities and individuals who have suffered brain injuries.   to provide day, vocational and rehabilitative services to individuals who have suffered brain injuries.   to provide support services to individuals or families with individuals who have suffered brain injuries.   employment services and job training for individuals with brain injuries	
Vivre Musicale	http://www.vivremusicale.org	561-846-2514	EIN 27-1293459		Baltimore	MD	21218	USA		Vivre Musicale is a non-profit chamber music society that seeks to provide young up and coming musicians a strong foot hold in the classical music world through the diversification of concerts, genres, and the melding together of various art forms that further enhance the concert going experience. It is a collection of select young classically trained artists and guest artists whose goal it is to push the limits of classical music leading the world into a future of living art, where classical music no longer place holds as an aural museum of the past but rather a vibrant, living expression of past impetus informed by contemporary knowledge and performance practice. Through the collaboration of visual and other performance artists as well as different musical genres, Vivre Musicale hopes to diversify the would-be classical music audience, not limiting or pigeon-holing itself in a narrow frame of works but continually seeking to make connections between works of various styles. In total, Vivre is life, the living music. It is the music that inspires, propels, and gives voice to those who otherwise would be silenced in a world where classical music is pronounced dead. It is the chamber group of the past, the present, and the future.	We have produced 5 successful concerts in these cities: Arlington, VA; Baltimore, MD; Boca Raton, FL; Cincinatti, OH. www.vivremusicale.org/concerts			2010/2011 "Something OLD, Something NEW, Something BORROWED, Something BLUE: A Marriage of Mediums" www.vivremusicale.org/concerts for more info!	Young Artists from all over the country!
SUGARLOAF CITIZENS ASSOCIATION INC	http://www.sugarloafcitizens.org/	301-349-4889	EIN 23-7362604	20900 Martinsburg Rd	Dickerson	MD	20842	USA	Neighborhood & Block Associations	Protection of farmland and ecology			Montgomery County, MD	See schedule o  other program services	
Run Your Race Ministries	http://runyourrace.org		EIN 26-3720277	6108 Westland Dr	Hyattsville	MD	20782	USA	Human Service Organizations						
The Travelin' Rat	http://thetravelinrat.org		EIN 45-4332337	8016 Bellonia Rd  Unit 672	Riderwood	MD	21139	USA	Animals	To help animal rescues, especially those that take in rats, wherever we can, in whatever way we can.		11 rescues	globally	our Rescue of the Month and Emergency Vet Fund for Rescues	animal rescues, especially those that take in rats
Baltimore Science Fiction Society Incorporated	http://www.bsfs.org	(410) 799-7438	EIN 52-1098281	6142 Waterloo Rd	Columbia	MD	21045	USA		To educate and promote interest in science fiction/fantasy reading, writing, art and media through activities which lead to exposure and involvement with science fiction/fantasy, especially in the area of reading and writing of the same.				The annual "balticon" convention provides members with panels, speakers and special exhibits as well as movies, videos, book sellers, associated gaming, associated art and other related items.   print monthly newsletters for members which is exchanged with several other similar groups.   support and promote basic literacy in general and science fiction/fantasy in particular through the annual compton crook award for the best first novel in science fiction during the preceding year, the annual young writers contest, the annual poetry contest and support of local libraries through participation in local book and art festivals.   maintain a library of science fiction and fantasy books and videotapes for members and the public's use. The organziation regulary holds business meetings, social meetings and science fiction book discussion groups for members and the public.	
Adventures In Health Educational And Agricultural Development Inc	http://aheadinc.org	(301) 530-3697	EIN 52-1487952	6324 Windermere Cir	Rockville	MD	20852	USA	Children & Youth, Counseling, Health, International, International Development, Mental Health, Public Health, Youth Community Service Clubs	Provide direct assistance to people in gambia, tanzania and in the usa in the areas of health and education				The organization service accomplishments for each of its three largest	
Friends of Jordan	http://friendsofjordan.org/		EIN 47-0947474	3703 37th Place	Cottage City	MD	20722	USA	International	To facilitate networking and knowledge exchange among persons with a common interest in the country of Jordan, promote a better understanding of Jordanian people and culture, and support projects and activities of the U.S. Peace Corps and charitable private organizations in Jordan.			Jordan	grassroots community development, cultural exchange, environmental beautification, learning opportunities, or provide services for Jordanian communities in need.	educate youth and adults
Cystic Fibrosis Foundation Headquarters	http://www.cff.org	(301) 951-4422	EIN 13-1930701	6931 Arlington Rd Suite 200	Bethesda	MD	20814	USA	Birth Defects & Genetic Diseases, Health, Lung Diseases, Specifically Named Diseases, Specifically Named Diseases Research	The CF Foundation is dedicated to improving the quality of life for people with CF by funding the research necessary to develop new treatments and one day, a cure. CF is a complex, genetic disease that affects about 30,000 children and adults in the United States.  Today, the median age of survival for an individual with CF extends into the early 30s.  CF is caused by a defective gene that causes the body to produce an abnormally thick, sticky mucus, which clogs the airways, leading to chronic lung infections.				The CF Foundation currently funds more than two dozen clinical trials for CF to address the lung complications and dysfunction in people with CF and to correct the basic defect in the cells. The CF Foundation also supports educational programs and tools for care-givers of people with CF and accredits more than 115 specialized CF care centers around the country.	
Docs in Progress, Inc.	http://www.docsinprogress.org	301-789-2797	EIN 20-2784718	8700 First Ave	Silver Spring	MD	20910	USA	Arts & Culture, Film & Video, Management & Technical Assistance	Docs In Progress gives individuals the tools to tell stories through documentary film to educate, inspire, and transform the way people view their world.				Workshops and screenings helped aspiring filmakers by teaching basic skills and critiquing works in progress	
Creating Communities Corporation	http://www.creatingcommunities.net	(410) 279-3809	EIN 26-0631265	139 Jefferson St.	Annapolis	MD	21403	USA	Arts & Culture, Arts Education	Our Vision: To create communities where the arts are an integral component of our social fabric; where the power of creativity connects, enriches and transforms lives.  Our Mission: To harness the power of the arts to build life skills and self-esteem, and foster connections across cultures. We seek to partner with communities and provide underserved populations with direct access to the arts through innovative programs and mentorships.	Creating Communities Quick Facts  	Key partners: Anne Arundel County Public Schools, Arts Council of Anne Arundel County, Whole Foods of Annapolis, Baldwin Family Foundation, Carol M. Jacobsohn Foundation, Graham Landscape Architecture, Maryland Hall for the Creative Arts, Maryland State Arts Council, Maximus Properties, Parole Rotary  	Approximately 20% of the families served by the youth programs have an income of $26,000 or less; one-third of these families describe their economic condition as barely making ends meet.  	The Arts Mentorship Academy (AMA) has served nearly 300 children age 8-17 since 2008 and has grown over 270% since that time.  	93% of parents believe that the lessons learned through the artistic and creative activities of the AMA benefit their child academically  	95% of the students shared what they learned with their parent or guardian, demonstrating that the arts bring families together   	100% of parents/guardians stated that they thought the AMA taught their child positive life skills and 73% noticed talents in their child of which they were not aware  	100% of parents/guardians were very satisfied with the AMA.  	91% of the participants, in a recent Life Skills Through Arts session felt they would apply the lessons learned outside of the program and 89% would continue to use the lessons learned after leaving the shelter.			Programs That Change Lives The Arts Mentorship Academy (AMA) program is one example of Creating Communities at work. AMA is an Arts-based alternative education opportunity for young people ages 8 to 17 providing Arts instruction, mentoring, and experiential learning. The program also focuses on teaching academic competencies based on Maryland State Voluntary Curriculum standards. The program teaches artistic skills while it fosters community service. It also teaches life skills such as leadership development and teamwork, which in turn build self-confidence and self-reliance.   The Arts Mentorship Academy serves 100 students and runs for one week in the summer, with occasional weekend intensives and after school sessions. A typical day at the Academy begins with the teachers/mentors leading students in an interactive session. Students then break out into smaller groups to work closely with master artists, followed by collaborative art projects such as creating murals, participating in a drumming circle, or choreographing a group dance.    Another program, The Youth Arts Fellowship (YAF), is an innovative arts-based alternative education opportunity that provides instruction, mentoring, and experiential learning for twenty Annapolis and Anne Arundel County 10th to 12th graders.  YAF is designed for students who are particularly challenged by traditional curricula and who need additional support to assist them in reaching personal and academic goals. Students meet one Saturday per month for ten months for an all-day retreat. The teacher-to-student ratio is 1:4 enabling personal mentoring and special attention to the needs of each student. Field trips to the Kennedy Center, Baltimore Museum of Art, and Maryland Hall for the Creative Arts broaden and enrich the students experience. The group also takes part in three, arts-based community service projects, giving back to the wider community while strengthening the social fabric.  Not only youth but also adults are benefited from Creating Communities programs. For example the Life Skills Through The Arts track includes an eight-week program for parents residing at Sarahs House. Located in Anne Arundel County, Sarahs House is a supportive housing program offering emergency shelter rooms and transitional apartments for families that are homeless. The typical family consists of a mother and two children.  More than 55 percent of the residents served annually are children. In FY2010-2011, over 325 children lived at Sarahs House. Poetry, music, drawing, and storytelling, are just a few of the means used to develop life skills and encourage learning.	
National Aquarium Inc	http://www.aqua.org	(410) 576-3800	EIN 52-1121163	501 East Pratt	Baltimore	MD	21202	USA	Animal Services, Animals, Environment, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management, Zoos & Aquariums	To inspire conservation of the world's aquatic treasures.				Biological programsthe national aquarium's living collection includes more than 17,000 animals from more than 750 species of fish, birds, amphibians, reptiles, and marine mammals that live in award-winning, re-created habitats. The biological programs department provides the best possible care for all animals in the collection and works to promote the conservation of wild populations and their habitats. In addition, biological programs staff conducts scientific research and field work to support species and habitat conservation, with a strong emphasis on the chesapeake bay.   conservation educationthe national aquarium's education programs help students and teachers gain leadership skills and improve science learning, especially at a time when school districts struggle to provide hands-on environmental education opportunities. Conservation programs, both on-site and in the field, guide participants toward more personal and sustainable relationships with the natural world, inspiring students to enjoy, respect and protect the aquatic world. Each year, more than 113,000 students and chaperones visit the national aquarium, with approximately 11,000 coming from baltimore city, which has many struggling schools. The free admission program, available to maryland schools, introduces students to environmental conservation and marine science. Programs for teachers and school-aged youth include curriculum support; teacher orientations, workshops, and other trainings; school group tours; and grade-appropriate classroom programs that meet national and state curriculum standards.   guest operationsas an institution accredited by the association of zoos and aquariums (aza), the national aquarium is a leader in its field and embraces the highest quality facilities, programs, and staff available. Since opening in 1981, more than 47 million guests have learned about the rich diversity of life through the aquarium's exhibits and by participating in its guest programs. Programming for guests includes animal encounters, feeding and diving demonstrations, guided tours, classroom programs, auditorium presentations, hands-on discovery cart interactions, and other enrichment activities and special events.	
REACH GHANA	http://		EIN 27-1678738	731 Fallsgrove Drive Suite 7132	Rockville	MD	20850	USA	Human Service Organizations	REACH is committed to improving the health-care system in Ghana and promoting equal access to quality health-care for all by:  supplementing health-care resources engaging and empowering members of the community, and advocating for, and helping to develop sustainable approaches to health-care delivery.					
Community Bridges, Inc.	http://communitybridges-md.org	301-585-7155	EIN 52-2043059	8757 Georgia Ave Suite 540	Silver Spring	MD	20910	USA	Children & Youth, Community Health Systems, Health, Youth Development	Community Bridges believes that all girls are infinitely capable of succeeding in life as strong and confident young women. We empower girls to discover their unique identity, voice and potential through leadership development, academic support and enrichment, and exposure to opportunities that challenge them to become advocates for themselves, their families and their community.		200 girls and 220 families.	Montgomery County, Maryland	CB GIRLS: providing after school and out of school time opportunities and development for girls in grades 4-12 to break their cycle of poverty. CB FAMILIES: providing workshops and resource opportunities for the parents of our girls. CB MENTORING: providing high school mentors to middle school and elementary school girls (Big Sister, Little Sister) and providing women mentors to our high school students.	immigrant and minority girls become exceptional students, positive leaders and healthy young women.
Apples For Children	http://www.applesforchildren.org	(301) 733-0000	EIN 52-2358494	1825 Howell Rd Ste 3	Hagerstown	MD	21740	USA	Children & Youth, Children & Youth Services	The organization is operated for the following purposes: 1. To provide training to whole groups of providers, parents and employees. 2. To provide individualized technical assistance to individual child care providers, parents and employees.				Provide training to whole groups of child care providers, parents and employees.   provide individualized training and technical assistance to individual child care providers, parents and employees.	
Reece's Rainbow Down Syndrome Adoption Grant Foundation	http://www.reecesrainbow.org	(240) 780-2120	EIN 20-5466141	PO Box 277	Monrovia	MD	21770	USA	Adoption, Children & Youth, Civil Rights, Disabilities, Disabled Persons Rights, Down Syndrome, Health, Right to Life	1)  Promote the dignity of life of children with Down syndrome & other special needs around the world. 2)  Raise awareness for the plight of orphans with Down syndrome living in foreign orphanages and mental institutions.   3)  Locate and identify as many orphans with Down syndrome as possible, in every country of the world, so that each may have a voice and hope for a "forever family". 4)  Seek US and Canadian families to adopt these children. 5)  Raise money as adoption grants so families can afford the high cost of doing so.	Begun June 2006 More than 2000+ orphans have found families More than $12 million in grants have been disbursed State certified & registered in Maryland and Georgia Independent financial audit & review conducted annually Function on under 10% operationally each year.	270 orphans w/ special needs come home to "forever families"	globally	Waiting Child Grant Funds--for children still needing adoptive families Family Sponsorship Program--for committed adopting families Voice of Hope --operational expenses Child of the Month--one featured child to rally & give for each month 5/5/5--monthly crowdfund with $5 for 5 families on the 5th of each month Prayer Warriors Christmas Warriors Christmas Angel Tree	fund the adoptions of children with Down syndrome and other special needs internationally.
Community Services For Autistic Adults And Children	http://www.csaac.org	(240) 912-2240	EIN 52-1263443	8615 E Village Ave	Montgomry Vlg	MD	20886	USA	Autism, Disabilities, Health	To enable individuals with autism to achieve their highest potential and contribute as confident individuals to their community.				Residential- the residential services currently supports 52 homes in the community for individuals with autism. Csaac strives to assist in the achievement of each individual's goals and outcomes.   supported employment services- csaac provides a wide range of vocational services to individuals with autism. Csaac assists individuals to obtain their choice of meaningful "real work" employment in the community.   community school of maryland- the school offers several different services to meet the individual eucational goals of children and adolescents with autism between the ages of 7 and 21 by offering an age appropriate integrated environment to the student.	
CREATE Arts Center	http://www.createartscenter.org	(301) 588-2787	EIN 52-1489164	816 Thayer Ave	Silver Spring	MD	20910	USA	Arts & Culture, Arts Education, Arts Services	The mission of CREATE Arts Center is to foster creativity, skill development, self expression and enjoyment in the arts.  We believe art promotes growth, learning, and healing, as well as confidence and self esteem.  An important part of our mission is to improve the lives of underserved, at-risk populations in the community through arts opportunities.			Washington DC metropolitan area, downtown Silver Spring, MD	Summer & Winter Arts Camp, Classes for children and adults, Workshops, Birthday Parties, Studio Downstairs Art Therapy Program	
A Bigger Picture, Inc.	http://www.abiggerpicture.org	301-541-3605	EIN 45-4423111	PO Box 2213	Bowie	MD	20718	USA	Children & Youth, Youth Development Programs	A Bigger Picture is a 501(c)(3) non-profit organization dedicated to making a lasting difference in the lives of girls in grades 7-10 through mentorship, exposure, community service and travel opportunities.	-Partnered with the Forestville Boys and Girls Club and El Haynes Public Charter School  -Received our first grant from Dosomething.org -Over the summer of 2011 the girls volunteered over 90 hours of community service through our program -In September 2012, A Bigger Picture, Inc. became a 501(c)(3) organization - We received a book grant from First Book DC that provided college prep materials for the girls in the program		Washington, DC and Maryland	A Bigger Picture partners with schools and community centers to provide girls in the Washington, DC and Maryland area with: Educational and comprehensive workshops  Exposure to new experiences through our enrichment activities An opportunity to give back through our community service projects Traveling opportunities   In turn our girls are provided with:  Leadership, confidence and forward-thinking skills A safe place to learn and grow outside of a traditional classroom setting  Opportunities to develop positive relationships with other students and mentors A positive attitude towards school and academics	Girls in grades 7-10
Maryland Womens Heritage Center And Museum Inc	http://www.marylandwomensheritagecenter.org	(301) 490-7212	EIN 20-1166317	C/o Rj Tomlinson 8630m Guilford Rd	Columbia	MD	21046	USA	Arts & Culture, History Museums	Establishing a maryland women's heritage center and museum.				The mwhc&m has started a small museum in donated space. We are securing funding for the purpose of establishing a permanent museum in maryland that honors, recognizes and educates all people re: the achievements of women through md's history.	
Bladder Cancer Advocacy Network Inc	http://www.bcan.org	(301) 215-9099	EIN 20-2897110	4915 St Elmo Ave	Bethesda	MD	20814	USA	Cancer, Health	To increase public awareness about bladder cancer; to advocate bladder cancer research; and to provide educational and support services for the bladder cancer community.				Research - bcan works to advance bladder cancer research. Recognizing the overwhelming need for research funding, bcan has also engaged a new generation of researchers with the young investigator research awards (3 - $100,000 grants payable over 2 years). With an ongoing investment, bcan plans to expand this innovative research program which provides hope for future treatments. In 2014, bcan established the bladder cancer research innovation award, a $300,000 grant awarded over two-years, for a seasoned researcher to bring a new perspective to bladder cancer research. The new award helped the organization reach the $1 million mark for research investment.   education and information - bcan hosts a variety of educational programs and publishes printed materials to educate those coping with a bladder cancer diagnosis. Now in its second printing, bcan's comprehensive patient handbook, "bladder cancer basics for the newly diagnosed," has been provided to thousands of survivors, caregivers, urology practices, and cancer centers across the united states. The patient insight webinar series is an interactive web program that addresses a variety of issues from clinical trials to living with urinary diversion. The webinars feature top experts in their field and address patient concerns in an easy format. In 2014, bcan expanded support programs by engaging community volunteers to staff the bcan connection information and referral line. The program provides practical resources for those coping with a bladder cancer diagnosis. The survivor 2 survivor program connects newly diagnosed patients with survivors with a similar diagnosis.   think tank - the bladder cancer think tank (think tank) is the only medical symposium dedicated solely to bladder cancer. Through collaboration urologists, oncologists, scientists, and researchers are pioneering new treatment protocols, investigating genetic expressions, and improving access to quality care for those living with the disease. The john quale travel fellowship program provides financial support to help select researchers pay travel expenses related to their attendance at the annual bladder cancer think tank where they have the opportunity to present their research, network with leading bladder cancer researchers and gain insights from the think tank. Each year, four $1,700 travel fellowships are awarded to early career physicians and scientists. The 2014 think tank was the largest to date engaging nearly 170 participants.	
Operation Second Chance Inc	http://www.operationsecondchance.org	888-OSC4VETs	EIN 20-2624345	20251 Century Blvd Suite 130	Germantown	MD	20874	USA	Military & Veterans Organizations, Veterans	We are patriotic citizens committed to serving our wounded, injured and ill combat veterans. We support Veterans and their families by building relationships and identifying and supporting immediate needs and interests. We are dedicated to promoting public awareness of the many sacrifices made by our Armed Forces.			the United States of America	Morale, welfare, and recreation expenses to improve the morale of wounded soldiers. Activities include meals, cookouts, and trips to the movies for the soldiers.   assistance for individual wounded soldier's expenses including clothing, airline tickets, mortgage payments, and car repairs.	wounded, injured, and ill veterans and their families
CureSearch for Children's Cancer	http://www.curesearch.org	800-458-6223	EIN 95-4132414	4600 East West Highway Suite 600	Bethesda	MD	20814	USA	Cancer, Cancer Research, Health, Pediatrics, Pediatrics Research	At CureSearch for Childrens Cancer, our mission is to end childrens cancer. We bring together the brightest thought leaders in the field today to help identify the greatest challenges facing pediatric cancer. We then target specific grants to resolve those challenges and accelerate the search for an end to childhood cancer.  These core values guide CureSearch as we push forward in finding cures and less-toxic treatments for children with cancer.  HONESTY & INTEGRITY TRANSPARENCY & ACCOUNTABILITY CREATIVITY & COLLABORATION	To honor our core values of transparency and accountability, CureSearch publishes a report on our impact and results twice a year. Please read our latest report at curesearch.org/Impact-Report.		CureSearch for Children's Cancer is a national non-profit foundation.	CureSearch takes a more entrepreneurial approach to funding childrens cancer research. By driving forward only the very best research, we are building a pipeline of promising treatments that will dramatically accelerate the end of childrens cancer.   CureSearch provides resources and education so that no child faces a cancer diagnosis without a fully equipped support team behind them.	In the last 40 years, the overall survival rate for childrens cancer has increased from 10% to 80%. At CureSearch, our goal is 100%.  Approximately 15,500 children and adolescents are diagnosed with cancer each year.  Three out of five children who survive cancer suffer devastating, late effects such as secondary cancers, muscular difficulties and infertility.   Cancer claims the lives of more children than all other childhood diseases combined.
Hydrocephalus Association	http://www.hydroassoc.org	8885983789	EIN 94-3000301	4340 East West Highway Suite 905	Bethesda	MD	20814	USA	Brain Disorders, Health	The mission of the Hydrocephalus Association is to promote a cure for hydrocephalus and improve the lives of those affected by the condition.  We will accomplish this by collaborating with patients, caregivers, researchers and industry, raising awareness, and funding innovative, high-impact research to prevent, treat and ultimately cure hydrocephalus.			The U.S. and most foreign countries	HA's program services include: *A resource for newly diagnosed families needing accurate information, education and support.  *One-on-one support services for newly diagnosed families or families facing new challenges *HA funds 44 support groups across the U.S. *Public education materials --  HA has written, edited, revised and published more than 30 hydrocephalus related education pieces (brochures, fact sheets, booklets, etc.) provided free of charge to patients, schools, families, etc. *HA developed and maintains the Hydrocephalus Resource Library -- an online, searchable database of information on all aspects of hydrocephalus -- including information often not found anywhere else *Annual scholarships for those with hydrocephalus pursuing higher education  *A biennial conference for families where they can connect with other families and obtain the most current information on hydrocephalus, hydrocephalus treatments and advice on how to best live with hydrocephalus	Anyone living with the challenges of hydrocephalus -- pediatric, adult or Normal Pressure Hydrocephalus (NPH.)
Project PLASE, Inc.	http://www.projectplase.org	410 837 1400	EIN 23-7367331	1814 Maryland Ave	Baltimore	MD	21201	USA	Homeless & Housing, Homeless Centers, Housing Expense Reduction Support, Human Services, Low-Income & Subsidized Rental Housing, Temporary Housing	Project PLASE addresses homelessness by providing transitional and permanent housing and supportive services to homeless adults, particularly the most vulnerable and under-served     (i.e., people with mental illness, HIV/AIDS, addictions, developmental disabilities, ex-offenders, etc.) and by treating the whole person and empowering each individual to function at the highest possible level.					
New B Ginnings Mentoring Foundation	http://newbginnings123.org	410 668 3781	EIN 26-4473226	3716 Wolf Trail Dr	Abingdon	MD	21009	USA	Education, Literacy, Remedial Reading & Encouragement	To challenge young minds by providing more positive options and qualitative solutions to help acheive goals:			Baltimore City and Harford County Maryland		
Mid-Atlantic German Shepherd Rescue Inc	http://www.magsr.org		EIN 52-2191320	PO Box 353	Mt. Airy	MD	21771	USA	Animal Protection & Welfare, Animals, Education					Our primary effort is focused on finding homes for these dogs. Supportive programs include our elementary education effort, as well as a variety of fund-raising projects. MAGSR also supports local law enforcement agencies in their search for suitable canine officers.	
Children Of Fallen Soldiers Relief Fund, Inc.	http://www.cfsrf.org	866-96-CFSRF	EIN 20-4526203	PO BOX 1099	Temple Hills	MD	20757	USA	Education, Higher Education, Homeless & Housing, Military & Veterans Organizations, Scholarships, Scholarships & Student Financial Aid, Veterans	The Children of Fallen Soldiers Relief Fund was founded, October 23, 2003 to help support surviving U.S. Military children who have lost a parent in the Afghanistan or Iraq wars by providing them with College Grants. Our College Grant Program has been expanded to include both U.S. Military children and spouses who have either lost a loved one as a result of the Afghanistan or Iraq wars or have a severely disabled parent or spouse who was injured during a deployment to either war. Our second objective is to help the surviving members of these families with financial assistance. Our goal is to award applicants of U.S. Military families that have children under the age of 18, and who are in need of assistance with housing, repairs, utilities, medical expenses, groceries, clothing, school supplies and other expenses deemed necessary in order to provide them with some support and helpalleviate their need.	We have provided a little over 1,600,000,00 in college, financial and morale, health and well-being assistance to US military surviving and severely disabled veterans and their dependents since our first application was received in 2005.			Awarded educational scholarships and financial assistance grants to surviving family members of fallen soldiers of the gulf, iraq, and afghanistan wars and administered these grant programs as well to severely disabled veterans who served in either of the wars listed above. Helped the surviving dependents of these families with financial assistance during their time of hardship. Their goal is to help these children (18 yrs of age or younger) whom are in need of housing, home repairs, utilities, medical expenses, groceries, clothing, school and sports team equipment and supplies. Also, other expenses deemed necessary during their time of need.	
Harbor City Services Inc	http://	(410) 740-9173	EIN 52-1559140	120 Alco Pl	Landsdowne	MD	21227	USA	Education, Environment, Mental Health, Mental Health Associations, Mental Health Disorders, Recycling, Vocational & Technical Schools	Treatment of mentally challenged				Record storage using physically and mentally challenged individuals.	
