name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served
History Museum On The Square Inc	http://www.springfieldhistorymuseum.org	(417) 864-1976	EIN 51-0148860	Po Box 2693	Springfield	MO	65801	USA	Arts & Culture, Historical Organizations, History Museums, Museums	The museum collects, preserves and exhibits historical and cultural artiffacts, written materials, graphics, and publications of springfield, greene county and the surrounding missouri ozarks region.	The museum collects, preserves and exhibits historical and cultural artiffacts, written materials, graphics, and publications of springfield, greene county and the surrounding missouri ozarks region.				
Sgsm Network Inc	http://www.sgsmnetwork.org	(314) 664-9700	EIN 30-0152463	100 N Jefferson 2nd Floor	St Louis	MO	63103	USA	Philanthropy, Religion, Religion-Related, Senior Centers, Seniors, Transportation Assistance, Voluntarism Promotion	The mission is to organize individual faith communities to build dynamic partnerships (clusters) that coordinate, cooperate, and collaborate to improve the quality of life of older adults.	Direct services - our direct services for older adults include volunteer-based transportation, health promotional activities (excercise classes and educational sessions), social engagement events, minor home repair, spiritual programming, and a bi-monthly newletter.   case management - our geriatric case manager provides case management and care coordination to over 780 older adults. Many of these people do not qualify for medicaid or food stamps and cannot afford to pay for those services.   vista management - we manage a vista contract that connects local nonprofits to obtaining vista projects at their agencies.   effective december 31, 2013 sgsm network, inc. (ein 30-0152463) merged with mission: st. Louis (ein 20-8983607). Through the merger, sgsm and mission: st. Louis believe the merger will allow the surviving corporation, mission: st. Louis, to better serve the needs of the underprivileged in st. Louis, and, in particular, will allow expansion of sgsm's programs based on the combination of the two organizations into one.				
Humanitri	http://www.humanitri.org	(314) 772-7720	EIN 43-1470568	1447 E Grand Rm/ste 120	St Louis	MO	63107	USA	Human Service Organizations, Human Services	Humanitri channels principles of faith and social responsibiltiy to strengthen families and increase quality of life for homeless families, those affected by incarceration, and families in need in the city and county of saint louis.	Housing and human services that provide health in mind and body for homeless adults and their children and ex-offenders with children; parenting education, mentoring and supports for healthy pregnancies, postpartum and early childhood development for adolescent mothers and their children; spiritual health through hospital and jail chaplaincy; healthy family dynamics through transportation for prison inmates' family transportation; healthy community development and volunteer opportunities.				
Playing For The Cause	http://		EIN 46-3761359	2200 Gravois	St Louis	MO	63104	USA	Philanthropy						
St. Louis Crisis Nursery	http://www.crisisnurserykids.org	314-292-5770	EIN 43-1410297	11710 Administration Drive Ste 18	St. Louis	MO	63146	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Emergency Assistance, Family Violence Shelters, Homeless & Housing, Human Services	The primary purpose of the Saint Louis Crisis Nursery is to provide a safe haven for children, birth through age 12, thereby preventing child abuse and neglect, and to support the needs of families.  Children are cared for in the Nursery for any situation that may jeopardize their health and safety, including:  parental stress, domestic violence, homelessness, and other family crises.  The Crisis Nursery services are available 24 hours a day, 365 days a year, at four locations throughout the St. Louis and St. Charles' regions and are free of charge.	S.O.S. for Kids: Provides 24-hour care for children at-risk of abuse or neglect; children receive a medical exam, developmental assessment, art/play therapy, 3 meals/3 snacks, clothing, toys, books;  	       Family Empowerment Program (FEP): Provides follow-up support services to families, including home visits, stay-at-home parent services and parent education groups; 			    	       	 24-Hour Helpline: Immediate access to crisis intervention, counseling, and resource referrals for families.		children, birth to age 12, who are at risk of abuse or neglect.	More than 6,500 children and counseled more than 5,200 families	St. Louis, Missouri
Metropolitan Organization To Counter Sexual Assault	http://www.mocsa.org	(816) 931-4527	EIN 43-1061620	3100 Broadway Blvd Ste 400	Kansas City	MO	64111	USA	Crime & Law, Sexual Abuse Prevention	Mocsa exists to improve the lives of those impacted by sexual abuse and assualt and prevent sexual violence in our community.	Sexual assault services: 24 hour crisis line, hospital & systems advocacy, crisis intervention counseling sessions and support groups.   child sexual abuse treatment: therapy services for children, families, adult survivors and adolescent/adult offenders. Support services for adults abused as children.   prevention and education: community education and awareness related to sexual violence, prevention programs for children & youth, professional training.				
Bach Aria Soloists	http://www.bachariasoloists.com	816-820-1473	EIN 43-1851446	PO Box 7112	Kansas City	MO	64113	USA	Arts & Culture, Arts, Culture & Humanities	The Bach Aria Soloists is the adventurous ensemble dedicated to bringing the genius of Johann Sebastian Bach, the Baroque, and Contemporary to new life through Community Concerts, signature Hauskonzerts, world-class collaborations and BachReach education.	Collaboration is our mantra. In 2006, Elizabeth Suh Lane and Elizabeth Koeppen, Principal Dancer & Assistant Director of the world-renowned Parsons Dance in New York, collaborated to create Accompagnata, a ViolinDance, fusing solo violin selections from Bachs monumental Six Sonatas and Partitas for Unaccompanied Violin with modern dance. In 2007, the Bach Aria Soloists brought the world's authority on Bach, Christoph Wolff, an Adams University Professor at Harvard, to Kansas City in a sensational BAS event which captivated the record-breaking audience at the Kansas City Public Library. This was his first appearance in KC and was a sellout. In 2009, BAS featured the highly-successful world premiere, "Baroque in Motion"collaboration with contemporary dance, from the Owen/Cox Dance Group. We offered an extraordinary free concert series with the Kansas CityPublic Library including Chamber Music Mosaic and Notes & Letters, featuring veteran actor/baritone, Robert Brand reciting letters from composers whose works we performed. We engaged numerous outstanding guest artistsall year.The 2010 Season, Bach Aria Soloists' 10th Anniversary, highlights the March, 2010 performances, "Inspired by Bach". This collaboration with composer, conductor and St. Paul's Sunday Radio Host, Bill McGlaughlin,delivered an unfogettable program whereby, master of ceremonies,McGlaughlin introduced the stories behind the music of Bach, Bartok, Villa-Lobos, probing the minds of the BAS artists, creating a lively dialogue betweenmusicians, Bill, and audience in a live radio show concert. "Your spectacular group is doing great music in just the right way!"				Kansas-Missouri region
Tycor Community Development Corp Inc	http://		EIN 43-1934945	3107 Troost Ave	Kansas City	MO	64109	USA	Economic Development						
Care Counseling Inc	http://		EIN 48-1202122	3829 S Duquesne Rd	Joplin	MO	64804	USA	Health, Health Support						
JOYCE MEYER MINISTRIES INC	http://www.joycemeyer.org		EIN 43-1382734	700 Grace Parkway	Fenton	MO	63026	USA	Christianity, Disaster Aid, Disaster Preparedness & Relief Services, Food, Food Programs, Religion	Joyce Meyer Ministries has a God-ordained mandate to impact the world. We are called to present the Gospel to the lost, disciple nations, feed the hungry, clothe the poor, minister to the elderly, widows and orphans, visit prisoners, and reach out to people of all ages and in all walks of life. God requires that we teach people how to apply Biblical truth in every facet of their lives, and encourage Christians to influence every aspect of the world around them. (Matthew 28:18-20, Isaiah 1:17)With the prayers and support of our friends and partners around the world, we present a creative and relevant message of Christ and His love for people worldwide through the utilization of the most powerful forms of media and communications available and the development and distribution of practical teaching resources.We provide global humanitarian aid to hurting people, and teach Christians and non-Christians alike how to enjoy everyday life by applying Biblical principles in all they do. (John 10:10)Our goal is to reach every nation, every city, every day with the gospel of Jesus Christ.					
A PLACE CALLED HOME	http://Www.aplacecalled-home.org		EIN 46-5106298	10940 long valley road	Plato	MO	65552	USA	International, International Relief						
Family Support Network	http://www.familysupportnet.org	(314) 961-5718	EIN 43-1280700	110 North Elm Avenue	St Louis	MO	63119	USA	Child Abuse Prevention, Crime & Law, Domestic Violence, Family Services, Human Services	Family support network is committed to strengthening families in order to prevent child abuse and neglect through cost-free counseling, parent education, resource referral, and community-based partnerships. We stop the violence before it happens.	Project first step: established in 1985, project first step is family support network's premier in-home family therapy program. Masters level licensed therapists provide family therapy/counseling, parent education, resource referral, and follow-up services customized to the unique needs of the families served at no cost. Therapists provide home visitation on a weekly basis for an average of 20 sessions per family or for 6-9 months. All services are voluntary and families must have a child under the age of 14.   school links: the agency's school based program, school links, is designed for families with children experiencing behavioral challenges or difficulties functioning in school. Masters level licensed therapists provide school and home based individual and family therapy to participating families. Family support network has therapists assigned to three area school districts.   fetal alcohol spectrum disorders: goal is to design, implement and evaluate a treatment intervention for youth and young adults ages 16-25 who have been diagnosed as having fasd.				
Lemay Child And Family Center	http://www.lemaychildandfamily.org	(314) 544-3338	EIN 43-1061831	9828 S Broadway	Saint Louis	MO	63125	USA	Child Day Care, Children & Youth	Lemay child and family center provides early education and support for families in a diverse, nurturing environment regardless of financial situation or a child's developmental level. Our goal is to strengthen families by promoting childrens' physical, cognitive, and social-emotional development and by partnering with parents and community.	The infant toddler program at lemay child and family center targets families with children two and under living in the st louis area. The program is state licensed for 29 children. Most of the children come from low income families whose parents are either working or going to school. More than 90% of the children qualify for scholarships. We use a primary caregiver model to help parents and teachers form strong relationships and to ensure that every child benefits from a nurturing relationship by bonding with a trusted adult caregiver. Teachers use the creative curriculum to guide lession plans and daily activities with children. Creative curriculum emphasizes individualized care and planning so that each child progresses developmentally. All children receive a formal developmental screening within 30 days of starting in the program and their development is tracked on an on-going basis through the use of developmental checklists and regular observations. Our program has also embraced the strengthening families framework which uses seven strategies that have been proven to reduce the risk of child abuse and neglect. The strategies include facilitating friendships and mutual support, strengthening parenting, responding to family crises, linking families to services and opportunities, facilitating children's social and emotional development, responding to signs of abuse and neglect and valuing and supporting parents.   the preschool program at lemay child and family center serves up to 60 children ages 3 through 5. More than 90% of the children qualify for scholarship assistance due to low family incomes, and most parents are working or going to school. The overall purpose of the program is to equip children with skills they need for future success, academically, socially, and emotionally. Our degreed teachers use creative curriculum in a constructivist environment that encourage children to discover knowledge. Children receive developmental screenings and we develop individual plans for each child based on a combination of assessments, observations, and parent input. We regularly work with parents, guardians, and school districts to develop individual plans for each child. Individual goals are then incorporated into weekly classroom lesson plans, so that children experience progress and success. Through partnerships with other agencies, we offer on site speech therapy, occupational therapy, and individual and family counseling services.   the school-age program at lemay child and family center is the only school-age program in our community offering year-round care for children in kindergarten through age 12, including before and after school care, full day summer camp programs, and care for children on snow days and school holidays. The program is designed to be flexible to meet the needs of working families and can serve up to 32 children. The school age program is designed to build on what children learn in school, allowing them to pursue areas that interest them. By providing a wide range of experiences, we promote literacy, science, math, reading, writing, creative and artistic expression, and physical health. Our program also strives to be inclusive, welcoming children with special needs including physical disabilities, learning disabilities, behavioral issues, and chronic health problems. The lesson planning incorporates appropriate activities for children of all abilities. Our commitment is to include all children fully in the program regardless of their needs or abilities. We work closely with parents, school teachers, counselors and therapists to ensure that we are meeting their needs in a consistent positive manner.				
Eagle Wings Ministries	http://www.shoeman.org	(636) 751-8197	EIN 43-1685893	3715 Pennridge Dr	Bridgeton	MO	63044	USA	Christianity, Religion, Religion-Related	To alleviate human suffering through program activities that provide access to safe drinking water and improve the environment by recycling used shoes to keep them out of landfills, selling used shoes to support water projects, providing access to water and shoes for poor people, and creating jobs and stimulating the economic enterprise for persons who resell shoes in secondary markets in impoverished countries.	Eagle wings ministries dba shoeman water projects' main focus is to provide clean water in communities, in developing countries. Projects were completed in kenya; a deep water well was provided to the community of kalatini and many capital maintenance projects were also completed in kenya. In haiti, the organization provided capital equipment (drilling rig, truck & supporting equipment) to a partner organization named h-pi. The organization also completed a well in jocmel. Additionally, 50 capital maintenance repairs were made to existing wells through various partners, five water purification systems were purchased for communities in haiti and new guinea. The organization funded operational support for solea water.   eagle wings ministries dba shoeman water projects' efforts to fund water projects, also created an eco friendly/sustainability program of keeping wearable, usable shoes out of local landfills and directing them into a secondary market for reuse both locally and globally.				
Wayside Waifs Inc	http://www.waysidewaifs.org	(816) 761-8151	EIN 44-0605374	3901 Martha Truman Rd	Kansas City	MO	64137	USA	Animal Protection & Welfare, Animals	Wayside waifs is a charitable animal shelter whose purpose is to place adoptable companion animals in responsible homes. This is accomplished by providing temporary shelter for homeless companion animals, educating the public, and developing partnerships, collaborations, and strategic alliances.	Wayside waifs, inc. Placed 4,301 animals in new permanent homes after being spayed or neutered. Wayside waifs, inc. Also provided education to 12,814 children and 824 adults through the humane education program.				
Circle Of Concern	http://www.circleofconcern.org	(636) 861-2623	EIN 23-7085010	Po Box 444	Valley Park	MO	63088	USA	Emergency Assistance, Food, Food Banks & Pantries	The mission of circle of concern is to provide immediate and long-term assistance in the forms of food distribution, finanical aid for housing, utilities, education and healthcare, as well as offering holiday dinners and gifts to low-income families residing (see sch o) in the parkway, rockwood, and valley park school districts of missouri. Circle of concern strives to create opportunities for needy families to re-establish themselves as productive members in our community.	Food pantry distributionsin 2014, circle of concern fed 26,816 people. Each family received a combination of donated foods including canned goods, bakery items, personal care products, as well as purchased foods including meat, milk, eggs, and fresh produce. Families also received miscellaneous items of use including mittens, hats, books, household needs, and some clothing.   financial aid to individualsaid was received by 2,150 individuals to help them pay for utilities, rent and home repairs, gasoline (by vouchers), prescriptions, and medical care. Assistance was given for temporary housing for homeless persons; and fans or air conditioners were distributed. Payments are made directly to landlords, utility companies, and other providers.   holiday program and birthday clubcircle shared the spirit of the holdiay and children's birthdays through four projects. Holiday baskets containing canned goods, fresh fruit, hams, turkeys, frozen pies, and small gifts were given to families on the saturday before thanksgiving day. Holiday adoptions matched families with groups and individuals for special help during the season. Each family received food, gifts, gift cards, and their requested items. Toy day was met with delight by kids from toddlers to teenagers whose parents chose new playthings, board games, bikes, personal electronics, stuffed animals and personal care products for their children. Families also received gift cards. The birthday club recognized the special day for children with wrapped gifts. Most of them also received birthday bags filled with cake mixes, icing, candles, and party favors. The holiday program, toy day and birthday club provided assistance to 1,378 individuals during 2014.				
Assistance League Of St Louis	http://www.alstl.org	(636) 227-6200	EIN 43-1472702	30 Henry Ave	Ellisville	MO	63011	USA	Human Service Organizations, Human Services	The organization is a non-profit volunteer service organization whose members identify, develop, implement and fund ongoing philanthropic projects to serve specific needs of children and adults in the st. Louis community.	Operation school bell - program which provides new uniforms to elementary school children in the st. Louis area from underprivileged families. 7,100 children benefited.   project rose (raise our self esteem) - strives to help abused women in shelters feel valued by providing personal and special occasion items. 2,200 women benefited.   steps to success-provides new athletic shoes to children in need (grades k-5) attending st. Louis, mo area schools. 2,951 people benefited.				
2000 Feet Inc	http://www.2000feet.org	(636) 236-4814	EIN 43-1891901	8342 Delcrest Drive Unit 458	St. Louis	MO	63124	USA	Children & Youth, Human Services	Almost all of the children served by 2000 Feet come from families that face difficulties meeting the basic necessities of life. Many families have less than adequate incomes and several children live in families where one or both parents are incarcerated. As advocates for health and wellness, the Shoes4Kids program educates parents on the importance of general foot care for developing feet and how to select well-fitted shoes for their children.	brand new shoes.		under-served children and youth	over 400 kids get new shoes	St. Louis, MO
Upstream Theater	http://www.upstreamtheater.org	314 863-4999	EIN 75-3151973	PO Box 300006	St Louis	MO	63130	USA	Arts & Culture, Theater	Upstream Theater is a professional production company dedicated to presenting new works and inventive stagings of classical plays, with a special focus on joint ventures involving artists from other countries. We offer a theater that is spiritual and sentient, witty and engaged, multilayered and syncretic. Our goal is to move you, and to move you to think. Our outreach has three prime aims: to offer St. Louis audiences an international perspective in theater, to engage local communities from cultures outside the United States, and to help develop younger audiences.	Successful production of three plays in 2014, including two us premieres of australian plays and a new translation of sophocles' antigone. Upstream was named the "best theatre troupe for plays" by the st. Louis post-dispatch.				St. Louis area
Child Evangelism Fellowship Inc	http://		EIN 43-1682845	PO Box 710	Warrenton	MO	63383	USA	Children & Youth, Youth Development - Religious Leadership						
Redemptorist Social Services Center Inc	http://www.kcsocialservices.org	(816) 931-9942	EIN 26-0054325	207 W Linwood Blvd	Kansas City	MO	64111	USA	Emergency Assistance, Homeless & Housing, Homeless Centers, Human Service Organizations, Senior Centers, Seniors	To provide food, clothing and emergency assistance to individuals and families	Emergency assistance - to provide assistance to the homeless, aging and the poor in midtown kansas city, missouri 4,925 individuals helped; a total of 15,462 total individuals benefitted from the assistance provided.   senior services - this program includes saturday meal delivery to the homebound; emergency client assistance services; health and wellness screenings; minor home repairs; 209 individuals received utility assistance; 116 individuals received medical assistance; 12 individuals received minor home repairs; 15 individuals received shelter assistance; 25 individuals received saturday meals totaling over 1,251 meals; 307 individuals received food pantry assistance; 296 individuals received clothing assistance.   legal - provide legal assistance to the homeless, aging and poor individuals in midtown kansas city, missouri 435 households received free legal assistance at a billable rate of $135,300.				
Green Works in Kansas City	http://www.greenworkskc.org	816-756-3674	EIN 32-0195433	4334 McGee St	Kansas City	MO	64111	USA	Education, Educational Services	Our mission is Environmental Education and Workforce Development for Urban Youth. We believe that when we change the future of our urban youth, we change the future of our community.   We educate urban high school students about the environment, involve them in service projects that improve their community, prepare them for post-secondary education and the workforce and connect them to opportunities in the growing green economy.   We also work with individual citizens, families, neighborhoods and organizations through informal science education to increase community awareness and support of environmental education and workforce priorities, and inspire environmental stewardship and respect.	environmental education, workforce development and community engagement.	- We have taught 280 urban high school students about Kansas Citys most serious environmental issues.  - We have funded over 12,000 hours of summer internships for our students.  - Our students and volunteers have planted 5 native plant beds, 50 trees and more than 4,000 native shrubs and plants in urban neighborhoods and along Brush Creek.  And through our programming our students' science scores have increased, they have changed their behaviors towards the environment, they have increased their social networks and 100% have graduated from high school. Many of our graduates are currently in college and four of our graduates secured employment at their former internship sites.	urban high school students connect to a green economy	60 students	Kansas City's urban neighborhoods
Ella's Hope	http://www.ellashope.org	314-922-3369	EIN 27-3416650	109 Windy Acres Estates Drive	Ballwin	MO	63021	USA		Ellas Hope Foundations mission is to promote autism awareness and support families affected by autism spectrum disorders. We are committed to funding programs and organizations that provide early intervention services and therapies, family support, education, advocacy and opportunities with the purpose of improving the quality of life for individuals with autism and their families. We offer support to organizations that provide services for children with autism and to organizations that conduct research on the causes and effects of autism.	Leaps Ahead program, a prekindergarten class for children with autism, All God's Children Sensory friendly Bible class for kids with autism, adapted camps for children with autism		Organizations and families dealing with autism in Missouri and Kansas		Missouri, Kansas
The Rainbow Network	http://www.rainbownetwork.org	417.889.8088	EIN 43-1720451	2840 E Chestnut Expressway Suite A	Springfield	MO	65802	USA	Economic Development, Health, Hospitals, International, International Development, International Economic Development, International Relief, Microfinance	Rainbow Network is a Christian organization that specializes in long-term, partnership based, community development programs for Nicaragua. Operating since 1995, our mission is to share the love of Jesus Christ with Nicaragua's poorest people through healthcare, education, economic development and housing. Our work targets remote locations where people are suffering in dirt-floor shacks, without medical care, a lack of sanitation, pure water and limited educational opportunities. The average annual income of families in rural Nicaragua is about $500, or about $2 per day.  Rainbow Network enters by invitation into areas where basic services for the poor are not available either from the Nicaraguan government or other religious or social agencies.	Economic Development, Education, Housing and Healthcare/Feeding Centers.	Since its founding in 1995, The Rainbow Network has served millions of meals, educated thousands of children, built hundreds of houses and provided health care to the neediest in rural Nicaragua.	create better lives and opportunities for the poor in rural Nicaragua	42,000 individuals.	112 communities in rural Nicaragua
Pcrmc Health Services Inc	http://		EIN 43-1818209	1000 W 10th St	Rolla	MO	65401	USA	Health, Hospitals						
Principle Foundation	http://www.principlefoundation.org	(816) 561-5955	EIN 43-0816306	2405 Grand Blvd Ste 1040	Kansas City	MO	64108	USA		To promote inspired benevolence in accordance with the teachings of christian science.	Administer charitable grants to christian scientists  support christian scientists in organizing similar provisions for benevolence in their own communities				
Alliance For Astronomy Inc	http://		EIN 20-1412184	8 Rudder Ct	Lake St Louis	MO	63367	USA	Astronomy, Technology						
Restore Ministries Inc	http://		EIN 59-3511048	Po Box 830	Ozark	MO	65721	USA	Family Counseling						
Pet Missouri - Columbia Inc	http://www.giftofmobility.org	(573) 443-4979	EIN 20-5640563	1908 Heriford Rd	Columbia	MO	65202	USA	Human Services, International, International Relief	To provide appropriate mobility for all of god's children in need. We seek to provide mobility first for those in greatest need and with the least resources in poor or underdeveloped countries.	To provide personal energy transportation (3 wheeled carts that are pedaled with your hands) to many disabled individuals in poor countries.				
Agape House	http://		EIN 43-1210306	810 E High St	Jefferson Cty	MO	65101	USA							
Christian Childrens Ministry Of Tri County	http://strongtowerranch.org	(636) 584-9823	EIN 43-1666053	600 Sunshine Ln	Wright City	MO	63390	USA	Protestant, Religion, Religion-Related	To organize, conduct and maintain a ranch for the development of character and to improve the spiritual, mental, vocational, recreational, social physical condition of boys girls. To manage and operate the ranch and its activities for the purpose of diffusing a general knowledge of the bible and its teaching through lectures, activities fellowship.	Strong tower ranch has both day camps and horsemanship camps. Together they served 470 children in 2014. The day camps mission is to provide a high quality, christ-centered day camp experience for children and youth aged 8-14. We strive to have activities that are both entertaining and character building. Activities include but are not limited to swimming, boating, horseback riding, games, creation, singing, bible lessons, crafts, archery, outdoor cooking, obstacle course, hay rides, hiking and fishing. The horsemanship camps give the solid foundation it takes to be a skilled, safe rider, while building a relationship of trust and respect with the horse. Those same attributes are carried over in our daily devotional as we learn more about how we can strengthen our relationship with jesus. Camp times are 9am-4pm monday through thursday and 9am-5pm on friday. There is a parent program at the horse arena on fridays from 4-5pm.   camp facilities are available all year for rental by churches baptism, fall festival, picnic, sunday school classes, scouting programs, family reunions, birthday parties, graducation parties, wedding receptions, etc. Significant progress was made on the wilderness cabin which is now available for families and groups to rent for retreats and other activities. Several mission groups also stayed there while serving during day camp weeks. The ranch continues to serve girl scouts, boy scouts and other groups with quality horse demonstration and trail rides.   the ranch has a worker to camper ratio between 12 and 13 each camp week. There is a lifeguard supervising water activities, and a full time nurse on the ranch property during camp hours. All staff goes through training which includes child protection polices. Background checks are done on staff members aged 18 and up. We trained approximately 90 adults and teens in christian leadership and evangelism. We had around 190 people volunteering the various programs and all have received training.				
Guadalupe Centers	http://www.guadalupecenters.org	816-421-1015	EIN 44-0610781	1015 Avenida Cesar E. Chavez	Kansas City	MO	64108	USA	Child Day Care, Children & Youth	The mission of GCI is to improve the quality of life for individuals in the Latino communities of greater Kansas City.We will accomplish our mission by:* Providing early childhood, elementary, secondary and adult educational programs.* Facilitating access to health and social services for all ages.* Promoting and providing Latino cultural enrichment events.* Sponsoring social activities that engage our diverse communities.	Health and Social Services, Youth Recreation, Charter High School and Middle School, Preschool, Seniors Center, After School/Summer Program, Culinary Arts School, Job Placement, Sports, Emergency Assistance, Tenn Pregnancy, HIV/AIDS testing, Substance Abuse Program		low income children, youth, adults and seniors	over 20,000	Kansas City, MO; Belton, MO
Ride On St. Louis, Inc.	http://www.rideonstl.org	636-464-3408	EIN 43-1885666	6008 Windsor Harbor Ln PO Box 94	Kimmswick	MO	63053	USA	Health, Health Care	Ride On St. Louis promotes health and enriches lives through love, joy and holistic healing.	Equine Assisted Activities and Therapies (physical therapy, occupational therapy, Wounded Warriors, Sensational Summer Camp, sports riding and adaptive riding)		Children and adults with physical, cognitive and/or emotional disabilities	109 individuals with special needs. 1200 EAAT hours administered	The Great St. Louis Metropolitan Area
H.E.R.O.E.S. Care, Inc.	http://www.heroescare.org	636 600 0096	EIN 01-0777850	330 Sun Valley Circle	Fenton	MO	63026	USA	Emergency Assistance, Human Services, Military & Veterans Organizations, Veterans	H.E.R.O.E.S. Care provides coordinated support for military members and their families before, during, and after deployment in the communities where they live through specially trained caregivers.	The H.E.R.O.E.S. Care Hometown Support Program is an affiliation of program partners working together to provide one-on-onededicated care for military families in the communities where they live. A specially trained, gender matchedvolunteeris assigned toa primary care receiver or PCR(spouse/significant other/other adult family member)designated by the deploying service member. This Hometown Support Volunteer (HSV) monitors the family situation and coordinates community support. The HSV also has dedicated access to national organizations that can provide for financial needs and job placement services. The HSV is specially trained to detect the need for professional mental health care and can refer the PCR to the affiliated partner organization to intervene.All of this care begins before deployment, continues through deployment, and up to two years post deployment at the discretion of the family. There are no contracts to sign and all services are free of charge.	Since 2003, over 150,000 military members and their families have received material, financial and other support through our network of volunteers and specially trained caregivers	Military Families in Genuine Need.	Each year H.E.R.O.E.S. Care provides real and meaningful support for more than 50,000 military families.	National
Moun Pou Moun Haiti	http://www.mpmhaiti.org	314-225-6642	EIN 27-1834162	Po Box 15013	Saint Louis	MO	63110	USA	International Relief	Moun Pou Moun is literally People for People and Person by Person, a charitable outreach initiative in southern Haiti.   MPMHaiti empowers individuals to advance their own lives.   Our grassroots approach proves effective in fostering an environment of self-help and sustainability.	Educational scholarships, microcredit loans to women, free water purification training, family support, opportunity and hope for a brighter future.	Over 10 years of changing lives through educational scholarship, microcredit lending with women, clean water education, and a dedicated team of local staff who make our initiatives culturally relevant and highly effective.  We are very proud of our extremely low overhead - always making sure that donations go directly to those who need them most.	Children, families, women	25 students, 40 women, 40 families	Southwestern Haiti - in and around Les Cayes (Aux Cayes)
The L.I.F.E. Foundation	http://www.lifefoundation-stl.org		EIN 27-1234896	PO Box 81	Fenton	MO	63026	USA		Our mission is to promote, create, and support programs that directly focus on the advancement of education for children. We want to be a part of the change and a part of the solution.	school supplies, computers, scholarships, and back to school events.		youth in foster care		St. Louis
Proyecto Bienestar	http://proyectobienestar.org		EIN 26-2722424	2115 Bird Rd Lot 4	Branson	MO	65616	USA	Economic Development, International, International Economic Development, Microfinance				women work their way out of poverty by establishing new homebased businesses	more than 100 families.	the United States and Mexico
St Andrews Resources For Seniors	http://standrews1.com	(314) 726-0111	EIN 43-0784786	6633 Delmar Blvd Ste 200	Saint Louis	MO	63130	USA	Homeless & Housing, In-Home Assistance, Senior Centers, Senior Citizens Housing & Retirement Communities, Seniors, Supportive Housing for Older Adults	We serve the needs of the elderly population with: housing and support services, health care, personal care, counseling and consultation, information and assistance, quality of life programming, and recognition of the contributions and value of elders/seniors.	Skilled and assisted living facility which served 597 individuals during various times of the year.   independent living facility for high income residents which served 142 individuals during various times of the year.   independent living facility for moderate income residents which served 89 individuals during various times of the year.				
Enteam Organization	http://www.enteam.org	(314) 814-2000	EIN 43-1718732	1753 Highview Circle Ct	Manchester	MO	63021	USA	Homeless & Housing, Housing Support	Learning to win together -- collaborating to increase productivity and peace by measuring cooperation	Professional development helped build higher-order thinking skills in over 1,000 students and their educators during the fiscal year by providing workshops that gave teachers and other youth leaders experience using enteam tools to raise academic achievement, improve classroom management, and encourage students to study together productively and respectfully. All enteam programs use unique tools that measure performance on a win-win basis.   operation cooperation served over 100 students, teachers, and parents from muslim, jewish, and christian schools during the fiscal year by providing workshops that increase their skill in working and playing with people from these diverse faith groups in a safe supporting setting.				
OPTIMIST INTERNATIONAL FOUNDATION	http://www.oifoundation.org	800-500-8130	EIN 23-7102928	4494 Lindell Blvd	Saint Louis	MO	63108	USA		Helping Optimists Help Kids	Charitable, literary, and educational programs, which include grants to exempt organizations to assist with publication costs for magazines and articles (which are distributed to the organization's constituents), seminars and training for members of other exempt organizations, grant writing program, international initiatives and matching grants.   oratorical contest scholarships: an annual speech competition with over 40,000 entrants. Scholarships are awarded at the district level in contests located in the united states.   club grant programs: grants for member clubs utilized for charitable, literary and educational programs at the direction of the foundation in conjunction with support from the member clubs.   youth club programs: scholarships to support youth club programs and activities. Total expenses for the year ended september 30, 2015, amounted to $89,699, all of which were scholarships made to individuals living inside the united states. Essay contest scholarships program: an annual competition for high school students with over 25,000 entrants. Scholarships are awarded to individuals living in the united states. Total expenses for the year ended september 30, 2015, amounted to $91,000, all of which were scholarships. Communications contest for the deaf and hard of hearing scholarships program (ccdhh): a program that awards scholarships to district winners. Scholarships are awarded to each individual winner and are payable upon receipt of the correct paperwork from an institution of higher learning. Total expenses for the year ended september 30, 2015, amounted to $38,250, all of which were scholarships made to individuals.				
Missouri Botanical Garden	http://www.mobot.org	(314) 577-5100	EIN 43-0666759	4344 Shaw Boulevard	St. Louis	MO	63110	USA	Botanical Gardens & Arboreta, Environment	To discover and share knowledge about plants and their environment in order to preserve and enrich life.	79 acres of botanical landscape; formal and informal education programs for visitors, schoolchildren, and families; research and conservation programs in 35 countries around the world; festivals, flower shows, and special events for a variety of age groups and interests.	Founded in 1859, the Missouri Botanical Garden is the nation's oldest botanical garden in continuous operation and a National Historic Landmark.   The Garden is a center for botanical research and science education, as well as an oasis in the city of St. Louis. The Garden offers 79 acres of beautiful horticultural display, including a 14-acre Japanese strolling garden, Henry Shaw's original 1850 estate home, and one of the world's largest collections of rare and endangered orchids.   For over 154 years, the Garden has been an oasis in the city, a place of beauty and family funand also a center for education, science, and conservation.	others discover the value of plants and conserve botanical diversity	over a million visitors connect to the wonder of the natural world	St. Louis and beyond
