name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Furkids'' Main Goals: 	ACR REF Rheumatology Investigator Award
Dare To Hope Foundation	http://www.dare-to-hope.org		EIN 27-2941600	PO Box 670953	Marietta	GA	30066	USA		The Ainsley Paige Higgins Dare To Hope Foundation, Inc. works to raise awareness and better the lives of children with rare diseases and/or complex medical conditions. Our services include procuring free or low-cost legal and advocacy assistance, furnishing medical supplies not covered by insurance, offering toys to brighten a childs day, providing community resource referrals and coordination and offering emotional support to families.		children either diagnosed with a rare, chronic or critical medical issue, or undiagnosed with complex medical issues			Services in Georgia:  We provide resource referral and coordination to families in Georgia with children affected by rare or complex medical issues including:  help and advocacy for school IEPs procuring durable medical equipment applying for Medicaid waivers, grants & scholarships, insurance claims, etc. help with home education & therapy tools locating or establishing on-line & local support We work with existing services and grant opportunities and strive to fill in the gaps for Georgias families. Contact daretohopefoundation@gmail.com to find out more.  Programs:  The Dare To Hope Foundation has worked tirelessly to provide the Georgia Disabled Community & Beyond with community connections, global resources and international awareness of rare and complex diseases.  Current programs include:  Toy and diaper drive benefitting Georgias children on waiting lists for services, children in long-term hospital stays & treatment, children confined to home care, etc. Cell phone charger recycling program-collecting cell phone chargers to place in Childrens Hospitals surgery waiting rooms Partnering with other rare disease organizations to raise funds & Global awareness of childrens medical issues On The Horizon:  The Dare To Hope Foundation is working alongside other organizations, advocates and parents in our  Discovering  Area  Resources for  Exceptional Kids  program to be unvieled throughout 2011. This state-by-state initiative will enable doctors, specialists and hospitals to hand a list of local resources to newly diagnosed families. This seems so simple, yet parents are often handed a devastating diagnosis (or prognosis with no known diagnosis) with nowhere to turn to answer questions or find support. Doctors have a difficult time keeping up with resources which tend to come & go.		
My Sisters Keeper Foundation for Women Inc	http://www.mskfoundation.org	770-785-7817	EIN 20-2893991	2890  Georgia Hwy 212 Suite A- 124	Conyers	GA	30094	USA		My Sisters Keeper Foundation for Women is a non-profit 501 (c) (3) organization whose mission is to move women from average to excellence.				Currently serving the Metropolitan Atlanta Area	Life coaching classes, single mothers resource exchange, summer camp vouchers		
Kates Club Inc	http://www.katesclub.org	404-347-7619	EIN 16-1646487	1330 West Peachtree St. NW Suite 520	Atlanta	GA	30303	USA	Children & Youth, Victims Services, Youth Development	Kate's Club empowers school-age children and teens facing life after the death of a parent or sibling. By creating friendships with kids and young adults that share the experience, Kate's Club guides children through their grief journey in a comfortable, safe, and uplifting setting.		children ages 5-18					
Open Door Christian Homes Inc	http://	(229) 896-4131	EIN 20-5875840	176 Debbie Dr	Adel	GA	31620	USA	Human Service Organizations	To assist recovering addicts, drugs, alcohol. Etc					During the period the home assisted sixteen patients in recovering & from addictions through counseling , schooling and shelter during period of recovering		
Fadel Educational Foundation	http://fadelfoundation.org	484-694-1783	EIN 		Augusta	GA	30917	USA		FEF, Inc., is a non-profit educational foundation supporting education for Muslim U.S. citizens and permanent residents. The awards are distributed on a need/merit basis up to $3,500 a year for post-secondary education.				United States			
Atlanta Musicians Orchestra	http://		EIN 58-2531279	4002 Dinmont Chase	Atlanta	GA	30349	USA	Arts & Culture, Symphony Orchestras	The Atlanta Musicians' Orchestra is a community orchestra comprised of a mixture of amateur, semi-professional and professional musicians. We provide high quality concerts to the Atlanta and surrounding communities several times throughout the year.  We depend on donations from patrons in the community and arts grants to allow us to provide great concerts that are accessible to everyone.    Our mission is to share our love of classical and contemporary orchestra and chamber music with the community.  All of our musicians volunteer their time and talents to the orchestra to make this wonderful ensemble a success.  We take pride in presenting meaningful and challenging orchestral works that rival the programming of large professional orchestras.							
Friends of Refugees Inc	http://www.friendsofrefugees.com	404-292-8818	EIN 20-1989492	Friends of Refugees PO Box 548	Clarkston	GA	30021	USA	Children & Youth, Employment Preparation & Procurement, Ethnic &  Immigrant Centers, Food, Food Banks & Pantries, Human Services, Immigration, Job Training, Youth Development Programs	Our mission is to care for refugees through relationships and opportunities that provide for their well-being, education and employment as they become contributing members of society.	-- Strong presence in the community; people like us -- 500 lives impacted last year -- 8 programs expanded through increased funding, staffing and volunteering -- Expected continued growth in 2011	Refugees with significant resettlement needs; Low-income families; Children and youth			Summer Camp, Mommy and Me Family Literacy (English for mothers with small children), Cafe Clarkston (for computer and job skills training), After-School Tutoring, Community Garden, Food and Clothing Distribution, "Embrace" (birthing information and assistance).		
Saferide America Inc	http://saferideamerica.org	404-888-0887	EIN 80-0508740	5825 Glenridge Drive Bldg. 3, Suite 101	Atlanta	GA	30328	USA	Crime & Law, Drunk Driving-Related	To pro-actively prevent all types of impaired driving.	Since we began in 2000 we have driven home over 150,000 cars and as many as 120 cars in a single day.	prevent all types of impaired driving	get over 20,000 impaired individuals not drive their cars.	Atlanta, GA	We offer a service to drive people and their cars for them called SafeRide Service. SafeRide Service is available everyday in the Metro Atlanta area from 6 pm to 4 am.  Our drivers are well trained, stringently qualified, exceptionally professional and very well dressed.		
Ceek to Fulfill	http://www.ceek2fulfill.com	770-602-0543	EIN 20-8977553	997 Commerce Drive SW. Suite 1A	Conyers	GA	30094	USA	Group Homes	Provide youth with the positive support  necessary to lead content and productive adult lives.  We understand that by assisting this group of youth we not only produce effective citizens and leaders but we also help the community at large.					GHSGT/GED Preparation Classes, Job Readiness Training, College Prep		
United Military Care Inc.	http://unitedmilitarycare.org	770-973-0014	EIN 46-0552042	1220 Old Canton Road	Marietta	GA	30062	USA	Children & Youth, Education, Food, Food Banks & Pantries, Literacy, Recreation & Sports, Remedial Reading & Encouragement, Sports, Youth Development	To answer the call from military families and veterans in their time of need by providing real solutions to life's challenges.	Over 7,000 military service members, spouses, children and veterans have received emergency and empowering services from United Military Care since 2013.	military families and veterans	over 7,000 military families and veterans throughout Georgia	Georgia	emergency assistance, education and celebration of service and community.		
Reef Ball Foundation Inc	http://www.reefball.org		EIN 65-0785751	890 Hill Street	Athens	GA	30606	USA	Education, Environment, Federated Giving Programs, Natural Resources Conservation & Protection, Philanthropy	PROTECTING NATURAL REEF SYSTEMS THROUGH EDUCATION AND COMMUNITY INVOLVEMENT AND RESTORING OUR MARINE ECOSYSTEMS THROUGH REEF BALL TECHNOLOGY.				Global			
Camp Horizon Inc	http://www.camphorizon.net	770-462-4908	EIN 58-1509453	3904 N. Druid Hills Rd., #339	Decatur	GA	30033	USA	Camps, Child Abuse Prevention, Children & Youth, Crime & Law, Domestic Violence, Foster Care, Sports, Youth Community Service Clubs	Camp Horizon works to restore dignity and hope to children, teens and young adults  empowering them to make good decisions and lead healthy productive lives.	We have helped to positively change the life trajectories of over 1,000 children since 1982.	At-risk children, teens and young adults in foster care, aged 8-23.	68	Metropolitan Atlanta, including Fulton, Dekalb, Cobb, and Gwinnett counties.	Summer Camp, Leadership Development Program (LDP), Camp Horizon Adult Mentoring Program (CHAMPs), and Year-round Outings		
Horse Rescue Relief and Retirement Fund Inc	http://www.SaveTheHorses.org	770-886-5419	EIN 58-2479748	1768 Newt Green Rd	Cumming	GA	30028	USA	Animal-Related, Animals	The mission of Save the Horses is to improve the quality of life for all horses, thereby improving the lives of people through their bond with the horses. We are committed to the rescue and rehabilitation of equines suffering from abuse, as well as the successful retirement of working equines. We strive to improve public awareness and knowledge regarding the standards of care necessary to insure the health and safety of all equines.	Thanks to your generous donations, we have been able to help rescue over 1000 needy horses since 1998. We are funded totally by donations and fund raising. We receive no government assistance. You are the angels who help us Save The Horses. With horses are therapist's, hundreds of humans have been touched by these wonderful animals every day.	horses, children, elderly and all humans bond and find comfort in their daily lives.	over 100 horses find safe homes and 27 Barn Buddy participants loved and bonded with the horses.	Georgia and SE U.S.	BARN BUDDY PROGRAM for foster and adopted children to bond with horses in foster care at the rescue farm. PINK HORSE SHOE FUND to raise money for horses who have cancer to get lifesaving treatment. FIELD TRIPS, SCOUTS, COMMUNITY OUTREACH. NURSING HOME VISITS with our miniature horses bring smiles to the residents.		
Love One By One, Inc.	http://www.Love1x1.org	877-234-4191	EIN 47-1360400	8920 Eves Road Unit #7669	Atlanta	GA	30076	USA	International, Military & Veterans Organizations, National Security, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Philanthropy, Voluntarism & Grantmaking Foundations, Veterans	Love One By One sends comfort in care packages to actively-deployed, single U.S. Service Members.	127 Single; 6 Female; and 350 Total U.S. Service Members through 05/17/16.	send comfort in care packages to actively-deployed, single U.S. Service Members.	127 Single; 6 Female; and 350 Total U.S. Service Members	Based in Metro Atlanta, but serving actively-deployed U.S. Service Members.	Comfort Care Packages; Welcome Home Warriors; "Full Circle" Supporters		
I Will Survive Inc.	http://www.IWillSurviveInc.org	404-483-8503	EIN 27-5430698	PO Box 81364	Atlanta	GA	30366	USA		To increase breast cancer awareness through education and provide funding in lower income communities.		increase breast cancer awareness through education and provide funding in lower income communities	countless individuals diagnosed with breast cancer and breast cancer survivors and their families.	metropolitan area of Atlanta, Georgia	Survival Financial Assistance Survival Educational Awareness Health and Wellness Survivorship		
Project Grad-Atlanta Inc	http://www.projectgradatlanta.org	(404) 880-3500	EIN 58-2545441	260 Peachtree Street Suite 402	Atlanta	GA	30303	USA	Education	The mission of Project GRAD Atlanta is to collaborate with the Atlanta Public Schools in order to increase the number of students graduating from high school and college.	Project GRAD Atlanta has successfully impacted high school graduation rates by helping students and their families understand that college is attainable. As a result of GRADs proliferation of a college-bound culture, more than 2,000 Brumley-GRAD Scholarship recipients have earned the opportunity to attend two-year and four-year colleges across the country.  Project GRAD Atlanta is proud to be a scholarship-granting nonprofit organization that has awarded over $2 million in scholarships to date.				College access: to expand the program services of project grad atlanta (pga) in the atlanta public schools to provide students enrolled in five additional high school; douglas, jackson, mays, therrell, and best academy with the opportunity to receive college access support services in the form of college advisement.   college readiness: the mission of the college programing department is to provide programs and opportunities for students enrolled in project grad atlanta high schools (grades 9-12) within the atlanta public schools by engaging students and parents in activities that foster positive attitudes, academic achievement, college preparation, access to financial resources; therefore promoting high school graduation, college enrollment, and college graduation. The specific goals of college readiness are: 90% of entering freshman graduating in four years; 60% of graduating class earning the dr. George w. Brumley, jr. -project grad scholarship; and 80% of brumley-grad scholars enrolled in college within the first year. The project grad atlanta high school programming department is to provide project grad high schools with college readiness programs, workshops, college tours, sat or act preparatory classes, tutoring and academic support, college admissions workshops, financial aid and scholarship assistance for students and parents, summer institutes for commuter and residential sites, summer enrichment program referrals, and provides additional financial support for school initiatives to include professional development for staff. In addition, the curriculum develops and promotes student-centered activities which help project grad students with the college application and preparation processes and foster high school graduation, academic achievement, career development, parental involvement and college attendance. An essential part of college readiness is promoting the brumley-grad scholarship for students who maintain an overall 78 or above numeric grade average, complete requisite college preparatory courses, attend two (2) summer institutes, and graduate from a project grad feeder high school on time (within four (4) years). Successful students who meet these criteria earn up to four (4) years of scholarship support to attend an accredited 2- or 4- year college or state-approved technical school of their choice anywhere in the united states. As of june 30, 2015, 170 project grad scholars from the class of 2015 qualified for the $4,000. 00 brumley-grad scholarship.   scholar support: the college programming department assists project grad senior scholars with their decision to attend college and make a successful transition from high school to college. In an effort to foster this change, during the summer of 2015, for the first time, the college programming department will offer a "summer melt workshop" to encourage all brumley-grad scholars slated to attend college for fall semester, to follow-through with those plans. Brumley-grad scholars who successfully complete high school and attend college are provided various forms of personal and group assistance in becoming responsible college students who successfully graduate from college. With a goal of fifty percent of brumley-grad scholars completing college at the associate or bachelor degree level, the initiatives of the college programming department impact college students' persistence. College programming works to ensure the success of the brumley-grad scholars enrolled in college. In 2014-2015, 887 brumley-grad scholars were enrolled in a postsecondary institution at some point during the year. Additionally, brumley-grad scholars enrolled in college, are provided $500 scholarships for up to eight semesters, to help defray tuition expenses. In fy2015 project grad atlanta disbursed $444,512 in scholarship funds. Additionally, eight (8) brumley-grad scholars were employed as teacher assistants to serve in the classrooms and share their experiences with the high school students that participated in the 2015 college institute.		
A NEW WALK INC	http://www.anewwalk.org	770-654-8823	EIN 20-2528052	PO Box 5967	Gainesville	GA	30504	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment	We strive to be a food pantry hub for families and other charitable organizations in need of food so that any that are hungry will not go without.					Food ministry disbursing supplies to approximately 390 families per week  recovery and education for drug abuse assisting approximately 55 individuals and families  homeless ministry assisting 30 plus individuals and families on any given day		
Canine Assistants, Inc.	http://www.canineassistants.org	(770) 664-7178	EIN 58-1974410	3160 Francis Rd	Alpharetta	GA	30004	USA	Animal Services, Animals, Centers to Support the Independence of Specific Populations, Education, Educational Services, Human Services	Our founder and Executive Director, Jennifer Arnold, was diagnosed with multiple sclerosis as a teenager and spent two years using a wheelchair.  It was a difficult time for her as she felt isolated, alone, and dependent on those around her.    Her father, a physician in Atlanta, heard about an organiztion that trained service dogs to help people in wheelchairs.  The program, which was located in California, had a long waiting list and worked mainly with those in their own region, so her father decided to start a similar program in Georgia.  Three weeks after the first planning meeting for Canine Assistants, her father was hit and killed by a drunk driver while he was taking a walk.  Determined to accomplish her dream and complete what her father had started, it took Jennifer and her mother ten years of hard work and dedication to open the program.  Fortunately, Jennifer no longer needs a wheelchair, yet she fully understands the needs and concerns of others with physical disabilities.  We no longer want people with disabilities to feel isolated and dependant on others.  The dogs trained at Canine Assistants can turn lights on and off, open doors, pull wheelchairs retrieve dropped objects, summon help, and provide secure companionship.  Yet, even more important than the physical skills they possess, is their ability to eliminate feelings of fear isolation, and loneliness felt by their companions.  One Canine Assistants' recipient made the value of this skill quite clear when asked by a reporter what she like most about her service dog, immediately she responded, "My service dog makes my wheelchair disappear."					Animal training to assist individuals who have physical disabilities and other special needs; community awareness and outreach programs.		
International Fund for Economic Development Inc	http://www.ifed-us.org		EIN 16-1617006	PO Box 369	Hiawassee	GA	30546	USA	Economic Development, Education, Environment, Environmental Beautification, International, International Economic Development, Microfinance, Natural Resources Conservation & Protection	We assist individuals and rural communities in evaluating their existing resources and skills and work with them to develop project plans and attain funding to purchase the tools needed to execute their plans.							
PCOS Challenge, Inc.	http://www.pcoschallenge.org	(404) 855-7244	EIN 26-3827259	931 Monroe Drive, NE Suite A-470	Atlanta	GA	30308	USA	Health, Health Support, Patient & Family Support, Specifically Named Diseases	Raise public awareness about Polycystic Ovary Syndrome (PCOS) and help women with the condition overcome their symptoms and reduce their risk for life-threatening related diseases such as endometrial cancer, type 2 diabetes and cardiovascular disease.	PCOS Challenge, Inc. is the leading 501(c)(3) nonprofit support organization advancing the cause for women and girls with Polycystic Ovary Syndrome, serving over 33,000 members. Because of individuals like you, we now touch the lives of tens-of-thousands of women with PCOS and their supporters each year through television and radio programming, online and offline support groups, and education and awareness initiatives. Since our beginning, we've helped many women find answers that helped them overcome their struggles with infertility, weight gain, anxiety and depression and reduce their risk for life-threatening related conditions.	Up to 14 million women and girls in the U.S. who are affected by polycystic ovary syndrome (PCOS).	Over 33,000 PCOS Challenge members and tens-of-thousands of other women and girls with PCOS through PCOS Challenge's awareness, education and outreach initiatives.	United States	1) Educational symposia with world leading experts on PCOS and related to conditions. 2) PCOS magazine, cable television and radio programming. 3)  Online and offline support groups for women with PCOS. 4) PCOS community awareness, education and engagement initiatives including health fairs, screenings, fitness activities and walks.		
TruPeace Learning Center	http://www.trupeace.org	(770) 282-9530	EIN 46-5167375	909 Senoia Road, Suite B c/o TruPeace Inc.	Tyrone	GA	30290	USA	Adult Education, Boys & Girls Clubs, Children & Youth, Education, Literacy, Remedial Reading & Encouragement, Youth Development Programs	TruPeace Learning Center provides a relaxing place for children and families to receive tutoring in Fayette County, nurture character, and develop self-esteem. We will provide classes to help families achieve emotional peace, personal success; promoting literacy, education and a safer community.	Since the summer of 2015, students attending our program who lacked self confidence, and were at-risk academically have shown a tremendous improvement.  Areas of improvement include reading fluency, attitude/behavior, self-efficacy and grade average.  TruPeace Learning Center is committed to helping children achieve academic and personal success.  We will soon extend services to parents, and other adults who can benefit from our services.		12 Students.  With financial support, we can serve up to 10 students per class.		We provide tutoring in reading and math.  Students may also attend enrichment, a life-skills class which includes meditation.  Some of our students struggle with inner-peace and socialization problems.  Unfortunately, they experience negativity at school and other parts of their environments.  We help by providing a peaceful environment to learn, and attain peace so they can thrive in the world.		
H P S O	http://www.hpso.net	706-736-1001	EIN 58-2527360	PO Box 16655 2052 Gordon Highway	Augusta	GA	30919	USA	Food, Food Banks & Pantries	HPSO mission is to provide the physical, spiritual and educational assistance to those in need.				Central Savannah River Area			
MUST Ministries	http://www.mustministries.org	770-427-9862	EIN 	1407 Cobb Parkway North	Marietta	GA	30062	USA	Emergency Assistance, Homeless & Housing, Homeless Centers, Homeless Shelters, Religion, Religion-Related	MUST Ministries is a faith-based organization which for thirty-eight years has been dedicated to providing services to persons and families in crisis while maintaining their dignity.  Founded in 1971 and rooted in the Christian tradition, MUST addresses the basic needs of individuals, families, and children in the northwest metropolitan Atlanta communities of Cobb and Cherokee counties.  MUST is unique among social service agencies in the metro-Atlanta area, offering comprehensive services such as emergency shelter, transitional housing and recovery from homelessness, housing for mentally ill clients, meals, groceries, clothing, job readiness training and placement, financial assistance, childrens programs, community support groups, access to free health care, and affordable housing.   MUST serves as regional model in the delivery of services to indigent, people/families in crisis, and the homeless.				Cherokee and Cobb Counties in Metro Atlanta Region			
Atlanta Outreach Project (AOP)	http://www.atlantaoutreach.org	(678) 852-2076	EIN 26-3363743	P.O. Box 93543	Atlanta	GA	30377	USA	Children & Youth, Homeless & Housing, Temporary Housing, Youth Development, Youth Development Programs	Empowering an Emerging Generation with Hope and a Future. "For I know the plans I have for you," declares the Lord, "plans to prosper you and not to harm you, plans to give you hope and a future."  (Jeremiah 29:11)  Empowering an emerging generation to "get to the heart of the matter," and end the life-crippling barriers that prevent long-term success. By addressing root issues from their past and present, we teach them how to build a stable foundation for their future. With a holistic approach to stability and impacting them with the Love of Jesus Christ, the end result is a long-term reduction of issues such as illiteracy, juvenile delinquency, school drop-out rates, addictions, crime, incarceration, abortion, broken families, divorce and more.  After years of serving adult homeless men and women, we found that when the majority of them were young they were either in numerous foster homes, from broken homes, had absent parent(s), or for some other reason never formed a solid foundation in life. As a result, they experienced decades of financial, physical and emotional instability. Even when they did find shelter and food, they continued to navigate through life lonely and without hope.  This is why we now focus on the younger generation. Many young people today are at a disadvantage due to the breakdown of the family in our society. We often find children having children, with no idea how to be a parent. How can that young parent possibly give to their child what they never had? And so the cycle continues, with more and more young people who never received the love, affection, affirmation, stability or healthy structure they should have had.  While many of the young people we meet are indeed homeless, others simply have no hope. Through Homes of Purpose & Empowerment (HoPE) and our Power of Love Outreaches (POLO) we provide hope to the children, teens, young adults and young families that come across our path. We empower them with self-worth, a new perspective, hope and a future.	Through our housing programs, we have been able to make a lasting difference in the lives of many homeless, including young men, women & families, with a success rate of 79% moving on to various forms of stable housing.   Since 2008, prior to and including serving the younger generation, we served over 1400 homeless men, women & families and helped them find a place to call home.  We proudly achieve our goals with 93% of all funding going directly to our homes & outreaches.	the younger generation who come from foster care, group homes and broken homes	92	Metropolitan Atlanta	Homes of Purpose & Empowerment and POWER OF LOVE OUTREACH		
National Urban Coalition For Unity And Peace	http://www.nucup.org		EIN 95-4060394	35 Northside Dr Ste 3-c	Atlanta	GA	30313	USA	Children & Youth, Youth Community Service Clubs, Youth Development - Business, Youth Development - Citizenship	The National Urban Coalition for Unity and Peace, (N.U.C.U.P.) was establish in 1986 for the purpose of addressing the needs of disadvantaged teenagers, and to help lessen neighborhood tensions due to gang violence and drug use. Emphasis is placed on drug awareness and prevention since these are the number one enemies of all time in America. In addition, school dropout rates among teenagers is alarming. As a result, a program was enacted to encourage the continuation of the educational process through alternative methods such as vocational and night schools. We also encourage individuals to pursue a graduate equivalent diploma (GED). It was soon realized that working with teenagers ages 15 to 18 was not as productive as desired. Most teenagers have already formed opinions about life, and were greatly influenced by their peers rather than authoritive figures. In 1988, the focus was changed to a younger age group, and NUCUP adopted the motto: "It is Easier to Build a Child, Than to Repair an Adult".					Updates coming soon. Please visit the link to our web site.		
HEPHZIBAH CHILDRENS HOME	http://www.hephzibah.com	478-477-3383	EIN 58-0572463	6601 Zebulon Rd	Macon	GA	31220	USA	Human Services, Residential Care & Adult Day Programs	For over a century Hephzibah Children's Home has been serving the needs of children and families who are homeless, orphaned, abused, and neglected. Our passion is driven by Christs command to "offer a cup of cold water" in Jesus' name and to provide loving, caring, professional, and passionate service.		children and families in need.	102 teens and toddlers.	Macon, GA	24/7 residential care, mental health treatment, physical and recreation programming, and spiritual guidance.		
RICHARD NASH MINISTRIES	http://www.jewelscent.com/richardnashministries		EIN 27-1777124	222 Fifth Street	Manchester	GA	31816	USA				kids, shut ins, gospel sings, speaking, singing.	many youth received fishing kits/tackle boxes. Our purpose is to give kids good, wholesome activities for them to participate in. In addition to doing local activities with Fishing for Youth, kits are also mailed out to many youth. Donations help us defray these costs. Richard Nash Ministries is working Full time for the Lord!	Georgia	Fishing for Youth Program Sending out Gospel CD recently recorded to shut ins. We also send out CD'S for any size donation to ministry. When we have a speaking or singing engagement, no specific fee is charged. God always supplies our needs. Currently having monthly Gospel Sing in Manchester Ga. It cost $150.00 per month for one day. Donations we receive help us to make cd's and mail them out, pay fee to rent building for gospel sings.		
Phoenix Pass Inc	http://	(770) 655-1655	EIN 26-3786404	Po Box 1155	Conyers	GA	30012	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing	Provide direct emergency assistance to individuals					Direct emergency assistance to individuals		
Johnnies House Inc	http://		EIN 58-2639369	3961 Floyd Rd Ste 300 Pmb 226	Austell	GA	30106	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing								
Fellowship Of Christians United For Service	http://		EIN 58-1747756	Po Box 524	Hamilton	GA	31811	USA									
American Disability Foundation Inc	http://www.adisabilityfoundation.org	404-660-5217	EIN 27-3284697	1100 Peachtree Street NE Suite 200	Atlanta	GA	30309	USA	Homeless & Housing, Human Service Organizations, Mental Health, Mental Health Disorders	To strengthen the social sector by assisting the mentally and physically disabled, by providing affordable housing, access to health care, access to needed funding. In addition we aim to assist those with mental illness in logical ways to prevent them from becoming homeless or part of the criminal justice system, because of their unique behavior.	IN THE LAST YEAR   #1. Antwine Vision Foundation helped over 1500 homeless men, women and children and those with disabilities, obtain housing, access to proper health care, assisted with obtaining state and federal funding, provided transportation to and from health care providers.  #2. Antwine Vision Foundation helped more than 1200 homeless men, women and children receive mental health counseling, transitional and special needs housing, classes on renting and budgeting, live enhancement and childcare, adult job placement support and emergency needs support.	Those with mental and physical disabilities, those that are homeless or at-risk of homelessness.	1500 men, women and children	Atlanta and the State of Georgia	Disability Advocacy Program & Transitional & Special Needs Housing Program		
Buckhead Christian Ministry, Inc.	http://www.buckheadchristianministry.org	404-239-0058	EIN 58-1748786	2847 Piedmont Road	Atlanta	GA	30305	USA	Emergency Assistance, Financial Counseling, Homeless & Housing, Housing & Shelter, Religion, Religion-Related	Buckhead Christian Ministry helps people in financial crisis meet their basic needs and achieve self-sufficiency. BCM provides both emergency and housing assistance, as well as life-skills education, while placing special emphasis on the needs of low-income workers. BCM fosters community by engaging volunteers in bringing hope and compassion to people of all faiths.	In 2011 BCM - Assisted 8,702 people in crisis - Helped 1,680 individuals pay housing or utility bills - Gave 18,510 bags of food - Gave 3,192 snack bags to homeless visitors. - Gave 2,185 people free clothing valued at $110,604.  In 2011, 14 families graduated from The 70/30 Project, collectively retiring $48,839 in personal debt (an average of $3,487 per family).  929 children received toys through The Joyous Toys Store.		In 2009, BCM helped more than 9,000 individuals with food, clothing, shelter and financial education. Through our Joyous Toys store, more than 950 children had Christmas gifts to open on Christmas morning.	15 metro Atlanta zip codes	Emergency Assistance, Transitional Housing for families facing homelessness, The 70/30 Project (homelessness prevention), The Money Management Course, Buckhead THRIFTique (BCM's thrift store)		
A Beacon of Hope Women's Center	http://www.friendsofbeacon.com	(678) 893 - 5293	EIN 58-2424267	2750 Old Alabama Rd.	Johns Creek	GA	30022	USA	Christianity, Human Service Organizations, Human Services, Religion	To empower women and families through pregnancy diagnosis, decision support, and sexual health education by providing compassionate medical, emotional, and long-term care that specializes in hope, healing and recovery.					Patient care counseling for 2,712 patients. Services include medical pregnancy verification, limited ultrasound and options counseling.   limited ultrasounds were performed for 419 clients to determine if the pregnancy was intrauterine, was there a viable heartbeat and what is the gestational age. Includes donated medical services of $9,624.   the "earn while you learn" concept is provided to clients and includes parenting, life skills and christian discipleship. This includes 1833 interactions under programming during the fiscal year. Includes baby & me boutique donations of $35,016.		
Rescue Ranch Pups Inc	http://		EIN 47-2903997	6150 W Dixie Hwy	Rutledge	GA	30663	USA	Animal Protection & Welfare, Animals								
KOKORO-BUSHI-DO KEMPO KARATE	http://		EIN 20-0024938	PO Box 1875	Dacula	GA	30019	USA	Crime & Law, Crime Prevention								
Hope And Light Foundation	http://www.hopeandlight.org		EIN 20-2203343	1355 Cortez Ln Ne	Brookhaven	GA	30319	USA		Charitable purpose					The hope and light foundation supported families living with spinal muscular atrophy by holding our second annual adapted toy program. Adapted toys and switches to operate them were mailed to each child. This technology assisted children by allowing them to play independently. The foundation also partnered with lekotek of georgia to distribute adapted toys to children living in the metro atlanta area.		
Asian American Legal Advocacy Center Inc.	http://www.aalegal.org	4045858446	EIN 27-2577567	P.O. Box 922021	Norcross	GA	30010	USA		AALACs mission is to protect and promote the civil, social and economic rights of Asian Americans in Georgia and the Southeast through public policy, legal education, community organizing and leadership development.				Georgia and the Southeast	To protect and promote the civil, social and economic rights of asian americans in the southeast through public policy, legal education, community organizing and leadership development. Civil engagement, public policy work; legal services; legal education and outreach.		
Praying for Our Children Inc	http://www.prayingforourchildren.org/	(813) 245-9779	EIN 26-1119727	3645 Marketplace Blvd	East Point	GA	30344	USA	Christianity, Family Counseling, Interfaith Coalitions, Religion	The nonprofit's mission is to					Establish a structured venue for responding to the spiritual burdens experienced by those who are concerned about the well being of children		
YouthReach International	http://www.youthreach.org	678-935-0220	EIN 75-2583292	1911 Grayson Hwy Suite 8-344	Grayson	GA	30017	USA	Children & Youth, Children & Youth Services, Christianity, Religion, Youth Development - Religious Leadership	YouthReach International establishes local mentoring communities which equip orphans and at-risk youth for success in life through spiritual development, positive role models, and practical life skills.		Orphans and at-risk youth live successful lives.	800 orphans in 7 orphanages in 3 countries	Ukraine, Russia, and Belarus	Spiritual development Positive role models Practical life skills		
Our House, Inc.	http://www.ourhousega.org	404-378-0938	EIN 58-1743333	PO Box 1304	Decatur	GA	30031	USA	Child Day Care, Children & Youth, Education, Preschools	Our House breaks the chains of homelessness by providing quality early childhood education and comprehensive support services for families who are homeless.	90% of parents surveyed agreed that Our House programs and services served to significantly improve their situation. In this fiscal year alone, 58% of the parents who entered Our House unemployed became employed within 6 months. In FY 2012, 31% of parents enrolled in an employment training program; 77% made improvements in their housing stability. Of our 2011 CDA job training graduates, 67% obtained F/T employment and 25% obtained P/T employment within 6 months of graduating from the program.  Our House is able to have impact in the lives of homeless families due to strong leadership, effective staff, quality programming, and long-term  community support.	Homeless children (ages 6 wks. to 5 yrs.) and families living in shelters and/or transitional housing programs throughout Metro Atlanta.		Metro Atlanta	Early Childhood Education Program Family Advocacy Program Employment Readiness Program		
Lindsey's Place	http://www.LindseysPlace.org		EIN 30-0467257	35 Romerley Rd W	Savannah	GA	31411	USA	Camps, Centers to Support the Independence of Specific Populations, Children & Youth, Developmentally Disabled Centers, Disabilities, Human Services, Sports, Youth Development Programs	The mission of Lindsey's Place is to enrich the lives of children and young adults with special needs by creating a residential experience that promotes self-esteem, self- confidence, and independence. Our focus is to provide experiential programs that promote personal growth in a nurturing environment that is challenging, creative, social, and positive.	We have begun our capital campaign to move forward with a facility of our own. Fundraising supports have grown in the few years we have existed and community involvement is growing. With 3 successful weekend camper sessions, we have served approximately 21 campers, with a high rate of returning campers. Our 4th weekend is coming in April with hopes to host up to 12 campers.				As funding permits, we offer weekend residential camp programs. We hope to grow and become a year round facility.		
