name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	 	
Bryan County Retired Senior Volunteer Program Inc	http://		EIN 73-1351152	301 N 16th Ave	Durant	OK	74701	USA		Provide opportunity for retired persons to participate in their community through volunteer service, and provide medical alert systems to the elderly.	Provide opportunity for retired persons to participate in their community through voluneer service. Over 5000 individuals served.   provide medical alert systems to elderly individuals living along, approximately 40 people served.   coats for kids - to provide underprivileged children with warm clothing.						
Nina Willingham Senior Housing Inc	http://	(405) 848-3118	EIN 73-1509826	3126 S Boulevard Box 342	Edmond	OK	73013	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors	Provides affordable housing to low income families and individuals at least 62 years old and who earn less than the area median income as established by the department of housing and urban development. The housing is operated and regulated under the department of housing and urban development section 202 program.	Section 8 apartments for low income individuals over the age of 62.						
Agape Bible Fellowship Inc	http://		EIN 73-1175232	Po Box 309	Ft Towson	OK	74735	USA									
Louise B Munds Trust	http://		EIN 23-7082352	4127 Nw 122nd St	Oklahoma City	OK	73120	USA	Named Trusts, Philanthropy								
Native American Coalition Of Tulsa Inc	http://		EIN 51-0170402	4935 S Union Ave	Tulsa	OK	74107	USA									
Ministerial Alliance Of Grove Oklahoma Inc	http://		EIN 73-1491982	Po Box 451626	Grove	OK	74345	USA	Christianity, Religion	Assistance to low income individuals	2081 individuals were assisted with food clothing and housing during 2014  offered parental training and assistance to 150 grove area unwed mothers  provided laundry services to an average of 47 low income individuals on a monthly basis						
Aim High Academy Inc	http://www.aimhighgym.org		EIN 20-5354136	4728 Charles Page Blvd	Tulsa	OK	74127	USA	Amateur Sports Competitions, Sports	Aim High Academy combines FLIPPING and FAITH to help build bright FUTURES in urban children and youth from the North Tulsa community.	gymnastics and dance		underprivileged children	250 children	North Tulsa		
World Harvest Evangelism	http://www.worldharvestevangelism.org		EIN 73-1624547	Po Box 703082	Tulsa	OK	74170	USA	Christianity, Interfaith Coalitions, Religion	Our mission at World Harvest Evangelism is to win people to Jesus Christ through our Festivals, Conferences, Bible and food distributions, International Bible schools, daily international radio program, and through building churches around the world.   We use every means possible to reach out to men, women, and children and show them the love of God.   World Harvest Evangelism is a ministry of compassion to a lost and hurting world.							
Boys & Girls Club Of Oklahoma County Inc	http://www.bgcokc.org	(405) 521-9292	EIN 73-1472202	Po Box 18701	Oklahoma City	OK	73154	USA	Boys & Girls Clubs, Children & Youth, Youth Centers & Clubs	To inspire and enable all young people, especially those who need us most,	The club provided a safe and positive environment for over 2,300 children and youth in a primarily low-income, inner-city area of oklahoma city. 90% were eligible for free or reduced lunches at school and 84% came from single-parent or alternative care homes. In addition to providing academic, cultural and recreational enrichment activities, we served healthy snacks after school, and breakfast, lunch and dinner for the kids who were at the club all day in the summer or during school breaks.						
Street Cats Inc	http://		EIN 73-1525247	6520 E 60th St	Tulsa	OK	74145	USA	Animal Protection & Welfare, Animals								
Oklahoma Recreation And Park Society	http://www.orps.net		EIN 73-1172557	Po Box 2133	Stillwater	OK	74076	USA		Training,certification and education of recreational and park professionals and youth coaches.	Trained and certified recreational and park professionals and youth coaches in the state of oklahoma.						
Canadian River Racing Club, Inc.	http://		EIN 73-1343424	561 Buchonoa St	Norman	OK	73069	USA	Sports, Swimming & Other Water Recreation								
The Childrens Hospital Volunteers Inc	http://		EIN 23-7356912	1200 Everett Dr	Oklahoma City	OK	73104	USA		The children hospital volunteers is an organization committed to improving the lives of children in oklahoma. The support is focused on the patients, families and visitors of the children and women's services at the children's hospital at ou medical center.	Kohl's program - statistics prove that child restraints, bike helmets and injury prevention education reduce the incidence of injury and death. Hence, the program encourages correct child restraint use, bike helmet use and safety education. The safety program provides 1) bike safety education to elementary school students, 2)car seat safety education to safety and healthcare providers, 3) educates parents and children regarding the necessity of wearing a helmet during wheeled sports activity, and 4) educates parents on how to properly fit and install child safety devices in a vehicle.   patient support - the hospital environment is a challenge for children and families, and it can disrupt typical development of children and youth. This program provides activities that "normalize" the hospital environment. The patient support program provides 1) arts and crafts materials, 2) items for play, and 3) parent education regarding a child's needs during hospitalization.						
Pentecostal Holiness Church	http://		EIN 58-1789632	316 Capitol St	Fort Gibson	OK	74434	USA									
Tulsa Jain Sangh Inc	http://		EIN 73-1386574	6922 S Utica Ave	Tulsa	OK	74136	USA	Religion, Religion-Related								
Chamber Music In Oklahoma Incorporated	http://		EIN 73-6096120	Po Box 54624	Oklahoma City	OK	73154	USA									
Missions In Haiti Inc	http://		EIN 73-1594533	Po Box 2996	Claremore	OK	74018	USA	International, International Relief								
Streetlight Youth Outreach Ministries Inc	http://		EIN 73-1399704	Rt 2 Box 82	Haskell	OK	74436	USA	Religion, Religion-Related								
First Baptist Church & Child Development Center	http://		EIN 73-1166976	Po Box 188	Elgin	OK	73538	USA									
Special Care Incorporated	http://www.specialcareinc.org	(405) 752-5112	EIN 73-1227079	12201 N Western Ave	Oklahoma City	OK	73114	USA	Child Day Care, Children & Youth, Developmentally Disabled Centers, Disabilities, Education, Special Education	To help prevent the cumulative effects of a child's disability and instead nurture the abilities of families and children with special needs.	Provides year-round direct care, early childhood education, and occupational, speech, and physical therapy programs for children between the ages of six weeks and 21 years within a completely inclusive environment. Licensed capacity is 184 students.						
Edmond North Band Booster Inc	http://www.enhsband.com		EIN 73-1459128	Po Box 30302	Edmond	OK	73003	USA	Education	This organization supplements funds not provided by the school district to keep the edmond north high school band program operating successfully. It also provides numerous volunteer hours to insure the success of the program. The band booster club is organized under the laws of the state of oklahoma for charitable, educational, scientific and religious purposes as set forth in its certificate of incorporation. The purpose of the booster club is to: 1. Instill and maintain interest of students, parents, and the community of edmond in all phases of the edmond north high school band program. 2. To build and maintain an organization of parents and patrons who will help promote the general activities of the band program. 3. To cooperate with the directors and the school administration in any and all phases of the band program. 4. To provide emotional and physical support to the students participating in activities sponsored by the band program. 5. To enter into and carry on fundraising proj	Band operating costs: payments made for band trips, technicians, transportation, winter guard, color guard, drill, band camp, percussion, music, contest registration, other costs for the edmond north high school band in which over 162 students benefitted.   band food, awards and aid: expenditures for food for students during band activities, awards to students, and student aid.						
Assistance League Of Norman Inc	http://www.norman.assistanceleague.org	(405) 321-9400	EIN 73-0927199	809 Wall St	Norman	OK	73069	USA	Human Service Organizations, Human Services, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Voluntarism Promotion	Administer community philanthropic projects that enrich the lives of the community.	Provides new school clothing, shoes and grooming kits to needy children in pre-kindergarten through grade 12 in the norman and little axe oklahoma public schools. Students are referred to operation school bell by counselors in the school system  sponsors may fair, an annual arts festival featuring over 100 artists and crafts people. The festival, a long-standing norman tradition is well attended by the community who come to andrew's park to enjoy fine art, children's art activities, a student art show, restaurant specialties and state entertainment. The 2014 fair featured a 5k run to promote physical fitness in the community.   assistance league of norman has several other philanthropic projects. "bears for children" provides soft stuffed animals to children involved in accidents or other traumatic siturations. "care kits" provides grooming kits to battered women and children in the women's resource center and housekeeping supplies and groceries when they move into their own home. "assault survivor kits (ask)" provides clothing and other items to rape victims following an exam at the rape crisis center. "seniors r&r" provides entertainment and companionship to ederly citizens attending full circle day center. Children are given a new book through the chapter's "book of my own" collection. Community outreach, is a short-term project, that meets immediate need within the community.						
National Association Of Parliamentarians	http://		EIN 52-1284192	1813 S Irvington Ave	Tulsa	OK	74112	USA	Education								
Feed The Children, Inc.	http://www.feedthechildren.org	800-627-4556	EIN 73-6108657	PO Box 36	Oklahoma City	OK	73101	USA	Emergency Assistance, Human Services, International, International Development, International Relief	Feed The Children is an international, nonprofit relief organization with headquarters in Oklahoma City, Oklahoma, that delivers food and other essentials to individuals, children and families affected famine, war, poverty or natural disasters.		In FY 2011, Feed The Children distributed more than 104 million pounds of food and other essentials to children and their families in all 50 states and internationally.			All 50 states and many countries internationally		
Panhandle Area Sheltered Workshop	http://	(580) 338-6532	EIN 73-1132440	Po Box 1646	Guymon	OK	73942	USA		Provide daily living skills, work, and social skills for developmentally disabled adults. All clients are 18 years of age or older.	Provide daily living skills, work and social skills for developmentally disabled adults. All clients are 18 years of age or older.						
PET ANGELS RESCUE Inc	http://www.petangelsrescue.org	(405) 413-2895	EIN 20-8905732	P.O. Box 3752	Edmond	OK	73083	USA	Animal Protection & Welfare, Animals	Pet Angels Rescue Inc. saves primarily dogs and cats from public shelters, or pets that cant remain at their current homes & citizens that have taken in strays. We are dedicated to the sheltering and placement of animals, and public education of animal care and dedicated to bring people and animals together to enrich each others lives. We believe that with Pet Angels Rescues assistance, many animals can remain in their current homes instead of being admitted to animal shelters, while a new home is found. We advocate the importance of spaying and neutering to help stop the epidemic of pet overpopulation as well as providing education to current and future pet owners on responsible lifetime pet ownership.	Housing and adoption program and owner retention suggestions for pets in our community.	Pet Angels Rescue is having major growth every year, so support is greatly needed to keep up, with the building improvements and to develop programs. We will soon have a public facility and be able to offer more community services.	Unwanted and dispalced pets	over 400 animals	Oklahoma State		
Pet Food Pantry Of Oklahoma City Inc	http://petfoodpantryokc.org	(405) 664-2858	EIN 27-2952574	Po Box 57678	Oklahoma City	OK	73157	USA	Animal Protection & Welfare, Animals	Reduce hunger in pets by providing free pet food and pet services to low income pet owners enabling them to keep their companion animal(s) with them. This includes providing routine vaccinations, spaying/neutering, pet supplies and shelter for pets.	Reduce hunger in pets by providing free pet food and pet services to low income pet owners enabling them to keep their companion animal(s) with them. This includes providing routine vaccinations, spaying/neutering, pet supplies and shelter for pets.						
Greater Okc Youth Sports Association	http://fieldsandfutures.org	(580) 548-5400	EIN 27-5034302	7001 Nw 164th	Edmond	OK	73013	USA		The organization supports underprivileged kids. The organization provides funding for kids to participate in organized sports. The type of support comes in the form of providing funding for paying for coaches, travel expenses to and from tournaments and games, uniforms and equipment. The organization also provides operational support to a private, college-preparatory high school.	The organization supports underprivileged kids. The organization provides funding for kids to participate in organized sports. The type of support comes in the form of providing funding for paying for coaches, travel expenses to and from tournaments and games, uniforms and equipment. The organization also provides operational support to a private, college preparatory high school.						
The Landing, Inc	http://thelanding.biz	918-676-3228	EIN 80-0727431	502 West Conner	Fairland	OK	74343	USA		Our Mission is to support our Disabled and Homeless Veterans and other members of our community in their time of need. We are tireless in our efforts to aid those homeless disabled seeking help during their time of distress. Our specific purpose of The Landing is to develop supportive housing and supportive services to assist disabled homeless Veterans and individuals in the transition from homelessness to enable them to live independently.	Permanent Supportive Housing Program and support services, working to assist Homeless-Disabled Veterans and others reach independent living		Homeless / disabled Veterans and others	24 individuals and donated to numerous local charity orgs.	Oklahoma and surrounding area		
Memorial Band Parents Club Inc	http://www.memorialbandparents.org		EIN 73-6120684	Po Box 35761	Tulsa	OK	74153	USA	Education, Secondary & High Schools	Support for instrumental music program	Provided support for the memorial high school marching band by providing instructional training and support show development instrument and uniform maintenance						
Sons Of Confederate Veterans, Inc. Col John Jumper Camp 1559	http://		EIN 58-1956984	1004 N Chapman	Shawnee	OK	74801	USA									
City Of Hartshorne	http://		EIN 73-6027756	1101 Penn Ave	Hartshorne	OK	74547	USA	Education								
Choctaw Nation Indian Home Corporation	http://		EIN 73-1477200	PO Box G	Hugo	OK	74743	USA	Homeless & Housing, Housing Development, Construction & Management								
The Bartlesville Library Trust Authority	http://		EIN 73-1325784	401 S Johnstone Ave	Bartlesville	OK	74003	USA	Government & Public Administration								
Breast Cancer Resource Committee Inc	http://		EIN 52-1733400	5301 N Stonewall Dr	Oklahoma City	OK	73111	USA	Cancer								
Operation Veterans Outreach	http://www.operationveteransoutreach.com	1-800-607-5262	EIN 81-3002028	PO Box 1350	Owasso	OK	74055	USA	Military & Veterans Organizations, Veterans	Our mission is to set up veterans for success by offering assistance to transition to civilian life. We want to show veterans that there are opportunities and resources to help them start a new chapter in their life. We want to be apart of their new journey every step of the way.	mental health, counseling, financial assistance, housing, legal, benefits, education, and more		veterans transition		the United States		
Bahais Of Ada	http://		EIN 73-1433388	931 W Kings Rd	Ada	OK	74820	USA									
VOICE OF CHINA & ASIA MISSIONARY SOCIETY INC	http://www.voiceofchinaandasia.com		EIN 95-6116632	2448 E 81ST St Ste 4950	Tulsa	OK	74137	USA									
Interfaith Disaster Recovery Of Greater Oklahoma City Inc	http://		EIN 73-1475508	Po Box 60723	Oklahoma City	OK	73146	USA	Interfaith Coalitions, Religion								
Quail Unlimited, Inc.	http://		EIN 58-2029248	Rr 3 Box 8680	Bartlesville	OK	74003	USA									
Oklahoma Music Hall Of Fame & Museum Inc	http://		EIN 52-2112948	Po Box 3221	Muskogee	OK	74402	USA	Arts & Culture, Historical Organizations	Promote and recognize the contributions prominent oklahoma musicians have made toward music, music education and the arts.	In 2012 the organization completed its hands on interactive children's exhibit						
Expository Resource Services Inc	http://		EIN 73-1357896	7415 E 15th St	Tulsa	OK	74112	USA	Protestant, Religion								
Oil Center	http://		EIN 58-1784783	7985 County Road 3470	Ada	OK	74820	USA									
Victims Impact Panel Of Oklahoma Inc	http://www.vipofok.com	(405) 216-9556	EIN 73-1352544	247 N Broadway Ste C	Edmond	OK	73034	USA	Human Services	Reduce alcohol related traffic accidents	Conducted numerous panels for offenders and students where victims of alcohol related accidents share their experiences in an attempt to change driver behavior.						
United States Zoological Association	http://		EIN 32-0261515	Rt 2 Box 67	Wynnewood	OK	73098	USA	Animal Protection & Welfare, Animals								
Changing Lives Outreach Ministry	http://		EIN 26-4396710	7743 S Victor Apt D	Tulsa	OK	74136	USA									
Sapphire Ministries Incorporated	http://		EIN 73-1566917	1505 Nw 173rd Ter	Edmond	OK	73012	USA	Camps, Sports								
Bartlesville Show Choir	http://		EIN 73-1156524	PO Box 1091	Bartlesville	OK	74005	USA									
Ou Medical Center Edmond Auxiliary	http://		EIN 73-1159968	1 S Bryant Ave	Edmond	OK	73034	USA									
CHISHOLM TRAIL HERITAGE CENTER ASSOCIATION	http://onthechisholmtrail.com	5802526692	EIN 14-1896825	1000 Chisholm Trail Pkwy	Duncan	OK	73533	USA	Arts & Culture, Education, History Museums, Primary & Elementary Schools, Single Organization Support	To celebrate and perpetuate the history, art, and culture of the chisholm trail, the american cowboy, and the american west.	The main purpose of the chisholm trail heritage center association is to educate using the umbrella of the chisholm trail to teach not only history and social studies, but also math, science, geography, biology, entrepreneurship, music appreciation, and fine arts known in educational circles as steam. Four revolving sessions use the historic backdrop of the following stories: abernathy boys, holidays on the trail, native americans along the trail, and oklahoma land giveaways. A summer session is also taught. In this capacity, the chisholm trail heritage center hosted over 6,500 students from 91 different school districts in oklahoma and texas as well as numerous homeschool students. While the core group of students are in grades 2 thru 5, the chisholm trail heritage center works with students as young as age 2 as well as senior adults. The center also hosts various learning opportunities as one-time classes or workshops. The center hosts a national day of the cowboy celebration in conjunction with our educational programming each summer.	We continue to provide education classes to 3rd 4th and 5th graders in 18 Southwest Oklahoma counties and 5 North Texas counties. We also continue to entertain and educate guests from around the world.	General Public and Students				
Council On American-Islamic Relations Inc	http://www.ok.cair.com		EIN 87-0764660	3000 United Founders Blvd Suite 22	Oklahoma City	OK	73112	USA	Arts & Culture, Cultural & Ethnic Awareness	Its mission is to enhance the understanding of islam encourage dialogue protect civil liberties ,empower american muslims and bulid coalitions that promote justice and mutualunderstanding	This organiztion formed exclusively for educational purposes,including educating society at large on islamic perspective,on issues of general intrest to the public . This organization has reached out to public through visiting diffrent communities in the united states and oklahoma in particular. The objective is to promote a positive image of islam and breakdown negative stereotypes it has raised an awareness among people how to handle pending immigration matters and approach government through due process etc. It also has worked with citizens alike tp protect human rights.						
Oklahoma Baptist Homes For Children Inc	http://www.obhc.org	(405) 942-3800	EIN 73-1435473	3800 N May Ave	Oklahoma City	OK	73112	USA	Group Homes, Human Services	Provide care for children and familes	To provide and maintain childcare facilities for dependent neglected and/or needy children of the state of oklahoma in order to meet their spiritual, physical, mental and emotional needs.   to help young women and men have hope and choose life in the midst of an unplanned pregnancy.						
Pta Oklahoma Congress	http://		EIN 23-7087572	12150 E 11th St	Tulsa	OK	74128	USA									
Oklahoma Community-Based Providers Inc	http://	(405) 524-7665	EIN 73-1379944	Po Box 720116	Okc	OK	73172	USA	Arts & Culture, Developmentally Disabled Centers, Disabilities, Human Services	Asst agencies serving m/r/od	Teaching and training providers' staff in management skills to better serve individuals with developmental disabilities  advocate for and serving as laison between agencies and state government through direct contact and newsletters, including policy development and negotiation						
Hope Ranch Inc	http://	580-716-3250	EIN 20-2944377	522 N 14TH St 233	Ponca City	OK	74601	USA	Centers to Support the Independence of Specific Populations	The purpose of Hope Ranch, Inc. is to provide a ranch where an individual may find hope and renewal through the use of the Ranch and environment.	Facility provides therapeutic riding to at-risk children and special needs adults. Each participant has individual instruction and is given chores to prepare and groom horses and has a time for bibile study. Training, riding and participation in riding events are a part of the curriculum, including participation in special olympics events.	The students won medals and ribbons at the Special Olympics Equestrian and Unbelievable Horse Happenings Horse Show. The parents testify that their children are improving at home and school.	special needs individuals beginning at age 5				
Heavens Gateway Horse Rescue & Teaching Center Inc	http://		EIN 84-1611507	1530 N Harrison 116	Shawnee	OK	74804	USA	Animal Protection & Welfare, Animals								
Sand Springs Little League Baseball Commission Inc	http://		EIN 73-1471140	Po Box 181	Sand Springs	OK	74063	USA	Amateur Sports Competitions, Baseball & Softball, Boys & Girls Clubs, Children & Youth, Recreation & Sports, Sports	Provide recreation for youth in the area	Organized several little league baseball teams and sponsored tournaments						
Green Country Soccer Association	http://		EIN 73-1329684	4946 E Easton St	Tulsa	OK	74115	USA									
Bahais Of Seminole County	http://		EIN 91-1906824	Rr 1 Box 7	Konawa	OK	74849	USA									
Arts And Humanities Council Of Tulsa Inc	http://www.ahhatulsa.org	(918) 584-3333	EIN 73-0713551	101 E Archer St	Tulsa	OK	74103	USA	Arts & Culture, Arts & Humanities Councils & Agencies, Arts Education	Our mission is to make arts happen, provide arts leadership and programs which inspire, teach, and foster collaboration, and facilities which excite, cultivate and allow the community to experience the arts and humanities.	Education programs including:exhibitionsartists in residence & studio artistsharweldon instituteartists in the schoolsany given child-tulsaimagination daysfilm institutesummer arts academysee schedule o for further details.   the hardesty arts center, fondly known as ahha, opened in december 2012 in the heart of the brady arts district and is home to the council. Modern industrial design, copious natural light, and a variety of beautiful colors and textures make ahha a space that can be transformed for weddings, photo shoots, receptions, corporate meetings, or many other types of events.   harweldon mansion. Originally a private home and listed on the national register of historic places, harwelden mansion reflects the elegance of the early 1920s with its unique architecture, majestic style, and gorgeous landscape. For decades, tulsans and guests have selected harwelden mansion to host their special events.						
Cascia Hall Charitable Trust	http://		EIN 73-6156360	C/O Bank of Oklahoma, N.A., Agent P.O. BOX 880	Tulsa	OK	74101	USA	Named Trusts, Philanthropy								
Habitat For Humanity International Inc	http://www.habitat-tulsa.org		EIN 73-1325063	6235 E 13th St	Tulsa	OK	74112	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Tulsa Habitat for Humanity provides the opportunity for low income hard working families to become homeowners through our home ownership program and a zero interest mortgage. This is done in partnership with the community in which they live.							
Mcalester Public School Foundation	http://		EIN 73-1351728	601 Nelson Ln	Mcalester	OK	74501	USA									
Faith By Love Fellowship Inc	http://		EIN 73-1132452	1321 N Irvington Ave	Tulsa	OK	74115	USA									
Alpha Sigma Alpha Sorority	http://		EIN 30-0351551	2008 White Ave	Tahlequah	OK	74464	USA									
Wesleyan Bible Church	http://		EIN 31-1350852	Po Box 9951	Tulsa	OK	74157	USA									
Oklahoma Council Of Teachers Of English	http://		EIN 23-7175208	2301 Regis Ct	Norman	OK	73071	USA									
Center for Children and Families, Inc.	http://www.ccfinorman.org/	(405) 364-1420	EIN 73-0933253	1151 E. Main St.	Norman	OK	73071	USA	Children & Youth, Children & Youth Services, Family Services, Youth Centers & Clubs	The Center for Children & Families, Inc. (CCFI) is a private, non-profit child and family service agency located in Norman, OK, with its roots dating back to 1969. The mission of the Center is to improve the lives of children through partnerships with families and communities because every boy and girl deserves to grow up safe, nurtured, and loved.  Although seemingly insurmountable obstacles are sometimes placed in their way, childrens resilience combined with the support of caring adults can make anything possible.  In order to ensure the healthy emotional, mental, and social development of children at risk, their families, and communities we focus on healing child abuse and neglect, supporting and educating parents, and creating neighborhood connections in and around the community.   The Center works toward giving all children the relational building blocks they need to grow into healthy adults, and believes that every child should be given the opportunity to achieve his or her full potential.	Trauma  Focused Services				In and around Cleveland County Oklahoma		Provides  support and education for families struggling day-to-day with abuse, neglect and  other related issues through specialized classes and respite  care.
Messiah Lutheran Church	http://		EIN 73-6083160	3600 Nw Expressway	Oklahoma City	OK	73112	USA									
New Covenant Academy Inc	http://	(918) 279-8367	EIN 73-1477308	Po Box 3006	Broken Arrow	OK	74013	USA	Religion, Religion-Related	To provide a high quality education in a christian environment.	Provide education services to young people of the broken arrow-tulsa area.						
Waynoka Historical Society	http://waynoka.org		EIN 73-1294816	Po Box 158	Waynoka	OK	73860	USA	Arts & Culture, Historical Organizations, History Museums, Museums	The mission is to preserve and present the history of Waynoka, and make it available for students of history.							
Water 4 Inc	http://www.water4.org	(405) 551-8214	EIN 26-3260581	2405 Nw 10th St	Oklahoma City	OK	73107	USA	Human Service Organizations, International, International Development	To equip and train local nationals as well as their supporting non-governmental organizations to locate and drill water wells to improve the local populations health, economies, and agricultual efforts.	Drilling projects at sites, with concentrations in zambia, togo, uganda, angola, and ghana. Partnering with non-profits and non-governmental entities already working in these areas. Expenses include drill kits, pumps, part and supplies, shipping, travel and lodging, and compensation for directly related planning and labor. Expenses also include the training and equipping of other non-profits and non-governmental organizations to transfer the pump/drill assembly knowledge and installation techniques.   research and development for drilling methods, drill kits and pumps for a variety of applications depending on the availability of needed materials that can be sourced locally and the hydrogeological formations of each site.						
Southwestern Regional Golf Association Inc	http://		EIN 73-1447412	426 Sw 80TH St	Lawton	OK	73505	USA	Golf, Sports								
Monkey Island Fire Protection Dist	http://		EIN 73-1352736	56298 E 295 Rd	Monkey Island	OK	74331	USA	Disaster Aid, Fire Prevention								
Peaceful Faith Ministries Incorporated	http://		EIN 73-1346712	2044 Ne 30th St	Oklahoma City	OK	73111	USA									
Cell Phones For Life Inc	http://		EIN 20-0473319	24 N Washington St	Ardmore	OK	73401	USA	Emergency Assistance								
Women's Aglow Fellowship	http://www.aglow.org/		EIN 51-0224328	216 Merkle Dr	Norman	OK	73069	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.							
Bethany Improvement Foundation	http://		EIN 26-4217176	6500 Nw 39th Expy	Bethany	OK	73008	USA	Arts & Culture, Commemorative Events								
For The Children	http://		EIN 73-1469580	1024 Se 44TH St	Oklahoma City	OK	73129	USA	Human Services, Thrift Shops								
Goodwill Industries of Tulsa	http://www.goodwilltulsa.org	918-584-7291	EIN 73-0614297	2800 Southwest Blvd	Tulsa	OK	74107	USA	Goodwill Industries, Human Service Organizations, Human Services, Job Training, Thrift Shops	Goodwill Industries of Tulsa, Inc. provides work opportunities, job training and support services for people with disabilities or other employment barriers.	Goodwill's largest and most visible employment program is our Donated Goods Program where donations from the community lead directly to jobs for people with employment barriers.  Other employment programs are custodial and contract services.  Training programs include school-to-work transition programs for student with disabilities and career training in medical office assistant, private security, computer applications, customer service, and warehouse operations.	Since our beginning in the Tulsa area in 1927, we have helped thousands of people become more independent through the Power of Work. We have kept millions of pounds of clothing and household items out of area landfills and provided a resource for families to find great bargains in our stores. All of this provides jobs and training for thousands of people each year.		Goodwill serves more than 4.500 people each year in training programs and employes more than 750.  We also recycle 20 million pounds of materials that might have gone to the landfill, including nearly 1 million pounds of computers and computer-related equipment.	27 counties in Eastern Oklahoma and 2 counties in SW Missouri		
Education Foundation Of Muskogee Inc	http://		EIN 73-1325400	Po Box 1198	Muskogee	OK	74402	USA		Educational enrichment-musk pub schools	Based on grant applications received the organization awarded over 17000 to teachers and the muskogee public schools system for education related projects						
Oklahoma Life Skills Association: Special Kids	http://www.specialkidscare.org	918-836-9464	EIN 02-0645322	6311 East Tecumseh	Tulsa	OK	74115	USA	Child Day Care, Children & Youth, Developmentally Disabled Centers, Disabilities, Education, Special Education	Special Kids mission is to offer childcare to families who have a child with a developmental, emotional, medical or physical challenge so that parents may work or attend school. Special Kids believes that access to safe and appropriate childcare will empower families and will create opportunities for families and children to participate fully within the community. At Special Kids we believe that children with and without special needs are better served by growing learning and playing together. The program maintains a ratio of approximately 1/3 typical to 2/3 special needs. Special Kids is the only non-profit, special needs childcare facility in Tulsa. Our waiting list averages approximately 50 children. Special Kids offers on site therapy,early learning, before & after school care, full and part time day care hours for special needs children who attend non-traditional school hours and summer enrichment. OLSA also offers evening respite, advocacy to school age children, support group meetings and referral to community resources.	Special Kids is a licensed two star center designed to provide exceptional child-care for special needs children, with a focus on inclusion and personal development. OLSA's Special Kids offers two programs: one for school age children and an early learning program for ages 0-4 years. Special Kids paticipates in the USDA food program and offers nutritional meals to our children. Special Kids accomodates children who require tube feeding and other special dietary or medical assistance. 98% of our children are from low income families. We offer sliding fee scales and scholarships and accept state subsidies and respite vouchers. Many of our children were unable to find appropriate care at typical child care facilities or have been asked to leave numerous facilities. At Special Kids we offer our children the opportunity to grow and play together and their parents the opportunity to work, go to school or access respite time. Special Kids strives to maintain a ratio of 1/3 typical to 2/3 special needs. There is one other facility like ours in the state of Oklahoma. Our unique approach includes staff trained in the developmental disabilities field and in child development. Special Kids is open M-F, 6:00 a.m. to 6:00 p.m. scales. Special Kids relies on the support of our community, the help of volunteers and on grant funding to maintain our unique services. SPECIAL KIDS admits children of any race, color, national and ethnic origin, ability or disability to all the rights, privileges, programs and activities generally accorded to students at the facility. It does not discriminate on the basis of race, color national and ethnic origin in facility administered programs, admissions or employment.						
Seasons Hospice Inc	http://www.seasonshospice.com	(417) 890-5533	EIN 20-0251173	6532 E 71st St Ste 100	Tulsa	OK	74133	USA	Hospices	Provide hospice care to terminally ill persons and their families regardless of their ability to pay. The staff is on call 24 hours a day to provide nursing, personal, pastoral and bereavement care.	During 2014, we had 214 new patient admissions. Our census averaged 35 to 60 at any given time. We had meetings generally twice a week with all staff required to attend. These meetings were clinical in nature. The first weekly meeting was held on mondays to focus on the review of patient status and any weekend changes to patient status. The second weekly meeting, held on wednesdays, is an interdisciplinary team meetings (medical director, nurses, social workers, chaplains, aids , and the volunteer coordinator) that monitored the care and condition of each patient with our physicians, and updated the plan of care. Formal board meetings were held twice during the year at the corporate office to discuss financials, company mission and state of affairs and addition/subtraction of board members and/or key employees.						
Because He Lives Ministries Inc	http://		EIN 73-1506720	21580 E 102nd St	Broken Arrow	OK	74014	USA	Christianity, Religion								
Patriot Guard Riders Inc	http://patriotguardriders.org	(918) 376-6671	EIN 20-4346624	6641 E 85th St N	Owasso	OK	74055	USA	Military & Veterans Organizations, Veterans	To assist armed service members & families.	In 2014 the patriot guard riders, inc. Gave various plaques and awards to armed service members, veterans, and family members of fallen soldiers.   in 2014 the patriot guard riders, inc. Assisted wounded soldiers, veterans, and family members of fallen soldiers with funds donated by direct public support and sales of inventory that supports their charitable purpose.   in 2014 the patriot guard riders, inc. Supported snowball express charity gifts and toys for the children and families of fallen or wounded soldiers.						
Oklahoma City Boathouse Foundation	http://		EIN 20-1837237	725 S Lincoln Blvd	Oklahoma City	OK	73129	USA	Human Service Organizations								
