name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Results	Direct beneficiaries per year	
Anxiety Resource Center Inc	http://www.anxietyresourcecenter.org	616-356-1614	EIN 20-3263935	312 Grandville Ave.	Grand Rapids	MI	49503	USA	Health, Voluntary Health Associations & Medical Disciplines	The Anxiety Resource Center, Inc. of Grand Rapids, MI, was founded to educate the public and professional communities about anxiety disorders, including Obsessive-Compulsive Disorder and OCD Spectrum Disorders; to reduce the stigma associated with these illnesses; and to provide a place that offers support, hope and inspiration.	Michigan					
CASCADES HUMANE SOCIETY INC	http://www.chspets.org	(517) 788-8074	EIN 38-1781494	1515 Carmen Dr	Jackson	MI	49202	USA	Animal Protection & Welfare, Animals	The Cascades Humane Society''s mission is to ensure responsible treatment of animals, to decrease the number of abused and unwanted animals, and to conduct community programs which promote quality care.		The Cascades Humane Society offers adoptions of dogs and cats, food assistance, spay/neuter assistance, lost/found, volunteer and humane education programs.				
Lickety Split S Rescue Ranch Incorporated	http://		EIN 46-0871263	4880 S Lake George Rd	Metamora	MI	48455	USA	Animal-Related, Animals							
Friends of Grand Rapids Parks	http://www.friendsofgrparks.org	(616) 821-8006	EIN 26-1406547	po box 3199	Grand Rapids	MI	49501	USA	Economic Development, Environment, Recreation & Sports, Sports, Urban & Community Economic Development	To protect, enhance and expand parks and public spaces in Grand Rapids	Grand Rapids	Develop community capacity to address issues impacting our urban forest canopy in grand rapids through a citizen forester program, tree inventory, and community web resource center.   organize, coordinate and manage volunteers to help improve parks through planning, clean ups and projects.   educate and build awareness amoung the residents of grand rapids about the benefits of parks and public spaces through the use of special events, data, research and publication.				
Kunsthalle Detroit	http://kunsthalle-detroit.org		EIN 27-1337435	5001 Grand River Avenue	Detroit	MI	48208	USA	Art Museums, Arts & Culture	The mission of Kunsthalle Detroit is to introduce international multimedia art to the local audience and provide exhibition opportunities for multimedia artists from the Midwest.  Kunsthalle Detroit aspires to engage a broad and diverse audience, create a sense of community and be a place for contemplation and discussion about multimedia installations, film, video, urban and light sculpture and design.	Detroit, Michigan, and worldwide				100,000	
Starfish Family Services, Inc.	http://www.starfishonline.org	(734) 728-3400	EIN 38-2230416	30000 Hiveley	Inkster	MI	48141	USA	Children & Youth, Children & Youth Services, Education, Family Services, Human Services, Mental Health, Mental Health Treatment, Preschools	Strengthening families to create brighter futures for children.		Nationally accredited by the Council on Accreditation of Services for Families and Children, SFS provides services to children and families from birth through adulthood. Family Success Model(SM) Family Success Model Program Services for Families with Young Children After Baby Comes Early Head Start Great Parents Great Start Head Start Michigan School Readiness Program Services for School-aged Youth & Young Adults Counterpoint Shelter & Crisis Center Inkster Youth Assistance Program Supervised Independent Living Program 21st Century Learning Centers Services for Healthy Families Lifespan Clinical Services				
Ancient Wonders Inc	http://		EIN 75-3259135	2984 Moraine Dr	Brighton	MI	48114	USA	Arts & Culture, Historical Organizations							
Work Of Christ Community	http://www.workofchrist.com		EIN 38-2215300	4828 S Hagadorn Rd	East Lansing	MI	48823	USA	Christianity, Religion	Work of christ community is an ecumenical, charismatic, transgenerational, covenant community organized to help lead individuals to conversion in christ and to christian maturity; to foster the love and worship of god and a life that is lived for his glory; to foster christian personal relationships as a support to ongoing christian life; to develop a way of life where the gospel can be fully lived; to carry out a work of direct evangelization and to help build communities, particularly in de- christianized areas; to proclaim and defend the gospel; and to foster christian unity through collaboration among christians from various traditions.		Work of christ community is an ecumenical, charismatic, transgenerational, covenant community organized to help lead individuals to conversion in christ and to christian maturity; to foster the love and worship of god and a life that is lived for his glory; to foster christian personal relationships as a support to ongoing christian life; to develop a way of life where the gospel can be fully lived; to carry out a work of direct evangelization and to help build communities, particularly in de- christianized areas; to proclaim and defend the gospel; and to foster christian unity through collaboration among christians from various traditions.				
Thumb Industries Inc	http://www.thumbindustries.com	989-269-9229	EIN 38-1915119	1263 Sand Beach Rd	Bad Axe	MI	48413	USA	Job Training, Sheltered Employment, Vocational Counseling, Vocational Rehabilitation	Thumb Industries, Inc. is dedicated to the development and provision of quality services for individuals with vocational disabilities. We believe that personal success and positive employment outcomes can be obtained when persons have informed choices and support in reaching their highest capabilities.	Huron and Sanilac Counties	See other exempt purpose accomplishments  rehabilitation services were provided for an estimated 225 mentally or physically disadvantaged individuals.		On average, Thumb Industries, Inc. serves 225 individuals per year in our various services.  Since 1989, we have placed over 360 individuals in competitive employment through the Huron and Sanilac County area.		
Child Advocacy Team	http://www.l-gal.org	810-238-5425	EIN 20-0906621	209 W 7th St	Flint	MI	48502	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Legal Services	The CHILD ADVOCACY TEAM ("CAT") is a non-profit company organized pursuant to  the provisions of the Michigan Nonprofit Corporations Act, Act 162, Public Acts of 1982. CAT provides legal, advocacy & other services to minor children involved in the legal justice system. The corporation is incorporated and organized exclusively for charitable purposes. The purposes for which the corporation is organized is to defend human and civil rights of minor children; to advocate for the elimination and the prevention of cruelty to children; to provide relief of the poor, distressed and underprivileged; and to promote social welfare by providing legal counsel and legal advocates to minor children.	Michigan	Providing legal, educational and advocacy services to minor children  provided food, clothing, educational and household items to underprivileged and at risk youth				
Pregnancy Aid Inc	http://www.pregnancyaid.com	313-882-1000	EIN 23-7377830	17325 Mack Ave	Detroit	MI	48224	USA	Civil Rights, Family Services, Human Services, Right to Life	We are a non-profit organization that offers women with unplanned pregnancies positive alternatives to abortion and provides low-income mothers with free education and materials.	Eastside of Detroit	free pregnancy tests, ultrasounds, maternity clothes, baby clothes, baby accessories and equipment, classes, support groups and referral information.	women facing unplanned pregnancies	Served 29,500 women since 1974!		
Oakland Livingston Human Service Agency	http://www.olhsa.org	(248) 209-2600	EIN 38-1785665	196 Cesar E Chavez Avenue	Pontiac	MI	48342	USA	Human Service Organizations, Human Services	TO ENABLE THE LOW INCOME, ELDERLY AND DISABLED OF OAKLAND AND LIVINGSTON COUNTY TO BECOME MORE SELF-SUFFICIENT		Child & family services division:early childhood programs - an important part of olhsa's mission is helping young children fulfill their potential. We offer several programs designed to make sure children have access to the nutritional, medical, and educational services they need. Together these programs provide young children and their families with opportunities both in and out of the classroom; opportunities that they might not have otherwise. Many of these programs also offer support for the family since healthy childhood development depends just as much on strong family relationships and ready access to physicians as it does on having a positive classroom environment. Eligibility for these programs is determined primarily by income and age but special consideration is given to families of children with disabilities. Olhsa is there to lend a helping hand to parents who are ready to take the initiative in their child's welfare. Family resources:olhsa works hard to link available services in the community to families in need. Our aim is to provide them with the resources that will allow them to achieve goals for themselves and their children. Local community agencies participate on policy council and are present at parent meetings resulting in a strong support system for resources and services for families.   food services division:food pantries emergency food assistancea federal program that helps supplement the diets of low-income americans, including elderly people, by providing them with emergency food and nutrition assistance at no cost. The emergency food assistance (tefap)various food staples are distributed to low-income households on a quarterly basis. Food for seniors (csfp-sr) (aka focus hope in oakland county)monthly food program for homebound and other seniors aged 60 and over in oakland and livingston counties. Michigan benefits accessassistance in signing up for state benefits you may be eligible for, including snap, liheap, tanf, child care subsidies, schip, medicaid, and eitc. Olhsa south food pantry ferndale (oakland county only)the pantry provides food staples or food certificates to oakland county residents. We use grants, a partnership with gleaners community food bank, and donations to keep the pantry stocked. Shared harvest pantry (livingston county only)olhsa, in partnership with gleaners community food bank provides food assistance and information about other services available through olhsa and gleaners, to livingston county residents. Summer food service program (summer lunch) (oakland county only)olhsa provides a nutritious breakfast and/or lunch to youth in churches, parks, schools and recreation centers in and around pontiac. The emergency food assistance program (tefap)olhsa distributes food staples quarterly to low-income people at over 60 accessible locations across oakland county.   energy optimization program:provides energy efficient home improvements possibly including cfl light bulbs, energy star refrigerators, insulation, programmable thermostats, air sealing, high efficiency furnaces, and high efficiency water heaters.   various programs such as: economic security, emergency financial programs, housing and emergency housing, health, hiv/aids health, and education				
Detroit Dog Rescue	http://www.detroitdogrescue.com	313-458-8014	EIN 27-5299891	P.O. Box 806119	St. Clair Shores	MI	48080	USA	Animal Protection & Welfare, Animals	Exposing and ending plight of stray, abused and fogotten dogs in detroit. Significant activities: rescue and rehab, community outreach, spay and neuter clinics, vaccination clinics and education.		Rescue and rehabilitation: the main expense that ddr incurs is the rescue and rehabiliation of stray, homeless, abused and neglected dogs in detroit. Every dog we rescue receives vet care, at a minium thorough exam, vaccinations, steralization, deworming and heartworm test or preventative. Foster and adoption also fall under this program.   community outreach: ddr provides community outreach efforts to detroit residents in the form of passing our dog food, supplies, providing vet care for community member who can't afford it and education on proper pet ownership and alternatives to euthanasia.				
Laymans Evangelical Fellowship International Inc	http://lefi.org	(248) 446-3080	EIN 35-1681445	21844 N Lyon Trl	South Lyon	MI	48178	USA		To practice evangelism throughout the world.		To proclaim god's word by radio and television to multitudes of ethnic and native people.   publishing and distributing literature preaching the word of god.   to build prayer groups individually and in camps and retreats to obtain true awakening and revival of god.   place of worship established and maintained in livonia, michigan.				
National Bone Marrow Transplant Link	http://www.nbmtlink.org	(248) 358-1886	EIN 38-3027625	20411 W 12 Mile Rd Ste 108	Southfield	MI	48076	USA	Cancer, Counseling, Health, Health Support, Mental Health, Nerve, Muscle & Bone Diseases Research	The mission of the national bone marrow		The program provides information and support services to patients, caregivers, and the families of those facing bone marrow/stem cell transplant.				
Frederik Meijer Gardens & Sculpture Foundation	https://www.fmgsf.org/	616-791-3901	EIN 38-3118579	2929 Walker Ave Nw	Grand Rapids	MI	49544	USA	Environment	The Frederik Meijer Gardens & Sculpture Foundation was established as the Michigan Botanic Garden Foundation in 1993. It is a single-purpose foundation with the goal of providing an endowment fund to support the Frederik Meijer Gardens & Sculpture Park.	Grand Rapids, MI	horticulture and art education; garden, sculpture and facility maintenance.	provide an endowment fund to support the Frederik Meijer Gardens & Sculpture Park		Frederik Meijer Gardens & Sculpture Park	
HelpHandicap Foundation	http://www.helphandicap.org	248 479 5579	EIN 38-3604741	P O Box 526	Farmington Hills	MI	48332	USA	Centers to Support the Independence of Specific Populations	Help Handicap''s mission is to integrate disabled people in India into mainstream living, to help them become self supporting and independent, and help them to lead an undiminished and accomplished life.		EducationAssist Program financially assists with schooling and seeks various levels of education.EqupmentAssist Program will attempt to help provide adaptive aides to the needy.EmploymentAssist Program encourages earning a living and being part of the mainstream society, and will offer assistance for the small business initiatives that meet our requirements.	Individuals and families with disabilities in the USA. Low income people with disabilities in India.	USA:  Education and awareness workshops being held in different cities to improve inclusion of people with disabilities, over 500 attended so far.  India:  About 2784 applicants received assistance in the last 8 years; over $442,000 was approved.  1922 applicants received education assistance at a cost of $217,000 636 applicants received equipment assistance at a cost of $69,600 226 applicants received self-employment assistance at a cost of $164,000 59 mentally challenged students at PAWMENCAP were given financial assistance amounting to $4000 Rehabilitation Camps, New Delhi, Aligarh at an estimated cost of $10,000 Home for the Mentally Challenged in Pune received $25,000 to support their programs & building expansion projects Aligarh Bacchoon Ka Ghar, Aligarh, received $10,000 to build a fully accessible accommodation hall for orphans with disabilities Successfully running programs in most major cities of India while keeping operating costs to a minimum		
Jack Van Impe Ministries	http://www.jvim.com	(248) 852-2244	EIN 38-1956052	1718 Northfield Dr	Rochester Hls	MI	48309	USA	Arts & Culture, Media & Communications	To preach the gospel of jesus christ and to educate as to the content and meaning of scripture.		Jack van impe ministries is an organization which uses television, radio programs, recordings, videos, tapes, books and pamphlets to preach the gospel of jesus christ and to educate as to the content and meaning of scripture.				
Heritage Works	http://www.heritageworks.org	(313) 496-4000	EIN 38-3581720	1554 Butternut St	Detroit	MI	48216	USA	Arts & Culture, Children & Youth, Cultural & Ethnic Awareness, Dance, Performing Arts, Youth Development Programs	The mission is to promote youth, family, and community developement through cultural tradition, arts, and education.		Heritage works provides activities that use expressive traditions to promote youth development and success by the use of cultural arts in innovative ways to address the needs of the community  heritage works provides activites that use expressive traditions to promote youth development and success by the use of cultural arts in innovative ways to addrerss needs of the community				
Global Village Ministries Inc	http://www.globalvillageministries.org	586.838.4998	EIN 20-4913689	37223 Highlite Dr	Sterling Heights	MI	48310	USA	Health, Health Support	Global Village Ministries (GVM) is a Christian non-profit 501(c)(3) organization registered in the United States that provides medical and dental care in Kenya, plus long term projects that include educational opportunities and THE OLMALAIKA HOME - which is a home for young Maasai girls at high risk of genital mutilation and early childhood marriage.  We provide three mission trips each year in March, July and Oct/Nov- to Kenya, giving free care to those with insufficient access to health, dental and spiritual care. The focus on the medical/dental trips is not on how many patients are treated or the number of teeth extracted/restored, but instead on building relationships and reflecting our Maker. Each trip is unique and gives you the opportunity to understand the culture, see the countryside, make new friends, and enjoy the amazing wildlife.	Kenya	Medical and dental clinics that are free and we own and operate at home (THE OLMALAIKA HOME) for young Maasai girls between the ages of 5-12 that are at high risk of female genital mutilation and early childhood marriage. We also sponsor children in school as education is so important	provide medical and dental care in remote areas and bring about awareness of female genital mutilation and early childhood marriage		over 3000 people in our clinics, provided a home and education for 30 girls, and put three street boys through school.	
The BRAVO Foundation	http://www.thebravo.org	313-451-4019	EIN 47-2754249	21700 Frazer Ave	Southfield	MI	48075	USA	Centers to Support the Independence of Specific Populations	The Bravo Foundation is a non-profit organization dedicated to providing young women the opportunity to be positioned to become tomorrow's leaders.  Our goal is to commission hard to reach, underprivileged girls and young women between the ages of 11-22 to become confident and successful young adults.	Detroit, Michigan	Education, mentoring, career guidance, internships, job placement, shelter	young girls, women, homeless women			
Pinckney Blues Soccer Club	http://www.pinckneyblues.com		EIN 27-1941124	2875 Daba Pointe	Pinckney	MI	48169	USA	Soccer, Sports	Pbsc was organized to promote excellence in soccer through a high level of competitive play, fostering of good sportsmanship, the imparting of soccer skills and techniques, heathly recreation and competition, and fellowship through amateur soccer.		We added several recreational teams for 4 years olds to 7 year olds. We added several travel teams as well. We achieved our goal of beginning to promote excellence in soccer, training soccer skills and techniques, and promoting healthy recreation and competition and fellowship.				
Art Center Of Battle Creek	http://artcenterofbattlecreek.org	(269) 962-9511	EIN 38-6021101	265 Emmett St E	Battle Creek	MI	49017	USA	Art Museums, Arts & Culture	Strive to increase the appreciation for art in the community.		To increase the appreciation of the arts in the battle creekk area the organization conducted workshops and many artistic display's.				
Mercy-USA for Aid and Development, Inc.	http://www.mercyusa.org	(734) 454-0011	EIN 38-2846307	44450 Pinetree Dr Ste 201	Plymouth	MI	48170	USA	Health, International, International Agricultural Development, International Development, International Relief, Public Health	Founded in 1986, Mercy-USA is dedicated to alleviating human suffering and supporting individuals and their communities in their efforts to become more self-sufficient.  Our philosophy is Helping People Help Themselves.  M-USA's projects focus on improving health and promoting economic and educational growth around the world.  Mercy-USA also provides disaster relief like the current assistance being given to survivors of the devastating December 26, 2004 earthquake and subsequent tsunamis.  Mercy-USA receives grant funding from the United States government and various United Nations agencies. M-USA is also a registered PVO (Private Voluntary Organization) with the United States Agency for International Development (USAID), has special consultative status with the United Nations Economic and Social Council (ECOSOC), and is a member of the American Council for Voluntary International Action (InterAction).  Complete audited financial statements and detailed programmatic information are posted on our web site www.mercyusa.org.		Health services - the improvement of individual and community health through education, immunization, nutrition support, safe water, hygiene, sanitation and other preventative measures. It also includes the operation or funding of clinics, hospitals, and other health care institutions; improvement, rehabilitation and renovation of the existing health care infrastructure; and the provision of medicines, medical supplies and medical equipment to health care facilities.   food, shelter & orphan assistance - the provision of all types of food and shelter, winterization materials, and necessary household and personal items. The orphan assistance includes specific projects or other assistance for orphans around the world.   education - the improvement of attendance and academic performance, especially among girls, through daily school lunch programs. It also includes construction of school buildings, as well as repairs and renovations to existing schools. Additionally, the provision of vocational and technical training especially to orphans and other vulnerable children and youth.   economic vitalization - the provision of ways for needy individuals and their communities to sustain themselves and to improve their quality of life; and assistance in reviving the economies of communities devastated by natural and man-made disasters.				
Great Lakes Weimaraner Rescue, Inc.	https://great-lakes-weim-rescue.com	877-728-2934	EIN 65-1253980	P.O. Box 372 11108 168th Avenue	Grand Haven	MI	49417	USA	Animal Protection & Welfare, Animal Services, Animal Training, Animals	Great Lakes Weimaraner Rescue (GLWR) is a federally sanctioned non-profit all volunteer organization dedicated to the overall welfare of Weimaraner dogs in the Great Lakes region.  We strive to rescue, rehabilitate and re-home Weimaraners who through no fault of their own are unwanted, abandoned, neglected, and discarded or whose families can no longer provide care for them.    GLWR is dedicated to working cooperatively with animal shelters, rescue groups and individuals to raise public awareness of purebred overpopulation and the plight of dogs raised in puppy mills. Our program attempts to educate prospective and current owners about the breed and responsible pet ownership and promotes spay and neuter programs. We offer owners an alternative to surrender by providing consulting services with a Certified Personal Pet Dog Trainer (CPDT) in the hope that one less dog will enter the shelter and rescue system. We also offer ongoing professional assistance to adopting families to help overcome behavioral and training problems.   Our goal is for every Weimaraner to become a beloved, contributing family member.				In the twelve years of operation we have helped to re-home more than 2,400 Weimaraners though out the United States. We operate in 5 states and Canada and provide an alternative to traditional shelter environments.		
Building Families First Community Organization	http://www.bffco.org	1-734-743-1351	EIN 20-8546673	38099 Schoolcraft Rd.	Livonia	MI	48150	USA	Food, Homeless & Housing, Housing Development, Construction & Management, Human Service Organizations, Human Services	BFFCO are committed people empowering people to "break the cycle of poverty" with a clear vision in the success of our participants through self-sufficiency and to strengthen our communities.	Michigan	Case Management Life Coaching Financial Literacy Wrap around services Workforce Housing Resume' assistance Virtual Interviewing State Emergency Relief Application assistance	individuals to become self-sufficient and off ALL forms of government assistance!	Since 2008, 172 Individuals gain full time, stable (living wage) employment, provided case management to over 1002 individuals, gave away over 1300 backpacks to kids in need, assisted 132 individuals into self-sufficiency and off government assistance and assisted over 162 families with Medical Insurance, 718 with Food assistance and 968 from being evicted from their home.	The Board of Directors has decided to rebrand the organization, our former name was Ways to Family Self-Sufficiency, Inc. with our growth it was the best decision for the community.	
LADE	http://www.ladegirls.webs.com	313-749-8948	EIN 46-3852919	9685 Woodbine	Redford	MI	48239	USA		To motivate, uplift and empower girls to be productive citizens in their lives and within the community.	The City of Detroit	Build a Better Me, Build a better Future Program and She said Yes Campaign. These programs help girls build their self-esteem, sisterhood friendships and social issues girls face in their communities.	Girls 10-17	The girls we have mentored in the past and present have graduated high school and are now in college. Our girls are excelling in every area of their lives with high grade point averages and truly blossoming into beautiful butterflies and focusing on career goals for the future.	40 girls in the Cody Rouge District	
Au Sable Institute	http://www.ausable.org	616-526-9952	EIN 38-1713340	3770 Lake Dr	Grand Rapids	MI	49546	USA	Education, Environment, Environmental Education, Higher Education, Natural Resources Conservation & Protection	Au Sable Institute of Environmental Studies provides quality stewardship education, training, leadership and vision for earthkeepers worldwide based upon a continuous and fearless pursuit of the integration of environmental science, theology, and praxis in all of its courses, programs and operations, and commissions its students to serve and honor Jesus Christ by caring for Gods creation. The mission of Au Sable Institute of Environmental Studies is the integration of knowledge of the creation with biblical principles for the purpose of bringing the Christian community and the general public to a better understanding of the Creator and the stewardship of Gods creation. Therefore, all of its programs and activities are structured to promote Christian earthkeeping. This requires dedication to exemplary Christian earthkeeping in the planning, operations, programs, and outreach of the Institute.	North America and Southern India	The collegiate program provides courses in field-based biology and environmental stewardship for students of evangelical christian colleges and universities. The college program offers 32 four-credit courses at four locations, michigan, washington, india and costa rica. Credits were granted to 122 students through members of our network of more than 60 affiliated colleges. Additionally, 12 of these students received professional certification in specific areas of environmental science.   the environmental education program for this year included spring, winter and fall sessions along with several local community programs serving more than 800 participants mostly from northwest lower michigan.   the retreat program served 112 individual guests (798 user days).				
Jericho Foundation Inc	http://www.jerichofoundation.org	(269) 353-0958	EIN 38-3575834	5474 Stoneybrook	Kalamazoo	MI	49009	USA	Education, Scholarships, Scholarships & Student Financial Aid	To assist families in economically deprived countries		Provided fund for basic needs including food, shelter, clothing, and education for students in bosnia  provide funds for prosthetic limbs to bosnians				
Children's Resource Network Center	http://childrensresourcenetworkcenter.org	734-922-2982	EIN 38-3248458	21021 Huron River Drive	New Boston	MI	48164	USA	Child Day Care, Children & Youth	Childrens Resource Network Center (CRNC) is a charitable non-profit 501 (C)(3) organization dedicated to promoting opportunities for children and their families for the development and preservation of ethical values, the realization of the digninty and worth of each individual and the enhancement of positive social behavior, in order to realize their full potential.	Southeastern Michigan	Childrens Feeding Programs (year round) Emgency Food Pantry for Families (year round) Training for Early Childhood Education & Care Providers	At-risk hungry children (birth - 18 years), families needing emergency food assistance and indivduals who provide early education and care to children.	Currently 10 feeding sites are operational, serving 300 - 400 children daily.   A Summer Breakfast pilot program was started at 3 feeding sites in 2010 adding two meals per day to over 200 at-risk hungry children.	60,000 children meals	
Charitable Union	http://www.charitableunion.org	(269) 964-7234	EIN 38-1405611	85 Calhoun St	Battle Creek	MI	49017	USA	Gift Distribution, Human Services	Serving children and families in need in the battle creek, michigan area.		Collect used clothing and distribute to those in need. During 2014, the agency provided over 513,000 items to 6,325 children and 13,724 adults in the greater battle creek area. Providing leadership and collaboration in community projects dealing with homelessness, poverty and changes in the structure of social institutions. Engaging in advocacy actions in collaboration with clients and other community and non-profit organizations.				
The Ronald Mcdonald House Of Western Michigan Inc	http://www.rmhwesternmichigan.org	(616) 776-1300	EIN 38-2781170	1323 Cedar St Ne	Grand Rapids	MI	49503	USA	Health, Health Support, Unknown	To provide low cost temporary housing to families of children with serious illnesses.		To provide low cost temporary housing to families of children who are being treated in local hospitals for major illnesses or on an outpatient basis in theraputic programs.				
Friendship Circle	http://www.friendshipcircle.org		EIN 38-3613944	6892 W Maple Rd	W Bloomfield	MI	48322	USA	Children & Youth, Developmentally Disabled Centers, Disabilities, Youth Development	The Friendship Circle provides assistance and support to the families of children with special needs as well as to individuals and families struggling with addiction, isolation, and other crises.In addition to helping those in need, the Friendship Circle empowers and enriches its network of volunteers, the majority of whom are teenagers, by enabling them to reap the vast rewards of giving of themselves.						
United Way Of Wexford-Missaukee Counties	http://www.uwwexfordmissaukee.org	(231) 775-3753	EIN 23-7112549	Po Box 177	Cadillac	MI	49601	USA		To meet critical human needs that will improve the quality of life and build a better community in wexford and missaukee counties. The united way of wexford-missaukee counties works to impact three targeted areas through community investment/annual allocations, community response grants, collaboratives and initiatives, volunteer development, and information and referral.		The purpose of community investments is to endeavor that all families have food, shelter and access to healthcare and to connect all families in need with critical services and resources. To help facilitate this, allocations or grants have been given to various health and human service agency programs. Please see attached.   the purpose of youth initiatives is to nurture children and youth. The goal is that all children would be ready for school, that parents are provided with education and tools, that child abuse and neglect would be reduced and prevented, and that teen substance abuse is reduced.   the 2-1-1 program - 1. Connects every citizen with; a. Basic human needs b. Employment support c. Support for older citizens d. Support for people with disabilities e. Support for children, youth and familes f. Physical and mental health services 2. Is an information resource during a community emergency, allowing 9-1-1 to focus on life threatening emergencies 3. Compiles data that breaks down and identifies crititcal needs in the community so that future resources may be directed more efficiently  other community initiatives				
Social Philanthropists Foundation	http://www.the-spf.org		EIN 27-0248527	1744 Maryland Blvd	Birmingham	MI	48009	USA	Citizen Participation, Community & Neighborhood Development, Economic Development, Philanthropy, Philanthropy, Charity & Voluntarism Promotion	For the next generation of philanthropists, we redefine what it means to be charitably active. For charitable organizations, we redefine the ways in which their goals can be reached.  We recognized a disconnect in the relationship between non-profit organizations and socially active people. Here was a large group of good people who really embraced the social scene; they regularly liked to spend time with friends at local venues, and (most importantly) they all liked to have a good reason to go out.  While theyre interested in being active in their community, they rarely heard about charity events that fit their interests. In fact, the phrase charitable event churned up associations with high-brow and established contributors  associations that didnt really resonate with them.  Enter SPF. Our three goals are:  1) To create an interactive resource to connect the public with the numerous non-profits in their community.  2) To partner with non-profit organizations (NPOs), helping them attract socially active people to fund-raising efforts and service projects by creating a more appealing (read: fun) atmosphere in tune with their interests.  3) To identify the immediate needs of NPOs, and serve as a valuable resource to addressing those needs in a variety of ways.  At SPF, our approach to giving is different than what you might expect from a non-profit organization. But we see that as our strong point. We cater directly to the socially active segment of our community, and give them an outlet for giving back.  The result? By giving our social gurus new, exciting events and a (pretty great) reason to make an appearance, more NPOs, causes and the communities we live in will get just the support they need.	Southeastern Michigan	The Dish is a video blog where we interview local nonprofits, filmed at local restaurants,and allow them to promote their causeand ways to get involved, all of which is targeted to themodern professional.				
Genesee County Habitat for Humanity	http://www.geneseehabitat.org	(810) 766-9089	EIN 38-2899387	101 Burton Street	Flint	MI	48503	USA	Christianity, Community & Neighborhood Development, Economic Development, Homeless & Housing, Housing Development, Construction & Management, Housing Support, Religion	Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities, and hope. Our vision is a world where everyone has a decent place to live.	Genesee County, Michigan	Homeownership services, critical home repair, and neighborhood revitalization	Low-to-moderate income residents of Genesee County, Michigan	Since 1990, Genesee County Habitat for Humanity has built or renovated over 152 homes throughout Genesee County.	In 2016 we completed construction on 6 new homes; rehabilitated 3 work/live buildings; repaired 12 homes; and engaged 188 neighborhood residents through various meetings, workshops, clean-ups, and build projects	
The SCRAP BOX	http://www.scrapbox.org	(734) 994-0012	EIN 38-2546436	581 State Cir	Ann Arbor	MI	48108	USA	Environment, Recycling	To promote creative recycling and green living through UPCYCLING, and to promote creativity, problem solving, and self-expression in sustainable and unique ways.		Retail (cheap) materials Classes and workshops Birthday party space and activities Classroom Visitations on recycling and Green Arts Mail order		We are Ann Arbor's most creative and oldest GREEN Space, having flourished for 28 years! Get involved in the GREEN Fun at The Scrap Box!		
Grand Traverse Regional Land Conservancy	http://www.gtrlc.org	(231) 929-7911	EIN 38-2994229	3860 N Long Lake Rd Ste D	Traverse City	MI	49684	USA	Environment, Land Resources Conservation	The mission of gtrlc is to protect significant natural, agricultural, and scenic areas and advance land stewardship now and for future generations.		30. 02 acres of land valued at $264,600 were acquired by purchase or donation and permanently protected, bringing the total of land permanently protected to 7,055. 58 acres valued at $17,718,947. Three options valued at $87,448 were exercised; three options valued at $32,000 were purchased or renewed. Land held for transfer valued at $4,210,043 consists of land projects where the final disposition of the property is not completed. The land may be intended for sale with a conservation easement, to become the property of a state or local government or be financed land acquisitions that, when paid in full, become a part of the conservancy nature preserves.				
Macomb County Humane Society	http://www.humanesocietyofmacomb.org	(586) 731-9210	EIN 38-6120195	11350 22 Mile Rd	Shelby Twp	MI	48317	USA	Animal Protection & Welfare, Animals	Provide care for homeless/abused animals		Provide care and shelter for homeless/abused animals-service is available to the general public				
Jwatt Foundation Inc	http://jwattfoundation.org/		EIN 20-8246560	1799 E State Fair	Detroit	MI	48203	USA	Children & Youth, Youth Development Programs	To bridge the gap from youth to adulthood by creating opportunities that will focus on spiritual growth, academics, leadership and social development.						
National Leiomyosarcoma Foundation	http://www.nlmsf.org	(888) 449-6805	EIN 14-1834266	2843 East Grand River Ave Room 230	East Lansing	MI	48823	USA	Cancer, Cancer Research, Health, Philanthropy, Private Grantmaking Foundations	Our mission is to provide leadership in supporting research of leiomyosarcoma, improving treatment outcomes of those affected by this disease as well as fostering awareness in the medical community and general public.		Research grant to standford university				
Mathis Community Center	http://	(313) 342-8582	EIN 38-2683669	19300 Greenfield Rd	Detroit	MI	48235	USA	Employment Preparation & Procurement, Job Training	The Mathis Community Center is owned by Judge Greg Mathis and follows his mission to make a difference in the community. The Center is a place where learning is encouraged and positive activities are a way of life. The Center has hosted many rallies including : The Judge Mathis Mobile Community Service kickoff, The Census family day and numerous others. The center was home to the Judge Mathis food drive. Tutoring programs , mentoring programs, and training programs have taken placed at the Center. This summer a variety of positive activities will take place.  Only God knows the future realm of benefits the center will offer the community, But, one can rest assured the positive activities and family focus will be front and center of the happenings.						
