name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year	VISION: 	
Mothers Against Drunk Driving	http://www.madd.org	(214) 744-6233	EIN 94-2707273	511 E John Carpenter Fwy Suite 700	Irving	TX	75062	USA	Automotive Safety, Crime & Law, Disaster Aid, Drunk Driving-Related, Human Services, Victims Services	The mission of MADD is to stop drunk driving, support the victims of this violent crime and prevent underage drinking.Due to the efforts of volunteers and staff tirelessly working to achieve MADD's mission, some 300,000 Americans are alive who would have otherwise been killed had drunk driving been allowed to continue at the epidemic levels of 1980.  Although alcohol-related traffic deaths have decreased by more than 40 percent since MADD's founding, drunk driving remains the nation's most frequently committed violent crime.  Each year nearly 13,000 people die in impaired driving crashes.  Underage drinking remains the No. 1 youth drug problem, killing more young people that all other illicit drugs combined.			Campaign to eliminate drunk driving  victim services  prevent underage drinking				
Providence Place	http://www.provplace.org	210-696-2410	EIN 74-1168923	6487 Whitby Road	San Antonio	TX	78240	USA	Adoption, Children & Youth, Deaf & Hearing Impaired Centers, Disabilities, Human Services, Job Training, Vocational Rehabilitation	Providence Place is a non-profit and for-purpose organization fostering opportunities.  We empower adults with disabilities and people on the adoption journey by supporting independence and building bright futures with endless possibilities. Providence Place was founded in 1895 to rescue young women from the streets of downtown San Antonio and provide vocational skills so they could find meaningful work. After 10 years of rescuing; the founder shifted her focus toward placing babies and children for adoption. Our 25- acre campus was built to provide housing and supportive services to unwed mothers prior to the adoption of their children. As adoption trends changed in the 1970s, the Providence Place Board identified a significant unmet community need vocational education services for the deaf and hard of hearing and in 1974 the Center for Higher Independence (CHI) was formed. CHI provides life and vocational education to young adults with disabilities and works to find meaningful employment. We have 65 staff members and 750 confirmed volunteers for 2016.	Young adults with disabilities, and families and birth mothers on the adoption journey.	Providence Place has been serving communities throughout Texas and beyond for 121 years.	Action Adoption  Supports birth mothers and adoptive families pursuing adoption.   Center for Higher Independence  Provides life and vocational education to young adults with disabilities and works to find meaningful employment.	The Adoptions of Texas program has placed more than 6,000 children through domestic adoption and provides services to birth mothers before the adoption of their children. Over the past 10 years, Providence Place has expanded services through the Center for Higher Independence, and offers transitional education, life skills and vocational training to young adults with disabilities.	300 clients		
Eds World Inc	http://www.eds-world.org/		EIN 20-0787765	PO Box 38773	Houston	TX	77238	USA	Children & Youth, Youth Development Programs	The purpose is to assist in providing college preparatory assistance to high school students along with guidance on business start-up methods and opportunities to teens and young adults in addition to providing annual scholarships to institutions of higher learning for youth who have been accepted to a college, university, junior college or community college.	youth and young adults	Houston, Texas	tutorials, college prep sessions and community service projects.		over 200 youth in the Houston area and over 1,000 youth through our international community service project in Ghana.		
National Volunteer Caregiving Network	http://www.nvcnetwork.org	304.908.0428	EIN 26-2650290	30028 Oakland Hills Drive	Georgetown	TX	78628	USA	Philanthropy, Voluntarism Promotion	Our mission is to promote volunteer caregiving through the advocacy, support, and development of local programs.  NVCN envisions an interfaith volunteer caregiving program in every community - elders deserve to live with dignity and to be able to maintain the quality of life that is important to them - we help make this dream become a reality.   With the help of NVCN, local community programs recruit volunteers who help the home bound remain in their homes. Volunteers provide informal helps such as - transportation, friendly visits, respite care, and minor home repairs.	the elderly and the disabled remain independent by starting and helping maintain volunteer caregiving programs	48 states	by helping volunteer caregiving programs provide transportation, friendly visits, and minor home repairs at no-charge to the receiver.	Millions of the disabled and the elderly have been served by Volunteer Caregiving services since 1984. The annual impact of the network includes:  	50,000 older adults were helped through free, informal caregiving services 	9,331 volunteers donated almost 400,000 hours of service 	Estimated value of services is $8,500,000 based on the Independent Sectors value of $22.14 per hour for volunteer time	170 programs aid over 2,995, 330 elderly and disabled individuals.		
Cressie Animal Refuge & Enrichment Center	http://		EIN 27-0465104	1614 Doe Park	San Antonio	TX	78248	USA	Animal-Related, Animals								
Pathways Core Training Inc	http://www.createagreatlife.org		EIN 26-1084626	102 Decker Ct Ste 200	Irving	TX	75062	USA	Children & Youth, Youth Development	Pathways is a los colinas, tx based global organization providing training to help build lives of significance and communities of hope.			Shepherded and directed 28 experienced based trainings throughout the year to heighten trainees abilities to change their lives. We serve families, individuals and teens, and our significant program assists the abused, those with special needs, and veterans in their recovery.				
WATCCH Inc	http://www.watcch.org	2543836436	EIN 35-2419591	501 Lisa Ln	Killeen	TX	76543	USA	International, International Development	WATCCH mission is to help support and assist the vulnerable children in Uganda, Africa who have lost their families in natural disasters. Our hope is to provide sustainable long term relief to Ugandan children in need: clothing, education, food, and shelter. To fulfill our Mission and to reach our goals we need your help. We need donations to reach our goals. Please give Today!	Children who have lost families due to natural disasters such as mudslides.	Uganda, Africa	Shelter to children that are orphans, offering education program, food and health program to ensure each child will become a productive member of society.	We have be successfully been about to provide for 16 children. However, there are 70 more children still in need. In order to provide for more children we need more funding.	16 children and next year we hope to made a difference in the lives of 60 children.		
Freedom Flyers	http://pecosbill.org/	512 756 6163	EIN 27-3908594	P.O. Box 328 (3202 S. Water Street)	Burnet	TX	78611	USA	Education, Mental Health, Sports	Freedom Flyers is a 501(c)(3) nonprofit organization with a mission to use the magnificent, historic WWII airplanes in its care to honor veterans for their service to America. Freedom Flyers also honors community heroes like firefighters, police, emergency management technicians, teachers and others who have made a positive difference.	We honor veterans for their service to America, as well as community heroes like firefighters, police, emergency management technicians, teachers and others who have made a positive difference.	We are driven by the desire to honor veterans and community heroes by giving them the once-in-a-lifetime opportunity to fly as a VIP guest in our restored WWII P-51 Mustang fighter plane.	Hero Flights	Freedom Flyers has flown over 150 WWII Veterans free of charge on its Hero Flights, for what many consider the highlight of their lives. Along with WWII Veterans, Freedom Flyers actively participates in events across the United States like air shows that honor Active Military and Veterans.			
Island Friends Roatan Inc	http://www.roatan-daycare.com		EIN 20-8533416	7110 Poniente Lane	San Antonio	TX	78209	USA	Child Day Care, Children & Youth, Citizen Participation, Education, Philanthropy, Preschools	The Roatan Daycare Center operates under the Island Friends "umbrella." As Island Friends is a corporation, projects may operate undertheir501c3 nonprofit status. Children in need receive bi-lingual education, healthy and safe care, and learn all-important social skills. Island Friends isa coordinating point for volunteer efforts on the island of Roatan. It focuses on connecting those who want to help, with those in need. We make it easier for you to know where to put your interest in giving. Our forums provide information of current events, new ventures, create ideas and put them to action for help needed. Over one hundred fifty volunteers and most of the nonprofits on Roatan are represented. Our data base contains contact information for these nonprofits and volunteers.			We are a networking and connecting point for volunteers on the island of Roatan, Honduras. We connect those who want to volunteer with those in need. Our Forums develop issues to obtain actionable results. They inform of community needs and are a clearing house for volunteer needs. Nonprofits are represented, and made clear to volunteers who wish to work.The Roatan Daycare Center is a bilingual Center for children of parents in need.The Clinica Esperanza serves the poor with excellent health care.PIER, Partners in Education work to satisfy the gaps in the public education system on the island.	We were able to buy a new stove...a big part of a daycare that cooks nourishing food for the children...every day! We have been chosen by Penn State Univ. for their visiting students to install solar panels. This will help our high electric bill and give us the opportunity for further outreach education of this use of alternate energy to the community.			
Cenikor Foundation	http://www.cenikor.org	713-266-9944	EIN 76-0031861	11111 Katy Freeway, Suite 500	Houston	TX	77079	USA	Education, Mental Health, Substance Abuse Treatment	Cenikor. A Place for Change. Providing a Foundation for Better Health and Better Lives.	those struggling with substance abuse.	Texas and Louisiana	Cenikor is committed to helping people deal with behavioral health issues and addictions by providing a full continuum of care. Cenikor has a variety of programs including short-term and long-term inpatient programs, detoxification, outpatient and intensive outpatient services. Cenikor also provides adolescent short-term inpatient treatment, outpatient and intensive outpatient care.  Cenikor Foundation is one of the oldest and most successful substance abuse treatment centers in the nation with services throughout Texas and Louisiana.   Since 1967, Cenikor has expanded to assist approximately 1,000 people a week achieve better health and better lives.				
Grace Through Faith Ministries Inc	http://J-JirehMinistries.org	210.543.8309	EIN 41-2216226	6231 Peace Pipe Dr Lili Kristan	San Antonio	TX	78238	USA		To serve God by serving  and empowering others. To teach godly principles and about the love of Jesus Christ and His plan of salvation for humanity.	children, teens and families	San Antonio, Texas and surrounding Cities	Life and Job Skills, Computers with a Purpose, Christmas Shoebox Program and The Open Arms Emergency Children's Shelter.		1,000's		
Dream Catcher Stables Inc	http://dreamcatcherstables.org		EIN 76-0618111	PO Box 1454	Spring	TX	77383	USA	Children & Youth, Equestrian, Human Services, Sports, Sports Associations & Training Facilities, Youth Development Programs	Our Mission is:  to provide a place in perpetuity where individuals with disabilities can be successful, equal, and capable; growing to their maximum life''s potential through interaction with horses in a positive environment.We accomplish our mission by providing educational, recreational, and sport programming, including vocational/prevocational opportunities, to youth at risk and youth and adults with disabilities.  Individuals are accepted without regard to race, religion, ethnicity, or socioeconomic background.  Our funding comes form individuals, corporations, and foundations.	people with disabilities ages 5 and older	the greater Houston area	Currently teaching youth and adults with disabilities and youth-at-risk to ride and care for horses.  Our riders compete in two horse shows annually. The adjudicated youth community service program continues to demonstrate a 97% success rate.	In the past 10 years 159 riders with disabilities achieved 143 first, 155 second, 132 third, 117 fourth, 90 fifth, 67 sixth, 17 seventh, 13 eighth, and 67 participation awards.  Adjudicated youth (168) completed 2601 hours of court ordered community service with approximately 95% of them returning to a positive life pathway. High school students (164) worked 740 hours in facility and equipment maintenance to recoup credit for poor school attendance.  The organization ran using 449 volunteers giving 31,1955 volunteer hours providing 2,635 lessons in an outdoor setting.	16 riders received 150 lessons, won 65 awards including 8 firsts.		
The 1 Million 4 Anna Foundation	http://www.1million4anna.org	(214) 986-0009	EIN 45-3102803	15301 Dallas Parkway, Suite 1100	Addison	TX	75001	USA	Health	Our mission is to eradicate Ewings Sarcoma.  We will remain vigilant to the needs of suffering adolescents and their families.  We will provide university scholarships for students who have battled, or continue to battle, the disease.  We will fund promising Ewings research. Our commitment is to empower young cancer survivors and warriors in varying stages of their journeys through inspiration, education, and eradication.			The purpose of 1 million 4 anna foundation is to raise funds for research to eradicate ewing's sarcoma and provide university scholarships for students who have or continue to battle the disease.				
Bluebonnet Equine Humane Society	http://www.bluebonnetequine.org/	888 542 5163	EIN 84-1673775	P.O. Box 632	College Station	TX	77841	USA	Animal Protection & Welfare, Animals	We strive to educate the public about proper horse care, work with law enforcement to investigate reports of neglect or abuse and remove animals from neglectful owners, rehabilitate and rehome horses and other equine animals who enter our program.	abused, neglected, abandoned and estray horses and other equines	Texas	assistance to law enforcement officers in handling equine neglect cases, rehabilitating neglected and abused horses and other equines, and placing those equines with loving adopters.	As of September 1, 2013, we have brought 701 horses and other equines into the rescue.  Nearly 500 have been placed with adopters.	47 equines come into our rehabilitation program, several law enforcement agencies investigate neglect cases, and 110 horses find adopters		
Texas Humane Legislation Network	http://www.thln.org/		EIN 75-2236932	8333 Douglas Ave Ste 1350	Dallas	TX	75225	USA		Our mission is promoting the humane treatment of animals in Texas via legislation, education and advocacy. We are a mainstream voice for the animals of Texas: companion animals, homeless animals, horses, farm animals, native Texas wildlife and captive exotic animals alike. THLN is like no other animal welfare non-profit in Texas, advocating for animals by speaking directly to our elected leaders at the Texas Legislature. Our advocacy brings attention to the untold numbers of animals throughout Texas who suffer horrific abuse and neglect at the hands of humans.	pass animal protection and anti-cruelty legislation.	Texas	We are a mainstream, grassroots, volunteer driven, citizen lobbying group advocating for the humane treatment of animals in Texas. We educate legislators and the public about cruelty happening in their district (e.g., dog-fighting and puppy mills) and work to pass legislation outlawing these practices. We advocate for all animals in Texas: companion animals, captive wild animals (e.g., tigers and bears), exotic pets, animals used in entertainment (e.g., dogs used for racing) and wildlife on public lands. We are non-partisan and welcome all in the animal welfare community to join with us in pressing for animal protection legislation at the state level. When animal protection laws are passed at the state level, they impact the lives of thousands upon thousands of animals in Texas.	Since 1975, the Texas Humane Legislation Network has been instrumental in passing dozens of animal-protection and anti-cruelty measures in Texas. What follows is a short list of THLN's legislative efforts in the most recent Texas Legislative Session:  RECENT HOUSE BILLS  HB 1449 Summary: Relating to licensing and regulation of dog and cat dealers; providing penalties and imposing fees ("The Dog and Cat Dealers Bill").	  HB 2434 Summary: Relating to prohibiting introduction or distribution of certain records of field trials or the process of hunting or catching wildlife; providing a civil remedy and creating an offense ("The Hunter's Gag Bill"). 	 HCR 31 Summary: Designating the Kemp's Ridley Sea Turtle as the official State sea turtle of Texas ("Sea Turtle Bill"). 	 RECENT SENATE BILLS SB 654 Summary: Relating to the enforcement of water conservation and animal care and control ordinances of a municipality by civil action or quasi-judicial enforcement; providing civil penalties ("The Dallas Civil Enforcement Bill"). Click here to view this bill 	 SB 1395 Summary: Relating to the regulation of dangerous wild animals ("The Estes/Larsen Dangerous Wild Animal Bill"). Click here to view this bill 	 SB 555 Summary: Relating to provisions in protective orders regarding pets and other companion animals; providing a penalty ("Pets in Protective Order Bill").  SB 360 Summary: Relating to methods used by an animal shelter to euthanize a dog or cat.			
Trinity Oaks Enterprises	http://www.trinityoaks.org	(210) 447-0351	EIN 20-8992883	9385 Miller Ln	San Antonio	TX	78266	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Trinity oaks enterprises assists youth, wounded veterans, the homeless, and others through a variety of programs aimed at financial assistance and building relationships. Trinity oaks also operates a meat processing facility for distribution to local churches, homeless programs, and orphanages in mexico.			Trinity oaks enterprises operates a commercial meat processing facility to process excess game donated by various ranches and individuals. The animals are processed, usually into ground meat, for distribution to local churches, homeless programs, and orphanages.   trinity oaks enterprises teaches youth about hunting, building relationships, and enjoying the majestic outdoors through its youth outreach programs. The organization is involved with children of all ages in a mentoring relationship.   trinity oaks enterprises has partnered with various programs to take wounded soldiers on hunting trips. After the trip the animals are mounted for the soldiers and the meat is processed for their families.				
Boys and Girls Club of Hood County Inc	http://bgchoodcounty.org	(817) 578-8778	EIN 75-2836781	PO Box 9	Granbury	TX	76048	USA	Boys & Girls Clubs, Children & Youth	THE CLUB PROVIDED AFTER SCHOOL AND SUMMER ACTIVITIES FOR CHILDREN ESPECIALLY TARGETING THOSE AT RISK THE CLUB ALSO PROVIDED RECREATIONAL ACTIVITIES TO HOOD COUNTY CHILDREN			The club provided after school and summer activities for children, especially targeting those at risk, the club also provided recreational activities to hood county children.   the club provided after school and summer activities for children, especially targeting those at risk, the club also provided recreational activities to hood county children.				
Pflugerville Pets Alive!	http://www.pflugervillepetsalive.org	512.900.1772	EIN 45-5363556	PO Box 3433	Pflugerville	TX	78691	USA	Animal Protection & Welfare, Animals	to make a difference in lives of animals in Pflugerville	Pets of Pflugerville	Pflugerville, TX	We: * find Pflugerville homeless pets loving families   * help the pets in the Pflugerville Animal Shelter by bringing them into foster  * supplying enrichment tools to the Pflugerville Animal shelter * prevent animals in Pflugerville from going to the shelter (fixing fences, training advice, sponsoring medical expenses for people with no alternatives, etc) * supplying shelter to outside dogs (Operation Dog House)		4% of the Pflugerville Animal Shelter Population to help them maintain a live release rate of 97%		
The Family Greenhouse	http://familygreenhouse.org	(972) 694-3114	EIN 46-1769313	P.O. Box 6514	McKinney	TX	75071	USA	Counseling, Mental Health	We create environments for relationships thrive.	Individuals, couples, teams and families	McKinney, Texas and the Greater DFW Area	We offer unique relationship coaching in order to equip and strengthen pre-married and married couples. We also offer individual coaching in all areas of personal growth. We speak at events and conferences and facilitate workshops on personality, parenting, marriage, financial communication, leadership and more.	An enhanced and edified community that is strengthen by healthy individual and family relationships.	Average monthly/ Reach of 50+ families, couples, or individuals equipped for healthier relationships		
A.L.A.Y.A Ministries	http://www.alayaministries.org/	832-736-4532	EIN 26-4735327	9203 Hwy 6 Ste 124-181	Houston	TX	77083	USA	Human Service Organizations	A.L.A.Y.A Ministries, a charitable, tax-exempt, 501 (3) organization, is a broad-based community outreach organization that is dedicated in promoting empowerment to women, men and children. This is done by equipping them to achieve leadership skills through support services, personal growth classes and workshops. This allows them to become self-sufficient. This is unlocking the potential of effective leaders.	young children, women and men	Urban Houston and surrounding areas	H.E.L.P Outreach community outreach program,  G.O.OD GIRLS Mentoring Program and Precious Jewels Support Group for women and	Movie time Water park trip for the youth School Supply drive every year in August Toys for Christmas Empty Sella Syndrome Awareness Event May 5, 2012 School Supply Drive On August 25, 2012 School supplies were given to 50 kids in 2013 Donated school items to another organization 2014 School supply drive for the Linda Vista Apartments 2015 G.O.O.D GIRLS Mentoring Program Launch 2015 Rise of the Divas 2015 networking event for women over 100 women and vendors were included 4 families given gift cards for Thanksgiving Single father of 3 given toys for kids for Christmas Vision Board Fun Shop 2016 Talent show 2015 Rise of the Divas 2016 Mentoring Brunch 2016 Back to school drive 2016 Leadership training 2016(at the end of every quarter) Families for the Holidays(Thanksgiving) 2016	20 families were feed for Thanksgiving, 100 children received backpacks and supplies and 100 women attended a networking event and women entrepreneurs		
Operation Once in a Lifetime	http://operationonceinalifetime.com		EIN 20-8948979	1600 Tanglewood Dr	Allen	TX	75002	USA	Military & Veterans Organizations, Veterans	The mission of operation once in a lifetime is to make the dreams of our military personnel come true. Every soldier has a different dream and we will help make each one come true.			Baby shower program : $510. 00operations welcome home: $17,045. 51operation full support: $63,932. 59operation fly a soldier home: $3,511. 91support your troop center: $68,805. 00toys for troops: $54,563. 40food bank: $900. 00 operation closure: $983. 72operation morale support: $92,700. 82operation education: $3,235. 08soldier outdoor initative : $32,593. 14				
House of Charity	http://www.houseofcharity.com	713-266-8002	EIN 76-0534271	10802 Sugar Hill Drive Ste A	Houston	TX	77042	USA	Children & Youth, Children & Youth Services, Health, Health (General & Financing), Philanthropy, Public Foundations, Public Health	The mission of the House of Charity is to bring help, hope and healing to children and their families in Houston and around the Globe. We envision a world in which underprivileged and impoverished children and their families achieve their full potential so they can develop into healthy and compassionate adults.	Low income children, Youth and their families	Local, National and international	Faithful to our mission of improving the quality of life of underprivileged and impoverished children and their families we have been implementing projects to provide medical & surgical treatment, disaster relief, medical, surgical, educational supplies & equipment. The House of Charity is working to achieve its goal through the following programs;  1.	Medical Mission  2.	Healing Home  3.	Resource  Aid  4.	Volunteer Development	Since inception, HOC has provided aid to over 175,000 children and youth worldwide.	15,000		
Community Lifeline Center Inc	http://www.communitylifeline.org	(972) 542-0020	EIN 75-2286990	P O Box 1792	McKinney	TX	75070	USA	Federated Giving Programs, Human Service Organizations, Human Services, Philanthropy	To guide individuals and families back to self sufficiency.							
Texas Litter Control	http://www.texaslittercontrol.org	(832) 510-7622	EIN 46-0920592	24950 Spring Ridge Dr Ste B	Spring	TX	77386	USA	Animal Protection & Welfare, Animals, Veterinary Services	Spay and neuter animals and provide shelter and veterinarian care			Spay and neuter animals				
Turning Point Center	http://turningpointcenter.org	(713) 957-0099	EIN 76-0270436	1701 Jacquelyn Dr	Houston	TX	77055	USA	Human Services, Neighborhood Centers	The mission provided housing, food, clothing, supportive services, rehabilitation counseling, training, and employment assistance to homeless senior citizens in houston, texas.			The mission provided housing, food, clothing, medical services, rehabilitation counseling, training, and employment assistance to homeless senior citizens in houston, texas.				
Dispute Resolution Center of Montgomery County Inc	http://www.resolution-center.org	9367606914	EIN 76-0251562	301 N. Thompson, Suite 106,	Conroe	TX	77301	USA	Crime & Law, Dispute Resolution & Mediation	Our mission is to provide and promote affordable high-quality dispute resolution services and training to the Montgomery County area.	Helping people of all ages to resolve conflicts, rebuild relationships and restore communication	Montgomery County and surrounding areas	Mediation, meditation training and the DRC's Annual Conflict Resolution Day Bookmark Art Contest				
Globe of the Great Southwest Inc	http://www.globesw.org	432-580-3177	EIN 75-6036127	2308 Shakespeare Rd	Odessa	TX	79761	USA	Arts & Culture, Theater	To create exciting theatre - embracing our roots in Shakespeare who wrote that the purpose of theatre is to hold "a mirror up to nature" - to entertain, educate and create economic diversification and growth.	Rural and suburban population of West Texas.  Students.  Tourists.		The Southwest Shakespeare Festival of 3 plays, greenshows and readings.  Globe Theatre season of 5 plays including an opera in collaboration with the Odessa College music department and a festival of new plays.  Annual student matinee production of Romeo & Juliet. Odessa Brand New Opree: monthly live country and gospel music.  Camp Shakespeare: a week long intensive for teens.	Festival production quality continues to grow resulting in more out-of-town audience members.  More participating youth are going on to college.  More than 5,000 students from up to 325 miles away attend matinee performances annually.	15,000		
Petya I. Edwards Foundation	http://www.pedwards.org	214-864-7574	EIN 	5904 Tewkesbury Way	Dallas	TX	75252	USA		It is the goal of the Petya I. Edwards FOUNDATION, Inc. to become the Champion of Children within the DFW Metroplex. Instead of duplicating community efforts, we strive to become a safety net for the children suffering from undue stress from two causes, Homelessness and Childhood Cancer.							
Empowered Women of Faith & Purpose	http://www.ewofp.org	4694816344	EIN 80-0602914	2020 michelle creek drive	little elm	TX	75068	USA	Single Parent Agencies	To encourage & to stimulate the involvement of single mothers, while empowering one's personality, and deepest desires. By Administrating adequate resources tools and the facilitation of programs,  self-sufficiency is sustained in empowerment, faith, and purpose.	Single Mother Families	TEXAS	D.A.R.E. 2 Dream (Distinctive Attributes Requires Excellence)D.A.R.E. (D*istinctive A*ttributes R*equire E*xcellence) 2 Dream, D.A.R.E. 2 be Exceptional, was designed to encourage and train others on ambition, passion, and purpose.		We helped 15 people at a D.A.R.E. 2 Dream Queen Workshop and feed about 43 indivduals. And donated to two other non-profits. One specifically catered to domestic violent victims.		
Imagine Foundation for Kids	http://www.imaginefoundationforkids.org		EIN 46-1596048	18484 Preston Road, Suite 102-107	Dallas	TX	75025	USA									
World Indigenous Missions	http://worldim.com/	830-629-0863	EIN 74-2192909	2409 Lifehaus Industrial Drive	New Braunfels	TX	78130	USA	Protestant, Religion	World Indigenous Missions is a missionary sending agency based in New Braunfels, TX.  We train and send out career missionaries, offer short-term trips and have internships for those who want a taste for missions. Visit our website at www.worldim.com.			Preaching and teaching the word of god and establishing churches andassist and support churches including 62 branches of missionariesin 10 countries and train leaders for local congregations				
2000 Strong Youth For Christ	http://		EIN 26-3147286	4006 Echoridge Dr	Carrollton	TX	75007	USA	Children & Youth, Christianity, Religion, Youth Development - Citizenship, Youth Development - Religious Leadership								
God Bless Hiv & Aids Awareness	http://		EIN 26-3533869	8341 Tidwell Rd	Houston	TX	77028	USA	AIDS, Health								
Cattailz Org	http://www.cattailz.org		EIN 61-1577801	1812 Windhaven Ct	Weatherford	TX	76087	USA	Animal Protection & Welfare, Animals	Help the homeless unfortunate cats and kittens that live on the streets and alleys of our communities.  We offer coaching support for colony caretakers.  We are for 20 plus colonies of our own.  We also write for and share Grant and donation $$$ for trap neuter return.	Homeless ferals and community free roaming cats	Tarrant & Parker Counties	Grants for Tnr				
Family Pathfinders of Tarrant County	http://www.familypathfinders.org		EIN 73-1643384	PO Box 470869	Fort Worth	TX	76147	USA	Centers to Support the Independence of Specific Populations, Family Services, Human Services	Family Pathfinders mission is to strengthen the community by empowering families and individuals to attain self-sufficiency.	Helping families bridge the gap between poverty and self-sufficiency.	Tarrant County	Mentoring, Financial Literacy and Financial Coaching				
F7 Group Foundation	http://www.f7group.com		EIN 27-3097877	512 W Martin Luther King Jr Blvd #327	Austin	TX	78701	USA			Veterans	Texas	Retreats, Business Boot Camps, Peer Mentoring Programs, Transition Training, Support for Active/Guard/Reserve		over 1000 Veterans and their Families		
Girls Incorporated of Tarrant County	http://www.girlsinctarrant.org	817-468-0306	EIN 75-1514683	2820 Matlock Rd Suite	Arlington	TX	76015	USA	Child Day Care, Children & Youth, Children & Youth Services, Girls Clubs	Girls Incorporated of Tarrant County inspires all girls to be strong, smart, and bold and increases the social competence of girls and boys.			Programs equip girls to navigate gender, economic, and social barriers and grow into healthy, educated, and independent adults. Prevention, education, and leadership programs for girls in kindergarten through 12th grade are facilitated at schools (during the school day and after school) and are also facilitated in the community. Girls who participate in these programs are given and use skills to achieve academically; learn how to lead healthy and physically active lives; manage money; navigate media messages; discover an interest in science, technology, engineering and math.   safe and affordable child care for children ages 5-12 years old before and after school during the school year at nine arlington isd schools and all-day holiday and summer child care in two arlington locations. Fees for these programs are determined by each family's ability to pay with sliding scale fees and scholarships available.				
Dfw Pup Patrol Rescue	http://dfwpuppatrol.com/		EIN 27-2097184	P.O. Box 2467	Wylie	TX	75098	USA		DFW Pup Patrol Rescues mission is to do our part within the DFW area to assist local communities and to contribute towards the global effort to help all homeless pets find committed loving forever homes and to always support spay/neuter and monthly heartworm prevention efforts, no exception.	abused, abandoned, and shelter dogs	the Dallas/Fort Worth area	saving the pups, getting them fully vetted, and then placing them in loving foster homes until we find them their furever homes.		94 dogs find their furever homes		
Susan G. Komen Breast Cancer Foundation, Inc., National Office	http://www.komen.org	(972) 855-1600	EIN 75-1835298	5005 Lbj Freeway Suite 250	Dallas	TX	75244	USA	Breast Cancer, Cancer, Cancer Research, Education, Educational Services, Health	Susan G. Komen for the Cure celebrated its 25th anniversary with a new name, a new logo and a significant accomplishment: $1 billion invested since our inception in the global fight against breast cancer. And we have pledged to invest another $2 billion in the next decade in scientific research and community outreach programs. It will take investments of that level if we are to bring about a dramatic, unprecedented decline in breast cancer deaths over the next 10 to 15 years.			Grants to other non-profit organizations to support breast cancer research, as well as research resources and conferences that further the breast cancer research agenda. See schedule o for additional details.   public health education programs to increase the public's awareness of breast cancer including, among other things, early detection and treatment. See schedule o for additional details.   breast cancer screening, diagnosis and treatment programs and grants. See schedule o for additional details.				
Center for Learning & Development	http://www.cldtx.org	254-751-0922	EIN 74-2687080	200 W. Hwy 6 Suite 503	Waco	TX	76712	USA	Behavioral Science, Children & Youth, Crime & Law, Education, Literacy, Remedial Reading & Encouragement, Youth Violence Prevention	The CENTER FOR LEARNING & DEVELOPMENT (CLD) is dedicated to developing and sharing effective strategies and systems that help struggling learners become successful through program implementation, professional development, software programs, and research-based learning tools. The CLD staff and team of professional consultants are dedicated to the pursuit of better strategies that support children through the challenges of learning.	struggling learners and the professionals who serve them	Texas	Since 1992, the CLD team of educators and psychologists has developed research-based programs, practices and tools that are both realistic and replicable.  The CENTER FOR LEARNING & DEVELOPMENT has a significant history impacting education through highly-rated training, award-winning prevention/intervention projects, and cutting-edge educational software. Since 1995, CLD has been entrusted with over 3 million dollars in grant funds, including funds from the Office of the Governor - Criminal Justice Division, as well as local foundations to implement projects for youth at-risk for school failure.	CLD has contracted with numerous Texas schools and educational service centers to implement school-based projects and to provide training and consultation. CLD programs, projects and software have been selected year after year for presentation at national education conferences and at multiple state conferences. Most notably, CLDs Grand Central Station program received recognition as a Promising Practice by the Texas Education Agency.  The CENTER FOR LEARNING & DEVELOPMENT has become a hub from which training and best practices have been shared with educators, parents, and community professionals who work with struggling youth across Texas and beyond. Projects include: serving over 20,000 participants through extensive training workshops on learning issues (TASB Approved Provider); building research-based, model demonstration programs for academically at-risk youth in more than 240 school settings (response-to-intervention programs and reading remediation programs); developing and implementing an adolescent coping skills curriculum as a deterrent for negative behaviors; writing age-appropriate coping skills curricula for use in the general education classroom to improve school climate and individual behavior; and helping juvenile justice personnel address the issues surrounding learning-disabled delinquent youth.			
Retirement Sanctuary for Laboratory Animals Inc	http://www.rsla.org		EIN 74-3004764	PO Box 171	Gonzales	TX	78629	USA	Animal Protection & Welfare, Animals	We help researchers seeking an alternative for their animals.  RSLA strongly promotes animal welfare issues without exploiting the animals or the institutions they come from.							
Weather Research Center Inc	http://wxresearch.org	(713) 529-3076	EIN 76-0236593	5090 Richmond Ave 467	Houston	TX	77056	USA	Disaster Aid, Education, Educational Services, Marine Science & Oceanography, Physical & Earth Sciences, Public Safety, Disaster Preparedness & Relief, Technology	WRC advances the science of weather and the knowledge of the weather?s impact on the global community through research, prediction, and education in order to inspire America?s next generation of scientists and engineers.							
Palmer Drug Abuse Program-San Antonio, Inc.	http://www.pdap.com/sahome.htm		EIN 74-2216041	10226 Ironside	San Antonio	TX	78230	USA	Children & Youth, Children & Youth Services, Counseling, Family Services, Mental Health, Substance Abuse Treatment	Our mission is to help teens, young adults and families overcome the effects of mind-changing chemicals while assisting the community through partnerships in education and prevention.							
