name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Our goals are to:
Self Enhancement, Inc.	http://www.selfenhancement.org	503-249-1721	EIN 93-1086629	3920 North Kerby Ave	Portland	OR	97227	USA	Children & Youth, Human Services, Personal Social Services, Youth Development	Self Enhancement, Inc. is dedicated to guiding underserved youth to realize their potential. Working with schools, families, and community organizations, SEI provides opportunities for personal and academic success, bringing hope to individual young people and enhancing the quality of community life.  In 2006, there were over 2300 children enrolled in SEI's programs that help inner-city students overcome barriers to success and close the achievement gap. SEI works with students from age 8 to 25 in eleven Portland Public Schools, in after school and summer programs, in its own charter middle school, and in entering and succeeding college. SEI involves parents in supporting their children's education and partners with over 60 community organizations to provide options and exposure.Recognized by the prestigious Edna McConnell Clark Foundation as one of the most effective youth development organizations in the nation, SEI helps instill in thousands of North and Northeast Portland youth a sense of pride, integrity, creativity, and options. Over two-thirds of SEI participants improve school attendance, grades and behavior.  An average of 98% of SEI's high school freshmen graduate four years later and 85% of those go on to college,often the first in their family to do so.SEI's motto is LIFE HAS OPTIONS.	98% of SEI students graduate from HS 85% of SEI students pursue higher education  100% of SEI Parents complete Parent Skill Building Classes SEI serves 7,500 youth and families	Underserved youth and families	Northeast and North Portland, East County Portland	Community and Family  After School In-School Summer Post Secondary (Post High School)  SEI Charter School (The Academy) Sports Program The Arts Program Counseling Program		
National Animal Interest Alliance	http://naiaonline.org	(503) 761-1139	EIN 93-1099912	111 Sw 5TH Ave Ste 2660	Portland	OR	97204	USA	Animals	Animal welfare education and awareness through publications and conferences				Animal welfare education and awareness through publications and conferences  animal welfare education and awareness through publications and conferences		
FOOD for Lane County	http://www.foodforlanecounty.org/	541-343-2822	EIN 93-0888347	770 Bailey Hill Rd	Eugene	OR	97402	USA	Food, Food Banks & Pantries, Food Programs	Our Vision - To eliminate hunger in Lane County.  Our Mission - To alleviate hunger by creating access to food.  We accomplish our mission by soliciting, collecting, rescuing, growing, preparing and packaging food for distribution through a countywide network of social service agencies and programs; and through public awareness, education and community advocacy.   Our Philosophy  * FOOD for Lane County is committed to supporting the dignity of the people we serve.  * FOOD for Lane County is committed to finding creative and sustainable solutions to hunger in our community.  * We believe a responsive food bank includes programs that help people help themselves.  * Food banking requires the participation of the whole community.  * FOOD for Lane County continually works to develop programs and services that respond to the unique needs of special populations.  * We work to ensure that our services are delivered with respect and compassion.			Lane County, Oregon	Food for lane county administers innovative programs that respond to the immediate crisis of hunger and help individuals and families address chronic food insecurity through self-sufficiency and education. We distributed 8. 1 million pounds of food through our 127 partner agencies in 2013-2014. The largest program, the emergency food box program, served a total of 70,417 individuals in lane county. We also recruited, trained and mobilized thousands of community volunteers who donated 71,000 hours to this hunger relief effort.		
Rogue Valley Humane Society	http://roguevalleyhumanesociety.org	541-479-5154	EIN 93-0558872	PO Box 951 429 Nw Scenic Drive	Grants Pass	OR	97528	USA	Animal Protection & Welfare, Animals					Our Spay/Neuter Certificate Program is for the benefit of our community. A certificate can be purchased which entitles the cat or dog for a low cost spay/neuter procedure at participating local vets' offices		
Ashland Schools Foundation	http://www.ashlandschoolsfoundation.org		EIN 93-1011227	100 Walker Ave	Ashland	OR	97520	USA	Education, Elementary & Secondary Schools, Literacy	To support quality education in the ashland public schools through fundraising in the community.				Bearrs scholarship funds pass-through legacy gift to set up scholarships for ahs students. Funds transferred to oregon community foundation for scholarship endowment fund.   education support grants used by the ashland school district to hire staff members in the ashland schools - teachers, educational aides and specialists.   used by ashland school district teachers for hands-on innovative classroom projects. Grants are applied for and awarded by asf grants committee.		
GoSustainable	http://www.gosustainable.org	+1 (503) 616-542	EIN 26-0365358	454 Briscoe Place	Ashland	OR	97520	USA	Economic Development, International, International Agricultural Development, International Economic Development, Microfinance				Global			
Potluck in the Park	http://www.potluckinthepark.org		EIN 93-1212531	PO Box 12443	Portland	OR	97212	USA	Food, Soup Kitchens	Provide a free hot meal and community gathering place every Sunday to anyone in need without regard for race, religion, age, or gender.	Treat each individual with dignity, respect, friendliness, and kindness to help build self esteem and enable guests to have a better quality of life.	Provide resources and information that directs our guests to other resources in the community.	Provide a setting for a Holiday Dinner where people who would otherwise be alone can come and feel they are a part of our large and caring family.						
Elders in Action	http://www.eldersaction.org	503-235-5474	EIN 93-1168567	1411 SW Morrison Ave. Suite 290	Portland	OR	97205	USA	Civil Rights, Senior Centers, Seniors, Seniors Rights	To assure a vibrant community through the active involvement of older adults.	2,782 individuals were assisted between July 1, 2009-June 30, 2010.*This past year, Elders in Action Personal Advocate volunteers recouped $318,984.67 for seniors due to fraud, wrongful billing and other problems	We assists individuals 60 yrs old and older but we have volunteer opportunities for individuals from 18-100 yrs old.	Elders in Action is powered by the experience of more than 150 volunteers and seven staff members, who work to solve problems, tackle important issues and help businesses and communities better serve the older customer. We believe the quality of life should never depend on age and welcome the talent and wisdom that older adults share to make communities in Clackamas, Multnomah and Washington Counties more livable for all.	Personal advocacy/speakers bureau- trained volunteers offer personal one-on-one assistance to older adults who need help navigating systems, problem solving or linking to community resources. Volunteersassist individuals living in multnomah, clackamas and washington counties in the areas of housing, healthcare, crime and elder abuse. Volunteers also provide a variety of informational presentations on important topics affecting older adults on how to stay safe and get connected to services.   age-friendly business certification (formally known as elder friendly)- since 1993, the age friendly business certification program has been helping businesses better serve the older customer by using our nationally recognized standard of service. Every organization is evaluated by older adult volunteers who provided feedback to the business on how they can best serve the older customer. We certify a wide range of businesses from retail, healthcare, government, to non-profit service providers. The elder population represents a large and growing consumer group. Implications for business are clear: improved access to older consumers and knowledge of their needs are important to be competitive in business today.   elders in action commission is a 31 member citizen advisory group of multnomah county/city of portland residents. The commission advises multnomah county aging and disability services, multnomah county, and the city of portland on the concerns and needs of older adults in our community. With strong advocacy, this dynamic group has shaped aging policy on all levels.		
Oregon Poetry Association	http://		EIN 93-1283907	Po Box 14582	Portland	OR	97293	USA								
Charleston Community Enhancement Corporation	http://		EIN 93-1278983	Po Box 5393	Charleston	OR	97420	USA	Economic Development, Urban & Community Economic Development							
Spay-Neuter Your Pet	http://		EIN 91-1804542	Po Box 477	Medford	OR	97501	USA	Animal Protection & Welfare, Animals	Reduce pet overpopulation through spay/neuter						
Rabbit Advocates	http://www.adoptarabbit.org		EIN 04-3672004	Po Box 14235	Portland	OR	97293	USA	Animal Protection & Welfare, Animal-Related, Animals	The Rabbit Advocates, founded in 2002, spun out of the Oregon Humane Society to create a group solely devoted to promoting the welfare of domestic rabbits in Oregon and Southwest Washington.  We believe that rabbits deserve to be treated with compassion and valued as companion animals.  We strive to educate the public about the physical and social needs of domestic rabbits; and promote the adoption of homeless rabbits from foster homes, shelters, and rescue groups into loving homes.  We reduce rabbit overpopulation with the spay and neuter of all adopted rabbits.						
Wallowa Land Trust Inc	http://www.wallowalandtrust.org	(541) 426-2042	EIN 20-1037078	Po Box 516	Enterprise	OR	97828	USA	Environment, Land Resources Conservation	To protect the rural nature of the wallowa country by working cooperatively with private landowners, indian tribes, local communities and governmental entities to conserve land.				In 2014, wallowa land trust continued outreach and educational programs around conservation in wallowa county and completed two conservation projects, permanently protecting important wildlife habitat, forest and scenic natural areas surrounding wallowa lake.		
Long Tom Watershed Council	http://www.longtom.org	(541) 338-7055	EIN 20-8049325	751 S Danebo Ave	Eugene	OR	97402	USA	Environment, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	To improve the water quality and watershed conditions in the long tom river basin through education, coordination, consultation and cooperation among all interests, using the collective wisdom and voluntary action of our community members.				The organization conducted restoration and enhancement of wildlife and fish habitat, collected and compiled scientific data on which to base future watershed projects, promoted public learning about watershed science and resource issues through newsletters, presentation and tours, and expanded membership and volunteer base.		
Family Access Network Foundation	http://familyaccessnetwork.org	(541) 693-5675	EIN 20-3534560	2125 Ne Daggett Ln	Bend	OR	97701	USA	Family Services	To provide financial support to the family access network whose mission is to build healthy community by alleviating the suffering of children in need to ensure all children in deschutes county have access to basic need services.				Fan advocates helped 9,609 families, connecting them to basic needs such as clothing, housing, school supplies, heating assistance, health insurance, dental exams and immunizations. Scholarship assistance was provided to 34 students.		
Salem Health	http://www.salemhospital.org	(503) 561-5535	EIN 93-0579722	890 Oak St Se	Salem	OR	97301	USA	General Hospitals, Health	To improve the health and well-being of the people and communities we serve				Salem hospital is one of the largest of oregon's 59 acute care hospitals and operates the busiest emergency department in oregon. There are 674 practitioners, representing 40 different specialties. More than 362 volunteers provide non-medical support for the hospital. 2014 statistics: births - 3,215, diagnostic imaging procedures - 163,683, ed visits - 95,830, inpatient admissions - 23,039, laboratory procedures - 1,220,204, surgeries - 13,615. The primary service area is the greater willamette valley with approximately 500,000 residents.   salem hospital provides healthcare to people in our community regardless of their ability to pay. In fy2014, the cost of services provided as a community benefit totaled $83. 9 million. This figure consisted of $13. 5 million in costs to provide charity care to individuals who cannot afford to pay; $32. 5 million in underpayment by medicaid as the amount paid was less than the cost to provide the services; and $38 million in underpayment by medicare as the amount paid was less than the cost to provide the services. Salem hospital does not pursue legal action for non-payment of bills against charity care patients who have demonstrated that they have neither sufficient income nor assets to meet their financial obligations.   salem hospital actively participates in community health improvement services. In fy 2014, salem hospital gave $8. 7 million for unfunded or underfunded health services, including improving access to care through physician recruiting, community health education and prevention programs. The hospital has an active speakers bureau providing free health lectures to community groups. Health screenings, support groups and education classes are offered on an on-going basis. In fy 2014, salem hospital provided more than $669 thousand in cash and in-kind donations to community health programs such as medassist and project access, psychiatric crisis center and the salem free clinic.		
Delphi Schools Inc	http://www.delphian.org	(503) 843-3521	EIN 93-0630376	20950 Sw Rock Creek Rd	Sheridan	OR	97378	USA	Education, Elementary & Secondary Schools, Literacy	Develops, operates, and advises private, non-sectarian "delphi academy" schools owned and operated by delphi schools, inc. , and licenses its "delphi program" to schools owned and/or operated by other nonprofit tax-exempt organizations.				Delphi schools, inc. , develops, operates, and advises private, non-sectarian "delphi academy" schools owned and operated by delphi schools, inc. , and licenses the "delphi program" to schools owned and/or operated by other nonprofit tax-exempt organizations, in conjunction with delphi schools, inc. 's "delphi program" - comprised of its: (i) educational curriculum, syllabi, and supporting implementation advice for the education of students in preschool/kindergarten through high school and beyond; (ii) educational publications; and (iii) "delphi" trademarks and servicemarks. Delphi schools, inc. , currently owns and operates four such schools: a boarding school located in sheridan, oregon ("the delphian school"); a day school located in los angeles, california ("delphi academy of los angeles"), a day school located in santa monica, california ("delphi academy of santa monica"), and a day school located in campbell, california ("delphi academy of campbell"). Delphi schools, inc. , also licenses three schools owned and/or operated by other nonprofit tax-exempt organizations: a day school located in milton, massachusetts ("delphi academy of boston"); a day school located in clearwater, florida ("delphi academy of florida"); and a day school located in chicago, illinois ("delphi academy of chicago").		
Sunshine Pantry	http://		EIN 20-3834167	10895 Sw 5th St	Beaverton	OR	97005	USA	Food, Food Banks & Pantries							
Oregon Lions Sight And Hearing Foundation Inc	http://www.olshf.org	(503) 413-7399	EIN 93-6041506	1010 Nw 22nd Avenue 144	Portland	OR	97210	USA	Disabilities, Eye Diseases, Blindness & Vision Impairments, Eye Diseases, Blindness & Vision Impairments Research, Health, Health (General & Financing), Organ & Tissue Banks	Olshf's mission is to screen, treat, save, and restore sight and hearing, in partnership with lions clubs, in order to prevent blindness and deafness for those in need.				Mobile screening program: the foundation operates a mobile health screening program, which provides an accessible and inexpensive way to offer health screenings to those in most need. The program provides free screenings to schools and the public throughout the year.   patient services program: the patient care program was created to help financially needy oregonians receive the eye and ear surgery or treatments they need but cannot afford. Qualified applicants receive quality medical treatment with dignity, confidentiality and compassion.   leap optical lab program: the leap optical finishing lab provides high quality, low cost eye wear to serve those in need.		
Western Environmental Law Center	http://www.westernlaw.org	541-485-2471	EIN 93-1010269	1216 Lincoln Street	Eugene	OR	97401	USA	Animals, Crime & Law, Environment, Environmental Education, Natural Resources Conservation & Protection, Public Interest Law, Wildlife Preservation & Protection	The Western Environmental Law Center uses the power of the law to safeguard the wildlife, wildlands, and communities of the American West. We envision a West with thriving, resilient wildlands, waters, and wildlife; a region powered by clean, renewable energy; and communities that are rooted in an ethic of conservation.   We combine our legal skills with sound conservation biology and environmental science to address major environmental issues in the West in the most strategic and effective manner. We work at the national, regional, state, and local levels; and in all three branches of government. WELC integrates national policies and regional perspective with the local knowledge of our 140+ partner groups to implement smart and appropriate place-based actions.  WELC has a highly experienced team of expert attorneys, conservation biologists and Western policy experts. We work close to the ground, with offices in Oregon, Montana, New Mexico, and Washington. As a public interest law firm, WELC does not charge clients and partners for services, but relies instead on charitable gifts from individuals, families, and foundations to accomplish our mission.	We have secured critical victories for the environment and communities of the American West.  Our top victories of 2015 are:   Safeguarding Imperiled Canada Lynx Through New Trapping Rules in Montana: We established a "lynx protection zone" in occupied lynx habitat in northwest Montana and the Greater Yellowstone region. The protection zone restricts the size and placement of traps that catch and sometimes kill lynx, and requires bobcat trappers to check their traps every 48 hours. According to the best available science, these changes will significantly reduce or eliminate the risk of accidental lynx trapping, and the likelihood of injury or death if an animal is caught. In Montana, we were also able to maintain the closure of the wolverine trapping season for an additional two years.  Protecting Old-Growth Forests, Spotted Owls, and Salmon: We defeated a 50-year logging plan for 150,000 acres of forest in Siskiyou County, California, which allowed aggressive logging of spotted owl habitat and granted permits to harm or kill endangered species. The logging would have also impacted federally protected salmon, steelhead, and the fisher, an animal proposed for listing under the Endangered Species Act.  Securing a Historic Win for Climate Change: Representing eight youths, we filed a lawsuit against the State of Washington demanding that the state take serious action on climate change by using the most recent climate science when crafting its plan to cut greenhouse gas emissions.  The King County Superior ruled in our favor to have the Washington Department of Ecology to reconsider its denial of the youths' petition. This is the first case in the United States in which a state agency was ordered to consider the best available climate science when regulating carbon dioxide emissions.  For more results on our work, please visit: http://www.westernlaw.org/successes	safeguard wildlife, wildlands, and communities.	the American West	Wildlands:  Defending and restoring the natural heritage of the West  Wildlife:  Protecting and recovering wildlife species indigenous to the West  Climate and Energy:  Fighting dirty energy while promoting a clean, renewable energy future in the West	140 partner and client organizations	
Mckenzie River Trust	http://mckenzieriver.org	(541) 345-2799	EIN 93-1029808	1245 Pearl St	Eugene	OR	97401	USA	Environment, Land Resources Conservation, Water, Water Resources, Wetlands Conservation & Management	Acquire and manage land and conservation easements through purchase and donation to ensure long term conservation of clean water, fish and wildlife habitat, and other community values.				Acquisition of land or interest in land through purchases or donations from willing landowners. Management and restoration activities on approximately 1,986 acres of owned lands in western oregon. The trust also monitored 27 conservation easements covering 2,043 acres throughout the service area. Conduct educational and informational meetings with landowners and conservation partners throughout service area. Participate in strategic conservation planning efforts with agency and other partners in western oregon.   conduct tours of owned properties and easements for the public. Publish materials about land protection and restoration, and participate in state- wide land conservation efforts. Share images and stories from mrt lands through the media, and represent the values of land conservation in community meetings.		
International School	http://intlschool.org	503-226-2496	EIN 94-3126167	025 SW Sherman Street	Portland	OR	97201	USA	Education, Elementary & Secondary Schools, Literacy, Preschools, Primary & Elementary Schools			children become bilingual global citizens.	Portland OR metro area	total immersion in Spanish, Chinese & Japanese for preschool through fifth grade. Children become fluent in another language, at home in other cultures, and engaged in math, science, social studies and the arts. The school's inquiry-based International Baccalaureate program teaches children to solve problems, collaborate, and take responsibility for their own learning.	nearly 500 students learn Spanish, Chinese and Japanese from natively-fluent teachers.	
Lighthouse Farm Sanctuary	http://www.lighthousefarmsanctuary.org	(503) 394-4486	EIN 82-0556436	36831 Richardson Gap Rd	Scio	OR	97374	USA	Animal Protection & Welfare, Animals	Dedicated to offering a safe and loving refuge to neglected and abused farm animals.						
Impact NW	http://www.ImpactNW.org	503-988-6000	EIN 93-0557964	PO Box 33530	Portland	OR	97292	USA	Children & Youth, Children & Youth Services, Human Service Organizations, Human Services, Senior Centers, Seniors	To help people achieve and maintain self-sufficiency and to prevent and alleviate the effects of poverty	Successful program outcomes from the last fiscal year included:  	All but four of 502 case-managed senior clients were able to remain securely in their own homes, with a 96% rate of satisfaction with Impact NWs service quality and staff. 	95% of the 650 children participating in Early Childhood & Family Services showed age-appropriate fine motor, cognitive, and social/emotional skills by the time they reached the age of 5. 	80% of participating Community Schools students met or exceeded benchmarks in reading and math, compared to Portland Public Schools overall rate of 72%. 	96% of residents at Richmond Place, our transitional housing facility, become employed, established permanent income, and/or increased their income potential by the time they exited the program.	Low-income children, families, seniors, and adults with disabilities in the greater Portland metropolitan region	Multnomah and Washington Counties, OR and Clark County, WA		Housing & Safety Net Services assist over 15,000 households annually, providing client advocacy; housing, utility, and resource assistance; and transitional housing for homeless families.  In addition to meeting our clients emergency needs, we connect them with job training, health care, and educational opportunities.   	Early Childhood & Family Services encourage the healthy growth of more than 600 children ages 0-5 each year while building supportive connections between underserved families and their communities through two distinct programs. Parent Child Development Services staff work with low-income families to promote school readiness, health, and good parenting practices. Healthy Start supports first-time, at-risk parents through intensive home visits and early childhood education. 	Youth & Family Services provide school and community-based educational support to thousands of youth ages 5-21.  Impact Community Schools offer extended-day enrichment activities for over 20,000 children and family members at high-poverty, high-diversity public schools. Impact Mentoring connects at-risk youth with positive volunteer adult role models. Social and Support Services for Educational Success serves teens aged 12-17 who are at risk of academic failure or dropping out. The Independent Living Program helps youth transitioning out of the foster care system through job-training, rent and utility assistance, and connections to affordable housing. The Kids on the Block Awareness Program teaches children to grow up healthy and safe through live puppet performances. Urban Opportunities provides at-risk and homeless youth with job-skills training and employment opportunities. 	Seniors & Adults with Disabilities Services promote the independence and quality of life of over 2,000 seniors and adults with disabilities annually, helping them to remain and thrive in their own homes. Services include case management, housing and utility assistance, money management through Senior GAP (Guardian Assistance Program), transportation assistance, medication management, coordination of home and yard maintenance, and access to scheduled meals and activities at our multicultural senior center.	60,000	
Humanity For Animals	http://www.humanityforanimalsus.org		EIN 27-1710278	PO Box 7273	Klamath Falls	WA	97601	USA	Animal Protection & Welfare, Animals	Humanity For Animals was founded on the belief that all animals have the right to live their lives free from commodification and suffering at the hands of human beings. We aim to bring awareness to the plight of farmed animals currently trapped in our food production system and to encourage people to leave animals off their plates.						
JOIN	http://www.joinpdx.com	(503) 232-7052	EIN 93-1090005	1435 NE 81st Avenue Suite 100	Portland	OR	97213	USA	Child Day Care, Children & Youth, Employment Preparation & Procurement, Homeless & Housing, Homeless Centers, Housing Expense Reduction Support, Human Services, Job Training	JOIN exists to support the efforts of homeless individuals and families to transition off the streets and into permanent housing.  We envision a community where homelessness, if it exists at all, is a short-term circumstance rather than a long-term or chronic condition.	Since hiring our first Outreach Worker in 1998, JOIN has helped over 5,000 men, women, and children transition out of homelessness and into the safety of permanent housing.	JOIN works with individuals and families sleeping on the streets in the City of Portland without regard to race, ethnicity, religion, age, age, gender, family status, sexual orientation, disability, or diagnosis.		JOIN's Outreach Services Program is designed to address the systemic need for greater service accessibility and to re-engage homeless people in positive processes of change. It is founded upon the efforts of 6 outreach workers who visit campsites, meal sites, and other places that homeless people gather out on the street. They develop personal relationships, provide ongoing support, and engage homeless people in processes of positive personal change that lead to successful and sustainable transitions off the street. Basic services such as showers, laundry, and personal storage are provided at JOIN's facility within the context of a barter exchange system. This system promotes individual dignity by allowing participants to earn and select the service they need. Additional services include personal hygiene items, sleeping bags and blankets, contact address and telephone number, mail, bus tickets, and Oregon ID.  Outreach services emphasize transitions out of homelessness and into permanent housing. Specifically this means helping to secure benefits or employment that will enable the payment of rent and supporting housing searches with funding for application fees and move-in deposits. We stay involved with people for at least 12 months and will provide limited funds for housing retention services for those people with whom we have been working.	JOIN houses an average of 500 individuals each year from 250 households.	
LEAD	http://		EIN 93-1306626	Po Box 583	Eugene	OR	97440	USA	Children & Youth, Youth Community Service Clubs							
Childrens Nursing Specialties Inc	http://www.nursingale.org	(503) 968-2401	EIN 59-3796997	9900 Sw Greenburg Rd Ste 290	Portland	OR	97223	USA	Health, Nursing	To provide in home professional nursing shift care to medically fragile children and young adults with the goal of maintaining family relationships and togetherness.				Children's nursing specialties served 22 children and young adults, many of whom have severely compromised respiratory and neuromuscular systems requiring highly trained and compassionate nursing services.		
Big Brothers Big Sisters Northwest	http://www.bbbsnorthwest.org		EIN 93-1303640	1827 Ne 44th Ave Ste 100	Portland	OR	97213	USA	Big Brothers & Big Sisters, Children & Youth	Big Brothers Big Sisters helps children reach their potential through professionally supported, one-to-one relationships that have measurable impacts.						
Legacy Mount Hood Medical Center	http://www.legacyhealth.org	(503) 415-5600	EIN 93-0591528	24800 Se Stark St	Gresham	OR	97030	USA	General Hospitals, Health	Legacy mount hood medical center (lmhmc) was founded in 1922 and is a community hospital in gresham, oregon with 115 licensed beds. Lmhmc offers a wide range of services including family birth, diagnostic services, cancer treatment, surgery and emergency services. Lmhmc is part of legacy health (legacy). Our mission:our legacy is good health for our people, our patients, our communities, and our world. We will work as a team to demonstrate our values:respect - treat all people with respect and compassion service - put the needs of our patients and their families first quality - deliver outstanding clinical services within healing environments excellence - set high standards and achieve them responsibility - be good stewards of our resources, ensuring access to care for all innovation - be progressive in our thinking and actions leadership - serve as a role model of good health and good citizenship				Lmhmc provides inpatient and outpatient healthcare services to the communities it serves. In support of its mission, lmhmc voluntarily provides medically necessary patient care services that are discounted or free of charge to persons who have insufficient resources and/or who are uninsured. During fiscal year 2014, lmhmc provided financial assistance on approximately 15,830 patient accounts (of which 20% received discounts totaling 100% of costs) and resulted in lmhmc incurring roughly $7,355,800 in uncompensated costs associated with this program. In addition to charity care, lmhmc provides services under various states' medicaid programs for financially needy patients, medicare beneficiaries and other government programs for which the cost of treating these patients exceeds the government payments received. During fiscal year 2014, lmhmc incurred approximately $6,560,600, $1,231,120 and $277,300 in uncompensated costs attributable to medicaid, medicare, and other government programs, respectively. Lmhmc also provides a variety of other community benefit activities such as medical education, donations to other charitable entities, research, and other health improvement services which totaled roughly $750,200 during fiscal year 2014. Lmhmc is part of legacy, which collectively provided over $63 million, $112 million, $90 million, and $1 million in uncompensated care attributable to its financial assistance, medicaid, medicare, and other government programs, respectively, in fiscal year 2014. In addition, legacy provided over $22 million in other community benefit activities during fiscal year 2014.		
Oregon Center for Public Policy	https://www.ocpp.org/	971-279-4732	EIN 93-1186075	6420 SW Macadam Avenue Suite 200	Portland	OR	97239	USA		The Oregon Center for Public Policy (OCPP) does in-depth research and analysis on budget, tax, and economic issues. Our goal is to improve decision making and generate more opportunities for all Oregonians.	In 2000, The Oregonian editorialized, what makes the Center valuable is not rhetoric, but economic analysis that adds up to a powerful argument.  On our 10th anniversary, The Oregonian added, the Oregon Center for Public Policy can claim to have improved public debate in Oregon  and the situation of thousands of Oregonians.  	Our research improved Oregons Working Family Child Care and Earned Income Tax Credits, putting more money into the pockets of low-income working families with children. This wasnt just the right thing to do. Investments in their well-being help children succeed academically, creating a foundation for a brighter future for them and our state.  	Our research has helped defeat ballot measures and other proposals that would have reduced tax revenues while skewing the tax system to benefit the wealthy at the expense of all other Oregonians. As a result, we helped prevent deep cuts in spending on education, health care, and other services essential to the economic security of Oregonians.  	Our research made the case for Oregons ballot measure that boosted the minimum wage and promised annual cost-of-living adjustments. Increasing the minimum wage is one of the most important things a state can do to lift working people out of poverty.  	Our research explained the positive impacts of ballot measures that raised income taxes on high-income Oregonians, set a new corporate minimum tax and new tax rate for the most profitable corporations. These measures prevented deep budget cuts without dampening Oregons economic performance.  	Our research has created momentum for a Basic Health Program. This could help Oregon move even closer to the goal of extending affordable, quality health coverage to all Oregonians.  	Our research and analysis about hunger and food stamp policies led to Oregon implementing a food stamp outreach effort and adopting policies so more Oregonians could qualify for food stamps.	Oregonians	Oregon	Using research and analysis to advance policies and practices that improve the economic and social opportunities of all Oregonians.		
Ella Curran Community Food Bank	http://		EIN 93-0797524	870 N Main St	Independence	OR	97351	USA								
Oregon C U R E	http://		EIN 93-1085488	1631 Ne Broadway 460	Portland	OR	97232	USA								
Sisters Of The Road	http://www.sistersoftheroad.org	(503) 222-5694	EIN 93-0748169	133 Nw 6th Ave	Portland	OR	97209	USA		Sisters of the road exists to build relationships and alleviate the hunger of isolation in an atmosphere of nonviolence and gentle personalism nurturing the whole individual, while seeking solutions to reach the roots of homelessness and poverty to end them forever.				Cafe hot meals/barter program: sisters of the road cafe provides low cost meals to people who are experiencing homelessness or have low incomes, monday through friday, 10:00 am to 3:00 pm. The cost of the meal is $1. 25, which may be paid for in cash, with the oregon trail benefit card, a meal coupon, or with credit earned by working through the hot meals/barter program in the cafe. Meals are served free of charge to those who are unable to pay and unable to work due to age, health, or parenting responsibilities. Through community partnerships, the cafe is able to serve the freshest food possible and become more sustainable in all of our practices.   sisters conducted outreach for the homeless bill of rights campaign with customers in the cafe, and hosted right 2 survive twice a month for organizing meetings in the evenings. We also hosted community dialogues twice a month. We trained 35 community members in public speaking and gave 20 presentations on the hbrc to faith, educational and community groups. Community members also spoke on the topic of sisters' organizational philosophies in a series called "speak your peace. "sisters participated in the hbrc legislative work group with our coalition partner western regional advocacy project (wrap) via conference calls and an in person retreat in august 2013. Sent 10 people to amp for trainings in campaign development, dismantling racism, gender justice, grassroots fundraising arts and culture. In addition, a temporary ad-hoc hygiene center work group met to shape the language for refocusing the issue of access to hygiene as a right rather than a hygiene center as an element of the bill that would require funding. We discussed the possibility of working with public health focused allies that would have the capacity to develop the hygiene center concept. The group committed to further, as-yet-unscheduled meetings. We held one community forum on hygiene centers. Sisters hosted the kickoff for the day of homelessness awareness on november 22, which brought more than 100 people through our doors. 10 customers helping, many more participating, over 100 people overall. Annual event organized by a coalition of faith groups, led by new city initiative, kicked off their event at 7:00 a. M. With breakfast at sisters.   work force development program: through the workforce development program, sisters of the road helps many to re-establish work routines while learning new skills. This program can be extremely important, especially after periods of financial instability, substance abuse, incarceration, mental health problems or an extended period of unemployment.		
Out To Pasture Animal Sanctuary	http://		EIN 74-3247113	Po Box 2315	Estacada	OR	97023	USA	Animal Protection & Welfare, Animals							
Portland Rescue Mission Ministries, Inc.	http://www.portlandrescuemission.org	503-647-7466	EIN 93-0429004	PO Box 3713	Portland	OR	97208	USA	Emergency Assistance, Homeless & Housing, Homeless Centers, Homeless Shelters, Human Services	We share the Word of God and demonstrate the love of Christ to transform the lives of homeless and addicted people.	Generous community support provides more than 330,000 meals a year and 82,000 nights of safe shelter to people in crisis.   Hundreds of men, women and children are touched by our short- and long-term recovery programs designed to meet a hurting person at their point of need and help them on their journey home.	Men, women and children suffering in homelessness, addiction, hunger and abuse.	Portland, Oregon and southwest Washington	Portland Rescue Mission grew from a volunteer effort in 1949 to an organization today with more than 80 staff, more than 3,000 volunteers, an annual budget of $10 million, and three facilities focused on serving the needs of homeless people in the Portland area.  The Burnside Shelter is a 35,000 square-foot landmark at the Burnside Bridge (111 W. Burnside) that gives hope to people in crisis. Generous community support provides food, shelter, 24/7 restrooms, clothing, showers, mail service and connection to area resources.  Our New Life Ministries for men and women provide a yearlong residential program with addiction recovery, life skills and spiritual growth. The Harbor (10336 NE Wygent) houses up to 42 men. Shepherd's Door (13207 NE Halsey) houses up to 62 women and children.  The Mission also includes our Drive Away Hunger car sales and donations program and Mission Bar-B-Que catering. Proceeds support all of our programs to give hope and restore life to hurting people in need.	330,000 meals, 82,000 nights of shelter, hundreds of lives touched by our recovery programs	
