name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs			Our Black HerStory Project
Mercy Center Inc	http://www.MercyCenterBronx.org	7189932789	EIN 13-3865634	377 E 145th St	Bronx	NY	10454	USA	Community Recreational Centers, Family Services, Job Training, Public & Societal Benefit, Sports	Mercy Center is a nonsectarian center for parents and families in the Mott Haven section of the South Bronx. Its mission is to provide educational, technical, human and supportive services to women, parents and other family members empowering them to reach their full human potential, lead meaningful lives, and be agents of change in their families and communities.		Women and Familes	Over 2,000 women, men and children benefit from our services each year.	Mott Haven	In fulfilling its mission, Mercy Center currently offers the following programs: Family Alternatives to Violence seeks to break the cycle of violence in family interactions and provide the skills that lead to healthy family interactions.  Parenting Courses, Family Weekends, and mentoring relationships are complemented by other programmatic initiatives, such as: a Teen/Young Moms and Dads Program that reaches out to young and teen parents and offers them the resources that will enable them to grow and develop in ways that are healthy and productive for themselves and their children; Family Development, a 2 year program for a limited number of families to empower them as individuals and family units; and Anger Management, a 12-week course designed to improve anger awareness and provide skills and techniques for appropriate expressions of anger. All programs are offered in Spanish and English. Employment - Yes! aims to enhance the job readiness of women in the area we serve by assisting them in obtaining meaningful employment and supporting their ongoing success in that employment.  It includes computer training, office skills, entrepreneurial basics, self-esteem building, resume writing and interviewing practice. Specific programs include: Keyboarding (Basic and Advanced); Business Training and Administrative Assistant courses (12-week programs that provide further training to high school graduates in basic grammar, computer basics (Windows, Word, Excel), resume preparation and job interview readiness); Intro to Word and Excel; Job Search Skills; Employment Counseling and Job Development  ESL Classes are offered in Beginning, Intermediate and Advanced levels and are complemented by the availability of language labs and the assistance of Conversation Partners, reading and computer labs/resources. CHAMPIONS  (Children Have A Major Place In Our Neighborhood Services) is a series of programs for the children of Mercy Center's families, presenting them with alternatives to the violence and negativity to which they are often subjected. They include After School program, Saturday Reading Enrichment, Girl Talk for middle school and high school girls, winter and spring and summer camp opportunities, seasonal celebrations and special events, all of which address the needs of children for a safe environment and an opportunity to advance their creative and educational potential through individual assistance and group activities. Social Services and Case Management is provided for women and men participating in Mercy Center programs who do not receive case management services from any other agencies.  This program, time-limited and goal/outcome oriented, provides an opportunity for participants to work one-on-one with a case worker to solve current problems and create a support structure that will prevent those problems from recurring. Personal Development opportunities include various support groups, Yoga, guidance in personal goal setting and achievement, spirituality support sessions in English and in Spanish, breathing exercises, events and workshops around the theme of non-violence, and comprehensive personal assistance.			
Congo Leadership Initiative	http://www.congoleaders.org		EIN 27-2381412	225 Delaware Ave. STE 10	Buffalo	NY	14202	USA	Children & Youth, Economic Development, International, International Development, International Economic Development, Microfinance, Youth Development Programs	CLI develops the next generation of leaders to be catalysts for peace and prosperity in the Congo.	CLI has empowered more than 100 young leaders in Kinshasa and is expanding quickly!	Youth		Democratic Republic of the Congo				
Smile Train, Inc.	http://www.smiletrain.org	1-800-932-9541	EIN 13-3661416	41 Madison Ave 28th Floor	New York	NY	10010	USA	Birth Defects & Genetic Diseases, Children & Youth, Children & Youth Services, Health, International, International Development	Smile Train is an international childrens charity with a sustainable approach to a single, solvable problem: cleft lip and palate.  Millions of children in developing countries with unrepaired clefts live in shame, but more importantly, have difficulty eating, breathing and speaking. Cleft repair surgery is simple, and the transformation is immediate. Our sustainable model provides training and funding to empower local doctors in 85+ developing countries to provide 100%-free cleft repair surgery in their communities.  We use the teach a man to fish model focusing on training local doctors to perform cleft repairs in their communities. Those doctors then go on to train other doctors creating a long-term, sustainable system.  Patients see their smile for the first time, parents cry tears of joy, lives and communities are changed forever.  As a result of our efficiency and with the support of our donors and partners around the world, Smile Train has transformed the lives of more than one million children by giving them the power of a smile -- that's roughly 350 surgeries a day and 128,000+ every year.  Join us and change the world one smile at a time.	Since its beginning in 1999 Smile Train has provided more than 1,000,000 free surgeries for children who would otherwise never have received it.	children suffering from cleft lips and palates	127,000+	85+ of the worlds poorest countries	Treatment program: free cleft surgeries - while our cost per surgery varies across the 85+ different countries where we have worked, our contribution per surgery can be as low as $250. This amount reflects the contribution per surgery that we provide our partner hospitals. They also cover a significant portion of each surgery as part of our cost-sharing agreement with our medical partners. Free medical equipment & infrastructure support - for many of our partners, access to safe operating rooms is their biggest barrier. Many struggle with old and inadequate equipment such as anesthesia machines and a lack of other equipment and supplies. Smile train provides financial support that has been used for everything from building new operating rooms to crucial safety equipment such as pulse oximeters and cleft surgical instruments and supplies including scalpels and sutures. All of these investments work to provide a significant number of incremental surgeries, but also result in safer and higher quality outcomes for children in need. Free ancillary treatment - every child with cleft needs more than just surgery. Often they also need orthodontic care and speech therapy. Where these services are available, we do everything we can to make them accessible to our patients. We pay for speech therapy sessions, orthodontic work and much more. Financial aid for poor patients - some of our patients are so malnourished they are not healthy enough to be safely operated on and are provided food for one to two weeks before surgery. Some of our patients are so poor they have no money to get to the hospital or to travel home after surgery. Sometimes they have no shoes and no money for food. We have special programs that give small stipends for these poorest of the poor. These expenses exclude $57,036,544 donated time and services from doctors, nurses, anesthesiologists, organizations, companies, other medical professionals and medical facilities and supplies.   public education program: every year, people in developing countries isolate or abandon their newborn babies because they don't know a cleft is a simple birth defect and not a "curse from god. " thousands of children with clefts are never brought to hospitals for treatment because their parents don't know clefts are treatable. Thousands of people in developing countries come to smile train for information on how to find a good cleft team and how to take care of their newborn babies with clefts. Through direct mail, websites, newspapers, radio, tv, public service announcements, documentaries, public relations, social media, etc. , we raise public awareness about clefts in developing countries and in the united states.   training program: smile train provides free training and education to cleft care professionals around the world. Access to education and training opportunities is critical to smile train's mission of empowering local medical teams to provide safe, high-quality cleft care. Over the past 15 years, we have provided support for more than 1,500 medical conferences and training opportunities to improve cleft treatment in the developing world. Smile train supports hands-on and workshop-based training opportunities to improve the skill level of cleft care professionals in the developing world. Recent initiatives have focused on supporting training programs for cleft care nurses and anesthesiologists, including the development of the smile train safe nursing care saves lives program in africa that has now been scaled and implemented for smile train partners around the world. Smile train is innovative in its approach to provide quality training to medical professionals worldwide. In the developing world, surgeons often do not have access to the latest innovative techniques and updated protocols for cleft surgery. Smile train partners have conducted over one million surgeries worldwide and lacking access to such resources can be a barrier to their continuing education and quality improvement. Smile train recognized this problem and since 1999 has distributed free virtual surgery training materials to 40,000+ medical professionals in 149 countries around the world. Smile train took this technology to the next level and recently released the first open-access, web-based, interactive virtual surgery simulator designed to enhance training for surgeons on how to repair clefts. The simulator links state-of-art surgical resources to the most remote parts of the world, and changes the paradigm of surgical training internationally. The simulator was distributed to 1100+ smile train partner surgeons worldwide. Since the launch of the simulator, smile train confirmed users of the system in more than 90 countries around the world, including places where over half the population lives below the poverty level and where the per capital annual income is less than $500 per year. Through this unique approach smile train has leveraged technology to change the course of medical education while also improving the lives of children born with cleft in the developing world.			
QSAC, Inc.	http://www.QSAC.com	(212) 244-5560	EIN 11-2482974	253 W 35th St 16th floor	New York	NY	10001	USA	Autism, Disabilities, Health	The mission of QSAC, Quality Services for the Autism Community, is tohelp individuals with an autism spectrum disorder to live meaningfuland fulfilled lives in our society. To accomplish this goal QSACdevelops and provides educational, habilitation, residential, support,and recreational programs to meet the needs of persons with autism andtheir families. QSAC aims to help foster and develop a personal senseof worth and dignity for all participants in our programs. Accordingly, QSACprovides and maintains the highest level of professional services thatutilize the most innovative therapeutic techniques. QSAC continuallystrives to develop a better public understanding of the needs ofindividuals with autism and to foster a feeling of responsibilityamong the public for the well being of the autism community. QSAC iscommitted to assisting our consumers in becoming independent andproductive members of their communities.		New York City and Long Island. About 75% of the families we serve are low income. Many of QSACs participants represent challenging cases referred to QSAC by the Boards of Education and New York State Office for People with Developmental Disabilities.			QSAC Residential programs feature bothIndividualized Residential Alternatives and Intermediate CareFacilities that offer home environments that foster independence,community integration, individualization and productivity.Each individual residing in a QSAC residence is provided withopportunities to participate in meaningful adult roles and developsocial relationships while at the same time emphasizing individualchoice.Each resident enjoys various recreational and social activities on aregular basis. Each resident is also involved in every facet of thehome environment, including cooking their own meals, shopping for foodand household supplies, and doing regular household chores.The goal of QSAC's residential programs is to create a nurturingenvironment that promotes personal growth and a sense of dignity ineach of our residents.			
Hadassah The Womens Zionist Organization Of America	http://www.hadassah.org	(212) 355-7900	EIN 13-6227614	40 Wall Street	New York	NY	10005	USA							Hadassah chapter members help to shape public policy through advocacy, and community service initiatives. Education services include women's health seminars, programs for families to learn jewish traditions and rituals, and hebrew language classes. Hadassah chapter members also help to shape public policy through advocacy work on issues, including u. S. Israel relations, women's health, separation of church and state, discrimination issues, and privacy. In communities nationwide, hadassah chapter members lead volunteer programs, including literacy tutoring, holiday visits to the frail and elderly, and domestic violence education.			
A Promise to Peru, Inc.	http://www.apromisetoperu.org		EIN 46-2753000	P.O. Box 595	Northport	NY	11768	USA	Eye Diseases, Blindness & Vision Impairments, Health, Philanthropy, Philanthropy, Charity & Voluntarism Promotion	A Promise to Peru, Inc., a 501(c)(3) non profit organization has established an annual mission that transports a portable full service eye and medical clinic and a portable operating room.  State of the art equipment is transported and used to diagnose and treat cataracts as well as other eye diseases.  Basic medical and eye care are provided to people of all ages in these remote areas.  Physicians and other health professionals from across the NY metropolitan area and around the United States donate their time and talents towards this effort.  They also mentor medical students from Stony Brook, Robert Wood Johnson and Columbia University, State University of New York optometry students, pharmacology, public health students and undergraduate students from various universities.  These students assist the physicians and nurses in their treatment of the hundreds of patients seen daily.	Since the non-profits inception, the medial team has accomplished: 	7,400 medical exams on patients in remote villages, orphanages and schools 	200 Portable ultrasonography examinations 	2,500 patients examined in the eye clinic  	Approximately 350 sight restoring surgical procedures performed  	4,700 pairs of glasses administered	the indigent population	Over 1,650 patients were evaluated in the medical and eye clinics, more than 1,000 pairs of prescription glasses and sunglasses were dispensed, over 50 ultrasound exams were performed and 85 eye surgeries were performed.  Many patients with very poor vision were once again able to see their world and be part of a community once again.   An increase of 68% more surgeries were performed this year compared to last years mission.	remote regions of the Sacred Valley, Peru, Guayaquil, Ecuador and other regions in need	an annual cataract surgical and medical mission, all health care is provided free of charge			
National Stuttering Association	http://www.WeStutter.org	800-(WeStutter) 	EIN 94-2420533	119 W 40th St 14th Fl Attn: Tammy Flores	New York	NY	10018	USA	Health, Human Services, Nonprofit Management, Rehabilitative Care	The NSA provides education and training to children and adults who stutter, parents, professionals and the general public to increase understanding of stuttering. The NSA has become a valuable resource for school SLPs with an increasing effectiveness of speech services in the schools they serve.					Newsletter & publications  organization of groups nationally: chapters & memberships  conventions, conferences, workshops  outreach, advocacy & public relations			
Fine Arts Orchestral Society Of Yonkers Inc	http://www.yonkersphilharmonic.org		EIN 13-2572642	Po Box 705	Yonkers	NY	10704	USA	Arts & Culture, Music, Recreation & Sports, Sports, Symphony Orchestras	Provide seniors and families with live free symphonic concerts. Offer aspiring young musicians the opportunity to be an integral part of a semi-professional orchestra where older musicians act as mentors to students.								
United Way of the Greater Capital Region	http://www.unitedwaygcr.org	518-456-2200	EIN 14-1364505	One United Way PO Box 13865	Albany	NY	12212	USA	Federated Giving Programs, Philanthropy	United Way improves lives and advances the common good in the Capital Region by mobilizing the caring power of donors, volunteers and community partners to give, volunteer and advocate for people in need within our region.		children, individuals and families meet their basic needs and access opportunities for a great education, a stable income and good health ... which are the building blocks we all need for a good life.		New York's Greater Capital Region	Uwgcr's community impact initatives are the heart of our mission "to advance the common good. " with everyone's help, uwgcr creates opportunities for a better life by focusing on meeting basic needs, a quality education that leads to a better job, which provides a stable family income, and good health.   donor designated contributions. Donors can choose to contribute to united way's community care fund, or a specific initiative as well as choosing to donate to other non-profit 501(c)3 agencies. There funds are collected and distributed quarterly to the agencies.   2-1-1 is an easy-to-remember phone number that connects callers to free information about health and human services avaliable in their community. United way's 2-1-1 northeast region activities cover 21 counties, are avaliable 10 hours a day, 7 days a week, or 24 hours a day online, with help avaliable in 240 languages. When people get assitance to overcome life's challenges, they are less likely to experience long-term problems that affect their families and community.			
Shepherd & Mother of Light for the Needy	http://www.care4needycopts.org/	+1 (516) 349-940	EIN 26-1178932	PO Box 939	Plainview	NY	11803	USA	Health, International, International Relief	Care 4 Needy Copts exists to raise public awareness in the US for the establishment of social, economic, spiritual, educational, and medical programs for the needy Copts in Egypt at least so that each needy family can meet its basic needs of food, shelter, clean water, electricity, and sanitation.	Since its beginning in 2007, C4NC has served nearly 68,000 families, mobilized over 1,000 volunteers, and supported over 6,000 school graduates.	needy Coptic families who fall below the poverty line		Upper Egypt	vocational programs, educational programs, financial support, medical service, relief services			
National Aphasia Association Inc	http://www.aphasia.org	(914) 949-1325	EIN 13-3411063	Po Box 87	Scarsdale	NY	10583	USA	Brain Disorders, Health, Specifically Named Diseases	The national aphasia association, inc. Was organized to provide educational assistance, support, and awareness to individuals and families with aphasia throughout the united states of america.					The national aphasia association, inc. Was organized to provide educational assistance, support, and awareness to individuals and families with aphasia throughout the united states of america.			
Arts & Business Council Inc.	http://www.artsandbusiness-ny.org	(212) 279-5910	EIN 13-2746599	1 E. 53rd Street 3rd Floor	New York	NY	10022	USA	Arts & Culture, Arts & Humanities Councils & Agencies, Arts, Culture & Humanities, Arts Services, Management & Technical Assistance	The Arts & Business Council of New York's mission is to stimulate partnerships between the arts and business that strengthen both sectors in New York.The Arts & Business Council of New York (ABC/NY) is an arts service organization committed to strengthening the management and infrastructure of nonprofit organizations throughout New York City, reaching hundreds of institutions and thousands of individual artists and arts administrators each year. ABC/NY provides services at low or no cost to nonprofit arts organizations of all sizes and disciplines.					Business volunteers for the arts & employee engagement program: arts & business council of new york is the leading connector of the arts and business sectors in new york city. Our matchmaking site and consulting services offer a variety of opportunities to create meaningful partnerships between arts and business through volunteering, arts-based training, and customized arts events. We provide tools and research that highlight the importance of arts and business collaborations, and the numerous benefits to businesses and professionals that utilize the arts as a tool for growth. Our services can help your company approach business and mission-driven goals, while simultaneously advancing the arts and its impact in the community.   diversity in arts leadership internship program- the arts & business council of new york's diversity in arts leadership internship program strives to strengthen and advance diversity in the arts management field and provides college students working towards careers in the arts or business sectors with a hands-on introduction to arts nonprofits in new york city. The arts & business council of new york matches undergraduate students from underrepresented backgrounds with energetic host arts organizations and business mentors, who guide the students' personal and professional growth throughout the summer. Students selected to participate in dial become integral members of the arts organizations in which they are placed and engage with dial alumni and the staff of both the arts & business council of new york and americans for the arts, as well as attend a wide array of cultural events in new york city. Students gain invaluable exposure to dynamic leaders across a variety of arts disciplines and businesses and participate in professional activities and projects that prepare each one for his or her career, better equipped to enter the workforce as a diverse and creative future leader.   professional development- abc/ny offers various workshops, webinars, and online resources that educate the arts and business communities on the positive impact of partnering together. Professional development offerings cover a variety of themes and are applicable to all arts disciplines, including volunteerism, employee engagement, diversity, and leadership development. The programming not only features success stories as examples but also best practices for attendees as they return to their arts organization or business.			
Italian Greyhound Rescue Foundation Inc	http://www.igrescue.com/		EIN 46-0480347	Unlisted	Lima	NY	14485	USA	Animal Protection & Welfare, Animals	To find homes for rescued Italian Greyhounds and to educate the public on the care and training required by this breed.		Pure-bred Italian Greyhounds of all ages.	500-800+ dogs re-homed annually.	Entire USA	Finding homes for rescued italian greyhoundseducating public on care and traing required for this breedmaking dogs available for adoption			
Storahtelling Inc	http://www.storahtelling.org	646 395 4350	EIN 51-0444205	344 East 14th St	New York	NY	10003	USA	Arts & Culture, Theater	Storahtelling is a pioneer in Jewish education via the arts and new media. Through innovative leadership training programs and theatrical performances, Storahtelling makes ancient stories and traditions accessible for new generations, advancing Judaic literacy and raising social consciousness.				International				
National Urban Alliance For Effective Education Inc	http://www.nuatc.org	(516) 802-4192	EIN 11-3481322	33 Queens St Ste 100	Syosset	NY	11791	USA	Children & Youth, Education, Educational Services	To substantiate in the public schools of urban america an irrefutable belief in the capacity of all children to reach the highest levels of learning and thinking demanded by our ever-changing global community. Our focus is teacher and administrator quality through professional development which incorporates current research from cognitive neuroscience on learning, teaching and leading. We partner with school districts to support the building of their capacity to advocate community-wide responsibility for realizing the learning potential of its children.					Buffalo:the goal of the program in buffalo is to transfporm chronically underperforming schools into learning environments where all students demonstrate high intellectual performances designed to enable them to meet and exceed the requirements of the common core state standards. It is a practical, engaging, research-based program that reduces the persistent achievement gap exhibited in chronically underperforming school. Student potential ans student performance using strength-based approach transforms leadership and teaching through high operational practices that accelerate achievement for all students. It uses a comprehensive framework to turn around underperforming schools that includes developing the instructional leadership and instructional capacity of the district and the individual school. The program consists of an instructional assessment, school site visits, leadership training and student invoices.   robbinsdale:nua continues in the areas of professional development and instructional leadership with high operational practices of the pedagogy of confidence. The partnership goals are to:- build positive relationships between and among students and teachers- amplify student voices- activate sudent strenghts- integrate prerequisites- situate learning in the lives of students- focus on high intellectual performance- provide enrichment  groton:the goal of the partnership is to provide a series of research-based professional development activities for teachers and administrators that are designed to build a common set of understandings regarding learning and teaching, to introduce powerful pedgogy that transforms learning, and to develop a district-wide set of expectations and experiences, a common language of learning and teaching and a shared vision that propels learning. The project consisted of an instructional assessment, ten site vists for the school and a student voice component.			
Bond Street Theatre Coalition Ltd	http://www.bondst.org		EIN 13-3036753	2 Bond Street	New York City	NY	10012	USA	Arts & Culture, Civil Rights, International, International Cultural Exchange, International Development, International Exchange, Theater, Women, Womens Rights	The Bond Street Theatre Coalition, a non-profit, 501(c)(3) corporation, was founded:  - to bring crucial information on health and rights issues to people in need through entertaining mobile theatre plays;  - to further cross-cultural understanding by initiating community arts projects in a disadvantaged communities globally;  - to use theatre to uplift, heal and educate women, youth and children in need; - to stimulate other artists towards these ends through collaborations,  exchanges, and creative associations with artists and organizations around the world.	Since 2002, brought live theatre for the first time ever to over 100,000 people in Afghanistan. Reached 75,000 refugees in 7 refugee camps with uplifting programs during the war in Kosovo. Our handwashing show reached 2,500 Burmese children in rural villages and monastery schools. Reached 3,000 adults and children in Haitian tent camps with our inspiring shows and workshops for women, children, and youth. Our Afghan-Indian-US project reached 11,000 people in slums, schools, urban centers, and villages with a show about childrens rights. Created the first professional womens theatre troupes in 4 provinces in Afghanistan, informing 20,000 women about their rights. In Jerusalem, our program brought 60 Arabs and Jews working side by side to create street pageants about peace. Aided more than 50 NGOs working for peace and social improvement on four continents in the last decade.	improve the lives of women, men and children.	men, women and children in Afghanistan and Myanmar.	areas of conflict and poverty worldwide	Bond Street Theatre initiates theatre-based approaches to education, conflict resolution, empowerment and healing in areas of conflict, disaster and post-war recovery, reaching vulnerable populations through mobile performances, trainings, and collaboration with local organizations.			
Kehilat Hadar	http://www.kehilathadar.org		EIN 13-4183633	P.O. Box 991 Planetarium Station	New York	NY	10024	USA	Judaism, Religion	Kehilat Hadar is an independent, egalitarian communitycommitted to spirited traditional prayer, study and social action. Wemeet for Shabbat morning services and some Friday nights and offerholiday services and educational programs throughout the year.				Upper West Side, Morningside Heights, Upper East Side	Hadar celebrates Shavuot with an retreat that includes spirited prayer, all-night learning and camp activities.			
NY Unlocking Futures inc.	http://www.nyunlockingfurtues.org	(212) 791-4927	EIN 13-3533428	25 W. 36th st 8th floor	New York	NY	10018	USA	Adult & Child Matching Programs, Children & Youth, Children & Youth Services, Youth Development Programs	The mission of New York Youth At Risk, Inc. (YAR) is to reduce the at-risk behavior of youth and to enhance the effectiveness of the adults who live and work with them.  YAR has found that youth take action that correlates with the future they see for themselves.  Thus, YAR aims to provide youth with the skills that are sufficient to change their perspective from one of resignation to one of possibility and opportunity.		empower individuals aged 8-80	over 300 families by reaching a total of 1660 children throughout New York City	NYC	The Unlocking Futures programs have been shown to substantially and positively impact individuals aged 8-80, who seek to move to the next step in their careers, relationships or general well-being . The program participant may be at risk in some area or may simply want to experience a breakthrough to move to progress. Unlocking futures will design and tailor a service or program that meets your or your organizations needs. Courses can be co-ed or single gender			
Stupid Cancer	http://stupidcancer.org	212-619-1040	EIN 20-2027782	40 Worth Street Suite 808	New York	NY	10013	USA	Arts & Culture, Bands & Ensembles, Cancer, Health, Patient & Family Support	Empower young adults affected by cancer by (1) building community, (2) improving quality of life and (3) providing meaningful survivorship	Time Magazine Best 50 Website FOX News Top 10 Healthcare Blog Stay Classy Award, Most Innovative Use Of Social Media Largest support community for the young adult cancer movement	Young adults, 18-39 and anyone who cares about supporting cancer patients in their late teens, 20s and 30s.	250,000	Worldwide	OMG! Cancer Summit, The Stupid Cancer Forums, The Stupid Cancer Show, Stupid Cancer Boot Camps, Meetups, online social networking, content curation and aggregation + public awareness efforts.			
Dancewave, Inc.	http://www.dancewave.org	718-522-4696	EIN 11-2726558	45 Fourth Avenue	Brooklyn	NY	11217	USA	Arts & Culture, Arts Education, Children's Museums, Dance	Dancewave brings together a diverse community of young people through dance education and performance. We believe that dance provides a forum for meaningful, positive exchange between kids of all backgrounds and cultures. Since its inception in 1995 by Diane Jacobowtiz, Artistic/Executive Director, Dancewave has created programs that are challening and artistically substantial, and which address young peoples needs for individual achievement and group identity. Our pre-professional dance education and performance training programs offer young people a rare combination of high-level artistic integrity, educational rigor, and nurturing support.Our programs: *Expose students to various techniques and styles within a genre in order to develop the versatility required of professional dancers. * Ingrain a sophisticated knowledge of dance history by exposing students to a wide spectrum of dance artists at various stages in their careers.*Create a nurturing and challenging environment for every child and teen who demonstrates a strong inclination to develop his or her technique and performance skills.* Approach students as artists in the making.	Dancewave was established in 1995 and is currently working with approximately 3,700 children and teens each year through our afterschool, in-school, ensemble, summer, festival, and performance programs.	NYC youth ages 0-18		New York City	Dancewave is currently working with approximately 3,700 children through our afterschool, in-school, ensemble, summer, festival, and performance programs. We are a vibrant employer in the arts community, hiring some 70 freelance teaching artists annually.  Dancewave currently runs six programs: (1) D-Wave in Motion, which brings dance residencies and workshops to NYC public schools; (2) The School at Dancewave, which provides afterschool dance classes for ages 0-18; (3) Summer Dance Intensive, two two-week programs offering teens up to five classes daily with leading dance professionals; (4) Kids Cafe Festival, a 16-year-old, citywide festival showcasing works by and for young people; (5) the Step Up Initiative, a scholarship program that provides young dancers from disadvantaged backgrounds with financial aid, dance training, college counseling, and workstudy experience; and (6) Dancewave Company I & II (formerly Kids Company I & II), and Young Movers Ensemble, our pre-professional performing companies for youth.   Each semester, Dancewave Company I & II (ages 12-18) train with and perform groundbreaking work by renowned choreographers such as Garth Fagan, Twyla Tharp, Mark Morris, Paul Taylor, Susan Marshall, and Bill T. Jones. The Dancewave Company has performed at such venues as the Governor's Arts Awards, Jacobs Pillow, the Met, the New Museum, the Kitchen, and the Brooklyn Art Museum. Most importantly, this program has a lasting impact on kids lives: 100% of Dancewave Company members have been accepted into college, many with full scholarships.			
Camp Good Days & Special Times, Inc.	http://www.campgooddays.org		EIN 22-2329654	1332 Pittsford-Mendon Rd PO Box 665	Mendon	NY	14506	USA	Camps, Cancer, Health, Recreation & Sports, Sports	The mission of Camp Good Days and Special Times is to enrich the lives of children, adults and families dealing with cancer, sickle cell or other life challenges. There is NO COST to participants for any program and no geographic limitation.	What was started to provide a residential camping experience for Teddi and 62 other children with cancer from Upstate New York (21 from Rochester; 21 from Buffalo; 21 from Syracuse) in 1979 has grown to become one of the largest organizations of its kind in the country. Many of the programs and services started right here at Camp Good Days have been used as models for cancer treatment centers and organizations throughout the United States and Canada.   Since its inception, Camp Good Days has served more than 42,000 campers from 22 states and 25 foreign countries. Camp Good Days maintains accreditation from the American Camp Association;and has been inducted into the Safety 1st Hall of Fame by Markel Insurance Company.  This past summer, over 1500 children, including children with cancer from several foreign countries, participated and experienced the magic of Camp Good Days firsthand at our own beautiful Recreational Facility, located on the shores of Keuka Lake	Anyone in need of Courage.		Worldwide	http://www.campgooddays.org/Programs/			
Surgeons of Hope CDE Foundation Inc	http://www.surgeonsofhope.org	212-771-5600	EIN 13-4166264	One Penn Plaza, 5th Floor Suite 400	New York	NY	10119	USA	Health, Heart & Circulatory System Diseases & Disorders, Pediatrics, Surgical Specialties	We envision a world where every child has access to state-of-the-art, modern cardiac surgery regardless of the accident of country of birth or family circumstance.  We believe that care and training at a local level will lead to local autonomy and have a lasting impact on the communities we serve.  Performing surgery in a child's own environment, culture, and language, with his or her family nearby, is the most progressive and cost-effective way to cure these children.  Where needed, we build a new, modern hospital to ensure sustainability.	We have built a new Pediatric Heart Center in Managua, Nicaragua, adjacent to La Mascota Children's Hospital.  Today, with a capable trained staff, the hospital is growing into serving the surgical and diagnostic needs of Nicaragua's children at no cost to the families.  Since its opening in 2013, the hospital has provided operations to over 750 children.  Our volunteer surgical/training teams continue regular visits to continue professional development of the local team.        In Costa Rica, we are beginning Phase 2 of a 3-phase plan toward establishment of a strong cardiac department at the National Hospital in San Jose.  Phase 1 saw the set-up of workable administrative structure; Phase 2 will see intensive training of the medical staff in provision of the highest quality care; and Phase 3 will fine-tune the training as well as implement telemedicine capabilities in the region.	the poorest children in countries where the need is greatest	250 infants and children	Latin America	critically needed pediatric surgical interventions to cure congenital and acquired heart diseases in infants and children			
Ezer Mizion	http://www.ezermizion.org	718-853-8400	EIN 13-3660421	1281 49 Street	Brooklyn	NY	11219	USA	Arts & Culture, Health, Health Support, Humanities, International, International Development, Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Ezer Mizions mission: to assist the functionally challenged, mentally challenged and those undergoing sudden, traumatic crises relating to medical and health issues which preclude optimal coping.  Appropriate equipment, food disbursement, intervention, mentoring and social services are provided by professional experts and trained volunteers to alleviate and attempt to eliminate the said challenges for those in need among Israels population, enabling them to maintain their dignity, independence and improve their quality of life .   Ezer Mizion also attempts to prevent crises by creating awareness and providing support groups for high risk groups among Israels population.   Ezer Mizions International Bone Marrow Registry collaborates with transplant centers around the globe by facilitating transplants for patients whose only chance of survival is a bone marrow transplant.   Sincere caring and professionalism form the core of these services, making Ezer Mizion a source of healing, support and comfort for many thousands throughout Israel and beyond.		cancer patients in need of bone marrow transplant worldwide; cancer patients, mentally ill, special child, elderly, handicapped in Israel	650,000	International/ Israel	Contributions to ezer mizion in israel which provides medical and other social services to thousands of individuals.   donations to organizations which use funds to assist needy and sick individuals.			
Cancer Research Institute, Inc.	http://www.cancerresearch.org	800-992-2623	EIN 13-1837442	One Exchange Plaza, 55 Broadway Suite 1802	New York	NY	10006	USA	Cancer, Cancer Research, Health, Medical Disciplines Research	The Cancer Research Institute (CRI) is the world's only nonprofit organization dedicated soley to advancing immunological research leading to the development of immune system-based treatments for cancer. CRI provides funding and coordination to support all levels of research in immunology and tumor immunology, from basic studies to clinical investigation of promising new cancer treatments.	CRI has conducted more than 40 early stage clinical trials of unique cancer vaccines, and has made significant contributions to our knowledge of the human immune response to cancer immunotherapy. CRI researchers have also identified numerous cancer cell markers that are now being tested as targets for immunotherapy. CRI has empowered academic investigators around the world to conduct important clinical discovery, accelerating the translation of new knowledge into treatments for cancer patients.	Under the leadership of our Scientific Advisory Council, which includes 4 Nobel Laureates and 28 members of the National Academy of Sciences, CRI funds academic research in immunology and tumor immunology at universities and health research centers around the world.	Approximately 300 scientists and clinicians in 15 countries	National, International	Clinical Research: *Cancer Vaccine Collaborative, a joint program with the Ludwig Institute for Cancer Research, that supports a network of 19 academic clinical trial sites and immune monitoring laboratories around the world conducting early phase clinical trials of the most promising cancer immunotherapies; *the Cancer Immunotherapy Consortium, an association of more than 70 pharmaceutical & biotech companies and academic institutions engaged in late-stage product development that work together to shape the emerging field of immuno-oncology; *Cancer Vaccine Acceleration Fund, a unique venture philanthropy model designed to partner our clinical trials network with companies and their promising vaccine reagents.  Basic Research & Training: *Investigator Award program, providing 4 years of bridge support to newly established laboratories at universities; *Irvington Fellowship Program, provides 3 years of postdoctoral fellowship funding to talented scientists working under the mentorship of leading immunologists; *Predoctoral Pathways program, offering 4-year grants to universities to establish tumor immunology educational curriculum for graduate students.			
