name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Programs	Direct beneficiaries per year	Geographic areas served
The Evergreens	http://www.evergreens.org	(856) 439-2030	EIN 21-0634485	309 Bridgeboro Rd	Moorestown	NJ	08057	USA	Human Services, Seniors, Supportive Housing for Older Adults	In the spirit of its episcopal tradition, it is the evergreens' mission to enhance the individual, social, emotional, spiritual and physical well-being of its diverse community.			Expenses incurred in providing a full continuum of services to elderly individuals including but not limited to residence, dietary, intellectual stimulation and activity, and health care. Organization's community benefit statement - in 1919, the evergreens was founded in bound brook, n. J. As a nonprofit retirement home through a generous gift to the episcopal diocese of new jersey by the henry lamonte family - a home on a five-acre site that accommodated 15 residents. When the evergreens moved to moorestown in 1949, the community expanded services to include long-term nursing care. The new facility consisted of 32 acres and a large home, now known as matthews hall, which remains at the center of the community's campus. This home was built in the 1920s for the johnson family, founders of the victor talking machine company, the predecessor of rca. The new facility provided rooms for 20 residents and an eight-bed infirmary. Through the years, buildings have been added, upgraded and expanded throughout campus to make the evergreens the community it is today. In 1990, the evergreens became an independent entity; however, it continued to maintain a chapel affiliated with the episcopal diocese of new jersey. In the same year, the community's tradition of delivering quality care progressed to yet another logical level of growth - offering active older adults an independent lifestyle through the construction of 200 independent living units (ilus) and officially becoming a continuing care retirement community (ccrc). The evergreens' campus continues to evolve and grow through the community's campus renewal project. Culminating years of strategic planning, this project calls for a multi-phase construction and renovation project - which began with the completion of the renovations to the community's kitchen/dining areas in 2010 and continued in 2012 with the grand opening of a new, state-of-the-art health care center. In 2014, the renovations commenced to update the community's ilu corridors - two floors have been finished, and the balance of work on the remaining hallways is due to be completed soon. Future plans, as outlined under the campus renewal project, include upgrades to the community's independent living common areas and recreational activities/services spaces. The evergreens strives to provide the highest quality service and care to residents, ensuring that residents can enjoy their individual lifestyles with dignity and respect in the most gracious of environments. With three lifestyle choices within one community - independent living, assisted living and skilled nursing care - residents at the evergreens are secure in the knowledge that they will receive quality health care, regardless of their changing needs. The evergreens works hard to provide the highest quality of care to its residents and has achieved this distinction consistently year after year. The community prides itself on being accredited by the commission on accreditation of rehabilitation facilities/ continuing care accreditation commission (carf-ccac), an honor held by a limited number of the nation's top ccrc's. In 2012, the evergreens was reaccredited for five years. Likewise, the community has been recognized numerous times by consumer reports in its nursing home monitor list. The community has also continued to maintain the highest possible rating - "five stars" - from the federal centers for medicare & medicaid services for the past six years, placing the community on the cms "honor roll" list. Among other awards and recognition, the evergreens has been named a best nursing home by u. S. News & world report and one of the best of burlington county by the burlington county times, both for multiple years. Additionally, the evergreens received a gold award from national mature media in 2014 for marketing direct mail design and was recognized as one of sj magazine's best of south jersey readers poll honorees in 2014.		
Autism New Jersey Inc	http://autismnj.org	(609) 588-8200	EIN 22-2129739	500 Horizon Dr Ste 530	Robbinsville	NJ	08691	USA	Autism, Disabilities, Health	Autism new jersey is a nonprofit agency committed to ensuring safe and fulfilling lives for individuals with autism, their families, and the professionals who support them. Through awareness, credible information, education, and public policy initiatives, autism new jersey leads the way to lifelong individualized services provided with skill and compassion. We recognize the autism community's many contributions to society and work to enhance their resilience, abilities and quality of life.			Autism new jersey provides information referral and advocacy, conferences, outreach, and clinical advocacy services for autistic children and adults throughout new jersey. In addition to state government grant revenues 463,502, program expenses are funded by a combination of donations from the public, autism new jersey membership fees and net revenues from fund raising events.		
Martin Luther King Youth Center Inc	http://	(908) 526-3688	EIN 22-2043677	1289 Prince Rodgers	Bridgewater	NJ	08807	USA	Children & Youth, Youth Centers & Clubs	The martin luther king youth center, inc. Is a not-for-profit organization that provides safe, affordable and educationally-oriented after-school and summer school child care services to children who live in bridgewater, new jersey and surrounding communities. The center serves students from all ethnic backgrounds from ages five through thirteen, and furnishes transportation, certified instruction and nutritious meals to its program participants.			The martin luther king youth center, inc. Is a not-for-profit organization that provides safe, affordable and educationally-oriented after-school and summer school child care services to children who live in bridgewater, new jersey and surrounding communities. The center serves students from all ethnic backgrounds from ages five through thirteen, and furnishes transportation, certified instruction and nutritious meals to its program participants.		
EL PRIMER PASO LTD	http://	(973) 361-0880	EIN 22-2124259	29 Segur St	Dover	NJ	07801	USA	Adult Education, Education	The mission of el primer paso ltd is to serve the community by providing high quality pre-school programs for dual language learners; provide affordable childcare for working dual language families; as well as provide adult english language education.			Provided high quality pre-school programs for dual language children  provided training, monitoring, and referral services for family day care providers.   provided adult esl education - english as a second language - speaking, writing and reading basic skills		
The Good People Fund	http://www.goodpeoplefund.org	973-761-0580	EIN 26-1887249	384 Wyoming Ave	Millburn	NJ	07041	USA	Human Services, International, International Development, Personal Social Services, Philanthropy	The Good People Fund searches for and supports people who work quietly and diligently, often below the radar screen and with shoe-string budgets, to better our world in untold numbers of ways. It is to these people, small entities or individuals whose efforts dont benefit from glossy brochures or promotions, or help from adequate staff or large organizational structures, that we direct our attention. Their success is our mission  by making them and their work visible and viable to others who will provide needed funding through tzedakah that is given in a cost-effective and meaningful way.			The good people fund was formed for charitable and educational purposes, providing both financial and operational support to small grass-roots programs in the united states and in israel. These programs are devoted to serving others in need. The good people fund assists programs to become sustainable and independent, and to advise individuals, students, teachers and donees ways to improve and maximize the use of financial and other resources and how to utilize other peoples talents on behalf of repairing the world.   provides charitable and educational assistance to those that better our world in numerous ways by providing both financial and operational support to small, low-overhead grass-roots programs and organizations that generally "fly below the radar screen" who are devoted to serving others in need in both the united states and israel. Common to all is the presence of an individual or small group who have recognized a problem and have dedicated themselves to resolving it.		US and Israel
Samaritan Healthcare & Hospice Inc	http://www.samaritanhealthcarenj.org	(856) 596-1600	EIN 22-2344036	5 Eves Dr Ste 300	Marlton	NJ	08053	USA	Counseling, Health, Health Care, Home Health Care, Mental Health	Samaritan is the preeminent provider of hospice and palliative (comfort) care, grief support, education, advocacy, and other life-enhancing services. We provide unparalleled services with respect, dignity and compassion for all people affected by serious, progressive illness or grief, contributing to the health and well-being of our patients, their families and our community. Guided by a deep sense of commitment and the ethic of human service, we provide care that is both life-giving and live-receiving through the incorporation of the philosophy, art and science of caring. Samaritan is an independent not-for-profit, non-sectarian organization serving people in atlantic, burlington, camden, gloucester and mercer counties who are coping with serious illness or grief.			Home/community care - people confronting a serious progressive illness are often plunged into unfamiliar, confusing and stressful situations. Spouses, adult children, and other caregivers are suddenly faced with medical decisions and financial and legal responsibilities for which they are often untrained and unprepared. These stresses can deprive them of the one thing they need most: time together. Samaritan home/community hospice care helps people find the time they need to focus on what's most important at this stage of life: the friends and family they want to be with, the feelings they want to share, and the words they need to say. The goal of samaritan's care is not to cure the disease, but to control its effects so that patients can spend their last days with dignity in the place where they live (home, assisted living or nursing home) and remain as comfortable, alert and pain-free as possible. Considered the compassionate model for people facing life-limiting illness or injury, the hospice philosophy offers a team-oriented approach to expert medical care, pain management, and emotional and spiritual support expressly tailored to each patient's and family's needs and family needs and wishes.   inpatient - the samaritan inpatient hospice center provides the comfort of short-term continuous samaritan care in a home-like setting for paitents whose pain, symptoms and special needs require a more acute level of hospice care than is recommended within the home. While in the inpatient center, you and your loved one will receive from samaritan staff the same services that you would in a home setting - plus the more acute 24-hour care your loved one now requires. The center's welcoming environment encourages families and friends to feel "at home" while spending quality time - whenever and for as long as they wish. Family members of all ages may visit 24 hours a day; family pets are welcome by appointment. A sleeper recliner in each bedroom allows a family member to spend the night at bedside comfortably.   as stated in samaritan's mission summary and our respective exempt purpose achievements, an important part of our comprehensive service to our community is the compassionate support for the grief that our patients and families experience. Samaritan provides such support on a regular basis through its center for grief support, where we provide bereavement, counseling, crisis intervention/debriefing, support groups and community outreach programs - all offering hope for tomorrow for those grieving today. Samaritan similarly serves the community through its transitions program, which serves community members who are coping with life-changes caused by their advanced illness but who are not yet ready for hospice care.		
Mary Queen of All Nations Missionary Alliance	http://www.maryqueenofallnations.org	973-361-5824  	EIN 22-2598337	8 Reservoir Ave	Dover	NJ	07801	USA	Disaster Aid, Education, Human Services, International, International Development, Public Safety, Disaster Preparedness & Relief	1. Support the poor and needy in the world thru established missionaries, e.g. Helping rebuild lives in disaster areas like the Philippine typhoon. Help them improve nutrition, sanitation, shelter, medications, etc. 2. Help the poor and needy stand on their feet thru self-sufficiency projects, e.g. Animal raising like pigs, goats, etc. Income producing such as sewing, carpentry, agriculture, etc. 3. Provide educational support to rise above poverty. 4. 100% of donations used for the poor. No salaries taken. Administration and operational expenses shouldered.	In 29 years, in several countries in Asia, South America, Africa, India, we have provided EDUCATION to thousands of seminarians and secular students who are now ordained priests serving the Church in various capacities and secular students who have graduated in their chosen careers, now have jobs that supports their families, and able to help siblings go to school and some were blessed to be able to go abroad. Hundreds of villages, communities, parishes, families and individuals are able to rise above poverty, now living a decent, better lives because of the self-sufficiency projects we provided to them, raising pigs, goats, buffaloes, lambs, cows, sheep, chickens, sewing machines, agricultural - electrical -  carpentry tools, etc.  Water tanks and land for agriculture helps the coffee plantation that supports the orphans. The Water Mineral Sheds provided the people with clean water. Water pumps provided water for drinking as well as for irrigation. Chapels, churches, grottos built provided house of worship for the people who otherwise have no place to worship. Toilet facilities provided to schools, parishes and families for sanitation and healthy living. Medical and emergency assistance provided to those victims of disasters such as floods, typhoons, earthquakes. School supplies, basic necessities such as nonperishable food, soaps, toothbrushes, etc. have been provided to hundreds of families. Rice Subsidy provided to hundreds of families. Prison Ministry to hundred of prisons, jails and rehabilitation centers. Help to orphanages and homes for the aged were also provided. Medical equipments, chairs, cabinets, medicines, provided to medical dispensaries in rural areas. Many other assistance provided as well, too numerous to mention here.   At the present, in the aftermath of typhoon Haiyan/Yolanda in the Philippines, we are assisting hundreds of families with food, water and basic necessities. We are also helping rebuild the houses, convents and schools that had been destroyed.	the poorest of the poor rise above poverty, have better housing, better education, better health and be able to stand on their own and support their own families	education to both religious and secular students, self-sufficiency projects such as rearing of animals like pigs, goats, rams, sheep, buffaloes, cows, chickens. etc. Transportation projects such as tricycle vans, motorcycles and boats. Self-sufficiency projects such as sewing machines, agricultural tools, knitting machines, carpentry tools. We provide them with housing, medical needs, sanitation by providing them with toilets, emergency funds, beds and bed sheets, tables and chairs, medical equipments to Medical Dispensaries, land and water tanks for irrigation for coffee plantations to support orphans, etc. We help built and/or repair houses, chapels, churches, water mineral sheds. We provide water by providing water pumps and water tanks. We have provided a generator that provided electricity for the whole village. We have sent packages containing basic necessities such as clothing, non-perishable food, soaps, toothpaste,etc, and many more projects too numerous to mention them all.		
Partners in Torah	http://www.partnersintorah.org	(973) 221-3650	EIN 27-0000414	228 Aycrigg Avenue	Passaic	NJ	07055	USA		Partners in Torahs signature phone-study program offers Jewish adults of all backgrounds across North America a cost-free learning opportunity to discover Judaismits culture, history, and traditionsat their pace and their schedule. Jewish men and women with an interest in acquiring specific skills (ex: Hebrew reading or Talmud) or in building their Jewish knowledge, are matched, one-to-one, with a carefully selected personal Torah trainer or mentor, for up to an hour-per-week of over-the-phone study and discussion. Participants can choose any topic, including Hebrew, Jewish philosophy, historyor a subject of their choosing. Several different programs include www.PartnersInTorah.org  | www.KoheletFellowships.com | www.MyKaddish.com  | www.Jewpiter.com					National
Spring Reins of Life Inc.	http://www.SpringReinsofLife.org	917-275-7765 (SR	EIN 45-2531926	PO Box 5311	Clinton	NJ	08809	USA		To provide a safe, healing and empowered path to peace, positive growth and self-guided recovery for those suffering trauma and loss with the assistance of horses as our guides.  Spring Reins of Life is dedicated to promoting psychological healing, emotional well-being and personal growth using the skills of mental health professionals and the assistance of horses.  For thousands of years there has been a unique bond between humans and horses, it is our mission to enhance and leverage this bond to reach those individuals who are suffering from the effects of trauma, loss, drug addiction and/or the combined stressors and obstacles set forth by either circumstance or societal confines.  Spring Reins of Life is an EAGALA Model certified program which provides EAP and EAL services to at risk / high risk youth, military veterans with PTS/TBI and their families, bereaved children and addiction recovery.  All of our services are provided for no cost or very low cost based on public and private tax deductible donations awarded to our programming.		At Risk / High Risk Teens, PSTD Veterans and Families and Children in Bereavment	EAP (equine assisted psychotherapy) under the international EAGALA Model. Spring Reins of Life is the first program in NJ to earn the "EAGALA Military Services Provider Certification" and also was just awarded a pilot contract from the state to work with the NJJJC. Ground based interactions with horses with the guidance of certified and licensed mental health professionals can provide an alternative and experiential (solution focused) way to resiliency in trauma without having to "talk about it".	180 PTSD hospitalized veterans with PTSD, 58 at risk teens from New Jersey, and 15 young children who are grieving a loss in their life. We have interest to do much more but seek the funding to continue and expand this work.	Central New Jersey
Loving Grace Ministries Inc	http://www.lovinggrace.org	(973) 729-6203	EIN 52-1160024	6 Marian Rd	Sparta	NJ	07871	USA	Protestant, Religion	Religious teachings & ministries			Religious teachings, tapes, literature, compact discs, religious seminars, retreats, pilgrimages and media ministries		
Pound Animal Welfare Society Of Montclair Inc.	https://www.pawsmontclair.org	(973) 746-5212	EIN 22-2133963	PO Box 149	Montclair	NJ	07042	USA	Animal Protection & Welfare, Animals	PAWS (Pound Animal Welfare Society of Montclair, Inc.) is a non-profit, 501(c)3 charitable organization dedicated to the humane treatment of animals and finding homes for stray and abandoned cats and dogs in our community.	In our 40+  years of service to the community, PAWS has developed much expertise and a wonderful network of caring people, enabling us to be a highly responsive and flexible animal rescue group. We strive to answer every call and email in a timely manner, and offer guidance and alternatives to keep animals in their home, or when necessary, find a new home.  We currently maintain two small sanctuaries  one for dogs and one for cats  which, along with our strong fostering network, enable us to continue sheltering a limited number of animals in need. At any given time, we typically can care for up to 8 dogs and 50 cats and kittens.	homeless pets	PAWS focuses on rescue and reduce through careful adoption, fostering, and humane education. The initiative expands our ability for: finding animals good, appropriate, forever homes; preventing warehousing and/or euthanizing adoptable animals; changing public consciousness about the value of animals and our responsibilities to them; helping address the puppy mills issue; and promoting spay/neuter.	We successfully adopted many homeless cats and dogs. Animals were also pulled from high kill shelters and saved from euthanasia.	Montclair, NJ - Essex County, NJ
MILFORD BOROUGH HISTORICAL SOCIETY	http://www.milfordnjhistory.org	908-328-6515	EIN 27-0361144	PO Box 430	Milford	NJ	08848	USA	Arts & Culture, Historical Organizations, Historical Societies & Historic Preservation	The mission of the Milford Borough Historical Society is to preserve Milford's historical resources, educate the community about our local history, and promote historic preservation.	Over the past year we have been working to develop activities for the Milford centennial festival. In addition our oral history project has been increasingly generating public interest in the organization, specifically from community members who are interested in being interviewed for the project. We have also begun working with the EPA and the Alexandria Township Historical Society to preserve historical resources found in the former Curtis Paper Mill. The paper mill was once Milford's largest employer and the world leader in the production of glassine paper.	Individuals of all ages in the Milford area.	oral history collection, historical publications, in-school history programs, community living history events, exhibits, and community and family history research services.		Milford, NJ and Hunterdon, Warren, and Bucks Counties
Several Sources Shelters, Inc.	http://www.severalsources.net	(201) 825-7277	EIN 22-2368937	P.O. Box 157	Ramsey	NJ	07446	USA	Emergency Assistance, Family Services for Adolescent Parents, Homeless & Housing, Homeless Shelters, Human Services, Pregnancy Centers	Through God's Grace, we save babies lives and shelter their young mothers while providing education and ongoing compassionate support services including our Pregnancy Sonogram Center. We further educate young people to make healthy life choices. We also shelter women who are homeless, sick and elderly as we help them to restore their dignity.		pregnant women,  mothers and babies, homeless women and needy families	shelters for pregnant women, day shelter for homeless women in Newark NJ, crisis pregnancy center, and helping needy families with emergency funds and care packages		New Jersey and nationwide through our 24x7 hotline
Warm Heart Worldwide Inc	http://www.warmheartworldwide.org	1732-745-9295	EIN 26-2059241	434 Cedar Ave	Highland Park	NJ	08904	USA	International	Warm Hearts mission is to ensure that all Phrao residents have equal access to basic services and an equal opportunity to build better lives. We provide equal access to education and health services, and the knowledge and skills to create sustainable livelihoods. Warm Heart is a non-religious, nonpartisan organization dedicated to the radical idea that every human being deserves the same chance to succeed, whether born into poverty or prosperity.	We opened our doors in 2008.  See our website for details www.warmheartworldwide.org.   Examples: 39 disadvantaged hill tribe children live in our Children's Home - giving them a safe home and chance to go to school and create economic opportunity.  Our clean Water project has given clean water to over 4500 people.  1500 pregnant and nursing mothers and their toddlers receive vitamins through our partnership with the regional hospital. We've started surveying the elderly and disabled in our district - to day we have delivered over 100 wheelchairs and mobility aid.	Poorest of the poor, especially minority children from isolated mountain villages without schools or access to health care, landless and illiterate women, and the elderly and disabled.	Education, Microenterprise, Public Health.  Warm Heart is a grassroots organization that helps villagers in the remote northern district of Phrao, Chiang Mai Province, Thailand. We organize community projects that improve access to education and basic health services, create jobs and sustainable incomes for the poorest in our community, and restore the environment to sustain future generations. Warm Heart is not a charity. Our programs address acute needs by helping people help themselves.		Phrao District, Chiang Mai Province, Thailand
TRAVELERS AID - NEWARK LIBERTY INTERNATIONAL AIRPORT	http://www.travelersaid.org	973-623-5052	EIN 59-2506390-001	Newark Liberty International Airport Terminal B, Box # 33	Newark	NJ	07114	USA		Travelers Aid EWR seeks to support airport passengers in a variety of capacities. In more complex cases, Travelers Aid staff is prepared to assist with social service referrals, resources and/or connecting individuals with support systems. Volunteers are the core resource of the Travelers Aid program. They lend their knowledge and experience to passengers by suggesting tourist information, giving maps/brochures and offering guidance on how to navigate the airport and the transit systems of New Jersey & New York	At Newark Liberty International Airport Travelers Aid assist around hundred thousand travelers a year.	lend a helping hand for travelers in need.	Customer care services and assist with distressed passengers by trying to find a solution to their problems.	around 100,000 passengers.	Newark Liberty International Airport
Christopher Reeve Foundation A New Jersey Nonprofit Corporation dba Christopher and Dana Foundation	http://www.ChristopherReeve.org	(973) 379-2690	EIN 22-2939536	636 Morris Turnpike Suite 3A	Short Hills	NJ	07078	USA	Health, Nerve, Muscle & Bone Diseases Research	The Christopher & Dana Reeve Foundation  is dedicated to curing spinal cord injury by funding innovative research, and improving the quality of life for people living with paralysis through grants, information and advocacy.			Reeve Foundation Programs/Services: Research ProgramsThe Christopher and Dana Reeve Foundation is recognized as the premier spinal cord injury research organization throughout the world. Our research strategies cover an entire spectrum beginning with recruiting new investigators to the field of SCI research, providing seed money to basic researchers that eventually develop breakthroughs supported by the National Institutes of Health and other funding sources, to efforts in taking bench research into the clinic for application to patients around the globe. Our Individual Research Grants Program, our largest, most comprehensive research initiative, focuses on the underlying biological mechanisms of spinal cord injury and repair. This program allows investigators to take smart risks with bold ideas, and turn them into catalytic breakthroughs. The mission of the Foundation's International Research Consortium on Spinal Cord Injury is to promote repair and functional recovery in the chronically injured spinal cord through collaborative research focused on optimizing the intrinsic capacity of the adult nervous system to repair and remodel itself, and elicit robust regeneration after injury.The goal of the Reeve Foundation's North American Clinical Trials Network (NACTN) is to bring promising and evidence-based therapies for SCI from the laboratory to the patient population in a way that will provide effectiveness while ensuring safety to patients undergoing treatment. The Reeve Foundation has brought together eight leading clinical research centers and a bio-statistical center to create the Clinical Trials Network. Together with a similar European clinical network, NACTN is building the foundation for a global cross-collaboration that will help speed therapeutic development and deliver useful therapies to people who need them.The Foundation's NeuroRecovery Network (NRN) was launched to provide support for the development of specialized centers that provide standardized care based on current scientific and clinical evidence for people with spinal cord injury and other selected neurological disorders.  Initially, the NRN will focus on Body Weight Support Treadmill Therapy.Quality of Life ProgramsThe Foundation funds a variety of national, regional and local initiatives that benefit both children and adults living with paralysis, especially those with spinal cord injuries. These grants are designed to substantially improve opportunities, access and day-to-day quality of life for individuals living with disabilities, primarily paralysis, and their families. Christopher & Dana Reeve Paralysis Resource Center (PRC)In May 2002, the PRC opened its doors to promote the health and well being of people living with paralysis and their families by providing comprehensive information resources and referral services. The PRC houses a national clearinghouse library of paralysis-related publications, maintains a constantly evolving self-help Web site, and publishes an extensive print manual, The Paralysis Resource Guide.AdvocacyThe Christopher and Dana Reeve Foundation also works vigorously work to increase federal dollars towards paralysis research. The Action Network is the Foundation's online advocacy forum that encourages individuals and supporters to become informed activists. Through the efforts of the Reeve Foundation coupled with the growing membership of the Action Network, our voices will continue to be heard to promote increased federal dollars for research and increasing the rights of people living with disabilities.		
KARE Organization, Inc	http://www.karefoundation.org	609-435-6380	EIN 27-3075968	120 Parker Pl	Hamilton	NJ	08609	USA		Formed in 2010, the foundation is committed to raising awareness, support and a cure! Our donations and funds raised will go to Fund Epilepsy Research, Grant Wishes and Raise Awareness!  Kyle and Rose Epilepsy Foundation is a 501 (c) 3 Non-Profit.	We have sent three children to camp, granted numerous wishes and helped pay for the medication of those who could not otherwise afford it.	Children with epilepsy as well as their caregivers	Monetary assistance to pay for medication, scholarships, providing grants for seizure alert devices, items needed by our local Children's hospital and granting wishes.		Tri-Stare Area (NJ,PA and DE)
CHILDREN'S SPECIALIZED HOSPITAL FOUNDATION INC	http://www.childrens-specialized.org	(908) 301-5410	EIN 13-6844298	150 New Providence Road	Mountainside	NJ	07092	USA	Health, Pediatrics, Rehabilitative Care, Specialty Hospitals	More than 16,000 children with special needs come to Children's Specialized Hospital each year for rehabilitation care. Because of the support of our Foundation, no child is turned away, regardless of their family's ability to pay. The Foundation also funds special programs and capital expansion, and ensures the long-term financial stability of the Hospital.			Children's specialized hospital foundation is a tax exempt organization operated to raise funds for children's specialized hospital (csh) and organizations with similar purposes. Csh is a non-profit, pediatric rehabiliation hospital and pediatric long term care facility. Upon obtaining funds, the foundation invests these assets and the interest and principal are used for educational, scientific and charitable purposes carried out by organizations including csh and those with similar missions. The foundation holds various events throughout the year that benefit specific activities or need as specified by foundation management.		
Wayuu Taya Foundation Inc	http://www.wayuutaya.org	(212) 227-0400	EIN 37-1449493	Po Box 328	Midland Park	NJ	07432	USA	Arts & Culture, Health, Humanities, International, International Development, International Relief, Reproductive Health Care, Reproductive Rights	To help improve lives of latin and south american and the caribbeanindigenous communities, while maintaining and respectingtheir traditions ,culture and beliefs.			Human services programs: to cordinate and execute plans regardingnutrition,health, education, and work opportunities of latin americanindigenous people of the venezuelan guajira region.		
New Jersey Parents Caucus Inc	http://www.newjerseyparentscaucus.org		EIN 22-3735754	275 Rt 10 East Suite 220-414	Succasunna	NJ	07876	USA	Children & Youth, Children & Youth Services, Developmentally Disabled Centers, Disabilities, Family Services	The New Jersey Parents' Caucus is a nonprofit organization that is governed and staffed by parents and caregivers of children who have serious emotional and behavioral challenges.  The organization was formed in 1990 when a group of concerned parents who were raising children with serious emotional disturbance (SED) came together to create changes to the public systems that served their families.  In 2000, these parents incorporated a nonprofit organization with the mission to ensure that every family who has children with special emotional and behavioral needs is given an opportunity to play a strong and active role in the development and delivery of effective and timely services for their children.					
Everas Community Services Inc	http://www.everas.org	(732) 805-1912	EIN 22-2462247	24 Worlds Fair Dr Ste K	Somerset	NJ	08873	USA	Blind & Visually Impaired Centers, Centers to Support the Independence of Specific Populations, Deaf & Hearing Impaired Centers, Disabilities, Group Homes	See schedule o for the complete mission statement for everas, inc.			See schedule o for program description for residential services  see schedule o for program description for employment services  see schedule o for program description for community support services		
Trenton Community Music School Inc	http://www.trentoncommunitymusic.org	(609) 394-8700	EIN 22-3559611	Po Box 5206	Trenton	NJ	08638	USA	Arts & Culture, Music	The organization brings children together to learn and make music, to develop their minds, imagination, and community. The organization works with partners in the capital city region to provide early-childhood music learning, to support teachers in weaving music into a childs school day, and to create opportunities for grade-school children to make music together. Through music, the organization inspires people to reach their fullest potential.			Outreach programs into the community and the trenton public schools consist of music for the very young. Weekly sessions of developmentally appropriate music and movement classes were provided by a professional, trained early childhood music specialist (who is also a certified music therapist) in the district's 10 pre-kindergarten, special education classes. Each session presents a different collection of songs and activities. In addition, classroom teachers attend professional development workshops to develop their skills to integrate the program's curriculum into their daily routines. Each participating class is supplied with classroom instruments and copies of the cd and songbook utilized by the curriculum. All of the children also receive copies of the cd and songbook utilized by the curriculum. All of the children also receive copies of the these materials for use at home and workshops for the parents are conducted to engage parents and caregivers in their children's education. Music for the very young was offered in 40 classrooms in 15 schools and 510 families were served and professional development was provided to 72 teachers.   on-site weekly lessons and classes in instruments and voice: individual lessons and classes in music for ages 8 months to 80, offered to the trenton area regardless of age, income, talent, racial or ethnic identity. 36 week academic year. Students and teachers are evaluated annually and perform in recitals. 60 students participated in the 36 week academic year.		
Women's Health And Counseling Center, Inc.	http://www.womenandhealth.org	(908) 526-2335	EIN 22-2389503	71 Fourth Street	Somerville	NJ	08876	USA	Community Health Systems, Family Planning, Health, Health Care, Mental Health, Reproductive Rights, Sexual Assault Services	Women's health & counseling center is a community-based, non-profit provider of personalized health care for women, particularly those who may not be able to obtain such services from traditional providers due to monetary, cultural, language or other barriers. Our goal is to provide a safe haven where compassionate and high quality services are available. These include medical and preventive care, counseling and support programs. We promote healthier communities by educating women to make informed health care choices.			Reproductive health care servicesas part of its mission to keep women healthy, the agency provides family planning services including gynecological exams (both annual and for minor problems), pregnancy testing, birth control, emergency contraception, breast and cervical cancer screening. For men and women, the agency offers education on reproductive health options, testing for and treatment of sexually transmitted infections, and hiv testing. During 2013, whcc provided 4,482 visits to 2,291 unduplicated patients.   cancer education and early detection program (ceed)women and men who are uninsured and meet financial eligibility can obtain free screenings for breast, cervical, colorectal and prostate cancers through whcc. In 2013, 1,148 women were screened for breast cancer; 812 women were screened for cervical cancer; 364 women and men were screened for colorectal cancer; and 12 men were screened for and/ or educated about prostate cancer.   primary careprimary care services including diagnosis and treatment of common and minor illness in addition to diagnosis, treatment, and monitoring for patients with chronic disease. Education on how to achieve and maintain optimal health is an integral part of the program. In 2013, whcc provided primary care services to 427 women through 1,473 appointments.   adolescent pregnancy prevention/teens achieving goals (appi) - provides individual counseling and group education for teens to reduce the risk of unintended pregnancy. In 2013, the appi program served 98 individuals through 412 sessions and provided 65 educational presentations to 1,703 students. Step- teens learn how to have a healthy pregnancy and the importance of pre-natal care through individual and group meetings with a health educator at their school. Teens are encouraged to stay focused on reaching personal and educational goals during and after the birth of their baby. In 2013, the step program served 16 students through 72 sessions. Sexual assault support services - somerset county's rape crisis center providing free and confidential 24-hour hotline and crisis intervention, police and forensic exam accompaniments, counseling for survivors and their loved ones, support and counseling groups, educational presentations to schools and community groups, and violence prevention work in schools. In 2013, 456 hotline calls were received, 218 individuals counseled through 507 sessions and 5,849 students educated.		
Backpacks for Life Inc	http://www.backpacksforlife.org	862-266-1704	EIN 47-1281873	55 Sunset Ave	Verona	NJ	07044	USA	Homeless & Housing, Homeless Centers, Human Services, Military & Veterans Organizations, Veterans	Backpacks for Life is a 501(c)3 nonprofit that aims to provide homeless veterans with life essentials that they cannot provide for themselves. With each backpack, we hope to not only provide homeless veterans with the things they need for daily living but also give them hope and resources for the future.	To date, we have handed out over 1,200 backpacks to homeless veterans in need by attending Stand Down events and visiting local homeless shelters where we get to know veterans and give them the support they need. We've also been contacted by homeless veterans individually when they are in need of help and we send them a backpack full of resources.	homeless veterans get back on their feet	backpacks, full of daily essentials such as toiletries, clothing and resources for where to find organizations that can help them out	1,200 homeless veterans	the tri-state area
American Childrens Cancer Association Inc	http://		EIN 22-3545753	16 South Ave Ste 140	Cranford	NJ	07016	USA	Philanthropy, Public Foundations						
Down The Block	http://www.downtheblock.org/contact.html	973-943-1424	EIN 30-0526365	P.O. Box 7	Short Hills	NJ	07078	USA	Emergency Assistance, Human Service Organizations	To provide short-term assistance to those of our Township neighbors facing unexpected financial setbacks.					Millburn/Short Hills NJ
Court Appointed Special Advocates Of Atlantic County Inc	http://www.atlanticcapecasa.org	(609) 601-7800	EIN 22-3348198	321 Shore Road	Somers Point	NJ	08244	USA	Children & Youth, Children & Youth Services, Civil Rights	Court appointed special advocates of atlantic & cape may counties, inc. (casa) and its trained volunteers speak on behalf of abused and neglected children in the foster care system and are dedicated to ensuring these children are placed in safe permanent homes as quickly as possible.			Casa is a community based nonprofit organization established in 1995 to provide advocacy services regarding the rights of minor children who are involved in the family court system in atlantic and cape may counties.		
