name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year
Stop Animal Exploitation NOW!	http://www.SAENonline.org	513-575-5517	EIN 31-1481336	1081-B State Route 28 #280	Milford	OH	45150	USA	Animals	SAEN's mission is to end animal experimentation through cutting-edge investigations, hard-hitting media exposs, and public pressure.	end abusive animal experimentation in labs.	the United States	Investigation of abusive practices within research facilities and exposing these abuses through coordinated media events.	Regularly covered in national and local media exposing the animal experimentation issue to millions.  Animals are in forever homes and sanctuaries, and the USDA is taking legal action against labs as a direct result of our efforts. Numerous labs/protocols closed due directly to our campaigns.	We monitor USDA and NIH databases to ensure that federal laws are enforced and labs are cited/fined; ensure sanctuaries are funded so animals can be retired from labs; attend conferences, hold news briefings, and participate in broadcast interviews to educate the public and media about the antiquated atrocities of animal experimentation and waste of tax money; considered leading expert on animal experimentation issue in the U.S.
Helping Hands of Summit County Inc	http://www.helpinghands-sc.org	330-773-7731	EIN 20-5453004	1363 Girard St ms.  Phyllis M Byrd	Akron	OH	44301	USA	Human Service Organizations, Human Services	To help the less fortunate that God puts in my path, and give them a way out of poverty/sickness and by giving them a hand UP (not out), the charity gives HOPE and dignity.	women, children, the elderly and disabled	N.E. ohio, primarily summit county	"David's House, "Cribs 4 Babies", Holiday 'Adopt-a-Family', those chronically ill, those who do NOT have the resources or capacity to help themselves, the charity provides opportunities for them to help theirselves, , or those experiencing a traumatic or LIFE-CHANGING event.  '	"David's House" ( a project of the charity), has seen many youths come into a SAFE home, ending the cycle of being on the streets and dropping out of school and ending up in our prisons, or on drugs/alcohol and worse: death.	600 individuals or families
Lawrence Funderburke Youth Organization Inc	http://www.lfyo.org		EIN 31-1737043	1255 North Hamilton Road Suite 135	Gahanna	OH	43230	USA	Adult Education, Education	The organization is dedicated to enriching the lives of disadvantaged youth. The primary components are the teaching of financial and personal development skills, the providing of career role models and educational field trips.			Educational financial/life skills programs and group/sports/physical fitness activities		
Ohioguidestone	http://www.guidestoneohio.org	(440) 234-2006	EIN 34-0720558	434 Eastland Rd	Berea	OH	44017	USA	Children & Youth, Children & Youth Services, Family Services, Human Services, Mental Health, Residential Mental Health Treatment	To provide pathways for growth, achievement, and lifelong success.			Home and community support services:our community programs are often provided in a home-based or school-based setting. These services help link our at-risk clients to employment and other individual and family support services, helping to preserve families, manage unruly youth, prevent further court involvement, and teach work and life skills for the real world. Eighty percent of the juvenile justice participants remained in good standing with law enforcement for at least one year beyond completion.   out-of-home care & clinical services:our out-of-home programs provide safe and secure residences of healing and nurturing for children with severe emotional, behavioral, or mental health problems. These children are placed in loving foster homes or at our residential treatment campus. Eighty-three percent of clients in our nurse assistant program secured post-graduation employment and eighty-four percent of them maintained those positions for at least six months.   early childhood & family support services:our early childhood programs provide a variety of intervention and preventative services for young children with developmental delays, social, emotional, or behavioral problems, or children at risk for abuse or neglect. Our services, which include intensive home-based treatment, mental health treatment, and parenting education, diagnose, assess, and counsel children and families. Recognizing the link between a quality education and success later in life, we provide a variety of care and education opportunities. We operate 5 high-quality childcare centers with locations in berea, brookpark, lakewood, maple heights, and middleburg heights.		
Sauder Village	http://www.saudervillage.org	(419) 446-2541	EIN 23-7042835	Po Box 235	Archbold	OH	43502	USA		The purpose of sauder village is to depict the lifestyle and customs of the rural inhabitants of northwest ohio, as they took place more than a century ago, through demonstrations, activities and exhibits. Patrons are primarily from the surrounding tri-state area.			Sauder village operates a restaurant, bakery, inn, campground and banquet hall for the patrons of sauder village and the surrounding community. The revenue generated from these hospitality services is used to directly support the non-profit mission of sauder village. Note: total revenue from the restaurant, bakery, inn, campground and banquet hall is $3,932,299. A large portion is deemed to be unrelated to the organization's exempt purpose and is therefore considered taxable income.   the historic village continues to collect, preserve and communicate all available knowledge concerning the natural, cultural, and artistic heritage of the people in the northwest ohio region from the time of the first settlement through the present. There were 78,629 visitors during the current year.   a complete calendar of extra special events and activities is offered throughout the historic village season, ranging from our annual quilt show to hands-on "farm days" to a vintage base ball tournament. These special events are rooted in the heritage and activities from the past, attracting expanded audiences to the historic village experience, and providing our members opportunities to enjoy a variety of special programming throughout the season.		
Stark County Humane Society	http://www.starkhumane.org		EIN 34-6003244	5100 Peach St	Louisville	OH	44641	USA	Animal Protection & Welfare, Animals	We speak for those who cannot speak for themselves and with the support of our members, employees, and volunteers, we hope to do so for many years to come.			The organization houses and provides care for injured, abused, and abandonedanimals. Medical care is provided on an as-needed basis, which is determined during examination of the animal. The organization cares for these animals by providing food, shelter, and appropriate care until these animals have been adopted.   licenses are purchased from the county auditor's office and sold for allcanines that will remain in stark county. The shelter receives a $. 75 agency fee per application processed through the shelter  certificates for reduced spay/neutering costs are issued with each adoption. For every adoption of an animal that is not spayed/neutered, a $35 refundable depositis required by the adopting individual. The shelter retains this deposit until the animal is taken to one of the participating veterinarians. The adopting individualwill take proof of spay/neutering to the shelter, and the deposit is refunded. The participating vetrinarians are reimbused for a portion of the costs incurred. Thegoal of these certificates is to help lessen the overpopulation of these animals inthe community by promoting responsible pet ownership. Any certificates that haveexpired generate revenue for the organization.		
Youth Challenge	http://www.youthchallengesports.com	440-892-1001	EIN 34-1396825	800 Sharon Dr.	Westlake	OH	44145	USA		Youth Challenge brings together children with physical disabilities and youth volunteers who enrich each others lives through one-on-one adapted sports and recreational acitivies		Northeast Ohio			
Hopewell	http://www.hopewell.cc	(440) 693-4074	EIN 34-1739967	9637 State Route 534	Middlefield	OH	44062	USA	Health, Health Care, Mental Health, Mental Health Disorders	To provide an opportunity for adults with serious mental illness to experience a self-reliant and satisfying life through participation in a vibrant residential therapeutic farm community			To provide a residential rehabilitation community, offering care, education, treatment and job training to mentally ill individuals.		
Sanctuary Community Action	http://www.sanctuarycommunityaction.org	(740) 599-7224	EIN 31-1400965	Po Box 505	Danville	OH	43014	USA	Arts & Culture, Human Service Organizations, Humanities	To improve the quality of life of the people in the eastern knox county area by providing and coordinating health, education, and social services.			Coordinate home-delivered for individuals 60 years of age and older. Assistance with homemaking needs and lawn mowing services for individuals 60 years and older. These two programs are in partnership with local businesses providing these specific services. Funds for above mentioned services/programs are financially supported by funding from the county-wide senior levy. These funds are restricted to senior services. The above mentioned programs served approximately 250 individuals  provide a rent free site for agencies: emergency assistance, children's nutrition and immunization program, prenatal nutrition,adult literacy education, mental health counseling and free income tax preparation by aarp volunteers under irs guidelines. Individual agencies served approximately 3,200 individuals during the year.   coordinate additional and varied health care providers for their services to area residents including: mobile mammogram unit and pap screenings; family health clinic staffed by nurse practitioner; lifeline screening for arterial blockage and aneurysm, and heart disease; head start health fair for children enrolled in area/county head start program. The various providers served approximately 450 individuals during the year.		
Holmes County Education Foundation	http://www.hcef.net	(330) 674-7303	EIN 34-1631041	114 North Clay Street	Millersburg	OH	44654	USA		The Holmes County Education Foundation strengthens our community by helping Holmes County residents pursue further education opportunities.	Holmes County, Ohio residents	Holmes County, Ohio	We provided educational scholarships on behalf of holmes county residents in pursuit of higher education.   we provided grants for vocational training.   grants were provided to organizations in the community to benefit the residents of holmes county and beyond.	Since 1991, well over $5,700,000 has been granted for the betterment of Holmes County youth and adults. This has been accomplished by the awarding of college scholarships, professional development grants, Amish Vocational Training grants, Senior Series grants, and assistance to the Holmes County College Access Program	
Taos Institute	http://www.taosinstitute.net		EIN 76-0586294	63 Maple Hill Dr	Chagrin Falls	OH	44022	USA	Adult Education, Education, Educational Services, Graduate & Professional Schools, Leadership Development	The Taos Institute is an international learning community that addresses the social processes essential for the construction of meaning, reason, knowledge, and human value.  Our focus is on how social groups create and sustain their beliefs in what they experience as reality and defined as being of value.  We recognize that, as people create meaning together, they also translate new meaning into action.  Meaning and action create the future.  We are committed to exploring, developing and disseminating ideas and practices that promote creative, positive and collaborative change in people, families, organizations, and communities throughout the world.  We have given particular attention to the fields of organizational change, community development, mental health, counseling, social work, education, medicine and gerontology.  The Taos Institute provides conferences, workshops, publications, a Ph.D. program, a distance learning program, newsletters, web-based offerings, and this website.  At the same time, there is a vital need for improving and expanding the offerings of the Institute. There are special needs for scholarship funds to support minorities and third world participants, for translating resources into languages other than English, and for supporting partnership programs in Latin America and South Africa. As a nonprofit organization we rely on the generosity of people like you to sustain and expand our efforts. We welcome all gifts - large or small - supporting our mission of generating ideas, educational resources and practices that will contribute to positive futures for the world?s peoples.  The Taos Institute is a nonprofit, IRS-approved 501(c)3 organization.					
American Black And Tan Coonhound Rescue Inc	http://		EIN 05-0603414	2102 45th St Ne	Canton	OH	44705	USA	Animal Protection & Welfare, Animals						
Moms, Inc. Members Opposed To Maltreatment Of Service Members	http://		EIN 52-1570780	13011 Centerburg Rd	Sunbury	OH	43074	USA	Civil Liberties, Civil Rights						
Children Have Options In Caring Environments Inc	http://www.choicesfostercare.com/		EIN 31-1180182	1785 Big Hill Rd	Dayton	OH	45439	USA	Children & Youth, Family Services for Adolescent Parents, Foster Care	CHOICES, Inc. was founded in 1986 as a private non-profit foster care agency focused on providing safe, caring and nurturing environments for youth in need of foster care. These youth are generally in the custody of a public child welfare agency and have been determined abused, neglected or dependent. Our mission is to "Foster a meaningful quality of life for youth and families.  We inspire hope, strengthen foundations, and enrich environments through supportive individual services".					
ATAF	http://		EIN 26-3223539	111 Cooper Pl W	Dayton	OH	45402	USA	Arts & Culture, Cultural & Ethnic Awareness						
Indiana Petite Paws Rescue Angels, Inc.	http://		EIN 20-2697095	PO Box 3025	Elida	OH	45807	USA	Animal Protection & Welfare, Animals	All of our rescue dogs are completely vetted including spay/neuter, brought up to date with vaccinations, heartworm tested and on prevention, wormed, microchipped and any additional care that the dog may need prior to adoption. IPPRA has a fostering system throughout Indiana, Ohio and Kentucky. We also service Illinois and Michigan. Our members are screened prior to joining our organization to ensure that only qualified and compassionate foster parents will be caring for our rescues.		Midwest			
New Lebanon Area Chamber Of Commerce Inc	http://		EIN 31-1089722	Po Box 194	New Lebanon	OH	45345	USA							
Community Job Club, Inc.	http://www.communityjobclub.org	330-945-5320	EIN 45-3035285	3766 Fishcreek Rd., #187	Stow	OH	44224	USA	Human Service Organizations	To eliminate unemployment and underemployment in our community	Mature professionals, new grads, vets or anyone who wants to get back to work faster or manage their career for better results	Summit County and surrounding counties	Free and low cost job search assistance through out NE Ohio	Have helped over 1000 job seekers and many have landed new positions as a result of the information and support they received from participating in our services	
Tri-State Shiba Inu Rescue Inc	http://		EIN 26-4185061	1288 Bees Run Rd	Moscow	OH	45153	USA	Animal Protection & Welfare, Animals						
Deyarmin Foundation	http://	(330) 608-8695	EIN 20-5437356	488 N Munroe Rd	Tallmadge	OH	44278	USA	Human Service Organizations	Veterans assistance			Assisting veterans with expenses such as medical expenses, food, clothing, etc.		
Cleveland Botanical Garden	http://www.cbgarden.org	(216) 721-1600	EIN 34-0239538	11030 East Blvd	Cleveland	OH	44106	USA	Botanical Gardens & Arboreta, Environment	Cleveland botanical garden cultivates an enduring connection between plants and people so vibrant green communities will flourish and sustain life.			Cleveland botanical garden (the garden) is an ever-changing urban escape where guests find enrichment and inspiration through fabulous gardens, an exotic glasshouse and enchanting events. The garden makes its community greener and healthier by growing young lives and restoring land throughout cleveland. Guests of the garden can experience its 20 exquisite specialty gardens and exotic indoor biomes all year long. Founded in 1930 as the garden center of cleveland, the garden has evolved into a community treasure. Records were set for the garden in 2013, with annual attendance reaching an all time high of 188,000, marking a 17 percent increase over the prior year's then-record attendance of 160,000. Likewise, membership to the garden in 2013 hit an all-time high of more than 8,000 northeast ohio households. Special events and popular programs such as the garden's holiday celebration, glow, and big spring spectacular, along with related marketing efforts and outreach initiatives, contributed to the significant increases in attendance and membership. The glow holiday celebration attracted more than 42,000 people to the garden over a 5-week period, marking a 10 percent jump over the prior year's record attendance of 38,000 guests. Other retrun events such as orchid mania, gourmets in the garden and te autumn ripe! Fest also attracted impressive crowds. Education efforts in 2013 remained at the root of the garden's mission, whether it involves standards-based plant science curriculum taught annually to more than 13,000 school children, or a particular guest finding one more way to garden sustainably in his own backyard. Applied research and exploration keeps the garden relevant. The garden's experts are trusted and important resources on issues related to conserving the environment, plant-based health and nutrition, plant science and best horticultural practices for the home and community at large. The garden's community involvement extends beyond its 10 acres in university circle into city neighborhoods through its green corps and applied-research programs. Since 1996, green corps has enlightened area teens by offering them hands-on urban-agriculture experiences; and green corps expanded in 2013 to bring "living classrooms" to local schools in cleveland through the installation of schoolyard gardens. The applied researc program, largely funded through grants, continued to lead regional efforts to address issues of vacant urban land and community greening. In late 2013, the garden's leadership began exploring opportunities to integrate with another organization as a way to ensure its vibrant future for generations to come. In june 2014, the garden anounced it was in talks to integrate with another northeast ohio not-for-profit with a similar mission.   arts, culture & humanities program, general & other gardens  education, general & other education		
Ohio Society for the Prevention of Cruelty to Animals Inc.	http://www.ohiospca.org		EIN 31-1077151	PO Box 546	Grove City	OH	43123	USA	Animal Protection & Welfare, Animal-Related, Animals	The Ohio Society for the Prevention of Cruelty to Animals (Ohio SPCA), formerly known as the Ohio Humane Education Association (OHEA), was formed in 1983 to end the needless killing of homeless animals and to bring an end to animal cruelty. In order to bring this dream to reality, the Ohio SPCA has two main goals as its purpose. One, to extend to present and future generations humane education, which will lead to an awareness of the need for people to be responsible and kind stewards over animals. Second, to intercede on behalf of animals and bring about change to situations and practices in which cruelty, neglect, or unnecessary suffering exists.			OHEA's progams include public outreach and education, rescue assistance and a statewide companion animal network.		
Sandstone Summer Theater Of Amherst Ohio Inc	http://		EIN 34-1358725	914 Collingwood Dr	Amherst	OH	44001	USA							
Providence House Inc	http://www.provhouse.org	216-651-5982	EIN 34-1336325	2050 W 32nd St	Cleveland	OH	44113	USA	Child Abuse Prevention, Child Day Care, Children & Youth, Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Housing & Shelter	Providence House fights to end child abuse and neglect by protecting at-risk children, empowering families in crisis, and building safer communities for every child.	children in emergency shelter when parents are temporarily unable to care for them due to crisis situations	Greater Cleveland Area	our Crisis Nursery- Crisis Intervention and Family Preservation Program.  We Protect At-Risk Children - by providing for their physical, emotional, developmental, and educational needs o	Free, voluntary (non-custodial) 24/7 emergency shelter and services to children, newborn - 10 years old who are at risk of abuse or neglect for up to 60 days.    We Empower Families in Crisis  by offering respect, delivering education, connecting resources, and encouraging responsibility o	Unique, individualized parent counseling, education, mentoring, family preservation and aftercare services  We Build Safer Communities  by preventing tragedy, promoting prevention to end the cycle of abuse, and strengthening neighborhoods with healthy families o	Collaborative partner with nearly 40 public and private service providers to link safety net services for family stability	Our results are clear.  Last year:  -	Preservation: 98% of our children were reunified with their parent or guardian after an average stay of 20 days  -	Satisfaction: 78% of high risk parents who received intensive family support services felt their family stability increased  -	Compliance: 90% of our parents are fully compliant and complete our recommended case management, parent education, and visitation services   -	Success: A recent study shows that when parents complete our services their children are far less likely to be placed in foster care after they leave Providence House	326 children from 166 families
LEAGUE FOR ANIMAL WELFARE	http://www.lfaw.org	513-735-2299	EIN 31-0818511	4193 Taylor Road	Batavia	OH	45103	USA	Animal Protection & Welfare, Animal-Related, Animal Training, Animals	The League for Animal Welfare is a voluntary, nonprofit, humane organization chartered in 1949. The League for Animal Welfare, which has operated as a no-kill shelter since 1964, is dedicated to bettering the lives of companion animals in the Greater Cincinnati area by providing shelter, adoption, public education, and spay/neuter programs.			We promote spaying and neutering and issue vouchers to make spay/neuter services as easy, convenient and affordable as possible for pet owners. We receive no government support.  All programs are financed solely by membership dues, bequests, contributions and fundraisers.		
American Community Gardening Assoc	http://www.communitygarden.org	(614) 645-1537	EIN 23-2161919	1777 E Broad St	Columbus	OH	43203	USA	Community Improvement & Capacity Building, Environment, Food, Food, Agriculture & Nutrition	The mission is to build community by increasing and enhancing community gardening and greening across the united states and canada			Community were made stronger through the establishment of community gardens publications: the community greening review, community gardener newsletter and creating communities curriculm were published to support and encourage communities and their gardens.		
Levy Social Programs Inc	http://		EIN 34-1858590	11470 Euclid Ave	Cleveland	OH	44106	USA	Education, Educational Services						
Goddesses Blessing Goddesses	http://www.goddessesblessinggoddesses.org	( 216) 502-0082	EIN 90-0459842	3300 East 55th Street Goddesses Retreat One	Cleveland	OH	44127	USA	Community Mental Health Centers, Mental Health	To provide educational programs to promote self-esteem and awareness in communities by eliminating poverty and illiteracy. Through guidance, parenting skills and a strong support system we empower women and families through enlightenment.	Veteran women or any women in need	Cleveland, Ohio	Healing, Education, and Enlightenment Temporary Housing Alternative, Counseling, Physical and Mental Health Resource and Referral Network, Whole Person Case Management		846 families, 250 women and 7 women veterans
Women Blessing Women	http://		EIN 34-1857459	223 Page St	Toledo	OH	43620	USA	Job Training						
Northwest Boosters Association	http://		EIN 31-0925266	10761 Pippin Rd	Cincinnati	OH	45231	USA	Education, Secondary & High Schools						
Angels Rest Animal Sanctuary	http://www.angelsrestanimalsanctuary.org		EIN 26-4626316	PO Box 152	New Richmond	OH	45102	USA	Animal Protection & Welfare, Animals	Angels Rests mission is to provide solutions to the immediate needs of unwanted animals who have no place to go other than a kill-shelter to face euthanization, die alone in the streets or die abandoned at the end of a chain. Our goal is to take animals out of situations where they would be facing imminent danger and provide them with a comfortable place to spend the remainder of their lives, no matter how long it maybe.			Elder Paws		
Ohio House Rabbit Rescue Inc	http://		EIN 27-0830606	611 Overbrook Dr	Columbus	OH	43214	USA	Animal Protection & Welfare, Animals	The mission of Ohio House Rabbit Rescue is to build and operate a Center for rescued abandoned pet rabbits, offer a robust adoption program, and provide educational resources and programming on the proper care of rabbits as indoor companions.			Midwest BunFest	During 2011, OHRR organized the Midwest BunFest, a one-day festival and exposition for pet rabbit owners and those who are thinking of becoming pet rabbit owners.	
Colors of Cleveland Pride, Inc	http://www.colorsofclevelandpride.org	216.923.1518	EIN 26-4305241	PO Box 23123	Cleveland	OH	44123	USA		Colors of Cleveland Pride is an all volunteer non-profit organization created to provide outreach services to all communities of color, regardless of differences, in an effort to bridge the racial divisiveness locally and nationally within these communities.  Our mission is to bring awareness, education, and knowledge of the plights of these communities to the general public in order to provide dialogue, intervention, and resolution, in addition to developing and nurturing relationships with other community organizations to support the needs of these communities.  We hope that you find our organization worthy of your support and participation, as we can only attain success with the participation of the community.	Locally & Nationally		Our goal is to assist people that are in need of shelter, clothing, food, employment, specialized education and more.	Our Accomplishments......   Formed in April 2009, We've Only Just Begun!  Diversity Fundraiser Providing Donations to Other Cleveland Non-Profits  Donated Over $750 in Discounted Travel & Lodging Accommodations to Allow Cleveland Residents to Attend Detroit's Black Unity Celebration  Miller / Heineken Karaoke Fundraiser Series - "All About Wellness"  Increased local LGBT venue's sales by over $10k in 6 month period  Employment recruitment for Cuyahoga County Board of Elections  Job listing distribution for ex-offenders  HIV/AIDS/STD/STI Awareness:  Mini fact sheet distribution for local and national HIV/AIDS, Gonorrhea, Syphillis and Chlamydia statistics  Condom (Female/Male) promotion & distribution  Breast Cancer Awareness:  Distributed self-breast exam shower cards identifying new exam methods, referral resoures & various information  Provided FREE raffle to distribute FREE tickets to "2009 Dancing in the Streets" Festival to benefit the AIDS Taskforce of Greater Cleveland in order to increase the participation of African-American LGBT community members  Donated $100 to the AIDS Taskforce of Greater Cleveland  Raised over 800 lbs. of non-perishable food for the Biggest Load Challenge/Jon Brittain's Food Pantry  Provide FREE professional resume services and job search assistance to people currently unemployed  Provide FREE "Start Your Own Ohio Business" workshops  "Colors Feeding Youth of All Colors," a traditional Thanksgiving dinner for the homeless serving 275 homeless people by providing curbside meals, food distribution into homeless shelters & toiletry, clothing & haircut distribution  "Warm Wraps Project," a clothing drive for gently used winter clothing for homeless youth & adults serving all Cuyahoga County homeless shelters  We're Gaining Momentum in 2010  Warm Wraps Project expands to year-round clothing drive supporting homeless youth and adults transitioning back to the workforce  AIDS Funding Collaborative Grant Award for Board Training  Family celebration brunch to emphasize the importance of families interacting together in social settings through gaming  School Supply Drive & Distribution supporting homeless youth residing in emergency youth shelters and youth residing with their families in shelters  Numbers Reunion to benefit the AIDS Taskforce & Jon Brittain's Food Pantry  2nd Annual Colors Feeding Youth & Families of All Colors where 323 people received Thanksgiving dinner, clothing & toiletries  Redefining Our Focus in 2011  Grant Award from AIDS Funding Collaborative for Board Training  2011-2012 Patriots Youth Football Team  Grant Award from United Black Fund of Greater Cleveland for Patriots Youth Football Team - $5,000  Grant Award from USA Football for Patriots Youth Football Team - $1,000  Dancing In the Streets Food Vendor Participant Fundraiser  3rd Annual "Colors Feeding People of All Colors" at Our Lady of Mt. Carmel  Winter Coat, Glove, Hat, Scarf, Blanket & Toiletry Distribution to the Homeless  Santa's Book Drop - A Holiday Book Drive for Homeless Youth	
Clague Playhouse Inc	http://www.clagueplayhouse.org		EIN 34-1021731	1371 Clague Rd	Westlake	OH	44145	USA	Arts & Culture, Theater	The mission of clague playhouse, inc. Is to present quality entertainment, to provide an educational environment for all ages through the art of theatre and to service the community needs in providing cultural arts awareness.			During the fiscal year the playhouse presented 5 plays with an average attendance of 71 persons per performance. Total performances were 78 during the year.		
The Association for Better Community Development, Inc. (The ABCD, Inc.)	http://www.theabcdinc.com	(330) 455-6385	EIN 23-7362592	1225 Gross Ave N.E.	Canton	OH	44705	USA	Community & Neighborhood Development, Economic Development	The Association for Better Community Development, Inc. (The ABCD, Inc.) is a Private Non-profit Community Development Corporation committed to improving the quality of life for people primarily in Stark County, Ohio through Community Economic Development, Energy Conservation, Housing Development, and Transportation.	Stark County, Ohio residents	Stark County, Ohio	Transportation, Housing Development, Energy Conservation, Community/Economic Development	The agency is celebrating 40 years of service this year (2013)!	
Project Shine	http://projectshineakron.org	(330) 687-7006	EIN 55-0868524	PO BOX 3895	Akron	OH	44314	USA	Protestant, Religion	Project Shine exists to connect individuals to Christ through basic home improvement and ministry in our communities, while spiritually investing in our participants.	improve our communities	Akron, OH	basic home improvements for those who are physically or financially unable to do it themselves.  We are able to paint the exterior and interior of houses, porch/deck stains, yard work & brush clean up, and miscellaneous other projects.	We have served the Kenmore Community of Akron for 13 years and have helped hundreds of residents with house paints and other home improvement projects.  We have had 8-10 youth groups involved each year and a wide variety of adults and support help.	20 residents with home improvement projects, 40-50 teenagers participating,  and 60+ adults as support help.
YWCA of Canton, Ohio, Inc.	http://www.ywcacanton.org	330-453-7644	EIN 34-0714799	231 Sixth Street NE	Canton	OH	44702	USA	Human Services, Young Mens or Womens Associations	The YWCA of Canton is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.	Serving the homeless, especially women and children, in Stark County and the surrounding areas; providing childcare for children ages 6 weeks through 10 years of age.		Homeless Shelter Family Shelter Gateway Estates, for the hard to house homeless Early Childhood Learning Center for children 6 weeks through 10 years of age.		
CATALYST RESOURCES INTERNATIONAL	http://www.catalystresources.net		EIN 26-3624540	PO Box 967	West Chester	OH	45071	USA							
Friends of the Lower Olentangy Watershed Flow	http://www.olentangywatershed.org	(614) 267-3386	EIN 31-1595880	3528 N High St Ste F Suite F	Columbus	OH	43214	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	ENVIRONMENTAL EDUCATION & PROTECTION	the lower Olentangy watershed		tree planting, honeysuckle removal, backyard conservation, rain barrel water harvesting, rain garden infiltration, butterfly gardening, litter cleanups and basic watershed education.		
RePlay for Kids	http://www.replayforkids.org	330-721-8281	EIN 34-1962478	600 W Sturbridge Dr	Medina	OH	44256	USA	Developmentally Disabled Centers, Disabilities, Health, Health Support, Patient & Family Support, Philanthropy, Voluntarism Promotion	RePlay for Kids is an organization that repairs and modifies toys and assistive devices for use by children with disabilities.  RePlay for Kids provides these services at no cost for non-profit organizations that provide medical, educational, or recreational resources for children with disabilities in Northeast Ohio.  Most of these organizations have limited resources and often cannot afford to replace devices that have broken, and do not have the technical knowledge or time available to repair the devices.  RePlay for Kids can provide these services, therefore increasing the number of functioning toys and assistive devices available for children with disabilities.					
Recovery Resources	http://www.recres.org	(216) 431-4131	EIN 34-1211116	3950 Chester Ave	Cleveland	OH	44114	USA	Health, Specifically Named Diseases	Recovery resources is a sec. 501(c)(3) not-for-profit entity whose mission is to help people triumph over mental illness, alcoholism, drugs and other addictions. Populations served include homeless, hiv positive or aids afflicted, the elderly, women and children and individuals involved with the criminal justice system.			Addiction services:in addition to serving the general population, recovery resourcesspecializes in delivering addiction treatment to many specializedpopulations, including women and families, older adults, adolescents,clients living with hiv or aids, and clients diagnosed with concurrentsubstance abuse disorders and mental illnesses. The agency is also arecognized leader in gambling addiction and provides training,prevention, and treatment in this area. During the year, over 32,000 addiction services were provided to nearly 5,000 clients.   employment services:the purpose and intent of our employment/vocational services is to promote sustained recovery by helping clients with substance abuse or mental health diagnoses to secure and maintain employment, and by providing training and skill development that is goal-oriented, ability-based, and incorporates individual choice. During the year, over 5,000 employment services were provided to nearly 800 clients.   mental health programs:doctors, nurses, licensed therapists, and other mental health professionals provide group and individual behavioral health counseling, community psychiatric supportive treatment, and pharmacological management services to those diagnosed with a mental illness. During the year, nearly 22,000 mental health services were provided to over 2,500 clients.		
Cincinnati Union Bethel	http://www.cinunionbethel.org	(513) 768-6907	EIN 31-0536655	300 Lytle St	Cincinnati	OH	45202	USA	Crime & Law, Education, Homeless & Housing, Human Service Organizations, Preschools, Prison Alternatives, Temporary Housing	The mission of Cincinnati Union Bethel is to provide supportive services and education that assist urban women, children, families, and communities to realize their greatest potential.			(1) Early Childhood Education - Head Start preschools for 640 low-income children; (2) Anna Louise Inn - safe, affordable housing for women; (3) Off the Streets - support and recovery services for prostituted women.		
Aubrey Rose Foundation	http://		EIN 91-2103451	4480 Oakville Dr	Cincinnati	OH	45211	USA	Education, Scholarships, Scholarships & Student Financial Aid	OUR MISSION IS TO HELP FAMILIES CARING FOR CHILDREN WITH LIFE THREATENING ILLNESSES WITH OUR FOCUS BEING ON THE FAMILY UNITY. WE STRIVE TO LIFT FAMILIES FROM LIFE'S COMPLEXITIES DURING THIS DIFFICULT TIME BY PROVIDING EMOTIONAL AND FINANCIAL SUPPORT					
Kids In Need Foundation	http://www.kinf.org	937-296-1230	EIN 31-1437587	3055 Kettering Blvd Ste 119	Dayton	OH	45439	USA	Education, Student Services	The Kids In Need Foundation is a national 501(c)(3) charitable organization founded in 1995. The Foundations mission is to ensure that every child is prepared to learn and succeed by providing free school supplies nationally to students most in need. The Kids in Need National Network of Resource Centers includes 34 facilities that allow teachers from low-income schools to obtain free school supplies for their students. The national sponsor of the Kids In Need Network is Target, a long time supporter of the Kids In Need Foundation.  In addition, Kids In Need Teacher Grants provide preK-12 educators with funding to provide innovative learning opportunities for students. Our School Ready Supplies program distributes backpacks filled with supplies in communities not served by Resource Centers. The Second Responder program provides free backpacks filled with school supplies to students affected by natural disasters. The Kids In Need Foundation has distributed more than  $650 million in school supplies since its founding, directly benefiting 4.2 million students and 120,000 teachers annually, and has awarded more than $1.6 million in grants to teachers.  The Kids In Need Foundation has received Charity Navigators highest four-star rating for three consecutive years, indicating that it executes its mission in a fiscally responsible way and outperforms most other charities in America. For more information, visit www.kinf.org.  Follow Kids In Need on Twitter, http://twitter.com/kidsinneed	students and teachers	USA	The mechanism for the distribution of school supplies is our growing network of Resource Centers.  Each Center has the look and feel of a small store and teachers are allowed to 'shop' without spending a dime of their own money.  There are 38 Resource Centers throughout the country that make up the National Network.  The Teacher Grants program provides funds to teachers to conduct innovative classroom projects.  School Ready Supplies provides backpacks filled with supplies to students who are not served by Resource Centers.  Second Responder provides free school supplies to students who have lost their possessions because of natural disasters.	The Kids In Need Foundation has distributed more than $800 million in school supplies since its founding, directly benefiting 4.8 million students and 120,000 teachers annually, and has awarded more than $1.7 million in grants to teachers.	4.8 million students and 150,000 teachers
Toledo School For The Arts	http://		EIN 34-1876647	333 - 14th Street	Toledo	OH	43604	USA	Education, Secondary & High Schools						
